 4396 ; Бона иностранная ;  ;  ;  ;  ; 51 ; хъ0 ; 53 
 4213 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Скрудж ; 41 
 4214 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 40 
 4215 ; Бона иностранная ;  ;  ;  ;  ; 13 ; sos1 ; 47 
 4216 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 41 
 4217 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 40 
 4218 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 40 
 4219 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Скрудж ; 47 
 4220 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Скрудж ; 44 
 4221 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 40 
 4222 ; Бона иностранная ;  ;  ;  ;  ; 4 ; obr73 ; 42 
 4223 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 36 
 4224 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 34 
 4225 ; Бона иностранная ;  ;  ;  ;  ; 3 ; tars7777 ; 31 
 4226 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 34 
 4227 ; Бона иностранная ;  ;  ;  ;  ; 4 ; tars7777 ; 31 
 4228 ; Бона иностранная ;  ;  ;  ;  ; 4 ; tars7777 ; 31 
 4229 ; Бона иностранная ;  ;  ;  ;  ; 4 ; obr73 ; 35 
 4230 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 661 ; 35 
 4231 ; Бона иностранная ;  ;  ;  ;  ; 4 ; obr73 ; 34 
 4232 ; Бона иностранная ;  ;  ;  ;  ; 17 ; faga2003 ; 46 
 4233 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 661 ; 35 
 4234 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 34 
 4235 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 34 
 4236 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 34 
 4237 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 34 
 4238 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 41 
 4239 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 661 ; 35 
 4240 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 34 
 4241 ; Бона иностранная ;  ;  ;  ;  ; 6 ; obr73 ; 37 
 4242 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Скрудж ; 34 
 4243 ; Бона иностранная ;  ;  ;  ;  ; 8 ; obr73 ; 38 
 4244 ; Бона иностранная ;  ;  ;  ;  ; 14 ; obr73 ; 41 
 4245 ; Бона иностранная ;  ;  ;  ;  ; 3 ; tars7777 ; 31 
 4146 ; 1 рубль ; 1920 ; Денежный знак Дальне-Восточной республики ;  ; AU ; 90 ; lvd ; 1652 
 4147 ; 3 рубля ; 1920 ; Денежный знак Дальне-Восточной республики ;  ; AU ; 48 ; lvd ; 1622 
 4148 ; 5 рублей ; 1920 ; Денежный знак Дальне-Восточной республикиДенежный знак Дальне-Восточной республики ;  ; AU ; 41 ; lvd ; 1622 
 4149 ; 10 рублей ; 1920 ; Денежный знак Дальне-Восточной республики ;  ; AU ; 32 ; lvd ; 1858 
 4150 ; 1 рубль ; 1874 ; вензель А II Гос.кредитные билеты разменной касы гос.банка ;  ;  ; 88 ; lvd ; 10302 
 4151 ; Облигация ; 1915 ;  ;  ;  ; 30 ; lesnik1 ; 656 
 4152 ; Акция табачной компании ; 1915 ;  ;  ;  ; 77 ; andr86 ; 417 
 4153 ; Акция табачной компании ; 1915 ;  ;  ;  ; 31 ; andr86 ; 400 
 4154 ; Акция табачной компании ; 1915 ;  ;  ;  ; 19 ; andr86 ; 399 
 4155 ; Акция табачной компании ; 1915 ;  ;  ;  ; 48 ; andr86 ; 400 
 4156 ; Акция табачной компании ; 1915 ;  ;  ;  ; 51 ; 67 ; 403 
 4157 ; Акция табачной компании ; 1915 ;  ;  ;  ; 40 ; 67 ; 403 
 4158 ; Купоны Узбекистан ;  ;  ;  ;  ; 11 ; Almarc ; 37 
 4159 ; Бона иностранная ;  ;  ;  ;  ; 3 ; ек ; 15 
 4160 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Almarc ; 63 
 4161 ; Бона иностранная ;  ;  ;  ;  ; 3 ; ек ; 15 
 4162 ; Бона иностранная ;  ;  ;  ;  ; 3 ; ек ; 15 
 4163 ; Бона иностранная ;  ;  ;  ;  ; 3 ; ек ; 10 
 4164 ; Бона иностранная ;  ;  ;  ;  ; 24 ; ек ; 25 
 4165 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Опятор ; 16 
 4166 ; Бона иностранная ;  ;  ;  ;  ; 3 ; ек ; 15 
 4167 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 34 ; 29 
 4168 ; Бона иностранная ;  ;  ;  ;  ; 11 ; ек ; 25 
 4169 ; Бона иностранная ;  ;  ;  ;  ; 10 ; alex995 ; 23 
 4170 ; Бона иностранная ;  ;  ;  ;  ; 8 ; alex995 ; 23 
 4171 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ек ; 22 
 4172 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ек ; 22 
 4173 ; Бона иностранная ;  ;  ;  ;  ; 6 ; alex995 ; 23 
 4174 ; Бона иностранная ;  ;  ;  ;  ; 3 ; ек ; 25 
 4175 ; Бона иностранная ;  ;  ;  ;  ; 3 ; ек ; 25 
 4176 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ек ; 24 
 4177 ; Бона иностранная ;  ;  ;  ;  ; 4 ; alex995 ; 23 
 4178 ; Бона иностранная ;  ;  ;  ;  ; 28 ; sikachai ; 102 
 4179 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ек ; 24 
 4180 ; Бона иностранная ;  ;  ;  ;  ; 8 ; kent01 ; 30 
 4181 ; Бона иностранная ;  ;  ;  ;  ; 4 ; alex995 ; 23 
 4182 ; Бона иностранная ;  ;  ;  ;  ; 8 ; faga2003 ; 131 
 4183 ; Бона иностранная ;  ;  ;  ;  ; 8 ; kent01 ; 30 
 4184 ; Бона иностранная ;  ;  ;  ;  ; 13 ; sikachai ; 74 
 4185 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 661 ; 44 
 4186 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ек ; 24 
 4187 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 36 
 4188 ; Бона иностранная ;  ;  ;  ;  ; 3 ; ек ; 10 
 4189 ; Бона иностранная ;  ;  ;  ;  ; 3 ; ек ; 10 
 4190 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 36 
 4191 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 36 
 4192 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 41 
 4193 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 35 
 4194 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 46 
 4195 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 36 
 4096 ; 25000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 59 ; raise ; 160 
 4097 ; 3 червонца ; 1937 ; Билет ;  ;  ; 37 ; Brabus ; 230 
 4098 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 48 ; yuri.gruzdev ; 512 
 4099 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 12 ; кабачок ; 143 
 4100 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 15 ; 661 ; 140 
 4101 ; 1 копейка ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 11 ; fanil ; 532 
 4102 ; 2 копейки ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 41 ; fanil ; 532 
 4103 ; 3 копейки ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 39 ; fanil ; 541 
 4104 ; 5 копеек ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 13 ; fanil ; 351 
 4105 ; 25 копеек. Юденич ; 1919 ;  ;  ; AU ; 69 ; 67 ; 2674 
 4106 ; 50 копеек. Юденич ; 1919 ;  ;  ; AU ; 21 ; fanil ; 1167 
 4107 ; 3 рубля ; 1961 ; Гос.казначейский билет ;  ; AU ; 14 ; yuri.gruzdev ; 111 
 4108 ; 3 рубля ; 1991 ; билет ;  ; AU ; 23 ; lesnik1 ; 126 
 4109 ; 5 рублей ; 1991 ; билет ;  ; AU ; 16 ; serg98 ; 100 
 4110 ; 10 рублей ; 1991 ; билет ;  ; AU ; 6 ; serg98 ; 100 
 4111 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 17 ; NSN ; 508 
 4112 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 10 ; NSN ; 508 
 4113 ; 2 доллара США ; 1995 ;  ;  ; AU ; 29 ; Арарат ; 113 
 4114 ; 2 доллара США ; 1995 ;  ;  ; AU ; 11 ; turner ; 116 
 4115 ; 2 доллара США ; 1995 ;  ;  ; AU ; 11 ; 34 ; 110 
 4116 ; 500 рублей ; 1992 ; билет ;  ; AU ; 13 ; shneyder ; 184 
 4117 ; 1000 рублей ; 1992 ; билет ;  ; AU ; 32 ; 661 ; 173 
 4118 ; 500 рублей ; 1920 ;  ;  ; AU ; 15 ; shneyder ; 446 
 4119 ; 250 рублей ; 1920 ;  ;  ; AU ; 51 ; fanil ; 813 
 4120 ; 3 рубля. Рига ; 1919 ; Латвия. Разменный знак ;  ; AU ; 98 ; al69 ; 605 
 4121 ; 25 рублей. Баку ; 1918 ;  ;  ; AU ; 45 ; sergoizadlera ; 1134 
 4122 ; 2 гривни ; 1918 ; Украина.Державный Кредитовий бiлет. ;  ; AU ; 56 ; monos72 ; 822 
 4123 ; 5 рублей. Рига ; 1919 ; Латвия. Разменный знак ;  ; AU ; 39 ; al69 ; 612 
 4124 ; 500 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ; AU ; 41 ; lvd ; 405 
 4125 ; 5 рублей ; 1919 ; Грузия ;  ; AU ; 63 ; monos72 ; 1566 
 4126 ; 5 рублей ; 1918 ; Закавказье ;  ; AU ; 32 ; monos72 ; 720 
 4127 ; 5 рублей ; 1918 ; Закавказье ;  ; AU ; 86 ; monos72 ; 714 
 4128 ; 10 рублей ; 1918 ; Закавказье ;  ; AU ; 48 ; fanil ; 697 
 4129 ; 5 марок. Западная Добров. Армия ; 1919 ;  ;  ; AU ; 55 ; 67 ; 3572 
 4130 ; 1 рубль ; 1918 ;  ;  ; AU ; 72 ; al69 ; 1260 
 4131 ; 1 рубль ; 1918 ;  ;  ; AU ; 14 ; QSCl ; 1134 
 4132 ; 50 рублей ; 1919 ; Грузия ;  ; AU ; 20 ; fanil ; 602 
 4133 ; 100 рублей ; 1919 ; Армения ;  ; AU ; 65 ; fanil ; 605 
 4134 ; 100000 рублей ; 1922 ; Азербайджан ;  ; AU ; 36 ; sergoizadlera ; 848 
 4135 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ; AU ; 12 ; Gold_42 ; 108 
 4136 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ; AU ; 100 ; fanil ; 772 
 4137 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ; AU ; 11 ; fanil ; 118 
 4138 ; 25 рублей ; 1918 ;  ;  ; AU ; 54 ; 661 ; 500 
 4139 ; 1 копейка. Без надпечатки ; 1915 ; Деньги-марки ;  ; AU ; 93 ; imir ; 2770 
 4140 ; 2 копейки. Без надпечатки ; 1915 ; Деньги-марки ;  ; AU ; 40 ; finder ; 2320 
 4141 ; 5 копеек ; 1918 ; Азербайджан ;  ; AU ; 29 ; monos72 ; 934 
 4142 ; 50 копеек ; 1918 ; Азербайджан ;  ; AU ; 62 ; SANGOLD1 ; 651 
 4143 ; 3 рубля. Одноцвет ; 1920 ; Расчетные знаки РСФСР образца 1920 г. ;  ; AU ; 70 ; lvd ; 3945 
 4144 ; 10 копеек ;  ; Разменные знаки и кредитные билеты Времен.правит.Дальнего Востока ;  ; AU ; 126 ; lvd ; 2176 
 4145 ; 30 копеек ;  ; Разменные знаки и кредитные билеты Времен.правит.Дальнего Востока ;  ; AU ; 73 ; lvd ; 1639 
 3709 ; Лот монет Норвегии: 18шт ; 1953-1971 ;  ; Br ; VF-/VF ; 64 ; D-503 ; 184 
 3710 ; Лот монет Дании: 9шт ; 1958-1985 ;  ; Br,Zn,Cu-Ni ; F-VF/VF ; 48 ; Vibel ; 97 
