 5958 ; Бона иностранная Болгария 25 лева ;  ;  ;  ; AU ; 7 ; psion22 ; 77 
 5889 ; Бона иностранная Франция ;  ;  ;  ;  ; 11 ; ОВМ ; 363 
 5890 ; Бона иностранная Франция ;  ;  ;  ;  ; 11 ; трутень ; 224 
 5891 ; Лот бон 2 шт. Германия ;  ;  ;  ;  ; 12 ; alapabula ; 209 
 5892 ; Лот бон 2 шт. Германия ;  ;  ;  ;  ; 27 ; alapabula ; 306 
 5893 ; Бона иностранная Греция ;  ;  ;  ;  ; 13 ; Мотя ; 64 
 5894 ; Бона иностранная Греция ;  ;  ;  ;  ; 19 ; трутень ; 56 
 5895 ; Бона иностранная Греция ;  ;  ;  ;  ; 17 ; трутень ; 56 
 5896 ; Бона иностранная Греция ;  ;  ;  ;  ; 7 ; трутень ; 46 
 5897 ; Лот бон 3 шт. Чехословакия ;  ;  ;  ;  ; 31 ; spikerson ; 174 
 5898 ; Лот бон 3 шт. СФРЮ ;  ;  ;  ;  ; 7 ; fuzzyfly ; 56 
 5899 ; Лот бон 15 шт. СФРЮ ;  ;  ;  ;  ; 16 ; Scorpionchic-sun ; 308 
 5900 ; Лот бон 9 шт. Бельгия ;  ;  ;  ;  ; 16 ; pref ; 134 
 5901 ; Бона иностранная Германия ; 1910 ;  ;  ;  ; 22 ; alapabula ; 120 
 5902 ; Бона иностранная Германия ; 1948 ;  ;  ;  ; 26 ; трутень ; 149 
 5903 ; Бона иностранная Германия ; 1944 ;  ;  ; AU ; 35 ; ф-а-и-69 ; 710 
 5904 ; Бона иностранная Германия ; 1944 ;  ;  ; AU ; 28 ; 06031983 ; 1111 
 5905 ; Бона иностранная Германия ; 1980 ;  ;  ;  ; 21 ; Жигурда ; 708 
 5906 ; Лот нотгельдов Германия 10 шт ;  ;  ;  ;  ; 37 ; alapabula ; 585 
 5907 ; Лот нотгельдов Германия 10 шт ;  ;  ;  ;  ; 29 ; alapabula ; 691 
 5808 ; Бона иностранная Турция ; 1877 ;  ;  ;  ; 35 ; kont ; 3400 
 5809 ; Бона иностранная Мальта ;  ;  ;  ;  ; 17 ; SS2008 ; 784 
 5810 ; Бона иностранная Мальта ;  ;  ;  ;  ; 95 ; kont ; 1600 
 5811 ; Бона иностранная Канада ;  ;  ;  ; AU ; 34 ; nikfed ; 283 
 5812 ; Бона иностранная Канада ;  ;  ;  ; AU ; 16 ; Hamlet ; 226 
 5813 ; Бона иностранная Нидерланды ;  ;  ;  ; XF ; 29 ; murew ; 416 
 5814 ; Бона иностранная Нидерланды ;  ;  ;  ; XF ; 122 ; alesjane ; 720 
 5815 ; Бона иностранная Руанда ;  ;  ;  ; AU ; 23 ; vicktor_2014 ; 498 
 5816 ; Бона иностранная Ливан ; 1939 ;  ;  ;  ; 57 ; MG ; 1108 
 5817 ; Бона иностранная Австралия ;  ;  ;  ;  ; 85 ; kont ; 1249 
 5818 ; Бона иностранная Фиджи ;  ;  ;  ; AU ; 20 ; murew ; 317 
 5819 ; Бона иностранная Словения ;  ;  ;  ; AU ; 31 ; alesjane ; 567 
 5820 ; Бона иностранная Новая Каледония ; 1942 ;  ;  ;  ; 24 ; derk02 ; 1281 
 5821 ; Бона иностранная Вануату ;  ;  ;  ; AU ; 19 ; 14587 ; 185 
 5822 ; Бона иностранная Заморские территории Франции ;  ;  ;  ; AU ; 23 ; derk02 ; 542 
 5823 ; Бона иностранная Фиджи ;  ;  ;  ; AU ; 55 ; derk02 ; 428 
 5824 ; Бона иностранная Фиджи ;  ;  ;  ; AU ; 14 ; karal ; 227 
 5825 ; Бона иностранная Соломоновы о-ва ;  ;  ;  ; AU ; 37 ; derk02 ; 1846 
 5826 ; Бона иностранная Черногория ; 1914 ;  ;  ;  ; 93 ; derk02 ; 1532 
 5827 ; Бона иностранная Сербия ; 1893 ;  ;  ;  ; 27 ; air ; 2650 
 5828 ; Бона иностранная СФРЮ ;  ;  ;  ;  ; 36 ; air ; 3062 
 5829 ; Бона иностранная Шотландия ;  ;  ;  ;  ; 21 ; alesjane ; 2511 
 5830 ; Бона иностранная Шотландия ;  ;  ;  ;  ; 21 ; D-503 ; 614 
 5831 ; Бона иностранная Шотландия ;  ;  ;  ;  ; 17 ; archy ; 579 
 5832 ; Бона иностранная Шотландия ;  ;  ;  ;  ; 36 ; D-503 ; 929 
 5833 ; Бона иностранная Шотландия ;  ;  ;  ;  ; 32 ; alesjane ; 816 
 5834 ; Бона иностранная Шотландия ;  ;  ;  ; AU ; 30 ; derk02 ; 757 
 5835 ; Бона иностранная Шотландия ;  ;  ;  ; XF ; 18 ; ОВМ ; 179 
 5836 ; Лот бон 5 шт. Албани, Турция, Греция ;  ;  ;  ;  ; 15 ; alesjane ; 745 
 5837 ; Бона иностранная Чили ;  ;  ;  ; AU ; 19 ; Deathbrain ; 216 
 5838 ; Бона иностранная ; 1869 ;  ;  ; AU ; 49 ; Wasabi ; 1517 
 5839 ; Бона иностранная Болгария ;  ;  ;  ;  ; 17 ; canario ; 62 
 5840 ; Бона иностранная Германия ;  ;  ;  ;  ; 40 ; наташа2712 ; 219 
 5841 ; Бона иностранная Германия ;  ;  ;  ;  ; 17 ; наташа2712 ; 218 
 5842 ; Бона иностранная Германия ;  ;  ;  ;  ; 18 ; smel ; 227 
 5843 ; Бона иностранная Германия ;  ;  ;  ;  ; 21 ; наташа2712 ; 196 
 5844 ; Бона иностранная Германия ;  ;  ;  ;  ; 47 ; kop ; 200 
 5845 ; Бона иностранная Германия ;  ;  ;  ;  ; 24 ; electra ; 179 
 5846 ; Бона иностранная Германия ;  ;  ;  ;  ; 35 ; smel ; 230 
 5847 ; Бона иностранная Германия ;  ;  ;  ;  ; 17 ; наташа2712 ; 182 
 5848 ; Бона иностранная Германия ;  ;  ;  ;  ; 20 ; electra ; 153 
 5849 ; Бона иностранная Германия ;  ;  ;  ;  ; 36 ; наташа2712 ; 214 
 5850 ; Бона иностранная Германия ;  ;  ;  ;  ; 23 ; smel ; 220 
 5851 ; Бона иностранная Германия ;  ;  ;  ;  ; 22 ; Майкл ; 204 
 5852 ; Бона иностранная Германия ;  ;  ;  ;  ; 19 ; Майкл ; 212 
 5853 ; Бона иностранная Германия ;  ;  ;  ;  ; 30 ; von_Schwarz ; 266 
 5854 ; Бона иностранная Германия ;  ;  ;  ;  ; 50 ; flutter ; 410 
 5855 ; Бона иностранная Германия ;  ;  ;  ;  ; 12 ; smel ; 204 
 5856 ; Бона иностранная Германия ;  ;  ;  ;  ; 22 ; kop ; 107 
 5857 ; Бона иностранная Германия ;  ;  ;  ;  ; 28 ; smel ; 153 
 5610 ; Бона иностранная ;  ;  ;  ;  ; 20 ; murew ; 250 
 5611 ; Бона иностранная ;  ;  ;  ;  ; 19 ; grimbo ; 350 
 5612 ; Бона иностранная ;  ;  ;  ;  ; 5 ; аулгуцул ; 35 
 5613 ; Бона иностранная ;  ;  ;  ;  ; 28 ; наташа2712 ; 157 
 5614 ; Бона иностранная ;  ;  ;  ;  ; 9 ; kop ; 140 
 5615 ; Бона иностранная ;  ;  ;  ;  ; 16 ; наташа2712 ; 161 
 5616 ; Бона иностранная ;  ;  ;  ;  ; 11 ; electra ; 159 
 5617 ; Бона иностранная ;  ;  ;  ;  ; 19 ; electra ; 101 
 5618 ; Бона иностранная ;  ;  ;  ;  ; 8 ; я8844 ; 125 
 5619 ; Бона иностранная ;  ;  ;  ;  ; 34 ; karal ; 878 
 5620 ; Бона иностранная ;  ;  ;  ;  ; 47 ; kop ; 161 
 5621 ; Бона иностранная ;  ;  ;  ;  ; 27 ; kop ; 153 
 5622 ; Бона иностранная ;  ;  ;  ;  ; 17 ; electra ; 101 
 5623 ; Бона иностранная ;  ;  ;  ;  ; 15 ; canario ; 101 
 5624 ; Бона иностранная ;  ;  ;  ;  ; 11 ; я8844 ; 125 
 5625 ; Бона иностранная ;  ;  ;  ;  ; 6 ; fuzzyfly ; 30 
 5626 ; Бона иностранная ;  ;  ;  ;  ; 7 ; allur65 ; 30 
 5627 ; Бона иностранная ;  ;  ;  ;  ; 13 ; kop ; 125 
 5628 ; Бона иностранная ;  ;  ;  ;  ; 18 ; flutter ; 207 
 5629 ; Бона иностранная ;  ;  ;  ;  ; 14 ; наташа2712 ; 146 
 5630 ; Бона иностранная ;  ;  ;  ;  ; 36 ; наташа2712 ; 217 
 5631 ; Бона иностранная ;  ;  ;  ;  ; 27 ; electra ; 150 
 5632 ; Бона иностранная ;  ;  ;  ;  ; 11 ; kop ; 132 
 5633 ; Бона иностранная ;  ;  ;  ;  ; 27 ; grimbo ; 472 
 5634 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 2128508 ; 102 
 5635 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Бармалей ; 452 
 5636 ; Бона иностранная ;  ;  ;  ;  ; 21 ; vlad77 ; 755 
 5637 ; Бона иностранная ;  ;  ;  ;  ; 11 ; electra ; 150 
 5638 ; Бона иностранная ;  ;  ;  ;  ; 20 ; kop ; 138 
 5639 ; Бона иностранная ;  ;  ;  ;  ; 21 ; kop ; 126 
 5640 ; Бона иностранная ;  ;  ;  ;  ; 13 ; electra ; 160 
 5641 ; Бона иностранная ;  ;  ;  ;  ; 5 ; аулгуцул ; 12 
 5642 ; Бона иностранная ;  ;  ;  ;  ; 13 ; kop ; 133 
 5643 ; Бона иностранная ;  ;  ;  ;  ; 15 ; alapabula ; 136 
 5644 ; Бона иностранная ;  ;  ;  ;  ; 9 ; electra ; 101 
 5645 ; Бона иностранная ;  ;  ;  ;  ; 20 ; MG ; 222 
 5646 ; Бона иностранная ;  ;  ;  ;  ; 10 ; archy ; 408 
 5647 ; Бона иностранная ;  ;  ;  ;  ; 7 ; num ; 50 
 5648 ; Бона иностранная ;  ;  ;  ;  ; 15 ; electra ; 160 
 5649 ; Бона иностранная ;  ;  ;  ;  ; 11 ; трутень ; 113 
 5650 ; Бона иностранная ;  ;  ;  ;  ; 7 ; аулгуцул ; 56 
 5651 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 333985 ; 58 
 5800 ; Бона иностранная Албания ;  ;  ;  ;  ; 16 ; doc2 ; 1023 
 5801 ; Бона иностранная Албания ;  ;  ;  ; XF ; 13 ; doc2 ; 257 
 5802 ; Бона иностранная Албания ;  ;  ;  ; AU ; 17 ; vladmarkin ; 170 
 5803 ; Бона иностранная Албания ;  ;  ;  ; XF ; 13 ; 2128508 ; 1122 
 5804 ; Бона иностранная Албания ;  ;  ;  ; AU ; 50 ; alesjane ; 355 
 5805 ; Бона иностранная Турция ;  ;  ;  ;  ; 37 ; nikfed ; 3513 
 5806 ; Бона иностранная Турция ;  ;  ;  ;  ; 42 ; doc2 ; 709 
 5807 ; Бона иностранная Турция ;  ;  ;  ; AU ; 7 ; canario ; 51 
 5560 ; Бона иностранная ;  ;  ;  ;  ; 11 ; я8844 ; 244 
 5561 ; Бона иностранная ;  ;  ;  ;  ; 16 ; dsp ; 305 
 5562 ; Бона иностранная ;  ;  ;  ;  ; 9 ; alesjane ; 130 
 5563 ; Бона иностранная ;  ;  ;  ;  ; 15 ; SS2008 ; 219 
 5564 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 4758 ; 53 
 5565 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 2128508 ; 80 
 5566 ; Бона иностранная ;  ;  ;  ;  ; 14 ; 2128508 ; 46 
 5567 ; Бона иностранная ;  ;  ;  ;  ; 9 ; филипок ; 30 
 5568 ; Бона иностранная ;  ;  ;  ;  ; 28 ; kkond ; 40 
 5569 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Rober ; 30 
 5570 ; Бона иностранная ;  ;  ;  ;  ; 16 ; SS2008 ; 82 
 5571 ; Бона иностранная ;  ;  ;  ;  ; 35 ; 45b00f ; 208 
 5572 ; Бона иностранная ;  ;  ;  ;  ; 9 ; аулгуцул ; 40 
 5573 ; Бона иностранная ;  ;  ;  ;  ; 17 ; YSV_HYDRO ; 216 
 5574 ; Бона иностранная ;  ;  ;  ;  ; 8 ; canario ; 32 
 5575 ; Бона иностранная ;  ;  ;  ;  ; 11 ; я8844 ; 114 
 5576 ; Бона иностранная ;  ;  ;  ;  ; 19 ; 14587 ; 122 
 5577 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 2128508 ; 60 
 5578 ; Бона иностранная ;  ;  ;  ;  ; 14 ; vladmarkin ; 30 
 5579 ; Бона иностранная ;  ;  ;  ;  ; 11 ; гш888 ; 155 
 5580 ; Бона иностранная ;  ;  ;  ;  ; 12 ; yuvg ; 125 
 5581 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 4758 ; 46 
 5582 ; Бона иностранная ;  ;  ;  ;  ; 7 ; canario ; 20 
 5583 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 333985 ; 65 
 5584 ; Бона иностранная ;  ;  ;  ;  ; 13 ; 333985 ; 46 
 5585 ; Бона иностранная ;  ;  ;  ;  ; 13 ; bliznetz ; 301 
 5586 ; Бона иностранная ;  ;  ;  ;  ; 11 ; я8844 ; 12 
 5587 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 4758 ; 42 
 5588 ; Бона иностранная ;  ;  ;  ;  ; 13 ; 333985 ; 56 
 5589 ; Бона иностранная ;  ;  ;  ;  ; 8 ; bagsy ; 62 
 5590 ; Бона иностранная ;  ;  ;  ;  ; 17 ; max2008 ; 222 
 5591 ; Бона иностранная ;  ;  ;  ;  ; 16 ; pref ; 173 
 5592 ; Бона иностранная ;  ;  ;  ;  ; 3 ; аулгуцул ; 30 
 5593 ; Бона иностранная ;  ;  ;  ;  ; 11 ; bliznetz ; 51 
 5594 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 4758 ; 16 
 5595 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 4758 ; 29 
 5596 ; Бона иностранная ;  ;  ;  ;  ; 29 ; vladmarkin ; 196 
 5597 ; Бона иностранная ;  ;  ;  ;  ; 7 ; аулгуцул ; 22 
 5598 ; Бона иностранная ;  ;  ;  ;  ; 7 ; аулгуцул ; 44 
 5599 ; Бона иностранная ;  ;  ;  ;  ; 9 ; я8844 ; 79 
 5600 ; Бона иностранная ;  ;  ;  ;  ; 26 ; doc2 ; 1683 
 5601 ; Бона иностранная ;  ;  ;  ;  ; 10 ; kop ; 140 
 5602 ; Бона иностранная ;  ;  ;  ;  ; 25 ; vladmarkin ; 201 
 5603 ; Бона иностранная ;  ;  ;  ;  ; 43 ; electra ; 148 
 5604 ; Бона иностранная ;  ;  ;  ;  ; 36 ; vladmarkin ; 164 
 5605 ; Бона иностранная ;  ;  ;  ;  ; 31 ; vladmarkin ; 180 
 5606 ; Бона иностранная ;  ;  ;  ;  ; 35 ; electra ; 148 
 5607 ; Бона иностранная ;  ;  ;  ;  ; 22 ; diskus72 ; 50 
 5608 ; Бона иностранная ;  ;  ;  ;  ; 16 ; наташа2712 ; 187 
 5609 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Майкл ; 188 
 5510 ; Бона иностранная ;  ;  ;  ;  ; 6 ; allur65 ; 38 
 5511 ; Бона иностранная ;  ;  ;  ;  ; 6 ; vladmarkin ; 34 
 5512 ; Бона иностранная ;  ;  ;  ;  ; 6 ; vladmarkin ; 33 
 5513 ; Бона иностранная ;  ;  ;  ;  ; 8 ; vladmarkin ; 34 
 5514 ; Бона иностранная ;  ;  ;  ;  ; 4 ; vladmarkin ; 34 
 5515 ; Бона иностранная ;  ;  ;  ;  ; 5 ; vladmarkin ; 34 
 5516 ; Бона иностранная ;  ;  ;  ;  ; 9 ; vladmarkin ; 45 
 5517 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Hamlet ; 38 
 5518 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Hamlet ; 38 
 5519 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Hamlet ; 45 
 5520 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Hamlet ; 45 
 5521 ; Бона иностранная ;  ;  ;  ;  ; 9 ; canario ; 30 
 5522 ; Бона иностранная ;  ;  ;  ;  ; 8 ; я8844 ; 22 
 5523 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4758 ; 11 
 5524 ; Бона иностранная ;  ;  ;  ;  ; 6 ; я8844 ; 23 
 5525 ; Бона иностранная ;  ;  ;  ;  ; 18 ; grimbo ; 152 
 5526 ; Бона иностранная ;  ;  ;  ;  ; 9 ; bliznetz ; 51 
 5527 ; Бона иностранная ;  ;  ;  ;  ; 8 ; аулгуцул ; 30 
 5528 ; Бона иностранная ;  ;  ;  ;  ; 7 ; pref ; 40 
 5529 ; Бона иностранная ;  ;  ;  ;  ; 17 ; alesjane ; 114 
 5530 ; Бона иностранная ;  ;  ;  ;  ; 15 ; .gk ; 79 
 5531 ; Бона иностранная ;  ;  ;  ;  ; 14 ; .gk ; 77 
 5532 ; Бона иностранная ;  ;  ;  ;  ; 12 ; tss ; 121 
 5533 ; Бона иностранная ;  ;  ;  ;  ; 19 ; murew ; 159 
 5534 ; Бона иностранная ;  ;  ;  ;  ; 18 ; murew ; 159 
 5535 ; Бона иностранная ;  ;  ;  ;  ; 20 ; 4758 ; 20 
 5536 ; Бона иностранная ;  ;  ;  ;  ; 9 ; филипок ; 34 
 5537 ; Бона иностранная ;  ;  ;  ;  ; 17 ; трутень ; 130 
 5538 ; Бона иностранная ;  ;  ;  ;  ; 11 ; .gk ; 50 
 5539 ; Бона иностранная ;  ;  ;  ;  ; 14 ; alesjane ; 33 
 5540 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 4758 ; 26 
 5541 ; Бона иностранная ;  ;  ;  ;  ; 14 ; филипок ; 26 
 5542 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 4758 ; 53 
 5543 ; Бона иностранная ;  ;  ;  ;  ; 13 ; 4758 ; 79 
 5544 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 4758 ; 79 
 5545 ; Бона иностранная ;  ;  ;  ;  ; 27 ; 333985 ; 53 
