 251 ; Медаль В память войны 1853-1856. D-28мм ;  ;  ; Ж/м ; XF+ ; 33 ; Blister ; 4970 
 264 ; Медаль. На столетие Императора Александра I.D-63мм ;  ;  ; Cu ; XF ; 45 ; Продано в зале ; 9500 
 265 ; Медаль в память 100-летия Ордена Св. Великомученика и Победоносца Георгия1869. Медальеры В. Алексеев. D-71мм ;  ;  ; Br ; VF+ ; 23 ; Sintez ; 5634 
 266 ; Медаль В память 200-летия Горного ведомства. Медальер: ГРИЛИХ. СЫНЪ (Грилихес-сын)". Оборотняя стророна "Соч. Н. Фоллендорфъ Леп. И Рез. Грихилесъ сынъ. D-76мм ; 1900 ;  ; Cu ; XF ; 29 ; Blister ; 15919 
 267 ; Медаль. На 100-летие Министерства Народного Просвещения ;  ;  ; Cu ; XF ; 21 ; Продано в зале ; 10500 
 268 ; Медаль. В память 200-летия Морского Кадетского корпуса. D-63мм ; 1901 ;  ; Cu ; XF+ ; 11 ; Продано в зале ; 10500 
 269 ; Медаль Вторая Всероссийская Кустарная выставка. За полезные труды. D-63мм ;  ;  ; Br ; XF ; 14 ; gelo ; 5211 
 270 ; Медаль. Физико-математическое общество при Казанском университете. Памяти Н.И. Лобачевскаго. D-42мм ; 1895 ;  ; Cu ; XF ; 51 ; Продано в зале ; 24000 
 271 ; Медаль В память 50ти летнего юбилея Константина Андреевича Тона. D-51мм ;  ;  ; Ж/м ; XF ; 21 ; Продано в зале ; 6000 
 272 ; Медаль. В память 50-летней службы. Константин Владимирович Чевкин. 1822-1872 г. D-72мм ;  ;  ; Cu ; XF ; 11 ; Blister ; 14280 
 273 ; Медаль. В память 50-летнего служения наук. В.Я. Буняковский. D-70мм ;  ;  ; Cu ; XF ; 13 ; suomen1917 ; 12240 
 274 ; Медаль В память 50-летия Корпуса военных топографов. D-86мм ;  ;  ; Br ; VF-XF ; 15 ; Sintez ; 14000 
 275 ; Медаль. В память 50-летия Уманского училища земледелия и садоводства. D-77мм ;  ;  ; Cu ; XF- ; 50 ; 1774 ; 34680 
 276 ; Медаль "В память освящения Исаакиевского собора в Санкт-Петербурге". СПб мон двор. Медальеры: А.Лялин, В.Алексеев. D-80мм ;  ;  ; Br ; XF ; 36 ; Продано в зале ; 14000 
 277 ; Медаль "В память освещения Храма Христа Спасителя в Москве" Медальер В.Алексеев. D-77мм ;  ;  ; Br ; XF ; 24 ; Продано в зале ; 10500 
 278 ; Медаль На утверждение генерального плана Императорского Воспитательного дома в Москве. Медальер Тимофей Иванов. D-51мм ;  ;  ; Br ; VF ; 20 ; gelo ; 5557 
 279 ; Знак ордена Св. Станислава III ст. с мечами Выдача из капитула. Мастерская "Дмитрия Осипова" до 1916 ;  ;  ; Br, поз,эмаль ; XF ; 40 ; заяц побегаец ; 42126 
 280 ; Знак Красного Креста. Фирма "Эдуард". . Клейма на оборотной стороне: пробирное «84» с женской головкой в кокошнике влево ;  ;  ; Ag,эмаль ; XF ; 27 ; Продано в зале ; 18000 
 281 ; Знак об окончании Артиллерийской Академии ;  ;  ; Ж/м ; XF ; 26 ; Sky2 ; 12485 
 282 ; Нагрудный знак об окончании Института инженеров путей сообщения ;  ;  ; Ag ; VF-XF ; 12 ; sotnik ; 15766 
 283 ; Фрачный знак об окончании Санкт-Петербургского Практического Технологического института после 1896г. Клейма: именное "ЕШ". М-7,8г ;  ;  ; Ag,позолота ; XF ; 29 ; Sky2 ; 11219 
 284 ; Должностной знак. Лавник 1864г ;  ;  ; Ж/м ; VF-XF ; 43 ; Blister ; 14280 
 201 ; Деньга (Ильин-3р, Петров-2,5р) ; 1804 ; КМ ; Cu ; VF ; 35 ; пешков87 ; 19380 
 202 ; Денежка (Ильин-3р, Петров-5р) ; 1856 ; ВМ ; Cu ; F-VF ; 23 ; Leaf ; 35700 
 203 ; 1/2 копейки ; 1868 ; СПБ ; Cu ; XF- ; 43 ; Хаа ; 14994 
 204 ; 1/2 копейки ; 1882 ; СПБ ; Cu ; XF ; 36 ; Leaf ; 4400 
 205 ; Полушка ; 1790 ; ЕМ ; Cu ; VF+ ; 39 ; пешков87 ; 5624 
 206 ; Полушка ; 1798 ; АМ ; Cu ; F-VF ; 57 ; оникёр ; 5179 
 207 ; Полушка ; 1859 ; ЕМ ; Cu ; XF- ; 47 ; пешков87 ; 4080 
 208 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; XF ; 60 ; Rare Breed ; 3438 
 209 ; 1/4 копейки ; 1881 ; СПБ ; Cu ; XF- ; 27 ; обморок ; 7187 
 210 ; 1/4 копейки ; 1915 ;  ; Cu ; AU ; 79 ; обморок ; 15206 
 211 ; 3/4 рубля-5 злотых (Ильин-3р) ; 1836 ; НГ Рус.-Пол. ; Ag ; VF-XF ; 37 ; оникёр ; 12240 
 212 ; 2 марки ; 1870 ; S Финляндия ; Ag ; AU ; 30 ; Продано в зале ; 12000 
 213 ; 1 марка ; 1864 ; S Финляндия ; Ag ; XF+ ; 31 ; Продано в зале ; 16000 
 214 ; 1 марка ; 1865 ; S Финляндия ; Ag ; AU ; 32 ; Продано в зале ; 2600 
 215 ; 1 марка ; 1874 ; S Финляндия ; Ag ; AU ; 29 ; Leaf ; 10200 
 216 ; 50 пенни ; 1865 ; S Финляндия ; Ag ; XF+ ; 13 ; Продано в зале ; 10000 
 217 ; 25 пенни ; 1873 ; S Финляндия ; Ag ; AU ; 53 ; SuRaV ; 8000 
 218 ; 25 пенни ; 1875 ; S Финляндия ; Ag ; AU ; 25 ; Продано в зале ; 7000 
 219 ; 10 пенни ; 1867 ; Финляндия ; Cu ; XF+ ; 27 ; Продано в зале ; 4300 
 220 ; 5 пенни ; 1901 ; Финляндия ; Cu ; AU ; 34 ; Продано в зале ; 8000 
 221 ; 20 копеек ; 1931 ;  ; Ag ; XF ; 37 ; Logistik ; 175100 
 222 ; 2 копейки ; 1925 ; Гурт рубчатый ; Cu ; F+ ; 51 ; Logistik ; 76999 
 223 ; 1 копейка ; 1925 ; Гурт рубчатый ; Cu ; VF+ ; 23 ; Logistik ; 23970 
 224 ; 20 копеек ; 1922 ; Николо-Павдиевский кооператив (Екатеринбург, 1922 г.) ;  ; VF-XF ; 35 ; masterovoi ; 10965 
 225 ; Один червонец ; 1980 ; ММД ; Au ; Proof ; 25 ; оникёр ; 33016 
 226 ; 1000 рублей ; 2001 ; ММД Барк "Седов" ; Au ; Proof ; 36 ; Продано в зале ; 600000 
 227 ; 100 рублей ; 1995 ; ММД 1000-летие России. Орден Св.Александра Невского ; Au ; Proof ; 8 ; Amndom ; 40086 
 228 ; 100 рублей ; 1996 ; ММД 300-летие российского флота. Эсминцы ; Au ; Proof ; 18 ; 8913SPb ; 112200 
 229 ; 50 рублей ; 1996 ; ЛМД 300-летие российского флота. Крейсер "Варяг" ; Au ; Proof ; 31 ; 8913SPb ; 64888 
 230 ; 50 рублей ; 2003 ; ММД Окно в Европу. Петр I (портрет) ; Au ; Proof ; 17 ; 8913SPb ; 58367 
 231 ; 50 рублей ; 2004 ; ММД Сохраним наш мир. Северный олень ; Au ; Proof ; 13 ; 8913SPb ; 32500 
 232 ; 50 рублей ; 2009 ; ММД ЮНЕСКО. Памятники В. Новгорода ; Au ; Proof ; 16 ; а1945 ; 21974 
 233 ; 25 рублей ; 1996 ; ЛМД 300 лет Российскому флоту. Ф.Ф.Ушаков ; Ag ; Proof ; 9 ; 8913SPb ; 11730 
 234 ; 25 рублей. Сертификат ; 1997 ; ЛМД "Сохраним наш мир". Белый медведь ; Ag ; Proof ; 7 ; 8913SPb ; 11980 
 235 ; 25 рублей. Сертификат ; 1997 ; ММД "Сохраним наш мир". Бурый медведь ; Ag ; Proof ; 15 ; 8913SPb ; 24844 
 236 ; 25 рублей. Сертификат ; 2010 ; СПМД Ростральные колонны 1810-2010 ; Ag ; Proof ; 15 ; gelo ; 17338 
 237 ; 1 рубль ; 1985 ; 165 лет со дня рождения Ф.Энгельса.Дата 1983 вместо 1985. Новодел ; Cu-Ni ; Proof ; 70 ; а333аа ; 32011 
 238 ; Медаль За отличие . Посети виноград сей. Николай II. D-45mm. M-52,46гр. ; 1914 ;  ; Au ; VF-XF ; 81 ; 8913SPb ; 443890 
 239 ; Наградная медаль «Преуспевающему» для учащихся мужских гимназий. D-33mm. M-25,88гр. ;  ;  ; Au ; XF- ; 55 ; 8913SPb ; 148570 
 240 ; Медаль В память царствования Императора Николая I. 1825-1855 гг. D-28мм ;  ;  ; Ag ; VF-XF ; 29 ; Продано в зале ; 20000 
 241 ; Медаль В память освящения Исаакиевского собора в Санкт-Петербурге. Медальер: И. Чукм. Р. D-34мм ;  ;  ; Ag ; VF ; 86 ; Продано в зале ; 1150000 
 242 ; Медаль В память царствования Императора Александра III. 1881-1894гг. D-28мм ;  ;  ; Ag ; XF- ; 23 ; Sintez ; 4094 
 243 ; Медаль. За усердие. Император Николай II. D-30мм ;  ;  ; Ag ; XF ; 35 ; Продано в зале ; 6600 
 244 ; Медаль. Сельско-хозяйственное общество в Королевстве Польском. D-62мм 1859 ;  ;  ; Ag ; VF-XF ; 44 ; Leaf ; 21835 
 245 ; Медаль. Императорское Российское общество плодоводства. За труды по плодоводству. D-57мм  ;  ;  ; Ag ; XF- ; 49 ; Продано в зале ; 39000 
 246 ; Медаль в память Всероссийской промышленно-художественной выставки 1882 г. в Москве. Медальер: Л.Х.Штейнман. D-50мм ;  ;  ; Ag ; VF-XF ; 72 ; Продано в зале ; 48000 
 247 ; Медаль в память коронования Императора Александра III и Императрицы Марии Федоровны, 15 мая 1883 г. Медальер:  А.Г.Грилихес (отец) (А.Г.Г.Р.). D-51мм. М-76,9г. В коробке ;  ;  ; Ag ; XF ; 49 ; Продано в зале ; 105000 
 248 ; Медаль. Бессарабская Сельско-хозяйственная выставка в Кишенёве. D-53мм ; 1889 ;  ; Ag ; XF ; 48 ; Blister ; 50408 
 249 ; Медаль. Россия. Общество любителей породистых собак. D-39,5мм ;  ;  ; Ag ; XF+ ; 27 ; Продано в зале ; 9500 
 250 ; Медаль "Геройскому и благородному бельгийскому народу дань восхищения русских людей" D-32мм ;  ;  ; Ag ; XF ; 29 ; Продано в зале ; 7000 
 151 ; 5 копеек ; 1840 ; СПБ НГ ; Ag ; XF ; 48 ; vasek ; 2242 
 152 ; 5 копеек ; 1856 ; СПБ ФБ ; Ag ; AU ; 29 ; Хеймдалль ; 7140 
 153 ; 5 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 46 ; tо-tо ; 7650 
 154 ; 5 копеек. Капсула NGC ; 1885 ; СПБ АГ ; Ag ;  ; 40 ; il468 ; 2609 
 155 ; 10 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF-XF ; 40 ; electra ; 8160 
 156 ; 5 копеек ; 1727 ; КД Одна из точек под хв. ; Cu ; F-VF ; 83 ; Продано в зале ; 42000 
 157 ; 5 копеек ; 1762 ;  ; Cu ; F-VF ; 16 ; 298956 ; 1846 
 158 ; 5 копеек (Ильин-1р) ; 1764 ; СМ ; Cu ; VF- ; 17 ; 298956 ; 5814 
 159 ; 5 копеек (Ильин-3р) ; 1764 ; СПМ ; Cu ; VF ; 28 ; Продано в зале ; 8500 
 160 ; 5 копеек (Ильин-5р, Петров-3р) ; 1767 ; СПМ ; Cu ; VF- ; 47 ; оникёр ; 12750 
 161 ; 5 копеек  (Петров-10р, Ильин-2р) ; 1781 ; КМ ; Cu ; VF ; 28 ; Легко. ; 9182 
 162 ; 5 копеек ; 1784 ; КМ ; Cu ; XF+ ; 29 ; 8 988 ; 5600 
 163 ; 5 копеек ; 1785 ; КМ ; Cu ; XF ; 9 ; 298956 ; 3500 
 164 ; 5 копеек ; 1785 ; КМ ; Cu ; XF+ ; 34 ; Продано в зале ; 2600 
 165 ; 5 копеек ; 1790 ; КМ ; Cu ; VF-XF ; 46 ; Мари ; 3000 
 166 ; 5 копеек ; 1790 ; АМ ; Cu ; XF ; 15 ; Продано в зале ; 5500 
 167 ; 5 копеек ; 1791 ; КМ ; Cu ; XF+ ; 36 ; 🕳 ; 3091 
 168 ; 5 копеек ; 1792 ; АМ ; Cu ; XF- ; 21 ; Мари ; 2559 
 169 ; 5 копеек ; 1792 ; КМ ; Cu ; XF+ ; 29 ; slando ; 2869 
 170 ; 5 копеек ; 1793 ; КМ ; Cu ; XF ; 17 ; Продано в зале ; 7600 
 171 ; 5 копеек ; 1793 ; КМ ; Cu ; XF+ ; 35 ; ааа-ааа ; 3580 
 172 ; 5 копеек ; 1794 ; КМ ; Cu ; XF+ ; 23 ; Продано в зале ; 4800 
 173 ; 5 копеек ; 1794 ; КМ ; Cu ; VF-XF ; 17 ; Продано в зале ; 12000 
 174 ; 5 копеек ; 1796 ; ЕМ Павл.перечек. ; Cu ; VF+ ; 27 ; Хеймдалль ; 15000 
 175 ; 5 копеек (Петров-2р) ; 1802 ; КМ ; Cu ; XF ; 31 ; Продано в зале ; 13500 
 176 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF ; 26 ; 298956 ; 5000 
 177 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF- ; 43 ; 298956 ; 5000 
 178 ; 5 копеек (Петров-2р, Ильин-1р) ; 1804 ; КМ ; Cu ; XF- ; 41 ; Diatez ; 9066 
 179 ; 5 копеек (Петров-4р, Ильин-3р) ; 1808 ; КМ ; Cu ; VF-XF ; 36 ; gurt72 ; 6096 
 180 ; 5 копеек (Петров-4р, Ильин-3р) ; 1808 ; КМ ; Cu ; VF ; 23 ; sotnik ; 8058 
 181 ; 5 копеек (Петров-5р, Ильин-3р) ; 1809 ; КМ ; Cu ; VF-XF ; 19 ; gurt72 ; 6326 
 182 ; 5 копеек (Петров-7р, Ильин-5р) ; 1810 ; КМ ; Cu ; VF-XF ; 34 ; Продано в зале ; 24000 
 183 ; 5 копеек ; 1858 ; ЕМ ; Cu ; XF ; 26 ; оникёр ; 3313 
 184 ; 3 копейки (Ильин-2р) ; 1851 ; ВМ ; Cu ; VF-XF ; 15 ; пешков87 ; 13797 
 185 ; 3 копейки ; 1881 ; СПБ ; Cu ; AU ; 64 ; Продано в зале ; 15000 
 186 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; XF ; 33 ; ZOLTAN333 ; 5100 
 187 ; 2 копейки ; 1840 ; СМ ; Cu ; VF-XF ; 26 ; пешков87 ; 1181 
 188 ; 2 копейки. Капсула NGC ; 1863 ; ЕМ Пробная. ; Cu ;  ; 56 ; DAndy-2003 ; 71268 
 189 ; 2 копейки ; 1876 ; ЕМ ; Cu ; XF+ ; 38 ; пешков87 ; 20000 
 190 ; 2 копейки ; 1900 ; СПБ ; Cu ; AU ; 28 ; Продано в зале ; 16500 
 191 ; 2 копейки ; 1903 ; СПБ ; Cu ; AU ; 41 ; пешков87 ; 5000 
 192 ; Копейка ; 1712 ; МД ; Cu ; VF ; 26 ; оникёр ; 4162 
 193 ; Копейка ; 1724 ;  ; Cu ; F-VF ; 81 ; пешков87 ; 35280 
 194 ; Копейка ; 1755 ; СПБ ; Cu ; VF-XF ; 58 ; Leaf ; 31090 
 195 ; Копейка. Анинский мон.двор. С экспертным заключением. Конрос Базовый каталог 209/1450 R3 ; 1790 ; ЕМ ; Cu ; F-VF ; 28 ; Изид ; 135000 
 196 ; Копейка ; 1795 ; ЕМ ; Cu ; VF+ ; 51 ; Продано в зале ; 2800 
 197 ; Копейка ; 1831 ; СМ ; Cu ; VF+ ; 27 ; пешков87 ; 3314 
 198 ; Копейка ; 1834 ; ЕМ ФХ ; Cu ; XF ; 32 ; Leaf ; 7318 
 199 ; Копейка ; 1847 ; СМ ; Cu ; VF+ ; 12 ; пешков87 ; 1593 
 200 ; Копейка ; 1904 ; СПБ ; Cu ; AU ; 28 ; SuRaV ; 4162 
 101 ; 25 копеек ; 1830 ; СПБ НГ ; Ag ; XF+ ; 35 ; Хеймдалль ; 19000 
 102 ; 25 копеек ; 1832 ; СПБ НГ ; Ag ; XF+ ; 38 ; Пола ; 27001 
 103 ; 25 копеек (Ильин-6р, Петров-6р) ; 1841 ; СПБ НГ ; Ag ; VF+ ; 51 ; оникёр ; 30600 
 104 ; 25 копеек "Чистлго" ; 1851 ; СПБ ПА ; Ag ; VF-XF ; 56 ; cr58 ; 4692 
 105 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 61 ; sax ; 11042 
 106 ; 25 копеек ; 1892 ; (АГ) АГ ; Ag ; XF+ ; 46 ; Logistik ; 255000 
 107 ; 25 копеек. Капсула ННР ; 1893 ; (АГ) АГ ; Ag ;  ; 31 ; sotnik ; 25508 
 108 ; 25 копеек ; 1900 ; АГ ; Ag ; AU ; 68 ; Хеймдалль ; 39200 
 109 ; 20 копеек ; 1772 ; СПБ TI ; Ag ; VF ; 31 ; N.A.S.A ; 3249 
 110 ; 20 копеек ; 1776 ; СПБ TI ; Ag ; VF-XF ; 64 ; обморок ; 13170 
 111 ; 20 копеек (Ильин-3р) ; 1833 ; СПБ НГ ; Ag ; VF+ ; 16 ; Luftchen ; 3180 
 112 ; 20 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 37 ; Reichard ; 2934 
 113 ; 20 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 41 ; Rare Breed ; 1634 
 114 ; 20 копеек ; 1872 ; СПБ HI ; Ag ; AU ; 37 ; ААФ ; 2267 
 115 ; 20 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 42 ; Reichard ; 2611 
 116 ; 15 копеек ; 1770 ; ММД ; Ag ; XF ; 69 ; Продано в зале ; 10500 
 117 ; 15 копеек. Капсула NGC ; 1864 ; СПБ НФ ; Ag ;  ; 27 ; tisa66 ; 4692 
 118 ; 15 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 38 ; Reichard ; 2756 
 119 ; 15 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 27 ; Luftchen ; 2267 
 120 ; 15 копеек ; 1878 ; СПБ НФ ; Ag ; XF+ ; 42 ; Продано в зале ; 10000 
 121 ; 15 копеек ; 1881 ; СПБ НФ ; Ag ; AU ; 32 ; оникёр ; 8670 
 122 ; 15 копеек ; 1889 ; СПБ АГ ; Ag ; AU ; 18 ; Продано в зале ; 6500 
 123 ; 15 копеек ; 1899 ; СПБ АГ ; Ag ; AU ; 66 ; ZOLTAN333 ; 4813 
 124 ; Гривна ; 1704 ; БК ; Ag ; VF+ ; 60 ; Продано в зале ; 32000 
 125 ; Гривенник ; 1769 ; СПБ TI ; Ag ; XF ; 53 ; Mollo ; 3700 
 126 ; Гривенник ; 1771 ; СПБ TI ; Ag ; XF+ ; 41 ; ЛАВ-13 ; 5304 
 127 ; Гривенник ; 1784 ; СПБ ; Ag ; VF-XF ; 25 ; cr58 ; 2301 
 128 ; 10 копеек ; 1799 ; СМ МБ ; Ag ; VF-XF ; 34 ; papinazu ; 16379 
 129 ; 10 копеек (Петров-1,25р) ; 1802 ; СПБ АИ ; Ag ; VF ; 29 ; gelo ; 16320 
 130 ; 10 копеек ; 1842 ; СПБ АЧ ; Ag ; XF ; 13 ; 25 ; 6800 
 131 ; 10 копеек. Капсула PCGS ; 1855 ; СПБ HI ; Ag ;  ; 29 ; Продано в зале ; 3500 
 132 ; 10 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 35 ; 25 ; 9066 
 133 ; 10 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 36 ; tо-tо ; 7026 
 134 ; 10 копеек ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 36 ; Продано в зале ; 4200 
 135 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 36 ; 25 ; 2145 
 136 ; 10 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 40 ; Reichard ; 2073 
 137 ; 10 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 33 ; tisa66 ; 4286 
 138 ; 10 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 29 ; tisa66 ; 2607 
 139 ; 10 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 45 ; 25 ; 4290 
 140 ; 10 копеек ; 1884 ; СПБ АГ ; Ag ; AU ; 28 ; оникёр ; 7650 
 141 ; 10 копеек. Капсула NGC ; 1884 ; СПБ АГ ; Ag ;  ; 52 ; Продано в зале ; 13000 
 142 ; 10 копеек ; 1896 ; СПБ АГ ; Ag ; XF+ ; 26 ; AlexMar ; 8160 
 143 ; 10 копеек ; 1901 ; СПБ ФЗ ; Ag ; AU ; 50 ; tisa66 ; 11000 
 144 ; 10 копеек ; 1904 ; СПБ АР ; Ag ; AU ; 31 ; tо-tо ; 3400 
 145 ; 10 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 28 ; обморок ; 2833 
 146 ; 5 копеек ; 1755 ; СПБ ; Ag ; VF-XF ; 23 ; Хеймдалль ; 8254 
 147 ; 5 копеек ; 1820 ; СПБ ПС ; Ag ; VF-XF ; 29 ; пара ; 7927 
 148 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; AU ; 61 ; sax ; 4880 
 149 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; XF ; 75 ; Продано в зале ; 5000 
 150 ; 5 копеек ; 1829 ; СПБ НГ ; Ag ; AU ; 61 ; sdv75-2010 ; 23274 
 51 ; Рубль (Ильин-5р) ; 1818 ; СПБ СП ; Ag ; VF-XF ; 42 ; обморок ; 45696 
 52 ; Рубль ; 1829 ; СПБ НГ ; Ag ; XF ; 37 ; Стебут ; 33660 
 53 ; Рубль ; 1834 ; СПБ НГ ; Ag ; XF ; 23 ; Хеймдалль ; 8597 
 54 ; Рубль ; 1839 ; H.Gube F. "На открытие Бородинского памятника-часовни" ; Ag ; XF ; 43 ; Продано в зале ; 140000 
 55 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF ; 33 ; Продано в зале ; 8500 
 56 ; Рубль (переходный). М-20,69г ; 1841 ; СПБ НГ На бракосочетание Александра Николаевича ; Ag ; AU ; 98 ; Продано в зале ; 1100000 
 57 ; Рубль ; 1844 ; MW ; Ag ; XF- ; 48 ; Хеймдалль ; 12240 
 58 ; Рубль ; 1846 ; СПБ ПА ; Ag ; XF+ ; 54 ; SuRaV ; 19000 
 59 ; Рубль ; 1850 ; СПБ ПА ; Ag ; XF+ ; 63 ; Reichard ; 21751 
 60 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; XF ; 30 ; papinazu ; 46576 
 61 ; Рубль ; 1871 ; СПБ HI ; Ag ; XF ; 42 ; papinazu ; 34911 
 62 ; Рубль ; 1878 ; СПБ НФ ; Ag ; AU ; 68 ; Продано в зале ; 18000 
 63 ; Рубль ; 1878 ; СПБ НФ ; Ag ; XF ; 34 ; Reichard ; 13792 
 64 ; Рубль ; 1887 ; (АГ) ; Ag ; VF+ ; 59 ; Продано в зале ; 24000 
 65 ; Рубль ; 1890 ; (АГ) ; Ag ; XF+ ; 58 ; Продано в зале ; 96000 
 66 ; Рубль ; 1893 ; (АГ) ; Ag ; XF- ; 46 ; vvt ; 15000 
 67 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; AU ; 69 ; Продано в зале ; 78000 
 68 ; Рубль ; 1897 ; ( ** ) ; Ag ; AU ; 31 ; Продано в зале ; 42000 
 69 ; Рубль ; 1898 ; (АГ) ; Ag ; XF ; 25 ; пара ; 9035 
 70 ; Рубль. Ремонт 12 часов ; 1898 ; (АГ) На открытие памятника Александру II ; Ag ; VF-XF ; 29 ; Dzmitry ; 80000 
 71 ; Рубль ; 1898 ; (АГ) На открытие памятника Александру II ; Ag ; XF- ; 76 ; Продано в зале ; 185000 
 72 ; Рубль ; 1907 ; (ЭБ) ; Ag ; XF+ ; 80 ; Продано в зале ; 52000 
 73 ; Рубль ; 1907 ; (ЭБ) ; Ag ; XF+/AU ; 54 ; Продано в зале ; 39000 
 74 ; Рубль ; 1909 ; (ЭБ) ; Ag ; XF+ ; 98 ; BerghauS ; 91024 
 75 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 25 ; Reichard ; 12990 
 76 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 26 ; sax ; 11016 
 77 ; Рубль. Плоский чекан ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; XF+ ; 18 ; Продано в зале ; 12000 
 78 ; Рубль. Выпуклый чекан ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; XF ; 23 ; Продано в зале ; 9500 
 79 ; Рубль. Размытый рельеф ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; XF+ ; 27 ; Продано в зале ; 12500 
 80 ; Рубль ; 1913 ; (ЭБ) ; Ag ; AU ; 64 ; Продано в зале ; 120000 
 81 ; Рубль ; 1915 ; (ВС) ; Ag ; XF ; 41 ; olegp ; 36210 
 82 ; Полтина (Петров-3р) ; 1721 ;  ; Ag ; VF-XF ; 23 ; sax ; 54977 
 83 ; Полтина ; 1722 ;  ; Ag ; VF-XF ; 35 ; Продано в зале ; 48000 
 84 ; Полтина (Петров-3р, Ильин-3р) ; 1726 ; СПБ ; Ag ; VF+ ; 21 ; бриз33 ; 56100 
 85 ; Полтина (Ильин-4р) ; 1728 ;  ; Ag ; VF-XF ; 41 ; бриз33 ; 116733 
 86 ; Полтина ; 1742 ; ММД ; Ag ; VF ; 26 ; оникёр ; 38816 
 87 ; Полтина ; 1764 ; СПБ ЯI ; Ag ; VF ; 42 ; Продано в зале ; 13000 
 88 ; Полтина ; 1765 ; СПБ СА ; Ag ; XF ; 41 ; Продано в зале ; 30000 
 89 ; Полтина (Петров-3р. Ильин-3р) ; 1778 ; СПБ ФЛ ; Ag ; VF ; 31 ; Продано в зале ; 28000 
