 101 ; Денга (Ильин-10р) ; 1700 ;  ; Cu ; F+ ; 60 ; Продано в зале ; 25000 
 122 ; Медаль "За покорение Чечни и Дагестана в 1857,1858 и 1859гг". D-28мм ;  ;  ; Ag ; VF+ ; 32 ; ddv kv ; 40000 
 123 ; Медаль "За покорение Западного Кавказа 1859-1864гг". D-28мм ;  ;  ; Ag ; VF ; 19 ; qaz21qaz ; 17646 
 124 ; Медаль "В память царя Николая I 1825-1855гг". D-28мм ;  ;  ; Ag ; VF+ ; 7 ; Bulgar ; 16000 
 125 ; Медаль "За поход в Китай 1900-1901гг". D-28мм ;  ;  ; Ag ; XF- ; 10 ; Продано в зале ; 17500 
 126 ; Медаль "За спасение погибавших". D-30мм ;  ;  ; Ag ; VF+ ; 16 ; кротик ; 15867 
 127 ; Знак членов Военно-санитарных организаций Императорского российского пожарного общества ;  ;  ; Ag84, позол ; XF+ ; 39 ; ты кто такой? ; 20400 
 128 ; Жетон СПБ КЛС Бег 1500метров. 3 место. Р-ры: 34 на 37мм ;  ;  ; Ag,эмаль ; XF ; 43 ; alex09 ; 11334 
 129 ; Знак. Другу ДОБРОХИМА ;  ;  ; Ag84 ; XF ; 43 ; ZOLTAN333 ; 17400 
 130 ; 5 копеек. В капсуле NGC ; 1829 ; СПБ НГ ; Ag ; MS62 ; 65 ; serg2010 ; 31316 
 131 ; 10 копеек. В капсуле NGC ; 1774 ; КМ "Сибирь" ; Cu ; AU 58 ; 50 ; арбат ; 22222 
 51 ; 15 копеек ; 1897 ; СПБ АГ ; Ag ; AU ; 34 ; novikoff12006 ; 8067 
 52 ; 15 копеек ; 1900 ; СПБ ФЗ ; Ag ; AU ; 23 ; Продано в зале ; 7500 
 53 ; 15 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 33 ; Продано в зале ; 5200 
 54 ; 15 копеек ; 1903 ; СПБ АР ; Ag ; AU ; 32 ; Продано в зале ; 9500 
 55 ; 10 копеек ; 1837 ; СПБ НГ ; Ag ; XF ; 22 ; fgd ; 3200 
 56 ; 10 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 8 ; птичкин ; 2043 
 57 ; 10 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 24 ; каламбурчик ; 4138 
 58 ; 10 копеек ; 1887 ; СПБ АГ ; Ag ; AU ; 29 ; Продано в зале ; 5000 
 59 ; 10 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 31 ; тюря ; 4471 
 60 ; 10 копеек ; 1900 ; СПБ ФЗ ; Ag ; AU ; 17 ; Продано в зале ; 4000 
 61 ; 10 копеек ; 1901 ; СПБ ФЗ ; Ag ; AU/XF ; 15 ; Продано в зале ; 2600 
 62 ; 10 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 28 ; Продано в зале ; 6000 
 63 ; 5 копеек ; 1870 ; СПБ HI ; Ag ; AU/XF ; 17 ; Продано в зале ; 5000 
 64 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 77 ; птичкин ; 6000 
 65 ; 5 копеек (Петров-2,5р) ; 1877 ; СПБ НФ ; Ag ; VF+ ; 69 ; Продано в зале ; 38000 
 66 ; 24 копейки ; 1757 ; Ливонез ; Ag ; VF ; 38 ; taa ; 14500 
 67 ; 25 пенни ; 1890 ; L Финляндия ; Ag ; AU ; 30 ; swoon ; 2000 
 68 ; 10 копеек ; 1762 ;  ; Cu ; VF ; 33 ; Сыч ; 27642 
 69 ; 5 копеек (Петров-1р) ; 1758 ; ММ ; Cu ; VF+ ; 58 ; Продано в зале ; 22000 
 70 ; 5 копеек ; 1760 ;  ; Cu ; VF+ ; 25 ; SSK ; 1200 
 71 ; 5 копеек. Брак чеканки ; 1769 ; ЕМ ; Cu ; VF-XF ; 15 ; Продано в зале ; 550 
 72 ; 5 копеек ; 1776 ; КМ "Сибирь" ; Cu ; VF-XF ; 35 ; timoxa ; 15300 
 73 ; 5 копеек ; 1778 ; КМ "Сибирь" ; Cu ; XF ; 46 ; INRI ; 25500 
 74 ; 5 копеек. Вес - 40гр. ; 1781 ; ЕМ ; Cu ; VF-XF ; 66 ; кабан ; 1380 
 75 ; 5 копеек ; 1782 ; КМ ; Cu ; XF- ; 14 ; Продано в зале ; 5000 
 76 ; 5 копеек. Брак чеканки ; 1785 ; ЕМ ; Cu ; VF ; 54 ; Dмитрий ; 1928 
 77 ; 5 копеек  ; 1778 ; ЕМ ; Cu ; VF ; 63 ; Продано в зале ; 13000 
 78 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF-XF ; 49 ; INRI ; 6834 
 79 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF ; 38 ; тыва ; 12096 
 80 ; 5 копеек ; 1805 ; ЕМ ; Cu ; XF- ; 48 ; Trevor ; 13789 
 81 ; 5 копеек ; 1858 ; ЕМ ; Cu ; VF-XF ; 28 ; Продано в зале ; 3800 
 82 ; 3 копейки ; 1859 ; ЕМ ; Cu ; XF- ; 37 ; Продано в зале ; 4200 
 83 ; 2 копейки. Брак чеканки ; 1757 ; Номинал под гербом ; Cu ; VF+ ; 42 ; Продано в зале ; 12000 
 84 ; 2 копейки ; 1758 ;  ; Cu ; XF- ; 41 ; Продано в зале ; 6000 
 85 ; 2 копейки (Петров-10р, Ильин-3р) ; 1758 ;  ; Cu ; F+ ; 61 ; Продано в зале ; 8500 
 86 ; 2 копейки. Брак чеканки ; 1776 ; КМ "Сибирь" ; Cu ; VF ; 53 ; Продано в зале ; 4600 
 87 ; 2 копейки (Петров-8р, Ильин-3р) ; 1788 ; ММ ; Cu ; F-VF ; 12 ; Костян 92 ; 2604 
 88 ; 2 копейки (Петров-2р, Ильин-3р) ; 1789 ; АМ ; Cu ; F-VF ; 15 ; нумизмат ; 7933 
 89 ; 2 копейки ; 1790 ; ЕМ ; Cu ; XF ; 55 ; fgd ; 4873 
 90 ; 2 копейки ; 1797 ; КМ ; Cu ; VF-XF ; 20 ; $$$ ; 2500 
 91 ; 2 копейки ; 1798 ; КМ ; Cu ; VF-XF ; 25 ; Продано в зале ; 2600 
 92 ; 2 копейки ; 1799 ; КМ ; Cu ; VF-XF ; 10 ; Продано в зале ; 2400 
 93 ; 2 копейки. Брак чеканки ; 1800 ; ЕМ ; Cu ; F+ ; 29 ; Продано в зале ; 1700 
 94 ; 2 копейки ; 1801 ; КМ ; Cu ; VF-XF ; 45 ; SSK ; 2040 
 95 ; 2 копейки ; 1905 ; СПБ ; Cu ; AU ; 15 ; Продано в зале ; 7500 
 96 ; 2 копейки ; 1910 ; СПБ ; Cu ; AU ; 36 ; Продано в зале ; 8000 
 97 ; Копейка ; 1712 ; МД ; Cu ; VF- ; 19 ; dunkl ; 2267 
 98 ; Копейка. Брак чеканки ; 1777 ; КМ "Сибирь" ; Cu ; VF- ; 16 ; Продано в зале ; 2400 
 99 ; Копейка ; 1903 ; СПБ ; Cu ; AU ; 17 ; Продано в зале ; 5000 
 100 ; Копейка ; 1904 ; СПБ ; Cu ; AU ; 13 ; Продано в зале ; 7000 
 1 ; 10 рублей. М-8,585г ; 1910 ; (ЭБ) АГ ; Au ; XF ; 69 ; cvb ; 95284 
 2 ; 1,5 рубля-10 злотых ; 1835 ; НГ Рус.-Пол. ; Ag ; XF- ; 23 ; нумизмат ; 13386 
 3 ; Рубль ; 1722 ;  ; Ag ; VF+ ; 42 ; Продано в зале ; 36000 
 4 ; Рубль ; 1727 ;  ; Ag ; VF-XF ; 41 ; Продано в зале ; 50000 
 5 ; Рубль ; 1733 ;  ; Ag ; VF-XF ; 59 ; sd555 ; 19000 
 6 ; Рубль ; 1733 ;  ; Ag ; VF-XF ; 29 ; Продано в зале ; 21000 
 7 ; Рубль ; 1734 ;  ; Ag ; VF-XF ; 25 ; Сыч ; 20502 
 8 ; Рубль ; 1738 ;  ; Ag ; XF- ; 18 ; Продано в зале ; 26000 
 9 ; Лот снят ;  ;  ;  ;  ; 0 ; Не продан ; 0 
 10 ; Рубль ; 1754 ; СПБ IM BS ; Ag ; XF- ; 48 ; Sky2 ; 40206 
 11 ; Рубль ; 1763 ; СПБ ЯI TI ; Ag ; AU/XF ; 38 ; Продано в зале ; 38000 
 12 ; Рубль ; 1765 ; СПБ СА TI ; Ag ; XF+ ; 24 ; нумизмат ; 27062 
 13 ; Рубль (Ильин-4р) ; 1767 ; ММД EI ; Ag ; VF ; 19 ; Продано в зале ; 26000 
 14 ; Рубль ; 1772 ; СПБ ЯЧ TI ; Ag ; XF+ ; 26 ; Продано в зале ; 24000 
 15 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; AU ; 40 ; Продано в зале ; 64000 
 16 ; Рубль ; 1782 ; СПБ ИЗ ; Ag ; XF/AU ; 73 ; ZOLTAN333 ; 15458 
 17 ; Рубль ; 1785 ; СПБ ЯА TI ; Ag ; XF ; 17 ; WCN ; 39536 
 18 ; Рубль ; 1798 ; СМ МБ ; Ag ; XF+ ; 41 ; 78gen ; 74000 
 19 ; Рубль ; 1805 ; СПБ ФГ ; Ag ; VF-XF ; 31 ; Sky2 ; 30600 
 20 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF ; 37 ; Продано в зале ; 16000 
 21 ; Рубль ; 1840 ; СПБ НГ ; Ag ; AU ; 11 ; Trevor ; 23004 
 22 ; Рубль. Редка ; 1842 ; MW ; Ag ; VF+ ; 26 ; Trevor ; 38000 
 23 ; Рубль ; 1844 ; СПБ КБ ; Ag ; AU ; 18 ; Trevor ; 28675 
 24 ; Рубль ; 1867 ; СПБ HI ; Ag ; XF- ; 22 ; ДмитрийЩ ; 41388 
 25 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 25 ; амбал ; 23105 
 26 ; Рубль ; 1914 ; (ВС) ; Ag ; XF ; 62 ; Продано в зале ; 38000 
 27 ; Рубль ; 1915 ; (ВС) ; Ag ; XF ; 72 ; Продано в зале ; 25000 
 28 ; Полтина (Петров - 4 р.) ; 1725 ;  ; Ag ; VF+ ; 26 ; арбат ; 38292 
 29 ; Полтина ; 1732 ;  ; Ag ; VF-XF ; 26 ; Продано в зале ; 28000 
 30 ; Полтина (Петров - 5 р.) ; 1748 ; СПБ ; Ag ; VF-XF ; 22 ; Продано в зале ; 42000 
 31 ; Полтина (Петров - 3 р.) ; 1762 ; ММД ДМ ; Ag ; VF- ; 71 ; Продано в зале ; 15500 
 32 ; Полтина (Петров - 3 р.) ; 1764 ; СПБ СА TI ; Ag ; XF- ; 52 ; Продано в зале ; 36000 
 33 ; Полтина (Петров - 3 р.) ; 1768 ; СПБ СА ; Ag ; XF- ; 69 ; Продано в зале ; 76000 
 34 ; Полтина ; 1912 ; (ЭБ) АГ ; Ag ; AU ; 9 ; 550055 ; 4331 
 35 ; Полтина ; 1913 ; (ЭБ) АГ ; Ag ; AU ; 19 ; Продано в зале ; 11000 
 36 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; AU ; 71 ; Продано в зале ; 13000 
 37 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; AU ; 27 ; Продано в зале ; 16000 
 38 ; Полуполтинник ; 1756 ; ММД МБ ; Ag ; VF-XF ; 14 ; Продано в зале ; 8500 
 39 ; Полуполтинник ; 1767 ; ММД ЕI ; Ag ; VF-XF ; 10 ; Продано в зале ; 8000 
 40 ; 25 копеек ; 1837 ; СПБ НГ ; Ag ; XF- ; 43 ; Продано в зале ; 4600 
 41 ; 20 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 24 ; птичкин ; 3642 
 42 ; 20 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 13 ; валенок ; 3100 
 43 ; 20 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 13 ; тюря ; 2900 
 44 ; 20 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 13 ; тюря ; 2040 
 45 ; 20 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 7 ; Продано в зале ; 1800 
 46 ; 20 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 53 ; Продано в зале ; 28000 
 47 ; 20 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 27 ; Продано в зале ; 7500 
 48 ; 15 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 24 ; каламбурчик ; 4082 
 49 ; 15 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 30 ; каламбурчик ; 4140 
 50 ; 15 копеек ; 1877 ; СПБ НФ ; Ag ; VF- ; 33 ; romik ; 14016 
