 3652 ; 100 рублей ; 1991 ; билет ;  ;  ; 54 ; andreykag ; 169 
 3643 ; Бона иностранная ;  ;  ;  ;  ; 33 ; Poiuyt ; 33 
 3644 ; Бона иностранная ;  ;  ;  ;  ; 4 ; sasha14 ; 30 
 3645 ; Бона иностранная ;  ;  ;  ;  ; 16 ; John16 ; 34 
 3646 ; Бона иностранная ;  ;  ;  ;  ; 36 ; yrik ; 35 
 3647 ; Бона иностранная ;  ;  ;  ;  ; 12 ; sikachai ; 152 
 3648 ; Бона иностранная ;  ;  ;  ;  ; 27 ; dimon-2007 ; 123 
 3649 ; Бона иностранная ;  ;  ;  ;  ; 14 ; sikachai ; 120 
 3650 ; Бона иностранная ;  ;  ;  ;  ; 13 ; sikachai ; 150 
 3651 ; 60 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 55 ; Dmitriy-r52 ; 93 
 3552 ; Бона иностранная ;  ;  ;  ;  ; 4 ; sasha14 ; 30 
 3553 ; Бона иностранная ;  ;  ;  ;  ; 30 ; kremen ; 30 
 3554 ; Бона иностранная ;  ;  ;  ;  ; 22 ; faga2003 ; 41 
 3555 ; Бона иностранная ;  ;  ;  ;  ; 5 ; alex995 ; 20 
 3556 ; Бона иностранная ;  ;  ;  ;  ; 53 ; murew ; 57 
 3557 ; Бона иностранная ;  ;  ;  ;  ; 30 ; faga2003 ; 50 
 3558 ; Бона иностранная ;  ;  ;  ;  ; 40 ; М662 ; 40 
 3559 ; Бона иностранная ;  ;  ;  ;  ; 40 ; kremen ; 40 
 3560 ; Бона иностранная ;  ;  ;  ;  ; 26 ; al69 ; 71 
 3561 ; Бона иностранная ;  ;  ;  ;  ; 9 ; бурят1978 ; 30 
 3562 ; Бона иностранная ;  ;  ;  ;  ; 25 ; faga2003 ; 30 
 3563 ; Бона иностранная ;  ;  ;  ;  ; 30 ; хъ0 ; 28 
 3564 ; Бона иностранная ;  ;  ;  ;  ; 22 ; brindamur ; 71 
 3565 ; Бона иностранная ;  ;  ;  ;  ; 13 ; sveta6369 ; 29 
 3566 ; Бона иностранная ;  ;  ;  ;  ; 15 ; ф555 ; 30 
 3567 ; Бона иностранная ;  ;  ;  ;  ; 21 ; dimon-2007 ; 40 
 3568 ; Бона иностранная ;  ;  ;  ;  ; 23 ; sikachai ; 60 
 3569 ; Бона иностранная ;  ;  ;  ;  ; 7 ; бурят1978 ; 30 
 3570 ; Бона иностранная ;  ;  ;  ;  ; 61 ; faga2003 ; 73 
 3571 ; Бона иностранная ;  ;  ;  ;  ; 31 ; ask ; 271 
 3572 ; Бона иностранная ;  ;  ;  ;  ; 30 ; kremen ; 31 
 3573 ; Бона иностранная ;  ;  ;  ;  ; 19 ; lesnik1 ; 62 
 3574 ; Бона иностранная ;  ;  ;  ;  ; 4 ; al69 ; 31 
 3575 ; Бона иностранная ;  ;  ;  ;  ; 54 ; faga2003 ; 57 
 3576 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Brabus ; 30 
 3577 ; Бона иностранная ;  ;  ;  ;  ; 31 ; al69 ; 31 
 3578 ; Бона иностранная ;  ;  ;  ;  ; 78 ; mirumir ; 102 
 3579 ; Бона иностранная ;  ;  ;  ;  ; 23 ; al69 ; 37 
 3580 ; Бона иностранная ;  ;  ;  ;  ; 39 ; al69 ; 61 
 3581 ; Бона иностранная ;  ;  ;  ;  ; 9 ; al69 ; 81 
 3582 ; Бона иностранная ;  ;  ;  ;  ; 34 ; sveta6369 ; 104 
 3583 ; Бона иностранная ;  ;  ;  ;  ; 42 ; 542 ; 187 
 3584 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Олежа ; 45 
 3585 ; Бона иностранная ;  ;  ;  ;  ; 28 ; Олежа ; 31 
 3586 ; Бона иностранная ;  ;  ;  ;  ; 31 ; rosdor ; 211 
 3587 ; Бона иностранная ;  ;  ;  ;  ; 25 ; ИЮМов1 ; 77 
 3588 ; Бона иностранная ;  ;  ;  ;  ; 34 ; Олежа ; 57 
 3589 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ф555 ; 11 
 3590 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Олежа ; 16 
 3591 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Олежа ; 30 
 3592 ; Бона иностранная ;  ;  ;  ;  ; 23 ; ИЮМов1 ; 222 
 3593 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Олежа ; 40 
 3594 ; Бона иностранная ;  ;  ;  ;  ; 16 ; ИЮМов1 ; 197 
 3595 ; Бона иностранная ;  ;  ;  ;  ; 15 ; ppp ; 29 
 3596 ; Бона иностранная ;  ;  ;  ;  ; 35 ; Олежа ; 41 
 3597 ; Бона иностранная ;  ;  ;  ;  ; 52 ; brabus777 ; 133 
 3598 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ф555 ; 15 
 3599 ; Бона иностранная ;  ;  ;  ;  ; 6 ; KEJ ; 11 
 3600 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Brabus ; 30 
 3601 ; Бона иностранная ;  ;  ;  ;  ; 28 ; Олежа ; 57 
 3502 ; Бона иностранная ;  ;  ;  ;  ; 5 ; из африки ; 23 
 3503 ; Бона иностранная ;  ;  ;  ;  ; 17 ; rosdor ; 30 
 3504 ; Бона иностранная ;  ;  ;  ;  ; 7 ; из африки ; 28 
 3505 ; Бона иностранная ;  ;  ;  ;  ; 5 ; из африки ; 23 
 3506 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 30 
 3507 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 30 
 3508 ; Бона иностранная ;  ;  ;  ;  ; 5 ; из африки ; 23 
 3509 ; Бона иностранная ;  ;  ;  ;  ; 13 ; из африки ; 24 
 3510 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 30 
 3511 ; Бона иностранная ;  ;  ;  ;  ; 13 ; из африки ; 24 
 3512 ; Бона иностранная ;  ;  ;  ;  ; 14 ; из африки ; 24 
 3513 ; Бона иностранная ;  ;  ;  ;  ; 5 ; из африки ; 23 
 3514 ; Бона иностранная ;  ;  ;  ;  ; 15 ; murew ; 40 
 3515 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 30 
 3516 ; Бона иностранная ;  ;  ;  ;  ; 9 ; murew ; 53 
 3517 ; Бона иностранная ;  ;  ;  ;  ; 9 ; murew ; 40 
 3518 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Скрудж ; 30 
 3519 ; Бона иностранная ;  ;  ;  ;  ; 6 ; из африки ; 23 
 3520 ; Бона иностранная ;  ;  ;  ;  ; 4 ; из африки ; 24 
 3521 ; Бона иностранная ;  ;  ;  ;  ; 4 ; из африки ; 24 
 3522 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Скрудж ; 30 
 3523 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 30 
 3524 ; Бона иностранная ;  ;  ;  ;  ; 5 ; из африки ; 23 
 3525 ; Бона иностранная ;  ;  ;  ;  ; 15 ; из африки ; 24 
 3526 ; Бона иностранная ;  ;  ;  ;  ; 14 ; из африки ; 24 
 3527 ; Бона иностранная ;  ;  ;  ;  ; 6 ; murew ; 51 
 3528 ; Бона иностранная ;  ;  ;  ;  ; 8 ; murew ; 51 
 3529 ; Бона иностранная ;  ;  ;  ;  ; 8 ; murew ; 51 
 3530 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Скрудж ; 36 
 3531 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 30 
 3532 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Скрудж ; 34 
 3533 ; Бона иностранная ;  ;  ;  ;  ; 37 ; murew ; 51 
 3534 ; Бона иностранная ;  ;  ;  ;  ; 23 ; murew ; 77 
 3535 ; Бона иностранная ;  ;  ;  ;  ; 37 ; murew ; 51 
 3536 ; Бона иностранная ;  ;  ;  ;  ; 29 ; murew ; 90 
 3537 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ек ; 24 
 3538 ; Бона иностранная ;  ;  ;  ;  ; 17 ; murew ; 90 
 3539 ; Бона иностранная ;  ;  ;  ;  ; 15 ; murew ; 90 
 3540 ; Бона иностранная ;  ;  ;  ;  ; 3 ; al69 ; 31 
 3541 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Скрудж ; 31 
 3542 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Скрудж ; 30 
 3543 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Скрудж ; 37 
 3544 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 30 
 3545 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Скрудж ; 30 
 3546 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 30 
 3547 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 30 
 3548 ; Бона иностранная ;  ;  ;  ;  ; 24 ; Скрудж ; 30 
 3549 ; Бона иностранная ;  ;  ;  ;  ; 16 ; В1951 ; 41 
 3550 ; Бона иностранная ;  ;  ;  ;  ; 23 ; al69 ; 41 
 3551 ; Бона иностранная ;  ;  ;  ;  ; 25 ; faga2003 ; 49 
 3452 ; Бона иностранная ;  ;  ;  ;  ; 10 ; murew ; 53 
 3453 ; Бона иностранная ;  ;  ;  ;  ; 10 ; murew ; 53 
 3454 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Майкл ; 47 
 3455 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Скрудж ; 30 
 3456 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Скрудж ; 30 
 3457 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Скрудж ; 30 
 3458 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 30 
 3459 ; Бона иностранная ;  ;  ;  ;  ; 4 ; из африки ; 24 
 3460 ; Бона иностранная ;  ;  ;  ;  ; 4 ; из африки ; 24 
 3461 ; Бона иностранная ;  ;  ;  ;  ; 22 ; из африки ; 28 
 3462 ; Бона иностранная ;  ;  ;  ;  ; 20 ; rosdor ; 30 
 3463 ; Бона иностранная ;  ;  ;  ;  ; 19 ; из африки ; 24 
 3464 ; Бона иностранная ;  ;  ;  ;  ; 11 ; из африки ; 26 
 3465 ; Бона иностранная ;  ;  ;  ;  ; 28 ; Скрудж ; 31 
 3466 ; Бона иностранная ;  ;  ;  ;  ; 19 ; из африки ; 24 
 3467 ; Бона иностранная ;  ;  ;  ;  ; 11 ; kotyamoi ; 30 
 3468 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 30 
 3469 ; Бона иностранная ;  ;  ;  ;  ; 9 ; из африки ; 26 
 3470 ; Бона иностранная ;  ;  ;  ;  ; 22 ; murew ; 30 
 3471 ; Бона иностранная ;  ;  ;  ;  ; 9 ; murew ; 30 
 3472 ; Бона иностранная ;  ;  ;  ;  ; 8 ; murew ; 37 
 3473 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 31 
 3474 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Олежа ; 30 
 3475 ; Бона иностранная ;  ;  ;  ;  ; 13 ; rosdor ; 31 
 3476 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Олежа ; 30 
 3477 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 31 
 3478 ; Бона иностранная ;  ;  ;  ;  ; 9 ; murew ; 47 
 3479 ; Бона иностранная ;  ;  ;  ;  ; 20 ; shais1 ; 128 
 3480 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Скрудж ; 31 
 3481 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 30 
 3482 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Скрудж ; 31 
 3483 ; Бона иностранная ;  ;  ;  ;  ; 5 ; из африки ; 23 
 3484 ; Бона иностранная ;  ;  ;  ;  ; 12 ; из африки ; 23 
 3485 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Скрудж ; 46 
 3486 ; Бона иностранная ;  ;  ;  ;  ; 21 ; murew ; 40 
 3487 ; Бона иностранная ;  ;  ;  ;  ; 14 ; rosdor ; 31 
 3488 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 30 
 3489 ; Бона иностранная ;  ;  ;  ;  ; 11 ; murew ; 47 
 3490 ; Бона иностранная ;  ;  ;  ;  ; 5 ; из африки ; 23 
 3491 ; Бона иностранная ;  ;  ;  ;  ; 7 ; из африки ; 29 
 3492 ; Бона иностранная ;  ;  ;  ;  ; 7 ; из африки ; 25 
 3493 ; Бона иностранная ;  ;  ;  ;  ; 12 ; murew ; 47 
 3494 ; Бона иностранная ;  ;  ;  ;  ; 9 ; из африки ; 29 
 3495 ; Бона иностранная ;  ;  ;  ;  ; 9 ; murew ; 42 
 3496 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Скрудж ; 31 
 3497 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 31 
 3498 ; Бона иностранная ;  ;  ;  ;  ; 13 ; murew ; 53 
 3499 ; Бона иностранная ;  ;  ;  ;  ; 2 ; из африки ; 26 
 3500 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kotyamoi ; 30 
 3501 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kotyamoi ; 30 
 3402 ; 2 копейки без надпечатки ; 1915 ; Деньги-марки ;  ; AU ; 28 ; iaiaia ; 2507 
 3403 ; 50 шагив ; 1918 ; Украина.Тип почтовых марок ;  ; AU ; 49 ; al69 ; 529 
 3404 ; 5 рублей ; 1920 ; Расчетные знаки РСФСР образца 1920 г. ;  ; AU ; 56 ; Олежа ; 575 
 3405 ; 3 рубля. Одноцвет ; 1920 ; Расчетные знаки РСФСР образца 1920 г. ;  ; AU ; 46 ; ssss ; 5212 
 3406 ; 3 копейки. Екатеринодар ;  ;  ;  ; AU ; 68 ; Sky2 ; 720 
 3407 ; 50 рублей ; 1919 ; Армения ;  ; AU ; 21 ; GenyM ; 518 
 3408 ; 50 рублей ; 1919 ; Армения ;  ; AU ; 21 ; GenyM ; 505 
 3409 ; 50 рублей. Государство Российское ;  ;  ;  ; AU ; 59 ; purr ; 3030 
 3410 ; 10 рублей ; 1918 ; Чек (без штампов регистрации) ;  ; AU ; 109 ; al69 ; 3028 
 3411 ; 10 рублей ; 1918 ;  ;  ; AU ; 40 ; al69 ; 804 
 3412 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ; AU ; 18 ; iaiaia ; 408 
 3413 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ; AU ; 28 ; iaiaia ; 408 
 3414 ; 3 рубля ; 1918 ;  ;  ; AU ; 37 ; AnvlaSar6216 ; 867 
 3415 ; 5 рублей ; 1918 ;  ;  ; AU ; 34 ; al69 ; 903 
 3416 ; 25 рублей ; 1918 ;  ;  ; AU ; 60 ; purr ; 1751 
 3417 ; 3 рубля ; 1905 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 9 ; robocop ; 306 
 3418 ; 3 рубля ; 1905 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 54 ; iaiaia ; 456 
 3419 ; 5000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; AU ; 51 ; al69 ; 1677 
 3420 ; 5000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; AU ; 73 ; michuman33 ; 1926 
 3421 ; 10000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; AU ; 66 ; sergoizadlera ; 2154 
 3422 ; 25 рублей ; 1918 ; Денежн.знаки.Северо-кавказская ССР.Билетыбез наименования) ;  ; AU ; 49 ; denzil ; 1611 
 3423 ; 25 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ; AU ; 88 ; ssss ; 1905 
 3424 ; 25 рублей. Елисаветоград ; 1919 ;  ;  ; AU ; 59 ; sergoizadlera ; 2477 
 3425 ; 50 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ; AU ; 71 ; QSCl ; 1868 
 3426 ; 100 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ; AU ; 63 ; lvd ; 3139 
 3427 ; 10000 рублей ; 1919 ;  ;  ; AU ; 16 ; al69 ; 746 
 3428 ; 1000 рублей. Юденич ; 1919 ;  ;  ; AU ; 88 ; purr ; 3570 
 3429 ; 1000 рублей. Юденич ; 1919 ;  ;  ; AU ; 78 ; purr ; 3616 
 3430 ; 5000 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ; AU ; 41 ; kisa45 ; 22440 
 3431 ; 200 рублей разряд 1 ; 1917 ;  ;  ;  ; 80 ; нумизмат ; 714 
 3432 ; 200 рублей разряд 2 ; 1917 ;  ;  ;  ; 112 ; al69 ; 405 
 3433 ; 200 рублей разряд 2 ; 1917 ;  ;  ;  ; 35 ; hotin ; 610 
 3434 ; 200 рублей разряд 3 ; 1917 ;  ;  ;  ; 91 ; al69 ; 414 
 3435 ; 200 рублей разряд 3 ; 1917 ;  ;  ;  ; 11 ; hotin ; 410 
 3436 ; 1 рубль (2 шт) ; 1898 ;  ;  ;  ; 36 ; brindamur ; 102 
 3437 ; 1 рубль (2 шт) ; 1898 ;  ;  ;  ; 21 ; zhenya ; 111 
 3438 ; 1 рубль (2 шт) ; 1898 ;  ;  ;  ; 35 ; из африки ; 70 
 3439 ; 1 рубль (2 шт) ; 1898 ;  ;  ;  ; 22 ; KEJ ; 62 
 3440 ; 1 рубль (2 шт) ; 1898 ;  ;  ;  ; 29 ; uz ; 152 
 3441 ; 1 рубль (2 шт) ; 1898 ;  ;  ;  ; 25 ; oper7430 ; 80 
 3442 ; 1000000 марок ; 1923 ;  ;  ;  ; 33 ; murew ; 193 
 3443 ; 1000000 марок ; 1923 ;  ;  ;  ; 29 ; murew ; 193 
 3444 ; 10000000 марок ; 1923 ;  ;  ;  ; 69 ; murew ; 255 
 3445 ; 10000 марок ; 1922 ;  ;  ;  ; 37 ; murew ; 179 
 3446 ; 10000 марок ; 1922 ;  ;  ;  ; 38 ; Sky2 ; 81 
 3447 ; 5000 марок ; 1922 ;  ;  ;  ; 79 ; faga2003 ; 199 
 3448 ; 5, 10 рублей (6 шт) ; 1961 ;  ;  ;  ; 50 ; SERG53 ; 51 
 3449 ; 5 рублей (15 шт) ; 1909 ;  ;  ;  ; 22 ; shais1 ; 326 
 3450 ; 10 рублей (20 шт) ; 1909 ;  ;  ;  ; 11 ; shais1 ; 520 
 3451 ; Бона иностранная ;  ;  ;  ;  ; 19 ; murew ; 53 
 3352 ; 50 карбованцев ; 1918 ; Украина. Знак Державноi скарбницi ;  ;  ; 48 ; uz ; 177 
 3353 ; 50 карбованцев ; 1918 ; Украина. Знак Державноi скарбницi ;  ;  ; 10 ; KEJ ; 104 
 3354 ; 25 рублей. Крым ; 1918 ;  ;  ;  ; 20 ; awacsb1 ; 279 
 3355 ; 50 копеек. Познань ; 1916 ;  ;  ;  ; 59 ; awacsb1 ; 80 
 3356 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 16 ; kol78 ; 212 
 3357 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 37 ; GenyM ; 403 
 3358 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 60 ; andreykag ; 82 
 3359 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 32 ; АНАТОЛИЙ ; 114 
 3360 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 15 ; pref ; 31 
 3361 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 46 ; solder13 ; 119 
 3362 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 18 ; solder13 ; 77 
 3363 ; 3 рубля. Познань ; 1916 ;  ;  ;  ; 50 ; awacsb1 ; 352 
 3364 ; 100 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 25 ; temichek ; 512 
 3365 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 13 ; Олежа ; 83 
 3366 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 17 ; andreykag ; 61 
 3367 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 18 ; Dmitriy-r52 ; 45 
 3368 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 17 ; solder13 ; 57 
 3369 ; 3 рубля ; 1905 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 12 ; nikta ; 45 
 3370 ; 3 рубля ; 1905 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 5 ; росвет ; 45 
 3371 ; 3 рубля ; 1905 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 17 ; al69 ; 45 
 3372 ; 3 рубля ; 1905 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 13 ; shais1 ; 46 
 3373 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 9 ; al69 ; 59 
 3374 ; 100 марок ; 1908 ;  ;  ;  ; 3 ; temichek ; 104 
 3375 ; 100 марок ; 1908 ;  ;  ;  ; 21 ; ф555 ; 90 
 3376 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 13 ; пепел ; 157 
 3377 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 39 ; Sky2 ; 153 
 3378 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 30 ; GenyM ; 234 
 3379 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 24 ; ac ; 171 
 3380 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 22 ; Арарат ; 161 
 3381 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 22 ; solder13 ; 153 
 3382 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 33 ; al69 ; 165 
 3383 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 23 ; Dmitriy-r52 ; 57 
 3384 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 65 ; peck ; 228 
 3385 ; 100 франков ; 1934 ;  ;  ;  ; 20 ; shais1 ; 357 
 3386 ; 100 франков ; 1935 ;  ;  ;  ; 6 ; shais1 ; 357 
 3387 ; 100 франков ; 1939 ;  ;  ;  ; 58 ; hotin ; 921 
 3388 ; 50 рублей ; 1899 ; Коншин 1910 г. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 44 ; ac ; 2267 
 3389 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 18 ; temichek ; 726 
 3390 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 43 ; murzik20 ; 1005 
 3391 ; 500 гривень ; 1918 ; Украина.Державный Кредитовий бiлет. ;  ;  ; 126 ; al69 ; 357 
 3392 ; 2000 гривень ; 1918 ; Украина.Державный Кредитовий бiлет. ;  ;  ; 148 ; awacsb1 ; 472 
 3393 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 26 ; vladzory ; 120 
