 5920 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 31 ; йцукен ; 784 
 5661 ; Бона иностранная ;  ;  ;  ;  ; 23 ; 230269 ; 104 
 5662 ; Бона иностранная ;  ;  ;  ;  ; 18 ; alesjane ; 499 
 5663 ; Бона иностранная ;  ;  ;  ;  ; 9 ; assa62 ; 216 
 5664 ; Бона иностранная ;  ;  ;  ;  ; 34 ; Valerik ; 104 
 5665 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 2128508 ; 60 
 5666 ; Бона иностранная ;  ;  ;  ;  ; 20 ; bliznetz ; 83 
 5667 ; Бона иностранная ;  ;  ;  ;  ; 7 ; вулканолог ; 79 
 5668 ; Бона иностранная ;  ;  ;  ;  ; 29 ; alex09-63 ; 381 
 5669 ; Бона иностранная ;  ;  ;  ;  ; 25 ; oleghh7 ; 408 
 5670 ; Бона иностранная ;  ;  ;  ;  ; 14 ; 4758 ; 90 
 5671 ; Бона иностранная ;  ;  ;  ;  ; 14 ; моятачка909 ; 33 
 5672 ; Бона иностранная ;  ;  ;  ;  ; 14 ; bliznetz ; 138 
 5800 ; Бона восток ;  ;  ;  ;  ; 69 ; Monata ; 2912 
 5801 ; Бона иностранная Китай ;  ;  ;  ;  ; 51 ; Monata ; 547 
 5802 ; Бона иностранная Китай ;  ;  ;  ;  ; 31 ; всякий хлам ; 1145 
 5803 ; Бона иностранная Китай ;  ;  ;  ;  ; 16 ; всякий хлам ; 114 
 5804 ; Бона иностранная Китай ;  ;  ;  ;  ; 16 ; Monata ; 793 
 5805 ; Бона иностранная Китай ;  ;  ;  ;  ; 20 ; всякий хлам ; 340 
 5806 ; Бона иностранная Китай ;  ;  ;  ;  ; 24 ; Monata ; 453 
 5807 ; Бона иностранная Китай ;  ;  ;  ;  ; 18 ; max2008 ; 308 
 5808 ; Бона иностранная Китай ;  ;  ;  ;  ; 43 ; всякий хлам ; 264 
 5809 ; Бона иностранная Китай ;  ;  ;  ;  ; 14 ; smel ; 340 
 5810 ; Бона иностранная Китай ;  ;  ;  ;  ; 38 ; Monata ; 771 
 5811 ; Бона иностранная Китай ;  ;  ;  ;  ; 17 ; Monata ; 326 
 5812 ; Бона иностранная Китай ;  ;  ;  ;  ; 10 ; 2128508 ; 306 
 5813 ; Бона иностранная Китай ;  ;  ;  ;  ; 32 ; Monata ; 816 
 5814 ; Бона иностранная Китай ;  ;  ;  ;  ; 40 ; всякий хлам ; 1051 
 5815 ; Бона иностранная Китай ;  ;  ;  ;  ; 27 ; 38764 ; 1020 
 5816 ; Бона иностранная Китай ;  ;  ;  ;  ; 62 ; zima ; 1800 
 5817 ; Бона иностранная Китай ;  ;  ;  ;  ; 53 ; всякий хлам ; 895 
 5818 ; Бона иностранная Китай ;  ;  ;  ;  ; 56 ; alesjane ; 6122 
 5819 ; Бона иностранная Китай ;  ;  ;  ;  ; 44 ; 38764 ; 2036 
 5593 ; Бона иностранная ;  ;  ;  ;  ; 13 ; трутень ; 226 
 5594 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4758 ; 26 
 5595 ; Бона иностранная ;  ;  ;  ;  ; 14 ; karal ; 73 
 5596 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 333985 ; 26 
 5597 ; Бона иностранная ;  ;  ;  ;  ; 14 ; electra ; 235 
 5598 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 333985 ; 44 
 5599 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 333985 ; 44 
 5600 ; Бона иностранная ;  ;  ;  ;  ; 7 ; vladmarkin ; 101 
 5601 ; Бона иностранная ;  ;  ;  ;  ; 7 ; smel ; 227 
 5602 ; Бона иностранная ;  ;  ;  ;  ; 19 ; assa62 ; 165 
 5603 ; Бона иностранная ;  ;  ;  ;  ; 8 ; трутень ; 102 
 5604 ; Бона иностранная ;  ;  ;  ;  ; 5 ; я8844 ; 59 
 5605 ; Бона иностранная ;  ;  ;  ;  ; 5 ; я8844 ; 59 
 5606 ; Бона иностранная ;  ;  ;  ;  ; 5 ; я8844 ; 59 
 5607 ; Бона иностранная ;  ;  ;  ;  ; 9 ; electra ; 101 
 5608 ; Бона иностранная ;  ;  ;  ;  ; 5 ; KOSOWAR ; 30 
 5609 ; Бона иностранная ;  ;  ;  ;  ; 5 ; vladmarkin ; 101 
 5610 ; Бона иностранная ;  ;  ;  ;  ; 13 ; electra ; 194 
 5611 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Mike! ; 215 
 5612 ; Бона иностранная ;  ;  ;  ;  ; 9 ; electra ; 140 
 5613 ; Бона иностранная ;  ;  ;  ;  ; 7 ; canario ; 32 
 5614 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 4758 ; 28 
 5615 ; Бона иностранная ;  ;  ;  ;  ; 7 ; KOSOWAR ; 30 
 5616 ; Бона иностранная ;  ;  ;  ;  ; 34 ; Elephant ; 59 
 5617 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Mike! ; 152 
 5618 ; Бона иностранная ;  ;  ;  ;  ; 15 ; electra ; 129 
 5619 ; Бона иностранная ;  ;  ;  ;  ; 7 ; vladmarkin ; 101 
 5620 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 333985 ; 50 
 5621 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Elephant ; 51 
 5622 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 333985 ; 50 
 5623 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Valerik ; 239 
 5624 ; Бона иностранная ;  ;  ;  ;  ; 15 ; mart_si ; 227 
 5625 ; Бона иностранная ;  ;  ;  ;  ; 10 ; трутень ; 203 
 5626 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Scorpionchic-sun ; 46 
 5627 ; Бона иностранная ;  ;  ;  ;  ; 18 ; FoxSF ; 53 
 5628 ; Бона иностранная ;  ;  ;  ;  ; 5 ; FoxSF ; 25 
 5629 ; Бона иностранная ;  ;  ;  ;  ; 14 ; FoxSF ; 53 
 5630 ; Бона иностранная ;  ;  ;  ;  ; 5 ; vladmarkin ; 30 
 5631 ; Бона иностранная ;  ;  ;  ;  ; 5 ; vladmarkin ; 30 
 5632 ; Бона иностранная ;  ;  ;  ;  ; 5 ; FoxSF ; 38 
 5633 ; Бона иностранная ;  ;  ;  ;  ; 5 ; vladmarkin ; 30 
 5634 ; Бона иностранная ;  ;  ;  ;  ; 5 ; vladmarkin ; 30 
 5635 ; Бона иностранная ;  ;  ;  ;  ; 5 ; vladmarkin ; 30 
 5636 ; Бона иностранная ;  ;  ;  ;  ; 5 ; vladmarkin ; 30 
 5637 ; Бона иностранная ;  ;  ;  ;  ; 5 ; vladmarkin ; 30 
 5638 ; Бона иностранная ;  ;  ;  ;  ; 7 ; vladmarkin ; 124 
 5639 ; Бона иностранная ;  ;  ;  ;  ; 5 ; vladmarkin ; 30 
 5640 ; Бона иностранная ;  ;  ;  ;  ; 5 ; vladmarkin ; 30 
 5641 ; Бона иностранная ;  ;  ;  ;  ; 5 ; vladmarkin ; 30 
 5642 ; Бона иностранная ;  ;  ;  ;  ; 5 ; vladmarkin ; 30 
 5543 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Scorpionchic-sun ; 44 
 5544 ; Бона иностранная ;  ;  ;  ;  ; 14 ; mmmm ; 89 
 5545 ; Бона иностранная ;  ;  ;  ;  ; 5 ; vladmarkin ; 32 
 5546 ; Бона иностранная ;  ;  ;  ;  ; 6 ; страус ; 27 
 5547 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Рубчик ; 43 
 5548 ; Бона иностранная ;  ;  ;  ;  ; 25 ; canario ; 46 
 5549 ; Бона иностранная ;  ;  ;  ;  ; 19 ; трутень ; 181 
 5550 ; Бона иностранная ;  ;  ;  ;  ; 8 ; страус ; 27 
 5551 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 2128508 ; 77 
 5552 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 333985 ; 79 
 5553 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Capt2 ; 91 
 5554 ; Бона иностранная ;  ;  ;  ;  ; 9 ; bliznetz ; 124 
 5555 ; Бона иностранная ;  ;  ;  ;  ; 12 ; ъхз ; 173 
 5556 ; Бона иностранная ;  ;  ;  ;  ; 14 ; bliznetz ; 132 
 5557 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Рубчик ; 102 
 5558 ; Бона иностранная ;  ;  ;  ;  ; 12 ; 4758 ; 92 
 5559 ; Бона иностранная ;  ;  ;  ;  ; 8 ; pref ; 71 
 5560 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 333985 ; 28 
 5561 ; Бона иностранная ;  ;  ;  ;  ; 7 ; KOSOWAR ; 30 
 5562 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 312 ; 26 
 5563 ; Бона иностранная ;  ;  ;  ;  ; 11 ; gdrg2 ; 67 
 5564 ; Бона иностранная ;  ;  ;  ;  ; 15 ; alesjane ; 202 
 5565 ; Бона иностранная ;  ;  ;  ;  ; 11 ; gdrg2 ; 50 
 5566 ; Бона иностранная ;  ;  ;  ;  ; 34 ; kont ; 1304 
 5567 ; Бона иностранная ;  ;  ;  ;  ; 8 ; canario ; 41 
 5568 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ъхз ; 47 
 5569 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 333985 ; 90 
 5570 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Scorpionchic-sun ; 29 
 5571 ; Бона иностранная ;  ;  ;  ;  ; 5 ; vladmarkin ; 69 
 5572 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 4758 ; 27 
 5573 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 333985 ; 38 
 5574 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 333985 ; 29 
 5575 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 2128508 ; 77 
 5576 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 4758 ; 28 
 5577 ; Бона иностранная ;  ;  ;  ;  ; 6 ; ъхз ; 47 
 5578 ; Бона иностранная ;  ;  ;  ;  ; 12 ; orlov2015 ; 250 
 5579 ; Бона иностранная ;  ;  ;  ;  ; 28 ; стадник ; 555 
 5580 ; Бона иностранная ;  ;  ;  ;  ; 17 ; стадник ; 556 
 5581 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4758 ; 27 
 5582 ; Бона иностранная ;  ;  ;  ;  ; 3 ; vladmarkin ; 101 
 5583 ; Бона иностранная ;  ;  ;  ;  ; 27 ; archy ; 701 
 5584 ; Бона иностранная ;  ;  ;  ;  ; 32 ; alesjane ; 516 
 5585 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Mike! ; 178 
 5586 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 230269 ; 47 
 5587 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Mike! ; 150 
 5588 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4758 ; 26 
 5589 ; Бона иностранная ;  ;  ;  ;  ; 5 ; я8844 ; 59 
 5590 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4758 ; 26 
 5591 ; Бона иностранная ;  ;  ;  ;  ; 9 ; electra ; 180 
 5592 ; Бона иностранная ;  ;  ;  ;  ; 14 ; electra ; 203 
 5443 ; 1000 рублей ; 1992 ; билет ;  ;  ; 26 ; lva08 ; 83 
 5444 ; 500 рублей ; 1992 ; билет ;  ;  ; 30 ; lva08 ; 78 
 5445 ; Бона 100 рублей. Сочи 2014. Серия Аа ;  ;  ;  ;  ; 20 ; tilovik ; 213 
 5446 ; Бона 100 рублей. Сочи 2014. Серия АА ;  ;  ;  ;  ; 16 ; pavel788 ; 215 
 5447 ; Бона один червонец ;  ;  ;  ;  ; 7 ; Artemon ; 238 
 5448 ; Лот потребительских казначейских билетов, 3 шт ;  ;  ;  ;  ; 11 ; air ; 612 
 5449 ; Лот бон (5шт) ;  ;  ;  ;  ; 51 ; SergeyOsipov ; 340 
 5450 ; Лот облигаций (3шт) ; 1947-1952 ;  ;  ;  ; 44 ; mmmm ; 465 
 5501 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Scorpionchic-sun ; 30 
 5502 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 2128508 ; 50 
 5503 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Scorpionchic-sun ; 38 
 5504 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Scorpionchic-sun ; 38 
 5505 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 2128508 ; 50 
 5506 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 2128508 ; 50 
 5507 ; Бона иностранная ;  ;  ;  ;  ; 5 ; vladmarkin ; 30 
 5508 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 2128508 ; 50 
 5509 ; Бона иностранная ;  ;  ;  ;  ; 5 ; vladmarkin ; 30 
 5510 ; Бона иностранная ;  ;  ;  ;  ; 5 ; vladmarkin ; 30 
 5511 ; Бона иностранная ;  ;  ;  ;  ; 3 ; vladmarkin ; 67 
 5512 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ъхз ; 43 
 5513 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 4758 ; 27 
 5514 ; Бона иностранная ;  ;  ;  ;  ; 7 ; canario ; 30 
 5515 ; Бона иностранная ;  ;  ;  ;  ; 17 ; orlov2015 ; 95 
 5516 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 4758 ; 27 
 5517 ; Бона иностранная ;  ;  ;  ;  ; 6 ; alesjane ; 121 
 5518 ; Бона иностранная ;  ;  ;  ;  ; 9 ; bva150979 ; 140 
 5519 ; Бона иностранная ;  ;  ;  ;  ; 9 ; vladmarkin ; 57 
 5520 ; Бона иностранная ;  ;  ;  ;  ; 7 ; vladmarkin ; 50 
 5521 ; Бона иностранная ;  ;  ;  ;  ; 10 ; 333985 ; 57 
 5522 ; Бона иностранная ;  ;  ;  ;  ; 27 ; tss ; 215 
 5523 ; Бона иностранная ;  ;  ;  ;  ; 24 ; tss ; 204 
 5524 ; Бона иностранная ;  ;  ;  ;  ; 21 ; tss ; 298 
 5525 ; Бона иностранная ;  ;  ;  ;  ; 12 ; tss ; 111 
 5526 ; Бона иностранная ;  ;  ;  ;  ; 8 ; doc2 ; 77 
 5527 ; Бона иностранная ;  ;  ;  ;  ; 13 ; вулканолог ; 88 
 5528 ; Бона иностранная ;  ;  ;  ;  ; 8 ; vladmarkin ; 62 
 5529 ; Бона иностранная ;  ;  ;  ;  ; 14 ; alesjane ; 179 
 5530 ; Бона иностранная ;  ;  ;  ;  ; 13 ; orlov2015 ; 109 
 5531 ; Бона иностранная ;  ;  ;  ;  ; 7 ; vladmarkin ; 70 
 5532 ; Бона иностранная ;  ;  ;  ;  ; 6 ; zamectitel ; 101 
 5533 ; Бона иностранная ;  ;  ;  ;  ; 4 ; vladmarkin ; 77 
 5534 ; Бона иностранная ;  ;  ;  ;  ; 16 ; karal ; 101 
 5535 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Scorpionchic-sun ; 31 
 5536 ; Бона иностранная ;  ;  ;  ;  ; 7 ; canario ; 30 
 5537 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 312 ; 26 
 5538 ; Бона иностранная ;  ;  ;  ;  ; 5 ; vladmarkin ; 30 
 5539 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Scorpionchic-sun ; 27 
 5540 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 4758 ; 38 
 5541 ; Бона иностранная ;  ;  ;  ;  ; 7 ; я8844 ; 90 
