 5854 ; Бона иностранная. Бразилия ;  ;  ;  ; AU ; 26 ; scipion ; 116 
 5567 ; Бона иностранная ;  ;  ;  ;  ; 9 ; я8844 ; 28 
 5568 ; Бона иностранная ;  ;  ;  ;  ; 10 ; val211 ; 30 
 5569 ; Бона иностранная ;  ;  ;  ;  ; 15 ; trial ; 139 
 5328 ; Лот бон 1 рубль. 10 шт ; 1938 ;  ;  ;  ; 45 ; всё моё ; 5102 
 5329 ; Лот бон 3 рубля. 7 шт ; 1938 ;  ;  ;  ; 52 ; всё моё ; 8286 
 5330 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 60 ; Limbus ; 1207 
 5331 ; Лот бон 1 рубль. 8 шт ; 1947 ;  ;  ;  ; 28 ; 8888 ; 4080 
 5332 ; Лот бон 3 рубля. 2 шт ; 1947 ;  ;  ;  ; 26 ; zima ; 3570 
 5333 ; Лот бон 5 и 10 рублей ; 1947 ;  ;  ;  ; 32 ; zima ; 3621 
 5334 ; 25 рублей ; 1918 ; 2 подписи Гос.кредитные билеты(не выпущены) ;  ;  ; 44 ; Конрос77 ; 1587 
 5335 ; 100 рублей ; 1918 ; 2 подписи Гос.кредитные билеты(не выпущены) ;  ;  ; 38 ; Конрос77 ; 1552 
 5336 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 14 ; kop ; 245 
 5337 ; 250 рублей ; 1918 ;  ;  ;  ; 37 ; аймир ; 319 
 5338 ; 500 рублей ; 1918 ;  ;  ;  ; 40 ; alik434 ; 683 
 5339 ; 1000 рублей ; 1919 ;  ;  ;  ; 50 ; аймир ; 472 
 5340 ; Бона 3 рубля г.Одесса ; 1917 ;  ;  ;  ; 37 ; Lucht7 ; 779 
 5341 ; 1 рубль ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 46 ; ac ; 700 
 5342 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 27 ; Lucht7 ; 877 
 5343 ; Лот бон 7 шт ;  ;  ;  ;  ; 21 ; НЗ ; 641 
 5344 ; Акция в 500 рублей. Акционерное общество шерстяной мануфактуры Ф.-Вильгельма Швейкерта в г.Лодзи ; 1899 ;  ;  ;  ; 49 ; Mike! ; 867 
 5345 ; Облигация в 500 рублей. Государственный военный краткосрочный заем ; 1915 ;  ;  ;  ; 41 ; siemеns ; 350 
 5346 ; Облигация в 100 рублей. Государственный военный краткосрочный заем ; 1916 ;  ;  ;  ; 35 ; siemеns ; 350 
 5347 ; Пять облигаций на 625 рублей золотом. Императорское российское правительство ; 1889 ;  ;  ;  ; 20 ; siemеns ; 350 
 5348 ; Облигация в 187р.50коп. Общество Московско-Виндаво-Рыбинской железной дороги ; 1903 ;  ;  ;  ; 14 ; siemеns ; 350 
 5349 ; Облигация в 125 рублей золотом. Императорское российское правительство ; 1891 ;  ;  ;  ; 20 ; siemеns ; 350 
 5350 ; Облигация на 500 марок. Общество Московско-Курской железной дороги ; 1886 ;  ;  ;  ; 38 ; siemеns ; 550 
 5351 ; Облигация на 125 рублей. Императорское российское правительство ; 1880 ;  ;  ;  ; 21 ; siemеns ; 459 
 5352 ; Облигация на 1000 марок. Общество Курско-Киевской железной дороги ; 1887 ;  ;  ;  ; 21 ; siemеns ; 459 
 5353 ; Облигация в 187 руб.50коп. Императорское российское правительство ; 1906 ;  ;  ;  ; 31 ; siemеns ; 450 
 5354 ; Облигация в 125 рублей. Общество Владикавказской железной дороги ; 1885 ;  ;  ;  ; 9 ; siemеns ; 350 
 5355 ; Акция. С купонами. Общество трамваев г.Белосток ; 1895 ;  ;  ;  ; 30 ; Mike! ; 474 
 5356 ; Акция в 2000 крон. С купонами. Будапешт ; 1921 ;  ;  ;  ; 15 ; siemеns ; 350 
 5357 ; Акция в 100 рублей. Usines Maltzoff ; 1916 ;  ;  ;  ; 16 ; siemеns ; 464 
 5358 ; Акция в 1000 франков. Брюссель ; 1921 ;  ;  ;  ; 24 ; siemеns ; 350 
 5501 ; Бона иностранная ;  ;  ;  ;  ; 10 ; vlkorchev ; 41 
 5502 ; Бона иностранная ;  ;  ;  ;  ; 6 ; vlkorchev ; 41 
 5503 ; Бона иностранная ;  ;  ;  ;  ; 13 ; TiBuL ; 40 
 5504 ; Бона иностранная ;  ;  ;  ;  ; 6 ; vlkorchev ; 41 
 5505 ; Бона иностранная ;  ;  ;  ;  ; 6 ; цеховик ; 41 
 5506 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Ксения ; 41 
 5507 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Ксения ; 41 
 5508 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Ксения ; 41 
 5509 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Ксения ; 41 
 5510 ; Бона иностранная ;  ;  ;  ;  ; 6 ; цеховик ; 41 
 5511 ; Бона иностранная ;  ;  ;  ;  ; 4 ; TiBuL ; 30 
 5512 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Ксения ; 41 
 5513 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Ксения ; 41 
 5514 ; Бона иностранная ;  ;  ;  ;  ; 5 ; TiBuL ; 40 
 5515 ; Бона иностранная ;  ;  ;  ;  ; 6 ; vlkorchev ; 41 
 5516 ; Бона иностранная ;  ;  ;  ;  ; 11 ; цеховик ; 51 
 5517 ; Бона иностранная ;  ;  ;  ;  ; 6 ; цеховик ; 41 
 5518 ; Бона иностранная ;  ;  ;  ;  ; 10 ; TiBuL ; 48 
 5519 ; Бона иностранная ;  ;  ;  ;  ; 9 ; artyom-k ; 53 
 5078 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ; AU ; 10 ; kirkar ; 612 
 5079 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 9 ; dpekin ; 110 
 5080 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 21 ; гугл= ; 246 
 5081 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 21 ; гугл= ; 357 
 5082 ; 5000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 47 ; kirkar ; 6006 
 5083 ; 10000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 59 ; svv ; 2787 
 5084 ; 10 рублей ; 1947 ; билет ;  ; AU ; 32 ; 8888 ; 4408 
 5085 ; 25 рублей ; 1947 ; билет ;  ; AU ; 40 ; Northman ; 6801 
 5086 ; 100 рублей ; 1947 ; билет ;  ; AU ; 23 ; vasek ; 9180 
 5087 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 21 ; Lucht7 ; 813 
 5088 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 22 ; Конрос77 ; 835 
 5089 ; 100 рублей ; 1915 ;  ;  ;  ; 15 ; solder13 ; 320 
 5090 ; 100 рублей ; 1916 ;  ;  ;  ; 22 ; solder13 ; 376 
 5091 ; 100 рублей ; 1916 ;  ;  ;  ; 44 ; solder13 ; 376 
 5092 ; 100 рублей ; 1916 ;  ;  ;  ; 17 ; stark-2006 ; 306 
 5093 ; 1000 рублей ; 1916 ;  ;  ;  ; 28 ; solder13 ; 376 
 5094 ; 1000 рублей ; 1916 ;  ;  ;  ; 11 ; Baisel ; 313 
 5095 ; Облигация С.- Петербургского гор. Кредитного общества в 500 рублей ; 1908 ;  ;  ;  ; 40 ; kehha ; 693 
 5096 ; Облигация ; 1896 ;  ;  ;  ; 38 ; siemеns ; 503 
 5097 ; Облигация ; 1908 ;  ;  ;  ; 15 ; sher60 ; 561 
 5098 ; Облигация ; 1909 ;  ;  ;  ; 18 ; siemеns ; 531 
 5099 ; Облигация ; 1906 ;  ;  ;  ; 31 ; siemеns ; 633 
 5100 ; Облигация ; 1891 ;  ;  ;  ; 21 ; siemеns ; 337 
 5301 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 24 ; 45b00f ; 662 
 5302 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 39 ; 45b00f ; 560 
 5303 ; 25 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 14 ; 45b00f ; 459 
 5304 ; Лот бон 25 рублей. 3 шт ; 1909 ;  ;  ;  ; 24 ; alik434 ; 281 
 5305 ; Лот бон 10 рублей (Коншин,Шипов). 3 шт ; 1909 ;  ;  ;  ; 32 ; ANGEL 23 ; 102 
 5306 ; Лот бон 10 рублей. 3 шт ; 1909 ;  ;  ;  ; 20 ; Lyonfik ; 114 
 5307 ; Лот бон 5 рублей. 3 шт ; 1909 ;  ;  ;  ; 10 ; xado85 ; 114 
 5308 ; Лот бон 5 рублей. 5 шт ; 1909 ;  ;  ;  ; 13 ; Lyonfik ; 124 
 5309 ; Лот бон 3 рубля. 3 шт ; 1905 ;  ;  ;  ; 8 ; ANGEL 23 ; 92 
 5310 ; Лот бон 3 рубля. 3 шт ; 1905 ;  ;  ;  ; 12 ; cr2952 ; 114 
 5311 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 26 ; kirkar ; 2267 
 5312 ; Лот бон 1 рубль. 2 шт ; 1898 ;  ;  ;  ; 33 ; bonist-3A ; 821 
 5313 ; Лот бон 1,3,5,10,25 рубль. 6 шт ; 1898-1909 ;  ;  ;  ; 40 ; xado85 ; 340 
 5314 ; Лот бон 250 рублей. 3 шт ; 1917 ;  ;  ;  ; 21 ; cr2952 ; 226 
 5315 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 11 ; Ксения ; 250 
 5316 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 29 ; Ксения ; 285 
 5317 ; Лот бон 1000 рублей. 3 шт ; 1917 ;  ;  ;  ; 20 ; alex2209 ; 327 
 5318 ; Лот бон 250 и 1000 рублей. 3 шт ; 1917 ;  ;  ;  ; 20 ; ac ; 368 
 5319 ; 100 рублей ; 1920 ;  ;  ;  ; 32 ; Lucht7 ; 828 
 5320 ; 500 рублей ; 1920 ;  ;  ;  ; 31 ; Lucht7 ; 717 
 5321 ; 1000 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 38 ; ctepanovich ; 7038 
 5322 ; 100 марок золотом ; 1898 ; Финляндия билет ;  ;  ; 40 ; max2008 ; 4221 
 5323 ; Бона 5 копеек Елгава ; 1915 ;  ;  ;  ; 60 ; спарта ; 399 
 5324 ; Бона 2000 рублей (шелковка). Хорезмская Республика ; 1921 ;  ;  ;  ; 44 ; нумизмат ; 18360 
 5325 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 21 ; кс ; 362 
