 3292 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 17 ; Poiuyt ; 21 
 3150 ; 10 марок. Польша ; 1919 ;  ;  ;  ; 15 ; ICEK ; 148 
 3151 ; 100 марок. Польша ; 1919 ;  ;  ;  ; 15 ; dtdt ; 99 
 3152 ; 100 марок. Польша ; 1919 ;  ;  ;  ; 33 ; ICEK ; 148 
 3153 ; 5 злотых. Польша ; 1930 ;  ;  ;  ; 21 ; kostik_ne ; 46 
 3154 ; 5 злотых. Польша ; 1930 ;  ;  ;  ; 7 ; ICEK ; 148 
 3155 ; 1 доллар США ; 1935 ;  ;  ;  ; 30 ; бездельник22 ; 462 
 3156 ; 2 доллара США ; 1995 ;  ;  ;  ; 34 ; skir ; 105 
 3157 ; Бона, Франция ;  ;  ;  ;  ; 62 ; cochu ; 707 
 3158 ; Бона, Франция ;  ;  ;  ;  ; 76 ; shmatko24 ; 737 
 3159 ; Бона, Франция ;  ;  ;  ;  ; 63 ; Oliveer ; 842 
 3160 ; 1000 крон ; 1902 ;  ;  ;  ; 31 ; afanas ; 128 
 3161 ; 100 марок ; 1920 ;  ;  ;  ; 12 ; afanas ; 104 
 3162 ; 25 лат. Латвия ; 1938 ;  ;  ;  ; 27 ; Mike! ; 220 
 3163 ; 2 гривны ; 1918 ;  ;  ;  ; 59 ; maks169 ; 104 
 3164 ; 50 пенго ; 1945 ;  ;  ;  ; 9 ; shmatko24 ; 271 
 3165 ; 100 пенго ; 1945 ;  ;  ;  ; 69 ; shmatko24 ; 204 
 3166 ; 500 пенго ; 1945 ;  ;  ;  ; 10 ; shmatko24 ; 105 
 3167 ; 100 пенго ; 1944 ;  ;  ;  ; 16 ; afanas ; 101 
 3168 ; 100 пенго ; 1930 ;  ;  ;  ; 31 ; kostik_ne ; 40 
 3169 ; 100 пенго ; 1930 ;  ;  ;  ; 9 ; kostik_ne ; 51 
 3170 ; 100000 пенго ; 1946 ;  ;  ;  ; 55 ; shmatko24 ; 336 
 3171 ; 1 миллион пенго ; 1946 ;  ;  ;  ; 11 ; afanas ; 153 
 3172 ; 1 миллиард пенго ; 1946 ;  ;  ;  ; 68 ; shmatko24 ; 317 
 3173 ; 20 рублей (30 шт.) ;  ;  ;  ;  ; 41 ; do_cent ; 101 
 3174 ; 40 рублей (45 шт.) ;  ;  ;  ;  ; 14 ; do_cent ; 101 
 3175 ; Бона иностранная ;  ;  ;  ;  ; 54 ; afanas ; 117 
 3176 ; Бона иностранная ;  ;  ;  ;  ; 71 ; afanas ; 104 
 3177 ; Бона иностранная ;  ;  ;  ;  ; 16 ; afanas ; 61 
 3178 ; Бона иностранная ;  ;  ;  ;  ; 16 ; kostik_ne ; 22 
 3179 ; Бона иностранная ;  ;  ;  ;  ; 11 ; afanas ; 57 
 3180 ; Бона иностранная ;  ;  ;  ;  ; 9 ; kostik_ne ; 20 
 3181 ; Бона иностранная ;  ;  ;  ;  ; 14 ; kostik_ne ; 32 
 3182 ; Бона иностранная ;  ;  ;  ;  ; 42 ; kostik_ne ; 43 
 3183 ; Бона иностранная ;  ;  ;  ;  ; 23 ; kostik_ne ; 33 
 3184 ; Бона иностранная ;  ;  ;  ;  ; 12 ; kostik_ne ; 31 
 3185 ; Бона иностранная ;  ;  ;  ;  ; 40 ; buzykin ; 77 
 3186 ; Бона иностранная ;  ;  ;  ;  ; 27 ; buzykin ; 77 
 3187 ; Бона иностранная ;  ;  ;  ;  ; 31 ; kostik_ne ; 30 
 3188 ; Бона иностранная ;  ;  ;  ;  ; 16 ; kostik_ne ; 38 
 3189 ; Бона иностранная ;  ;  ;  ;  ; 31 ; buzykin ; 77 
 3190 ; Бона иностранная ;  ;  ;  ;  ; 9 ; kostik_ne ; 32 
 3191 ; Бона иностранная ;  ;  ;  ;  ; 11 ; kostik_ne ; 32 
 3092 ; 100 рублей. Коншин-Коптелов ; 1898 ; Коншин 1910 г. Гос.кредитные б ;  ;  ; 62 ; corsair69 ; 4284 
 3093 ; 100 рублей. Тимашев-Морозов ; 1898 ; Тимашев 1903. Гос.кредитные би ;  ;  ; 31 ; corsair69 ; 4284 
 3094 ; 100 рублей. Тимашев-Михеев ; 1898 ; Тимашев 1903. Гос.кредитные би ;  ;  ; 33 ; SlavA ; 5610 
 3095 ; 100 рублей. Тимашев-Брут ; 1898 ; Тимашев 1903. Гос.кредитные би ;  ;  ; 49 ; ura 57 ; 4284 
 3096 ; 500 рублей. Коншин-Богатырев ; 1912 ; Коншин. Гос.кредитные билеты 1 ;  ;  ; 38 ; MG ; 1487 
 3097 ; 500 рублей. Коншин-Морозов ; 1912 ; Коншин. Гос.кредитные билеты 1 ;  ;  ; 29 ; and000 ; 2856 
 3098 ; 500 рублей. Тимашев-Чихиржин ; 1898 ; Тимашев 1903. Гос.кредитные би ;  ;  ; 64 ; greedy ; 5952 
 3099 ; Акция. Успенск (Донецк) ; 1896 ;  ;  ;  ; 23 ; rambov65 ; 422 
 3100 ; Акция. Владимировка ; 1910 ;  ;  ;  ; 115 ; fillin ; 408 
 3101 ; Акция. Кострома ; 1899 ;  ;  ;  ; 35 ; and000 ; 384 
 3102 ; Акция. Кострома. Привелегированная ; 1899 ;  ;  ;  ; 83 ; and000 ; 400 
 3103 ; АО Автоматические кирпичные и черепичные заводы в России. Привелегированная акция ; 1899 ;  ;  ;  ; 5 ; and000 ; 578 
 3104 ; Кузнечные и сталлелитейные заводы на Каме. Свидетельство на участие в прибылях ; 1884 ;  ;  ;  ; 17 ; 67 ; 1497 
 3105 ; Облигация. Победенко ; 1905 ;  ;  ;  ; 28 ; fillin ; 408 
 3106 ; Акция Южно-Русское Днепровское маталлургическое об-во ; 1898 ;  ;  ;  ; 10 ; Mike! ; 457 
 3107 ; Акция АО по производству исскуственного шелка в городе Мышков ; 1912 ;  ;  ;  ; 11 ; and000 ; 417 
 3108 ; Облигация Ачинск-Минусинской ж/д ; 1914 ;  ;  ;  ; 10 ; skrudg ; 638 
 3109 ; Акция. Донецк ; 1895 ;  ;  ;  ; 57 ; димитрий ; 408 
 3110 ; Акция. Донецк. Привелегированная ; 1895 ;  ;  ;  ; 35 ; димитрий ; 453 
 3111 ; Екатеринославский трамвай. Акция на владение ; 1897 ;  ;  ;  ; 68 ; pillau3 ; 483 
 3112 ; Екатеринославский трамвай. Акция на капитал ; 1897 ;  ;  ;  ; 62 ; димитрий ; 453 
 3113 ; Акция. Киев ; 1905 ;  ;  ;  ; 59 ; димитрий ; 367 
 3114 ; Русско-Бельгийское АО электрических предприятий. Свид-во на 5 акций. Тираж - 1000 шт. ; 1896 ;  ;  ;  ; 6 ; and000 ; 357 
 3115 ; 50 рублей ; 1915 ; Билеты государственного казнач ;  ;  ; 22 ; skir ; 150 
 3116 ; 5000 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 4 ; Sezon ; 357 
 3117 ; 10 рублей. Одесса ; 1917 ;  ;  ;  ; 29 ; necator ; 105 
 3118 ; Купоны. Лист-10 шт. ;  ;  ;  ;  ; 11 ; 67 ; 159 
 3119 ; 500 рублей. Ростов ; 1918 ;  ;  ;  ; 42 ; Sezon ; 320 
 3120 ; 1000 рублей. Ростов ; 1919 ;  ;  ;  ; 31 ; Sezon ; 377 
 3121 ; Листовка ; 1944 ;  ;  ;  ; 2 ; hanir ; 207 
 3122 ; Листовка ; 1944 ;  ;  ;  ; 11 ; Михалыч ; 255 
 3123 ; Листовка ; 1944 ;  ;  ;  ; 76 ; gelind ; 377 
 3124 ; 2 доллара США ; 1917 ;  ;  ;  ; 51 ; vlkorchev ; 157 
 3125 ; 1 вон. Сов.оккупация Кореи ; 1945 ;  ;  ;  ; 49 ; denzil ; 913 
 3126 ; 10 вон. Сов.оккупация Кореи ; 1945 ;  ;  ;  ; 16 ; ds133 ; 700 
 3127 ; 10 вон. Сов.оккупация Кореи ; 1945 ;  ;  ;  ; 64 ; denzil ; 1042 
 3128 ; 100вон. Сов.оккупация Кореи ; 1945 ;  ;  ;  ; 27 ; MG ; 1345 
 3129 ; 1 юань. Сов.оккупация Манджурии ;  ;  ;  ;  ; 48 ; tiout ; 458 
 3130 ; 1 юань. Сов.оккупация Манджурии ;  ;  ;  ;  ; 45 ; tiout ; 509 
 3131 ; 5 юаней.Сов.оккупация Манджурии ;  ;  ;  ;  ; 29 ; tiout ; 505 
 3132 ; 10 юаней. Сов.оккупация Манджурии ;  ;  ;  ;  ; 13 ; MG ; 285 
 3133 ; 10 юаней. Сов.оккупация Манджурии ;  ;  ;  ;  ; 18 ; MG ; 255 
 3134 ; 10 юаней. Сов.оккупация Манджурии ;  ;  ;  ;  ; 15 ; tiout ; 444 
 3135 ; 1 злотый. Польша ; 1941 ;  ;  ;  ; 21 ; ICEK ; 148 
 3136 ; 1 злотый. Польша ; 1944 ;  ;  ;   ; 56 ; Михалыч ; 61 
 3137 ; 1 злотый. Польша ; 1944 ;  ;  ;   ; 18 ; kostik_ne ; 40 
 3138 ; 1 злотый. Польша ; 1944 ;  ;  ;   ; 18 ; ICEK ; 102 
 3139 ; 2 злотых. Польша ; 1944 ;  ;  ;   ; 49 ; kostik_ne ; 53 
 3140 ; 2 злотых. Польша ; 1944 ;  ;  ;   ; 22 ; ICEK ; 114 
 3141 ; 5 марок. Польша ; 1919 ;  ;  ;  ; 35 ; ICEK ; 197 
 3042 ; 250 рублей   ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 13 ; evgen72 ; 60 
 3043 ; 250 рублей   ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 3 ; ds133 ; 29 
 3044 ; 100 рублей ; 1918 ; Закавказье  ;  ;  ; 49 ; trie ; 245 
 3045 ; 500 рублей ; 1919 ; Грузия  ;  ;  ; 15 ; necator ; 299 
 3046 ; Билет 5 лотереи Осоавиахима ; 1930 ;  ;  ;  ; 22 ; Михалыч ; 204 
 3047 ; Билет 6 лотереи Осоавиахима ; 1931 ;  ;  ;  ; 14 ; gelind ; 204 
 3048 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 27 ; evgen72 ; 60 
 3049 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 6 ; ds133 ; 29 
 3050 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 15 ; Poiuyt ; 31 
 3051 ; 1 копейка ; 1917 ; Деньги-марки  ;  ; AU ; 45 ; Михалыч ; 165 
 3052 ; 2 копейки ; 1915 ; Деньги-марки  ;  ; AU ; 90 ; irinka ; 175 
 3053 ; 1 копейка ; 1917 ; Деньги-марки  ;  ; AU ; 54 ; irinka ; 209 
 3054 ; 2 копейки ; 1917 ; Деньги-марки  ;  ; AU ; 34 ; shtuka ; 188 
 3055 ; 3 рубля ; 1919 ; Расчетные знаки РСФСР  ;  ; AU ; 9 ; seaman ; 216 
 3056 ; 1 песета. Испания ; 1953 ;  ;  ; AU ; 27 ; lesnik1 ; 123 
 3057 ; 50 копеек. Сибирское врем. прав-во ; 1919 ;  ;  ; AU ; 44 ; seaman ; 355 
 3058 ; 50 пенни ; 1919 ; Эстония  ;  ; AU ; 14 ; seaman ; 370 
 3059 ; 50 копеек. Екатериноград ; 1919 ;  ;  ; AU ; 102 ; Ksn ; 2735 
 3060 ; 1 рубль. Родзянко ; 1919 ;  ;  ; AU ; 89 ; derk02 ; 2040 
 3061 ; 3 рубля. Родзянко ; 1919 ;  ;  ; AU ; 51 ; derk02 ; 2040 
 3062 ; 10 рублей. Родзянко ; 1919 ;  ;  ; AU ; 49 ; derk02 ; 2040 
 3063 ; 2 гривни ; 1918 ; Украина.Державный Кредитовий б ;  ; AU ; 119 ; Dj ; 2040 
 3064 ; 50 карбованцев ; 1918 ; Украина. Знак Державноi скарбн ;  ; AU ; 93 ; Dj ; 1020 
 3065 ; 50 рублей ; 1919 ; Армения  ;  ; AU ; 75 ; hotin ; 1121 
 3066 ; 100 рублей ; 1919 ; Армения  ;  ; AU ; 51 ; hotin ; 1905 
 3067 ; 3 рубля. Коншин ; 1905 ; Коншин 1910 г. Гос.кредитные б ;  ; AU ; 77 ; irinka ; 2659 
 3068 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 63 ; seaman ; 279 
 3069 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 17 ; evgen72 ; 70 
 3070 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 8 ; seaman ; 62 
 3071 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 13 ; and000 ; 64 
 3072 ; 1 рубль. Сцепка 2 шт. ; 1922 ; Гос.денежные знаки 1922 г.(обр ;  ; AU ; 122 ; derk02 ; 2550 
 3073 ; 3 рубля. Сцепка 2 шт. ; 1922 ; Гос.денежные знаки 1922 г.(обр ;  ; AU ; 72 ; seaman ; 2495 
 3074 ; 5 рублей. Сцепка 2 шт. ; 1922 ; Гос.денежные знаки 1922 г.(обр ;  ; AU ; 37 ; seaman ; 2261 
 3075 ; 10 рублей. Сцепка 2 шт. ; 1922 ; Гос.денежные знаки 1922 г.(обр ;  ; AU ; 81 ; seaman ; 2268 
 3076 ; 25 рублей. Сцепка 2 шт. ; 1922 ; Гос.денежные знаки 1922 г.(обр ;  ; AU ; 88 ; seaman ; 2581 
 3077 ; 50 рублей. Сцепка 2 шт. ; 1922 ; Гос.денежные знаки 1922 г.(обр ;  ; AU ; 100 ; Dj ; 2654 
 3078 ; 1 рубль. 1 вып. ; 1923 ; Гос.денежные знаки. Первый вып ;  ; AU ; 114 ; seaman ; 2346 
 3079 ; 1 рубль. 2 вып. ; 1923 ; Гос.денежные знаки. Второй вып ;  ; AU ; 72 ; seaman ; 2500 
 3080 ; 50000 рублей. Приднепровье (образец) ; 1995 ;  ;  ; AU ; 61 ; tiout ; 693 
 3081 ; 5 рублей ; 1923 ; Гос.денежные знаки. Первый вып ;  ; AU ; 83 ; seaman ; 2413 
 3082 ; 5 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ; AU ; 13 ; seaman ; 1077 
 3083 ; 10 рублей ; 1923 ; Гос.денежные знаки. Первый вып ;  ; AU ; 42 ; seaman ; 2448 
 3084 ; 10 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ; AU ; 33 ; Dj ; 1810 
 3085 ; 25 рублей ; 1923 ; Гос.денежные знаки. Первый вып ;  ; AU ; 28 ; Ksn ; 2281 
 3086 ; 25 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ; AU ; 55 ; seaman ; 2267 
 3087 ; 25 рублей. Дальневосточная рес-ка ; 1918 ;  ;  ; AU ; 18 ; Dj ; 5100 
 3088 ; 25 рублей ; 1918 ; без подписей Гос.кредитные бил ;  ; AU ; 66 ; irinka ; 2643 
 3089 ; 100 рублей ; 1918 ; 2 подписи Гос.кредитные билеты ;  ; AU ; 46 ; hotin ; 4441 
 3090 ; 1 рубль (банковская упаковка 1000 шт.). Серия НБ-389 ; 1898 ;  ;  ;  ; 106 ; foma71 ; 18968 
 3091 ; 100 рублей. Коншин-Брут ; 1898 ; Коншин 1910 г. Гос.кредитные б ;  ;  ; 52 ; ds133 ; 4200 
 2673 ; 200 шиллингов. Австрия. Олимпийские игры. Лыжник. В подарочной коробке ; 1995 ;  ; Ag ; proof ; 19 ; ЕВС ; 833 
 2674 ; 2000 песет. Испания. XXV Олимпиада в Барселоне. Футбол. В подарочной коробке ; 1990 ;  ; Ag ; proof ; 32 ; Igorek81 ; 931 
 2675 ; 100 франков. Руанда. Нельсон Мандела. В коробке ; 1990 ;  ; Ag ; proof ; 37 ; ЕВС ; 510 
 2676 ; Набор монет Нидерландов: 1,2,5,10,2,50 евроцентов, 1,2 евро (8шт) ; 1999-2000 ;  ; Cu/сталь,B ; AU ; 96 ; Скрудж ; 266 
 2677 ; Набор монет Ватикан: 10,20,50,100,200 лир+жетон Иоанн Павел II (9шт) ; 1976-1982гг ;  ; Al,Al/Br,S ; AU ; 63 ; Dozen ; 357 
 2678 ; Набор монет Ватикана: 1,2,5,10,20,50,100,500 лир (8шт) ; 1971 ;  ; Ag, Al, Cu ; AU ; 59 ; Dozen ; 601 
 2679 ; "Набор монет Канады ""100 лет конфедерации"": 1,5,10,25,50 центов, 1 доллар (6шт). Упаковка" ; 1967 ;  ; Ag,Ni,Br ; AU ; 41 ; tikhonov78 ; 906 
 2680 ; 1 доллар. США. Мир ; 1922 ;  ; Ag ; XF- ; 61 ; sherif-69 ; 916 
