 3216 ; Бона иностранная ;  ;  ;  ;  ; 10 ; allur65 ; 37 
 3168 ; Бона иностранная ;  ;  ;  ;  ; 32 ; jj ; 34 
 3169 ; Бона иностранная ;  ;  ;  ;  ; 3 ; natallli ; 31 
 3170 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Ю.. ; 19 
 3171 ; Бона иностранная ;  ;  ;  ;  ; 18 ; falcom.v ; 40 
 3172 ; Бона иностранная ;  ;  ;  ;  ; 24 ; temirlan ; 31 
 3173 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Ю.. ; 45 
 3174 ; Бона иностранная ;  ;  ;  ;  ; 4 ; сми ; 31 
 3175 ; Бона иностранная ;  ;  ;  ;  ; 32 ; AI ; 50 
 3176 ; Бона иностранная ;  ;  ;  ;  ; 40 ; tigris ; 40 
 3177 ; Бона иностранная ;  ;  ;  ;  ; 19 ; цц ; 19 
 3178 ; Бона иностранная ;  ;  ;  ;  ; 17 ; цц ; 18 
 3179 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Ю.. ; 56 
 3180 ; Бона иностранная ;  ;  ;  ;  ; 69 ; tigris ; 102 
 3181 ; Бона иностранная ;  ;  ;  ;  ; 22 ; falcom.v ; 40 
 3182 ; Бона иностранная ;  ;  ;  ;  ; 22 ; falcom.v ; 30 
 3183 ; Бона иностранная ;  ;  ;  ;  ; 24 ; falcom.v ; 40 
 3184 ; Бона иностранная ;  ;  ;  ;  ; 5 ; cochu ; 30 
 3185 ; Бона иностранная ;  ;  ;  ;  ; 10 ; cochu ; 21 
 3186 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Ю.. ; 21 
 3187 ; Бона иностранная ;  ;  ;  ;  ; 17 ; сми ; 34 
 3188 ; Бона иностранная ;  ;  ;  ;  ; 22 ; falcom.v ; 40 
 3189 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Sky2 ; 35 
 3190 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Sky2 ; 40 
 3191 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Ю.. ; 40 
 3192 ; Бона иностранная ;  ;  ;  ;  ; 22 ; tigris ; 42 
 3193 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Sky2 ; 35 
 3194 ; Бона иностранная ;  ;  ;  ;  ; 24 ; tigris ; 62 
 3195 ; Бона иностранная ;  ;  ;  ;  ; 38 ; temirlan ; 108 
 3196 ; Бона иностранная ;  ;  ;  ;  ; 13 ; цц ; 13 
 3197 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Ю.. ; 63 
 3198 ; Бона иностранная ;  ;  ;  ;  ; 16 ; falcom.v ; 40 
 3199 ; Бона иностранная ;  ;  ;  ;  ; 7 ; цц ; 30 
 3200 ; Бона иностранная ;  ;  ;  ;  ; 11 ; цц ; 12 
 3201 ; Бона иностранная ;  ;  ;  ;  ; 12 ; alex 77 ; 30 
 3202 ; Бона иностранная ;  ;  ;  ;  ; 7 ; цц ; 23 
 3203 ; Бона иностранная ;  ;  ;  ;  ; 8 ; цц ; 23 
 3204 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Sky2 ; 39 
 3205 ; Бона иностранная ;  ;  ;  ;  ; 28 ; strestas ; 155 
 3206 ; Бона иностранная ;  ;  ;  ;  ; 25 ; AI ; 62 
 3207 ; Бона иностранная ;  ;  ;  ;  ; 22 ; strestas ; 102 
 3208 ; Бона иностранная ;  ;  ;  ;  ; 20 ; falcom.v ; 40 
 3209 ; Бона иностранная ;  ;  ;  ;  ; 1 ; сми ; 11 
 3210 ; Бона иностранная ;  ;  ;  ;  ; 29 ; tigris ; 132 
 3211 ; Бона иностранная ;  ;  ;  ;  ; 25 ; miron-sochi ; 70 
 3212 ; Бона иностранная ;  ;  ;  ;  ; 7 ; смит ; 153 
 3213 ; Бона иностранная ;  ;  ;  ;  ; 26 ; смит ; 285 
 3214 ; Бона иностранная ;  ;  ;  ;  ; 24 ; falcom.v ; 40 
 3215 ; Бона иностранная ;  ;  ;  ;  ; 21 ; AI ; 211 
 3116 ; 5 рублей (15 шт) ; 1909 ;  ;  ;  ; 1 ; AndrCh58 ; 300 
 3117 ; 5 рублей (14 шт) ; 1909 ;  ;  ;  ; 10 ; loyig ; 332 
 3118 ; 10 рублей (11 шт) ; 1909 ;  ;  ;  ; 14 ; loyig ; 285 
 3119 ; Купоны (10 шт) ;  ;  ;  ;  ; 3 ; koga ; 53 
 3120 ; Купоны (15 шт) ;  ;  ;  ;  ; 3 ; koga ; 36 
 3121 ; Купоны (15 шт) ;  ;  ;  ;  ; 3 ; сми ; 35 
 3122 ; Купоны (26 шт) ;  ;  ;  ;  ; 15 ; koga ; 79 
 3123 ; Купоны (48 шт) ;  ;  ;  ;  ; 4 ; natallli ; 55 
 3124 ; Бона иностранная ;  ;  ;  ;  ; 20 ; temirlan ; 33 
 3125 ; Бона иностранная ;  ;  ;  ;  ; 30 ; temirlan ; 30 
 3126 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Ksandor ; 33 
 3127 ; Бона иностранная ;  ;  ;  ;  ; 3 ; von_Schwarz ; 31 
 3128 ; Бона иностранная ;  ;  ;  ;  ; 23 ; temirlan ; 30 
 3129 ; Бона иностранная ;  ;  ;  ;  ; 16 ; temirlan ; 30 
 3130 ; Бона иностранная ;  ;  ;  ;  ; 14 ; temirlan ; 30 
 3131 ; Бона иностранная ;  ;  ;  ;  ; 30 ; temirlan ; 31 
 3132 ; Бона иностранная ;  ;  ;  ;  ; 14 ; цц ; 25 
 3133 ; Бона иностранная ;  ;  ;  ;  ; 9 ; цц ; 29 
 3134 ; Бона иностранная ;  ;  ;  ;  ; 4 ; цц ; 25 
 3135 ; Бона иностранная ;  ;  ;  ;  ; 4 ; цц ; 25 
 3136 ; Бона иностранная ;  ;  ;  ;  ; 4 ; цц ; 25 
 3137 ; Бона иностранная ;  ;  ;  ;  ; 4 ; цц ; 25 
 3138 ; Бона иностранная ;  ;  ;  ;  ; 29 ; yrik ; 30 
 3139 ; Бона иностранная ;  ;  ;  ;  ; 9 ; цц ; 20 
 3140 ; Бона иностранная ;  ;  ;  ;  ; 15 ; yrik ; 30 
 3141 ; Бона иностранная ;  ;  ;  ;  ; 18 ; цц ; 29 
 3142 ; Бона иностранная ;  ;  ;  ;  ; 16 ; цц ; 27 
 3143 ; Бона иностранная ;  ;  ;  ;  ; 5 ; цц ; 20 
 3144 ; Бона иностранная ;  ;  ;  ;  ; 29 ; цц ; 29 
 3145 ; Бона иностранная ;  ;  ;  ;  ; 4 ; цц ; 20 
 3146 ; Бона иностранная ;  ;  ;  ;  ; 7 ; цц ; 28 
 3147 ; Бона иностранная ;  ;  ;  ;  ; 16 ; yrik ; 30 
 3148 ; Бона иностранная ;  ;  ;  ;  ; 9 ; temirlan ; 30 
 3149 ; Бона иностранная ;  ;  ;  ;  ; 7 ; цц ; 29 
 3150 ; Бона иностранная ;  ;  ;  ;  ; 30 ; temirlan ; 30 
 3151 ; Бона иностранная ;  ;  ;  ;  ; 5 ; cinderel ; 30 
 3152 ; Бона иностранная ;  ;  ;  ;  ; 9 ; cinderel ; 30 
 3153 ; Бона иностранная ;  ;  ;  ;  ; 7 ; cinderel ; 30 
 3154 ; Бона иностранная ;  ;  ;  ;  ; 18 ; AI ; 43 
 3155 ; Бона иностранная ;  ;  ;  ;  ; 5 ; cinderel ; 30 
 3156 ; Бона иностранная ;  ;  ;  ;  ; 10 ; AI ; 53 
 3157 ; Бона иностранная ;  ;  ;  ;  ; 5 ; cinderel ; 30 
 3158 ; Бона иностранная ;  ;  ;  ;  ; 5 ; cinderel ; 30 
 3159 ; Бона иностранная ;  ;  ;  ;  ; 19 ; tigris ; 33 
 3160 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Ю.. ; 7 
 3161 ; Бона иностранная ;  ;  ;  ;  ; 14 ; alex 77 ; 20 
 3162 ; Бона иностранная ;  ;  ;  ;  ; 4 ; цц ; 21 
 3163 ; Бона иностранная ;  ;  ;  ;  ; 7 ; цц ; 13 
 3164 ; Бона иностранная ;  ;  ;  ;  ; 4 ; цц ; 16 
 3165 ; Бона иностранная ;  ;  ;  ;  ; 8 ; evg65 ; 28 
 3066 ; 3 червонца ; 1932 ; Билет ;  ;  ; 19 ; й12 ; 400 
 3067 ; 3 червонца ; 1932 ; Билет ;  ;  ; 21 ; сс400 ; 426 
 3068 ; 3 червонца ; 1932 ; Билет ;  ;  ; 26 ; панама ; 793 
 3069 ; 100 рублей ; 1918 ; 2 подписи Гос.кредитные билеты ;  ;  ; 56 ; lesnik1 ; 729 
 3070 ; 100 рублей ; 1918 ; 2 подписи Гос.кредитные билеты ;  ;  ; 53 ; VladVK ; 1020 
 3071 ; 100 рублей ; 1918 ; 2 подписи Гос.кредитные билеты ;  ;  ; 42 ; й12 ; 711 
 3072 ; 1 рубль. Однолитерная ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 71 ; BanknotisNN ; 1134 
 3073 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 49 ; mirmirmir ; 235 
 3074 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 29 ; sigurd ; 184 
 3075 ; 3 рубля ; 1934 ; Гос.казначейские билеты ;  ;  ; 45 ; alex1959 ; 290 
 3076 ; 5 рублей ; 1934 ; Гос.казначейские билеты ;  ; XF ; 80 ; Chr ; 4080 
 3077 ; 50000 рублей ; 1995 ; банкнота ;  ; XF ; 46 ; ***** ; 625 
 3078 ; 50000 рублей ; 1994 ; банкнота ;  ; XF ; 50 ; сми ; 729 
 3079 ; 5000 рублей ; 1993 ; банкнота ;  ; XF ; 42 ; ***** ; 657 
 3080 ; 5000 рублей ; 1994 ; банкнота ;  ; XF ; 48 ; lesnik1 ; 601 
 3081 ; 10000 рублей ; 1993 ; банкнота ;  ; XF ; 23 ; ***** ; 494 
 3082 ; 10000 рублей ; 1994 ; банкнота ;  ; XF ; 52 ; cochu ; 507 
 3083 ; 1 червонец ; 1926 ; Калманович, Горбунов. Билет ;  ; XF ; 26 ; QSCl ; 3835 
 3084 ; 10 рублей ; 1947 ; билет ;  ; XF ; 56 ; gasparro ; 1010 
 3085 ; 10 рублей ; 1947 ; билет ;  ; XF ; 45 ; й12 ; 976 
 3086 ; 10 рублей ; 1947 ; билет ;  ; XF ; 37 ; irokez ; 996 
 3087 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 ;  ; XF ; 59 ; Юрий Долгорукий ; 1020 
 3088 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 ;  ; XF ; 44 ; Юрий Долгорукий ; 1037 
 3089 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 ;  ; XF ; 45 ; irokez ; 1058 
 3090 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 ;  ; XF ; 52 ; AI ; 1037 
 3091 ; 50 рублей ; 1923 ; Хорезмская Республика ;  ;  ; 41 ; ASA ; 1797 
 3092 ; 50 рублей ; 1923 ; Хорезмская Республика ;  ;  ; 38 ; сс400 ; 1089 
 3093 ; 100 рублей ; 1923 ; Хорезмская Республика ;  ;  ; 47 ; ASA ; 1797 
 3094 ; 25000 рублей ; 1921 ; Хорезмская Республика ;  ;   ; 31 ; ura 57 ; 1224 
 3095 ; 25000 рублей ; 1921 ; Хорезмская Республика ;  ;   ; 62 ; ASA ; 1899 
 3096 ; 2 червонца ; 1928 ; Калманович, Горбунов. Билет ;  ;  ; 80 ; loyig ; 2550 
 3097 ; 5 рублей. Образец ; 1925 ; Гос.казначейские билеты СССР ;  ;  ; 48 ; ASA ; 29032 
 3098 ; 5 червонцев ; 1928 ; Билет ;  ;  ; 37 ; andrei6808 ; 10835 
 3099 ; 250 рублей ; 1919 ; Туркестан ;  ;  ; 37 ; Ю.. ; 308 
 3100 ; 500 рублей ; 1919 ; Туркестан ;  ;  ; 28 ; й12 ; 733 
 3101 ; 5 марок золотом ; 1897 ; Финляндия билет ;  ;  ; 67 ; dog009 ; 2040 
 3102 ; 10 марок золотом ; 1898 ; Финляндия билет ;  ;  ; 44 ; ASA ; 3448 
 3103 ; 20 марок золотом ; 1898 ; Финляндия билет ;  ;  ; 53 ; toto ; 5633 
 3104 ; Государственный 5% заем (10 облигаций) ; 1906 ;  ;  ;  ; 26 ; Oliveer ; 1020 
 3105 ; Об-во Южно-Русской каменноугольной пром-ти. Акция ; 1912 ;  ;  ;  ; 7 ; mirmirmir ; 322 
 3106 ; Южно-Русское металлургическое об-во. Акция ; 1898 ;  ;  ;  ; 8 ; mirmirmir ; 322 
 3107 ; Заем г. Москвы ; 1908 ;  ;  ;  ; 16 ; temirlan ; 499 
 3108 ; 250 рублей (2шт) ; 1918 ;  ;  ;  ; 14 ; инга ; 102 
 3109 ; 500 рублей (2шт) ; 1918 ;  ;  ;  ; 31 ; инга ; 114 
 3110 ; 25 рублей (2 шт) ; 1909 ;  ;  ;  ; 11 ; alex1959 ; 153 
 3111 ; 25 рублей (2 шт) ; 1909 ;  ;  ;  ; 24 ; strestas ; 153 
 3112 ; 1 рубль (2 шт) ; 1898 ;  ;  ;  ; 18 ; Конрад ; 150 
 3113 ; 1 рубль (2 шт) ; 1898 ;  ;  ;  ; 6 ; dmytrylat ; 68 
 3114 ; 1 рубль (14 шт) ; 1898 ;  ;  ;  ; 19 ; AndrCh58 ; 221 
 3115 ; 3 рубля (20 шт) ; 1905 ;  ;  ;  ; 16 ; loyig ; 298 
 3016 ; 50 рублей ; 1919 ;  ;  ;  ; 9 ; capitan.71 ; 121 
 3017 ; 100 рублей ; 1991 ; билет ;  ;  ; 8 ; mirmirmir ; 50 
 3018 ; 100 рублей ; 1991 ; билет ;  ;  ; 17 ; alex 77 ; 41 
 3019 ; 100 рублей ; 1991 ; билет ;  ;  ; 3 ; Ю.. ; 30 
 3020 ; 100 рублей ; 1991 ; билет ;  ;  ; 6 ; Grod ; 32 
 3021 ; 50 рублей ; 1992 ; билет ;  ;  ; 16 ; Максимус 1 ; 41 
 3022 ; 50 рублей ; 1991 ; билет ;  ;  ; 6 ; alex1959 ; 57 
 3023 ; 50 рублей ; 1991 ; билет ;  ;  ; 8 ; Bur11 ; 31 
 3024 ; 200 рублей ; 1992 ; билет ;  ;  ; 47 ; alex1959 ; 82 
 3025 ; 200 рублей ; 1992 ; билет ;  ;  ; 16 ; molodes ; 40 
 3026 ; 500 рублей ; 1992 ; билет ;  ;  ; 12 ; alex1959 ; 72 
 3027 ; 500 рублей ; 1992 ; билет ;  ;  ; 21 ; molodes ; 41 
 3028 ; 5000 рублей ; 1992 ; банкнота ;  ;  ; 3 ; starina ; 51 
 3029 ; 5000 рублей ; 1992 ; банкнота ;  ;  ; 27 ; alex1959 ; 72 
 3030 ; 5000 рублей ; 1992 ; банкнота ;  ;  ; 43 ; molodes ; 57 
 3031 ; 10000 рублей ; 1992 ; банкнота ;  ;  ; 14 ; QSCl ; 321 
 3032 ; 10000 рублей ; 1995 ; банкнота ;  ;  ; 68 ; Ю.. ; 208 
 3033 ; 1000 рублей ; 1993 ; банкнота ;  ;  ; 14 ; capitan.71 ; 40 
 3034 ; 1000 рублей ; 1993 ; банкнота ;  ;  ; 33 ; alex1959 ; 32 
 3035 ; 1000 рублей ; 1993 ; банкнота ;  ;  ; 19 ; solder13 ; 34 
 3036 ; 5000 рублей ; 1994 ; банкнота ;  ;  ; 23 ; VladVK ; 347 
 3037 ; 10000 рублей ; 1993 ; банкнота ;  ;  ; 19 ; QSCl ; 304 
 3038 ; 10000 рублей ; 1994 ; банкнота ;  ;  ; 15 ; E68 ; 281 
 3039 ; 50000 рублей ; 1994 ; банкнота ;  ;  ; 47 ; Tolya77 ; 816 
 3040 ; 25 лат ; 1938 ; Латвия ;  ;  ; 10 ; Bagrin ; 308 
 3041 ; 2 доллара США ; 1928 ;  ;  ;  ; 82 ; and ; 1111 
 3042 ; 20 карбованцев ; 1942 ;  ;  ;  ; 54 ; skif ; 126 
 3043 ; 20 рейхсмарок ;  ;  ;  ;  ; 49 ; capitan.71 ; 185 
 3044 ; 20 рейхсмарок ;  ;  ;  ;  ; 19 ; AI ; 245 
 3045 ; 20 рейхсмарок ;  ;  ;  ;  ; 25 ; capitan.71 ; 198 
 3046 ; 1000 рублей ; 1919 ;  ;  ;  ; 28 ; Luka ; 299 
 3047 ; 1000 рублей ; 1919 ;  ;  ;  ; 52 ; lesnik1 ; 501 
 3048 ; 5000 рублей ; 1919 ;  ;  ;  ; 23 ; sigurd ; 108 
 3049 ; 5000 рублей ; 1919 ;  ;  ;  ; 37 ; Luka ; 240 
 3050 ; 5000 рублей ; 1919 ;  ;  ;  ; 35 ; Luka ; 133 
 3051 ; 10000 рублей. УЖД Закавказья ;  ;  ;  ;  ; 31 ; maks169 ; 357 
 3052 ; 10000 рублей. УЖД Закавказья ;  ;  ;  ;  ; 28 ; Luka ; 306 
 3053 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 36 ; Luka ; 162 
 3054 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 38 ; AI ; 210 
 3055 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 36 ; Шаман ; 155 
 3056 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 44 ; Luka ; 120 
 3057 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 35 ; инга ; 221 
 3058 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 84 ; Ksandor ; 306 
 3059 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 21 ; Шаман ; 110 
 3060 ; 50 рублей. Правильный путь ; 1923 ;  ;  ;  ; 77 ; ASA ; 1102 
 3061 ; 1 рублЬ. Правильный путь ; 1924 ;  ;  ;  ; 49 ; ASA ; 1062 
 3062 ; 100 рублей. Правильный путь ; 1923 ;  ;  ;  ; 105 ; ASA ; 1080 
 3063 ; 100 рублей ; 1922 ; Бухарская Республика ;  ;  ; 18 ; херъ ; 655 
 3064 ; 1 рубль ; 1898 ; Плеске. Гос.кредитные билеты 1 ;  ;  ; 105 ; ac ; 193 
 3065 ; 3 червонца ; 1932 ; Билет ;  ;  ; 32 ; й12 ; 359 
 2816 ; Лот монет Югославии:10,5,2,1 динаров, 20,10 пара (17шт) ; 1938-1983 ;  ; Cu-Ni,Br,л ; VF+/AU ; 24 ; tss ; 79 
 2817 ; Лот монет Франции:10,5,2,1,1/2 франков,1 50,25,20,10,5 сантимов (25шт) ; 1921-1993 ;  ; Al,Cu-Ni,B ; VF/AU ; 45 ; Полянка ; 322 
 2818 ; Лот монет Дании:20,10,5,2 крон, 50,25,5,2 эре (13шт) ; 1941-1994 ;  ; Cu-Ni,Br,F ; VF-/AU ; 37 ; Анатоль ; 204 
 2819 ; Лот монет ГДР:20 марок (2шт) ; 1971,1972 ;  ; Cu-Ni ; AU ; 26 ; pius ; 170 
 2820 ; Лот монет ГДР:5 марок (3шт) ; 1971,1972 ;  ; Cu-Ni ; XF/AU ; 25 ; Скрудж ; 247 
 2821 ; Лот монет Югославии:2 динара, 50 пара (2шт) ; 1925,1978 ;  ; Cu-Ni,Ж/м ; VF/XF+ ; 3 ; kaa123 ; 102 
 2822 ; Лот монет Мальты (8шт): 2евро,1евро, 50центов, 20центов, 10центов, 5центов, 2цента, 1цент ; 2008 ;  ; Би/м, Лату ; AU ; 23 ; 76ss76 ; 351 
 2823 ; 1 доллар. США. Джеймс Медисон ; 2007 ;  ; Cu/Zn/Ni в ; AU ; 40 ; mirmirmir ; 132 
 2824 ; 1 доллар. США. Джеймс Монро ; 2008 ;  ; Cu/Zn/Ni в ; AU ; 44 ; mirmirmir ; 132 
 2825 ; Лот монет Нидерландов:25,10,5,1 центов (11шт) ; 1942-2000 ;  ; Br,Cu-Ni, ; VF+/AU ; 24 ; PaulMS ; 191 
 2826 ; Лот монет Молдовы: 50,25,10,5,1 бани (5шт) ; 2006,2008 ;  ; Al,Латунь ; AU ; 25 ; Shrrv ; 61 
 2827 ; Лот монет Туркменистана: 1000,500 манат,50,20,10,5,1 теннеси (7шт) ; 1993,1999 ;  ; Cu/St,Ni/S ; XF/AU ; 20 ; mixx00 ; 148 
 2828 ; Лот монет Туркменистана: 50,20,10,5,2,1 тенне (6шт) ; 2009 ;  ; Латунь,Ni/ ; AU ; 53 ; Sterh ; 51 
 2829 ; Лот монет Преднистровской Молдавской Республики: 50,25,10,5,1 коп (5шт) ; 2000,2005 ;  ; Al,Cu/St ; AU ; 31 ; Shrrv ; 81 
 2830 ; Лот монет Армении: 10,5,3,1 драма, 50,20,10 люма (7шт) ; 1994 ;  ; Al ; AU ; 47 ; Т-80 ; 299 
 2831 ; Лот монет Новой Индии (4шт) ; 2005-2008 ;  ; Cu-Ni ; AU ; 22 ; Т-80 ; 206 
 2832 ; Лот монет Люксембурга (5шт) ; 1979-1983 ;  ; Cu-Ni,Жм ; VF-XF/AU ; 88 ; Анатоль ; 340 
 2833 ; Набор монет Йемена: 5шт ; 20 век ;  ; Cu-Ni,Би/м ; AU ; 32 ; Dom Perignon ; 185 
 2834 ; Лот монет Великобритании:2,1 пенни (4шт) ; 1971-1979 ;  ; Br ; VF-/VF+ ; 21 ; Semenich ; 22 
 2835 ; Лот монет Испании (5шт) ; 1982-1992 ;  ; Cu-Ni,Al ; XF/AU ; 27 ; marych2006 ; 94 
 2836 ; Лот монет Греции (5шт) ; 1973 ;  ; Cu-Ni,Ж/м ; VF+/AU ; 53 ; Полянка ; 303 
 2837 ; Лот монет Чехословакии (6шт) ; 1955-1996 ;  ; Al,Cu-Ni,B ; VF/AU ; 53 ; UIT77 ; 101 
 2838 ; Лот монет Австрии (8шт) ; 1947-1983 ;  ; Al,Br ; F-VF/XF- ; 40 ; NFV ; 90 
 2839 ; Лот монет США (10шт) ; 1964-1990 ;  ; Br ; XF-/AU ; 24 ; Semenich ; 24 
 2840 ; Лот монет Норвегии (10шт) ; 1958-1972 ;  ; Br ; VF+/XF+ ; 95 ; Полянка ; 209 
 2841 ; Лот монет Болгарии (6шт) ; 1951-1990 ;  ; Cu-Ni,Br ; VF+/AU ; 26 ; himik-58 ; 77 
 2842 ; Лот монет Греции (5шт) ; 1973 ;  ; Cu-Ni,Br ; VF+/XF ; 51 ; Т-80 ; 363 
 2843 ; Лот монет Бельгии (7шт) ; 1953-1989 ;  ; Cu-Ni,Br ; VF+/AU ; 13 ; xct ; 79 
 2844 ; Лот монет США: 1 цент (20шт) ; 1976-1997 ;  ; Cu-Zn ; XF/AU ; 17 ; Semenich ; 91 
 2845 ; Лот монет Греции (8шт) ; 1978-1992 ;  ; Br,Cu-Ni ; VF+/XF+ ; 44 ; Pyrros ; 155 
 2846 ; Лот монет Норвегии (12шт) ; 1958-1973 ;  ; Br ; VF/XF ; 39 ; Полянка ; 237 
 2847 ; Лот монет Испании (6шт) ; 1957-1966 ;  ; Al,Cu-Ni,Ж ; VF+/XF ; 85 ; Let ; 209 
 2848 ; Лот монет США (12шт) ; 1963-1990 ;  ; Br,Cu-Ni ; VF/XF ; 29 ; alex995 ; 61 
 2849 ; Лот монет Великобритании (5шт) ; 1860-1901 ;  ; Br ; F-VF ; 85 ; guran ; 450 
 2850 ; Лот монет Великобритании (8шт) ; 1937-1952 ;  ; Al/Br ; VF-/VF+ ; 91 ; Semenich ; 179 
 3001 ; 20 копеек. Одесса ;  ;  ;  ;  ; 46 ; Ю.. ; 400 
 3002 ; 1 рубль. Уральское ОГБ ;  ;  ;  ;  ; 79 ; ASA ; 1585 
 3003 ; 15 копеек. Сцепка 2 шт ; 1915 ; Деньги-марки ;  ;  ; 10 ; сми ; 64 
 3004 ; 15 копеек. Сцепка 2 шт ; 1915 ; Деньги-марки ;  ;  ; 10 ; сми ; 61 
 3005 ; 15 копеек. Сцепка 2 шт ; 1915 ; Деньги-марки ;  ;  ; 8 ; сми ; 61 
 3006 ; 15 копеек. Сцепка 2 шт ; 1915 ; Деньги-марки ;  ;  ; 8 ; сми ; 61 
 3007 ; 50 копеек ; 1918 ; Туркестан ;  ;  ; 63 ; сми ; 622 
 3008 ; 5 копеек. Арктикуголь ;  ;  ;  ;  ; 30 ; Sky2 ; 283 
 3009 ; 10 копеек. Арктикуголь ;  ;  ;  ;  ; 25 ; Sky2 ; 263 
 3010 ; 20 копеек. Арктикуголь ;  ;  ;  ;  ; 28 ; Sky2 ; 270 
 3011 ; 1 копейка. Арктикуголь ; 1957 ;  ;  ;  ; 57 ; Ю.. ; 476 
 3012 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 44 ; alex 77 ; 62 
 3013 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 22 ; capitan.71 ; 59 
 3014 ; 50 рублей ; 1919 ;  ;  ;  ; 46 ; sigurd ; 80 
 3015 ; 25 рублей ; 1919 ;  ;  ;  ; 18 ; sigurd ; 100 
 2766 ; 5 сантимов. Франция ; 1925 ;  ; Cu-Ni ; VF- ; 25 ; Shrrv ; 36 
 2767 ; 6 пенсов. Великобритания ; 1960 ;  ; Cu-Ni ; VF ; 7 ; guran ; 22 
