 5499 ; Почтовая карточка Китай ;  ;  ;  ;  ; 12 ; Краснодар ; 99 
 5361 ; Бона иностранная. Гайана ;  ;  ;  ;  ; 33 ; heavy_fly ; 115 
 5362 ; Бона иностранная. Гондурас ;  ;  ;  ;  ; 17 ; krass ; 100 
 5363 ; Бона иностранная. Гондурас ;  ;  ;  ;  ; 15 ; krass ; 100 
 5364 ; Бона иностранная. Зимбабве ;  ;  ;  ;  ; 9 ; sifirot ; 46 
 5365 ; Бона иностранная. Замбия ;  ;  ;  ;  ; 15 ; krass ; 80 
 5366 ; Бона иностранная. Замбия ;  ;  ;  ;  ; 15 ; 🌍 ; 113 
 5367 ; Бона иностранная. Замбия ;  ;  ;  ;  ; 5 ; krass ; 80 
 5368 ; Бона иностранная. Нигерия ;  ;  ;  ;  ; 3 ; sveta6369 ; 41 
 5369 ; Бона иностранная. Нигерия ;  ;  ;  ;  ; 18 ; an78gg ; 140 
 5370 ; Бона иностранная. Либерия ;  ;  ;  ;  ; 7 ; krass ; 80 
 5371 ; Бона иностранная. Либерия ;  ;  ;  ;  ; 7 ; krass ; 80 
 5372 ; Бона иностранная. Малави ;  ;  ;  ;  ; 9 ; 🌍 ; 70 
 5373 ; Бона иностранная. Танзания ;  ;  ;  ;  ; 13 ; krass ; 101 
 5374 ; Бона иностранная. Конго ;  ;  ;  ;  ; 12 ; 🌍 ; 102 
 5375 ; Бона иностранная. Ангола ;  ;  ;  ;  ; 11 ; 🌍 ; 80 
 5376 ; Бона иностранная. Ангола ;  ;  ;  ;  ; 7 ; 2128508 ; 126 
 5377 ; Бона иностранная. Ангола ;  ;  ;  ;  ; 9 ; 2128508 ; 126 
 5378 ; Бона иностранная. Таиланд ;  ;  ;  ;  ; 13 ; 🌍 ; 55 
 5379 ; Бона иностранная. Бутан ;  ;  ;  ;  ; 9 ; unicorn ; 40 
 5380 ; Бона иностранная. Индонезия ;  ;  ;  ;  ; 9 ; unicorn ; 41 
 5381 ; Бона иностранная. Индонезия ;  ;  ;  ;  ; 9 ; unicorn ; 41 
 5382 ; Бона иностранная. Индонезия ;  ;  ;  ;  ; 7 ; 2128508 ; 101 
 5383 ; Бона иностранная. Мьянма ;  ;  ;  ;  ; 17 ; гудзон ; 51 
 5384 ; Бона иностранная. Перу ;  ;  ;  ;  ; 16 ; Kortes55 ; 55 
 5385 ; Бона иностранная. Перу ;  ;  ;  ;  ; 26 ; Nigelinho ; 57 
 5386 ; Бона иностранная. Перу ;  ;  ;  ;  ; 18 ; Nigelinho ; 46 
 5387 ; Бона иностранная. Перу ;  ;  ;  ;  ; 11 ; unicorn ; 31 
 5388 ; Бона иностранная. Перу ;  ;  ;  ;  ; 15 ; El dinero ; 34 
 5389 ; Бона иностранная. Перу ;  ;  ;  ;  ; 15 ; 🌍 ; 71 
 5390 ; Бона иностранная. Перу ;  ;  ;  ;  ; 12 ; 🌍 ; 58 
 5391 ; Бона иностранная. Перу ;  ;  ;  ;  ; 11 ; 1gold ; 40 
 5392 ; Бона иностранная. Перу ;  ;  ;  ;  ; 15 ; 🌍 ; 55 
 5393 ; Бона иностранная. Индия ;  ;  ;  ;  ; 23 ; Alex1 ; 53 
 5394 ; Бона иностранная. Индия ;  ;  ;  ;  ; 40 ; 🌍 ; 123 
 5395 ; Бона иностранная. Пакистан ;  ;  ;  ;  ; 11 ; Ivanp1ter ; 31 
 5396 ; Бона иностранная. Пакистан ;  ;  ;  ;  ; 5 ; магаз ; 14 
 5397 ; Бона иностранная. Ирак ;  ;  ;  ;  ; 20 ; 6x6 ; 133 
 5398 ; Бона иностранная. Ирак ;  ;  ;  ;  ; 16 ; Yuraha76 ; 79 
 5299 ; Лот бон (7шт) ;  ;  ;  ;  ; 11 ; тикси3 ; 46 
 5300 ; Лот бон иностранных 9 шт ;  ;  ;  ;  ; 45 ; diskus72 ; 218 
 5301 ; 1000 франков КФА/Сенегал ;  ;  ;  ;  ; 70 ; LaAnchous ; 1006 
 5302 ; 100 франков КФА/Сенегал ;  ;  ;  ;  ; 32 ; Моряк-собиратель ; 1334 
 5303 ; 10 долларов Родезия ; 1975 ;  ;  ; XF ; 50 ; Моряк-собиратель ; 2720 
 5304 ; 1000 франков Габон ;  ;  ;  ; AU ; 39 ; Моряк-собиратель ; 2432 
 5305 ; 5 флоринов Аруба ; 1986 ;  ;  ; AU ; 74 ; sifirot ; 2000 
 5306 ; 50 лемпир Гондурас ; 1984 ;  ;  ;  ; 78 ; LaAnchous ; 681 
 5307 ; Бона иностранная Китай ; 1931 ;  ;  ;  ; 8 ; lsp25 ; 370 
 5308 ; 10 гульденов Нидерландские Антилы ; 2006 ;  ;  ;  ; 9 ; птичка16 ; 227 
 5309 ; 10 динар Бахрейн ;  ;  ;  ;  ; 51 ; Fontan ; 1022 
 5310 ; Бона иностранная Нигерия ;  ;  ;  ;  ; 3 ; Моряк-собиратель ; 101 
 5311 ; Бона иностранная Япония ;  ;  ;  ;  ; 17 ; SKH ; 186 
 5312 ; 10 гульденов Нидерланды ; 1968 ;  ;  ;  ; 52 ; diskus72 ; 229 
 5313 ; Лот бон иностранных 3 шт ;  ;  ;  ; AU ; 15 ; Ostriy ; 209 
 5314 ; 10 злотых Польша ; 1940 ;  ;  ; AU ; 65 ; BSR ; 696 
 5315 ; 50 лек Албания ; 1957 ;  ;  ; AU ; 30 ; Alex1 ; 204 
 5316 ; Лот бон иностранных 2 шт ;  ;  ;  ; AU ; 15 ; Ceregga ; 104 
 5317 ; Лот бон иностранных 2 шт ;  ;  ;  ; AU ; 18 ; 🌍 ; 65 
 5318 ; Лот бон иностранных 2 шт ;  ;  ;  ; AU ; 17 ; 🌍 ; 82 
 5319 ; 20 долларов Фиджи ;  ;  ;  ; AU ; 55 ; Andreyspb ; 701 
 5320 ; 50 песо Аргентина ;  ;  ;  ; AU ; 23 ; Yuraha76 ; 336 
 5321 ; Бона иностранная Нигерия ; 2013 ;  ;  ; AU ; 13 ; 🌍 ; 85 
 5322 ; 1 доллар США ; 2009 ;  ;  ; AU ; 11 ; uz ; 222 
 5323 ; 20 долларов Канада ;  ;  ;  ;  ; 49 ; Maxim914 ; 1236 
 5324 ; Бона иностранная Японская оккупация ;  ;  ;  ;  ; 25 ; dimon-2007 ; 172 
 5325 ; 1 фунт Кипр ; 1997 ;  ;  ;  ; 27 ; an78gg ; 189 
 5326 ; 100 крон Швеция ; 1953 ;  ;  ;  ; 59 ; tss ; 714 
 5327 ; Бона иностранная Швеция ; 1988 ;  ;  ;  ; 11 ; Sammler ; 46 
 5328 ; 50 крон Швеция ;  ;  ;  ; AU ; 37 ; Andreyspb ; 359 
 5329 ; Лот бон иностранных 4 шт ;  ;  ;  ;  ; 41 ; diskus72 ; 111 
 5330 ; 25 песет Испания ; 1931 ;  ;  ;  ; 56 ; diskus72 ; 248 
 5331 ; 100 динар Югославия ; 1946 ;  ;  ;  ; 45 ; трутень ; 429 
 5332 ; 1000 лир Италия ;  ;  ;  ; AU ; 19 ; an78gg ; 119 
 5333 ; 100 марок Финляндия ; 1955 ;  ;  ;  ; 17 ; pref ; 201 
 5334 ; 100 динар  Сербия ; 1941 ;  ;  ;  ; 15 ; cr3041 ; 117 
 5335 ; 1 фунт Нигерия ;  ;  ;  ;  ; 7 ; bva150979 ; 46 
 5336 ; 20 долларов Гонг-Конг ;  ;  ;  ;  ; 15 ; unicorn ; 125 
 5337 ; Бона иностранная Перу ; 2009 ;  ;  ;  ; 15 ; Yuraha76 ; 260 
 5338 ; Бона иностранная Иран ;  ;  ;  ; AU ; 12 ; Andreyspb ; 114 
 5339 ; Лот бон Монголия 10 шт ;  ;  ;  ; AU ; 30 ; дилитант ; 104 
 5340 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 14 ; corsar ; 90 
 5341 ; Лот бон Таджикистан 2 шт ; 1994 ;  ;  ; AU ; 51 ; kost ; 259 
 5342 ; Лот бон Украина 2 шт ;  ;  ;  ; AU ; 5 ; 🌍 ; 57 
 5343 ; 10 лит Литва ; 2007 ;  ;  ;  ; 9 ; всыня ; 164 
 5344 ; Чек Англия ;  ;  ;  ;  ; 15 ; alesjane ; 340 
 5345 ; Бона иностранная. Корея ;  ;  ;  ;  ; 27 ; 🌍 ; 95 
 5346 ; Бона иностранная. Корея ;  ;  ;  ;  ; 16 ; дилитант ; 78 
 5347 ; Бона иностранная. Корея ;  ;  ;  ;  ; 13 ; 🌍 ; 97 
 5348 ; Бона иностранная. Корея ;  ;  ;  ;  ; 7 ; магаз ; 66 
 5249 ; Лот нотгельдов Германия 10 шт ;  ;  ;  ;  ; 5 ; oleg632112 ; 204 
 5250 ; Лот нотгельдов Германия 5 шт ;  ;  ;  ;  ; 7 ; Maxim914 ; 159 
 5251 ; Нотгельд Германия, ткань ;  ;  ;  ;  ; 41 ; Ok203 ; 1224 
 5252 ; Нотгельд Германия, ткань ;  ;  ;  ;  ; 35 ; Ok203 ; 1116 
 5253 ; Нотгельд Германия ; 1921 ;  ;  ;  ; 25 ; diskus72 ; 161 
 5254 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 41 ; Kubus ; 6777 
 5255 ; 10 марок Германия ; 1949 ;  ;  ;  ; 29 ; uhfvv7 ; 680 
 5256 ; 10000 крон Австрия ; 1918 ;  ;  ;  ; 17 ; uhfvv7 ; 142 
 5257 ; 1000 крон Австрия ; 1902 ;  ;  ;  ; 14 ; ВЯЗЪ ; 104 
 5258 ; Бона иностранная Австрия ; 1918 ;  ;  ;  ; 34 ; Alex1 ; 188 
 5259 ; Бона иностранная Австрия ; 1944 ;  ;  ;  ; 37 ; lesnik1 ; 230 
 5260 ; Бона иностранная Франция ;  ;  ;  ;  ; 22 ; von_Schwarz ; 579 
 5261 ; Бона иностранная Франция ;  ;  ;  ;  ; 8 ; pref ; 120 
 5262 ; Бона иностранная. Франция ;  ;  ;  ;  ; 5 ; 333985 ; 161 
 5263 ; Бона иностранная. Франция ;  ;  ;  ;  ; 5 ; 333985 ; 161 
 5264 ; 10 крон Дания ; 1942 ;  ;  ;  ; 28 ; Sammler ; 329 
 5265 ; 1 фунт Шотландия ; 1965 ;  ;  ;  ; 74 ; diskus72 ; 519 
 5266 ; Бона иностранная Греция ; 1926 ;  ;  ;  ; 13 ; 2128508 ; 77 
 5267 ; 1000 марек Польша ; 1919 ;  ;  ;  ; 54 ; Maxim914 ; 404 
 5268 ; 50000 злотых Польша ; 1993 ;  ;  ; AU ; 22 ; BSR ; 573 
 5269 ; 1000000 злотых Польша ; 1991 ;  ;  ; AU ; 57 ; BSR ; 1530 
 5270 ; 500 марек Польша ; 1919 ;  ;  ;  ; 41 ; ВалеН ; 564 
 5271 ; 1000 марек Германия ; 1910 ;  ;  ;  ; 27 ; Alex1 ; 90 
 5272 ; Бона иностранная Германия ; 1922 ;  ;  ;  ; 66 ; Frodo Baggins ; 333 
 5273 ; 10 марок ГДР ; 1971 ;  ;  ;  ; 18 ; 🌍 ; 101 
 5274 ; 20 гульденов Нидерланды ; 1941 ;  ;  ;  ; 82 ; SKH ; 2540 
 5275 ; 25 гульденов Нидерланды ; 1955 ;  ;  ;  ; 16 ; Ostriy ; 457 
 5276 ; 2 1/2 гульденов Нидерланды ; 1938 ;  ;  ;  ; 7 ; Alex1 ; 105 
 5277 ; 5 гульденов Нидерланды ; 1973 ;  ;  ;  ; 48 ; diskus72 ; 101 
 5278 ; 100 юаней Китай ;  ;  ;  ;  ; 72 ; SKH ; 1111 
 5279 ; Бона иностранная Китай ; 1923 ;  ;  ;  ; 12 ; lsp25 ; 283 
 5280 ; Бона иностранная Китай ; 1933 ;  ;  ;  ; 25 ; к219 ; 1320 
 5281 ; Бона иностранная Китай ; 1934 ;  ;  ;  ; 18 ; к219 ; 453 
 5282 ; Бона иностранная Китай ; 1940 ;  ;  ;  ; 43 ; Olimpia ; 635 
 5283 ; Бона иностранная. Япония ;  ;  ;  ;  ; 11 ; ialaiola ; 100 
 5284 ; Бона иностранная. Япония ;  ;  ;  ;  ; 13 ; lsp25 ; 101 
 5285 ; Бона иностранная. Япония ;  ;  ;  ;  ; 15 ; Alex1 ; 99 
 5286 ; Бона иностранная. Япония ;  ;  ;  ;  ; 7 ; denisl ; 101 
 5287 ; Бона иностранная. Япония ;  ;  ;  ;  ; 15 ; дилитант ; 89 
 5288 ; Бона иностранная. Япония ;  ;  ;  ;  ; 17 ; магаз ; 140 
 5289 ; 1 песо Куба.  Образец ; 1978 ;  ;  ; AU ; 7 ; pillers26 ; 340 
 5290 ; 10 песо Куба.  Образец ; 1965 ;  ;  ; AU ; 12 ; pillers26 ; 357 
 5291 ; 500 динар Югославия. Штамп Боснии и Герцеговины ; 1990 ;  ;  ;  ; 57 ; Плутос ; 705 
 5292 ; 5 крон Швеция ; 1981 ;  ;  ; AU ; 21 ; unicorn ; 45 
 5293 ; Лот бон иностранных 24 шт ;  ;  ;  ;  ; 19 ; Jon Snow ; 1326 
 5294 ; Лот бон (5шт) ;  ;  ;  ;  ; 44 ; El dinero ; 105 
 5295 ; Лот бон (6шт) ;  ;  ;  ;  ; 11 ; El dinero ; 97 
 5296 ; Лот нотгельдов Германия 10 шт ;  ;  ;  ;  ; 30 ; diskus72 ; 318 
 5297 ; Лот бон (40шт) Нотгельды ;  ;  ;  ;  ; 23 ; Ok203 ; 1019 
 5298 ; Лот бон Украина 3 шт ;  ;  ;  ; AU ; 14 ; heavy_fly ; 204 
 5199 ; Лот билетов лотереи спринт 3 шт. Образец ; 1980 ;  ;  ;  ; 27 ; sotnik ; 680 
 5200 ; Билет лотереи ( 4шт.) ;  ;  ;  ;  ; 9 ; Метро62 ; 159 
 5201 ; 1000 марек Ковно ; 1918 ;  ;  ;  ; 38 ; ЛАВ-13 ; 1791 
 5202 ; 20 лит ; 1930 ; Литва ;  ;  ; 49 ; к219 ; 1487 
 5203 ; 10 лит ; 1927 ; Литва ;  ;  ; 42 ; archy ; 1000 
 5204 ; 3 рубля ; 1919 ; Латвия. Разменный знак ;  ; XF ; 8 ; ukb ; 283 
 5205 ; 25 крон ; 1992 ; Эстония ;  ; AU ; 20 ; Andreyspb ; 359 
 5206 ; 500 драмов ; 1999 ; Армения ;  ;  ; 40 ; apach ; 306 
 5207 ; 10000 рублей ; 2000 ; Беларусь ;  ; AU ; 28 ; ialaiola ; 100 
 5208 ; 1000000 рублей ; 1999 ; Беларусь ;  ;  ; 37 ; Фест ; 1020 
 5209 ; Лот бон иностранных 2 шт ;  ;  ;  ; AU ; 36 ; 🌍 ; 311 
 5210 ; Лот бон Молдова 2 шт ; 2009-10 ;  ;  ;  ; 14 ; всыня ; 25 
 5211 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 23 ; pref ; 51 
 5212 ; Лот бон Познань 2 шт ; 1916 ;  ;  ;  ; 12 ; ssuss ; 101 
 5213 ; 1 рубль Познань ; 1916 ;  ;  ;  ; 19 ; Carca^ss ; 166 
 5214 ; 3 рубля Познань ; 1916 ;  ;  ;  ; 10 ; Carca^ss ; 167 
 5215 ; 5 рублей Либавское городское самоуправление ; 1915 ;  ;  ; AU ; 28 ; Andreyspb ; 601 
 5216 ; Лот купонов Беларусь 11 шт ;  ;  ;  ;  ; 28 ; apach ; 204 
 5217 ; 50 гривен Украина ;  ;  ;  ; AU ; 48 ; heavy_fly ; 233 
 5218 ; 20 гривен Украина. Образец ;  ;  ;  ;  ; 29 ; Ratmen ; 1428 
 5219 ; 3 рубля "Порт-Кунда" ; 1941 ;  ;  ;  ; 24 ; benc ; 1803 
 5220 ; 10 марок Мемель ; 1922 ;  ;  ; AU ; 56 ; bva150979 ; 3208 
 5221 ; 1 марка Мемель ; 1922 ;  ;  ; XF+ ; 20 ; 2128508 ; 692 
 5222 ; 1000 марок Германия ; 1910 ;  ;  ; AU ; 50 ; Frodo Baggins ; 260 
 5223 ; 10000 марок Германия ; 1922 ;  ;  ;  ; 29 ; alex09-63 ; 223 
 5224 ; 10000 марок Германия ; 1922 ;  ;  ;  ; 53 ; Alex1 ; 204 
 5225 ; 100 марок Германия ; 1920 ;  ;  ;  ; 5 ; Alex1 ; 34 
 5226 ; 100 марок Германия ; 1910 ;  ;  ;  ; 11 ; ssuss ; 138 
 5227 ; 1/2 марки Германия ; 1948 ;  ;  ;  ; 38 ; Kubus ; 411 
