 6621 ; Крест нательный, серебро. ;  ;  ; Ag925 ;  ; 26 ; vit2503 ; 4162 
 6657 ; Мини-издание. В.Маяковский. Избранные произведения. ОГИЗ. 1937 год. ;  ;  ;  ;  ; 60 ; 12345lal ; 510 
 6658 ; Краткий философский словарь. Под редакцией М. Розенталя и П. Юдина. ОГИЗ. 1939 год. ;  ;  ;  ;  ; 15 ; Affliction ; 510 
 6659 ; На рубежъ XIX-го столътiя. Часть 1 -я. С-Петербург. 1902 год. ;  ;  ;  ;  ; 36 ; lavist ; 916 
 6660 ; Книжки недъли 7-9.  С-Петербург. 1894 год. ;  ;  ;  ;  ; 46 ; никсер ; 765 
 6661 ; И.В. Сталин. Том 10. 1927 Август-Декабрь. Москва. 1949 год. ;  ;  ;  ;  ; 25 ; ИБК ; 224 
 6662 ; И.В. Сталин. Том 11. 1928 - Март 1929. Москва. 1949 год. ;  ;  ;  ;  ; 18 ; ИБК ; 204 
 6663 ; И.В. Сталин. Том 12. Апрель 1929 - июнь 1930. Москва. 1949 год. ;  ;  ;  ;  ; 26 ; ИБК ; 225 
 6664 ; И.В. Сталин. Том 13. Июль 1930 - Январь 1934. Москва. 1951 год. ;  ;  ;  ;  ; 20 ; ИБК ; 255 
 6665 ; В.И. Немирович-Данченко. Скромные подвиги. Разсказы для юношества. С-Петебрург. 1890 г. ;  ;  ;  ;  ; 74 ; Сказочник ; 1428 
 6666 ; Е. Молоховец. Подарокъ молодымъ хозяйкамъ. Часть I и II. С-Петербург. 1895 г. ;  ;  ;  ;  ; 59 ; Дачникк ; 9066 
 6667 ; К.Р. Стихотворения. 1879-1899 гг. С-Петербург. 1901 год. ;  ;  ;  ;  ; 45 ; slovjnin ; 2758 
 6668 ; Интернационал и мировая война. Петроград. 1919 год. ;  ;  ;  ;  ; 45 ; казак 1963 ; 752 
 6669 ; Петербург 1703-1903. Юбилейное издание. С-Петербург. 1903 год. ;  ;  ;  ;  ; 61 ; 78gen ; 5106 
 6460 ; И.Г. Спасский. Русская монетная система. Учпедгиз 1960 ;  ;  ;  ;  ; 15 ; SadKo ; 222 
 6461 ; Каталог монет СССР и России, Couns Moscow 1918-2018 ;  ;  ;  ;  ; 7 ; Ivanov ; 132 
 6462 ; А.А. Щелоков. Монеты СССР. Финансы и статистика. Москва 1986 ;  ;  ;  ;  ; 11 ; Александр-78 ; 82 
 6463 ; Лот из 3-х аукционных каталогов и журналов ;  ;  ;  ;  ; 13 ; Happy Lady ; 113 
 6464 ; Журнал "Как инвестировать деньги в деньги" ;  ;  ;  ;  ; 70 ; Happy Lady ; 1887 
 6465 ; Журнал Петербургский коллекционер №2(111) 2019 ;  ;  ;  ;  ; 72 ; Aurum ; 101 
 6466 ; Аукционный каталог DOROTHEUM. Ювелирные изделия 22 октября 2015г ;  ;  ;  ;  ; 23 ; Affliction ; 153 
 6467 ; Журнал Антиквариат №5 (76) май 2010 ;  ;  ;  ;  ; 11 ; NNN ; 206 
 6468 ; Аукционный каталог DOROTHEUM. Живопись 19 века 25 апреля 2018г ;  ;  ;  ;  ; 16 ; Витёк ; 220 
 6469 ; Аукционный каталог DOROTHEUM. Картины старых мастеров, Часть II 19 апреля 2016г ;  ;  ;  ;  ; 9 ; Affliction ; 101 
 6470 ; Аукционный каталог DOROTHEUM. Картины старых мастеров, Часть II 20 отября 2015г ;  ;  ;  ;  ; 13 ; МАХАЙРА ; 215 
 6471 ; Аукционный каталог DOROTHEUM. Антиквариат и Мебель 26 апреля 2017г ;  ;  ;  ;  ; 19 ; МАХАЙРА ; 215 
 6472 ; Награды Новой России. Санкт-Петербург 1997 ;  ;  ;  ;  ; 22 ; GOBSEK ; 283 
 6473 ; Репринтное издание. Материалы по археологии России. Курганы С.-Петербургской губернии в раскопках Л.К. Ивановского. Санкт-Петербург ;  ;  ;  ;  ; 50 ; МАХАЙРА ; 763 
 6474 ; В.Д. Кривцов. Аверс №3. Москва 1997 ;  ;  ;  ;  ; 81 ; eugraphus ; 992 
 6475 ; А.С. Мельникова. Русские монеты от Ивана Грозного до Петра Первого. Издатель: Финансы и статистика. Москва 1989г. ;  ;  ;  ;  ; 21 ; vit2503 ; 1122 
 6476 ; А.Д. Бойнович, В.Д. Доценко. Российский императорский флот в знаках и жетонах. С дополнением. Санкт-Петербург ФОРТЭКС 2002 ;  ;  ;  ;  ; 44 ; Searcher ; 816 
 6477 ; Нагрудные знаки советских вооруженных сил 1918-1991 В.А.Борисов ; 1994 ;  ;  ; 2000025975114 ; 60 ; vasilekd ; 2042 
 6478 ; Каталог Canadian Coins 70th Edition 2016 ;  ;  ;  ;  ; 15 ; Alexim ; 665 
 6479 ; Пухов Е.В. Монета "Ефимок с признаком" ;  ;  ;  ;  ; 25 ; Alexim ; 246 
 6480 ; Каталог Экспозиция История денег Художники Гознака Иван Яковлевич Билибин Спб 2018 ;  ;  ;  ;  ; 38 ; kbk ; 363 
 6481 ; Каталог Экспозиция История денег Художники Гознака Антон Федорович Васютинский Спб 2018 ;  ;  ;  ;  ; 18 ; kbk ; 261 
 6482 ; Каталог Экспозиция История денег Художники Гознака Рихард Германович Заррин Спб 2018 ;  ;  ;  ;  ; 13 ; kbk ; 261 
 6483 ; Оптовый лот, 20 книг. Каталог-справочник. Монеты РСФСР, СССР и России 1921-2014 годов, 38 редакция ;  ;  ;  ;  ; 39 ; торгаш ; 128 
 6484 ; Оптовый лот, 10 книг.  Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 6 ; альф13 ; 510 
 6485 ; Оптовый лот. 13 книг. Куда уходят деньги? В. Е. Семенов ;  ;  ;  ;  ; 9 ; альф13 ; 567 
 6486 ; Оптовый лот. 7 книг.  В.Е. Семенов. Монетный передел 1700-1917 гг ;  ;  ;  ;  ; 9 ; торгаш ; 969 
 6487 ; Оптовый лот, 20 книг. Монетное дело Российской империи. В. Е. Семенов ;  ;  ;  ;  ; 11 ; альф13 ; 2063 
 6488 ; Оптовый лот. 4 книги.  БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 48 ; альф13 ; 3897 
 6489 ; Оптовый лот. 20 книг. Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, 2020 год ;  ;  ;  ;  ; 84 ; альф13 ; 2567 
 6601 ; Кофейный набор, серебро, янтарь, з предмета в оригинальном футляре. ;  ;  ; Ag875 ;  ; 44 ; snupi ; 13270 
 6602 ; Брошь золото, бриллиант, два сапфира. ;  ;  ; Au583 ;  ; 68 ; trigl ; 13797 
 6603 ; Часы наручные Полет, золото. ;  ;  ; Au583 ;  ; 28 ; Kartu ; 30602 
 6604 ; Сливочник / молочник серебро, 1828 год. Швеция. ;  ;  ; Ag830 ;  ; 84 ; Кристобаль Хунта ; 15967 
 6605 ; Конфетница серебро. ;  ;  ; Ag875 ;  ; 77 ; mask ; 5781 
 6606 ; Конфетница, серебро, хрусталь. ;  ;  ; Ag875 ;  ; 55 ; а1945 ; 3517 
 6607 ; Подсвечник серебро. Финляндия ;  ;  ; Ag813 ;  ; 77 ; az717 ; 3570 
 6608 ; Набор чайных ложек 6 шт, серебро, вставка- трехцветный Веджвуд фарфор, в оригинальном футляре. Тираж 500 шт. Англия. ;  ;  ; Ag925/ ;  ; 88 ; Кристобаль Хунта ; 13619 
 6609 ; Солонка серебро. ;  ;  ; Ag916 ;  ; 64 ; 1313 ; 2141 
 6610 ; Стопка серебро. ;  ;  ; Ag916 ;  ; 34 ; боровик ; 1530 
 6611 ; Ситечко серебро 84. ;  ;  ; Ag84 ;  ; 50 ; Dahan ; 3441 
 6612 ; Ложка столовая серебро, К.ФАБЕРЖЕ ;  ;  ; Ag84 ;  ; 34 ; Кристобаль Хунта ; 7446 
 6613 ; Ложка чайная, серебро, чернение. ;  ;  ; Ag925 ;  ; 38 ; himak ; 1580 
 6614 ; Ложка чайная витая, серебро 84. ;  ;  ; Ag84 ;  ; 63 ; Кристобаль Хунта ; 1731 
 6615 ; Ложка чайная витая, серебро 84, Р.В1892. ;  ;  ; Ag84 ;  ; 39 ; AN54 ; 1658 
 6616 ; Ложка чайная витая, серебро 84, ИА, 1887. ;  ;  ; Ag84 ;  ; 37 ; AN54 ; 1618 
 6617 ; Ложка чайная, серебро. Европа ;  ;  ; Ag830 ;  ; 68 ; ЗАБРАЛО ; 1270 
 6618 ; Ложка чайная, серебро. Европа ;  ;  ; Ag800 ;  ; 38 ; flutter ; 722 
 6619 ; Вилка десертная, серебро, чернение. ;  ;  ; Ag875 ;  ; 27 ; Федот ; 615 
 6620 ; Вилочка для лимона, серебро, эмаль. ;  ;  ; Ag875 ;  ; 47 ; птичка16 ; 483 
 6410 ; Капсулы для монет – 19 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343996 ;  ;  ;  ;  ; 41 ; Анатолий57 ; 202 
 6411 ; Капсулы для монет – 24 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344001 ;  ;  ;  ;  ; 15 ; az717 ; 161 
 6412 ; Капсулы для монет – 28 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #334005 ;  ;  ;  ;  ; 7 ; az717 ; 161 
 6413 ; Капсулы для монет – 29 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344006 ;  ;  ;  ;  ; 33 ; az717 ; 161 
 6414 ; Капсулы для монет – 30 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344007 ;  ;  ;  ;  ; 41 ; az717 ; 165 
 6415 ; "Капсулы для монет – 34 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344011 " ;  ;  ;  ;  ; 23 ; Анатолий57 ; 203 
 6416 ; Капсулы для монет – 36 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #334013 ;  ;  ;  ;  ; 30 ; Анатолий57 ; 200 
 6417 ; Капсулы для монет – 37 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #334014 ;  ;  ;  ;  ; 9 ; az717 ; 161 
 6418 ; Капсулы для монет – 38 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343988 ;  ;  ;  ;  ; 8 ; Анатолий57 ; 207 
 6419 ; Капсулы для монет – 39 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344016 ;  ;  ;  ;  ; 8 ; solo5 ; 250 
 6420 ; Капсулы для монет – 40 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344017 ;  ;  ;  ;  ; 11 ; Анатолий57 ; 263 
 6421 ; Капсулы для монет – 41 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344018 ;  ;  ;  ;  ; 25 ; Копеечка ; 207 
 6422 ; Капсулы Quadrum для монет – 25 мм, упаковка 10 шт. Leuchtturm, #331951 ;  ;  ;  ;  ; 61 ; Анатолий57 ; 308 
 6423 ; Капсулы QUADRUM 30 для монет – 30 мм, упаковка 10 шт. Leuchtturm, #330443 ;  ;  ;  ;  ; 44 ; 1879 ; 202 
 6424 ; Капсулы Quadrum 32 для монет – 32 мм, упаковка 10 шт. Leuchtturm, #312172 ;  ;  ;  ;  ; 19 ; 1879 ; 254 
 6425 ; Листы GRANDE SH312 на 1 банкноту. Упаковка (5 шт.). Leuchtturm, #358072 ;  ;  ;  ;  ; 17 ; num ; 404 
 6426 ; Листы GRANDE SH312 на 2 банкноты. Упаковка (5 шт.). Leuchtturm, #358073 ;  ;  ;  ;  ; 33 ; num ; 404 
 6427 ; Листы GRANDE SH312 на 3 банкноты. Упаковка (5 шт.). Leuchtturm, #358074 ;  ;  ;  ;  ; 39 ; sharapov.s21 ; 396 
 6428 ; Листы GRANDE SH312 на 4 ячейки. Упаковка (5 шт.). Leuchtturm, #358076 ;  ;  ;  ;  ; 33 ; Декарт ; 414 
 6429 ; Листы GRANDE SH312 на 4 банкноты. Упаковка (5 шт.). Leuchtturm, #358075 ;  ;  ;  ;  ; 17 ; Леонс ; 417 
 6430 ; Листы GRANDE SH312 на 9 ячеек. Упаковка (5 шт.). Leuchtturm, #358077 ;  ;  ;  ;  ; 39 ; Dimitr1 ; 405 
 6431 ; Разделитель картонный в альбом "Numis". Упаковка (20 шт.) Производство "Lindner" ;  ;  ;  ;  ; 13 ; DIMA 57 ; 148 
 6432 ; БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 50 ; ppp ; 1587 
 6433 ; Монетный передел 1700-1917 гг. В. Е. Семенов ;  ;  ;  ;  ; 15 ; vborisevich1 ; 322 
 6434 ; Псевдонимы российского рубля ;  ;  ;  ;  ; 10 ; vborisevich1 ; 136 
 6435 ; Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 30 ; Mikola_1 ; 601 
 6436 ; Подделки российских монет. В. Е. Семенов ;  ;  ;  ;  ; 17 ; круча ; 567 
 6437 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 11 ; allur65 ; 164 
 6438 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 11 ; vborisevich1 ; 75 
 6439 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 21 ; vborisevich1 ; 76 
 6440 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 23 ; Wjnfplx ; 101 
 6441 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 25 ; Barin13 ; 104 
 6442 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 24 ; Wjnfplx ; 107 
 6443 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, 2020 год ;  ;  ;  ;  ; 28 ; Атлантик ; 207 
 6444 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, 2020 год ;  ;  ;  ;  ; 25 ; Александр-78 ; 201 
 6445 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, 2020 год ;  ;  ;  ;  ; 33 ; Barin13 ; 204 
 6446 ; Каталог-справочник "Бумажные деньги России". Часть I. Редакция 10, 2014 год ;  ;  ;  ;  ; 37 ; himak ; 322 
 6447 ; Каталог-справочник. Награды Российской Империи. Часть I. Ордена и знаки отличия. Редакция 5 ;  ;  ;  ;  ; 50 ; Barin13 ; 164 
 6448 ; Каталог-справочник. Монеты Украины 1992-2020 годы. Редакция 7, 2020 год ;  ;  ;  ;  ; 32 ; Александр-78 ; 181 
 6449 ; Каталог-справочник. Монеты Киргизии, Таджикистана, Туркменистана и Узбекистана. Редакция 1, 2019 год ;  ;  ;  ;  ; 37 ; gusania ; 157 
 6450 ; Каталог-справочник. Юбилейные и памятные монеты Польши 1995-2016 гг. Редакция 4, 2016 год ;  ;  ;  ;  ; 17 ; allur65 ; 91 
 6451 ; Каталог-справочник. Юбилейные и памятные монеты Казахстана 1995-2013 гг. Редакция 3, 2013 год ;  ;  ;  ;  ; 19 ; Атлантик ; 30 
 6452 ; Каталог-справочник. Монеты Беларуси 1996-2013 гг. Редакция 4, 2013 год ;  ;  ;  ;  ; 4 ; Alexim ; 58 
 6453 ; А. Ильин, И. Толстой. Русские монеты с 1725-1801 гг. Репринтное издание ;  ;  ;  ;  ; 28 ; Barin13 ; 104 
 6454 ; Каталог-справочник "Бумажные деньги России". Часть I. Редакция 8, 2008 год ;  ;  ;  ;  ; 12 ; Barin13 ; 123 
 6455 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2015 годов. Редакция 40 ;  ;  ;  ;  ; 4 ; bobbar ; 11 
 6456 ; Каталог-справочник "Бумажные деньги России". Часть II. 7-я редакция.  2012 год ;  ;  ;  ;  ; 12 ; Barin13 ; 124 
 6457 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2014 годов, 38 редакция ;  ;  ;  ;  ; 4 ; bobbar ; 11 
 6458 ; Клады в вашем доме. Ознакомительное пособие ;  ;  ;  ;  ; 9 ; Markgraf ; 57 
 6459 ; Аукционный каталог Конрос, 35. Петербургские продажи. 16 мая 2009 г ;  ;  ;  ;  ; 35 ; niki ; 556 
 6285 ; Почтовая карточка. Glamour Erotika ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6286 ; Почтовая карточка. Glamour Erotika ;  ;  ;  ;  ; 4 ; krass ; 153 
 6287 ; Почтовая карточка. Glamour Erotika ;  ;  ;  ;  ; 3 ; cr2952 ; 85 
 6288 ; Почтовая карточка. Glamour Erotika ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6289 ; Почтовая карточка. Glamour Erotika ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6290 ; Почтовая карточка. Pin-Ups Vintage ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6291 ; Почтовая карточка. Pin-Ups Vintage ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6292 ; Почтовая карточка. Pin-Ups Vintage ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6293 ; Почтовая карточка. Pin-Ups Vintage ;  ;  ;  ;  ; 2 ; контраст ; 140 
 6294 ; Почтовая карточка. Pin-Ups Vintage ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6295 ; Почтовая карточка. Pin-Ups. Худ. Константин Разумов ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6296 ; Почтовая карточка. Pin-Ups. Худ. Константин Разумов ;  ;  ;  ;  ; 22 ; gandy ; 207 
 6297 ; Почтовая карточка. Pin-Ups. Худ. Константин Разумов ;  ;  ;  ;  ; 10 ; птичка16 ; 149 
 6298 ; Почтовая карточка. Pin-Ups. Худ. Константин Разумов ;  ;  ;  ;  ; 11 ; Бигль ; 152 
 6299 ; Почтовая карточка. Pin-Ups. Худ. Константин Разумов ;  ;  ;  ;  ; 5 ; cr2952 ; 137 
 6300 ; Почтовая карточка. Pin-Ups. Худ. Константин Разумов ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6301 ; Почтовая карточка. Pin-Ups. Худ. Константин Разумов ;  ;  ;  ;  ; 5 ; cr2952 ; 137 
 6302 ; Почтовая карточка. Pin-Ups. Худ. Константин Разумов ;  ;  ;  ;  ; 5 ; cr2952 ; 137 
 6303 ; Почтовая карточка. Pin-Ups. Soviet ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6304 ; Почтовая карточка. Pin-Ups. Soviet ;  ;  ;  ;  ; 8 ; QSL ; 179 
 6305 ; Почтовая карточка. Pin-Ups. Soviet ;  ;  ;  ;  ; 8 ; QSL ; 169 
 6306 ; Почтовая карточка. С.-Петербург ;  ;  ;  ;  ; 32 ; von_Schwarz ; 1241 
 6307 ; Почтовая карточка. Москва (редкие штампы на О.С. "Военная цензура") ;  ;  ;  ;  ; 38 ; flutter ; 716 
 6308 ; Почтовая карточка. Дюльберт ;  ;  ;  ;  ; 9 ; von_Schwarz ; 108 
 6309 ; Почтовая карточка. Железноводск ;  ;  ;  ;  ; 8 ; Рисковый ; 104 
 6310 ; Лот почтовых карточек (2 штуки) ;  ;  ;  ;  ; 5 ; спарта ; 94 
 6311 ; Лот почтовых карточек (2 штуки) ;  ;  ;  ;  ; 25 ; Serjd ; 250 
 6312 ; Почтовая карточка ;  ;  ;  ;  ; 29 ; nikolas13 ; 247 
 6313 ; Почтовая карточка ;  ;  ;  ;  ; 23 ; Рисковый ; 55 
 6314 ; Почтовая карточка. В пользу Общины Св. Евгении ;  ;  ;  ;  ; 17 ; Рисковый ; 105 
 6315 ; Почтовая карточка. В пользу Общины Св. Евгении ;  ;  ;  ;  ; 9 ; Рисковый ; 105 
 6316 ; Почтовая карточка. В пользу Общины Св. Евгении ;  ;  ;  ;  ; 9 ; Рисковый ; 105 
 6317 ; Почтовая карточка ;  ;  ;  ;  ; 7 ; Рисковый ; 75 
 6318 ; Почтовая карточка ;  ;  ;  ;  ; 7 ; Рисковый ; 79 
 6319 ; Почтовая карточка ;  ;  ;  ;  ; 7 ; Рисковый ; 75 
 6320 ; Почтовая карточка. Осенний ветер ;  ;  ;  ;  ; 7 ; Рисковый ; 79 
 6321 ; Почтовая карточка. Изд. Комания Зингер ;  ;  ;  ;  ; 21 ; Рисковый ; 105 
 6322 ; Почтовая карточка. Киев ;  ;  ;  ;  ; 26 ; кравчий ; 175 
 6323 ; Почтовая карточка ;  ;  ;  ;  ; 9 ; спарта ; 100 
 6324 ; Почтовая карточка ;  ;  ;  ;  ; 3 ; спарта ; 40 
 6325 ; Лот почтовых карточек до 1917 года (4 штуки) ;  ;  ;  ;  ; 3 ; Meshok ; 92 
 6401 ; Работа Татьяны Викторовой. О любви. 2020 ;  ;  ;  ;  ; 27 ; Alexim ; 306 
 6402 ; Работа Татьяны Викторовой. Свобода. 2018 ;  ;  ;  ;  ; 33 ; wwi.i ; 781 
 6403 ; Картина. Неизвестный художник. Кийский собор на острове Кий. СССР, 1970 ;  ;  ;  ;  ; 51 ; 12345lal ; 525 
 6404 ; Авторскиий принт Марии Мишкарёвой. Букет ;  ;  ;  ;  ; 21 ; 12345lal ; 567 
 6405 ; Капсулы для монет – 14 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343988 ;  ;  ;  ;  ; 14 ; az717 ; 161 
 6406 ; Капсулы для монет – 15 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343988 ;  ;  ;  ;  ; 7 ; Анатолий57 ; 202 
 6407 ; Капсулы для монет – 16 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343993 ;  ;  ;  ;  ; 39 ; angel0830 ; 201 
 6408 ; Капсулы для монет – 17 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343988 ;  ;  ;  ;  ; 7 ; Анатолий57 ; 202 
 6409 ; Капсулы для монет – 18 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343995 ;  ;  ;  ;  ; 20 ; az717 ; 161 
 6235 ; Почтовая карточка. Москва ;  ;  ;  ;  ; 14 ; 111111 ; 368 
 6236 ; Почтовая карточка. Москва ;  ;  ;  ;  ; 36 ; 111111 ; 368 
 6237 ; Почтовая карточка. Казань ;  ;  ;  ;  ; 22 ; barsa15 ; 235 
 6238 ; Почтовая карточка. Ялта ;  ;  ;  ;  ; 41 ; russland ; 225 
 6239 ; Почтовая карточка. Серпухов ;  ;  ;  ;  ; 30 ; flutter ; 408 
 6240 ; Почтовая карточка. Караван на Волге ;  ;  ;  ;  ; 56 ; ZIMOGOR ; 657 
 6241 ; Почтовая карточка. В окрестностях Петровской слободы в москве ;  ;  ;  ;  ; 19 ; barsa15 ; 139 
 6242 ; Почтовая карточка. Казань ;  ;  ;  ;  ; 46 ; doc2 ; 444 
 6243 ; Почтовая карточка. Смоленск ;  ;  ;  ;  ; 57 ; Гений ; 352 
 6244 ; Почтовая карточка. Окрестности Ростова - Великого ;  ;  ;  ;  ; 32 ; barsa15 ; 215 
 6245 ; Почтовая карточка. Белгород ;  ;  ;  ;  ; 23 ; кравчий ; 456 
 6246 ; Почтовая карточка. Казань ;  ;  ;  ;  ; 17 ; flutter ; 365 
 6247 ; Почтовая карточка. Торжок ;  ;  ;  ;  ; 36 ; oliver ; 818 
 6248 ; Почтовая карточка. Москва ;  ;  ;  ;  ; 31 ; flutter ; 685 
 6249 ; Почтовая карточка. Владимир ;  ;  ;  ;  ; 39 ; oliver ; 306 
