 6613 ; Ложка чайная, серебро. Финляндия. ;  ;  ; Ag813 ;  ; 20 ; Csenotaf ; 906 
 6641 ; Машинка для стрижки волос Solar. Solingen. Германия ;  ;  ; Б/м ;  ; 65 ; Alexim ; 698 
 6642 ; Набор из 2-ух автомобилей почтовой службы Германии. 1/87. Brekina: VW-Limousine (1964г) и Magirus- Deutz Sirius Paketkraftwagen (1963г). Отсутствует Mercedes-Benz L319. Коробка ; 1980-е гг ;  ;  ;  ; 32 ; Grey883 ; 398 
 6643 ; Модель. AMG Mercedes 190E "DTM-JUNIOR-TEAM" 1994г.1/87.  Herpa. Германия. Бокс (повреждено основание) ; 1990-е гг ;  ;  ;  ; 9 ; seimens ; 408 
 6644 ; Елена Молоховецъ. Подарокъ молодымъ хозяйкамъ. I и II часть. С-Петербург. 1907 год. ;  ;  ;  ;  ; 15 ; Лесникк ; 4187 
 6645 ; Разрешение на постройку и план дома. 1914 год. С-Пб, 3-я Рождественская ул. ;  ;  ;  ;  ; 72 ; D-503 ; 2176 
 6646 ; Лот из 4 журналов. "Всемирный юмор" N51 от 1911 года, Солнце России: Военный выпуск N5, Август 1912, Март 1916. ;  ;  ;  ;  ; 20 ; torus72 ; 340 
 6647 ; Журнал "Юная Россия". Годовая подборка за 1886 год. 1 марта 1886 - 10 декабря 1886 года ;  ;  ;  ;  ; 17 ; santas512 ; 625 
 6648 ; Искусство и природа. Виктор Шербюлье. С-Пб. 1984 ;  ;  ;  ;  ; 25 ; Dimius ; 714 
 6649 ; Происхождение животного мира. Д-р Вильгельм Гааке. С-Пб. 1900 ;  ;  ;  ;  ; 49 ; alapabula ; 2040 
 6650 ; Простанный Христианский Катихизис. Москва. 1909 год ;  ;  ;  ;  ; 21 ; vorgarik ; 619 
 6651 ; Энциклопедический словарь Гранат. Том 30. М.: Изд. "Братья А. и И. Гранат и К", 1915. — 479 c.: ил ;  ;  ;  ;  ; 22 ; maks1986 ; 340 
 6652 ; Энциклопедический словарь Гранат. Том 37. М.: Рус. библиогр. ин-т Гранат, [1917]. — 326 c.: ил ;  ;  ;  ;  ; 11 ; oleghh7 ; 306 
 6653 ; Энциклопедический словарь Гранат. Том 38. М.: Рус. библиогр. ин-т Гранат, 1917. — 342 c.: ил ;  ;  ;  ;  ; 7 ; oleghh7 ; 333 
 6654 ; Энциклопедический словарь Гранат. Том 41: Ч. IV.  М.: Рус. библиогр. ин-т Гранат, 1926. — 414 c.: ил ;  ;  ;  ;  ; 9 ; oleghh7 ; 306 
 6655 ; Энциклопедический словарь Гранат. Том 41: Ч. V.  М.: Рус. библиогр. ин-т Гранат, 1926. — 346 c.: ил ;  ;  ;  ;  ; 9 ; oleghh7 ; 306 
 6656 ; Энциклопедический словарь Гранат. Том 42.  М.: Рус. библиогр. ин-т Гранат, [1917]. — 400 c.: ил ;  ;  ;  ;  ; 9 ; oleghh7 ; 306 
 6657 ; Энциклопедический словарь Гранат. Том 47. М.: Рус. библиогр. ин-т Гранат, 1925. — 422 c.: ил ;  ;  ;  ;  ; 9 ; doc2 ; 340 
 6658 ; Книга о вкусной и здоровой пище. Москва. 1954 год. ;  ;  ;  ;  ; 27 ; МАХАЙРА ; 2316 
 6448 ; Каталог-справочник. Награды Российской Империи. Часть I. Ордена и знаки отличия. Редакция 5 ;  ;  ;  ;  ; 9 ; sheriff 0 ; 123 
 6449 ; Каталог-справочник. Монеты Украины 1992-2020 годы. Редакция 7, 2020 год ;  ;  ;  ;  ; 7 ; barbos ; 102 
 6450 ; Каталог-справочник. Монеты Молдовы и Приднестровья. Редакция 1, 2019 год ;  ;  ;  ;  ; 34 ; barbos ; 119 
 6451 ; Каталог-справочник. Юбилейные и памятные монеты Польши 1995-2016 гг. Редакция 4, 2016 год ;  ;  ;  ;  ; 36 ; gbp ; 63 
 6452 ; М. Васильевский. 12 таблиц русских монет с древнейших времен до наших дней. Руководство для начинающих собирателей. Репринтное издание ;  ;  ;  ;  ; 5 ; vborisevich1 ; 46 
 6453 ; Клады в вашем доме. Ознакомительное пособие ;  ;  ;  ;  ; 18 ; Dmitriy-23 ; 24 
 6454 ; Монеты Беларуси 1996-2006. Редакция 1, 2007 г ;  ;  ;  ;  ; 3 ; bobbar ; 10 
 6455 ; Каталог-справочник "Бумажные деньги России". Часть II. 7-я редакция.  2012 год ;  ;  ;  ;  ; 25 ; Wireless oyster ; 124 
 6456 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2014 годов, 38 редакция ;  ;  ;  ;  ; 5 ; bobbar ; 18 
 6457 ; Аукционный каталог Конрос, 37. Петербургские продажи. 15 мая 2010 г ;  ;  ;  ;  ; 56 ; Zakhapisty ; 435 
 6458 ; Календарь филателиста. Издательство "Связь" 1978 ;  ;  ;  ;  ; 1 ; Qersej ; 2 
 6459 ; М.М. Глейзер. Нумизматы Санкт-Петербурга - Петрограда - Ленинграда - Санкт-Петербурга. Публикации XX-XXI веков. С подписью автора. Реноме. Санкт-Петербург. 2020 ;  ;  ;  ;  ; 73 ; tomchik ; 297 
 6460 ; Сборник. Советский коллекционер 11. Издательство "Связь" 1974 ;  ;  ;  ; Бывший в употреблении ; 17 ; Markgraf ; 41 
 6461 ; А.И. Юхт. Русские деньги от Петра Великого до Александра I. Москва. "Финансы и статистика" 1994 ;  ;  ;  ;  ; 18 ; vit2503 ; 408 
 6462 ; Фалеристика всесоюзного студенческого отряда. Санкт-Петербург Издательство "Александр ПРИНТ" 2009 ;  ;  ;  ;  ; 15 ; lesnik1 ; 326 
 6463 ; Аукционный каталог BALDWINS. № 96 24 сентября 2015г ;  ;  ;  ;  ; 20 ; Affliction ; 142 
 6464 ; Аукционный каталог  HESSDIVO №329 17 ноября 2015г ;  ;  ;  ;  ; 24 ; Affliction ; 261 
 6465 ; Копейка рубль бережёт. Русский музей. В упаковке ;  ;  ;  ;  ; 116 ; kbk ; 1383 
 6466 ; Каталог частной коллекции. Античные монеты и артефакты. Санкт-Петербург ; 2019 ;  ;  ;  ; 45 ; Dimius ; 283 
 6467 ; Х. Фенглер, Г. Гироу, В. Унгер. Словарь нумизмата. Москва "Радио и связь" 1982 ;  ;  ;  ;  ; 26 ; vit2503 ; 291 
 6468 ; Г.А. Федоров-Давыдов. Монеты Московской Руси. "Археология и этнография" Издательство Московского университета. 1981 ;  ;  ;  ;  ; 26 ; vlad77 ; 183 
 6469 ; В.А. Алексеев. Говорят марки. Харьков 1961г. ;  ;  ;  ;  ; 3 ; cr5400 ; 45 
 6470 ; А.А. Жуков, В.П. Малышев. Энциклопедия денежные эмиссии Закавказья Грузия, Азербайджан, Армения 1917-1927гг. Санкт-Петербург 2008г ;  ;  ;  ;  ; 66 ; torus72 ; 1092 
 6471 ; Г.М. Северин. Золотые и платиновые монеты  Российской Империи 1701-1911гг. ;  ;  ;  ;  ; 51 ; Аргонавт ; 895 
 6472 ; Лот из 2-х каталогов почтовых марок СССР 1918-1980. Том 1 и 2. Москва 1983,1984гг ;  ;  ;  ;  ; 23 ; oscar_gold ; 447 
 6473 ; Г.М. Северин. Серебряные монеты Российской Империи 1682-1801гг. Книга I. ;  ;  ;  ;  ; 75 ; Аргонавт ; 601 
 6474 ; Сообщения Государственного Эрмитажа LXVI. Санкт-Петербург 2008г ;  ;  ;  ;  ; 172 ; Aurum ; 918 
 6475 ; Журнал. Антик. Инфо №28 ;  ;  ;  ;  ; 38 ; electra ; 206 
 6476 ; Г. Елизаветин. Денги. Москва 1963г. ;  ;  ;  ;  ; 47 ; oliver ; 751 
 6477 ; Пухов Е.В. Монета "Ефимок с признаком" ;  ;  ;  ;  ; 5 ; Ferpmnsg ; 169 
 6478 ; Пухов Е.В. Монета "Ефимок с признаком" ;  ;  ;  ;  ; 2 ; Ferpmnsg ; 171 
 6479 ; Оптовый лот, 20 книг. Каталог-справочник. Монеты РСФСР, СССР и России 1921-2014 годов, 38 редакция ;  ;  ;  ;  ; 11 ; оптовичок ; 38 
 6480 ; Оптовый лот. 20 книг. Каталог-справочник. Монеты РСФСР, СССР и России 1921-2021 годов. Редакция 49, 2020 год ;  ;  ;  ;  ; 43 ; Кирилл Валентинович ; 2500 
 6481 ; Оптовый лот, 10 книг.  Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 29 ; всемоё ; 754 
 6482 ; Оптовый лот. 7 книг (коробка).  В.Е. Семенов. Монетный передел 1700-1917 гг ;  ;  ;  ;  ; 11 ; торгаш ; 974 
 6483 ; Оптовый лот, 20 книг (коробка). Монетное дело Российской империи. В. Е. Семенов ;  ;  ;  ;  ; 37 ; всемоё ; 2267 
 6484 ; Оптовый лот, 4 книги. БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 37 ; всемоё ; 3053 
 6485 ; Оптовый лот, 8 книг (2 коробки). БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 25 ; оптовичок ; 4718 
 6601 ; Автограф Никулина Ю.В и Миронова А.А на открытке-фотокарточке в рамке. Заключение №ДР 37/10/2020 ПИ, Санкт-Петербургского института независимой экспертизы и оценки. ;  ;  ;  ;  ; 48 ; sax ; 23765 
 6602 ; Графин серебро. ;  ;  ; Ag875 ;  ; 57 ; domenica ; 18000 
 6603 ; Половник серебро 84, А.Н ;  ;  ; Ag84 ;  ; 80 ; Кристобаль Хунта ; 20400 
 6604 ; Слитoк серебро Сбербанк №10938 в оригинальном футляре. ;  ;  ; Ag999 ;  ; 26 ; киуру ; 7289 
 6605 ; Две рюмки серебро. ;  ;  ; Ag875 ;  ; 51 ; 2422862 ; 6200 
 6606 ; Набор чайных ложек 6шт, серебро, в оригинальном футляре. Финляндия ;  ;  ; Ag813 ;  ; 47 ; KaTer ; 3863 
 6607 ; Ложка чайная, витая, серебро 84, АЯ. ;  ;  ; Ag84 ;  ; 49 ; Кристобаль Хунта ; 1665 
 6608 ; Ложка чайная, серебро 84, ПИ. ;  ;  ; Ag84 ;  ; 50 ; Кристобаль Хунта ; 1719 
 6609 ; Ложка чайная, витая, серебро. ;  ;  ; Ag875 ;  ; 27 ; salim ; 917 
 6610 ; Ложка чайная витая, серебро 84, Н.К1887. ;  ;  ; Ag84 ;  ; 44 ; lora ; 2198 
 6611 ; Ложка-совочек для сахара, серебро ;  ;  ; Ag875 ;  ; 30 ; lora ; 1557 
 6612 ; Ложка чайная, серебро. ;  ;  ; Ag875 ;  ; 39 ; Бигль ; 1358 
 6331 ; Почтовая карточка. Г. Кондратенко ;  ;  ;  ;  ; 11 ; Сармат80 ; 108 
 6332 ; Почтовая карточка ;  ;  ;  ;  ; 11 ; ialaiola ; 12 
 6333 ; Почтовая карточка. Подснежники ;  ;  ;  ;  ; 1 ; Gagarin ; 2 
 6401 ; Работа Татьяны Викторовой. Лето в деревне. 2019 ;  ;  ;  ;  ; 15 ; jennso ; 714 
 6402 ; Работа Татьяны Викторовой. Понедельник. 2019 ;  ;  ;  ;  ; 63 ; Alexim ; 507 
 6403 ; Картина. Неизвестный художник. Пейзаж. 1970-е годы ;  ;  ;  ;  ; 19 ; кравчий ; 612 
 6404 ; Картина. Неизвестный художник. Пейзаж с парусником. Конец XIX века ;  ;  ;  ;  ; 54 ; Serjd ; 8900 
 6405 ; Авторский принт Марии Мишкарёвой. Лавандовый мед ;  ;  ;  ;  ; 11 ; Rjym gtlfkmysq ; 313 
 6406 ; Капсулы для монет – 14 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343988 ;  ;  ;  ;  ; 34 ; никсер ; 202 
 6407 ; Капсулы для монет – 15 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343988 ;  ;  ;  ;  ; 33 ; az717 ; 110 
 6408 ; Капсулы для монет – 16 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343993 ;  ;  ;  ;  ; 13 ; az717 ; 104 
 6409 ; Капсулы для монет – 17 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343988 ;  ;  ;  ;  ; 23 ; az717 ; 110 
 6410 ; Капсулы для монет – 18 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343995 ;  ;  ;  ;  ; 19 ; никсер ; 202 
 6411 ; Капсулы для монет – 19 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343996 ;  ;  ;  ;  ; 14 ; никсер ; 201 
 6412 ; Капсулы для монет – 24 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344001 ;  ;  ;  ;  ; 17 ; никсер ; 200 
 6413 ; Капсулы для монет – 29 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344006 ;  ;  ;  ;  ; 15 ; никсер ; 201 
 6414 ; Капсулы для монет – 30 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344007 ;  ;  ;  ;  ; 16 ; никсер ; 202 
 6415 ; "Капсулы для монет – 34 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344011 " ;  ;  ;  ;  ; 29 ; Andrlex71 ; 204 
 6416 ; Капсулы для монет – 36 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #334013 ;  ;  ;  ;  ; 15 ; никсер ; 201 
 6417 ; Капсулы для монет – 38 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343988 ;  ;  ;  ;  ; 23 ; никсер ; 206 
 6418 ; Капсулы для монет – 39 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344016 ;  ;  ;  ;  ; 11 ; никсер ; 278 
 6419 ; Капсулы для монет – 40 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344017 ;  ;  ;  ;  ; 21 ; никсер ; 252 
 6420 ; Капсулы для монет – 41 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344018 ;  ;  ;  ;  ; 44 ; никсер ; 212 
 6421 ; Капсулы Quadrum для монет – 25 мм, упаковка 10 шт. Leuchtturm, #331951 ;  ;  ;  ;  ; 9 ; никсер ; 204 
 6422 ; Капсулы QUADRUM 30 для монет – 30 мм, упаковка 10 шт. Leuchtturm, #330443 ;  ;  ;  ;  ; 23 ; никсер ; 306 
 6423 ; Капсулы Quadrum 32 для монет – 32 мм, упаковка 10 шт. Leuchtturm, #312172 ;  ;  ;  ;  ; 21 ; Один54 ; 310 
 6424 ; Капсулы Quadrum 32 для монет – 32 мм, упаковка 10 шт. Leuchtturm, #312172 ;  ;  ;  ;  ; 46 ; никсер ; 306 
 6425 ; Капсулы QUADRUM 36 для монет – 36 мм, упаковка 10 шт. Leuchtturm, #309045 ;  ;  ;  ;  ; 54 ; 1879 ; 315 
 6426 ; Листы GRANDE SH312 на 1 банкноту. Упаковка (5 шт.). Leuchtturm, #358072 ;  ;  ;  ;  ; 39 ; Happy Lady ; 416 
 6427 ; Листы GRANDE SH312 на 2 банкноты. Упаковка (5 шт.). Leuchtturm, #358073 ;  ;  ;  ;  ; 45 ; Happy Lady ; 416 
 6428 ; Листы GRANDE SH312 на 3 банкноты. Упаковка (5 шт.). Leuchtturm, #358074 ;  ;  ;  ;  ; 26 ; Dimitr1 ; 340 
 6429 ; Листы GRANDE SH312 на 4 ячейки. Упаковка (5 шт.). Leuchtturm, #358076 ;  ;  ;  ;  ; 20 ; Dimitr1 ; 370 
 6430 ; Листы GRANDE SH312 на 4 банкноты. Упаковка (5 шт.). Leuchtturm, #358075 ;  ;  ;  ;  ; 12 ; Dimitr1 ; 340 
 6431 ; Листы GRANDE SH312 на 9 ячеек. Упаковка (5 шт.). Leuchtturm, #358077 ;  ;  ;  ;  ; 23 ; Dimitr1 ; 317 
 6432 ; Разделитель картонный в альбом "Numis". Упаковка (20 шт.) Производство "Lindner" ;  ;  ;  ;  ; 22 ; vtf ; 227 
 6433 ; БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 33 ; Slava O ; 1120 
 6434 ; Монетный передел 1700-1917 гг. В. Е. Семенов ;  ;  ;  ;  ; 32 ; slemnum ; 247 
 6435 ; Куда уходят деньги? В. Е. Семенов ;  ;  ;  ;  ; 20 ; VITAL!!! ; 85 
 6436 ; Подделки российских монет. В. Е. Семенов ;  ;  ;  ;  ; 16 ; georgpokr ; 395 
 6437 ; Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 7 ; oleg632112 ; 240 
 6438 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 31 ; slemnum ; 133 
 6439 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 5 ; vladpsy ; 150 
 6440 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 30 ; barc1010 ; 193 
 6441 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 7 ; georgpokr ; 108 
 6442 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 12 ; slemnum ; 107 
 6443 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 14 ; Slava O ; 108 
 6444 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, 2020 год ;  ;  ;  ;  ; 21 ; круча ; 327 
 6445 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, 2020 год ;  ;  ;  ;  ; 23 ; Alexim ; 231 
 6446 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, 2020 год ;  ;  ;  ;  ; 20 ; slemnum ; 215 
 6447 ; Каталог-справочник "Бумажные деньги России". Часть I. Редакция 10, 2014 год ;  ;  ;  ;  ; 20 ; vladpsy ; 185 
 6281 ; Фотография. ( лот 3шт.) ;  ;  ;  ;  ; 10 ; Рисковый ; 204 
 6282 ; Фотография. ( 4шт.) ;  ;  ;  ;  ; 3 ; Gagarin ; 22 
 6283 ; Почтовая карточка. Харьков ;  ;  ;  ;  ; 11 ; кравчий ; 108 
 6284 ; Почтовая карточка. Смоленск ;  ;  ;  ;  ; 42 ; flutter ; 515 
 6285 ; Почтовая карточка. Открытое письмо ;  ;  ;  ;  ; 41 ; doc2 ; 308 
 6286 ; Почтовая карточка. Замок  Шантильи ;  ;  ;  ;  ; 5 ; von_Schwarz ; 40 
 6287 ; Почтовая карточка. Москва ;  ;  ;  ;  ; 9 ; Святогор ; 45 
 6288 ; Почтовая карточка. Павловск ;  ;  ;  ;  ; 1 ; Рисковый ; 2 
 6289 ; Почтовая карточка. С.- Петербург ;  ;  ;  ;  ; 35 ; Valera72 ; 227 
 6290 ; Почтовая карточка. Петроград ;  ;  ;  ;  ; 11 ; nikkk1 ; 108 
 6291 ; Почтовая карточка. С.- Петербург ;  ;  ;  ;  ; 22 ; nikkk1 ; 286 
 6292 ; Почтовая карточка. ;  ;  ;  ;  ; 13 ; igaist ; 129 
 6293 ; Почтовая карточка. Сиверская ;  ;  ;  ;  ; 13 ; flutter ; 193 
 6294 ; Почтовая карточка. Открытое письмо ;  ;  ;  ;  ; 13 ; nikolas13 ; 199 
 6295 ; Почтовая карточка. Русские типы ;  ;  ;  ;  ; 17 ; nikolas13 ; 236 
 6296 ; Почтовая карточка. С. - Петербург ;  ;  ;  ;  ; 20 ; torus72 ; 227 
 6297 ; Почтовая карточка. Ораниенбаум ;  ;  ;  ;  ; 8 ; Valera72 ; 40 
 6298 ; Почтовая карточка. У водоема ;  ;  ;  ;  ; 5 ; кравчий ; 81 
 6299 ; Почтовая карточка. Чичиков у Ноздрева ;  ;  ;  ;  ; 8 ; Рисковый ; 81 
 6300 ; Почтовая карточка ;  ;  ;  ;  ; 7 ; megan ; 13 
 6301 ; Почтовая карточка ;  ;  ;  ;  ; 8 ; yuri.gruzdev ; 108 
 6302 ; Почтовая карточка ;  ;  ;  ;  ; 18 ; gelo ; 208 
 6303 ; Почтовая карточка ;  ;  ;  ;  ; 16 ; gelo ; 212 
 6304 ; Почтовая карточка. Павловск ;  ;  ;  ;  ; 20 ; yuri.gruzdev ; 87 
 6305 ; Почтовая карточка. Сибирь ;  ;  ;  ;  ; 13 ; yuri.gruzdev ; 179 
 6306 ; Почтовая карточка. Ленинград ;  ;  ;  ;  ; 7 ; flutter ; 79 
 6307 ; Почтовая карточка ;  ;  ;  ;  ; 5 ; einmahl ; 12 
 6308 ; Почтовая карточка ;  ;  ;  ;  ; 3 ; Gagarin ; 9 
 6309 ; Почтовая карточка ;  ;  ;  ;  ; 1 ; Gagarin ; 2 
 6310 ; Почтовая карточка. Ленинград ;  ;  ;  ;  ; 38 ; flutter ; 698 
 6311 ; Почтовая карточка. С.- Петербург ;  ;  ;  ;  ; 23 ; Valera72 ; 133 
 6312 ; Почтовая карточка ;  ;  ;  ;  ; 6 ; Рисковый ; 40 
 6313 ; Почтовая карточка. Урал ;  ;  ;  ;  ; 5 ; птичка16 ; 40 
 6314 ; Почтовая карточка. ;  ;  ;  ;  ; 9 ; coba ; 57 
 6315 ; Почтовая карточка. Нарва ;  ;  ;  ;  ; 34 ; torus72 ; 352 
 6316 ; Почтовая карточка. Урал ;  ;  ;  ;  ; 7 ; птичка16 ; 79 
 6317 ; Почтовая карточка. Урал ;  ;  ;  ;  ; 9 ; птичка16 ; 324 
 6318 ; Почтовая карточка. Псков ;  ;  ;  ;  ; 11 ; Гений ; 105 
 6319 ; Почтовая карточка. Княжнин Я. Б. ;  ;  ;  ;  ; 3 ; Markgraf ; 12 
 6320 ; Почтовая карточка. ;  ;  ;  ;  ; 1 ; птичка16 ; 2 
 6321 ; Почтовая карточка. ;  ;  ;  ;  ; 69 ; antiquar ; 239 
 6322 ; Почтовая карточка. Солдат ;  ;  ;  ;  ; 5 ; antiquar ; 71 
 6323 ; Почтовая карточка. ;  ;  ;  ;  ; 8 ; antiquar ; 28 
 6324 ; Почтовая карточка ;  ;  ;  ;  ; 7 ; barc1010 ; 57 
 6325 ; Почтовая карточка. Открытое письмо ;  ;  ;  ;  ; 3 ; Рисковый ; 10 
 6326 ; Почтовая карточка ;  ;  ;  ;  ; 19 ; птичка16 ; 20 
 6327 ; Почтовая карточка. Мост ;  ;  ;  ;  ; 7 ; gelo ; 24 
 6328 ; Почтовая карточка. Колядки ;  ;  ;  ;  ; 5 ; nikolas13 ; 46 
 6329 ; Почтовая карточка. ;  ;  ;  ;  ; 9 ; Markgraf ; 28 
 6330 ; Почтовая карточка. Великий  Сибирский Путь ;  ;  ;  ;  ; 11 ; Хаа ; 108 
 6231 ; Почтовая карточка. Мерлин Монро ;  ;  ;  ;  ; 17 ; aa_ras ; 316 
 6232 ; Почтовая карточка. Маргарет Нолан ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6233 ; Почтовая карточка. Glamour Erotica ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6234 ; Почтовая карточка. Маргарет Нолан ;  ;  ;  ;  ; 3 ; птичка16 ; 140 
 6235 ; Почтовая карточка. Glamour Erotica ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6236 ; Почтовая карточка. Мерлин Монро ;  ;  ;  ;  ; 7 ; aa_ras ; 311 
 6237 ; Почтовая карточка. Glamour Erotica ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6238 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 4 ; 220W ; 140 
 6239 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 4 ; птичка16 ; 140 
 6240 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 2 ; Бигль ; 140 
 6241 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 5 ; 220W ; 143 
 6242 ; Почтовая карточка. Анджелина Джоли ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6243 ; Почтовая карточка. Анджелина Джоли ;  ;  ;  ;  ; 3 ; cr2952 ; 4 
 6244 ; Почтовая карточка. Анджелина Джоли ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6245 ; Почтовая карточка. Коронация ;  ;  ;  ;  ; 7 ; cr2952 ; 137 
 6246 ; Почтовая карточка. Коронация ;  ;  ;  ;  ; 5 ; cr2952 ; 137 
 6247 ; Почтовая карточка. Коронация ;  ;  ;  ;  ; 8 ; Святогор ; 140 
 6248 ; Почтовая карточка. Коронация ;  ;  ;  ;  ; 8 ; Святогор ; 140 
 6249 ; Почтовая карточка. Pun-Ups Vintage ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
