 4804 ; Бона иностранная. Сербская Краина ; 1993 ;  ;  ;  ; 63 ; liderssen ; 206 
 4831 ; Лот иностранных бон. 3 шт ;  ;  ;  ;  ; 10 ; -IROKEZ- ; 59 
 4832 ; Лот иностранных бон. Беларусь, Украина. 5 шт ; 1991, 1992 ;  ;  ;  ; 88 ; asus ; 128 
 4833 ; Лот иностранных бон. Болгария. 2 шт ; 1951 ;  ;  ;  ; 10 ; yuri.gruzdev ; 210 
 4834 ; Бона иностранная. Болгария ; 1951 ;  ;  ;  ; 21 ; yuri.gruzdev ; 210 
 4835 ; Бона иностранная. Болгария ; 1951 ;  ;  ;  ; 13 ; yuri.gruzdev ; 214 
 4836 ; Бона иностранная. Болгария ; 1951 ;  ;  ;  ; 13 ; yuri.gruzdev ; 214 
 4837 ; Бона иностранная. Болгария ; 1951 ;  ;  ;  ; 61 ; yuri.gruzdev ; 209 
 4838 ; Бона иностранная. Болгария ; 1951 ;  ;  ;  ; 39 ; yuri.gruzdev ; 302 
 4839 ; Лот иностранных бон. Германия. Нотгельд. 4 шт ;  ;  ;  ;  ; 9 ; DATR ; 104 
 4840 ; Лот иностранных бон. Германия. Нотгельд. 4 шт ;  ;  ;  ;  ; 16 ; DATR ; 105 
 4532 ; Бона иностранная ;  ;  ;  ;  ; 30 ; kent01 ; 37 
 4533 ; Бона иностранная ;  ;  ;  ;  ; 23 ; ек ; 42 
 4534 ; Бона иностранная ;  ;  ;  ;  ; 5 ; ек ; 24 
 4535 ; Бона иностранная ;  ;  ;  ;  ; 13 ; asus ; 101 
 4536 ; Бона иностранная ;  ;  ;  ;  ; 18 ; asus ; 135 
 4537 ; Бона иностранная ;  ;  ;  ;  ; 8 ; kent01 ; 35 
 4538 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Опятор ; 30 
 4539 ; Бона иностранная ;  ;  ;  ;  ; 12 ; ekzamen ; 30 
 4540 ; Бона иностранная ;  ;  ;  ;  ; 30 ; kent01 ; 43 
 4541 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Стрепет ; 47 
 4542 ; Бона иностранная ;  ;  ;  ;  ; 23 ; RusScat ; 90 
 4543 ; Бона иностранная ;  ;  ;  ;  ; 19 ; asus ; 61 
 4544 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ъхз ; 30 
 4545 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Опятор ; 30 
 4546 ; Бона иностранная ;  ;  ;  ;  ; 35 ; asus ; 71 
 4547 ; Бона иностранная ;  ;  ;  ;  ; 8 ; smel ; 31 
 4548 ; Бона иностранная ;  ;  ;  ;  ; 11 ; asus ; 101 
 4549 ; Бона иностранная ;  ;  ;  ;  ; 29 ; ekzamen ; 30 
 4550 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ъхз ; 30 
 4551 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Стрепет ; 46 
 4552 ; Бона иностранная ;  ;  ;  ;  ; 29 ; asus ; 90 
 4553 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Sky2 ; 35 
 4554 ; Бона иностранная ;  ;  ;  ;  ; 36 ; Стрепет ; 114 
 4555 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Sky2 ; 41 
 4556 ; Бона иностранная ;  ;  ;  ;  ; 49 ; max2008 ; 211 
 4557 ; Бона иностранная ;  ;  ;  ;  ; 8 ; alexpakh ; 36 
 4558 ; Бона иностранная ;  ;  ;  ;  ; 20 ; ъхз ; 55 
 4559 ; Бона иностранная ;  ;  ;  ;  ; 5 ; alexpakh ; 35 
 4560 ; Бона иностранная ;  ;  ;  ;  ; 33 ; tss ; 50 
 4561 ; Бона иностранная ;  ;  ;  ;  ; 29 ; kent01 ; 62 
 4562 ; Бона иностранная ;  ;  ;  ;  ; 71 ; kent01 ; 386 
 4563 ; Бона иностранная ;  ;  ;  ;  ; 81 ; asus ; 262 
 4564 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Oleg2000 ; 30 
 4565 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Sky2 ; 36 
 4566 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Sky2 ; 41 
 4567 ; Бона иностранная ;  ;  ;  ;  ; 18 ; vladimir-sirke ; 69 
 4568 ; Бона иностранная ;  ;  ;  ;  ; 22 ; kent01 ; 41 
 4569 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Опятор ; 46 
 4570 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Rober ; 36 
 4571 ; Бона иностранная ;  ;  ;  ;  ; 14 ; kent01 ; 41 
 4572 ; Бона иностранная ;  ;  ;  ;  ; 28 ; ъхз ; 83 
 4573 ; Бона иностранная ;  ;  ;  ;  ; 45 ; ъхз ; 99 
 4574 ; Бона иностранная ;  ;  ;  ;  ; 41 ; ъхз ; 99 
 4575 ; Бона иностранная ;  ;  ;  ;  ; 21 ; vladimir-sirke ; 81 
 4576 ; Бона иностранная ;  ;  ;  ;  ; 22 ; vladimir-sirke ; 81 
 4577 ; Бона иностранная ;  ;  ;  ;  ; 15 ; vladimir-sirke ; 83 
 4578 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Sky2 ; 41 
 4801 ; Бона иностранная. Югославия ; 1970 ;  ;  ;  ; 103 ; Стрепет ; 204 
 4802 ; Бона иностранная. Югославия ; 1993 ;  ;  ;  ; 69 ; Стрепет ; 194 
 4803 ; Бона иностранная. Югославия ; 1946 ;  ;  ;  ; 65 ; Стрепет ; 213 
 4371 ; 50000 рублей ; 1994 ; банкнота ;  ; AU ; 160 ; Gell13 ; 3060 
 4372 ; Облигация в 187 рублей 50 копеек. Общество Бухарской ж.д ; 1914 ;  ;  ;  ; 34 ; fillin ; 206 
 4373 ; Пять облигаций, каждая в 125 рублей. Общество Владикавказской ж.д ; 1885 ;  ;  ;  ; 28 ; kont ; 308 
 4374 ; Облигация в 187 рублей 50 копеек. Общество Юго-Восточных ж.д. 2 шт. Надрывы ; 1908 ;  ;  ;  ; 29 ; dmitry990 ; 250 
 4375 ; Облигация в 125 рублей. Николаевская ж.д. Надрывы ; 1869 ;  ;  ;  ; 33 ; Кладоискатель ; 206 
 4376 ; Лот облигаций. 2 шт. Надрывы ;  ;  ;  ;  ; 2 ; kehha ; 200 
 4377 ; Облигация в 125 рублей. Николаевская ж.д. Надрывы ; 1869 ;  ;  ;  ; 35 ; viktorB77 ; 200 
 4378 ; Облигация в 125 рублей. Общество Владикавказской ж.д ; 1884 ;  ;  ;  ; 5 ; kehha ; 165 
 4379 ; Акция на 500 франков. Центральное электрическое общество в Москве ; 1899 ;  ;  ;  ; 5 ; kehha ; 153 
 4380 ; Облигация в 500 марок. Курско-харьково-азовской ж.д ; 1889 ;  ;  ;  ; 23 ; kehha ; 295 
 4381 ; Облигация на 1000 марок. Рязанско-уральской ж.д ; 1898 ;  ;  ;  ; 53 ; abrek112 ; 573 
 4382 ; Облигация на 1000 марок. Общество Москвско-киево-воронежской ж.д ; 1910 ;  ;  ;  ; 50 ; kont ; 550 
 4383 ; Облигация на 1000 марок. Общество Владикавказской ж.д ; 1913 ;  ;  ;  ; 47 ; abrek112 ; 567 
 4384 ; Облигация в 125 рублей. Главное общество Российских ж.д ; 1881 ;  ;  ;  ; 50 ; kont ; 793 
 4385 ; Закладной лист на капитал 150 рублей. Государственный дворянский земельный банк ; 1898 ;  ;  ;  ; 19 ; КРАЙ ; 324 
 4386 ; Облигация в 500 франков. Русско-бельгийское металлургическое общество ; 1898 ;  ;  ;  ; 24 ; abrek112 ; 357 
 4387 ; Облигация в 125 рублей. Российский 4% золотой заем ; 1890 ;  ;  ;  ; 31 ; dmitry990 ; 269 
 4388 ; Акция в 187 рублей 50 копеек. Русско-азиатский банк ; 1912 ;  ;  ;  ; 55 ; kont ; 354 
 4389 ; Облигация в 125 рублей. Общество Ивангородо-домбровской ж.д ; 1888 ;  ;  ;  ; 11 ; abrek112 ; 567 
 4501 ; Бона иностранная ;  ;  ;  ;  ; 10 ; 333985 ; 27 
 4502 ; Бона иностранная ;  ;  ;  ;  ; 6 ; raise ; 30 
 4503 ; Бона иностранная ;  ;  ;  ;  ; 6 ; raise ; 30 
 4504 ; Бона иностранная ;  ;  ;  ;  ; 29 ; raise ; 30 
 4505 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 333985 ; 28 
 4506 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 333985 ; 29 
 4507 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 333985 ; 28 
 4508 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 333985 ; 27 
 4509 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 333985 ; 26 
 4510 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 333985 ; 26 
 4511 ; Бона иностранная ;  ;  ;  ;  ; 4 ; raise ; 30 
 4512 ; Бона иностранная ;  ;  ;  ;  ; 4 ; raise ; 30 
 4513 ; Бона иностранная ;  ;  ;  ;  ; 14 ; 333985 ; 24 
 4514 ; Бона иностранная ;  ;  ;  ;  ; 22 ; smel ; 31 
 4515 ; Бона иностранная ;  ;  ;  ;  ; 6 ; ekzamen ; 29 
 4516 ; Бона иностранная ;  ;  ;  ;  ; 35 ; asus ; 81 
 4517 ; Бона иностранная ;  ;  ;  ;  ; 24 ; ек ; 55 
 4518 ; Бона иностранная ;  ;  ;  ;  ; 9 ; asus ; 45 
 4519 ; Бона иностранная ;  ;  ;  ;  ; 7 ; asus ; 45 
 4520 ; Бона иностранная ;  ;  ;  ;  ; 9 ; buba1986 ; 36 
 4521 ; Бона иностранная ;  ;  ;  ;  ; 6 ; buba1986 ; 40 
 4522 ; Бона иностранная ;  ;  ;  ;  ; 12 ; ekzamen ; 31 
 4523 ; Бона иностранная ;  ;  ;  ;  ; 32 ; kent01 ; 41 
 4524 ; Бона иностранная ;  ;  ;  ;  ; 13 ; RusScat ; 32 
 4525 ; Бона иностранная ;  ;  ;  ;  ; 12 ; ekzamen ; 31 
 4526 ; Бона иностранная ;  ;  ;  ;  ; 30 ; kent01 ; 37 
 4527 ; Бона иностранная ;  ;  ;  ;  ; 15 ; ек ; 34 
 4528 ; Бона иностранная ;  ;  ;  ;  ; 5 ; advokatx ; 32 
 4529 ; Бона иностранная ;  ;  ;  ;  ; 13 ; ек ; 32 
 4530 ; Бона иностранная ;  ;  ;  ;  ; 16 ; advokatx ; 78 
 4531 ; Бона иностранная ;  ;  ;  ;  ; 2 ; ек ; 30 
 4321 ; 3 червонца ; 1937 ; Билет ;  ;  ; 83 ; Randi ; 269 
 4322 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 57 ; asus ; 331 
 4323 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 25 ; asus ; 197 
 4324 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 15 ; veron ; 143 
 4325 ; 3 рубля ; 1919 ; Латвия. Разменный знак ;  ;  ; 52 ; ЛАВ-13 ; 227 
 4326 ; 100 рублей ; 1961 ;  ;  ; AU ; 59 ; Randi ; 503 
 4327 ; 50 рублей ; 1961 ; билет ;  ; AU ; 91 ; Randi ; 509 
 4328 ; 100 рублей. 2 шт ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 82 ; geracon2009 ; 365 
 4329 ; Лот 9 шт. 1,3,5,10,25 рублей ;  ;  ;  ;  ; 43 ; ipax ; 382 
 4330 ; 25 рублей. 3 шт ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 26 ; ac ; 432 
 4331 ; 10 рублей. 5 шт ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 24 ; asus ; 312 
 4332 ; 5 рублей. 5 шт ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 28 ; asus ; 322 
 4333 ; 3 рубля. 5 шт ; 1905 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 40 ; Randi ; 389 
 4334 ; 1 рубль. 5 шт ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 32 ; asus ; 305 
 4335 ; Лот 4 шт. 10,25,50,250 рублей ; 1918 ;  ;  ;  ; 28 ; geracon2009 ; 129 
 4336 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 34 ; RusScat ; 98 
 4337 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 12 ; Greenfields ; 72 
 4338 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 47 ; 812 ; 579 
 4339 ; Лот ь3 шт. 25,50,100 рублей ; 1918 ;  ;  ;  ; 47 ; asus ; 266 
 4340 ; 5000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 60 ; 812 ; 805 
 4341 ; 10000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 43 ; asus ; 180 
 4342 ; 250 рублей. 2 шт ; 1917 ; Денежные знаки ;  ;  ; 15 ; geracon2009 ; 129 
 4343 ; Лот 2 шт. 10000 рублей ;  ;  ;  ;  ; 77 ; ЛАВ-13 ; 270 
 4344 ; 500 рублей. 2 шт ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 73 ; fanil ; 165 
 4345 ; 60 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 60 ; svv ; 490 
 4346 ; 10 червонцев ; 1937 ; Билет ;  ;  ; 57 ; Sky2 ; 362 
 4347 ; Лот 3 шт. 1,3,100 рублей ; 1947 ;  ;  ;  ; 43 ; Randi ; 929 
 4348 ; 10 копеек. 3 шт ; 1915 ; Деньги-марки ;  ;  ; 12 ; geracon2009 ; 159 
 4349 ; 100 рублей. 5 шт ; 1961 ;  ;  ;  ; 42 ; Sky2 ; 246 
 4350 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 14 ; ЛАВ-13 ; 226 
 4351 ; 100 рублей ; 1918 ;  ;  ;  ; 89 ; ЛАВ-13 ; 467 
 4352 ; Лот 5 шт. 3,5,50 копеек ;  ;  ;  ;  ; 47 ; ЛАВ-13 ; 324 
 4353 ; Лот 26 шт. 1,3,5,10 рублей ;  ;  ;  ;  ; 34 ; ac ; 554 
 4354 ; 1000 рублей ; 1919 ;  ;  ;  ; 50 ; lesnik1 ; 634 
 4355 ; 10000 рублей ; 1919 ;  ;  ; AU ; 38 ; Инвестор ; 270 
 4356 ; 1000 рублей ; 1919 ;  ;  ;  ; 23 ; asus ; 340 
 4357 ; 25 рублей ; 1918 ;  ;  ; AU ; 35 ; ЛАВ-13 ; 490 
 4358 ; Бона 1 рубль. Екатеринбург ; 1918 ;  ;  ;  ; 34 ; ЛАВ-13 ; 426 
 4359 ; 5000 рублей ; 1921 ; Грузия ;  ;  ; 45 ; ЛАВ-13 ; 316 
 4360 ; Бона 1 рубль. Терской р-ки ; 1918 ;  ;  ;  ; 26 ; Виталий 64 ; 1000 
 4361 ; Бона 5 рублей г.Одесса ; 1917 ;  ;  ;  ; 20 ; asus ; 185 
 4362 ; Бона 50 рублей. Гос. Трест " Арктикуголь" ;  ;  ;  ;  ; 184 ; 417-3 ; 1947 
 4363 ; 10 рублей ; 1918 ; Азербайджан ;  ;  ; 21 ; Sky2 ; 357 
 4364 ; 25 рублей ; 1919 ;  ;  ;  ; 41 ; ЛАВ-13 ; 794 
 4365 ; 3 рубля ; 1919 ; Грузия ;  ;  ; 21 ; vitiaz ; 205 
 4366 ; 50000 рублей ; 1923 ; Закавказье ;  ;  ; 58 ; lesnik1 ; 312 
 4367 ; 50 пенни ; 1919 ; Эстония ;  ;  ; 13 ; -IROKEZ- ; 73 
 4368 ; Чек Волжско-камский коммерческий банк ;  ;  ;  ;  ; 23 ; kont ; 1381 
 4369 ; Лотерейный билет 25 рублей ; 1944 ;  ;  ;  ; 9 ; КРАЙ ; 153 
 4370 ; 50000 рублей ; 1993 ; банкнота ;  ; AU ; 195 ; lexx66 ; 6324 
 4141 ; 10 центов. Русский Китай ;  ;  ;  ;  ; 43 ; прохожий ; 4590 
 4142 ; 5 центов. Русский Китай ; 1923 ;  ;  ;  ; 35 ; сс400 ; 2380 
 4143 ; 5 центов. Русский Китай ; 1921 ;  ;  ;  ; 58 ; сс400 ; 3315 
 4144 ; 20 центов. Русский Китай ;  ;  ;  ;  ; 105 ; прохожий ; 3059 
 4145 ; 10 центов. Русский Китай ; 1923 ;  ;  ;  ; 54 ; сс400 ; 2380 
 4146 ; 10 центов. Русский Китай ; 1921 ;  ;  ;  ; 31 ; сс400 ; 4909 
 4147 ; 10 центов. Русский Китай ;  ;  ;  ;  ; 42 ; сс400 ; 3264 
 4148 ; 20 центов. Русский Китай ; 1921 ;  ;  ;  ; 48 ; сс400 ; 2948 
 4149 ; 1000 рублей. Шелковка ; 1920 ; Хорезмская Республика ;  ;  ; 54 ; liderssen ; 20400 
 4150 ; Войсковая лотерея О. К. В.в пользу станиц пострадавших от большевиков ; 1918 ;  ;  ;  ; 72 ; ъхз ; 5631 
 4151 ; 1000000 рублей ; 1996 ;  ;  ;  ; 9 ; ЛАВ-13 ; 278 
 4152 ; 1000000 рублей ; 1996 ;  ;  ;  ; 44 ; Опятор ; 305 
 4153 ; 1000000 рублей ; 1996 ;  ;  ;  ; 5 ; Филипп Бенг ; 305 
 4154 ; Облигация ; 1882 ;  ;  ;  ; 15 ; dmitry990 ; 257 
 4155 ; Нефтепромышленное и торговое А. О. Акция ; 1913 ;  ;  ;  ; 11 ; abrek112 ; 362 
 4156 ; Облигация Черноморской ж/д ; 1916 ;  ;  ;  ; 5 ; dmitry990 ; 305 
 4157 ; Акция. Казань ; 1893 ;  ;  ;  ; 5 ; ъхз ; 255 
 4158 ; Облигация ; 1896 ;  ;  ;  ; 5 ; 333985 ; 257 
 4159 ; Облигация ; 1896 ;  ;  ;  ; 7 ; dmitry990 ; 300 
 4160 ; Облигация ; 1909 ;  ;  ;  ; 5 ; ъхз ; 215 
 4161 ; Карточка на пром товары ;  ;  ;  ;  ; 9 ; abrek112 ; 232 
 4162 ; Карточка на пром товары ;  ;  ;  ;  ; 9 ; koga ; 151 
 4163 ; Карточка на пром товары ;  ;  ;  ;  ; 18 ; koga ; 152 
 4164 ; Карточка на пром товары ;  ;  ;  ;  ; 18 ; koga ; 153 
 4165 ; Карточка на пром товары ;  ;  ;  ;  ; 11 ; koga ; 152 
 4166 ; Карточка на пром товары ;  ;  ;  ;  ; 13 ; koga ; 152 
 4167 ; Карточка на пром товары ;  ;  ;  ;  ; 5 ; koga ; 179 
 4168 ; Карточка на пром товары ;  ;  ;  ;  ; 9 ; kent01 ; 166 
 4169 ; 20, 40 рублей (8 шт) ;  ;  ;  ;  ; 30 ; Galina66 ; 101 
 4170 ; Купоны (125 шт) ;  ;  ;  ;  ; 9 ; dmitry990 ; 120 
 4301 ; 500 рублей. 3 шт ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 28 ; asus ; 679 
 4302 ; 500 рублей ; 1912 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 105 ; ac ; 1000 
 4303 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 59 ; Филипп Бенг ; 1759 
 4304 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 47 ; Gell13 ; 309 
 4305 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 28 ; ЛАВ-13 ; 153 
 4306 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 47 ; lexx66 ; 969 
 4307 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 31 ; ЛАВ-13 ; 71 
 4308 ; 3 рубля ; 1905 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 83 ; lexx66 ; 689 
 4309 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ; AU ; 47 ; lexx66 ; 207 
 4310 ; 5 копеек ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 57 ; asus ; 128 
 4311 ; 50 копеек ;  ;  ;  ; AU ; 29 ; Виталий 64 ; 153 
 4312 ; 50 копеек. 2 шт ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 10 ; Alex75 ; 126 
 4313 ; 2 копейки ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 26 ; ЛАВ-13 ; 164 
 4314 ; 100 рублей ; 1898 ; Коншин 1910 г. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 97 ; num ; 4501 
 4315 ; 5 червонцев ; 1928 ; Билет ;  ;  ; 71 ; садовник ; 15084 
 4316 ; 3 рубля ; 1919 ;  ;  ;  ; 57 ; Sky2 ; 1530 
 4317 ; Лот 2 шт. 1,5 рублей ; 1934 ;  ;  ;  ; 82 ; ЛАВ-13 ; 1068 
 4318 ; 3 рубля ; 1934 ; Гос.казначейские билеты ;  ;  ; 55 ; никсер ; 1252 
 4319 ; Лот 2 шт. 3,5 рублей ; 1938 ;  ;  ;  ; 21 ; ЛАВ-13 ; 192 
 4320 ; Лот 2 шт. 1,5 червонцев ; 1937 ;  ;  ;  ; 38 ; Randi ; 618 
 4091 ; 10 рублей ; 1909 ;  ;  ;  ; 23 ; Филипп Бенг ; 51 
 4092 ; 10 рублей ; 1909 ;  ;  ;  ; 34 ; Михаил_нов ; 46 
 4093 ; Билет лотереи ; 1941 ;  ;  ;  ; 11 ; 333985 ; 51 
 4094 ; Билет лотереи ; 1939 ;  ;  ;  ; 42 ; 收集者 ; 255 
 4095 ; Билет лотереи ; 1941 ;  ;  ;  ; 15 ; 333985 ; 255 
 4096 ; Билет лотереи ; 1940 ;  ;  ;  ; 19 ; 333985 ; 153 
 4097 ; Билет лотереи ; 1944 ;  ;  ;  ; 11 ; 333985 ; 153 
 4098 ; Билет лотереи ; 1943 ;  ;  ;  ; 23 ; 333985 ; 155 
 4099 ; Билет лотереи ; 1942 ;  ;  ;  ; 23 ; 333985 ; 250 
 4100 ; Билет лотереи ; 1944 ;  ;  ;  ; 61 ; uz ; 306 
 4101 ; 10 рублей "Сорабкоп" ; 1923 ;  ;  ;  ; 48 ; abrek112 ; 1020 
 4102 ; 5 рублей. О. П. "Трудработник" ;  ;  ;  ;  ; 9 ; bon15041980 ; 1106 
 4103 ; 100000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 66 ; Виталий 64 ; 922 
 4104 ; 100000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 103 ; USS ; 738 
 4105 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 71 ; садовник ; 1998 
 4106 ; Талоны пайщика Ц. Р. К. ;  ;  ;  ;  ; 5 ; koga ; 203 
 4107 ; Билет лотереи ; 1927 ;  ;  ;  ; 22 ; abrek112 ; 956 
 4108 ; Продовольственная карточка Томского Губпродкома ; 1920 ;  ;  ;  ; 23 ; benc ; 1428 
 4109 ; 10000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 58 ; ек ; 317 
 4110 ; 10000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 61 ; ек ; 317 
 4111 ; 10000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 68 ; kent01 ; 408 
 4112 ; 3 копейки ; 1915 ; Деньги-марки ;  ; AU ; 24 ; lexx66 ; 161 
 4113 ; 3 копейки ; 1915 ; Деньги-марки ;  ; AU ; 33 ; asus ; 111 
 4114 ; 15 копеек ; 1915 ; Деньги-марки ;  ; AU ; 19 ; ек ; 46 
 4115 ; 15 копеек ; 1915 ; Деньги-марки ;  ; AU ; 6 ; Alks75 ; 57 
 4116 ; 20 копеек ; 1915 ; Деньги-марки ;  ; AU ; 14 ; lexx66 ; 102 
 4117 ; 5 копеек ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 18 ; gusar ; 129 
 4118 ; 50 копеек. Юденич ; 1919 ;  ;  ; AU ; 33 ; Инвестор ; 1018 
 4119 ; 5 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ; AU ; 78 ; fanil ; 2017 
 4120 ; 5 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ; AU ; 90 ; svv ; 2652 
 4121 ; 5 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ; AU ; 43 ; albar ; 1836 
 4122 ; 5 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ; AU ; 40 ; RusScat ; 2070 
 4123 ; 5 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ; AU ; 27 ; каламбурчик ; 1911 
