 4808 ; 1 доллар. США. Надорвана, подклеена ; 1923 ;  ;  ;  ; 40 ; Опятор ; 63 
 4661 ; Бона иностранная ;  ;  ;  ;  ; 9 ; von_Schwarz ; 37 
 4662 ; Бона иностранная ;  ;  ;  ;  ; 22 ; кузнецов ; 70 
 4663 ; Бона иностранная ;  ;  ;  ;  ; 27 ; кузнецов ; 71 
 4664 ; Бона иностранная ;  ;  ;  ;  ; 51 ; Скрудж ; 53 
 4665 ; Бона иностранная ;  ;  ;  ;  ; 28 ; 34 ; 30 
 4666 ; Бона иностранная ;  ;  ;  ;  ; 35 ; Скрудж ; 51 
 4667 ; Бона иностранная ;  ;  ;  ;  ; 41 ; Скрудж ; 64 
 4668 ; Бона иностранная ;  ;  ;  ;  ; 17 ; von_Schwarz ; 101 
 4669 ; Бона иностранная ;  ;  ;  ;  ; 33 ; Скрудж ; 41 
 4670 ; Бона иностранная ;  ;  ;  ;  ; 65 ; Smit ; 101 
 4671 ; Бона иностранная ;  ;  ;  ;  ; 30 ; кузнецов ; 30 
 4672 ; Бона иностранная ;  ;  ;  ;  ; 21 ; ек ; 22 
 4673 ; Бона иностранная ;  ;  ;  ;  ; 30 ; кузнецов ; 30 
 4674 ; Бона иностранная ;  ;  ;  ;  ; 23 ; 34 ; 24 
 4675 ; Бона иностранная ;  ;  ;  ;  ; 23 ; ек ; 53 
 4676 ; Бона иностранная ;  ;  ;  ;  ; 20 ; ек ; 40 
 4677 ; Бона иностранная ;  ;  ;  ;  ; 31 ; Evgen555 ; 51 
 4678 ; Бона иностранная ;  ;  ;  ;  ; 52 ; Gera_K ; 73 
 4679 ; Бона иностранная ;  ;  ;  ;  ; 25 ; ек ; 36 
 4680 ; Бона иностранная ;  ;  ;  ;  ; 13 ; krft ; 63 
 4681 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Скрудж ; 46 
 4682 ; Бона иностранная ;  ;  ;  ;  ; 10 ; кузнецов ; 30 
 4683 ; Бона иностранная ;  ;  ;  ;  ; 5 ; krft ; 30 
 4684 ; Бона иностранная ;  ;  ;  ;  ; 25 ; krft ; 62 
 4685 ; Бона иностранная ;  ;  ;  ;  ; 14 ; ъхз ; 57 
 4686 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ек ; 30 
 4687 ; Бона иностранная ;  ;  ;  ;  ; 19 ; ек ; 40 
 4688 ; Бона иностранная ;  ;  ;  ;  ; 11 ; ек ; 32 
 4801 ; Лот бон Германии (3шт): 5 марок, 1000 марок, 500000 марок ; 1911,1922, 1923 ;  ;  ;  ; 52 ; Опятор ; 51 
 4802 ; Лот бон Германии (2шт): 50 пфеннигов, 10 марок ; 1929 ;  ;  ;  ; 38 ; Smit ; 73 
 4803 ; Бона. Камбоджи ;  ;  ;  ;  ; 37 ; Germanfox ; 69 
 4804 ; 1 цзяо. Китай ; 1980 ;  ;  ;  ; 48 ; FOCU$ ; 57 
 4805 ; 1 цзяо. Китай ; 1962 ;  ;  ;  ; 19 ; FOCU$ ; 93 
 4806 ; 1 доллар. США ; 1935 ;  ;  ;  ; 67 ; nordbolivar ; 443 
 4807 ; 1 доллар. США ; 1957 ;  ;  ;  ; 24 ; nordbolivar ; 305 
 4596 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Скрудж ; 34 
 4597 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 34 
 4598 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Dander ; 39 
 4599 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Dander ; 39 
 4600 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 30 
 4601 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Dander ; 30 
 4602 ; Бона иностранная ;  ;  ;  ;  ; 45 ; Gera_K ; 45 
 4603 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Dander ; 32 
 4604 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 34 ; 26 
 4605 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Gera_K ; 31 
 4606 ; Бона иностранная ;  ;  ;  ;  ; 31 ; Dander ; 30 
 4607 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Dander ; 30 
 4608 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 34 ; 12 
 4609 ; Бона иностранная ;  ;  ;  ;  ; 13 ; vladimir-sirke ; 35 
 4610 ; Бона иностранная ;  ;  ;  ;  ; 36 ; Скрудж ; 47 
 4611 ; Бона иностранная ;  ;  ;  ;  ; 18 ; hr-kot ; 32 
 4612 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 34 ; 24 
 4613 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Gold_42 ; 30 
 4614 ; Бона иностранная ;  ;  ;  ;  ; 30 ; kozerog ; 30 
 4615 ; Бона иностранная ;  ;  ;  ;  ; 21 ; 34 ; 22 
 4616 ; Бона иностранная ;  ;  ;  ;  ; 33 ; Dander ; 31 
 4617 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Dander ; 35 
 4618 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Pantera ; 31 
 4619 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Dander ; 34 
 4620 ; Бона иностранная ;  ;  ;  ;  ; 15 ; ъхз ; 81 
 4621 ; Бона иностранная ;  ;  ;  ;  ; 36 ; Dander ; 40 
 4622 ; Бона иностранная ;  ;  ;  ;  ; 23 ; vladimir-sirke ; 100 
 4623 ; Бона иностранная ;  ;  ;  ;  ; 12 ; surinoff ; 12 
 4624 ; Бона иностранная ;  ;  ;  ;  ; 12 ; surinoff ; 12 
 4625 ; Бона иностранная ;  ;  ;  ;  ; 14 ; surinoff ; 14 
 4626 ; Бона иностранная ;  ;  ;  ;  ; 20 ; 11000 ; 21 
 4627 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Dander ; 30 
 4628 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Dander ; 36 
 4629 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Dander ; 47 
 4630 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Gold_42 ; 30 
 4631 ; Бона иностранная ;  ;  ;  ;  ; 30 ; Dander ; 30 
 4632 ; Бона иностранная ;  ;  ;  ;  ; 25 ; кузнецов ; 30 
 4633 ; Бона иностранная ;  ;  ;  ;  ; 33 ; ъхз ; 34 
 4634 ; Бона иностранная ;  ;  ;  ;  ; 29 ; ъхз ; 30 
 4635 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Germanfox ; 33 
 4636 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Dander ; 32 
 4637 ; Бона иностранная ;  ;  ;  ;  ; 16 ; surinoff ; 30 
 4638 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Germanfox ; 31 
 4639 ; Бона иностранная ;  ;  ;  ;  ; 28 ; кузнецов ; 34 
 4640 ; Бона иностранная ;  ;  ;  ;  ; 23 ; ъхз ; 79 
 4641 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Dander ; 46 
 4642 ; Бона иностранная ;  ;  ;  ;  ; 22 ; кузнецов ; 101 
 4643 ; Бона иностранная ;  ;  ;  ;  ; 34 ; intrest ; 47 
 4644 ; Бона иностранная ;  ;  ;  ;  ; 10 ; intrest ; 44 
 4645 ; Бона иностранная ;  ;  ;  ;  ; 21 ; ъхз ; 53 
 4546 ; Бона иностранная ;  ;  ;  ;  ; 29 ; sasha14 ; 30 
 4547 ; Бона иностранная ;  ;  ;  ;  ; 17 ; sasha14 ; 30 
 4548 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Dander ; 20 
 4549 ; Бона иностранная ;  ;  ;  ;  ; 1 ; ъхз ; 29 
 4550 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Dander ; 20 
 4551 ; Бона иностранная ;  ;  ;  ;  ; 2 ; kent01 ; 30 
 4552 ; Бона иностранная ;  ;  ;  ;  ; 49 ; ъхз ; 99 
 4553 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Germanfox ; 43 
 4554 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Dander ; 36 
 4555 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Germanfox ; 30 
 4556 ; Бона иностранная ;  ;  ;  ;  ; 25 ; 11000 ; 26 
 4557 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Pantera ; 30 
 4558 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Pantera ; 31 
 4559 ; Бона иностранная ;  ;  ;  ;  ; 13 ; ъхз ; 24 
 4560 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 11000 ; 16 
 4561 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Gold_42 ; 30 
 4562 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Gera_K ; 31 
 4563 ; Бона иностранная ;  ;  ;  ;  ; 33 ; Dander ; 31 
 4564 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Dander ; 30 
 4565 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Dander ; 58 
 4566 ; Бона иностранная ;  ;  ;  ;  ; 5 ; ек ; 24 
 4567 ; Бона иностранная ;  ;  ;  ;  ; 11 ; ек ; 20 
 4568 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Dander ; 30 
 4569 ; Бона иностранная ;  ;  ;  ;  ; 30 ; Dander ; 30 
 4570 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Dander ; 34 
 4571 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Gera_K ; 30 
 4572 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Dander ; 31 
 4573 ; Бона иностранная ;  ;  ;  ;  ; 27 ; сиротка ; 57 
 4574 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Dander ; 33 
 4575 ; Бона иностранная ;  ;  ;  ;  ; 2 ; kent01 ; 30 
 4576 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Dander ; 32 
 4577 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Dander ; 30 
 4578 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 11000 ; 24 
 4579 ; Бона иностранная ;  ;  ;  ;  ; 19 ; ек ; 28 
 4580 ; Бона иностранная ;  ;  ;  ;  ; 13 ; vladimir-sirke ; 30 
 4581 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 34 ; 24 
 4582 ; Бона иностранная ;  ;  ;  ;  ; 5 ; vladimir-sirke ; 30 
 4583 ; Бона иностранная ;  ;  ;  ;  ; 22 ; kozerog ; 30 
 4584 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Dander ; 30 
 4585 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Dander ; 38 
 4586 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Pantera ; 11 
 4587 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Pantera ; 11 
 4588 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Скрудж ; 36 
 4589 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Скрудж ; 36 
 4590 ; Бона иностранная ;  ;  ;  ;  ; 31 ; Dander ; 47 
 4591 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Скрудж ; 34 
 4592 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 33 
 4593 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Скрудж ; 33 
 4594 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Dander ; 37 
 4595 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Скрудж ; 32 
 4352 ; 5 рублей ; 1918 ; Закавказье ;  ;  ; 49 ; ac ; 270 
 4353 ; 10 рублей ; 1918 ; Закавказье ;  ;  ; 37 ; ac ; 281 
 4354 ; 50 рублей ; 1918 ; Закавказье ;  ;  ; 28 ; Vb[fksx ; 322 
 4355 ; 100 рублей ; 1918 ; Закавказье ;  ;  ; 8 ; tanmar86 ; 48 
 4356 ; 250 рублей ; 1918 ; Закавказье ;  ;  ; 48 ; ac ; 453 
 4501 ; Бона иностранная ;  ;  ;  ;   ; 25 ; kapital51 ; 53 
 4502 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Dander ; 47 
 4503 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Скрудж ; 40 
 4504 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Dander ; 47 
 4505 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Dander ; 47 
 4506 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Улетный ; 38 
 4507 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Майкл ; 30 
 4508 ; Бона иностранная ;  ;  ;  ;  ; 27 ; sos1 ; 88 
 4509 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Улетный ; 37 
 4510 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Скрудж ; 37 
 4511 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Dander ; 37 
 4512 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Скрудж ; 36 
 4513 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Майкл ; 30 
 4514 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Улетный ; 30 
 4515 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Улетный ; 30 
 4516 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 34 ; 24 
 4517 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Скрудж ; 40 
 4518 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Майкл ; 30 
 4519 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Dander ; 46 
 4520 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Скрудж ; 41 
 4521 ; Бона иностранная ;  ;  ;  ;  ; 4 ; К215 ; 42 
 4522 ; Бона иностранная ;  ;  ;  ;  ; 4 ; kapital51 ; 37 
 4523 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Улетный ; 42 
 4524 ; Бона иностранная ;  ;  ;  ;  ; 19 ; К215 ; 46 
 4525 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Улетный ; 50 
 4526 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Улетный ; 30 
 4527 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Улетный ; 30 
 4528 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Germanfox ; 31 
 4529 ; Бона иностранная ;  ;  ;  ;  ; 37 ; Улетный ; 55 
 4530 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Улетный ; 30 
 4531 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Улетный ; 51 
 4532 ; Бона иностранная ;  ;  ;  ;  ; 38 ; Dander ; 57 
 4533 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 34 ; 24 
 4534 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Улетный ; 30 
 4535 ; Бона иностранная ;  ;  ;  ;  ; 32 ; Dander ; 47 
 4536 ; Бона иностранная ;  ;  ;  ;  ; 46 ; Майкл ; 174 
 4537 ; Бона иностранная ;  ;  ;  ;  ; 17 ; sasha14 ; 30 
 4538 ; Бона иностранная ;  ;  ;  ;  ; 14 ; sasha14 ; 30 
 4539 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Dander ; 26 
 4540 ; Бона иностранная ;  ;  ;  ;  ; 18 ; lvd ; 41 
 4541 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Dander ; 31 
 4542 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Dander ; 30 
 4543 ; Бона иностранная ;  ;  ;  ;  ; 22 ; kozerog ; 30 
 4544 ; Бона иностранная ;  ;  ;  ;  ; 14 ; hr-kot ; 26 
 4545 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Dander ; 20 
 4302 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 20 ; Dander ; 65 
 4303 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 57 ; tanmar86 ; 57 
 4304 ; 10000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 75 ; Sky2 ; 511 
 4305 ; 50 рублей ; 1914 ; Билеты государственного казначейства ;  ;  ; 13 ; ac ; 157 
 4306 ; Лот бон (4шт): 100р, 25р, 1р, 50 коп. некоторые надорваны ; 1898,1909,1910 ;  ;  ;  ; 39 ; Опятор ; 79 
 4307 ; Лот бон (2шт): 1р, 5 червонцев ; 1938, 1937 ;  ;  ;  ; 24 ; albar ; 75 
 4308 ; 10 червонцев ; 1937 ; Билет ;  ;  ; 51 ; Юрий7 ; 309 
 4309 ; 25 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ;  ; 36 ; СЁМА ; 510 
 4310 ; 5 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 58 ; Юрий7 ; 510 
 4311 ; 10 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 47 ; СЁМА ; 510 
 4312 ; 5 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ;  ; 23 ; Юрий7 ; 471 
 4313 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 12 ; kapital51 ; 69 
 4314 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 23 ; Gold_42 ; 273 
 4315 ; Лот бон (2шт): 50р, 10р ; 1918 ;  ;  ;  ; 32 ; Dander ; 63 
 4316 ; 3 червонца ; 1937 ; Билет ;  ;  ; 14 ; юденич ; 128 
 4317 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 22 ; Балинт ; 104 
 4318 ; Лот бон (3шт): 1р, 3р, 5р ; 1918 ;  ;  ;  ; 64 ; Gera_K ; 164 
 4319 ; Лот бон (3шт): 250р, 1000р, 50000р-надорвана ; 1919,1921 ;  ;  ;  ; 5 ; Добрый молодец ; 46 
 4320 ; Лот бон (6шт): 40р,20р ;  ;  ;  ;  ; 3 ; raise ; 55 
 4321 ; Бона. Билет 7-ой всесоюзной лотереи ОСОАВИАХИМА ;  ;  ;  ;  ; 17 ; kropkomp ; 1031 
 4322 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 18 ; kapital51 ; 81 
 4323 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 28 ; Dander ; 67 
 4324 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 30 ; lamazo ; 69 
 4325 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 21 ; Василевс ; 203 
 4326 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 53 ; Балинт ; 152 
 4327 ; 200 рублей ; 1992 ; билет ;  ;  ; 18 ; 555650 ; 65 
 4328 ; 100 рублей ; 1991 ; билет ;  ;  ; 10 ; sasha14 ; 227 
 4329 ; Лот Государственных кредитных билетов: 1,5,10,25,1000 рублей (6шт) ;  ;  ;  ;  ; 24 ; USS ; 187 
 4330 ; Лот Государственных кредитных билетов: 50,25,10,5,3,1руб, 50 коп (13шт) ;  ;  ;  ;  ; 44 ; molodes ; 417 
 4331 ; Лот Денежных знаков: 1,3,5,10,25,50,100 руб (11шт) ; 1961-1993 ;  ;  ;  ; 39 ; molodes ; 131 
 4332 ; 1 копейка ; 1915 ; Деньги-марки ;  ;  ; 8 ; kapital51 ; 48 
 4333 ; 10 копеек (4шт) ; 1915 ; Деньги-марки ;  ;  ; 40 ; Dander ; 111 
 4334 ; 15 копеек (4шт) ; 1915 ; Деньги-марки ;  ;  ; 33 ; kapital51 ; 120 
 4335 ; 20 копеек (4шт) ; 1915 ; Деньги-марки ;  ;  ; 20 ; Gera_K ; 130 
 4336 ; Лот из 2-х бон (3 рубля. Управляющий Коншин) ; 1910 ;  ;  ;  ; 24 ; Germanfox ; 108 
 4337 ; Лот из 2-х бон (3 рубля. Управляющий Шипов) ; 1910 ;  ;  ;   ; 18 ; max2008 ; 122 
 4338 ; Лот из 4-х бон (5 рублей. Управляющий Шипов) ; 1912 ;  ;  ;  ; 44 ; Pantera ; 201 
 4339 ; Лот из 11-ти бон (1 рубль. Управляющий Шипов) ; 1912 ;  ;  ;  ; 47 ; Gera_K ; 281 
 4340 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 85 ; Andrak ; 925 
 4341 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 34 ; Smit ; 242 
 4342 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 132 ; krft ; 331 
 4343 ; Лот из 5-ти бон Разменных билетов (50,5,3,2,1 коп) ; 1915 ;  ;  ;  ; 25 ; slovjnin ; 320 
 4344 ; 25 рублей ; 1915 ; 4% билет гос.казначейства ;  ;  ; 79 ; Gera_K ; 214 
 4345 ; 10 червонцев ; 1937 ; Билет ;  ;  ; 69 ; Крынка ; 902 
 4346 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 36 ; Woker ; 612 
 4347 ; 3 червонца ; 1937 ; Билет ;  ;  ; 69 ; lesnik1 ; 932 
 4348 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 17 ; lesnik1 ; 204 
 4349 ; Лот из 11-ти бон (1,3,5,10,20,50 рублей) ; 1961-1991 ;  ;  ;  ; 46 ; Gera_K ; 138 
 4350 ; 1 рубль ; 1918 ; Закавказье ;  ;  ; 33 ; SANGOLD1 ; 554 
