 101 ; Медаль. Наполеон Бонапарт. За строительство 2000 лодок. Франция. D-40мм ;  ;  ; Br ; XF+ ; 22 ; sm-dc ; 5406 
 126 ; Памятная медаль. Возвращение императора Наполеона Бонапарта. Март 1815г. Франция. D-40мм ;  ;  ; Br ; XF+ ; 21 ; sm-dc ; 5000 
 127 ; Медаль. Эжен де Богарне вице-король Италии. Раабская битва 	14 июня 1809. Годовщина Маренго и Фридланд. Франция. D-41мм ;  ;  ; Br ; XF+ ; 8 ; sm-dc ; 3600 
 128 ; Памятная медаль "Идеальная встреча". Франция. Р-ры ~ 40х40мм ;  ;  ; Cu ; XF+ ; 7 ; sm-dc ; 3185 
 129 ; Памятная медаль. Наполеон II. Рождение короля Рима. Франция. D-40мм ;  ;  ; Br ; VF-XF ; 13 ; sm-dc ; 2700 
 130 ; Медаль. Император Наполеон Бонапарт в Оструде. Франция. D-40мм ;  ;  ; Br ; AU ; 15 ; sm-dc ; 3200 
 131 ; Памятная медаль. Наполеон Бонапарт и Жозефина Богарне. Рождение Наполеона II. Франция. D-33мм ;  ;  ; Br ; AU ; 23 ; sm-dc ; 4400 
 132 ; Жетон в память первой сель.-хоз и куст.-пром. выставки  СССР + Диплом. ; 1923 ;  ; Br ; VF-XF ; 35 ; stilspb ; 6500 
 51 ; 10 копеек ; 1857 ; СПБ ФБ ; Ag ; XF ; 45 ; Продано в зале ; 1900 
 52 ; 10 копеек ; 1917 ; ВС ; Ag ; AU ; 25 ; Vivi an ; 5119 
 53 ; 5 копеек ; 1755 ; СПБ ; Ag ; VF+ ; 30 ; Продано в зале ; 6000 
 54 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; VF-XF ; 23 ; electra ; 3600 
 55 ; 5 копеек ; 1827 ; СПБ НГ ; Ag ; VF-XF ; 19 ; Продано в зале ; 2200 
 56 ; 5 копеек ; 1845 ; СПБ КБ ; Ag ; XF+ ; 21 ; nik41 ; 3200 
 57 ; 5 копеек ; 1848 ; СПБ HI ; Ag ; AU ; 21 ; I3 ; 3400 
 58 ; 5 копеек ; 1849 ; СПБ ПА ; Ag ; XF ; 22 ; nik41 ; 1600 
 59 ; 5 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 60 ; cheta ; 9000 
 60 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 20 ; I3 ; 5000 
 61 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 24 ; I3 ; 4000 
 62 ; 5 копеек ; 1869 ; СПБ HI ; Ag ; AU ; 32 ; I3 ; 8000 
 63 ; 5 копеек ; 1877 ; СПБ НФ ; Ag ; XF+ ; 27 ; Продано в зале ; 38000 
 64 ; 5 копеек. В капсуле PCGS ; 1886 ; СПБ АГ ; Ag ;  ; 29 ; -$$$- ; 6000 
 65 ; 5 копеек ; 1887 ; СПБ АГ ; Ag ; XF+ ; 19 ; Продано в зале ; 1700 
 66 ; 10 копеек ; 1776 ; КМ "Сибирь" ; Cu ; VF-XF ; 34 ; РО ; 9281 
 67 ; 5 копеек ; 1763 ; СМ ; Cu ; VF- ; 37 ; Sky2 ; 3001 
 68 ; 5 копеек ; 1763 ; СПМ ; Cu ; F-VF ; 44 ; Sky2 ; 2944 
 69 ; 5 копеек ; 1764 ; СМ ; Cu ; VF ; 29 ; Худой Бердыев ; 6000 
 70 ; 5 копеек ; 1764 ; СПМ ; Cu ; F+ ; 60 ; Худой Бердыев ; 4600 
 71 ; 5 копеек (Петров-5р, Ильин-5р) ; 1767 ; ММ ; Cu ; F-VF ; 54 ; Худой Бердыев ; 8000 
 72 ; 5 копеек ; 1790 ; АМ ; Cu ; VF-XF ; 18 ; Продано в зале ; 1000 
 73 ; 5 копеек ; 1796 ; АМ ; Cu ; XF- ; 16 ; korshun-777 ; 2000 
 74 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF ; 29 ; ZOLTAN 333 ; 5250 
 75 ; 2 копейки (Ильин-1р) ; 1763 ; СПМ ; Cu ; F ; 15 ; Худой Бердыев ; 2400 
 76 ; 2 копейки ; 1764 ; ММ ; Cu ; F-VF ; 29 ; I3 ; 1700 
 77 ; 2 копейки ; 1766 ; СПМ ; Cu ; VF- ; 19 ; I3 ; 1100 
 78 ; 2 копейки (Петров-15р, Ильин-8р) ; 1767 ; "Сибирь" ; Cu ; F ; 18 ; Продано в зале ; 15000 
 79 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; XF ; 6 ; РО ; 850 
 80 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; XF- ; 15 ; Ok203 ; 1135 
 81 ; 2 копейки ; 1811 ; СПБ ПС ; Cu ; VF+ ; 19 ; Ok203 ; 600 
 82 ; 2 копейки ; 1828 ; КМ АМ ; Cu ; VF+ ; 47 ; Ok203 ; 2553 
 83 ; 2 копейки. Капсула NGC ; 1832 ; СМ ; Cu ;  ; 57 ; Продано в зале ; 42000 
 84 ; 2 копейки ; 1839 ; СМ ; Cu ; VF ; 41 ; int1965708 ; 12000 
 85 ; Копейка (Петров-15р, Ильин-5р) ; 1709 ; БК ; Cu ; VF ; 20 ; Продано в зале ; 12500 
 86 ; Копейка ; 1832 ; ЕМ ФХ ; Cu ; VF-XF ; 18 ; Uncirculated ; 3200 
 87 ; Копейка ; 1900 ; СПБ ; Cu ; AU ; 25 ; Продано в зале ; 3400 
 88 ; Денга ; 1791 ; КМ ; Cu ; VF- ; 29 ; РО ; 1893 
 89 ; Денга ; 1796 ; ЕМ ; Cu ; VF ; 15 ; Аристарх__ ; 600 
 90 ; Полушка (Петров-5р, Ильин-3р) ; 1775 ; ЕМ ; Cu ; F ; 26 ; I3 ; 4400 
 91 ; 1/4 копейки ; 1842 ; ЕМ ; Cu ; XF- ; 16 ; Продано в зале ; 1800 
 92 ; Полушка. М-1,9г ; 1855 ; ЕМ ; Cu ; XF+ ; 20 ; Продано в зале ; 4700 
 93 ; 1/4 копейки. Капсула PCGS ; 1892 ; СПБ ; Cu ;  ; 49 ; Продано в зале ; 27000 
 94 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; AU ; 25 ; anna53 ; 2000 
 95 ; Медаль В память освящения Храма Христа Спасителя в Москве. D-35мм ; 1883 ;  ; Ag ; XF ; 40 ; Продано в зале ; 36000 
 96 ; Медаль Александр I.  На оборотней стороне1814 год. D-51мм. Проба штемпеля? ;  ;  ; Br ; XF+ ; 33 ; Продано в зале ; 46000 
 97 ; Медаль. Генерал Наполеон Бонапарт. Командующий армии в Италии. 1796г. Франция. D-57мм ;  ;  ; Br ; XF- ; 27 ; Продано в зале ; 10000 
 98 ; Памятная медаль. Наполеон Бонапарт. Древние республики Италии возродились в 1802 г. Франция. D-44мм ;  ;  ; Br ; XF+ ; 18 ; Продано в зале ; 6000 
 99 ; Медаль. Первый консул Наполеон Бонапарт. Мост через Дюранс в Провансе. Франция. D-42мм ;  ;  ; Br ; XF+ ; 7 ; sm-dc ; 4200 
 100 ; Медаль. Первый консул Наполеон Бонапарт. Искусство победы. Франция. D-40мм ;  ;  ; Br ; AU ; 44 ; sm-dc ; 6732 
 1 ; Рубль ; 1723 ; ОК ; Ag ; VF+ ; 40 ; vic-dmitri ; 55000 
 2 ; Рубль ; 1723 ;  ; Ag ; VF+ ; 26 ; Продано в зале ; 26000 
 3 ; Рубль ; 1725 ;  ; Ag ; VF-XF ; 46 ; Valera G ; 50000 
 4 ; Рубль ; 1727 ;  ; Ag ; VF ; 46 ; Продано в зале ; 32000 
 5 ; Рубль ; 1734 ;  ; Ag ; VF ; 45 ; Продано в зале ; 14000 
 6 ; Рубль ; 1740 ; СПБ ; Ag ; VF+ ; 30 ; Продано в зале ; 22000 
 7 ; Рубль ; 1749 ; ММД ; Ag ; VF-XF ; 18 ; I3 ; 21000 
 8 ; Рубль ; 1750 ; ММД ; Ag ; XF ; 32 ; Продано в зале ; 24000 
 9 ; Рубль ; 1808 ; СПБ МК ; Ag ; VF-XF ; 34 ; vtoth ; 24100 
 10 ; Рубль (Ильин-10р). Редкая ; 1818 ; СПБ ПС ; Ag ; VF- ; 31 ; Продано в зале ; 34000 
 11 ; Рубль ; 1821 ; СПБ ПД ; Ag ; XF- ; 42 ; Продано в зале ; 11000 
 12 ; Рубль ; 1823 ; СПБ ПД ; Ag ; XF- ; 15 ; Ok203 ; 6500 
 13 ; Рубль ; 1825 ; СПБ ПД ; Ag ; VF-XF ; 18 ; Продано в зале ; 9000 
 14 ; Рубль ; 1826 ; СПБ НГ ; Ag ; VF ; 47 ; eastern wind ; 16647 
 15 ; Рубль ; 1834 ; "На открытие Александровской колонны" ; Ag ; XF- ; 45 ; Продано в зале ; 68000 
 16 ; Рубль (Ильин-3р) ; 1835 ; СПБ НГ ; Ag ; VF+ ; 32 ; Продано в зале ; 17000 
 17 ; Рубль ; 1839 ; H.Gube F. "На открытие Бородинского памятника-часовни" ; Ag ; VF-XF ; 30 ; Продано в зале ; 75000 
 18 ; Рубль. М-20,52г ; 1841 ; СПБ НГ Резал Губе На бракосочетание Александра Николаевича ; Ag ; VF-XF ; 64 ; Продано в зале ; 325000 
 19 ; Рубль ; 1844 ; СПБ КБ ; Ag ; VF+ ; 20 ; eastern wind ; 5102 
 20 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; XF- ; 33 ; papinazu ; 57500 
 21 ; Рубль ; 1867 ; СПБ HI ; Ag ; XF- ; 29 ; пара ; 26000 
 22 ; Рубль ; 1867 ; СПБ HI ; Ag ; XF- ; 32 ; Продано в зале ; 26000 
 23 ; Рубль ; 1868 ; СПБ HI ; Ag ; XF+ ; 47 ; Продано в зале ; 55000 
 24 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF ; 33 ; papinazu ; 21000 
 25 ; Рубль ; 1893 ; (АГ) ; Ag ; XF- ; 43 ; papinazu ; 28000 
 26 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF+ ; 47 ; papinazu ; 36000 
 27 ; Рубль ; 1898 ; (АГ) На открытие памятника Александру II ; Ag ; XF- ; 43 ; vic-dmitri ; 105000 
 28 ; Рубль ; 1898 ; (АГ) ; Ag ; XF+ ; 36 ; electra ; 7500 
 29 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; AU ; 52 ; vic-dmitri ; 135000 
 30 ; Рубль ; 1912 ; (ЭБ) ; Ag ; XF ; 37 ; ААФ ; 13129 
 31 ; Рубль ; 1915 ; (ВС) ; Ag ; XF ; 22 ; Продано в зале ; 32000 
 32 ; Полтина ; 1723 ;  ; Ag ; VF- ; 35 ; Продано в зале ; 32000 
 33 ; Полтина (Петров-6р) ; 1725 ; СПБ ; Ag ; VF ; 43 ; Продано в зале ; 80000 
 34 ; Полтина (Петров-2,5р) ; 1765 ; СПБ ЯI ; Ag ; XF ; 50 ; Продано в зале ; 52000 
 35 ; Полтина ; 1846 ; MW ; Ag ; VF-XF ; 15 ; eastern wind ; 5500 
 36 ; Полтина ; 1851 ; СПБ ПА ; Ag ; XF ; 15 ; ААФ ; 5500 
 37 ; Полтина ; 1854 ; СПБ HI ; Ag ; VF-XF ; 17 ; Продано в зале ; 4700 
 38 ; Полтина ; 1858 ; СПБ ФБ ; Ag ; XF- ; 23 ; ААФ ; 6500 
 39 ; 25 копеек ; 1856 ; СПБ ФБ ; Ag ; XF ; 23 ; sm-dc ; 2727 
 40 ; 25 копеек ; 1857 ; СПБ ФБ ; Ag ; XF+ ; 15 ; Продано в зале ; 2800 
 41 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; XF ; 33 ; electra ; 3400 
 42 ; 25 копеек ; 1887 ; (АГ) АГ ; Ag ; XF ; 58 ; int1965708 ; 49695 
 43 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; XF ; 37 ; Продано в зале ; 20000 
 44 ; 20 копеек ; 1764 ; ММД ; Ag ; XF ; 66 ; Продано в зале ; 24000 
 45 ; 20 копеек ; 1853 ; СПБ HI ; Ag ; XF ; 28 ; Продано в зале ; 7500 
 46 ; 20 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 25 ; ААФ ; 2000 
 47 ; 15 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 26 ; ААФ ; 2142 
 48 ; 15 копеек. В капсуле PCGS ; 1879 ; СПБ НФ ; Ag ;  ; 27 ; Продано в зале ; 5000 
 49 ; 15 копеек ; 1917 ; ВС ; Ag ; AU ; 40 ; ААФ ; 5667 
 50 ; 10 копеек ; 1820 ; СПБ ПД ; Ag ; XF- ; 29 ; sergius ; 4567 
