 5839 ; Бона иностранная Сомали ;  ;  ;  ; AU ; 12 ; gdrg2 ; 58 
 5863 ; Бона иностранная Германия ;  ;  ;  ;  ; 16 ; smel ; 171 
 5864 ; Бона иностранная Германия ;  ;  ;  ;  ; 16 ; smel ; 352 
 5865 ; Бона иностранная Германия ;  ;  ;  ;  ; 12 ; vladmarkin ; 108 
 5866 ; Бона иностранная Германия ;  ;  ;  ;  ; 21 ; alapabula ; 276 
 5867 ; Бона иностранная Германия ;  ;  ;  ;  ; 19 ; bagsy ; 255 
 5868 ; Бона иностранная Германия ;  ;  ;  ;  ; 10 ; vladmarkin ; 114 
 5869 ; Бона иностранная Германия ;  ;  ;  ;  ; 10 ; smel ; 150 
 5870 ; Бона иностранная Германия ;  ;  ;  ;  ; 14 ; smel ; 242 
 5871 ; Бона иностранная Германия ;  ;  ;  ;  ; 28 ; smel ; 364 
 5872 ; Бона иностранная Германия ;  ;  ;  ;  ; 14 ; vladmarkin ; 114 
 5873 ; Бона иностранная Германия ;  ;  ;  ;  ; 16 ; Майкл ; 245 
 5874 ; Бона иностранная Германия ;  ;  ;  ;  ; 48 ; smel ; 239 
 5875 ; Бона иностранная Лаос ;  ;  ;  ; AU ; 25 ; Valerik ; 197 
 5876 ; Бона иностранная Лаос ;  ;  ;  ; AU ; 15 ; Hamlet ; 93 
 5877 ; Бона иностранная Лаос ;  ;  ;  ; AU ; 34 ; Hamlet ; 139 
 5878 ; Бона иностранная Лаос ;  ;  ;  ; AU ; 11 ; sveta6369 ; 115 
 5879 ; Бона иностранная Лаос ;  ;  ;  ; AU ; 16 ; sveta6369 ; 118 
 5880 ; Бона иностранная Лаос ;  ;  ;  ; AU ; 13 ; sveta6369 ; 98 
 5881 ; Бона иностранная Лаос ;  ;  ;  ; AU ; 17 ; sveta6369 ; 113 
 5882 ; Лот банкнот КНР и Гон-Конга: 5шт ;  ;  ;  ;  ; 19 ; всыня ; 1019 
 5883 ; Лот бон Монголии 7 шт ; 1955 ;  ;  ; AU ; 34 ; елец ; 2619 
 5884 ; Бона иностранная Германия ;  ;  ;  ;  ; 37 ; maner73 ; 177 
 5635 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 32 
 5636 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 41 
 5637 ; Бона иностранная ;  ;  ;  ;  ; 4 ; alapabula ; 38 
 5638 ; Бона иностранная ;  ;  ;  ;  ; 19 ; archy ; 757 
 5639 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 45b00f ; 204 
 5640 ; Бона иностранная ;  ;  ;  ;  ; 10 ; oleghh7 ; 206 
 5641 ; Бона иностранная ;  ;  ;  ;  ; 37 ; 333985 ; 116 
 5642 ; Бона иностранная ;  ;  ;  ;  ; 20 ; 333985 ; 159 
 5643 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Yamilov ; 102 
 5644 ; Бона иностранная ;  ;  ;  ;  ; 13 ; 333985 ; 88 
 5645 ; Бона иностранная ;  ;  ;  ;  ; 21 ; tss ; 114 
 5800 ; Бона иностранная Китай ; 1942 ;  ;  ;  ; 63 ; max2008 ; 1760 
 5801 ; Бона иностранная Китай ; 1941 ;  ;  ;  ; 45 ; к217 ; 1901 
 5802 ; Бона иностранная Китай ; 1935 ;  ;  ;  ; 36 ; max2008 ; 1840 
 5803 ; Бона иностранная Черногория ; 1914 ;  ;  ;  ; 72 ; doc2 ; 4182 
 5804 ; Бона иностранная Данциг ; 1923 ;  ;  ;  ; 44 ; MDV ; 2788 
 5805 ; Бона иностранная Данциг ; 1923 ;  ;  ;  ; 37 ; von_Schwarz ; 3540 
 5806 ; Бона иностранная Албания ;  ;  ;  ;  ; 19 ; nero ; 1900 
 5807 ; Бона иностранная Албания ;  ;  ;  ;  ; 29 ; nero ; 1958 
 5808 ; Лот бон  2 шт. Албания ; 1976 ;  ;  ; AU ; 12 ; bagsy ; 140 
 5809 ; Лот бон  2 шт. Албания ; 1964 ;  ;  ; AU ; 25 ; bagsy ; 353 
 5810 ; Лот бон  2 шт. Албания ; 1976 ;  ;  ; AU ; 19 ; alesjane ; 340 
 5811 ; Бона иностранная Албания ;  ;  ;  ; AU ; 11 ; bagsy ; 396 
 5812 ; Бона иностранная Албания ;  ;  ;  ; AU ; 34 ; bagsy ; 365 
 5813 ; Бона иностранная Албания ;  ;  ;  ; AU ; 21 ; bagsy ; 1629 
 5814 ; Бона иностранная Албания ;  ;  ;  ; AU ; 11 ; 2128508 ; 239 
 5815 ; Бона иностранная Албания ;  ;  ;  ; AU ; 7 ; doc2 ; 340 
 5816 ; Бона иностранная США ;  ;  ;  ;  ; 64 ; max2008 ; 2395 
 5817 ; Бона иностранная США ;  ;  ;  ;  ; 29 ; max2008 ; 2079 
 5818 ; Лот бон США 2 шт ;  ;  ;  ;  ; 27 ; VPV89 ; 453 
 5819 ; Бона иностранная Коморские о-ва ;  ;  ;  ; AU ; 81 ; tanmar86 ; 969 
 5820 ; Бона иностранная Мадагаскар ;  ;  ;  ; AU ; 44 ; Valerik ; 295 
 5821 ; Бона иностранная Финляндия ; 1986 ;  ;  ;  ; 51 ; vlkorchev ; 765 
 5822 ; 500000 злотых Польша ; 1990 ;  ;  ; AU ; 48 ; sos1 ; 1570 
 5823 ; 200000 злотых Польша ; 1989 ;  ;  ; AU ; 59 ; maner73 ; 1382 
 5824 ; 100000 злотых Польша ; 1990 ;  ;  ; AU ; 29 ; doc2 ; 800 
 5825 ; 10000 злотых Польша ; 1987 ;  ;  ; AU ; 55 ; MDV ; 692 
 5826 ; 5000 злотых Польша ; 1982 ;  ;  ; AU ; 61 ; MDV ; 503 
 5827 ; Бона иностранная Германия ;  ;  ;  ;  ; 24 ; antongor ; 347 
 5828 ; Бона иностранная Германия ;  ;  ;  ;  ; 41 ; Elephant ; 208 
 5829 ; Бона иностранная Латвия ;  ;  ;  ;  ; 16 ; Valerik ; 256 
 5830 ; Бона иностранная Латвия ;  ;  ;  ;  ; 24 ; ashep ; 611 
 5831 ; Бона иностранная Латвия ;  ;  ;  ;  ; 13 ; sos1 ; 357 
 5832 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 18 ; Maks87 ; 275 
 5833 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 10 ; Rober ; 51 
 5834 ; Лот бон иностранных 3 шт. Аргентина ;  ;  ;  ;  ; 18 ; bagsy ; 102 
 5835 ; Бона иностранная Иордания ;  ;  ;  ;  ; 31 ; zhora ; 199 
 5836 ; Бона иностранная Замбия ;  ;  ;  ; AU ; 14 ; sveta6369 ; 73 
 5837 ; Бона иностранная Мозамбик ;  ;  ;  ; AU ; 14 ; Panther ; 136 
 5838 ; Бона иностранная Сомали ;  ;  ;  ; AU ; 37 ; Valerik ; 357 
 5585 ; Бона иностранная ;  ;  ;  ;  ; 8 ; alapabula ; 40 
 5586 ; Бона иностранная ;  ;  ;  ;  ; 27 ; я8844 ; 79 
 5587 ; Бона иностранная ;  ;  ;  ;  ; 14 ; attila375 ; 101 
 5588 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 4758 ; 12 
 5589 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 4758 ; 22 
 5590 ; Бона иностранная ;  ;  ;  ;  ; 17 ; трутень ; 130 
 5591 ; Бона иностранная ;  ;  ;  ;  ; 26 ; alex09-63 ; 123 
 5592 ; Бона иностранная ;  ;  ;  ;  ; 8 ; alapabula ; 100 
 5593 ; Бона иностранная ;  ;  ;  ;  ; 10 ; vladmarkin ; 101 
 5594 ; Бона иностранная ;  ;  ;  ;  ; 33 ; tanmar86 ; 207 
 5595 ; Бона иностранная ;  ;  ;  ;  ; 7 ; MG ; 404 
 5596 ; Бона иностранная ;  ;  ;  ;  ; 20 ; я8844 ; 46 
 5597 ; Бона иностранная ;  ;  ;  ;  ; 10 ; vladmarkin ; 101 
 5598 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 4444 ; 16 
 5599 ; Бона иностранная ;  ;  ;  ;  ; 24 ; alapabula ; 100 
 5600 ; Бона иностранная ;  ;  ;  ;  ; 6 ; vladmarkin ; 101 
 5601 ; Бона иностранная ;  ;  ;  ;  ; 13 ; вулканолог ; 84 
 5602 ; Бона иностранная ;  ;  ;  ;  ; 14 ; bagsy ; 101 
 5603 ; Бона иностранная ;  ;  ;  ;  ; 11 ; mmmm ; 152 
 5604 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 4758 ; 23 
 5605 ; Бона иностранная ;  ;  ;  ;  ; 4 ; я8844 ; 48 
 5606 ; Бона иностранная ;  ;  ;  ;  ; 8 ; я8844 ; 59 
 5607 ; Бона иностранная ;  ;  ;  ;  ; 8 ; я8844 ; 59 
 5608 ; Бона иностранная ;  ;  ;  ;  ; 14 ; я8844 ; 48 
 5609 ; Бона иностранная ;  ;  ;  ;  ; 4 ; я8844 ; 12 
 5610 ; Бона иностранная ;  ;  ;  ;  ; 51 ; alesjane ; 4631 
 5611 ; Бона иностранная ;  ;  ;  ;  ; 9 ; yuvg ; 101 
 5612 ; Бона иностранная ;  ;  ;  ;  ; 10 ; vladmarkin ; 101 
 5613 ; Бона иностранная ;  ;  ;  ;  ; 7 ; я8844 ; 48 
 5614 ; Бона иностранная ;  ;  ;  ;  ; 4 ; я8844 ; 38 
 5615 ; Бона иностранная ;  ;  ;  ;  ; 10 ; vladmarkin ; 102 
 5616 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 4758 ; 26 
 5617 ; Бона иностранная ;  ;  ;  ;  ; 41 ; вулканолог ; 453 
 5618 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Рубчик ; 697 
 5619 ; Бона иностранная ;  ;  ;  ;  ; 7 ; я8844 ; 63 
 5620 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Hamlet ; 161 
 5621 ; Бона иностранная ;  ;  ;  ;  ; 9 ; canario ; 90 
 5622 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 312 ; 90 
 5623 ; Бона иностранная ;  ;  ;  ;  ; 4 ; alapabula ; 38 
 5624 ; Бона иностранная ;  ;  ;  ;  ; 12 ; maymuse ; 108 
 5625 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 41 
 5626 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 41 
 5627 ; Бона иностранная ;  ;  ;  ;  ; 4 ; alapabula ; 38 
 5628 ; Бона иностранная ;  ;  ;  ;  ; 38 ; bagsy ; 326 
 5629 ; Бона иностранная ;  ;  ;  ;  ; 10 ; 2128508 ; 50 
 5630 ; Бона иностранная ;  ;  ;  ;  ; 14 ; maner73 ; 126 
 5631 ; Бона иностранная ;  ;  ;  ;  ; 19 ; doc2 ; 215 
 5632 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Рубчик ; 50 
 5633 ; Бона иностранная ;  ;  ;  ;  ; 15 ; canario ; 33 
 5634 ; Бона иностранная ;  ;  ;  ;  ; 10 ; bagsy ; 51 
 5535 ; Бона иностранная ;  ;  ;  ;  ; 18 ; dsp ; 123 
 5536 ; Бона иностранная ;  ;  ;  ;  ; 16 ; tanmar86 ; 47 
 5537 ; Бона иностранная ;  ;  ;  ;  ; 16 ; alesjane ; 181 
 5538 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 333985 ; 27 
 5539 ; Бона иностранная ;  ;  ;  ;  ; 10 ; 333985 ; 79 
 5540 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 333985 ; 79 
 5541 ; Бона иностранная ;  ;  ;  ;  ; 10 ; 333985 ; 79 
 5542 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Valerik ; 54 
 5543 ; Бона иностранная ;  ;  ;  ;  ; 15 ; 312 ; 16 
 5544 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Yamilov ; 102 
 5545 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Yamilov ; 102 
 5546 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Yamilov ; 102 
 5547 ; Бона иностранная ;  ;  ;  ;  ; 4 ; тикси3 ; 35 
 5548 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Рубчик ; 30 
 5549 ; Бона иностранная ;  ;  ;  ;  ; 12 ; doc2 ; 414 
 5550 ; Бона иностранная ;  ;  ;  ;  ; 7 ; doc2 ; 34 
 5551 ; Бона иностранная ;  ;  ;  ;  ; 31 ; bagsy ; 293 
 5552 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 333985 ; 79 
 5553 ; Бона иностранная ;  ;  ;  ;  ; 10 ; mmmm ; 79 
 5554 ; Бона иностранная ;  ;  ;  ;  ; 11 ; mmmm ; 79 
 5555 ; Бона иностранная ;  ;  ;  ;  ; 18 ; bagsy ; 120 
 5556 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 312 ; 18 
 5557 ; Бона иностранная ;  ;  ;  ;  ; 13 ; yuvg ; 163 
 5558 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Valerik ; 176 
 5559 ; Бона иностранная ;  ;  ;  ;  ; 16 ; _Владимир_ ; 101 
 5560 ; Бона иностранная ;  ;  ;  ;  ; 31 ; pref ; 73 
 5561 ; Бона иностранная ;  ;  ;  ;  ; 10 ; 333985 ; 51 
 5562 ; Бона иностранная ;  ;  ;  ;  ; 17 ; 333985 ; 89 
 5563 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kuder ; 29 
 5564 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 333985 ; 27 
 5565 ; Бона иностранная ;  ;  ;  ;  ; 17 ; 333985 ; 60 
 5566 ; Бона иностранная ;  ;  ;  ;  ; 31 ; вулканолог ; 95 
 5567 ; Бона иностранная ;  ;  ;  ;  ; 31 ; alesjane ; 202 
 5568 ; Бона иностранная ;  ;  ;  ;  ; 4 ; вулканолог ; 27 
 5569 ; Бона иностранная ;  ;  ;  ;  ; 5 ; велес ; 30 
 5570 ; Бона иностранная ;  ;  ;  ;  ; 10 ; 312 ; 18 
 5571 ; Бона иностранная ;  ;  ;  ;  ; 10 ; mudritos ; 106 
 5572 ; Бона иностранная ;  ;  ;  ;  ; 9 ; mudritos ; 99 
 5573 ; Бона иностранная ;  ;  ;  ;  ; 6 ; я8844 ; 90 
 5574 ; Бона иностранная ;  ;  ;  ;  ; 9 ; smel ; 110 
 5575 ; Бона иностранная ;  ;  ;  ;  ; 7 ; yuvg ; 101 
 5576 ; Бона иностранная ;  ;  ;  ;  ; 7 ; attila375 ; 115 
 5577 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Моряк-собиратель ; 295 
 5578 ; Бона иностранная ;  ;  ;  ;  ; 4 ; я8844 ; 12 
 5579 ; Бона иностранная ;  ;  ;  ;  ; 5 ; canario ; 33 
 5580 ; Бона иностранная ;  ;  ;  ;  ; 15 ; я8844 ; 248 
 5581 ; Бона иностранная ;  ;  ;  ;  ; 16 ; vladmarkin ; 111 
 5582 ; Бона иностранная ;  ;  ;  ;  ; 19 ; sts ; 204 
 5583 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 4758 ; 22 
 5584 ; Бона иностранная ;  ;  ;  ;  ; 13 ; canario ; 130 
 5415 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 11 ; ALANIA19851979 ; 1000 
 5416 ; 5 рублейь г. Одессы ; 1917 ;  ;  ;  ; 14 ; verunk1 ; 2244 
 5417 ; 50 рублей ; 1961 ; билет ;  ;  ; 8 ; Ftog ; 847 
 5418 ; 25 рублей ; 1961 ; билет ;  ;  ; 8 ; Ftog ; 839 
 5419 ; Облигация на 1000 рублей ; 1910 ;  ;  ;  ; 25 ; Ustin ; 827 
 5420 ; Облигация в 125 рублей ; 1889 ;  ;  ;  ; 19 ; Ustin ; 687 
 5421 ; Лот облигаций 2 шт ;  ;  ;  ;  ; 37 ; master_mt5 ; 1857 
 5422 ; Облигация Латвия ; 1937 ;  ;  ;  ; 25 ; bva150979 ; 530 
 5423 ; Лот бон России 5 шт ; 2014 ;  ;  ;  ; 34 ; maks169 ; 815 
 5424 ; Лот бон России 5 шт ; 2014 ;  ;  ;  ; 25 ; Звездолёты ; 746 
 5425 ; Лот бон России 5 шт ; 2014 ;  ;  ;  ; 35 ; sub215 ; 815 
 5426 ; Лот билетов МММ (98шт) ;  ;  ;  ;  ; 22 ; bagsy ; 510 
 5427 ; Лот билетов МММ (91шт) ;  ;  ;  ;  ; 10 ; bagsy ; 500 
 5428 ; Лот бон (5шт) ;  ;  ;  ;  ; 25 ; nov6362 ; 297 
 5429 ; Лот бон (5шт) ;  ;  ;  ;  ; 25 ; nov6362 ; 300 
 5430 ; Чек на 10 копеек ;  ;  ;  ;  ; 15 ; antona ; 24 
 5501 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 2128508 ; 50 
 5502 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 2128508 ; 50 
 5503 ; Бона иностранная ;  ;  ;  ;  ; 13 ; 2128508 ; 50 
 5504 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 2128508 ; 50 
 5505 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Скрудж ; 41 
 5506 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 41 
 5507 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 41 
 5508 ; Бона иностранная ;  ;  ;  ;  ; 4 ; alapabula ; 38 
 5509 ; Бона иностранная ;  ;  ;  ;  ; 5 ; alapabula ; 38 
 5510 ; Бона иностранная ;  ;  ;  ;  ; 4 ; alapabula ; 38 
 5511 ; Бона иностранная ;  ;  ;  ;  ; 10 ; 333985 ; 18 
 5512 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Скрудж ; 43 
 5513 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Bacek ; 12 
 5514 ; Бона иностранная ;  ;  ;  ;  ; 13 ; canario ; 142 
 5515 ; Бона иностранная ;  ;  ;  ;  ; 11 ; вулканолог ; 58 
 5516 ; Бона иностранная ;  ;  ;  ;  ; 9 ; pref ; 51 
 5517 ; Бона иностранная ;  ;  ;  ;  ; 18 ; mmmm ; 153 
 5518 ; Бона иностранная ;  ;  ;  ;  ; 7 ; canario ; 31 
 5519 ; Бона иностранная ;  ;  ;  ;  ; 27 ; mmmm ; 113 
 5520 ; Бона иностранная ;  ;  ;  ;  ; 11 ; иг64 ; 30 
 5521 ; Бона иностранная ;  ;  ;  ;  ; 19 ; alesjane ; 108 
 5522 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Hamlet ; 120 
 5523 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 333985 ; 39 
 5524 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 333985 ; 45 
 5525 ; Бона иностранная ;  ;  ;  ;  ; 14 ; 333985 ; 45 
 5526 ; Бона иностранная ;  ;  ;  ;  ; 14 ; alesjane ; 59 
 5527 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Hamlet ; 70 
 5528 ; Бона иностранная ;  ;  ;  ;  ; 15 ; alesjane ; 306 
 5529 ; Бона иностранная ;  ;  ;  ;  ; 57 ; Valerik ; 290 
 5530 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 333985 ; 28 
 5531 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Рубчик ; 81 
 5532 ; Бона иностранная ;  ;  ;  ;  ; 16 ; alesjane ; 152 
 5533 ; Бона иностранная ;  ;  ;  ;  ; 21 ; tss ; 126 
 5534 ; Бона иностранная ;  ;  ;  ;  ; 12 ; pref ; 124 
 5365 ; 1 копейка ; 1924 ; Разменные казн.боны ;  ;  ; 44 ; bagsy ; 1836 
 5366 ; 2 копейки ; 1924 ; Разменные казн.боны ;  ;  ; 30 ; Жигурда ; 1473 
 5367 ; 3 копейки ; 1924 ; Разменные казн.боны ;  ;  ; 29 ; sts ; 1536 
 5368 ; 5 копеек ; 1924 ; Разменные казн.боны ;  ;  ; 38 ; Carca^ss ; 2039 
 5369 ; 1 рубль ; 1934 ; Гос.казначейские билеты ;  ;  ; 67 ; yuvg ; 2039 
 5370 ; 3 рубля ; 1934 ; Гос.казначейские билеты ;  ;  ; 35 ; yuvg ; 2493 
 5371 ; 5 рублей ; 1934 ; Гос.казначейские билеты ;  ;  ; 48 ; flutter ; 1400 
 5372 ; 5 рублей ; 1934 ; Гос.казначейские билеты ;  ;  ; 32 ; rvsru888 ; 751 
 5373 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 32 ; елец ; 408 
 5374 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 38 ; Ustin ; 1479 
 5375 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 10 ; елец ; 82 
 5376 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 43 ; елец ; 1022 
 5377 ; 3 червонца ; 1937 ; Билет ;  ;  ; 45 ; elac ; 933 
 5378 ; 1 червонец ; 1937 ; Билет ;  ;  ; 24 ; molodes ; 255 
 5379 ; 100 рублей ; 1947 ; билет ;  ;  ; 28 ; sts ; 1027 
 5380 ; Лот бон 7 шт ; 1961 ;  ;  ;  ; 33 ; Skilfulsun ; 1134 
 5381 ; Лот бон 10 рублей, 5 шт ; 1991 ;  ;  ; AU ; 30 ; mmmm ; 601 
 5382 ; Лот бон 5 рублей, 5 шт ; 1991 ;  ;  ; AU ; 26 ; mmmm ; 571 
 5383 ; Лот бон 3 рубля, 5 шт ; 1991 ;  ;  ; AU ; 39 ; 462 ; 527 
 5384 ; Лот бон 1 рубль, 10 шт ; 1991 ;  ;  ; AU ; 21 ; 462 ; 166 
 5385 ; 100 рублей ; 1991 ; билет ;  ; AU ; 49 ; архыз ; 668 
 5386 ; 1000 рублей ; 1991 ; билет ;  ;  ; 10 ; Masik ; 204 
 5387 ; 50 рублей ; 1992 ; билет ;  ; AU ; 66 ; flutter ; 824 
 5388 ; 500 рублей ; 1992 ; билет ;  ; AU ; 25 ; Waldemar ; 238 
 5389 ; 5000 рублей ; 1992 ; банкнота ;  ; AU ; 34 ; 462 ; 173 
 5390 ; 10000 рублей ; 1992 ; банкнота ;  ; AU ; 39 ; k212 ; 677 
 5391 ; 50000 рублей ; 1993 ; банкнота ;  ;  ; 50 ; yuvg ; 3468 
 5392 ; 10000 рублей ; 1993 ; банкнота ;  ;  ; 26 ; архыз ; 459 
 5393 ; 10000 рублей ; 1993 ; банкнота ;  ;  ; 29 ; John16 ; 435 
 5394 ; 10000 рублей ; 1993 ; банкнота ;  ;  ; 19 ; solder13 ; 419 
 5395 ; 5000 рублей ; 1994 ; банкнота ;  ;  ; 39 ; Skilfulsun ; 1173 
 5396 ; Лот бон России 3 шт ; 1993 ;  ;  ; AU ; 49 ; Masik ; 648 
 5397 ; 5000 рублей ; 1995 ; банкнота ;  ;  ; 24 ; Masik ; 1020 
 5398 ; 1000 рублей ; 1995 ; банкнота ;  ; AU ; 27 ; Waldemar ; 500 
 5399 ; 5 рублей ; 1997 ; банкнота ;  ; AU ; 39 ; Waldemar ; 535 
 5400 ; 10 рублей ; 1997 ; банкнота ;  ; AU ; 30 ; Technics ; 413 
 5401 ; 50 рублей ; 1997 ; банкнота ;  ;  ; 9 ; SANGOLD1 ; 51 
 5402 ; 100 рублей ; 1997 ; банкнота ;  ;  ; 42 ; Грач ; 793 
 5403 ; Лот бон 1000 и 10000 рублей ; 1919 ;  ;  ;  ; 21 ; Звездолёты ; 624 
 5404 ; Лот бон 2 шт ;  ;  ;  ;  ; 51 ; Aviator4 ; 1120 
 5405 ; 10000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 27 ; sharapov.s21 ; 1300 
 5406 ; 1000 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 54 ; Gyron ; 4307 
 5407 ; 50 копеек ; 1923 ; Денежные знаки (с рисунком монеты) ;  ;  ; 55 ; intelligent4 ; 1025 
 5408 ; 25000 рублей ; 1922 ; Армения ;  ;  ; 38 ; dmivanych ; 694 
 5409 ; 500 рублей ; 1919 ; Азербайджан ;  ;  ; 21 ; SANGOLD1 ; 615 
 5410 ; Лот бон 4 шт ; 1947 ;  ;  ;  ; 99 ; Aviator4 ; 1487 
 5411 ; 10000 рублей ; 1993 ; банкнота ;  ;  ; 68 ; ashep ; 834 
 5412 ; Лот бон 9 шт ; 1992-93 ;  ;  ;  ; 42 ; Звездолёты ; 401 
 5413 ; Лот бон 1000 рублей 20 шт ; 1993 ;  ;  ;  ; 38 ; molodes ; 497 
 5414 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 13 ; verunk1 ; 889 
 5315 ; Лот бон 5 рублей, 4 шт. (Коншин) ; 1909 ;  ;  ;  ; 7 ; nov6362 ; 153 
 5316 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 21 ; dali ; 141 
 5317 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 7 ; lelik13821 ; 114 
 5318 ; Лот бон 5 рублей, 5 шт ; 1909 ;  ;  ;  ; 7 ; nov6362 ; 214 
 5319 ; 3 рубля ; 1905 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 9 ; rvsru888 ; 134 
