 151 ; Копейка  (Петров-12р, Ильин-8р) ; 1815 ; ЕМ НМ ; Cu ; F ; 42 ; Misha ; 16320 
 176 ; Лот монет Хорезмской Народной Республики: 20,25  руб (2шт) ;  ;  ;  ; VF ; 67 ; Продано в зале ; 16000 
 177 ; Лот монет Тувинской Народной Республики: 10,15,20 коп (3шт) ; 1934 ;  ; Ni ; F+/VF ; 45 ; vic-dmitri ; 21000 
 178 ; Лот монет Тувинской Народной Республики: 1,2,3,5 коп (4шт) ; 1934 ;  ; Br ; F+/VF ; 51 ; Аргонавт ; 24000 
 179 ; Лот монет Острова Шпицберген "Арктикуголь" 10,15,20,50 коп (4шт) ; 1946 ;  ; Ni,Al/Br ; VF+/XF ; 80 ; Аргонавт ; 20000 
 101 ; 5 копеек ; 1850 ; СПБ ПА ; Ag ; XF ; 55 ; Продано в зале ; 19000 
 102 ; 5 копеек ; 1851 ; СПБ ПА ; Ag ; XF ; 36 ; lesnik1 ; 2800 
 103 ; 5 копеек ; 1860 ; СПБ ФБ ; Ag ; XF ; 23 ; gelo ; 4386 
 104 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; XF+ ; 113 ; I3 ; 9000 
 105 ; 5 копеек ; 1864 ; СПБ НФ ; Ag ; XF ; 51 ; gelo ; 4557 
 106 ; 5 копеек ; 1865 ; СПБ НФ ; Ag ; XF ; 96 ; lesnik1 ; 4600 
 107 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 106 ; Augsburg ; 10000 
 108 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; XF+ ; 42 ; Продано в зале ; 5250 
 109 ; 5 копеек ; 1880 ; СПБ НФ ; Ag ; XF+ ; 32 ; I3 ; 8500 
 110 ; 1,5 рубля-10 злотых ; 1836 ; НГ Рус.-Пол. ; Ag ; XF- ; 55 ; нумизмат ; 24000 
 111 ; Талер ; 1798 ; для княжества йевер ;  ; XF ; 52 ; Sky2 ; 110000 
 112 ; Двойной абаз ; 1812 ; АТ Грузия ; Ag ; VF ; 21 ; нумизмат ; 10500 
 113 ; Двойной абаз ; 1827 ; АТ Грузия ; Ag ; VF-XF ; 44 ; Продано в зале ; 21000 
 114 ; 10 копеек ; 1768 ; КМ "Сибирь" ; Cu ; VF ; 14 ; кабан ; 9500 
 115 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; XF ; 60 ; ваня ; 28000 
 116 ; 5 копеек ; 1763 ; ЕМ ; Cu ; VF ; 15 ; Rossol ; 943 
 117 ; 5 копеек. Перечекан ; 1763 ; ЕМ ; Cu ; VF ; 55 ; Alexdav ; 2825 
 118 ; 5 копеек ; 1764 ; СМ ; Cu ; VF- ; 67 ; kirill899 ; 9500 
 119 ; 5 копеек ; 1764 ; СМ ; Cu ; VF ; 55 ; CapsulЪ ; 6500 
 120 ; 5 копеек ; 1764 ; СПМ ; Cu ; VF ; 93 ; kirill899 ; 21000 
 121 ; 5 копеек ; 1777 ; КМ "Сибирь" ; Cu ; XF ; 38 ; Demenzia ; 13000 
 122 ; 5 копеек (Петров-2,5р. Ильин-2р.) ; 1806 ; КМ ; Cu ; VF ; 25 ; Demenzia ; 7250 
 123 ; 4 копейки ; 1762 ;  ; Cu ; VF ; 74 ; Demenzia ; 40000 
 124 ; 3 копейки ; 1881 ; СПБ ; Cu ; AU ; 100 ; Augsburg ; 40000 
 125 ; 2 копейки (Петров-10р, Ильин-5р) ; 1760 ; Гурт надп. ЕКАТЕРИНБУРГ ; Cu ; F+ ; 44 ; Брат ; 12000 
 126 ; 2 копейки ; 18 век ;  ; Cu ; F+ ; 20 ; кабан ; 3800 
 127 ; 2 копейки ; 1764 ; СПМ ; Cu ; VF ; 18 ; $@€ ; 2400 
 128 ; 2 копейки ; 1776 ; ЕМ ; Cu ; VF+ ; 50 ; Аргонавт ; 4200 
 129 ; 2 копейки ; 1778 ; ЕМ ; Cu ; VF+ ; 48 ; Продано в зале ; 3200 
 130 ; 2 копейки ; 1788 ; ММ ; Cu ; VF+ ; 19 ; CapsulЪ ; 3600 
 131 ; 2 копейки (Петров-3,5р. Ильин-8р.) ; 1794 ; АМ ; Cu ; VF ; 62 ; Demenzia ; 42000 
 132 ; 2 копейки (Петров-20р. Ильин-10р.) ; 1795 ; АМ ; Cu ; F-VF ; 72 ; Брат ; 67500 
 133 ; 2 копейки (Ильин-3р). Перечекан с 2 пара-3 копейки ; 1795 ; ММ Павл.перечекан ; Cu ; F-VF ; 72 ; Demenzia ; 85000 
 134 ; 2 копейки ; 1796 ; ЕМ ; Cu ; VF+ ; 20 ; m-antique ; 4400 
 135 ; 2 копейки ; 1798 ; ЕМ ; Cu ; VF+ ; 38 ; Аргонавт ; 3000 
 136 ; 2 копейки ; 1802 ; ЕМ ; Cu ; VF+ ; 53 ; Продано в зале ; 14500 
 137 ; 2 копейки (Ильин-3р) ; 1810 ; ЕМ НМ ; Cu ; VF- ; 63 ; Аргонавт ; 11500 
 138 ; 2 копейки. Аверс/Реверс 15 градусов ; 1810 ; СПБ ФГ ; Cu ; VF ; 38 ; Продано в зале ; 5000 
 139 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; XF ; 24 ; Продано в зале ; 4000 
 140 ; 2 копейки ; 1811 ; ЕМ НМ ; Cu ; XF ; 25 ; CapsulЪ ; 2200 
 141 ; 2 копейки ; 1811 ; ЕМ НМ ; Cu ; XF ; 44 ; Продано в зале ; 22000 
 142 ; 2 копейки  (Петров-10р, Ильин-5р) ; 1814 ; ИМ ; Cu ; F ; 50 ; kirill899 ; 7500 
 143 ; 2 копейки (Петров-2р, Ильин-1р) ; 1817 ; КМ ДБ ; Cu ; F+ ; 25 ; Cherpoy ; 2400 
 144 ; 2 копейки ; 1824 ; КМ АМ ; Cu ; XF ; 8 ; Augsburg ; 2000 
 145 ; 2 копейки ; 1835 ; СМ ; Cu ; VF-XF ; 97 ; Augsburg ; 5250 
 146 ; 2 копейки ; 1840 ; СМ ; Cu ; VF+ ; 34 ; ваня ; 5000 
 147 ; 2 копейки ; 1881 ; СПБ ; Cu ; AU ; 90 ; МихаилЩ ; 40000 
 148 ; Копейка  (Петров-15р, Ильин-20р) ; 1763 ; ЕМ ; Cu ; F- ; 19 ; Cherpoy ; 3876 
 149 ; Копейка ; 1811 ; ЕМ НМ ; Cu ; VF-XF ; 19 ; Продано в зале ; 3000 
 150 ; Копейка ; 1813 ; ИМ ПС ; Cu ; VF+ ; 43 ; CapsulЪ ; 8000 
 51 ; Рубль ; 1874 ; СПБ HI ; Ag ; XF ; 67 ; магаз ; 36000 
 52 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; AU ; 51 ; maka ; 27000 
 53 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF ; 51 ; Augsburg ; 28000 
 54 ; Рубль ; 1886 ; (АГ) ; Ag ; VF-XF ; 43 ; Alexdav ; 20000 
 55 ; Рубль ; 1892 ; (АГ) ; Ag ; XF+ ; 60 ; sax ; 52500 
 56 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF ; 44 ; vit2503 ; 30000 
 57 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF- ; 42 ; PamVan ; 34000 
 58 ; Рубль ; 1897 ; ( ** ) ; Ag ; AU ; 46 ; Zoltan 333 ; 18000 
 59 ; Рубль ; 1898 ; (АГ) На открытие памятника Александру II ; Ag ; XF ; 56 ; snupi ; 175000 
 60 ; Рубль ; 1899 ; ( ** ) ; Ag ; XF+ ; 71 ; Продано в зале ; 16000 
 61 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 67 ; Танзан ; 24000 
 62 ; Полтина ; 1719 ;  ; Ag ; VF- ; 59 ; маманя ; 37708 
 63 ; Полтина (Петров-3р, Ильин-3р) ; 1731 ;  ; Ag ; VF+ ; 60 ; Обломов ; 48347 
 64 ; Полтина ; 1828 ; СПБ НГ ; Ag ; VF ; 48 ; Продано в зале ; 8000 
 65 ; Полтина ; 1857 ; СПБ ФБ ; Ag ; XF ; 62 ; Танзан ; 7000 
 66 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 25 ; Продано в зале ; 11000 
 67 ; Полтина ; 1894 ; (АГ) ; Ag ; AU ; 41 ; терминатор 3000 ; 44000 
 68 ; 25 копеек ; 1829 ; СПБ НГ ; Ag ; XF ; 36 ; sdv75-2010 ; 10000 
 69 ; 25 копеек ; 1850 ; СПБ ПА ; Ag ; XF+ ; 22 ; Augsburg ; 4000 
 70 ; 25 копеек ; 1856 ; СПБ ФБ ; Ag ; XF+ ; 17 ; Augsburg ; 3800 
 71 ; 25 копеек ; 1856 ; СПБ ФБ ; Ag ; XF+ ; 29 ; snupi ; 4000 
 72 ; 25 копеек ; 1858 ; СПБ ФБ ; Ag ; XF ; 31 ; Ok203 ; 3746 
 73 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 48 ; m-antique ; 5807 
 74 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; XF- ; 39 ; Танзан ; 15000 
 75 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; XF+ ; 35 ; snupi ; 30000 
 76 ; 25 копеек ; 1896 ; АГ ; Ag ; XF ; 52 ; vic-dmitri ; 13000 
 77 ; 20 копеек ; 1778 ; СПБ ; Ag ; VF-XF ; 35 ; gelo ; 8835 
 78 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; AU ; 47 ; терминатор 3000 ; 17000 
 79 ; 20 копеек ; 1838 ; СПБ НГ ; Ag ; XF ; 31 ; m-antique ; 3638 
 80 ; 20 копеек ; 1849 ; СПБ ПА ; Ag ; XF- ; 34 ; магаз ; 2600 
 81 ; 20 копеек ; 1850 ; СПБ ПА ; Ag ; XF- ; 25 ; Augsburg ; 4000 
 82 ; 20 копеек ; 1852 ; СПБ ПА ; Ag ; XF+ ; 27 ; Augsburg ; 5500 
 83 ; 20 копеек ; 1859 ; СПБ ФБ ; Ag ; XF ; 75 ; lesnik1 ; 8500 
 84 ; 20 копеек ; 1866 ; СПБ HI ; Ag ; AU ; 47 ; Хаа ; 6500 
 85 ; 20 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 37 ; lesnik1 ; 1600 
 86 ; 20 копеек ; 1875 ; СПБ HI ; Ag ; XF+ ; 24 ; snupi ; 1700 
 87 ; 20 копеек ; 1888 ; СПБ АГ ; Ag ; AU ; 65 ; DBM ; 11000 
 88 ; 15 копеек ; 1861 ; СПБ МИ ; Ag ; XF ; 83 ; Продано в зале ; 29000 
 89 ; 15 копеек ; 1883 ; СПБ ДС ; Ag ; AU ; 79 ; niki ; 16000 
 90 ; 10 копеек ; 1860 ; СПБ ФБ ; Ag ; VF+ ; 62 ; taa ; 6250 
 91 ; 10 копеек ; 1882 ; СПБ НФ ; Ag ; XF ; 17 ; Белый Плен ; 4649 
 92 ; 10 копеек ; 1900 ; СПБ ФЗ ; Ag ; AU ; 35 ; Продано в зале ; 8500 
 93 ; 10 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 50 ; Продано в зале ; 5250 
 94 ; 10 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 50 ; Аргонавт ; 5750 
 95 ; 10 копеек ; 1917 ; ВС ; Ag ; XF+ ; 27 ; atchaikovski ; 10760 
 96 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; AU ; 50 ; Продано в зале ; 9500 
 97 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; AU ; 51 ; Продано в зале ; 5800 
 98 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; VF-XF ; 34 ; Обломов ; 2559 
 99 ; 5 копеек ; 1830 ; СПБ НГ ; Ag ; VF+ ; 72 ; DBM ; 7500 
 100 ; 5 копеек ; 1830 ; СПБ НГ ; Ag ; XF- ; 53 ; Valera G ; 3050 
 1 ; Платежный слиток. Гривна. Новгородского типа. M-199,1г. L-129мм ;  ; Новгородская ;  ;  ; 38 ; Аргонавт ; 24000 
 2 ; Платежный слиток. Гривна. Новгородского типа. M-200,5г. L-145мм ;  ; Новгородская ; Ag ;  ; 48 ; Аргонавт ; 24000 
 3 ; Дукат. Нидерланды. . Петербургской чеканки. М-3,37г ; 1830 ;  ; Ag ; VF-XF ; 29 ; Vitek99 ; 21000 
 4 ; 5 рублей. М-6,5г ; 1842 ; СПБ АЧ ; Au ; VF-XF ; 24 ; Ravak_1981 ; 51392 
 5 ; 3 рубля. М-3,89г ; 1872 ; СПБ НI ; Au ; VF-XF ; 75 ; Vitek99 ; 110000 
 6 ; 3 рубля. М-10,27г ; 1834 ; СПБ ; Pt ; VF- ; 39 ; mefodin ; 65654 
 7 ; 3 рубля. М-10,3г ; 1842 ; СПБ ; Pt ; VF ; 56 ; Vitek99 ; 85000 
 8 ; Рубль ; 1722 ;  ; Ag ; VF+ ; 40 ; PamVan ; 72989 
 9 ; Рубль ; 1723 ; ОК ; Ag ; VF+ ; 51 ; КОРЕНЬ ; 50000 
 10 ; Рубль. ВСЕРОСNCKNI. Очень редок ; 1724 ;  ; Ag ; XF ; 76 ; КОРЕНЬ ; 94452 
 11 ; Рубль ; 1725 ; ОК ; Ag ; VF-XF ; 52 ; Ravak_1981 ; 42389 
 12 ; Рубль ; 1726 ; СПБ ; Ag ; VF ; 57 ; магаз ; 40000 
 13 ; Рубль ; 1728 ;  ; Ag ; VF-XF ; 60 ; PamVan ; 49472 
 14 ; Рубль ; 1732 ;  ; Ag ; VF+ ; 27 ; Колян ; 18000 
 15 ; Рубль ; 1734 ;  ; Ag ; VF-XF ; 29 ; j7 ; 25000 
 16 ; Рубль ; 1738 ; СПБ ; Ag ; XF- ; 17 ; sdv75-2010 ; 28000 
 17 ; Рубль. Особый портрет, с большой головой ; 1742 ; ММД ; Ag ; VF+ ; 49 ; ВС ; 62500 
 18 ; Рубль ; 1750 ; СПБ ; Ag ; VF+ ; 12 ; PamVan ; 25000 
 19 ; Рубль ; 1750 ; ММД ; Ag ; VF-XF ; 13 ; Misha ; 26000 
 20 ; Рубль ; 1758 ; СПБ НК TI ; Ag ; XF ; 52 ; gelo ; 110000 
 21 ; Рубль ; 1762 ; ММД ДМ ; Ag ; VF-XF ; 41 ; КОРЕНЬ ; 89777 
 22 ; Рубль ; 1764 ; СПБ СА TI ; Ag ; XF- ; 19 ; PamVan ; 19380 
 23 ; Рубль ; 1768 ; СПБ СА TI ; Ag ; VF-XF ; 31 ; vit2503 ; 17244 
 24 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF/XF+ ; 42 ; top1 ; 23000 
 25 ; Рубль ; 1781 ; СПБ ИЗ ; Ag ; AU ; 56 ; Augsburg ; 44000 
 26 ; Рубль (Ильин-3р) ; 1807 ; СПБ ФГ ; Ag ; XF- ; 51 ; магаз ; 67500 
 27 ; Рубль ; 1808 ; СПБ МК ; Ag ; XF- ; 43 ; Strim ; 57500 
 28 ; Рубль ; 1815 ; СПБ МФ ; Ag ; VF+ ; 3 ; PamVan ; 10000 
 29 ; Рубль (Ильин-3р) ; 1816 ; СПБ ПС ; Ag ; XF- ; 30 ; КОРЕНЬ ; 20156 
 30 ; Рубль (Ильин-4р) ; 1817 ; СПБ ПС ; Ag ; VF+ ; 20 ; Колян ; 9000 
 31 ; Рубль ; 1818 ; СПБ ПС ; Ag ; AU ; 73 ; Augsburg ; 46000 
 32 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF+ ; 46 ; NikTop ; 14000 
 33 ; Рубль ; 1818 ; СПБ СП ; Ag ; XF ; 44 ; Продано в зале ; 43000 
 34 ; Рубль (Петров-3р) ; 1825 ; СПБ НГ ; Ag ; XF ; 44 ; КОРЕНЬ ; 31090 
 35 ; Рубль ; 1827 ; СПБ НГ ; Ag ; XF ; 34 ; КОРЕНЬ ; 45949 
 36 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF- ; 31 ; vic-dmitri ; 13000 
 37 ; Рубль (Ильин-5р) ; 1835 ; СПБ НГ ; Ag ; XF- ; 36 ; КОРЕНЬ ; 52589 
 38 ; Рубль (Ильин-4р) ; 1837 ; СПБ НГ ; Ag ; VF-XF ; 30 ; Колян ; 20000 
 39 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF ; 43 ; Augsburg ; 10000 
 40 ; Рубль (Ильин-5р) ; 1842 ; СПБ АЧ ; Ag ; XF ; 30 ; vedomosti ; 23256 
 41 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF ; 48 ; top1 ; 14000 
 42 ; Рубль ; 1848 ; СПБ HI ; Ag ; XF ; 39 ; anna53 ; 15166 
 43 ; Рубль (Ильин-10р) ; 1851 ; СПБ ПА ; Ag ; XF- ; 35 ; КОРЕНЬ ; 78800 
 44 ; Рубль (Петров-4р) ; 1852 ; СПБ HI ; Ag ; XF+ ; 27 ; КОРЕНЬ ; 69564 
 45 ; Рубль ; 1856 ; СПБ ФБ ; Ag ; XF- ; 36 ; магаз ; 21000 
 46 ; Рубль ; 1857 ; СПБ ФБ ; Ag ; XF- ; 42 ; КОРЕНЬ ; 45053 
 47 ; Рубль (Петров-3р) ; 1858 ; СПБ ФБ ; Ag ; XF+ ; 43 ; КОРЕНЬ ; 65200 
 48 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; XF+ ; 39 ; КОРЕНЬ ; 68459 
 49 ; Рубль ; 1867 ; СПБ HI ; Ag ; XF+ ; 59 ; магаз ; 44000 
 50 ; Рубль ; 1867 ; СПБ HI ; Ag ; XF+ ; 46 ; Augsburg ; 36000 
