 5840 ; Акция. США ; 1975 ;  ;  ;  ; 18 ; инкогнито ; 408 
 5813 ; Бона иностранная ;  ;  ;  ;  ; 29 ; газета ; 50 
 5814 ; Лот бон иностранных 4 шт ;  ;  ;  ;  ; 19 ; bavarov008 ; 216 
 5815 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 31 ; Slava O ; 320 
 5816 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 25 ; Папа с рацией ; 291 
 5817 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 19 ; cotangens ; 214 
 5818 ; Бона иностранная ;  ;  ;  ;  ; 24 ; инкогнито ; 59 
 5819 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Виталий 64 ; 306 
 5820 ; Лот нотгельдов 3 шт ;  ;  ;  ;  ; 22 ; Скрудж ; 83 
 5821 ; Лот нотгельдов 7 шт ;  ;  ;  ;  ; 15 ; kn157736 ; 215 
 5822 ; Лот нотгельдов 6 шт ;  ;  ;  ;  ; 22 ; smel ; 192 
 5823 ; Лот нотгельдов 4 шт ;  ;  ;  ;  ; 19 ; smel ; 129 
 5824 ; Лот нотгельдов 10 шт ;  ;  ;  ;  ; 25 ; kn157736 ; 357 
 5825 ; Лот нотгельдов 10 шт ;  ;  ;  ;  ; 21 ; smel ; 324 
 5826 ; Лот нотгельдов 10 шт ;  ;  ;  ;  ; 24 ; smaci ; 306 
 5827 ; Лот нотгельдов 10 шт ;  ;  ;  ;  ; 15 ; smaci ; 306 
 5828 ; Лот нотгельдов 10 шт ;  ;  ;  ;  ; 31 ; kn157736 ; 357 
 5829 ; Бона иностранная ;  ;  ;  ;  ; 47 ; yosya ; 2144 
 5830 ; Бона иностранная ;  ;  ;  ;  ; 57 ; natalka0909 ; 216 
 5831 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 25 ; наташа2712 ; 405 
 5832 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 20 ; Опятор ; 227 
 5833 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 25 ; прохожий ; 89 
 5834 ; Бона иностранная ;  ;  ;  ;  ; 13 ; .gk ; 261 
 5835 ; Бона иностранная ;  ;  ;  ;  ; 21 ; tss ; 114 
 5836 ; Бона иностранная ;  ;  ;  ;  ; 32 ; газета ; 136 
 5837 ; Лот бон 3 шт ;  ;  ;  ;  ; 18 ; СЁМА ; 567 
 5838 ; Бона иностранная Финляндия 50 марок ; 1986 ;  ;  ;  ; 34 ; nikfed ; 714 
 5839 ; Бона иностранная ;  ;  ;  ;  ; 9 ; сербос1975 ; 35 
 5556 ; Бона иностранная ;  ;  ;  ;  ; 8 ; нумизмат ; 93 
 5557 ; Бона иностранная ;  ;  ;  ;  ; 16 ; demodex ; 40 
 5558 ; Бона иностранная ;  ;  ;  ;  ; 12 ; val211 ; 35 
 5559 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Gorood ; 36 
 5560 ; Бона иностранная ;  ;  ;  ;  ; 13 ; сербос1975 ; 164 
 5561 ; Бона иностранная ;  ;  ;  ;  ; 9 ; tss ; 35 
 5562 ; Бона иностранная ;  ;  ;  ;  ; 11 ; pref ; 36 
 5563 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Jek327 ; 216 
 5564 ; Бона иностранная ;  ;  ;  ;  ; 35 ; 333985 ; 104 
 5565 ; Бона иностранная ;  ;  ;  ;  ; 15 ; jugla ; 114 
 5566 ; Бона иностранная ;  ;  ;  ;  ; 25 ; наташа2712 ; 106 
 5567 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 333985 ; 90 
 5568 ; Бона иностранная ;  ;  ;  ;  ; 11 ; нв1975 ; 60 
 5569 ; Бона иностранная ;  ;  ;  ;  ; 22 ; цеховик ; 101 
 5570 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Monata ; 125 
 5571 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Виталий 64 ; 101 
 5572 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Monata ; 104 
 5573 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ask ; 35 
 5574 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Запруда ; 66 
 5575 ; Бона иностранная ;  ;  ;  ;  ; 9 ; pref ; 36 
 5576 ; Бона иностранная ;  ;  ;  ;  ; 34 ; nikfed ; 160 
 5577 ; Бона иностранная ;  ;  ;  ;  ; 16 ; 333985 ; 58 
 5578 ; Бона иностранная ;  ;  ;  ;  ; 17 ; bva150979 ; 108 
 5579 ; Бона иностранная ;  ;  ;  ;  ; 28 ; Папа с рацией ; 85 
 5580 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Папа с рацией ; 69 
 5581 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 333985 ; 89 
 5582 ; Бона иностранная ;  ;  ;  ;  ; 11 ; наташа2712 ; 101 
 5583 ; Бона иностранная ;  ;  ;  ;  ; 12 ; наташа2712 ; 101 
 5584 ; Бона иностранная ;  ;  ;  ;  ; 17 ; kn157736 ; 150 
 5585 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 333985 ; 185 
 5586 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Maksss163 ; 30 
 5587 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Maksss163 ; 30 
 5588 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Папа с рацией ; 107 
 5589 ; Бона иностранная ;  ;  ;  ;  ; 18 ; наташа2712 ; 50 
 5590 ; Бона иностранная ;  ;  ;  ;  ; 15 ; я8844 ; 153 
 5591 ; Бона иностранная ;  ;  ;  ;  ; 14 ; g-s-m-78 ; 38 
 5592 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Maksss163 ; 30 
 5593 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Maksss163 ; 30 
 5594 ; Бона иностранная ;  ;  ;  ;  ; 19 ; наташа2712 ; 50 
 5595 ; Бона иностранная ;  ;  ;  ;  ; 12 ; pref ; 37 
 5596 ; Бона иностранная ;  ;  ;  ;  ; 13 ; наташа2712 ; 110 
 5597 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Maksss163 ; 30 
 5598 ; Бона иностранная ;  ;  ;  ;  ; 13 ; 4758 ; 45 
 5599 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 333985 ; 79 
 5600 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Maksss163 ; 32 
 5601 ; Бона иностранная ;  ;  ;  ;  ; 11 ; трутень ; 50 
 5602 ; Бона иностранная ;  ;  ;  ;  ; 9 ; jlo ; 45 
 5603 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Maksss163 ; 30 
 5604 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Maksss163 ; 30 
 5605 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Maksss163 ; 30 
 5506 ; Бона иностранная ;  ;  ;  ;  ; 13 ; mart_si ; 104 
 5507 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Maksss163 ; 30 
 5508 ; Бона иностранная ;  ;  ;  ;  ; 11 ; kn157736 ; 102 
 5509 ; Бона иностранная ;  ;  ;  ;  ; 13 ; kn157736 ; 102 
 5510 ; Бона иностранная ;  ;  ;  ;  ; 11 ; kn157736 ; 102 
 5511 ; Бона иностранная ;  ;  ;  ;  ; 11 ; kn157736 ; 102 
 5512 ; Бона иностранная ;  ;  ;  ;  ; 12 ; kn157736 ; 101 
 5513 ; Бона иностранная ;  ;  ;  ;  ; 12 ; kn157736 ; 101 
 5514 ; Бона иностранная ;  ;  ;  ;  ; 12 ; kn157736 ; 101 
 5515 ; Бона иностранная ;  ;  ;  ;  ; 11 ; kn157736 ; 35 
 5516 ; Бона иностранная ;  ;  ;  ;  ; 12 ; kn157736 ; 101 
 5517 ; Бона иностранная ;  ;  ;  ;  ; 10 ; kn157736 ; 101 
 5518 ; Бона иностранная ;  ;  ;  ;  ; 12 ; kn157736 ; 101 
 5519 ; Бона иностранная ;  ;  ;  ;  ; 16 ; kn157736 ; 101 
 5520 ; Бона иностранная ;  ;  ;  ;  ; 12 ; kn157736 ; 101 
 5521 ; Бона иностранная ;  ;  ;  ;  ; 10 ; kn157736 ; 101 
 5522 ; Бона иностранная ;  ;  ;  ;  ; 19 ; kn157736 ; 102 
 5523 ; Бона иностранная ;  ;  ;  ;  ; 21 ; газета ; 50 
 5524 ; Бона иностранная ;  ;  ;  ;  ; 7 ; pref ; 35 
 5525 ; Бона иностранная ;  ;  ;  ;  ; 11 ; газета ; 55 
 5526 ; Бона иностранная ;  ;  ;  ;  ; 19 ; газета ; 54 
 5527 ; Бона иностранная ;  ;  ;  ;  ; 25 ; газета ; 53 
 5528 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Майкл ; 153 
 5529 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Майкл ; 153 
 5530 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Майкл ; 153 
 5531 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Майкл ; 153 
 5532 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Майкл ; 153 
 5533 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Майкл ; 153 
 5534 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Майкл ; 153 
 5535 ; Бона иностранная ;  ;  ;  ;  ; 19 ; kn157736 ; 132 
 5536 ; Бона иностранная ;  ;  ;  ;  ; 17 ; kn157736 ; 135 
 5537 ; Бона иностранная ;  ;  ;  ;  ; 19 ; kn157736 ; 135 
 5538 ; Бона иностранная ;  ;  ;  ;  ; 12 ; kn157736 ; 135 
 5539 ; Бона иностранная ;  ;  ;  ;  ; 24 ; kn157736 ; 193 
 5540 ; Бона иностранная ;  ;  ;  ;  ; 20 ; kn157736 ; 142 
 5541 ; Бона иностранная ;  ;  ;  ;  ; 18 ; kn157736 ; 142 
 5542 ; Бона иностранная ;  ;  ;  ;  ; 14 ; kn157736 ; 152 
 5543 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 333985 ; 99 
 5544 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Моряк-собиратель ; 420 
 5545 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Fliege1 ; 324 
 5546 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Maksss163 ; 30 
 5547 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Maksss163 ; 30 
 5548 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Maksss163 ; 30 
 5549 ; Бона иностранная ;  ;  ;  ;  ; 8 ; наташа2712 ; 123 
 5550 ; Бона иностранная ;  ;  ;  ;  ; 20 ; наташа2712 ; 101 
 5551 ; Бона иностранная ;  ;  ;  ;  ; 9 ; val211 ; 35 
 5552 ; Бона иностранная ;  ;  ;  ;  ; 9 ; val211 ; 35 
 5553 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Jek327 ; 41 
 5554 ; Бона иностранная ;  ;  ;  ;  ; 6 ; bva150979 ; 119 
 5555 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 2128508 ; 151 
 5356 ; Лот бон 4 шт. 1,25,100,500 рублей ; 1918 ;  ;  ;  ; 36 ; Алек ; 254 
 5357 ; 100000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 24 ; Gorood ; 362 
 5358 ; Лот бон 3 шт. 25,50,100 рублей ; 1918 ;  ;  ;  ; 22 ; alik434 ; 431 
 5359 ; Лот бон 3 шт. 10,500,1000 рублей ; 1918 ;  ;  ;  ; 23 ; alik434 ; 367 
 5360 ; 1 червонец ; 1937 ; Билет ;  ;  ; 20 ; Artemon ; 1043 
 5361 ; 10 червонцев ; 1937 ; Билет ;  ;  ; 33 ; Artemon ; 1118 
 5362 ; 500 рублей ; 1992 ; билет ;  ;  ; 23 ; kn157736 ; 209 
 5363 ; Лот бон 4 шт. ; 1991-1993 ;  ;  ;  ; 27 ; Рыцарь ; 89 
 5364 ; Лот бон 3 шт. 1 рубль ; 1898 ;  ;  ;  ; 22 ; cr2952 ; 153 
 5365 ; 50000 рублей ; 1993 ; банкнота ;  ;  ; 25 ; Gyron ; 1918 
 5366 ; 50000 рублей ; 1994 ; банкнота ;  ;  ; 30 ; dvn2010 ; 801 
 5367 ; 50000 рублей ; 1994 ; банкнота ;  ;  ; 13 ; Artemon ; 920 
 5368 ; Лот бон 3 шт. 1,3,5 рублей ; 1898-1909 ;  ;  ;  ; 9 ; ga2012 ; 100 
 5369 ; 100 рублей ; 1910 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 30 ; vladimir12 ; 331 
 5370 ; 1000 рублей ; 1919 ;  ;  ;  ; 21 ; ZIMOGOR ; 450 
 5371 ; Бона 100 рублей. Сочи 2014. Серия аа ;  ;  ;  ;  ; 15 ; sergei-ssn ; 201 
 5372 ; Бона 100 рублей. Сочи 2014. Серия аа ;  ;  ;  ;  ; 15 ; Ratmen ; 206 
 5373 ; Бона 100 рублей. Сочи 2014. Серия АА ;  ;  ;  ;  ; 10 ; Ratmen ; 203 
 5374 ; Бона 100 рублей. Сочи 2014. Серия АА ;  ;  ;  ;  ; 29 ; pref ; 203 
 5375 ; Бона 5 рублей г.Одесса ; 1917 ;  ;  ;  ; 75 ; xladon ; 510 
 5376 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ; AU ; 30 ; kn157736 ; 2607 
 5377 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 19 ; Ferros ; 450 
 5378 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 22 ; cr2952 ; 227 
 5379 ; 10 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 36 ; jugla ; 410 
 5380 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 29 ; РОМАШКА ; 351 
 5381 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 27 ; Artemon ; 561 
 5382 ; 10 червонцев ; 1937 ; Билет ;  ;  ; 24 ; VLCH ; 306 
 5383 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 23 ; WOLSCHARA ; 159 
 5384 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 32 ; Четырехлистник ; 312 
 5385 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 18 ; Starushka ; 561 
 5386 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 10 ; sedoy66 ; 46 
 5387 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 5 ; alex241 ; 41 
 5388 ; 10 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 16 ; max2008 ; 55 
 5389 ; 10 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 14 ; Рыцарь ; 51 
 5390 ; 10 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 12 ; Ритм ; 72 
 5391 ; 5 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ;  ; 21 ; смит ; 700 
 5392 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 16 ; кузнец ; 53 
 5393 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 8 ; кузнец ; 46 
 5394 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 6 ; Дядя Боб ; 35 
 5395 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 6 ; Дядя Боб ; 35 
 5396 ; 25000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 17 ; Волк33 ; 663 
 5397 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 39 ; Четырехлистник ; 729 
 5398 ; 100 рублей ; 1910 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 17 ; molodes ; 270 
 5399 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 34 ; sedoy66 ; 342 
 5400 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 17 ; GERo ; 378 
 5501 ; Бона иностранная ;  ;  ;  ;  ; 7 ; mart_si ; 50 
 5502 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Maksss163 ; 30 
 5503 ; Бона иностранная ;  ;  ;  ;  ; 17 ; .gk ; 216 
 5504 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Maksss163 ; 30 
 5505 ; Бона иностранная ;  ;  ;  ;  ; 13 ; nikfed ; 87 
 5306 ; 3 рубля ; 1898 ; Тимашев. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 21 ; RusScat ; 6234 
 5307 ; Лот 1 рубль. 2 шт ; 1898 ;  ;  ;  ; 12 ; bonist-3A ; 308 
 5308 ; Лот 2,3,5 копеек ;  ;  ;  ;  ; 38 ; bavarov008 ; 617 
 5309 ; 1000 рублей ; 1919 ;  ;  ;  ; 31 ; Alks75 ; 403 
 5310 ; 10000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 21 ; nils5 ; 1734 
 5311 ; Лот бон 1,3,5,10,25 рублей ; 1918 ;  ;  ;  ; 19 ; Алек ; 408 
 5312 ; 5 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 36 ; инкогнито ; 1556 
 5313 ; Лот бон 5 шт. 5000,10000,25000,50000,100000 рублей ; 1921 ;  ;  ;  ; 24 ; alex241 ; 1092 
 5314 ; Лот бон 2 шт. 500 и 1000 рублей ; 1921 ;  ;  ;  ; 8 ; газета ; 102 
 5315 ; Лот бон 2 шт. 500 и 1000 рублей ; 1922 ;  ;  ;  ; 31 ; Виталий 64 ; 1223 
 5316 ; Лот бон 4 шт.5,100,250,1000 рублей ; 1923 ;  ;  ;  ; 40 ; mart_si ; 1631 
 5317 ; 3 рубля ; 1925 ; Гос.казначейские билеты СССР ;  ;  ; 31 ; nikfed ; 4590 
 5318 ; 1 червонец ; 1926 ; Шейнман. Билет ;  ;  ; 47 ; nikfed ; 3570 
 5319 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 20 ; bonist-3A ; 680 
 5320 ; 1 червонец ; 1937 ; Билет ;  ;  ; 32 ; fouli ; 153 
 5321 ; 3 червонца ; 1937 ; Билет ;  ;  ; 25 ; alik434 ; 579 
 5322 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 39 ; lesnik1 ; 516 
 5323 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 24 ; nils5 ; 714 
 5324 ; 5 рублей ; 1947 ; Гос.казначейский билет ;  ;  ; 55 ; xladon ; 2928 
 5325 ; 50 рублей ; 1947 ; билет ;  ;  ; 51 ; кузяка ; 566 
 5326 ; 5 рублей ; 1920 ; Денежный знак Дальне-Восточной республикиДенежный знак Дальне-Восточной республики ;  ;  ; 26 ; USS ; 579 
 5327 ; Лот бон 3 шт. 200,5000,10000 рублей ; 1992 ;  ;  ;  ; 27 ; Carca^ss ; 816 
 5328 ; Лот бон 2 шт. 5000 и 10000 рублей ; 1993 ;  ;  ;  ; 13 ; Gyron ; 1010 
 5329 ; Лот бон 2 шт. 5000 и 100000 рублей ; 1995 ;  ;  ;  ; 22 ; molodes ; 716 
 5330 ; 5 рублей ; 1997 ; банкнота ;  ;  ; 28 ; bavarov008 ; 184 
 5331 ; Талон 5 копеек "АРКТИКУГОЛЬ" ;  ;  ;  ;  ; 27 ; Ratmen ; 1020 
 5332 ; Облигация 100 рублей ; 1943 ;  ;  ;  ; 45 ; инкогнито ; 767 
 5333 ; Облигация 100 рублей ; 1946 ;  ;  ;  ; 17 ; yuri.gruzdev ; 227 
 5334 ; Облигация 100 рублей ; 1951 ;  ;  ;  ; 17 ; yuri.gruzdev ; 82 
 5335 ; Лотерейный билет ; 1941 ;  ;  ;  ; 15 ; luchsva ; 261 
 5336 ; 3 рубля ; 1919 ; Гос.кредитный билет "Северная Россия" ;  ;  ; 21 ; alex241 ; 2102 
 5337 ; 3 рубля ; 1934 ; Гос.казначейские билеты ;  ;  ; 19 ; bva150979 ; 2039 
 5338 ; 3 рубля ; 1934 ; Гос.казначейские билеты ;  ;  ; 18 ; nils5 ; 842 
 5339 ; 5 рублей ; 1934 ; Гос.казначейские билеты ;  ;  ; 58 ; den84 ; 330 
 5340 ; Лот бон 3 и 5 рублей, 7 шт ;  ;  ;  ;  ; 40 ; kop ; 1199 
 5341 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 25 ; cr2952 ; 308 
 5342 ; 1 рубль. Однолитерный ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 18 ; alex241 ; 1836 
 5343 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 26 ; РОМАШКА ; 351 
 5344 ; 3 рубля. Однолитерная ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 29 ; alex241 ; 1134 
 5345 ; Лот бон 3 рубля, 5 шт ; 1938 ;  ;  ;  ; 65 ; kop ; 765 
 5346 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 25 ; termogaz ; 236 
 5347 ; Лот бон 5 рублей, 5 шт ; 1938 ;  ;  ;  ; 82 ; kop ; 558 
 5348 ; 5 марок золотом ; 1897 ; Финляндия билет ;  ;  ; 44 ; скорпион_48 ; 1794 
 5349 ; 500 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 26 ; nils5 ; 2039 
 5350 ; 500 рублей ; 1919 ;  ;  ;  ; 31 ; Baisel ; 2817 
 5351 ; 1000 рублей ; 1919 ;  ;  ;  ; 18 ; andreyM ; 406 
 5352 ; 500 рублей ; 1918 ;  ;  ;  ; 21 ; solder13 ; 387 
