 3299 ; Бона иностранная ;  ;  ;  ;  ; 16 ; and000 ; 43 
 3283 ; Бона иностранная ;  ;  ;  ;  ; 26 ; den_ff ; 73 
 3284 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Михалыч ; 50 
 3285 ; Бона иностранная ;  ;  ;  ;  ; 28 ; den_ff ; 79 
 3286 ; Бона иностранная ;  ;  ;  ;  ; 11 ; ds133 ; 29 
 3287 ; Бона иностранная ;  ;  ;  ;  ; 14 ; kro ; 87 
 3288 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Grod ; 30 
 3289 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Михалыч ; 30 
 3290 ; Бона иностранная ;  ;  ;  ;  ; 19 ; shmatko24 ; 89 
 3291 ; Бона иностранная ;  ;  ;  ;  ; 36 ; Peugene ; 85 
 3292 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Peugene ; 87 
 3293 ; Бона иностранная ;  ;  ;  ;  ; 15 ; kro ; 28 
 3294 ; Бона иностранная ;  ;  ;  ;  ; 25 ; dimon-2007 ; 40 
 3295 ; Бона иностранная ;  ;  ;  ;  ; 19 ; smel ; 183 
 3296 ; Бона иностранная ;  ;  ;  ;  ; 5 ; ds133 ; 31 
 3297 ; Бона иностранная ;  ;  ;  ;  ; 36 ; MAD_B ; 36 
 3298 ; Бона иностранная ;  ;  ;  ;  ; 8 ; shmatko24 ; 70 
 3199 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Захар ; 15 
 3200 ; Бона иностранная ;  ;  ;  ;  ; 14 ; von_Schwarz ; 16 
 3201 ; Бона иностранная ;  ;  ;  ;  ; 3 ; ds133 ; 19 
 3202 ; Бона иностранная ;  ;  ;  ;  ; 3 ; ds133 ; 19 
 3203 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Захар ; 13 
 3204 ; Бона иностранная ;  ;  ;  ;  ; 4 ; alex995 ; 12 
 3205 ; Бона иностранная ;  ;  ;  ;  ; 7 ; surf2k5 ; 14 
 3206 ; Бона иностранная ;  ;  ;  ;  ; 3 ; dnm ; 11 
 3207 ; Бона иностранная ;  ;  ;  ;  ; 4 ; alex995 ; 12 
 3208 ; Бона иностранная ;  ;  ;  ;  ; 7 ; skir ; 17 
 3209 ; Бона иностранная ;  ;  ;  ;  ; 6 ; dimon-2007 ; 30 
 3210 ; Бона иностранная ;  ;  ;  ;  ; 10 ; kro ; 55 
 3211 ; Бона иностранная ;  ;  ;  ;  ; 14 ; vanamo ; 20 
 3212 ; Бона иностранная ;  ;  ;  ;  ; 30 ; Михалыч ; 62 
 3213 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Peugene ; 98 
 3214 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Захар ; 28 
 3215 ; Бона иностранная ;  ;  ;  ;  ; 18 ; den_ff ; 36 
 3216 ; Бона иностранная ;  ;  ;  ;  ; 12 ; dimon-2007 ; 29 
 3217 ; Бона иностранная ;  ;  ;  ;  ; 26 ; kro ; 83 
 3218 ; Бона иностранная ;  ;  ;  ;  ; 50 ; Coins911 ; 69 
 3219 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Peugene ; 75 
 3220 ; Бона иностранная ;  ;  ;  ;  ; 19 ; den_ff ; 51 
 3221 ; Бона иностранная ;  ;  ;  ;  ; 6 ; таня ; 30 
 3222 ; Бона иностранная ;  ;  ;  ;  ; 5 ; alex995 ; 14 
 3223 ; Бона иностранная ;  ;  ;  ;  ; 14 ; den_ff ; 15 
 3224 ; Бона иностранная ;  ;  ;  ;  ; 17 ; dimon-2007 ; 33 
 3225 ; Бона иностранная ;  ;  ;  ;  ; 15 ; cochu ; 15 
 3226 ; Бона иностранная ;  ;  ;  ;  ; 7 ; kro ; 20 
 3227 ; Бона иностранная ;  ;  ;  ;  ; 24 ; cochu ; 129 
 3228 ; Бона иностранная ;  ;  ;  ;  ; 5 ; dnm ; 14 
 3229 ; Бона иностранная ;  ;  ;  ;  ; 4 ; alex995 ; 13 
 3230 ; Бона иностранная ;  ;  ;  ;  ; 11 ; spektr ; 71 
 3231 ; Бона иностранная ;  ;  ;  ;  ; 8 ; den_ff ; 47 
 3232 ; Бона иностранная ;  ;  ;  ;  ; 40 ; Михалыч ; 53 
 3233 ; Бона иностранная ;  ;  ;  ;  ; 36 ; cochu ; 95 
 3234 ; Бона иностранная ;  ;  ;  ;  ; 14 ; ds133 ; 18 
 3235 ; Бона иностранная ;  ;  ;  ;  ; 23 ; lesnik1 ; 100 
 3236 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Peugene ; 63 
 3237 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Peugene ; 43 
 3238 ; Бона иностранная ;  ;  ;  ;  ; 21 ; dimitri ; 27 
 3239 ; Бона иностранная ;  ;  ;  ;  ; 15 ; jj ; 25 
 3240 ; Бона иностранная ;  ;  ;  ;  ; 6 ; jj ; 26 
 3241 ; Бона иностранная ;  ;  ;  ;  ; 5 ; von_Schwarz ; 20 
 3242 ; Бона иностранная ;  ;  ;  ;  ; 8 ; shmatko24 ; 32 
 3243 ; Бона иностранная ;  ;  ;  ;  ; 4 ; den_ff ; 20 
 3244 ; Бона иностранная ;  ;  ;  ;  ; 10 ; den_ff ; 33 
 3245 ; Бона иностранная ;  ;  ;  ;  ; 31 ; spektr ; 100 
 3246 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Захар ; 87 
 3247 ; Бона иностранная ;  ;  ;  ;  ; 40 ; kro ; 87 
 3248 ; Бона иностранная ;  ;  ;  ;  ; 10 ; 542 ; 320 
 3149 ; 100 злотых. Польша ; 1932 ;  ;  ;  ; 50 ; Михалыч ; 152 
 3150 ; 5 злотых. Польша ; 1941 ;  ;  ;  ; 42 ; ICEK ; 405 
 3151 ; 10 злотых. Польша ; 1948 ;  ;  ;  ; 9 ; Copirchik ; 349 
 3152 ; 50 злотых. Польша ; 1946 ;  ;  ;  ; 9 ; ICEK ; 373 
 3153 ; 25 песет. Испания ; 1928 ;  ;  ;  ; 33 ; димитрий ; 124 
 3154 ; 25 песет. Испания ; 1931 ;  ;  ;  ; 11 ; dog009 ; 510 
 3155 ; 25 песет. Испания ; 1954 ;  ;  ;  ; 7 ; 542 ; 373 
 3156 ; 50 песет. Испания ; 1928 ;  ;  ;  ; 22 ; den_ff ; 212 
 3157 ; 50 песет. Испания ; 1931 ;  ;  ;  ; 13 ; proletarium ; 368 
 3158 ; 5 песет. Испания ; 1951 ;  ;  ;  ; 7 ; 542 ; 184 
 3159 ; 10 песет. Испания ; 1935 ;  ;  ;  ; 27 ; dog009 ; 347 
 3160 ; 50 сантимов. Испания ; 1937 ;  ;  ;  ; 19 ; dog009 ; 348 
 3161 ; 100 песет. Испания ; 1925 ;  ;  ;  ; 19 ; den_ff ; 211 
 3162 ; 100 песет. Испания ; 1931 ;  ;  ;  ; 29 ; smel ; 383 
 3163 ; 100 песет. Испания ; 1965 ;  ;  ;  ; 17 ; den_ff ; 240 
 3164 ; 100 песет. Испания ; 1970 ;  ;  ;  ; 7 ; ds133 ; 105 
 3165 ; 1000 песет. Испания ; 1971 ;  ;  ;  ; 11 ; димитрий ; 111 
 3166 ; 1 песета. Испания ; 1945 ;  ;  ;  ; 9 ; 542 ; 169 
 3167 ; 1 песета. Испания ; 1953 ;  ;  ;  ; 17 ; Михалыч ; 71 
 3168 ; 1 песета. Испания ; 1937 ;  ;  ;  ; 11 ; MG ; 336 
 3169 ; 1 гульден. Нидерланды ; 1949 ;  ;  ;  ; 5 ; димитрий ; 234 
 3170 ; 1 лира ; 1918 ;  ;  ;  ; 8 ; MG ; 212 
 3171 ; 1000 левов. Болгария ; 1942 ;  ;  ;  ; 24 ; von_Schwarz ; 843 
 3172 ; 1 крона ; 1941 ;  ;  ;  ; 11 ; MG ; 150 
 3173 ; 10 крон ; 1942 ;  ;  ;  ; 5 ; MG ; 220 
 3174 ; 10 крон ; 1943 ;  ;  ;  ; 3 ; MG ; 210 
 3175 ; 50 крон ; 1944 ;  ;  ;  ; 3 ; MG ; 262 
 3176 ; 1 песо. Аргентина ;  ;  ;  ;  ; 13 ; dog009 ; 199 
 3177 ; Листовка ; 1944 ;  ;  ;  ; 47 ; aleksander73 ; 163 
 3178 ; Листовка ; 1944 ;  ;  ;  ; 27 ; and000 ; 311 
 3179 ; 50 копеек (6 шт.) ; 1915 ;  ;  ;  ; 40 ; natallli ; 66 
 3180 ; 5 рублей (45 шт.) ; 1909 ;  ;  ;  ; 39 ; joy ; 922 
 3181 ; Бона иностранная ;  ;  ;  ;  ; 14 ; vanamo ; 26 
 3182 ; Бона иностранная ;  ;  ;  ;  ; 20 ; ppp ; 30 
 3183 ; Бона иностранная ;  ;  ;  ;  ; 16 ; von_Schwarz ; 27 
 3184 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Михалыч ; 29 
 3185 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Михалыч ; 31 
 3186 ; Бона иностранная ;  ;  ;  ;  ; 13 ; ppp ; 32 
 3187 ; Бона иностранная ;  ;  ;  ;  ; 19 ; natallli ; 28 
 3188 ; Бона иностранная ;  ;  ;  ;  ; 13 ; ppp ; 32 
 3189 ; Бона иностранная ;  ;  ;  ;  ; 16 ; MAD_B ; 26 
 3190 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Михалыч ; 31 
 3191 ; Бона иностранная ;  ;  ;  ;  ; 29 ; von_Schwarz ; 29 
 3192 ; Бона иностранная ;  ;  ;  ;  ; 18 ; таня ; 18 
 3193 ; Бона иностранная ;  ;  ;  ;  ; 15 ; таня ; 16 
 3194 ; Бона иностранная ;  ;  ;  ;  ; 21 ; ppp ; 30 
 3195 ; Бона иностранная ;  ;  ;  ;  ; 19 ; von_Schwarz ; 29 
 3196 ; Бона иностранная ;  ;  ;  ;  ; 7 ; surf2k5 ; 14 
 3197 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Захар ; 14 
 3198 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Dimm ; 14 
 3099 ; 100 рублей ; 1898 ; Плеске. Гос.кредитные билеты 1 ;  ;  ; 17 ; MG ; 6763 
 3100 ; 1000000 рублей ; 1921 ; Обязательства РСФСР 1921 г.  ;  ;  ; 90 ; бездельник22 ; 5347 
 3101 ; 100 рублей. Государственная рента ;  ;  ;  ;  ; 30 ; fen ; 720 
 3102 ; Акция металлургического общества ; 1900 ;  ;  ;  ; 28 ; 1000 ; 362 
 3103 ; Акция металлургического общества ; 1900 ;  ;  ;  ; 18 ; KKK ; 357 
 3104 ; Акция Южно-Русского Днепровского металлургического об-ва ; 1898 ;  ;  ;  ; 9 ; 1000 ; 408 
 3105 ; Облигация. Тифлис ; 1885 ;  ;  ;  ; 20 ; 1000 ; 419 
 3106 ; Акция. Выборг ; 1898 ;  ;  ;  ; 50 ; 1000 ; 1020 
 3107 ; Акция. Государев Байрак ; 1899 ;  ;  ;  ; 24 ; 1000 ; 415 
 3108 ; Акция. Государев Байрак ; 1899 ;  ;  ;  ; 29 ; hanir ; 512 
 3109 ; Акция С.-Петербург ; 1912 ;  ;  ;  ; 34 ; 1000 ; 370 
 3110 ; Акция С.-Петербург ; 1912 ;  ;  ;  ; 22 ; joy ; 638 
 3111 ; Акция. Донецк ; 1895 ;  ;  ;  ; 27 ; 1000 ; 351 
 3112 ; Акция. Донецк ; 1895 ;  ;  ;  ; 97 ; 1000 ; 424 
 3113 ; Акция. Киев ; 1905 ;  ;  ;  ; 17 ; 1000 ; 367 
 3114 ; Облигация ; 1894 ;  ;  ;  ; 9 ; skir ; 260 
 3115 ; Облигация ; 1894 ;  ;  ;  ; 8 ; 1000 ; 161 
 3116 ; Облигация ; 1894 ;  ;  ;  ; 10 ; 1000 ; 209 
 3117 ; Облигация ; 1894 ;  ;  ;  ; 8 ; 1000 ; 161 
 3118 ; Облигация ; 1894 ;  ;  ;  ; 20 ; 1000 ; 206 
 3119 ; Облигация ; 1894 ;  ;  ;  ; 19 ; 1000 ; 251 
 3120 ; Облигация ; 1895 ;  ;  ;  ; 61 ; 1000 ; 408 
 3121 ; 5000 рублей. Ростов ; 1919 ;  ;  ;  ; 20 ; hotin ; 943 
 3122 ; 50 рублей ; 1915 ;  ;  ;  ; 18 ; shmatko24 ; 459 
 3123 ; 100 рублей ; 1915 ;  ;  ;  ; 89 ; 1396 ; 434 
 3124 ; 10 рублей. Облигация ; 1954 ;  ;  ;  ; 7 ; Grod ; 33 
 3125 ; 25 рублей. Облигация ; 1954 ;  ;  ;  ; 7 ; Grod ; 33 
 3126 ; 50 рублей. Облигация ; 1954 ;  ;  ;  ; 8 ; Grod ; 34 
 3127 ; 50 рублей. Облигация ; 1947 ;  ;  ;  ; 8 ; fen ; 453 
 3128 ; 50 рублей. Облигация ; 1938 ;  ;  ;  ; 23 ; fen ; 567 
 3129 ; 25 рублей. Облигация ; 1940 ;  ;  ;  ; 26 ; fen ; 408 
 3130 ; 25 рублей. Облигация ; 1948 ;  ;  ;  ; 19 ; 1396 ; 206 
 3131 ; 25 рублей. Облигация ; 1949 ;  ;  ;  ; 29 ; fen ; 437 
 3132 ; 25 рублей. Облигация ; 1952 ;  ;  ;  ; 14 ; Grisha7 ; 148 
 3133 ; 25 рублей. Облигация ; 1953 ;  ;  ;  ; 10 ; Grod ; 36 
 3134 ; 25 рублей. Облигация ; 1945 ;  ;  ;  ; 36 ; fen ; 310 
 3135 ; 25 рублей. Облигация ; 1948 ;  ;  ;  ; 20 ; 25dec ; 375 
 3136 ; 500 рублей. Облигация ; 1946 ;  ;  ;  ; 27 ; Grisha7 ; 1030 
 3137 ; 500 франков. Мадагаскар ;  ;  ;  ;  ; 17 ; and000 ; 47 
 3138 ; 1 крона ; 1920 ;  ;  ;  ; 47 ; Copirchik ; 151 
 3139 ; 10 крон ; 1920 ;  ;  ;  ; 7 ; Copirchik ; 220 
 3140 ; 20 крон ; 1920 ;  ;  ;  ; 5 ; Copirchik ; 218 
 3141 ; 1000 крон ; 1923 ;  ;  ;  ; 25 ; бездельник22 ; 412 
 3142 ; 1000 крон ; 1923 ;  ;  ;  ; 34 ; бездельник22 ; 432 
 3143 ; 1/2 марки. Польша ; 1917 ;  ;  ;  ; 5 ; ICEK ; 239 
 3144 ; 1 марка. Польша ; 1919 ;  ;  ;  ; 38 ; shmatko24 ; 199 
 3145 ; 1 марка. Польша ; 1919 ;  ;  ;  ; 45 ; ICEK ; 101 
 3146 ; 5 марок. Польша ; 1919 ;  ;  ;  ; 74 ; ICEK ; 146 
 3147 ; 20 марок. Польша ; 1919 ;  ;  ;  ; 49 ; ICEK ; 311 
 3148 ; 100 марок. Польша ; 1919 ;  ;  ;  ; 69 ; GREGORY_R ; 204 
 3049 ; 5 червонцев ; 1937 ; Билет  ;  ;  ; 43 ; джон007 ; 161 
 3050 ; 5 червонцев ; 1937 ; Билет  ;  ;  ; 20 ; skif ; 148 
 3051 ; 3 копейки. Квартблок ; 1915 ; Деньги-марки  ;  ; AU ; 16 ; Grisha7 ; 357 
 3052 ; 10 копеек. Квартблок ; 1915 ; Деньги-марки  ;  ; AU ; 89 ; shtuka ; 1078 
 3053 ; 15 копеек. Квартблок ; 1915 ; Деньги-марки  ;  ; AU ; 32 ; Grisha7 ; 250 
 3054 ; 20 копеек. Квартблок ; 1915 ; Деньги-марки  ;  ; AU ; 68 ; Grisha7 ; 837 
 3055 ; 3 копейки. Квартблок ; 1915 ; Деньги-марки  ;  ; AU ; 29 ; Copirchik ; 281 
 3056 ; 15 копеек. Квартблок ; 1915 ; Деньги-марки  ;  ; AU ; 19 ; Copirchik ; 255 
 3057 ; 50 копеек. Сибирское в.п. ; 1919 ;  ;  ; AU ; 44 ; hanir ; 340 
 3058 ; 60 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ; AU ; 28 ; Dj ; 510 
 3059 ; 100 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ; AU ; 24 ; SlavA ; 230 
 3060 ; 100 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ; AU ; 33 ; Dj ; 510 
 3061 ; 1 рубль ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 28 ; shtuka ; 1163 
 3062 ; 1 рубль ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 32 ; shtuka ; 469 
 3063 ; 1 рубль. Родзянко ; 1919 ;  ;  ; AU ; 14 ; Ksn ; 816 
 3064 ; 3 рубля. Родзянко ; 1919 ;  ;  ; AU ; 12 ; Ksn ; 918 
 3065 ; 10 рублей. Родзянко ; 1919 ;  ;  ; AU ; 24 ; Ksn ; 644 
 3066 ; 500 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ; AU ; 23 ; Dj ; 611 
 3067 ; 500 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ; AU ; 41 ; Dj ; 611 
 3068 ; 3 рубля ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 33 ; shtuka ; 1250 
 3069 ; 1000 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ; AU ; 36 ; Dj ; 611 
 3070 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 39 ; Dj ; 1451 
 3071 ; 100 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 31 ; Dj ; 1245 
 3072 ; 250 рублей   ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 22 ; Dj ; 1455 
 3073 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 21 ; Dj ; 612 
 3074 ; 1000 рублей ; 1918 ;  ;  ; AU ; 45 ; Dj ; 1468 
 3075 ; 1000 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 29 ; asru ; 212 
 3076 ; 5 рублей. Ташкент ; 1918 ; Туркестан  ;  ;  ; 31 ; Fedor_K ; 801 
 3077 ; 10 рублей. Ташкент ; 1918 ; Туркестан  ;  ;  ; 24 ; Copirchik ; 527 
 3078 ; 25 рублей. Ташкент ; 1918 ; Туркестан  ;  ;  ; 27 ; shmatko24 ; 695 
 3079 ; 100 рублей. Чита ; 1920 ;  ;  ;  ; 42 ; Copirchik ; 558 
 3080 ; 10 карбованцев ; 1918 ; Украина Знак Державноi скарбиц ;  ;  ; 19 ; Copirchik ; 359 
 3081 ; 3 рубля. Асмолов ; 1919 ;  ;  ;  ; 23 ; shmatko24 ; 800 
 3082 ; 10 рублей. Асмолов ; 1919 ;  ;  ;  ; 18 ; ura 57 ; 744 
 3083 ; 3 рубля. Русско-Азиатский банк ; 1919 ;  ;  ;  ; 42 ; Ilyas ; 2040 
 3084 ; 10 рублей. Чек Внешпосылторга ; 1976 ;  ;  ;  ; 12 ; Grisha7 ; 465 
 3085 ; 3 рубля. Бежицкий Ц. Р. К. ;  ;  ;  ;  ; 19 ; Ksn ; 1121 
 3086 ; 100 рублей ; 1918 ; Туркестан  ;  ;  ; 36 ; lelik ; 466 
 3087 ; 20 марок. Ковно ; 1918 ;  ;  ;  ; 31 ; ICEK ; 998 
 3088 ; 1000 рублей. Облигация (образец) ; 1992 ;  ;  ;  ; 36 ; hanir ; 202 
 3089 ; 50 марок. Ковно ; 1918 ;  ;  ;  ; 19 ; ICEK ; 1022 
 3090 ; 100 марок. Ковно ; 1918 ;  ;  ;  ; 22 ; ICEK ; 1022 
 3091 ; 1000 марок. Ковно ; 1918 ;  ;  ;  ; 19 ; ICEK ; 1479 
 3092 ; 2000 теньге. Бухара ; 1918 ;  ;  ;  ; 30 ; Dj ; 4081 
 3093 ; 5000 теньге. Бухара ; 1918 ;  ;  ;  ; 31 ; Dj ; 2040 
 3094 ; 500 рублей. Шелковка ; 1920 ; Хорезмская Республика  ;  ;  ; 80 ; Dj ; 21987 
 3095 ; 1 червонец ; 1922 ; Банковские билеты  ;  ;  ; 43 ; joy ; 4607 
 3096 ; 10 червонцев ; 1922 ; Банковские билеты  ;  ;  ; 90 ; Dj ; 20400 
 3097 ; 1000 рублей. Юденич ; 1919 ;  ;  ;  ; 24 ; 1396 ; 2447 
 3098 ; 100 рублей ; 1898 ; Тимашев 1903. Гос.кредитные би ;  ;  ; 77 ; Ilyas ; 4851 
 2755 ; "Набор монет Канады ""100 лет конфедерации"": 1 доллар, 50,25,10,5,1 центов (6шт)" ; 1967 ;  ; Ag,Cu/Ni,B ; AU ; 43 ; jagerV ; 1148 
 2756 ; Набор монет Ямайки: 1,5,10,20,25 центов, 1 доллар (6шт) ; 1969 ;  ; Cu/Ni,Br ; AU ; 35 ; RVK ; 192 
 3001 ; 3 копейки ; 1915 ; Деньги-марки  ;  ;  ; 27 ; Copirchik ; 138 
 3002 ; 15 копеек ; 1915 ; Деньги-марки  ;  ;  ; 32 ; wadwadwad ; 75 
 3003 ; 5 рублей. Амурское земство ; 1917 ;  ;  ;  ; 37 ; Ksn ; 665 
 3004 ; 25 рублей ; 1922 ;  ;  ;  ; 11 ; Grisha7 ; 255 
 3005 ; 50 рублей ; 1922 ; Гос.денежные знаки 1922 г.(обр ;  ;  ; 22 ; kostian1284 ; 790 
 3006 ; 25 рублей ; 1922 ; Гос.денежные знаки 1922 г.(обр ;  ;  ; 23 ; kostian1284 ; 567 
 3007 ; 5 рублей ; 1922 ; Гос.денежные знаки 1922 г.(обр ;  ;  ; 14 ; Grisha7 ; 425 
 3008 ; 1 рубль ;  ;  ;  ;  ; 29 ; Ksn ; 227 
 3009 ; 3 рубля ;  ;  ;  ;  ; 8 ; Ksn ; 227 
 3010 ; 5 рублей ;  ;  ;  ;  ; 10 ; Ksn ; 227 
 3011 ; 10 рублей ;  ;  ;  ;  ; 8 ; Ksn ; 227 
 3012 ; 25 рублей ;  ;  ;  ;  ; 22 ; Ksn ; 247 
 3013 ; 50 рублей ;  ;  ;  ;  ; 11 ; Ksn ; 227 
 3014 ; 100 рублей ;  ;  ;  ;  ; 22 ; Ksn ; 227 
 3015 ; 1 рубль ; 1934 ; Гос.казначейские билеты  ;  ;  ; 45 ; loyig ; 442 
 3016 ; 1 рубль ; 1934 ; Гос.казначейские билеты  ;  ;  ; 23 ; ВМШ ; 873 
 3017 ; 1 рубль ; 1934 ; Гос.казначейские билеты  ;  ;  ; 10 ; Grisha7 ; 1799 
 3018 ; 25 рублей ; 1961 ; билет  ;  ;  ; 11 ; selezsi ; 30 
 3019 ; 25 рублей ; 1961 ; билет  ;  ;  ; 22 ; Grod ; 64 
 3020 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР  ;  ;  ; 38 ; natallli ; 85 
 3021 ; 25 рублей. Обязательство ; 1919 ;  ;  ;  ; 7 ; evgen72 ; 115 
 3022 ; 25 рублей. Обязательство ; 1919 ;  ;  ;  ; 12 ; skif ; 152 
 3023 ; 50 рублей. Обязательство ; 1919 ;  ;  ;  ; 9 ; Grisha7 ; 174 
 3024 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР  ;  ;  ; 3 ; rlaura ; 306 
 3025 ; 5 рублей ; 1934 ; Гос.казначейские билеты  ;  ;  ; 31 ; ВМШ ; 1019 
 3026 ; 5 рублей. Однолитерная ; 1938 ; Гос.казначейские билеты СССР  ;  ;  ; 37 ; badiba-coin ; 801 
 3027 ; 500 рублей ; 1991 ; билет  ;  ;  ; 51 ; vlades ; 512 
 3028 ; 1000 рублей ; 1991 ; билет  ;  ;  ; 30 ; den_ff ; 219 
 3029 ; 100000 рублей ; 1995 ; банкнота  ;  ;  ; 18 ; ds133 ; 612 
 3030 ; 25 рублей. Юденич. 1 вып. ; 1919 ;  ;  ;  ; 56 ; hjk1974 ; 1061 
 3031 ; 5 рублей. Одесса ; 1917 ;  ;  ;  ; 29 ; 12457801 ; 161 
 3032 ; 3 рубля. Одесса ; 1917 ;  ;  ;  ; 29 ; 12457801 ; 523 
