 51 ; 2 копейки. Смещение заготовки ; 1842 ; ЕМ ; Cu ; XF- ; 40 ; asT ; 5000 
 76 ; 3 рубля. Надчеканка ; 1922 ; Николо-Павдиевский кооператив (Екатеринбург, 1922 г.) ;  ; XF- ; 39 ; seaman ; 22000 
 77 ; 15 копеек ; 1934 ; Тувинская Народная Республика ;  ; XF ; 71 ; Продано в зале ; 4200 
 78 ; Знак "В память 50-летия покорения Восточного Кавказа 1859-1909гг". Размеры: 43 на 53мм. М-24,18г ; 1909-1917 ;  ; Br,эмаль ; XF- ; 13 ; magnet8 ; 10199 
 79 ; Георгиевский крест III ст. №105790. Размеры: 34 на 41мм ; 1914-1915 ; Попов Сергей, рядовой, 145 пехотный Новочеркасский полк. «За отличие в бою 11.06.1915г». ; Ag ; VF+ ; 18 ; Продано в зале ; 19000 
 80 ; Георгиевская медаль 3 степени №31887. D-28мм ;  ; Попов Сергей, рядовой, 145 пехотный Новочеркасский полк. «За отличие в боях с австрийцами 22 октября по 27 ноября 1914г под Краковом». ; Ag ; VF+ ; 22 ; Продано в зале ; 10500 
 81 ; Георгиевская медаль 4 степени №169702. D-28мм ;  ; Попов Сергей, рядовой, 145 пехотный Новочеркасский полк. «За отличие в бою 15.09.1914г., где своим личным примером ободрял товарищей, чем способствовал успеху атаки». ; Ag ; VF+ ; 42 ; Продано в зале ; 6000 
 82 ; Георгиевская медаль 3 степени. Временное правительство. №274253. Петроградский монетный двор. D-28мм ;  ;  ; б/М ; XF- ; 58 ; capraz ; 10300 
 83 ; Жетон в память коронации Николая II. D-25мм ;  ;  ; Ag ; AU ; 19 ; Ученик ; 3570 
 84 ; Жетон. Морское инженерное училище. 6. XII. 1911г. Р-ры:34х20мм. М-6,37гр ;  ;  ; Ag ; AU ; 18 ; 015 ; 11220 
 85 ; Жетон. Большой театр. Гравировка: Е.А. Студеновой 12 сентября 1932г. Р-ры: 20х28мм. М-11,63гр ;  ;  ; Ag, эмаль ; AU ; 17 ; hugo ; 7140 
 86 ; Знак. Наркомхимпром. "Отличник соцсоревнования" "прорезной". №1550. С удостоверением №1550 ; 1939-1946 ;  ; Br,эмаль,винт ; VF ; 31 ; лена ; 7217 
 87 ; Знак ЛКВВИА "Ленинградская Краснознаменная Военно-воздушная инженерная академия" ;  ;  ; Ag,эмаль ; XF ; 36 ; лена ; 5102 
 1 ; Гривенник ; 1701 ; Новодел ;  ; AU ; 36 ; Продано в зале ; 41000 
 2 ; Рубль ; 1729 ;  ; Ag ; VF+ ; 73 ; Продано в зале ; 27000 
 3 ; Полтина (Ильин-10р) ; 1735 ;  ; Ag ; VF+ ; 31 ; RICH ; 36993 
 4 ; Полушка ; 1757 ; Новодел ; Cu ; XF+ ; 44 ; RICH ; 11222 
 5 ; Полтина (Петров-3р) ; 1762 ; СПБ НК ; Ag ; VF+ ; 20 ; 661 ; 53042 
 6 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 7 ; Рубль ; 1763 ; СПБ ЯI TI ; Ag ; XF+/XF ; 47 ; Продано в зале ; 23000 
 8 ; Рубль ; 1764 ; СПБ ЯI TI ; Ag ; XF/XF+ ; 37 ; DennisG ; 20400 
 9 ; Копейка ; 1765 ; Новодел ;  ; AU ; 41 ; alk711 ; 11000 
 10 ; Денга ; 1765 ; Новодел ;  ; AU ; 23 ; niki ; 15812 
 11 ; Полушка (Петров-3р) ; 1767 ; КМ "Сибирь" ; Cu ; VF- ; 28 ; Продано в зале ; 1600 
 12 ; Полушка (Петров-1,25р) ; 1768 ; КМ "Сибирь" ; Cu ; VF ; 23 ; Продано в зале ; 5500 
 13 ; 5 копеек ; 1769 ; ЕМ ; Cu ; VF-XF ; 25 ; niger ; 801 
 14 ; Денга ; 1769 ; КМ "Сибирь" ; Cu ; VF ; 25 ; Fedor_K ; 1100 
 15 ; Полушка ; 1769 ; КМ "Сибирь" ; Cu ; VF ; 37 ; Продано в зале ; 2200 
 16 ; Копейка ; 1771 ; КМ "Сибирь" ; Cu ; VF ; 43 ; Продано в зале ; 600 
 17 ; 2 копейки ; 1773 ; КМ "Сибирь" ; Cu ; VF ; 29 ; coinlover ; 1811 
 18 ; 5 копеек ; 1776 ; ЕМ ; Cu ; XF- ; 30 ; vvt ; 2154 
 19 ; Денга ; 1777 ; КМ "Сибирь" ; Cu ; VF ; 45 ; DennisG ; 716 
 20 ; 10 копеек ; 1780 ; КМ "Сибирь" ; Cu ; VF ; 32 ; 27477 ; 3650 
 21 ; 5 копеек ; 1782 ; КМ ; Cu ; VF-XF ; 25 ; alk711 ; 2126 
 22 ; 5 копеек ; 1783 ; КМ ; Cu ; XF ; 41 ; Продано в зале ; 2500 
 23 ; 5 копеек. М-41,44г ; 1788 ; ЕМ ; Cu ; XF ; 21 ; Ш И Ф ; 1000 
 24 ; 2 копейки (Петров-30р, Ильин-20р, редка) ; 1788 ; ТМ ; Cu ; F-VF ; 52 ; 27477 ; 18731 
 25 ; Копейка. Без букв.  Аннинский двор ; 1790 ; ЕМ ; Cu ; F-VF ; 55 ; capraz ; 10199 
 26 ; 20 копеек ; 1791 ; СПБ ; Ag ; VF-XF ; 57 ; Продано в зале ; 5300 
 27 ; Денга (Ильин-1р) ; 1791 ; КМ ; Cu ; VF ; 19 ; Продано в зале ; 1600 
 28 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF ; 13 ; SadKo ; 1836 
 29 ; Копейка ; 1797 ; ЕМ ; Cu ; VF-XF ; 40 ; Продано в зале ; 800 
 30 ; Копейка ; 1798 ; ЕМ ; Cu ; XF- ; 15 ; Продано в зале ; 1800 
 31 ; Копейка ; 1800 ; ЕМ ; Cu ; VF-XF ; 23 ; Продано в зале ; 1300 
 32 ; 5 копеек (Петров-2р, Ильин-1р) ; 1804 ; КМ ; Cu ; VF+ ; 27 ; 55-55 ; 4488 
 33 ; 5 копеек (Петров-2р, Ильин-1р) ; 1805 ; КМ ; Cu ; VF+ ; 39 ; Продано в зале ; 4500 
 34 ; Копейка (Ильин-1р) ; 1805 ; ЕМ ; Cu ; F-VF ; 32 ; якши37 ; 8254 
 35 ; Копейка ; 1820 ; ИМ ЯВ ; Cu ; VF+ ; 27 ; Продано в зале ; 650 
 36 ; Копейка ; 1822 ; ЕМ ФГ ; Cu ; XF- ; 55 ; vvt ; 3000 
 37 ; 2 копейки ; 1827 ; КМ АМ ; Cu ; VF-XF ; 27 ; Продано в зале ; 2600 
 38 ; Копейка ; 1828 ; ЕМ ИК ; Cu ; VF-XF ; 13 ; Продано в зале ; 2000 
 39 ; Копейка ; 1829 ; КМ АМ ; Cu ; VF ; 24 ; taa ; 236 
 40 ; Копейка ; 1832 ; ЕМ ФХ ; Cu ; VF+ ; 17 ; Продано в зале ; 900 
 41 ; Копейка ; 1833 ; ЕМ ФХ ; Cu ; VF+ ; 35 ; Продано в зале ; 650 
 42 ; Рубль ; 1834 ; "На открытие Александровской колонны" ; Ag ; VF-XF ; 42 ; 661 ; 56435 
 43 ; Рубль ; 1834 ; СПБ НГ ; Ag ; VF-XF ; 26 ; Net ; 4194 
 44 ; 10 копеек ; 1834 ; ЕМ ФХ ; Cu ; VF+ ; 96 ; RICH ; 10301 
 45 ; 5 копеек ; 1835 ; ЕМ ФХ ; Cu ; XF ; 30 ; DennisG ; 3725 
 46 ; Рубль ; 1837 ; СПБ НГ ; Ag ; VF-XF ; 26 ; якши37 ; 6185 
 47 ; 2 копейки ; 1837 ; ЕМ НА ; Cu ; AU/XF ; 58 ; verunk1 ; 9182 
 48 ; 10 копеек ; 1840 ; СПБ НГ ; Ag ; VF+ ; 29 ; monos72 ; 4000 
 49 ; 2 копейки ; 1840 ; ЕМ ; Cu ; VF ; 11 ; Продано в зале ; 1400 
 50 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF ; 36 ; якши37 ; 6585 
