 3217 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Sky2 ; 35 
 3090 ; 5000 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ; AU ; 62 ; А2007 ; 10200 
 3091 ; 10000 рублей. Юг России ; 1919 ;  ;  ; AU ; 40 ; 67 ; 1377 
 3092 ; 50 рублей ; 1947 ; билет  ;  ; AU ; 24 ; Dj ; 7933 
 3093 ; 50 рублей ; 1947 ; билет  ;  ; AU ; 55 ; bia1982 ; 7588 
 3094 ; 100 рублей ; 1947 ; билет  ;  ; AU ; 47 ; tisa66 ; 6000 
 3095 ; 100 рублей ; 1947 ; билет  ;  ; AU ; 14 ; 223355 ; 6900 
 3096 ; 100 рублей (образец) ; 1947 ;  ;  ; AU ; 54 ; tatarin66 ; 8937 
 3097 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 67 ; DrAlex1701 ; 2957 
 3098 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 19 ;  ; AU ; 32 ; pumpkin ; 1438 
 3099 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 19 ;  ; AU ; 43 ; 67 ; 1463 
 3100 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 19 ;  ; AU ; 39 ; tirop ; 1508 
 3101 ; Акция. Тифлис ; 1901 ;  ;  ;  ; 25 ; klm ; 565 
 3102 ; Закладной лист ; 1889 ;  ;  ;  ; 26 ; Oliveer ; 1758 
 3103 ; Свидетельство поземельного банка ; 1912 ;  ;  ;  ; 39 ; ksv1 ; 816 
 3104 ; Акция. Ташкент ; 1897 ;  ;  ;  ; 15 ; klm ; 995 
 3105 ; Акция. С.-Петербург ; 1912 ;  ;  ;  ; 17 ; klm ; 566 
 3106 ; Акция. С.-Петербург ; 1912 ;  ;  ;  ; 12 ; klm ; 500 
 3107 ; Соединенный 6 и 7 заем г. С.-Петербурга ; 1908 ;  ;  ;  ; 39 ; ksv1 ; 1497 
 3108 ; Заем города Москвы ; 1909 ;  ;  ;  ; 75 ; ksv1 ; 1497 
 3109 ; Заем города Баку ; 1910 ;  ;  ;  ; 15 ; dtdt ; 1326 
 3110 ; Акция. Саратов ; 1905 ;  ;  ;  ; 27 ; lesnik1 ; 510 
 3111 ; Облигация ; 1885 ;  ;  ;  ; 24 ; klm ; 350 
 3112 ; Облигация ; 1885 ;  ;  ;  ; 38 ; klm ; 347 
 3113 ; Облигация ; 1885 ;  ;  ;  ; 32 ; klm ; 350 
 3114 ; Облигация ; 1885 ;  ;  ;  ; 14 ; klm ; 350 
 3115 ; Облигация ; 1885 ;  ;  ;  ; 34 ; klm ; 350 
 3116 ; Облигация ; 1885 ;  ;  ;  ; 8 ; klm ; 347 
 3017 ; 5 рублей ; 1923 ; Гос.денежные знаки. Первый вып ;  ;  ; 73 ; Copirchik ; 367 
 3018 ; 5 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ; . ; 53 ; den_ff ; 326 
 3019 ; 10 рублей ; 1923 ; Гос.денежные знаки. Первый вып ;  ;  ; 40 ; skif ; 337 
 3020 ; 10 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 54 ; Sky2 ; 200 
 3021 ; 1000 рублей ; 1992 ; билет  ;  ;  ; 3 ; tati1545 ; 28 
 3022 ; 1000 рублей ; 1992 ; билет  ;  ;  ; 6 ; Simpaga ; 31 
 3023 ; 1000 рублей ; 1992 ; билет  ;  ;  ; 2 ; 223355 ; 27 
 3024 ; 1000 рублей ; 1992 ; билет  ;  ;  ; 2 ; 223355 ; 27 
 3025 ; 1000 рублей ; 1992 ; билет  ;  ;  ; 1 ; rambov65 ; 52 
 3026 ; 500 рублей ; 1920 ;  ;  ;  ; 45 ; natallli ; 114 
 3027 ; 5 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 26 ; димитрий ; 347 
 3028 ; 5 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 41 ; den_ff ; 351 
 3029 ; 10 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ; . ; 30 ; den_ff ; 437 
 3030 ; 1 червонец ; 1937 ; Билет  ;  ;  ; 21 ; evgen72 ; 189 
 3031 ; 1 червонец ; 1937 ; Билет  ;  ;  ; 10 ; skif ; 255 
 3032 ; 3 рубля ; 1905 ; Тимашев. Гос.кредитные билеты  ;  ;  ; 45 ; svm-1 ; 161 
 3033 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 9 ; elac ; 67 
 3034 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 29 ; den_ff ; 57 
 3035 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 26 ; igor_r65 ; 138 
 3036 ; 25 рублей ; 1947 ; билет  ;  ;  ; 10 ; Gerc89 ; 300 
 3037 ; 500 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 25 ; igors1969 ; 567 
 3038 ; 500 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 32 ; o.k. ; 355 
 3039 ; 1000 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 14 ; Gerc89 ; 207 
 3040 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 25 ; igor_r65 ; 100 
 3041 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 5 ; natallli ; 35 
 3042 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 8 ; skif ; 51 
 3043 ; 250 рублей ; 1917 ; Денежные знаки  ;  ;  ; 5 ; natallli ; 46 
 3044 ; 250 рублей ; 1917 ; Денежные знаки  ;  ;  ; 8 ; natallli ; 49 
 3045 ; 250 рублей ; 1917 ; Денежные знаки  ;  ;  ; 6 ; natallli ; 47 
 3046 ; 250 рублей ; 1917 ; Денежные знаки  ;  ;  ; 7 ; Simpaga ; 82 
 3047 ; 250 рублей ; 1917 ; Денежные знаки  ;  ;  ; 11 ; Simpaga ; 72 
 3048 ; 10 червонцев ; 1937 ; Билет  ;  ;  ; 21 ; natallli ; 201 
 3049 ; 10 червонцев ; 1937 ; Билет  ;  ;  ; 46 ; skif ; 251 
 3050 ; 10 червонцев ; 1937 ; Билет  ;  ;  ; 26 ; igors1969 ; 291 
 3051 ; 25 пенни ; 1918 ;  ;  ;  ; 27 ; dtdt ; 245 
 3052 ; 50 пенни ; 1918 ;  ;  ;  ; 31 ; skif ; 300 
 3053 ; 1 марка золотом. Серия А ; 1915 ; Финляндия билет  ;  ;  ; 26 ; necator ; 398 
 3054 ; 1 марка золотом. Без серии ; 1915 ; Финляндия билет  ;  ;  ; 38 ; necator ; 304 
 3055 ; 1 марка золотом ; 1916 ; Финляндия билет  ;  ;  ; 27 ; necator ; 334 
 3056 ; 1 копейка. Елгава ; 1915 ;  ;  ;  ; 13 ; MG ; 300 
 3057 ; 5 копеек. Елгава ; 1915 ;  ;  ;  ; 8 ; MG ; 300 
 3058 ; 10 копеек. Елгава ; 1915 ;  ;  ;  ; 8 ; MG ; 300 
 3059 ; 15 копеек. Елгава ; 1915 ;  ;  ;  ; 10 ; MG ; 300 
 3060 ; 3 рубля. Рига ; 1919 ; Латвия. Разменный знак  ;  ;  ; 51 ; necator ; 416 
 3061 ; Билет лотереи ; 1914 ;  ;  ;  ; 46 ; hotin ; 611 
 3062 ; 50 рублей. Елисаветоград ; 1920 ;  ;  ;  ; 31 ; yaroslav ; 1428 
 3063 ; 5 рублей ; 1934 ; Гос.казначейские билеты  ;  ;  ; 26 ; necator ; 303 
 3064 ; 3 рубля ; 1925 ; Гос.казначейские билеты СССР  ;  ;  ; 66 ; igors1969 ; 1168 
 3065 ; 5 рублей ; 1934 ; Гос.казначейские билеты  ;  ;  ; 51 ; greedy ; 1500 
 3066 ; 3 рубля ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 45 ; 223355 ; 293 
 2500 ; 50 пенни. Финляндия ; 1965 ;  ; Al-Br ; VF+ ; 7 ; avg1974 ; 57 
 2501 ; 50 пенни. Финляндия ; 1968 ;  ; Al-Br ; VF-XF ; 4 ; 542 ; 155 
 2502 ; 50 пенни. Финляндия ; 1970 ;  ; Al-Br ; VF+ ; 4 ; jef688 ; 5 
 2503 ; 50 пенни. Финляндия ; 1971 ;  ; Al-Br ; XF- ; 3 ; В1951 ; 14 
 2504 ; 50 пенни. Финляндия ; 1972 ;  ; Al-Br ; VF-XF ; 8 ; alex995 ; 9 
 2505 ; 50 пенни. Финляндия ; 1973 ;  ; Al-Br ; XF ; 11 ; В1951 ; 69 
 2506 ; 50 пенни. Финляндия ; 1974 ;  ; Al-Br ; VF-XF ; 10 ; solder13 ; 14 
 2507 ; 50 пенни. Финляндия ; 1975 ;  ; Al-Br ; VF-XF ; 3 ; alex995 ; 13 
 2508 ; 50 пенни. Финляндия ; 1976 ;  ; Al-Br ; XF ; 4 ; hantas ; 14 
 2509 ; 50 пенни. Финляндия ; 1977 ;  ; Al-Br ; XF+ ; 7 ; avg1974 ; 14 
 2510 ; 50 пенни. Финляндия ; 1978 ;  ; Al-Br ; XF+ ; 8 ; alex995 ; 9 
 2511 ; 50 пенни. Финляндия ; 1979 ;  ; Al-Br ; XF+ ; 3 ; solder13 ; 14 
 2512 ; 50 пенни. Финляндия ; 1980 ;  ; Al-Br ; AU ; 9 ; solder13 ; 53 
 2513 ; 50 пенни. Финляндия ; 1981 ;  ; Al-Br ; AU ; 24 ; rizovtpl ; 53 
 2514 ; 50 пенни. Финляндия ; 1982 ;  ; Al-Br ; AU ; 9 ; solder13 ; 14 
 2515 ; 50 пенни. Финляндия ; 1983 ;  ; Al-Br ; AU ; 10 ; rizovtpl ; 77 
 2516 ; 50 пенни. Финляндия ; 1985 ;  ; Al-Br ; AU ; 15 ; rizovtpl ; 157 
 2517 ; 50 пенни. Финляндия ; 1986 ;  ; Al-Br ; AU ; 7 ; rizovtpl ; 67 
 2518 ; 50 пенни. Финляндия ; 1988 ;  ; Al-Br ; AU ; 11 ; rizovtpl ; 79 
 2519 ; 2 кроны. Швеция ; 1878 ;  ; Ag ; VF+ ; 37 ; vitapool ; 334 
 2520 ; 2 кроны. Швеция ; 1890 ;  ; Ag ; VF+ ; 36 ; proletarium ; 405 
 2521 ; 2 кроны. Швеция ; 1898 ;  ; Ag ; VF-XF ; 42 ; УГРЮМЫЙ ; 459 
 2522 ; 2 кроны. Швеция ; 1904 ;  ; Ag ; VF-XF ; 31 ; xabib ; 351 
 2523 ; 2 кроны. Швеция ; 1930 ; G ; Ag ; XF- ; 49 ; jef688 ; 163 
 2524 ; 2 кроны. Швеция ; 1944 ;  ; Ag ; AU ; 59 ; jef688 ; 171 
 2525 ;  2 кроны. Швеция ; 1950 ; TS ; Ag ; AU ; 20 ; mifod ; 132 
 2526 ;  2 кроны. Швеция ; 1953 ; TS ; Ag ; AU ; 71 ; hantas ; 107 
 2527 ;  2 кроны. Швеция ; 1958 ; TS ; Ag ; AU ; 40 ; Viktor58 ; 153 
 2528 ;  2 кроны. Швеция ; 1966 ; U ; Ag ; AU ; 32 ; hantas ; 110 
 2529 ;  1 крона. Швеция ; 1948 ;  ; Ag ; VF-XF ; 38 ; RuNum1 ; 83 
 2530 ; 1 крона. Швеция ; 1950 ;  ; Ag ; VF-XF ; 16 ; erfahren ; 60 
 2531 ; 1 крона. Швеция ; 1954 ;  ; Ag ; VF-XF ; 16 ; erfahren ; 62 
 2532 ; 1 крона. Швеция ; 1963 ;  ; Ag ; XF+ ; 15 ; hantas ; 108 
 2533 ; Лот монет Нагорного Карабаха (7 шт): 50 лума, 5, 1 драм ; 2004 ;  ; Al, латунь ; AU ; 38 ; Dj ; 522 
 3001 ; 2 копейки ; 1915 ; Деньги-марки  ;  ;  ; 36 ; priwet ; 239 
 3002 ; 3 копейки ; 1915 ; Деньги-марки  ;  ;  ; 18 ; priwet ; 142 
 3003 ; 15 копеек ; 1915 ; Деньги-марки  ;  ;  ; 15 ; priwet ; 138 
 3004 ; Трудовая марка ;  ;  ;  ;  ; 45 ; rambov65 ; 1434 
 3005 ; 3 рубля. Батум ;  ;  ;  ;  ; 12 ; димитрий ; 404 
 3006 ; 5 рублей ; 1920 ; Расчетные знаки РСФСР образца  ;  ;  ; 54 ; den_ff ; 206 
 3007 ; 50 рублей ; 1920 ; Расчетные знаки РСФСР образца  ;  ;  ; 28 ; svm-1 ; 353 
 3008 ; 250 рублей   ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 25 ; acer ; 261 
 3009 ; 500 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 57 ; den_ff ; 310 
 3010 ; 1000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 36 ; skif ; 172 
 3011 ; 25 рублей ; 1920 ;  ;  ;  ; 27 ; Copirchik ; 557 
 3012 ; 50 рублей ; 1920 ;  ;  ;  ; 22 ; Copirchik ; 612 
 3013 ; 40 рублей. Сцепка 2 шт. ;  ; Денежные знаки  ;  ;  ; 30 ; Grisha7 ; 165 
 3014 ; 20 рублей. Сцепка 2 шт. ;  ; Денежные знаки  ;  ;  ; 32 ; Grisha7 ; 199 
 3015 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты  ;  ;  ; 18 ; elac ; 96 
