 4852 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 1 ; asus ; 111 
 4599 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 收集者 ; 40 
 4600 ; Бона иностранная ;  ;  ;  ;  ; 4 ; asus ; 37 
 4601 ; Бона иностранная ;  ;  ;  ;  ; 47 ; 收集者 ; 169 
 4602 ; Бона иностранная ;  ;  ;  ;  ; 24 ; asus ; 90 
 4603 ; Бона иностранная ;  ;  ;  ;  ; 27 ; asus ; 89 
 4604 ; Бона иностранная ;  ;  ;  ;  ; 36 ; max2008 ; 265 
 4605 ; Бона иностранная ;  ;  ;  ;  ; 37 ; ИЮМов1 ; 419 
 4606 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ек ; 25 
 4607 ; Бона иностранная ;  ;  ;  ;  ; 22 ; 收集者 ; 68 
 4608 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 4758 ; 33 
 4609 ; Бона иностранная ;  ;  ;  ;  ; 80 ; нэри ; 235 
 4610 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 4758 ; 46 
 4611 ; Бона иностранная ;  ;  ;  ;  ; 12 ; ppi ; 46 
 4612 ; Бона иностранная ;  ;  ;  ;  ; 10 ; vladimir-sirke ; 65 
 4613 ; Бона иностранная ;  ;  ;  ;  ; 31 ; Gyron ; 101 
 4614 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Опятор ; 40 
 4615 ; Бона иностранная ;  ;  ;  ;  ; 6 ; asus ; 57 
 4616 ; Бона иностранная ;  ;  ;  ;  ; 6 ; asus ; 90 
 4617 ; Бона иностранная ;  ;  ;  ;  ; 8 ; asus ; 90 
 4618 ; Бона иностранная ;  ;  ;  ;  ; 17 ; andrry ; 101 
 4619 ; Бона иностранная ;  ;  ;  ;  ; 17 ; andrry ; 101 
 4620 ; Бона иностранная ;  ;  ;  ;  ; 16 ; asus ; 90 
 4621 ; Бона иностранная ;  ;  ;  ;  ; 7 ; vladimir-sirke ; 94 
 4622 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 收集者 ; 114 
 4623 ; Бона иностранная ;  ;  ;  ;  ; 2 ; asus ; 41 
 4801 ; Бона иностранная. Исландия ; 1961 ;  ;  ;  ; 49 ; andorf ; 266 
 4525 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kaa81 ; 32 
 4526 ; Бона иностранная ;  ;  ;  ;  ; 9 ; kaa81 ; 33 
 4527 ; Бона иностранная ;  ;  ;  ;  ; 4 ; kaa81 ; 32 
 4528 ; Бона иностранная ;  ;  ;  ;  ; 4 ; kaa81 ; 32 
 4529 ; Бона иностранная ;  ;  ;  ;  ; 4 ; kaa81 ; 32 
 4530 ; Бона иностранная ;  ;  ;  ;  ; 4 ; kaa81 ; 32 
 4531 ; Бона иностранная ;  ;  ;  ;  ; 4 ; kaa81 ; 32 
 4532 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kaa81 ; 34 
 4533 ; Бона иностранная ;  ;  ;  ;  ; 10 ; kaa81 ; 36 
 4534 ; Бона иностранная ;  ;  ;  ;  ; 8 ; kaa81 ; 35 
 4535 ; Бона иностранная ;  ;  ;  ;  ; 7 ; kaa81 ; 34 
 4536 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kaa81 ; 34 
 4537 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kaa81 ; 34 
 4538 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 4004 ; 35 
 4539 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 4004 ; 30 
 4540 ; Бона иностранная ;  ;  ;  ;  ; 30 ; 4004 ; 30 
 4541 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 4004 ; 34 
 4542 ; Бона иностранная ;  ;  ;  ;  ; 62 ; Wasabi ; 73 
 4543 ; Бона иностранная ;  ;  ;  ;  ; 22 ; 4004 ; 31 
 4544 ; Бона иностранная ;  ;  ;  ;  ; 7 ; krft ; 33 
 4545 ; Бона иностранная ;  ;  ;  ;  ; 14 ; 4004 ; 39 
 4546 ; Бона иностранная ;  ;  ;  ;  ; 33 ; 4004 ; 33 
 4547 ; Бона иностранная ;  ;  ;  ;  ; 25 ; krft ; 47 
 4548 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 4004 ; 32 
 4549 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kaa81 ; 31 
 4550 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kaa81 ; 32 
 4551 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4004 ; 31 
 4552 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4004 ; 31 
 4553 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kaa81 ; 31 
 4554 ; Бона иностранная ;  ;  ;  ;  ; 2 ; kaa81 ; 30 
 4555 ; Бона иностранная ;  ;  ;  ;  ; 2 ; kaa81 ; 30 
 4556 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4004 ; 31 
 4557 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 4004 ; 32 
 4558 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4004 ; 31 
 4559 ; Бона иностранная ;  ;  ;  ;  ; 2 ; raise ; 30 
 4560 ; Бона иностранная ;  ;  ;  ;  ; 1 ; газета ; 2 
 4561 ; Бона иностранная ;  ;  ;  ;  ; 6 ; krft ; 31 
 4562 ; Бона иностранная ;  ;  ;  ;  ; 9 ; asus ; 36 
 4563 ; Бона иностранная ;  ;  ;  ;  ; 6 ; von_Schwarz ; 31 
 4564 ; Бона иностранная ;  ;  ;  ;  ; 26 ; faihu ; 43 
 4565 ; Бона иностранная ;  ;  ;  ;  ; 32 ; asus ; 65 
 4566 ; Бона иностранная ;  ;  ;  ;  ; 19 ; ъхз ; 39 
 4567 ; Бона иностранная ;  ;  ;  ;  ; 22 ; 4004 ; 41 
 4568 ; Бона иностранная ;  ;  ;  ;  ; 41 ; ИЮМов1 ; 125 
 4569 ; Бона иностранная ;  ;  ;  ;  ; 15 ; 4004 ; 31 
 4570 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 4004 ; 31 
 4571 ; Бона иностранная ;  ;  ;  ;  ; 7 ; kent01 ; 32 
 4572 ; Бона иностранная ;  ;  ;  ;  ; 11 ; ъхз ; 31 
 4573 ; Бона иностранная ;  ;  ;  ;  ; 15 ; 收集者 ; 114 
 4574 ; Бона иностранная ;  ;  ;  ;  ; 49 ; ИЮМов1 ; 100 
 4358 ; 3 рубля ; 1919 ; Латвия. Разменный знак ;  ; AU ; 61 ; ЛАВ-13 ; 340 
 4359 ; 10 рублей ; 1919 ; Латвия. Обязательство гос.казначейства ;  ;  ; 84 ; Fedor_K ; 1181 
 4360 ; 100 лат ; 1939 ; Латвия ;  ;  ; 82 ; Gyron ; 824 
 4361 ; Бона. 3 копейки. Государственный трест "Арктикуголь" ; 1961 ;  ;  ;  ; 20 ; ges ; 479 
 4362 ; 5 рублей ; 1934 ; Гос.казначейские билеты ;  ;  ; 68 ; ЛАВ-13 ; 468 
 4363 ; 5000 рублей ; 1921 ; Грузия ;  ;  ; 29 ; ЛАВ-13 ; 119 
 4364 ; 100000 рублей ; 1923 ; Закавказье ;  ;  ; 89 ; Ритм ; 532 
 4365 ; 50000000 рублей ; 1924 ; Закавказье ;  ;  ; 11 ; kaktus ; 521 
 4366 ; 250 рублей ; 1918 ; Закавказье ;  ;  ; 32 ; Виталий 64 ; 642 
 4367 ; 5000 рублей ; 1921 ; Азербайджан ;  ;  ; 11 ; Виталий 64 ; 516 
 4368 ; Бона 250 рублей. Армения ; 1919 ;  ;  ;  ; 17 ; Виталий 64 ; 646 
 4369 ; 25 рублей ; 1918 ;  ;  ;  ; 15 ; Виталий 64 ; 716 
 4370 ; 50 копеек ;  ;  ;  ;  ; 29 ; ЛАВ-13 ; 384 
 4371 ; 1000 рублей ; 1920 ; Денежный знак Дальне-Восточной республики ;  ;  ; 49 ; МАВ9 ; 985 
 4372 ; Облигация в 200 талеров. Москва-Смоленская жел.дорога ; 1869 ;  ;  ;  ; 32 ; КРАЙ ; 804 
 4373 ; Облигация в 500 рублей. Харьковского земельного банка ; 1898 ;  ;  ;  ; 32 ; kont ; 816 
 4374 ; Облигация в 100 рублей. Тифлиское городское кр.о-во ; 1880 ;  ;  ;  ; 9 ; kont ; 918 
 4375 ; Облигация в 500 рублей. Николаевское гор.кр.о-во. Надрыв ;  ;  ;  ;  ; 15 ; kont ; 996 
 4376 ; Облигация в 500 рублей. Варшавско- Венская жел.д ; 1890 ;  ;  ;  ; 22 ; von_Schwarz ; 906 
 4377 ; 100 рублей ; 1918 ;  ;  ;  ; 56 ; ЛАВ-13 ; 568 
 4378 ; 50 рублей ; 1918 ; 5% краткосрочное обязательство ;  ;  ; 40 ; ЛАВ-13 ; 420 
 4379 ; 1000 рублей ; 1918 ; 5% краткосрочное обязательство ;  ;  ; 77 ; ЛАВ-13 ; 1154 
 4380 ; 5000 рублей ; 1919 ;  ;  ;  ; 67 ; Ритм ; 2351 
 4381 ; 1 марка золотом ; 1916 ; Финляндия билет ;  ;  ; 111 ; никсер ; 396 
 4382 ; 10 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ; AU ; 83 ; МАВ9 ; 1102 
 4383 ; 25 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;   ; 38 ; kaktus ; 837 
 4501 ; Бона иностранная ;  ;  ;  ;  ; 10 ; raise ; 30 
 4502 ; Бона иностранная ;  ;  ;  ;  ; 41 ; Wasabi ; 40 
 4503 ; Бона иностранная ;  ;  ;  ;  ; 11 ; kaa81 ; 32 
 4504 ; Бона иностранная ;  ;  ;  ;  ; 4 ; kaa81 ; 32 
 4505 ; Бона иностранная ;  ;  ;  ;  ; 19 ; krft ; 33 
 4506 ; Бона иностранная ;  ;  ;  ;  ; 4 ; kaa81 ; 34 
 4507 ; Бона иностранная ;  ;  ;  ;  ; 13 ; kaa81 ; 39 
 4508 ; Бона иностранная ;  ;  ;  ;  ; 7 ; von_Schwarz ; 41 
 4509 ; Бона иностранная ;  ;  ;  ;  ; 14 ; 4004 ; 40 
 4510 ; Бона иностранная ;  ;  ;  ;  ; 32 ; kaa81 ; 32 
 4511 ; Бона иностранная ;  ;  ;  ;  ; 4 ; kaa81 ; 32 
 4512 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kaa81 ; 33 
 4513 ; Бона иностранная ;  ;  ;  ;  ; 26 ; 4004 ; 31 
 4514 ; Бона иностранная ;  ;  ;  ;  ; 4 ; kaa81 ; 32 
 4515 ; Бона иностранная ;  ;  ;  ;  ; 4 ; kaa81 ; 32 
 4516 ; Бона иностранная ;  ;  ;  ;  ; 20 ; 4004 ; 30 
 4517 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4004 ; 31 
 4518 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4004 ; 31 
 4519 ; Бона иностранная ;  ;  ;  ;  ; 10 ; kaa81 ; 35 
 4520 ; Бона иностранная ;  ;  ;  ;  ; 11 ; kaa81 ; 33 
 4521 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kaa81 ; 34 
 4522 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kaa81 ; 32 
 4523 ; Бона иностранная ;  ;  ;  ;  ; 8 ; kaa81 ; 33 
 4524 ; Бона иностранная ;  ;  ;  ;  ; 14 ; kaa81 ; 32 
 4308 ; 3 рубля ; 1905 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ; XF ; 17 ; бык ; 826 
 4309 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ; AU ; 29 ; konst ; 266 
 4310 ; 1 рубль ; 1898 ; Плеске. Гос.кредитные билеты 1898-1899 гг. ;  ; AU ; 119 ; А_еЧъ ; 3627 
 4311 ; 50 копеек. 2 шт ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 27 ; нэри ; 279 
 4312 ; 5 копеек ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 44 ; asus ; 206 
 4313 ; 50 копеек ;  ;  ;  ; AU ; 17 ; никсер ; 204 
 4314 ; Бона. 1 рубль. Сибирское временное правительство ; 1918 ;  ;  ;  ; 17 ; ЛАВ-13 ; 329 
 4315 ; Бона. 5 рублей. Сибирское временное правительство ; 1918 ;  ;  ;  ; 39 ; МАВ9 ; 264 
 4316 ; Бона. 10 рублей. Сибирское временное правительство ; 1918 ;  ;  ;  ; 35 ; МАВ9 ; 215 
 4317 ; 25 рублей ; 1919 ;  ;  ; AU ; 61 ; бык ; 357 
 4318 ; 50 рублей ; 1919 ;  ;  ; AU ; 34 ; verunk1 ; 663 
 4319 ; 3 рубля ; 1919 ;  ;  ;  ; 63 ; mister Bonn ; 2040 
 4320 ; 50 копеек ; 1919 ;  ;  ;  ; 72 ; svv ; 1892 
 4321 ; 500 рублей ; 1919 ;  ;  ;  ; 78 ; SANGOLD1 ; 356 
 4322 ; 500 рублей ; 1920 ;  ;  ;  ; 24 ; никсер ; 509 
 4323 ; 1 рубль. Лист 8 штук ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ; XF+ ; 64 ; 4758 ; 6386 
 4324 ; Лот 3 шт. 25,50,100 рублей ; 1922 ;  ;  ;  ; 48 ; Natascha ; 934 
 4325 ; 5 рублей ; 1920 ; Расчетные знаки РСФСР образца 1920 г. ;  ; XF+ ; 42 ; gusar ; 246 
 4326 ; Лот 3 шт. 1,2,3 рубля ;  ;  ;  ;  ; 83 ; никсер ; 291 
 4327 ; 50000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 29 ; никсер ; 306 
 4328 ; 100000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 28 ; никсер ; 402 
 4329 ; Лот 2 шт. 10,25 рублей ; 1918 ;  ;  ;  ; 31 ; WOLK ; 67 
 4330 ; 50 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ; AU ; 55 ; 812 ; 495 
 4331 ; 50 рублей ; б/г ;  ;  ;  ; 55 ; 4758 ; 940 
 4332 ; 3 рубля ; 1918 ;  ;  ;  ; 44 ; никсер ; 441 
 4333 ; 2000 гривень ; 1918 ; Украина.Державный Кредитовий бiлет. ;  ;  ; 84 ; ges ; 843 
 4334 ; Бона 5 карбованцев. Житомер ; 1918 ;  ;  ;  ; 58 ; Саша Белый ; 550 
 4335 ; Бона. 25 рублей. Одесса ; 1917 ;  ;  ;  ; 70 ; asus ; 234 
 4336 ; 5000 рублей ; 1921 ; Грузия ;  ; AU ; 58 ; verunk1 ; 463 
 4337 ; Бона. 50 рублей. Грузия ; 1918 ;  ;  ; AU ; 28 ; ЛАВ-13 ; 408 
 4338 ; 50 рублей. Надрыв ; 1919 ; Азербайджан ;  ;  ; 52 ; никсер ; 267 
 4339 ; Бона. 10 рублей ; 1920 ;  ;  ;  ; 34 ; 4758 ; 553 
 4340 ; 100 рублей ; 1919 ;  ;  ;  ; 26 ; tikhomirius ; 228 
 4341 ; 200 рублей ; 1919 ;  ;  ;  ; 31 ; 4758 ; 346 
 4342 ; Лот 2 шт. 100,250 рублей ; 1918 ;  ;  ;  ; 62 ; ЛАВ-13 ; 397 
 4343 ; Лот 2 шт. 500,1000 рублей ;  ;  ;  ;  ; 45 ; никсер ; 915 
 4344 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 14 ; Northman ; 399 
 4345 ; 3 рубля ; 1947 ; Гос.казначейский билет ;  ;  ; 27 ; Chif ; 1427 
 4346 ; 5 рублей ; 1947 ; Гос.казначейский билет ;  ;  ; 32 ; mister Bonn ; 553 
 4347 ; 10 рублей ; 1947 ; билет ;  ;  ; 52 ; 812 ; 4045 
 4348 ; 25 рублей ; 1947 ; билет ;  ;  ; 12 ; 812 ; 1705 
 4349 ; 100 рублей ; 1947 ; билет ;  ;  ; 46 ; 812 ; 1295 
 4350 ; 2 копейки ; 1915 ; Деньги-марки ;  ;  ; 31 ; tikhomirius ; 237 
 4351 ; Лот 2 шт. Деньги марки  3,10 коп ;  ;  ;  ;  ; 8 ; kaktus ; 60 
 4352 ; 1 копейка ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 40 ; konst ; 408 
 4353 ; 2 копейки ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 40 ; konst ; 408 
 4354 ; 3 копейки ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 31 ; konst ; 408 
 4355 ; Бона 1 коп.Либавское городское самоуправление ;  ;  ;  ; AU ; 46 ; ЛАВ-13 ; 612 
 4356 ; Бона 5 коп.Либавское городское самоуправление ;  ;  ;  ; AU ; 95 ; verunk1 ; 1020 
 4357 ; 1 рубль ; 1919 ; Латвия. Разменный знак ;  ;  ; 20 ; ЛАВ-13 ; 316 
 4128 ; 15 копеек. Вексель ;  ;  ;  ;  ; 73 ; 333985 ; 800 
 4129 ; 5000 рублей в.з. - вертикальный ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 38 ; Стрепет ; 1020 
 4130 ; 5000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 31 ; Natascha ; 567 
 4131 ; 10000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 59 ; Саша Белый ; 1023 
 4132 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 51 ; tss ; 231 
 4133 ; Хлебный заем ; 1923 ;  ;  ;  ; 40 ; ЛАВ-13 ; 1841 
 4134 ; 200 рублей ; 1948 ;  ;  ;  ; 13 ; 333985 ; 534 
 4135 ; 100 рублей ; 1950 ;  ;  ;  ; 31 ; 333985 ; 211 
 4136 ; 100 рублей ; 1917 ; Облигации займа Свободы ;  ;  ; 18 ; ЛАВ-13 ; 257 
 4137 ; 100 рублей ; 1917 ; Облигации займа Свободы ;  ;  ; 14 ; lesnik1 ; 569 
 4138 ; 20 рублей ; 1917 ; Облигации займа Свободы ;  ;  ; 14 ; спарта ; 444 
 4139 ; 3 рубля ; 1925 ; Гос.казначейские билеты СССР ;  ;  ; 41 ; kaktus ; 5202 
 4140 ; 5 рублей ; 1925 ; Гос.казначейские билеты СССР ;  ;  ; 33 ; Mmm ; 5800 
 4141 ; 2 червонца ; 1928 ; Калманович, Горбунов. Билет ;  ;  ; 59 ; А_еЧъ ; 7803 
 4142 ; 5000 рублей ; 1920 ; Туркестан ;  ;  ; 138 ; monos72 ; 5664 
 4143 ; 500 рублей ; 1919 ;  ;  ;  ; 12 ; SANGOLD1 ; 408 
 4144 ; 500 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 71 ; verunk1 ; 9116 
 4145 ; 5000 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 76 ; benc ; 22440 
 4146 ; Облигация ; 1880 ;  ;  ;  ; 2 ; я8844 ; 295 
 4147 ; Облигация Николаевской ж/д ; 1869 ;  ;  ;  ; 17 ; krft ; 403 
 4148 ; Облигация Николаевской ж/д ; 1888 ;  ;  ;  ; 9 ; viktorB77 ; 348 
 4149 ; Главное общество Российских ж/д. Облигация ; 1890 ;  ;  ;  ; 5 ; viktorB77 ; 835 
 4150 ; Облигация Московско-Виндаво-Рыбинской ж/д ; 1899 ;  ;  ;  ; 13 ; у44 ; 408 
 4151 ; Акция Брянского рельсопрокатного завода ; 1913 ;  ;  ;  ; 7 ; Кладоискатель ; 300 
 4152 ; Акция ; 1922 ;  ;  ;  ; 76 ; 4004 ; 101 
 4153 ; Облигация Черноморской ж/д ; 1916 ;  ;  ;  ; 8 ; krft ; 306 
