 1153 ; Медаль "Преуспевающему". Для выпускников мужских гимназий. М-24,76г. D-32мм ;  ;  ; Au ; XF+ ; 7 ; Продано в зале ; 82500 
 1134 ; 2 копейки ; 1884 ; СПБ ; Cu ; XF- ; 1 ; cr1390 ; 5000 
 1135 ; Копейка (Петров-20р, Ильин-8р) ; 1724 ;  ; Cu ; VF-XF ; 11 ; mar69 ; 160591 
 1136 ; Копейка ; 1755 ; ММД ; Cu ; VF+ ; 5 ; mac ; 13000 
 1137 ; Копейка ; 1795 ; ЕМ ; Cu ; XF ; 3 ; _kit ; 3500 
 1138 ; Денежка ; 1863 ; ЕМ ; Cu ; VF-XF ; 1 ; cr1390 ; 10000 
 1139 ; 1/4 копейки ; 1895 ; СПБ ; Cu ; AU ; 15 ; Эфес ; 25987 
 1140 ; Пробный оттиск полтины ; 1842 ;  ; Cu ; VF-XF ; 5 ; Продано в зале ; 15000 
 1141 ; 20 копеек ; 1928 ; в СССР С округлые, шт. 3 коп.1926 ; Ag ; XF+ ; 0 ; Не продан ; 0 
 1142 ; 20 копеек ; 1929 ; в СССР С округлые, шт. 3 коп.1926 ; Ag ; AU ; 1 ; dimon46 ; 8000 
 1143 ; 20 копеек ; 1930 ; в СССР С округлые, шт. 3 коп.1926 ; Ag ; XF- ; 0 ; Не продан ; 0 
 1144 ; 5 копеек ; 1927 ;  ; Br ; VF+ ; 0 ; Не продан ; 0 
 1145 ; 3 копейки ; 1924 ; Гурт гладкий ; Cu ; AU ; 0 ; Не продан ; 0 
 1146 ; 150 рублей ; 1995 ; ЛМД Сцена из балета "Спящая красавица" ; Pt ; Proof ; 1 ; мамасмотрияедубезрук ; 60000 
 1147 ; 50 рублей ; 1995 ; ЛМД Русский балет. Сцена из балета "Спящая красавица" ; Pt ; Proof ; 1 ; мамасмотрияедубезрук ; 35000 
 1148 ; Лот 50,100,200 рублей. Рысь ; 1995 ;  ; Au ; Proof ; 0 ; Не продан ; 0 
 1149 ; 100 рублей ; 1995 ; ЛМД Спасение экспедиции Нобеля ; Au ; Proof ; 0 ; Не продан ; 0 
 1150 ; 50 рублей ; 2003 ; ММД Окно в Европу. Петр I (портрет) ; Au ; Proof ; 1 ; мамасмотрияедубезрук ; 35000 
 1151 ; 100 рублей ; 1996 ; ММД "Сохраним наш мир". Амурский тигр ; Ag ; Proof ; 1 ; мамасмотрияедубезрук ; 50000 
 1152 ; 100 рублей ; 2001 ; ММД Ю.Гагарин ; Ag ; Proof ; 1 ; мамасмотрияедубезрук ; 40000 
 1053 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; VF-XF ; 1 ; mac ; 20000 
 1054 ; Рубль ; 1779 ; СПБ ФЛ ; Ag ; XF+ ; 5 ; Продано в зале ; 40000 
 1055 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF+ ; 1 ; mar69 ; 20000 
 1056 ; Рубль (Петров-15р, Ильин-4р) ; 1795 ; СПБ IC TI ; Ag ; XF ; 1 ; Крылов А.А. ; 250000 
 1057 ; Рубль ; 1798 ; СМ МБ ; Ag ; XF ; 3 ; timan777 ; 41000 
 1058 ; Рубль ; 1803 ; СПБ АИ ; Ag ; XF ; 5 ; нумизмат ; 43000 
 1059 ; Рубль ; 1815 ; СПБ МФ ; Ag ; XF ; 7 ; Продано в зале ; 15000 
 1060 ; Рубль ; 1819 ; СПБ ПС ; Ag ; AU ; 12 ; Продано в зале ; 22000 
 1061 ; Рубль ; 1837 ; СПБ НГ ; Ag ; AU ; 13 ; 496 ; 21000 
 1062 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF ; 1 ; verunk1 ; 12000 
 1063 ; Рубль ; 1851 ; СПБ ПА ; Ag ; AU ; 13 ; 34341 ; 23000 
 1064 ; Рубль ; 1853 ; СПБ HI ; Ag ; AU ; 4 ; Продано в зале ; 17000 
 1065 ; Рубль ; 1854 ; СПБ HI ; Ag ; AU ; 7 ; Продано в зале ; 17000 
 1066 ; Рубль ; 1856 ; СПБ ФБ ; Ag ; AU ; 15 ; Продано в зале ; 24000 
 1067 ; Рубль (Петров-18р, Ильин-10р) ; 1859 ; СПБ ФБ ; Ag ; AU ; 4 ; Продано в зале ; 450000 
 1068 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; XF+ ; 1 ; mac ; 50000 
 1069 ; Рубль ; 1867 ; СПБ HI ; Ag ; AU/XF ; 17 ; Den75 ; 59687 
 1070 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; AU ; 5 ; Продано в зале ; 18000 
 1071 ; Рубль ; 1886 ; (АГ) ; Ag ; AU ; 1 ; Den75 ; 80000 
 1072 ; Рубль ; 1894 ; (АГ) ; Ag ; AU ; 6 ; 496 ; 95000 
 1073 ; Рубль ; 1896 ; ( * ) ; Ag ; XF/AU ; 5 ; 462 ; 6222 
 1074 ; Рубль ; 1898 ; (АГ) На открытие памятника Александру II ; Ag ; XF ; 18 ; Лаврентий ; 105000 
 1075 ; Рубль ; 1909 ; (ЭБ) ; Ag ; AU ; 23 ; Продано в зале ; 95000 
 1076 ; Рубль ; 1911 ; (ЭБ) ; Ag ; XF/AU ; 1 ; A.G. ; 36000 
 1077 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; XF+ ; 1 ; A.G. ; 60000 
 1078 ; Рубль ; 1914 ; (ВС) ; Ag ; AU ; 8 ; Лаврентий ; 36000 
 1079 ; Полтина ; 1719 ;  ; Ag ; VF-XF ; 9 ; Продано в зале ; 70000 
 1080 ; Полтина (Петров-1р) ; 1845 ; MW ; Ag ; AU ; 23 ; Продано в зале ; 75000 
 1081 ; Полтина (Петров-3р) ; 1862 ; СПБ МИ ; Ag ; XF ; 7 ; UFO ; 42840 
 1082 ; Полтина (Петров-3р) ; 1863 ; СПБ АБ ; Ag ; XF+ ; 21 ; niki ; 68667 
 1083 ; Полтина (Петров-3р) ; 1866 ; СПБ НФ ; Ag ; AU/XF ; 5 ; Продано в зале ; 76000 
 1084 ; Полтина (Петров-2,5р) ; 1867 ; СПБ HI ; Ag ; XF+ ; 5 ; Продано в зале ; 58000 
 1085 ; Полтина (Петров-2,5р) ; 1873 ; СПБ HI ; Ag ; XF- ; 5 ; UFO ; 42840 
 1086 ; Полтина ; 1891 ; (АГ) ; Ag ; XF+ ; 5 ; ravs ; 52530 
 1087 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; XF+ ; 2 ; 36400 ; 5100 
 1088 ; Полуполтинник (Петров-1р) ; 1755 ; ММД МБ ; Ag ; XF ; 1 ; Продано в зале ; 11000 
 1089 ; Полуполтинник ; 1770 ; ММД ДМ ; Ag ; AU ; 1 ; Продано в зале ; 30000 
 1090 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 4 ; Продано в зале ; 12000 
 1091 ; 25 копеек ; 1872 ; СПБ HI ; Ag ; VF-XF ; 8 ; 36400 ; 15867 
 1092 ; 25 копеек ; 1887 ; (АГ) АГ ; Ag ; AU ; 10 ; Продано в зале ; 54000 
 1093 ; 25 копеек ; 1890 ; (АГ) АГ ; Ag ; XF ; 1 ; UFO ; 50000 
 1094 ; 25 копеек ; 1891 ; (АГ) АГ ; Ag ; XF+ ; 1 ; UFO ; 40000 
 1095 ; 25 копеек ; 1893 ; (АГ) АГ ; Ag ; XF ; 1 ; Den75 ; 20000 
 1096 ; 25 копеек. В капсуле NGC ; 1894 ; (АГ) АГ ; Ag ; MS 62 ; 14 ; Продано в зале ; 27000 
 1097 ; 25 копеек ; 1900 ; АГ ; Ag ; AU ; 4 ; Продано в зале ; 26000 
 1098 ; 20 копеек (Петров-1р) ; 1764 ; ММД ; Ag ; VF-XF ; 15 ; нумизмат ; 12000 
 1099 ; 20 копеек (Петров-1р) ; 1766 ; СПБ TI ; Ag ; XF ; 4 ; mac ; 6120 
 1100 ; 20 копеек (Петров-1р) ; 1783 ; СПБ ; Ag ; XF+ ; 3 ; UFO ; 6120 
 1101 ; 20 копеек ; 1849 ; СПБ ПА ; Ag ; XF+/AU ; 3 ; tisa66 ; 5049 
 1102 ; 20 копеек-40 грошей ; 1850 ; MW Рус.-Пол. ; Ag ; XF ; 1 ; Продано в зале ; 15000 
 1003 ; 5 рублей. М-6,63г ; 1841 ; СПБ АЧ ; Au ; AU ; 10 ; Лаврентий ; 38760 
 1004 ; 5 рублей. М-6,56г ; 1842 ; СПБ АЧ ; Au ; AU ; 15 ; 496 ; 41671 
 1005 ; 5 рублей. М-6,51г ; 1843 ; СПБ АЧ ; Au ; AU ; 22 ; 496 ; 49500 
 1006 ; 5 рублей. М-6,53г ; 1859 ; СПБ ПФ ; Au ; AU ; 9 ; Den75 ; 155000 
 1007 ; 5 рублей. М-6,54г ; 1864 ; СПБ АС ; Au ; AU ; 20 ; hugo ; 55000 
 1008 ; 5 рублей. М-6,52г ; 1872 ; СПБ НI ; Au ; AU ; 19 ; 496 ; 40800 
 1009 ; 5 рублей. М-6,45г ; 1887 ; (АГ) Борода длиннее ; Au ; AU/XF ; 14 ; Лаврентий ; 32000 
 1010 ; 5 рублей. М-6,45г ; 1888 ; (АГ) Борода длиннее ; Au ; XF+/AU ; 12 ; Продано в зале ; 32000 
 1011 ; 5 рублей. М-6,45г ; 1890 ; (АГ) ; Au ; AU ; 14 ; 496 ; 31620 
 1012 ; 5 рублей. М-4,28г ; 1899 ; (ЭБ) ; Au ; AU ; 11 ; каламбурчик ; 9966 
 1013 ; 5 рублей. М-4,3г ; 1900 ; (ФЗ) ; Au ; AU ; 12 ; VAP20 ; 9690 
 1014 ; 5 рублей. М-4,3г ; 1901 ; (ФЗ) ; Au ; Unc/AU ; 7 ; 439 ; 9066 
 1015 ; 5 рублей. М-4,3г ; 1902 ; (АР) ; Au ; AU ; 6 ; 654321 ; 8283 
 1016 ; 5 рублей. М-4,29г ; 1904 ; (АР) ; Au ; AU ; 4 ; 36400 ; 9066 
 1017 ; 5 рублей. М-4,285г ; 1910 ; (ЭБ) ; Au ; XF ; 11 ; Продано в зале ; 42000 
 1018 ; 3 рубля. М-3,93г ; 1875 ; СПБ НI ; Au ; AU ; 7 ; 496 ; 92000 
 1019 ; 3 рубля. М-10,29г ; 1834 ; СПБ ; Pt ; XF- ; 19 ; Den75 ; 84900 
 1020 ; 3 рубля. М-10,35г ; 1844 ; СПБ ; Pt ; XF- ; 29 ; Алексей Викторович ; 111746 
 1021 ; 3 рубля-20 злотых. М-3,9г ; 1834 ; СПБ ПД Рус.-Пол. ; Au ; XF- ; 1 ; Крылов А.А. ; 70000 
 1022 ; 20 марок. М-6,45г. Редкая датировка ; 1880 ; S Финляндия ; Au ; AU ; 18 ; 496 ; 62000 
 1023 ; 50 злотых. М-9,76г. В капсуле PCGS ; 1818 ; IB Польша ; Au ; VF-XF ; 3 ; Den75 ; 156062 
 1024 ; 1,5 рубля-10 злотых. В капсуле NGC ; 1834 ; НГ Рус.-Пол. ; Ag ; AU 55 ; 12 ; Den75 ; 32640 
 1025 ; 1,5 рубля-10 злотых ; 1835 ; НГ Рус.-Пол. ; Ag ; XF+ ; 0 ; Не продан ; 0 
 1026 ; Ефимок ; 1655 ; Алексей Михайлович ; Ag ; VF ; 32 ; Алексей Викторович ; 57575 
 1027 ; Ефимок ; 1655 ; Алексей Михайлович ; Ag ; VF ; 9 ; Продано в зале ; 47000 
 1028 ; Рубль (Петров-10р) ; 1707 ; Н ; Ag ; XF- ; 5 ; Лаврентий ; 370000 
 1029 ; Рубль ; 1720 ;  ; Ag ; XF ; 1 ; Продано в зале ; 75000 
 1030 ; Рубль (Петров-3,5р) ; 1723 ; ОК ; Ag ; VF-XF ; 18 ; Продано в зале ; 72000 
 1031 ; Рубль (Ильин-3р) ; 1726 ;  ; Ag ; VF-XF ; 9 ; 31 ; 58140 
 1032 ; Рубль (Петров-3,5р, Ильин-3р) ; 1726 ;  ; Ag ; VF-XF ; 7 ; 654321 ; 61200 
 1033 ; Рубль ; 1728 ;  ; Ag ; XF ; 1 ; A.G. ; 50000 
 1034 ; Рубль ; 1734 ;  ; Ag ; XF ; 5 ; mac ; 38000 
 1035 ; Рубль ; 1734 ;  ; Ag ; VF-XF ; 1 ; mac ; 25000 
 1036 ; Рубль (Петров-3р) ; 1737 ;  ; Ag ; VF-XF ; 2 ; mac ; 30000 
 1037 ; Рубль (Петров-3р) ; 1737 ;  ; Ag ; VF-XF ; 0 ; Не продан ; 0 
 1038 ; Рубль ; 1738 ;  ; Ag ; AU ; 1 ; 654321 ; 40000 
 1039 ; Рубль ; 1738 ; СПБ ; Ag ; XF ; 7 ; 31 ; 42330 
 1040 ; Рубль ; 1742 ; СПБ ; Ag ; XF ; 0 ; Продано в зале ; 26000 
 1041 ; Рубль ; 1742 ; СПБ ; Ag ; VF+ ; 1 ; mac ; 20000 
 1042 ; Рубль ; 1742 ; ММД ; Ag ; VF+ ; 4 ; Продано в зале ; 58000 
 1043 ; Рубль ; 1747 ; СПБ ; Ag ; XF ; 7 ; Продано в зале ; 33000 
 1044 ; Рубль ; 1747 ; ММД ; Ag ; VF+ ; 14 ; leo 2 ; 26000 
 1045 ; Рубль ; 1750 ; СПБ ; Ag ; XF- ; 1 ; mac ; 25000 
 1046 ; Рубль ; 1751 ; ММД ; Ag ; XF ; 1 ; mac ; 30000 
 1047 ; Рубль ; 1754 ; СПБ IM BS ; Ag ; AU ; 5 ; Продано в зале ; 93000 
 1048 ; Рубль (Петров-4р) ; 1756 ; СПБ ЯI BS ; Ag ; XF/AU ; 1 ; 31 ; 40000 
 1049 ; Рубль (Петров-5р) ; 1757 ; ММД МБ ; Ag ; VF-XF ; 7 ; Den75 ; 49686 
 1050 ; Рубль (Петров-2р) ; 1762 ; СПБ НК ; Ag ; VF+ ; 3 ; 654321 ; 44000 
 1051 ; Рубль (Петров-3р) ; 1764 ; ММД EI TI ; Ag ; VF-XF ; 1 ; mac ; 25000 
 1052 ; Рубль (Петров-3р) ; 1767 ; ММД EI ; Ag ; VF+ ; 1 ; mac ; 20000 
 101 ; Копейка ; 1707 ; БК ; Cu ; VF ; 37 ; Продано в зале ; 7500 
 102 ; Копейка ; 1711 ; МД ; Cu ; VF ; 11 ; Продано в зале ; 1400 
 103 ; Копейка ; 1711 ; МД ; Cu ; VF ; 28 ; Продано в зале ; 1600 
 104 ; Копейка ; 1712 ; МД ; Cu ; VF- ; 5 ; Продано в зале ; 1800 
 105 ; Копейка ; 1712 ; МД ; Cu ; VF- ; 21 ; нумизмат ; 2400 
 106 ; Копейка ; 1713 ; Б К ; Cu ; VF ; 13 ; Продано в зале ; 7000 
 107 ; Копейка ; 1713 ; НД· З ; Cu ; VF ; 13 ; Продано в зале ; 5500 
 108 ; Копейка ; 1713 ;  ; Cu ; F-VF ; 15 ; Продано в зале ; 2000 
 109 ; Копейка ; 1715 ; НД ; Cu ; VF+ ; 33 ; нумизмат ; 1432 
 110 ; Копейка ; 1728 ;  ; Cu ; VF+ ; 12 ; Продано в зале ; 2600 
 111 ; Копейка (Петров-1р) ; 1767 ; КМ "Сибирь" ; Cu ; VF+ ; 21 ; Продано в зале ; 10500 
 112 ; Копейка ; 1771 ; КМ "Сибирь" ; Cu ; VF+ ; 16 ; Продано в зале ; 1100 
 113 ; Копейка ; 1772 ; КМ "Сибирь" ; Cu ; VF+ ; 5 ; Продано в зале ; 4500 
 114 ; Копейка ; 1774 ; КМ "Сибирь" ; Cu ; VF+ ; 24 ; Продано в зале ; 1300 
 115 ; Копейка ; 1777 ; КМ "Сибирь" ; Cu ; VF+ ; 5 ; Продано в зале ; 1800 
 116 ; Копейка ; 1779 ; КМ "Сибирь" ; Cu ; VF+ ; 9 ; Продано в зале ; 1050 
 117 ; Копейка ; 1836 ; ЕМ ФХ ; Cu ; XF ; 27 ; verunk1 ; 1581 
 118 ; Копейка ; 1878 ; СПБ ; Cu ; AU/XF ; 9 ; verunk1 ; 1134 
 119 ; Копейка ; 1879 ; СПБ ; Cu ; AU ; 7 ; Продано в зале ; 1200 
 120 ; Денга ; 1707 ;  ; Cu ; VF ; 12 ; Продано в зале ; 1500 
 121 ; Денга ; 1768 ; КМ "Сибирь" ; Cu ; VF+ ; 11 ; hugo ; 2000 
 122 ; Денга ; 1769 ; КМ "Сибирь" ; Cu ; VF+ ; 27 ; Продано в зале ; 2600 
 123 ; Денга ; 1770 ; КМ "Сибирь" ; Cu ; VF+ ; 7 ; Продано в зале ; 2400 
 124 ; Денга ; 1775 ; КМ "Сибирь" ; Cu ; VF-XF ; 11 ; OMT ; 7000 
 125 ; Денга ; 1776 ; КМ "Сибирь" ; Cu ; VF+ ; 10 ; Продано в зале ; 1200 
 126 ; 1/2 копейки ; 1879 ; СПБ ; Cu ; XF- ; 21 ; niger ; 1530 
 127 ; Полушка (Петров-1,25р) ; 1769 ; КМ "Сибирь" ; Cu ; VF+ ; 38 ; lvd ; 14790 
 128 ; Полушка (Петров-1,5р, Ильин-1р) ; 1771 ; КМ "Сибирь" ; Cu ; VF+ ; 13 ; cotangens ; 5500 
 129 ; Полушка ; 1857 ; ЕМ ; Cu ; XF+ ; 7 ; niger ; 714 
 130 ; Полушка ; 1859 ; ЕМ ; Cu ; XF+ ; 12 ; Продано в зале ; 1600 
 131 ; 1/4 копейки ; 1868 ; ЕМ ; Cu ; XF ; 13 ; нумизмат ; 2306 
 132 ; 1/4 копейки ; 1872 ; ЕМ ; Cu ; AU ; 15 ; Лаврентий ; 4080 
 133 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; AU ; 7 ; Продано в зале ; 3200 
 134 ; 1/4 копейки ; 1887 ; СПБ ; Cu ; XF ; 8 ; Mike! ; 1734 
 135 ; 5 пенни ; 1866 ; Финляндия ; Cu ; VF-XF ; 23 ; niger ; 545 
 136 ; Жетон  об окончании среднего учебного заведения. Р-ры: 35х32мм ;  ;  ; Ag, эмаль ; XF+ ; 10 ; hugo ; 14892 
 137 ; Жетон  об окончании среднего учебного заведения "ТРГ". Р-ры: 42х44мм ;  ;  ; Ag, эмаль ; XF+ ; 5 ; hugo ; 6120 
 138 ; Жетон  об окончании среднего учебного заведения. Р-ры: 35х35мм ;  ;  ; Ag ; XF+ ; 10 ; hugo ; 14892 
 139 ; Жетон  об окончании среднего учебного заведения. Р-ры: 48х28мм ;  ;  ; Ag ; XF+ ; 14 ; hugo ; 14892 
 140 ; Жетон В память коронации Александра II. D-22мм ; 1856 ;  ; Ag ; VF-XF ; 7 ; Продано в зале ; 3400 
 141 ; Медаль. И.П. Павлов. D-50мм ;  ;  ; Ж/м ; XF+ ; 25 ; Продано в зале ; 17000 
 142 ; Рубль ; 1801 ; СМ АИ ; Ag ; XF ; 28 ; нумизмат ; 40188 
 143 ; Рубль ; 1807 ; СПБ ФГ ; Ag ; XF+/AU ; 26 ; Продано в зале ; 160000 
 144 ; 48 копеек ; 1757 ; Ливонез ; Ag ; VF+ ; 43 ; Продано в зале ; 74000 
 145 ; Гривенник ; 1779 ; СПБ ; Ag ; XF ; 14 ; verunk1 ; 9180 
 146 ; Рубль (Петров-4р) ; 1720 ; K ; Ag ; VF+ ; 24 ; 36400 ; 32000 
 147 ; Георгиевский крест IV ст. № 450960. Р-ры: 34х34мм ; 1914-1915 ;  ; Ag ; VF-XF ; 21 ; timan777 ; 11489 
 148 ; Георгиевская медаль IV ст. № 682519. Имп. Николай II. D-28мм ;  ;  ; Ag ; VF-XF ; 14 ; Продано в зале ; 3300 
 1001 ; 10 рублей. М-12,88г ; 1894 ; (АГ) АГ ; Au ; VF-XF ; 6 ; Продано в зале ; 170000 
 1002 ; 5 рублей. М-6,64г ; 1839 ; СПБ АЧ ; Au ; AU ; 9 ; Лаврентий ; 38760 
 51 ; 10 копеек ; 1917 ; ВС ; Ag ; AU ; 17 ; Продано в зале ; 3000 
 52 ; 5 копеек ; 1815 ; СПБ МФ ; Ag ; XF+ ; 15 ; Олег2401 ; 628 
 53 ; 5 копеек ; 1837 ; СПБ НГ ; Ag ; XF+ ; 18 ; 550 ; 5000 
 54 ; 5 копеек. Редкие буквы минцмейстера для этого года ; 1899 ; СПБ ЭБ ; Ag ; AU ; 54 ; verunk1 ; 13739 
 55 ; Алтын ; 1704 ; БК ; Ag ; XF ; 23 ; Trien ; 11334 
 56 ; Алтын (Петров-1,5р) ; 1718 ;  ; Ag ; VF+ ; 36 ; _kit ; 23000 
 57 ; 1,5 рубля-10 злотых ; 1837 ; MW Рус.-Пол. ; Ag ; VF-XF ; 23 ; Продано в зале ; 15500 
 58 ; 2 злотых ; 1830 ; FH Польша ; Ag ; XF+ ; 33 ; monos72 ; 24480 
 59 ; 1 марка ; 1865 ; S Финляндия ; Ag ; VF-XF ; 25 ; Продано в зале ; 2200 
 60 ; 1 марка ; 1874 ; S Финляндия ; Ag ; XF+ ; 16 ; Продано в зале ; 1500 
 61 ; 10 копеек ; 1769 ; КМ "Сибирь" ; Cu ; VF+ ; 24 ; Продано в зале ; 9500 
 62 ; 10 копеек ; 1774 ; КМ "Сибирь" ; Cu ; XF ; 43 ; Продано в зале ; 16000 
 63 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; XF+ ; 20 ; Продано в зале ; 14000 
 64 ; 10 копеек ; 1776 ; КМ "Сибирь" ; Cu ; XF ; 16 ; Продано в зале ; 17000 
 65 ; 10 копеек ; 1776 ; КМ "Сибирь" ; Cu ; VF+ ; 26 ; Продано в зале ; 9500 
 66 ; 10 копеек ; 1777 ; КМ "Сибирь" ; Cu ; VF+ ; 20 ; Продано в зале ; 8500 
 67 ; 10 копеек ; 1778 ; КМ "Сибирь" ; Cu ; XF+ ; 15 ; Продано в зале ; 10500 
 68 ; 10 копеек (Петров-1р) ; 1779 ; КМ "Сибирь" ; Cu ; VF-XF ; 18 ; нумизмат ; 9000 
 69 ; 10 копеек ; 1780 ; КМ "Сибирь" ; Cu ; VF-XF ; 14 ; OMT ; 9996 
 70 ; 10 копеек (Петров-1,5р) ; 1781 ; КМ "Сибирь" ; Cu ; VF-XF ; 29 ; Алексей Викторович ; 11220 
 71 ; 10 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF+ ; 16 ; ВЭБ! ; 6500 
 72 ; 5 копеек ; 1727 ; НД Дата снизу вверх ; Cu ; VF ; 33 ; Продано в зале ; 3000 
 73 ; 5 копеек ; 1766 ; ММ ; Cu ; VF+ ; 46 ; Продано в зале ; 4200 
 74 ; 5 копеек (Петров-15р, Ильин-10р) ; 1766 ; "Сибирь" ; Cu ; VF- ; 17 ; Продано в зале ; 26000 
 75 ; 5 копеек ; 1773 ; КМ "Сибирь" ; Cu ; VF-XF ; 55 ; нумизмат ; 10849 
 76 ; 5 копеек ; 1774 ; КМ "Сибирь" ; Cu ; XF+ ; 18 ; Продано в зале ; 32000 
 77 ; 5 копеек ; 1775 ; КМ "Сибирь" ; Cu ; XF- ; 19 ; Продано в зале ; 7500 
