 3247 ; Бона иностранная ;  ;  ;  ;  ; 28 ; latuza48186 ; 67 
 3164 ; Бона иностранная ;  ;  ;  ;  ; 17 ; smel ; 45 
 3165 ; Бона иностранная ;  ;  ;  ;  ; 12 ; джокер ; 25 
 3166 ; Бона иностранная ;  ;  ;  ;  ; 30 ; gelind ; 71 
 3167 ; Бона иностранная ;  ;  ;  ;  ; 7 ; smel ; 72 
 3168 ; Бона иностранная ;  ;  ;  ;  ; 22 ; джокер ; 25 
 3169 ; Бона иностранная ;  ;  ;  ;  ; 20 ; gelind ; 57 
 3170 ; Бона иностранная ;  ;  ;  ;  ; 11 ; gelind ; 104 
 3171 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Майкл ; 101 
 3172 ; Бона иностранная ;  ;  ;  ;  ; 28 ; lesnik1 ; 92 
 3173 ; Бона иностранная ;  ;  ;  ;  ; 26 ; ICEK ; 51 
 3174 ; Бона иностранная ;  ;  ;  ;  ; 13 ; gelind ; 26 
 3175 ; Бона иностранная ;  ;  ;  ;  ; 25 ; gelind ; 26 
 3176 ; Бона иностранная ;  ;  ;  ;  ; 44 ; lesnik1 ; 79 
 3177 ; Бона иностранная ;  ;  ;  ;  ; 6 ; natallli ; 26 
 3178 ; Бона иностранная ;  ;  ;  ;  ; 8 ; gelind ; 43 
 3179 ; Бона иностранная ;  ;  ;  ;  ; 19 ; smel ; 40 
 3180 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Sterh ; 23 
 3181 ; Бона иностранная ;  ;  ;  ;  ; 13 ; kaa123 ; 30 
 3182 ; Бона иностранная ;  ;  ;  ;  ; 50 ; ICEK ; 185 
 3183 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ICEK ; 120 
 3184 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Sterh ; 23 
 3185 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kaa123 ; 31 
 3186 ; Бона иностранная ;  ;  ;  ;  ; 53 ; тнн ; 57 
 3187 ; Бона иностранная ;  ;  ;  ;  ; 39 ; ura 57 ; 178 
 3188 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Sky2 ; 114 
 3189 ; Бона иностранная ;  ;  ;  ;  ; 27 ; lesnik1 ; 145 
 3190 ; Бона иностранная ;  ;  ;  ;  ; 22 ; 234 ; 192 
 3191 ; Бона иностранная ;  ;  ;  ;  ; 21 ; luvver ; 305 
 3192 ; Бона иностранная ;  ;  ;  ;  ; 23 ; р64 ; 144 
 3193 ; Бона иностранная ;  ;  ;  ;  ; 31 ; р64 ; 138 
 3194 ; Бона иностранная ;  ;  ;  ;  ; 26 ; титан ; 50 
 3195 ; Бона иностранная ;  ;  ;  ;  ; 42 ; 234 ; 192 
 3196 ; Бона иностранная ;  ;  ;  ;  ; 32 ; 234 ; 200 
 3097 ; 1000 рублей ; 1920 ; Туркестан ;  ;  ; 30 ; Bolt ; 549 
 3098 ; 250 рублей ; 1919 ; Туркестан ;  ;  ; 26 ; Bolt ; 638 
 3099 ; 100 рублей ; 1919 ; Туркестан ;  ;  ; 28 ; нумизмат ; 495 
 3100 ; 100 рублей. Ташкент ; 1918 ; Туркестан ;  ;  ; 42 ; lesnik1 ; 632 
 3101 ; 500 рублей. Облигация ; 1992 ;  ;  ;  ; 17 ; Saneck ; 50 
 3102 ; 1000 рублей. Облигация ; 1992 ;  ;  ;  ; 6 ; solder13 ; 53 
 3103 ; Бона, Бухара ;  ;  ;  ;  ; 36 ; Bolt ; 1530 
 3104 ; Листовка ; 1944 ;  ;  ;  ; 12 ; Luidor ; 181 
 3105 ; Листовка ; 1944 ;  ;  ;  ; 3 ; ДСВ777 ; 123 
 3106 ; Листовка ; 1944 ;  ;  ;  ; 5 ; VR62 ; 126 
 3107 ; 10000 марок ; 1922 ;  ;  ;  ; 5 ; тнн ; 102 
 3108 ; 10000 марок ; 1922 ;  ;  ;  ; 17 ; ICEK ; 113 
 3109 ; 10000 марок ; 1922 ;  ;  ;  ; 14 ; тнн ; 77 
 3110 ; 1000 крон ; 1902 ;  ;  ;  ; 35 ; ura 57 ; 183 
 3111 ; 1000 крон ; 1902 ;  ;  ;  ; 18 ; kostian1284 ; 137 
 3112 ; 1000 гривен ; 1918 ;  ;  ;  ; 21 ; Bagrin ; 230 
 3113 ; 1000 гривен ; 1918 ;  ;  ;  ; 10 ; Bagrin ; 255 
 3114 ; 1000 карбованцев ; 1918 ;  ;  ;  ; 9 ; р64 ; 105 
 3115 ; 1000 карбованцев ; 1918 ;  ;  ;  ; 28 ; sher60 ; 183 
 3116 ; 5000 рублей ; 1919 ;  ;  ;  ; 39 ; fvm ; 116 
 3117 ; 5000 рублей ; 1919 ;  ;  ;  ; 35 ; Coins911 ; 255 
 3118 ; 60 рублей (3 шт.) ; 1919 ;  ;  ;  ; 16 ; р64 ; 227 
 3119 ; 1 рубль (2 шт.) ; 1938 ;  ;  ;  ; 38 ; Максимус 1 ; 300 
 3120 ; 1 рубль (2 шт.) ; 1947 ;  ;  ;  ; 27 ; Инвестор ; 155 
 3121 ; Бона иностранная ;  ;  ;  ;  ; 12 ; ICEK ; 102 
 3122 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kaa123 ; 33 
 3123 ; Бона иностранная ;  ;  ;  ;  ; 7 ; титан ; 75 
 3124 ; Бона иностранная ;  ;  ;  ;  ; 16 ; мурман2008 ; 27 
 3125 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kaa123 ; 31 
 3126 ; Бона иностранная ;  ;  ;  ;  ; 18 ; salim ; 29 
 3127 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Sky2 ; 21 
 3128 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Sky2 ; 21 
 3129 ; Бона иностранная ;  ;  ;  ;  ; 9 ; kaa123 ; 30 
 3130 ; Бона иностранная ;  ;  ;  ;  ; 1 ; QSL ; 21 
 3131 ; Бона иностранная ;  ;  ;  ;  ; 6 ; natallli ; 26 
 3132 ; Бона иностранная ;  ;  ;  ;  ; 15 ; джокер ; 31 
 3133 ; Бона иностранная ;  ;  ;  ;  ; 4 ; natallli ; 26 
 3134 ; Бона иностранная ;  ;  ;  ;  ; 4 ; natallli ; 26 
 3135 ; Бона иностранная ;  ;  ;  ;  ; 20 ; джокер ; 32 
 3136 ; Бона иностранная ;  ;  ;  ;  ; 4 ; natallli ; 26 
 3137 ; Бона иностранная ;  ;  ;  ;  ; 2 ; джокер ; 29 
 3138 ; Бона иностранная ;  ;  ;  ;  ; 10 ; natallli ; 26 
 3139 ; Бона иностранная ;  ;  ;  ;  ; 16 ; джокер ; 31 
 3140 ; Бона иностранная ;  ;  ;  ;  ; 18 ; джокер ; 31 
 3141 ; Бона иностранная ;  ;  ;  ;  ; 14 ; джокер ; 31 
 3142 ; Бона иностранная ;  ;  ;  ;  ; 11 ; smel ; 62 
 3143 ; Бона иностранная ;  ;  ;  ;  ; 16 ; джокер ; 31 
 3144 ; Бона иностранная ;  ;  ;  ;  ; 8 ; lelik ; 40 
 3145 ; Бона иностранная ;  ;  ;  ;  ; 7 ; kaa123 ; 30 
 3146 ; Бона иностранная ;  ;  ;  ;  ; 3 ; QSL ; 26 
 3047 ; 500 рублей ; 1919 ; Грузия ;  ;  ; 33 ; Vasiliy sh ; 346 
 3048 ; 5000000 рублей ; 1923 ; Закавказье ;  ;  ; 67 ; Bolt ; 529 
 3049 ; 5000000 рублей ; 1923 ; Закавказье ;  ;  ; 45 ; Bolt ; 313 
 3050 ; 5000 рублей. Грузия ; 1921 ;  ;  ;   ; 29 ; нумизмат ; 223 
 3051 ; 15 копеек. Квартблок ; 1915 ; Деньги-марки ;  ; AU ; 21 ; Sky2 ; 190 
 3052 ; 15 копеек. Квартблок ; 1915 ; Деньги-марки ;  ; AU ; 28 ; dartweider08 ; 206 
 3053 ; 15 копеек. Квартблок ; 1915 ; Деньги-марки ;  ; AU ; 23 ; robinson ; 246 
 3054 ; 15 копеек. Квартблок ; 1915 ; Деньги-марки ;  ; AU ; 21 ; Sky2 ; 241 
 3055 ; 3 копейки. Квартблок ; 1915 ; Деньги-марки ;  ; AU ; 37 ; robinson ; 453 
 3056 ; 10 копеек. Квартблок ; 1915 ; Деньги-марки ;  ; AU ; 48 ; robinson ; 399 
 3057 ; 20 копеек. Квартблок ; 1915 ; Деньги-марки ;  ; AU ; 31 ; robinson ; 413 
 3058 ; 1 рубль. Рига ; 1919 ; Латвия. Разменный знак ;  ; AU ; 23 ; tss ; 826 
 3059 ; 50 копеек. Сибирское в.п. ; 1919 ;  ;  ; AU ; 25 ; alyans-met ; 300 
 3060 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 14 ; Elvin ; 74 
 3061 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 15 ; chemist ; 77 
 3062 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 4 ; fvm ; 57 
 3063 ; 1 рубль. Родзянко ; 1919 ;  ;  ; AU ; 39 ; dartweider08 ; 729 
 3064 ; 3 рубля. Родзянко ; 1919 ;  ;  ; AU ; 45 ; dartweider08 ; 714 
 3065 ; 10 рублей. Родзянко ; 1919 ;  ;  ; AU ; 26 ; р64 ; 700 
 3066 ; 50 рублей ; 1919 ; Азербайджан ;  ; AU ; 71 ; Захар ; 635 
 3067 ; 5 рублей ; 1918 ; Закавказье ;  ; AU ; 40 ; Ksn ; 789 
 3068 ; 10 рублей ; 1918 ; Закавказье ;  ; AU ; 66 ; Bolt ; 580 
 3069 ; 10 рублей ; 1918 ; Закавказье ;  ; AU ; 31 ; Ksn ; 699 
 3070 ; 10000 рублей. Ужд Закавказья ;  ;  ;  ; AU ; 51 ; 67 ; 743 
 3071 ; 5 рублей ; 1918 ; Казначейский знак Сибирского в ;  ; AU ; 23 ; torus72 ; 510 
 3072 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 38 ; chemist ; 327 
 3073 ; 50 рублей. Армения ; 1919 ;  ;  ; AU ; 40 ; Захар ; 512 
 3074 ; 5000 рублей ; 1921 ; Армения ;  ; AU ; 78 ; 67 ; 984 
 3075 ; 10 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ; AU ; 51 ; seaman ; 1730 
 3076 ; 25 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ; AU ; 48 ; luvver ; 1581 
 3077 ; 100 рублей. Армения ; 1919 ;  ;  ; AU ; 42 ; 67 ; 885 
 3078 ; 250 рублей. Армения ; 1919 ;  ;  ; AU ; 23 ; rmiller ; 506 
 3079 ; 500 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ; AU ; 67 ; seaman ; 294 
 3080 ; 5 рублей. Рига ; 1919 ; Латвия. Разменный знак ;  ; AU ; 35 ; seaman ; 867 
 3081 ; 10 рублей ; 1919 ; Грузия ;  ; AU ; 45 ; Даймлер ; 516 
 3082 ; 10 рублей ; 1918 ; Туркестан ;  ; AU ; 26 ; Даймлер ; 1033 
 3083 ; 5000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ; AU ; 63 ; seaman ; 1328 
 3084 ; 25 рублей ; 1918 ; 2 подписи Гос.кредитные билеты ;  ; AU ; 23 ; luvver ; 2081 
 3085 ; 100 рублей ; 1918 ; 2 подписи Гос.кредитные билеты ;  ; AU ; 42 ; конь ; 1696 
 3086 ; 100 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 33 ; seaman ; 251 
 3087 ; 100 рублей ; 1918 ; Закавказье ;  ; AU ; 55 ; Ksn ; 854 
 3088 ; 100 рублей ; 1919 ; Грузия ;  ; AU ; 106 ; 67 ; 698 
 3089 ; 500 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ; AU ; 64 ; seaman ; 3570 
 3090 ; 1000 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ; AU ; 79 ; Ksn ; 3570 
 3091 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 50 ; SlavA ; 357 
 3092 ; 100 гривень ; 1918 ; Украина.Державный Кредитовий б ;  ; AU ; 39 ; 67 ; 2051 
 3093 ; 500 гривень ; 1918 ; Украина.Державный Кредитовий б ;  ; AU ; 27 ; 67 ; 2051 
 3094 ; 100 рублей. Временная власть Прибайкалья ; 1918 ; Гос.кредитный билет Прибайкаль ;  ;   ; 83 ; dartweider08 ; 1527 
 3095 ; 5 рублей ; 1828 ; Ассигнация ;  ;  ; 74 ; dartweider08 ; 42840 
 3096 ; 5000 рублей. Туркестан ; 1920 ;  ;  ;  ; 20 ; нумизмат ; 744 
 2500 ; Лот монет Восточной Африки: 50 центов, 1 шиллинг (2шт) ; 1922,1924 ;  ; Ag ; F-VF ; 55 ; vc57 ; 228 
 2501 ; Набор монет Сан-Марино: 500,100,50,20,10,5,2,1 лир (8шт). Упаковка ; 1973 ;  ; Ag,St,Al/B ; AU ; 31 ; rbcrf ; 625 
 2502 ; Лот иностранных монет (17шт): Великобритания, Канада, Финляндия, Германия, США, Швеция, Исландия ; XX в ;  ; Cu/Ni, Al/ ; VF-/XF ; 34 ; lee ; 164 
 2503 ; Лот иностранных монет (36шт): Германия, Португалия, Франция, Великобритания, Канада, Швеция, Польша, Испания, Югославия, Аргентина, Дания, Уругвай, Бразилия, США, Бельгия, Израиль ; XX в ;  ; Cu/Ni, Al/ ; VF-/XF- ; 101 ; Bigmouse ; 344 
 3001 ; 15 копеек ; 1915 ; Деньги-марки ;  ;  ; 23 ; selezsi ; 59 
 3002 ; 3 копейки ; 1915 ; Деньги-марки ;  ;  ; 50 ; robinson ; 129 
 3003 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 15 ; robinson ; 64 
 3004 ; 15 копеек ; 1915 ; Деньги-марки ;  ;  ; 6 ; р64 ; 44 
 3005 ; 25 рублей ; 1922 ;  ;  ;  ; 18 ; dartweider08 ; 216 
 3006 ; 10 копеек ; 1920 ; Латвия. Разменный знак ;  ;  ; 8 ; sher60 ; 134 
 3007 ; 3 рубля ; 1922 ; Гос.денежные знаки 1922 г.(обр ;  ;  ; 25 ; нумизмат ; 383 
 3008 ; 5 рублей. Сцепка 2 шт. ; 1920 ; Расчетные знаки РСФСР образца  ;  ;  ; 39 ; igors1969 ; 161 
 3009 ; 15 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 27 ; Elvin ; 104 
 3010 ; 25 пенни ; 1918 ;  ;  ;  ; 16 ; sher60 ; 153 
 3011 ; 1 копейка ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 7 ; evgen72 ; 150 
 3012 ; 3 копейки ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 17 ; evgen72 ; 118 
 3013 ; 5 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 36 ; chemist ; 153 
 3014 ; 1000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 29 ; vladzory ; 151 
 3015 ; 500 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 15 ; num ; 179 
 3016 ; 250 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 23 ; vladzory ; 251 
 3017 ; 30 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 11 ; Elvin ; 147 
 3018 ; 100 рублей ; 1920 ; Азербайджан ;  ;  ; 3 ; Vasiliy sh ; 521 
 3019 ; 1 марка. Финляндия ; 1916 ;  ;  ;  ; 33 ; sher60 ; 221 
 3020 ; 1 марка. Финляндия ; 1918 ;  ;  ;  ; 22 ; sher60 ; 153 
 3021 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 17 ; Elvin ; 45 
 3022 ; 50 копеек. Екатеринодар ;  ;  ;  ;  ; 29 ; fvm ; 164 
 3023 ; 80 копеек. Чек ;  ;  ;  ;  ; 15 ; tiout ; 108 
 3024 ; 1000 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 8 ; Lena13 ; 100 
 3025 ; 1000 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 18 ; selivanis ; 82 
 3026 ; 1000 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 17 ; Elvin ; 83 
 3027 ; 1000 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 14 ; chemist ; 90 
 3028 ; 5 рублей ; 1918 ; Закавказье ;  ;  ; 30 ; num ; 123 
 3029 ; 1 рубль ; 1918 ; Казначейский знак Сибирского в ;  ;  ; 37 ; dartweider08 ; 159 
 3030 ; 10 рублей ; 1918 ; Закавказье ;  ;  ; 28 ; lesnik1 ; 153 
 3031 ; 5 рублей. Сцепка 6 шт. ; 1920 ; Расчетные знаки РСФСР образца  ;  ;  ; 19 ; vladzory ; 918 
 3032 ; 50 рублей. Ростов ; 1919 ;  ;  ;  ; 41 ; torus72 ; 529 
 3033 ; 50 рублей ; 1923 ; Гос.денежные знаки. Первый вып ;  ;  ; 14 ; chemist ; 210 
 3034 ; 50 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 10 ; num ; 206 
 3035 ; 1 рубль. Ростов ; 1918 ;  ;  ;  ; 19 ; ДСВ777 ; 149 
 3036 ; 25 рублей. Ростов ; 1918 ;  ;  ;  ; 21 ; kaa123 ; 132 
 3037 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 6 ; Elvin ; 104 
 3038 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 21 ; vladzory ; 100 
 3039 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные б ;  ;  ; 11 ; Pil0t ; 38 
 3040 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные б ;  ;  ; 4 ; Elvin ; 50 
 3041 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные б ;  ;  ; 3 ; Simpaga ; 51 
 3042 ; 100 рублей ; 1919 ; Грузия ;  ;  ; 15 ; dartweider08 ; 129 
 3043 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 19 ; Elvin ; 104 
 3044 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 16 ; vladzory ; 101 
 3045 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 20 ; gir ; 143 
 3046 ; 250 рублей ; 1918 ; Закавказье ;  ;  ; 44 ; lesnik1 ; 211 
 2450 ; 2 лева. Болгария ; 1882 ;  ; Ag ; VF ; 35 ; Xe72 ; 400 
 2451 ; 2 лева. Болгария ; 1894 ;  ; Ag ; VF ; 16 ; smel ; 368 
 2452 ; 2 лева. Болгария. Летние Олимпийские игры в Сеуле ; 1988 ;  ; Cu/Ni ; AU ; 18 ; marsik ; 128 
 2453 ; 50 стотинок. Болгария ; 1913 ;  ; Ag ; AU ; 39 ; rizovtpl ; 359 
 2454 ; 50 стотинок. Болгария ; 1913 ;  ; Ag ; XF+ ; 23 ; gelind ; 132 
 2455 ; 20 стотинок. Болгария ; 1974 ;  ; Ni/Латунь ; VF+ ; 3 ; lee ; 4 
 2456 ; 50 сантимов. Бельгия ; 1909 ;  ; Ag ; VF- ; 41 ; gelind ; 160 
 2457 ; 100 динар. Югославия. Зимние олимпийские игры ; 1982 ;  ; Ag ; Proof ; 17 ; fantom1975 ; 536 
 2458 ; 10 динар. Югославия ; 1931 ;  ; Ag ; XF+ ; 37 ; av ; 396 
 2459 ; 20 злотых. Польша. Марсель Новотко ; 1976 ;  ; Cu/Ni ; F-VF ; 13 ; Saneck ; 14 
 2460 ; 3 гроша. Польша ; 1794 ;  ; Cu ; F ; 42 ; MDV ; 407 
 2461 ; 2 гроша. Польша ; 1936 ;  ; Cu ; VF-XF ; 4 ; ICEK ; 420 
 2462 ; Грош. Польша. Август III Толстый ; 1755 ;  ; Cu ; F+ ; 15 ; fav ; 83 
 2463 ; 1/2 гульдена. Данциг ; 1923 ;  ; Ag ; VF ; 81 ; ICEK ; 1477 
 2464 ; 1 лат. Латвия ; 1924 ;  ; Ag ; VF+ ; 36 ; Sterh ; 104 
 2465 ; 50 сантимов. Латвия ; 1922 ;  ; Ni ; VF+ ; 49 ; sandy ; 83 
 2466 ; 2 сантима. Латвия ; 1922 ;  ; Br ; VF- ; 17 ; MDV ; 81 
 2467 ; 2 сантима. Латвия ; 1939 ;  ; Br ; XF ; 29 ; Sky2 ; 164 
 2468 ; 1 сантим. Латвия ; 1928 ;  ; Br ; AU ; 57 ; да ; 617 
 2469 ; 20 рублей. Белоруссия. Всеслав Полоцкий ; 2005 ;  ; Ag925 ; Proof ; 63 ; soouo ; 714 
 2470 ; 20 рублей. Белоруссия. Глеб Минский. Сертификат ; 2007 ;  ; Ag925 ; Proof ; 70 ; МЮВ ; 906 
 2471 ; 5 марок. Финляндия. Ледокол Варма ; 1972 ;  ; Al/Br ; AU ; 60 ; Uncle ; 105 
 2472 ; 5 марок. Финляндия. Ледокол Варма ; 1976 ;  ; Al/Br ; AU ; 64 ; Uncle ; 81 
 2473 ; 5 марок. Финляндия. Ледокол Урхо ; 1984 ;  ; Al/Br ; AU ; 20 ; topotun ; 273 
 2474 ; 50 эре. Швеция ; 1956 ;  ; Ag ; XF ; 24 ; natallli ; 33 
 2475 ; 10 эре. Швеция ; 1871 ;  ; Ag ; VF- ; 52 ; cochu ; 245 
 2476 ; 2 эре. Швеция ; 1889 ;  ; Br ; VF- ; 27 ; aleksius ; 55 
 2477 ; 1 унция серебра. М-1 Карабин ;  ;  ; Ag ; Proof ; 30 ; alex1959 ; 878 
