 101 ; 15 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 25 ; verunk1 ; 2700 
 55 ; 10 копеек ; 1844 ; СПБ КБ ; Ag ; XF- ; 41 ; Продано в зале ; 12000 
 56 ; 2 копейки ; 1844 ; ЕМ ; Cu ; XF ; 24 ; Продано в зале ; 1500 
 57 ; 5 копеек ; 1846 ; СПБ ПА ; Ag ; XF ; 28 ; Продано в зале ; 4600 
 58 ; 1/4 копейки (Ильин-2р) ; 1846 ; СМ ; Cu ; F-VF ; 8 ; Продано в зале ; 2100 
 59 ; 10 копеек ; 1849 ; СПБ ПА ; Ag ; XF/AU ; 27 ; якши37 ; 4000 
 60 ; Рубль ; 1851 ; СПБ ПА ; Ag ; AU ; 55 ; Продано в зале ; 25000 
 61 ; 2 копейки ; 1851 ; ЕМ ; Cu ; VF+ ; 16 ; Sky2 ; 2586 
 62 ; Денежка ; 1851 ; ЕМ ; Cu ; VF-XF ; 27 ; ealiev ; 996 
 63 ; Денежка ; 1852 ; ЕМ ; Cu ; XF- ; 38 ; taa ; 1457 
 64 ; 2 копейки ; 1853 ; ЕМ ; Cu ; VF+/XF- ; 29 ; Продано в зале ; 1300 
 65 ; Полтина ; 1855 ; СПБ HI ; Ag ; AU ; 43 ; Продано в зале ; 17000 
 66 ; 3 копейки ; 1855 ; ЕМ ; Cu ; VF+ ; 27 ; АЦТЕК ; 1700 
 67 ; 2 копейки ; 1856 ; ЕМ ; Cu ; VF+/XF ; 7 ; Продано в зале ; 1500 
 68 ; 5 копеек ; 1857 ; ЕМ ; Cu ; VF+ ; 12 ; Продано в зале ; 1600 
 69 ; 2 копейки ; 1858 ; ЕМ ; Cu ; VF+ ; 30 ; Sky2 ; 1324 
 70 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 19 ; ksv11 ; 1533 
 71 ; 15 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; AU/XF ; 21 ; Продано в зале ; 4200 
 72 ; 5 копеек ; 1863 ; ЕМ ; Cu ; VF+ ; 21 ; Sky2 ; 1530 
 73 ; 20 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 30 ; Продано в зале ; 2100 
 74 ; 2 копейки ; 1865 ; ЕМ ; Cu ; VF+ ; 8 ; Продано в зале ; 460 
 75 ; 15 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 23 ; Продано в зале ; 2200 
 76 ; 20 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 6 ; ksv11 ; 2100 
 77 ; Полтина ; 1877 ; СПБ HI ; Ag ; AU ; 27 ; Продано в зале ; 11000 
 78 ; 15 копеек ; 1877 ; СПБ HI ; Ag ; XF+ ; 19 ; Продано в зале ; 2800 
 79 ; 5 копеек ; 1877 ; СПБ ; Cu ; VF-XF ; 49 ; taa ; 1024 
 80 ; 5 копеек ; 1878 ; СПБ ; Cu ; VF-XF ; 52 ; _kit ; 1046 
 81 ; 5 копеек ; 1880 ; СПБ ; Cu ; VF+ ; 36 ; нумизмат ; 1353 
 82 ; Рубль ; 1881 ; СПБ НФ ; Ag ; XF ; 55 ; Продано в зале ; 20000 
 83 ; 10 копеек ; 1881 ; СПБ НФ ; Ag ; AU ; 17 ; verunk1 ; 5500 
 84 ; 15 копеек ; 1883 ; СПБ АГ ; Ag ; VF ; 16 ; Продано в зале ; 5500 
 85 ; Полтина ; 1887 ; (АГ) ; Ag ; VF-XF ; 41 ; Продано в зале ; 27000 
 86 ; 1/4 копейки ; 1887 ; СПБ ; Cu ; XF+ ; 27 ; кве ; 3570 
 87 ; 20 копеек ; 1889 ; СПБ АГ ; Ag ; AU ; 46 ; Продано в зале ; 3100 
 88 ; 1/2 копейки ; 1889 ; СПБ ; Cu ; AU ; 39 ; Продано в зале ; 1700 
 89 ; Рубль ; 1891 ; (АГ) ; Ag ; VF-XF ; 37 ; Продано в зале ; 14500 
 90 ; 1 пенни ; 1892 ; Финляндия ; Cu ; AU ; 49 ; DennisG ; 1103 
 91 ; 25 копеек ; 1895 ; АГ ; Ag ; XF/AU ; 19 ; Продано в зале ; 7000 
 92 ; 10 копеек ; 1897 ; СПБ АГ ; Ag ; AU ; 22 ; Продано в зале ; 7500 
 93 ; Рубль ; 1898 ; (АГ) На открытие памятника Александру II ; Ag ; XF+ ; 29 ; finger ; 148920 
 94 ; 10 копеек. Редкие буквы минцмейстера для данного года ; 1899 ; СПБ ЭБ ; Ag ; AU ; 23 ; Продано в зале ; 7700 
 95 ; 5 копеек ; 1899 ; СПБ ЭБ ; Ag ; VF- ; 5 ; zybr ; 1245 
 96 ; Копейка ; 1899 ; СПБ ; Cu ; XF ; 13 ; tpls ; 408 
 97 ; 1 пенни ; 1899 ; Финляндия ; Cu ; AU ; 29 ; 439 ; 1005 
 98 ; 15 копеек ; 1900 ; СПБ ФЗ ; Ag ; AU ; 11 ; verunk1 ; 4000 
 99 ; 20 копеек ; 1903 ; СПБ АР ; Ag ; AU ; 41 ; verunk1 ; 3400 
 100 ; 5 рублей. М-4,30гр ; 1904 ; (АР) ; Au ; AU ; 49 ; opop ; 19699 
 1 ; Копейка (Петров-8р, Ильин-3р) ; 1708 ; БК ; Cu ; F+ ; 15 ; Пупс ; 3162 
 2 ; Полтина (Петров-3р) ; 1721 ;  ; Ag ; VF ; 26 ; Продано в зале ; 42000 
 3 ; Рубль ; 1723 ;  ; Ag ; XF- ; 24 ; якши37 ; 30000 
 4 ; Рубль (Петров-3,5, Ильин-3р) ; 1727 ;  ; Ag ; VF+ ; 59 ; нумизмат ; 55714 
 5 ; Рубль (Петров-3,5р) ; 1728 ;  ; Ag ; VF+ ; 40 ; gors ; 30000 
 6 ; Рубль ; 1728 ;  ; Ag ; XF- ; 59 ; Продано в зале ; 58000 
 7 ; Полтина (Петров-2,5р) ; 1733 ;  ; Ag ; VF+ ; 25 ; Thunder ; 14858 
 8 ; Денга ; 1737 ;  ; Cu ; VF ; 34 ; Sky2 ; 816 
 9 ; Полуполтинник (Петров-3р) ; 1743? ; ММД ; Ag ; VF+ ; 25 ; Продано в зале ; 14000 
 10 ; Рубль ; 1744 ; СПБ ; Ag ; VF/XF- ; 46 ; якши37 ; 19380 
 11 ; Рубль ; 1747 ; СПБ ; Ag ; VF/VF+ ; 37 ; якши37 ; 18000 
 12 ; Денга. Брак чеканки ; 1748 ;  ; Cu ; VF- ; 13 ; 125346 ; 612 
 13 ; 5 копеек ; 1757 ; СПБ ; Ag ; XF+ ; 28 ; Продано в зале ; 6200 
 14 ; Рубль ; 1762 ; СПБ НК TI ; Ag ; VF+ ; 37 ; якши37 ; 18360 
 15 ; Полтина ; 1763 ; СПБ ЯI ; Ag ; VF- ; 41 ; leo 2 ; 15222 
 16 ; 2 копейки ; 1769 ; ЕМ ; Cu ; VF+ ; 19 ; Продано в зале ; 750 
 17 ; 2 копейки ; 1776 ; КМ "Сибирь" ; Cu ; VF+ ; 44 ; нумизмат ; 2505 
 18 ; 5 копеек ; 1778 ; ЕМ ; Cu ; VF ; 5 ; Ученик ; 643 
 19 ; Рубль. М-1,15г ; 1779 ; "Для дворцового обихода" ; Au ; XF ; 14 ; finger ; 42840 
 20 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF+ ; 48 ; Продано в зале ; 24000 
 21 ; Полушка  (Петров-2,5р, Ильин-3р) ; 1784 ; КМ ; Cu ; F-VF ; 24 ; taa ; 1326 
 22 ; 5 копеек. М-41,43гр ; 1788 ; ЕМ ; Cu ; XF ; 21 ; 439 ; 1938 
 23 ; 2 копейки (Петров-2р, Ильин-3р) ; 1789 ; АМ ; Cu ; F-VF ; 46 ; OMT ; 6185 
 24 ; 5 копеек ; 1790 ; ЕМ ; Cu ; VF-XF ; 24 ; Продано в зале ; 1100 
 25 ; Денга (Петров-1р, Ильин-5р) ; 1790 ;  ; Cu ; F+ ; 21 ; vvt ; 4182 
 26 ; Полуполтинник ; 1791 ; СПБ ЯА ; Ag ; XF- ; 33 ; _kit ; 9500 
 27 ; Полушка (Ильин-4р) ; 1792 ; КМ ; Cu ; VF ; 49 ; vvt ; 4628 
 28 ; Копейка ; 1795 ; ЕМ ; Cu ; VF+ ; 35 ; Продано в зале ; 1300 
 29 ; Полушка (Петров-3р, Ильин-3р) ; 1797 ; КМ ; Cu ; F-VF ; 47 ; vvt ; 6335 
 30 ; Рубль ; 1801 ; СМ АИ ; Ag ; VF+ ; 41 ; DennisG ; 28560 
 31 ; Полуполтинник (Петров-2,25р) ; 1809 ; СПБ МК ; Ag ; F-VF ; 18 ; double ; 20000 
 32 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; VF-XF ; 34 ; OMT ; 2042 
 33 ; 2 копейки ; 1810 ; КМ ; Cu ; VF+ ; 13 ; Продано в зале ; 680 
 34 ; 2 копейки ; 1812 ; КМ ; Cu ; VF+ ; 7 ; Продано в зале ; 1100 
 35 ; 2 копейки ; 1812 ; ИМ ПС ; Cu ; XF ; 19 ; OMT ; 2000 
 36 ; Деньга (Петров-4р, Ильин-3р) ; 1817 ; КМ АМ ; Cu ; VF- ; 16 ; 125346 ; 2552 
 37 ; Копейка ; 1818 ; КМ ДБ ; Cu ; VF+ ; 18 ; vvt ; 1532 
 38 ; 2 копейки ; 1820 ; ЕМ НМ ; Cu ; VF+ ; 17 ; Продано в зале ; 110 
 39 ; 10 копеек ; 1821 ; СПБ ПД ; Ag ; XF ; 38 ; vvt ; 2142 
 40 ; Рубль ; 1828 ; СПБ НГ ; Ag ; VF-XF ; 24 ; ksv11 ; 13872 
 41 ; Полтина ; 1828 ; СПБ НГ ; Ag ; XF+ ; 45 ; Продано в зале ; 72000 
 42 ; Копейка ; 1828 ; ЕМ ИК ; Cu ; VF+ ; 33 ; Продано в зале ; 1050 
 43 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF+ ; 29 ; Продано в зале ; 18000 
 44 ; 2 злотых ; 1831 ; KG польское восстание 1830-1831 гг. ; Ag ; AU ; 57 ; monos72 ; 18870 
 45 ; 5 копеек ; 1831 ; ЕМ ФХ ; Cu ; XF ; 17 ; ostman ; 1600 
 46 ; 10 копеек ; 1832 ; ЕМ ФХ ; Cu ; VF+ ; 33 ; ksv11 ; 7000 
 47 ; 10 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF+ ; 33 ; Продано в зале ; 5500 
 48 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF- ; 32 ; Sky2 ; 3317 
 49 ; 10 копеек ; 1834 ; ЕМ ФХ ; Cu ; VF+ ; 18 ; Продано в зале ; 8000 
 50 ; 5 копеек ; 1835 ; ЕМ ФХ ; Cu ; VF+ ; 21 ; ksv11 ; 1632 
