 151 ; Медаль. Император Наполеон Бонапарт. В память завоевания Истрии. 1806. Храм Августа. Франция. D-40мм ;  ;  ; Br ; XF ; 15 ; sm-dc ; 5000 
 103 ; 3 копейки ; 1859 ; ЕМ ; Cu ; XF- ; 18 ; CapsulЪ ; 2400 
 104 ; 2 копейки ; 1796 ; ЕМ ; Cu ; VF+ ; 21 ; Продано в зале ; 1800 
 105 ; 2 копейки (Петров-1р) ; 1797 ;  ; Cu ; VF ; 21 ; CapsulЪ ; 7250 
 106 ; 2 копейки ; 1798 ; ЕМ ; Cu ; XF ; 28 ; CapsulЪ ; 1300 
 107 ; 2 копейки ; 1801 ; ЕМ ; Cu ; VF-XF ; 3 ; sheriff 0 ; 227 
 108 ; 2 копейки ; 1811 ; СПБ МК ; Cu ; VF-XF ; 10 ; CapsulЪ ; 750 
 109 ; 2 копейки ; 1820 ; КМ АД ; Cu ; XF- ; 13 ; sheriff 0 ; 816 
 110 ; 2 копейки ; 1824 ; КМ АМ ; Cu ; XF ; 11 ; sheriff 0 ; 1200 
 111 ; 2 копейки ; 1825 ; КМ АМ ; Cu ; XF ; 15 ; sheriff 0 ; 1500 
 112 ; 2 копейки ; 1827 ; КМ АМ ; Cu ; XF+ ; 6 ; I3 ; 2400 
 113 ; 2 копейки ; 1837 ; ЕМ НА ; Cu ; XF- ; 16 ; CapsulЪ ; 3600 
 114 ; 2 копейки ; 1843 ; СПМ ; Cu ; XF- ; 25 ; CapsulЪ ; 6750 
 115 ; 2 копейки ; 1893 ; СПБ ; Cu ; XF+ ; 19 ; Продано в зале ; 1600 
 116 ; Копейка ; 1819 ; КМ АД ; Cu ; VF+ ; 17 ; I3 ; 1600 
 117 ; Копейка ; 1840 ; ЕМ ; Cu ; XF- ; 25 ; Продано в зале ; 800 
 118 ; Копейка ; 1862 ; ЕМ ; Cu ; XF ; 53 ; sergius ; 2400 
 119 ; Копейка ; 1882 ; СПБ ; Cu ; XF ; 30 ; Продано в зале ; 1600 
 120 ; Копейка ; 1888 ; СПБ ; Cu ; XF+ ; 40 ; Продано в зале ; 2800 
 121 ; Копейка ; 1895 ; СПБ ; Cu ; XF ; 27 ; DiatezЪ ; 950 
 122 ; Копейка ; 1898 ; СПБ ; Cu ; XF ; 15 ; Продано в зале ; 1100 
 123 ; Копейка. Капсула ННР ; 1899 ; СПБ ; Cu ;  ; 32 ; Продано в зале ; 5000 
 124 ; Копейка ; 1899 ; СПБ ; Cu ; XF+ ; 22 ; sergius ; 1300 
 125 ; Денга ; 1748 ;  ; Cu ; VF-XF ; 49 ; Продано в зале ; 5000 
 126 ; Денга ; 1750 ;  ; Cu ; VF+ ; 54 ; Продано в зале ; 8500 
 127 ; Денга (Ильин-1р) ; 1793 ; КМ ; Cu ; VF+ ; 27 ; I3 ; 3400 
 128 ; Деньга ; 1804 ; КМ ; Cu ; VF+ ; 30 ; Продано в зале ; 16000 
 129 ; Деньга ; 1805 ; КМ ; Cu ; F-VF ; 31 ; Kupferberg ; 4400 
 130 ; Деньга (Петров-7р) ; 1811 ; ЕМ НМ ; Cu ; F ; 38 ; CapsulЪ ; 8000 
 131 ; Деньга (Петров-4,5р, Ильин-3р) ; 1815 ; КМ АМ ; Cu ; VF- ; 12 ; CapsulЪ ; 1100 
 132 ; Деньга ; 1819 ; ЕМ НМ ; Cu ; VF-XF ; 18 ; CapsulЪ ; 850 
 133 ; 1/2 копейки ; 1840 ; СПМ ; Cu ; XF ; 43 ; Борис Моисеич ; 1000 
 134 ; 1/2 копейки ; 1842 ; СПМ ; Cu ; XF ; 43 ; taa ; 1146 
 135 ; Денежка ; 1850 ; ЕМ ; Cu ; XF ; 16 ; Продано в зале ; 1200 
 136 ; Денежка ; 1851 ; ЕМ ; Cu ; XF ; 18 ; anna53 ; 1500 
 137 ; Денежка ; 1862 ; ЕМ ; Cu ; XF- ; 23 ; CapsulЪ ; 1600 
 138 ; 1/2 копейки ; 1900 ; СПБ ; Cu ; AU ; 22 ; DiatezЪ ; 3800 
 139 ; 1/4 копейки ; 1843 ; СМ ; Cu ; VF-XF ; 17 ; velisarit ; 1400 
 140 ; 1/4 копейки ; 1844 ; СМ ; Cu ; VF-XF ; 9 ; velisarit ; 1463 
 141 ; Полушка ; 1859 ; ЕМ ; Cu ; XF- ; 13 ; CapsulЪ ; 900 
 142 ; Медаль. Император Наполеон Бонапарт. Февральская кампания 1814г. Орел на пучке молний. Франция. D-41мм ;  ;  ; Br ; XF+ ; 17 ; sm-dc ; 5310 
 143 ; Памятная медаль. Смерть Наполеона Бонапарта на острове Святой Елены. Франция. D-41мм ;  ;  ; Br ; XF+ ; 17 ; Продано в зале ; 8500 
 144 ; Медаль. Император Наполеон Бонапарт. Император галлов. Битва под Ваграмом 5 — 6 июля 1809. Франция. D-42мм ;  ;  ; Br ; XF- ; 13 ; sm-dc ; 5000 
 145 ; Медаль. Император Наполеон Бонапарт. Перенос останков Наполеона в Собор Дома инвалидов. Франция. D-41мм ;  ;  ; Br ; XF+ ; 27 ; sm-dc ; 5500 
 146 ; Медаль. Император Наполеон Бонапарт. Возвращение Венеции в Италию. 26 декабря 1805. Франция. D-40мм ;  ;  ; Br ; XF+ ; 13 ; Чуча ; 4600 
 147 ; Медаль. Император Наполеон Бонапарт. Открытие канала Урк. Франция. D-40мм ;  ;  ; Br ; AU ; 15 ; sm-dc ; 7000 
 148 ; Медаль. Император Наполеон Бонапарт. Взятие Вены и Прессбурга (Братиславы). Франция. D-40мм ;  ;  ; Br ; AU ; 27 ; sm-dc ; 5250 
 149 ; Медаль. Император Наполеон Бонапарт. Завоевание Неаполя 1806. Франция. D-40мм ;  ;  ; Br ; XF+ ; 9 ; sm-dc ; 6581 
 150 ; Медаль. Император Наполеон Бонапарт. В память пересечения Симплона. 1807. Франция. D-41мм ;  ;  ; Br ; AU ; 15 ; sm-dc ; 6000 
 51 ; Рубль ; 1896 ; ( * ) ; Ag ; XF+ ; 26 ; NikTop ; 9000 
 52 ; Рубль ; 1896 ; (АГ) ; Ag ; XF ; 17 ; штурман ; 4400 
 53 ; Рубль ; 1897 ; ( ** ) ; Ag ; XF ; 44 ; Продано в зале ; 6000 
 54 ; Рубль ; 1897 ; ( ** ) ; Ag ; XF+ ; 30 ; sdv75-2010 ; 9000 
 55 ; Рубль. Капсула ННР ; 1897 ; (АГ) ; Ag ;  ; 43 ; Ok203 ; 7933 
 56 ; Рубль ; 1897 ; (АГ) ; Ag ; XF ; 41 ; NikTop ; 6500 
 57 ; Рубль ; 1898 ; (АГ) На открытие памятника Александру II ; Ag ; VF-XF ; 40 ; vic-dmitri ; 80000 
 58 ; Рубль ; 1898 ; (АГ) ; Ag ; XF+ ; 40 ; Продано в зале ; 7000 
 59 ; Рубль ; 1899 ; (ФЗ) ; Ag ; XF+ ; 22 ; Продано в зале ; 10000 
 60 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; VF-XF ; 25 ; заяц побегаец ; 68205 
 61 ; Рубль ; 1912 ; (ЭБ) ; Ag ; XF- ; 11 ; CMSpb ; 6750 
 62 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 38 ; vonrussel ; 12000 
 63 ; Рубль ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; VF-XF ; 11 ; заяц побегаец ; 6789 
 64 ; Рубль ; 1914 ; (ВС) ; Ag ; VF-XF ; 30 ; NikTop ; 34000 
 65 ; Рубль ; 1915 ; (ВС) ; Ag ; XF+/AU ; 33 ; CapsulЪ ; 28000 
 66 ; Полтина (Петров-2,5р, Ильин-3р) ; 1726 ; СПБ ; Ag ; VF ; 49 ; Продано в зале ; 27000 
 67 ; Полтина (Петров-2,5р, Ильин-3р) ; 1738 ;  ; Ag ; VF-XF ; 38 ; Valera G ; 30000 
 68 ; Полтина (Петров-2,5р, Ильин-3р) ; 1765 ; СПБ СА ; Ag ; VF ; 29 ; Гостомысл ; 16000 
 69 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 38 ; vic-dmitri ; 13000 
 70 ; Полтина ; 1878 ; СПБ НФ ; Ag ; XF ; 21 ; sdv75-2010 ; 6500 
 71 ; Полтина ; 1894 ; (АГ) ; Ag ; XF ; 36 ; Продано в зале ; 17000 
 72 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; XF+ ; 39 ; ZOLTAN 333 ; 11000 
 73 ; 25 копеек ; 1827 ; СПБ НГ ; Ag ; VF-XF ; 25 ; taa ; 7777 
 74 ; 25 копеек ; 1847 ; СПБ ПА ; Ag ; XF ; 15 ; Продано в зале ; 3500 
 75 ; 25 копеек ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 28 ; sdv75-2010 ; 6000 
 76 ; 25 копеек ; 1879 ; СПБ НФ ; Ag ; XF ; 73 ; sergius ; 52000 
 77 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; VF-XF ; 38 ; vtoth ; 16000 
 78 ; 20 копеек. Капсула ННР ; 1873 ; СПБ HI ; Ag ;  ; 18 ; il468 ; 2055 
 79 ; 10 копеек ; 1845 ; СПБ КБ ; Ag ; XF+ ; 21 ; sm-dc ; 2424 
 80 ; 10 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 31 ; I3 ; 3200 
 81 ; 5 копеек ; 1835 ; СПБ НГ ; Ag ; XF ; 21 ; CapsulЪ ; 2000 
 82 ; 5 копеек ; 1845 ; СПБ КБ ; Ag ; XF+/AU ; 16 ; амбал ; 2400 
 83 ; 5 копеек ; 1846 ; СПБ ПА ; Ag ; AU ; 34 ; Asandr ; 5000 
 84 ; 5 копеек ; 1850 ; СПБ ПА ; Ag ; AU ; 20 ; амбал ; 4800 
 85 ; 5 копеек ; 1851 ; СПБ ПА ; Ag ; AU ; 22 ; амбал ; 3500 
 86 ; 5 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 21 ; CapsulЪ ; 4000 
 87 ; 5 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 45 ; I3 ; 13000 
 88 ; 5 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 60 ; I3 ; 13000 
 89 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 40 ; I3 ; 6250 
 90 ; 5 копеек ; 1876 ; СПБ HI ; Ag ; VF-XF ; 31 ; I3 ; 4800 
 91 ; 10 копеек (Петров-6р, Ильин-3р) ; 1766 ; "Сибирь" ; Cu ; F-VF ; 38 ; Продано в зале ; 15500 
 92 ; 10 копеек ; 1770 ; КМ "Сибирь" ; Cu ; VF+ ; 16 ; Продано в зале ; 7000 
 93 ; 10 копеек ; 1774 ; КМ "Сибирь" ; Cu ; XF- ; 24 ; I3 ; 7250 
 94 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; VF+ ; 12 ; sm-dc ; 7650 
 95 ; 10 копеек ; 1834 ; ЕМ ФХ ; Cu ; XF- ; 25 ; CapsulЪ ; 6000 
 96 ; 5 копеек ; 1730 ; МД Хвост широкий ; Cu ; VF+ ; 26 ; velisarit ; 3800 
 97 ; 5 копеек ; 1760 ;  ; Cu ; VF ; 22 ; Продано в зале ; 950 
 98 ; 5 копеек ; 1785 ; КМ ; Cu ; VF-XF ; 25 ; FIHCHAR ; 5270 
 99 ; 5 копеек ; 1869 ; СПБ ; Cu ; XF ; 68 ; sergius ; 8283 
 100 ; 5 копеек ; 1870 ; ЕМ ; Cu ; XF ; 41 ; CapsulЪ ; 4000 
 1 ; 5 рублей. М-6,43г. Гурт снята подвеска 12 часов ; 1817 ; СПБ ФГ ; Au ; VF+ ; 59 ; gelo ; 38000 
 2 ; 5 рублей. М-6,5г. Снята подвеска 12 часов ; 1864 ; СПБ АС ; Au ; VF-XF ; 45 ; БЕН ЛИ ; 30000 
 3 ; Рубль (Петров-3,5, Ильин-3р) ; 1727 ;  ; Ag ; VF+ ; 51 ; CapsulЪ ; 57500 
 4 ; Рубль ; 1729 ;  ; Ag ; VF-XF ; 52 ; icebreaker ; 65876 
 5 ; Рубль ; 1731 ;  ; Ag ; VF-XF ; 47 ; gelo ; 24000 
 6 ; Рубль ; 1735 ;  ; Ag ; VF-XF ; 17 ; gelo ; 27540 
 7 ; Рубль ; 1738 ; СПБ ; Ag ; VF+ ; 25 ; krugerrand ; 19000 
 8 ; Рубль ; 1738 ; СПБ ; Ag ; VF-XF ; 31 ; CapsulЪ ; 26000 
 9 ; Рубль ; 1740 ;  ; Ag ; XF- ; 59 ; Brilev ; 36000 
 10 ; Рубль ; 1743 ; СПБ ; Ag ; VF-XF ; 32 ; CapsulЪ ; 18000 
 11 ; Рубль ; 1751 ; ММД ; Ag ; XF- ; 35 ; vic-dmitri ; 26000 
 12 ; Рубль ; 1752 ; ММД IШ ; Ag ; VF-XF ; 35 ; gelo ; 21000 
 13 ; Рубль (Петров-3р) ; 1752 ; СПБ IM ; Ag ; XF- ; 35 ; gelo ; 23000 
 14 ; Рубль. Капсула RNGA ; 1774 ; СПБ QЛ TИ ; Ag ;  ; 27 ; БЕН ЛИ ; 26000 
 15 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; VF-XF ; 22 ; Продано в зале ; 13000 
 16 ; Рубль ; 1776 ; СПБ ЯЧ TИ ; Ag ; XF+ ; 58 ; а1945 ; 21000 
 17 ; Рубль ; 1799 ; СМ МБ ; Ag ; VF-XF ; 37 ; vic-dmitri ; 36000 
 18 ; Рубль ; 1802 ; СПБ АИ ; Ag ; XF ; 40 ; icebreaker ; 75480 
 19 ; Рубль ; 1809 ; СПБ МК ; Ag ; VF-XF ; 38 ; CapsulЪ ; 28000 
 20 ; Рубль ; 1814 ; СПБ МФ ; Ag ; XF ; 18 ; Продано в зале ; 8500 
 21 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF- ; 31 ; амбал ; 9000 
 22 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF ; 27 ; Продано в зале ; 17000 
 23 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF ; 24 ; top1 ; 6763 
 24 ; Рубль ; 1831 ; СПБ НГ ; Ag ; VF-XF ; 29 ; CapsulЪ ; 9000 
 25 ; Рубль ; 1834 ; "На открытие Александровской колонны" ; Ag ; VF-XF ; 49 ; CapsulЪ ; 62500 
 26 ; Рубль ; 1842 ; MW ; Ag ; XF ; 46 ; vic-dmitri ; 14000 
 27 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; VF+ ; 16 ; Продано в зале ; 6000 
 28 ; Рубль ; 1843 ; MW ; Ag ; XF ; 41 ; амбал ; 19000 
 29 ; Рубль ; 1844 ; MW ; Ag ; XF- ; 16 ; CapsulЪ ; 5750 
 30 ; Рубль ; 1844 ; MW ; Ag ; XF+ ; 48 ; маэстро ; 14000 
 31 ; Рубль ; 1846 ; MW ; Ag ; XF+ ; 46 ; sdv75-2010 ; 17000 
 32 ; Рубль ; 1847 ; MW ; Ag ; VF-XF ; 41 ; neron.73 ; 10000 
 33 ; Рубль ; 1850 ; СПБ ПА ; Ag ; VF-XF ; 16 ; serg2010 ; 10710 
 34 ; Рубль ; 1853 ; СПБ HI ; Ag ; VF-XF ; 28 ; erwin ; 14000 
 35 ; Рубль ; 1856 ; СПБ ФБ ; Ag ; XF- ; 24 ; vtoth ; 16000 
 36 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; VF-XF ; 38 ; CapsulЪ ; 48000 
 37 ; Рубль ; 1871 ; СПБ HI ; Ag ; XF- ; 21 ; 90111 ; 23119 
 38 ; Рубль ; 1872 ; СПБ HI ; Ag ; XF- ; 21 ; 90111 ; 19000 
 39 ; Рубль ; 1877 ; СПБ НФ ; Ag ; XF/AU ; 39 ; амбал ; 25000 
 40 ; Рубль ; 1878 ; СПБ НФ ; Ag ; XF ; 21 ; velisarit ; 13479 
 41 ; Рубль ; 1882 ; СПБ НФ ; Ag ; VF+ ; 22 ; 90111 ; 20000 
 42 ; Рубль ; 1883 ; СПБ ДС ; Ag ; VF-XF ; 51 ; CapsulЪ ; 55000 
 43 ; Рубль ; 1884 ; СПБ АГ ; Ag ; VF-XF ; 23 ; 90111 ; 20000 
 44 ; Рубль ; 1888 ; (АГ) ; Ag ; XF+ ; 20 ; NikTop ; 50000 
 45 ; Рубль ; 1891 ; (АГ) ; Ag ; XF ; 29 ; NikTop ; 23000 
 46 ; Рубль ; 1892 ; (АГ) ; Ag ; AU ; 35 ; snupi ; 60000 
 47 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF ; 16 ; 90111 ; 16000 
 48 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF+ ; 67 ; амбал ; 32000 
 49 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; VF-XF ; 26 ; snupi ; 30000 
 50 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF ; 47 ; CapsulЪ ; 23000 
