 3186 ; Бона иностранная ;  ;  ;  ;  ; 45 ; vladimirov ; 48 
 3218 ; Бона иностранная ;  ;  ;  ;  ; 36 ; ICEK ; 255 
 3219 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Sky2 ; 123 
 3220 ; Бона иностранная ;  ;  ;  ;  ; 35 ; Sky2 ; 203 
 3136 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Sky2 ; 42 
 3137 ; Бона иностранная ;  ;  ;  ;  ; 22 ; ICEK ; 53 
 3138 ; Бона иностранная ;  ;  ;  ;  ; 28 ; von_Schwarz ; 51 
 3139 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ICEK ; 50 
 3140 ; Бона иностранная ;  ;  ;  ;  ; 28 ; von_Schwarz ; 44 
 3141 ; Бона иностранная ;  ;  ;  ;  ; 4 ; hjcnjr ; 42 
 3142 ; Бона иностранная ;  ;  ;  ;  ; 19 ; von_Schwarz ; 42 
 3143 ; Бона иностранная ;  ;  ;  ;  ; 26 ; 223355 ; 41 
 3144 ; Бона иностранная ;  ;  ;  ;  ; 19 ; ICEK ; 50 
 3145 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 223355 ; 41 
 3146 ; Бона иностранная ;  ;  ;  ;  ; 33 ; von_Schwarz ; 38 
 3147 ; Бона иностранная ;  ;  ;  ;  ; 29 ; asru ; 43 
 3148 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Bayun48 ; 41 
 3149 ; Бона иностранная ;  ;  ;  ;  ; 16 ; 223355 ; 41 
 3150 ; Бона иностранная ;  ;  ;  ;  ; 18 ; 223355 ; 41 
 3151 ; Бона иностранная ;  ;  ;  ;  ; 34 ; 223355 ; 41 
 3152 ; Бона иностранная ;  ;  ;  ;  ; 17 ; asru ; 43 
 3153 ; Бона иностранная ;  ;  ;  ;  ; 9 ; hjcnjr ; 42 
 3154 ; Бона иностранная ;  ;  ;  ;  ; 28 ; hjcnjr ; 42 
 3155 ; Бона иностранная ;  ;  ;  ;  ; 27 ; hjcnjr ; 42 
 3156 ; Бона иностранная ;  ;  ;  ;  ; 13 ; 223355 ; 41 
 3157 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 223355 ; 41 
 3158 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Sky2 ; 41 
 3159 ; Бона иностранная ;  ;  ;  ;  ; 17 ; hjcnjr ; 52 
 3160 ; Бона иностранная ;  ;  ;  ;  ; 27 ; 223355 ; 41 
 3161 ; Бона иностранная ;  ;  ;  ;  ; 37 ; vladimirov ; 42 
 3162 ; Бона иностранная ;  ;  ;  ;  ; 18 ; 223355 ; 41 
 3163 ; Бона иностранная ;  ;  ;  ;  ; 36 ; LUNTIC ; 46 
 3164 ; Бона иностранная ;  ;  ;  ;  ; 25 ; natallli ; 36 
 3165 ; Бона иностранная ;  ;  ;  ;  ; 24 ; hjcnjr ; 39 
 3166 ; Бона иностранная ;  ;  ;  ;  ; 26 ; hjcnjr ; 42 
 3167 ; Бона иностранная ;  ;  ;  ;  ; 23 ; natallli ; 35 
 3168 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Sky2 ; 37 
 3169 ; Бона иностранная ;  ;  ;  ;  ; 28 ; natallli ; 35 
 3170 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Bayun48 ; 33 
 3171 ; Бона иностранная ;  ;  ;  ;  ; 34 ; Bayun48 ; 40 
 3172 ; Бона иностранная ;  ;  ;  ;  ; 29 ; natallli ; 37 
 3173 ; Бона иностранная ;  ;  ;  ;  ; 30 ; natallli ; 36 
 3174 ; Бона иностранная ;  ;  ;  ;  ; 25 ; natallli ; 39 
 3175 ; Бона иностранная ;  ;  ;  ;  ; 29 ; hjcnjr ; 41 
 3176 ; Бона иностранная ;  ;  ;  ;  ; 24 ; hjcnjr ; 38 
 3177 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Sky2 ; 45 
 3178 ; Бона иностранная ;  ;  ;  ;  ; 19 ; hjcnjr ; 40 
 3179 ; Бона иностранная ;  ;  ;  ;  ; 43 ; asru ; 53 
 3180 ; Бона иностранная ;  ;  ;  ;  ; 53 ; hjcnjr ; 55 
 3181 ; Бона иностранная ;  ;  ;  ;  ; 29 ; hjcnjr ; 47 
 3182 ; Бона иностранная ;  ;  ;  ;  ; 34 ; asru ; 43 
 3183 ; Бона иностранная ;  ;  ;  ;  ; 37 ; Sky2 ; 40 
 3184 ; Бона иностранная ;  ;  ;  ;  ; 33 ; 223355 ; 41 
 3185 ; Бона иностранная ;  ;  ;  ;  ; 24 ; xabib ; 42 
 3085 ; 100 рублей ; 1947 ; билет ;  ; AU ; 86 ; 4758 ; 5836 
 3086 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 19 ;  ; AU ; 84 ; shtuka ; 1473 
 3087 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 19 ;  ; AU ; 50 ; Mmm ; 1360 
 3088 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 19 ;  ; AU ; 50 ; Mmm ; 1360 
 3089 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 19 ;  ; AU ; 53 ; shtuka ; 2142 
 3090 ; 10000 рублей. Обязательство ; 1922 ; Обязательства РСФСР ;  ;  ; 84 ; НБ ; 4082 
 3091 ; 50 рублей. Обязательство. Комуч ; 1918 ; Краткоср.обязательства КОМУЧ ;  ;  ; 44 ; Fedor_K ; 1383 
 3092 ; 100 рублей. Обязательство. Комуч ; 1918 ; Краткоср.обязательства КОМУЧ ;  ;  ; 34 ; Fedor_K ; 1318 
 3093 ; 250 рублей. Обязательство. Комуч ; 1918 ; Краткоср.обязательства КОМУЧ ;  ;  ; 41 ; Fedor_K ; 1122 
 3094 ; 1000 рублей. Обязательство. Комуч ; 1918 ; Краткоср.обязательства КОМУЧ ;  ;  ; 61 ; Fedor_K ; 1622 
 3095 ; 1000 рублей. Обязательство ; 1917 ; 5% кр.обязательства ;  ;  ; 72 ; Fedor_K ; 1593 
 3096 ; 50 рублей. Обязательство В. П. Северной области ; 1918 ; 5% краткосрочное обязательство ;  ;  ; 17 ; von_Schwarz ; 510 
 3097 ; 100 рублей. Обязательство В. П. Северной области ; 1918 ; 5% краткосрочное обязательство ;  ;  ; 27 ; von_Schwarz ; 510 
 3098 ; 500 рублей. Обязательство В. П. Северной области ; 1918 ; 5% краткосрочное обязательство ;  ;  ; 18 ; von_Schwarz ; 561 
 3099 ; Нижегородско-Самарский земельный банк. Закладной лист в 1000 рублей ; 1913 ;  ;  ;  ; 133 ; kont ; 2958 
 3100 ; Горнопромышленное и химическое об-во Алагирь. Акция ; 1897 ;  ;  ;  ; 40 ; lelik ; 772 
 3101 ; Центральное электрическое об-во в Москве. Акция ; 1899 ;  ;  ;  ; 25 ; hotin ; 1000 
 3102 ; Общество Ермак. Акция ; 1899 ;  ;  ;  ; 61 ; кузин ; 781 
 3103 ; Акция. Тула ; 1899 ;  ;  ;  ; 32 ; test ; 368 
 3104 ; Об-во Южно-Русской каменноугольной промышленности. акция ; 1909 ;  ;  ;  ; 25 ; Mike! ; 611 
 3105 ; Акция. Санкт-Петербург ; 1912 ;  ;  ;  ; 9 ; QSL ; 407 
 3106 ; Акция. Санкт-Петербург ; 1912 ;  ;  ;  ; 30 ; lelik ; 334 
 3107 ; АО по изготовлению бутылок в Одессе. Учредительный пай. Тираж - 1600 шт. ; 1896 ;  ;  ;  ; 85 ; hotin ; 1080 
 3108 ; Русско-Бельгийские металлургические заводы "Норд". Акция. С.-Петербург ; 1898 ;  ;  ;  ; 8 ; lelik ; 516 
 3109 ; Облигация ; 1885 ;  ;  ;  ; 14 ; xabib ; 187 
 3110 ; Облигация ; 1885 ;  ;  ;  ; 11 ; xabib ; 182 
 3111 ; Облигация ; 1885 ;  ;  ;  ; 7 ; Cheral2008 ; 200 
 3112 ; Облигация ; 1885 ;  ;  ;  ; 13 ; natallli ; 172 
 3113 ; Облигация ; 1885 ;  ;  ;  ; 13 ; Cheral2008 ; 210 
 3114 ; Облигация ; 1885 ;  ;  ;  ; 7 ; xabib ; 178 
 3115 ; Облигация ; 1885 ;  ;  ;  ; 5 ; Cheral2008 ; 220 
 3116 ; Облигация ; 1885 ;  ;  ;  ; 7 ; natallli ; 176 
 3117 ; Облигация ; 1885 ;  ;  ;  ; 11 ; МОЁ ; 176 
 3118 ; Облигация ; 1885 ;  ;  ;  ; 14 ; natallli ; 176 
 3119 ; Облигация ; 1885 ;  ;  ;  ; 18 ; МОЁ ; 206 
 3120 ; Облигация ; 1885 ;  ;  ;  ; 10 ; natallli ; 172 
 3122 ; Бона иностранная ;  ;  ;  ;  ; 23 ; 223355 ; 41 
 3123 ; Бона иностранная ;  ;  ;  ;  ; 15 ; 223355 ; 41 
 3124 ; Бона иностранная ;  ;  ;  ;  ; 20 ; 223355 ; 41 
 3125 ; Бона иностранная ;  ;  ;  ;  ; 14 ; 223355 ; 41 
 3126 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 223355 ; 41 
 3127 ; Бона иностранная ;  ;  ;  ;  ; 19 ; asru ; 47 
 3128 ; Бона иностранная ;  ;  ;  ;  ; 10 ; МОЁ ; 43 
 3129 ; Бона иностранная ;  ;  ;  ;  ; 9 ; МОЁ ; 42 
 3130 ; Бона иностранная ;  ;  ;  ;  ; 49 ; ICEK ; 62 
 3131 ; Бона иностранная ;  ;  ;  ;  ; 19 ; 223355 ; 41 
 3132 ; Бона иностранная ;  ;  ;  ;  ; 26 ; ICEK ; 50 
 3133 ; Бона иностранная ;  ;  ;  ;  ; 27 ; 223355 ; 41 
 3134 ; Бона иностранная ;  ;  ;  ;  ; 19 ; 223355 ; 41 
 3135 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Sky2 ; 42 
 3035 ; 25 рублей. Облигация ; 1954 ;  ;  ;  ; 20 ; rmiller ; 61 
 3036 ; 50 рублей. Облигация ; 1953 ;  ;  ;  ; 24 ; ДСВ777 ; 104 
 3037 ; 50 рублей. Облигация ; 1948 ;  ;  ;  ; 20 ; ДСВ777 ; 114 
 3038 ; 50 рублей. Облигация ; 1955 ;  ;  ;  ; 21 ; kont ; 77 
 3039 ; 50 рублей. Облигация ; 1956 ;  ;  ;  ; 23 ; rmiller ; 57 
 3040 ; 50 рублей. Облигация ; 1956 ;  ;  ;  ; 30 ; asru ; 62 
 3041 ; 10 рублей ; 1909 ; Тимашев. Гос.кредитные билеты  ;  ;  ; 17 ; Sky2 ; 167 
 3042 ; 100 крон ; 1935 ;  ;  ;  ; 14 ; НБ ; 414 
 3043 ; 5000 марок ; 1922 ;  ;  ;  ; 47 ; eddy ; 157 
 3044 ; 100 марок ; 1910 ;  ;  ;  ; 56 ; vladimirov ; 104 
 3045 ; 100 марок ; 1910 ;  ;  ;  ; 32 ; vladimirov ; 108 
 3046 ; 100 марок ; 1910 ;  ;  ;  ; 43 ; vladimirov ; 134 
 3047 ; 100 марок ; 1910 ;  ;  ;  ; 28 ; vladimirov ; 105 
 3048 ; 100 марок ; 1910 ;  ;  ;  ; 101 ; avk ; 181 
 3049 ; 5000 рублей. Ростов ; 1919 ;  ;  ;  ; 39 ; кент74 ; 273 
 3050 ; 5000 рублей. Ростов ; 1919 ;  ;  ;  ; 49 ; 12457801 ; 406 
 3051 ; 2 копейки. Без надпечатки ; 1915 ; Деньги-марки ;  ; AU ; 45 ; Sky2 ; 1561 
 3052 ; 15 копеек. Одесса ;  ;  ;  ; AU ; 62 ; seaman ; 1122 
 3053 ; 20 копеек. Одесса ;  ;  ;  ; AU ; 67 ; shtuka ; 1237 
 3054 ; 2 рубля ; 1919 ; Расчетные знаки РСФСР ;  ; AU ; 107 ; dog009 ; 2179 
 3055 ; 3 рубля ; 1919 ; Расчетные знаки РСФСР ;  ; AU ; 41 ; dog009 ; 1713 
 3056 ; 3 рубля ; 1919 ; Расчетные знаки РСФСР ;  ; AU ; 92 ; 4758 ; 282 
 3057 ; 3 рубля. Одноцвет ; 1920 ; Расчетные знаки РСФСР образца  ;  ; AU ; 81 ; dog009 ; 4935 
 3058 ; 5 копеек ; 1918 ; Разменные знаки и кредитные би ;  ; AU ; 83 ; Захар ; 818 
 3059 ; 10 копеек ; 1918 ; Разменные знаки и кредитные би ;  ; AU ; 81 ; hotin ; 1022 
 3060 ; 30 копеек ; 1918 ; Разменные знаки и кредитные би ;  ; AU ; 68 ; hotin ; 1024 
 3061 ; 5 рублей ; 1920 ; Разменные знаки и кредитные би ;  ; AU ; 87 ; hotin ; 1026 
 3062 ; 10 рублей ; 1920 ; Разменные знаки и кредитные би ;  ; AU ; 93 ; hotin ; 885 
 3063 ; 1 рубль ; 1920 ; Разменные знаки и кредитные би ;  ; AU ; 94 ; ZAC ; 1459 
 3064 ; 3 рубля ; 1920 ;  ;  ; AU ; 73 ; ZAC ; 1581 
 3065 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 38 ; Sky2 ; 315 
 3066 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 37 ; avk ; 416 
 3067 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 24 ; Захар ; 322 
 3068 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 55 ; ksv1 ; 341 
 3069 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 60 ; Sky2 ; 1122 
 3070 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 57 ; hotin ; 1124 
 3071 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 94 ; diimb ; 1224 
 3072 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 42 ; tisa66 ; 1106 
 3073 ; 25 рублей. Обязательство ; 1919 ;  ;  ; AU ; 54 ; Захар ; 204 
 3074 ; 500 рублей ; 1992 ; билет ;  ; AU ; 20 ; кент74 ; 128 
 3075 ; 500 рублей ; 1992 ; билет ;  ; AU ; 29 ; 223355 ; 115 
 3076 ; 500 рублей ; 1992 ; билет ;  ; AU ; 9 ; Peugene ; 127 
 3077 ; 500 рублей ; 1992 ; билет ;  ; AU ; 17 ; 223355 ; 115 
 3078 ; 1000 рублей ; 1992 ; билет ;  ; AU ; 33 ; Peugene ; 102 
 3079 ; 1000 рублей ; 1992 ; билет ;  ; AU ; 27 ; diimb ; 114 
 3080 ; 1000 рублей ; 1992 ; билет ;  ; AU ; 14 ; 223355 ; 100 
 3081 ; 10000 рублей ; 1995 ; банкнота ;  ; AU ; 32 ; diimb ; 663 
 3082 ; 50000 рублей ; 1995 ; банкнота ;  ; AU ; 76 ; diimb ; 1353 
 3083 ; 100000 рублей ; 1995 ; банкнота ;  ; AU ; 53 ; asru ; 1134 
 3084 ; 100 рублей ; 1947 ; билет ;  ; AU ; 109 ; ZAC ; 7620 
 2661 ; 1 марка. Финляндия ; 1962 ;  ; Ni/Fe ; AU ; 35 ; rse ; 73 
 2662 ; 2 кроны. Швеция. Густав V ; 1939 ;  ; Ag ; Unc/AU ; 22 ; Alekss_27 ; 410 
 2663 ; 50 эре. Швеция ; 1956 ;  ; Ag ; VF-XF ; 24 ; PiLaT ; 41 
 2664 ; 10 эре. Швеция ; 1941 ;  ; Ag ; XF ; 16 ; PiLaT ; 61 
 2665 ; 10 эре. Швеция ; 1944 ;  ; Ag ; XF ; 42 ; PiLaT ; 41 
 2666 ; 10 эре. Швеция ; 1950 ;  ; Ag ; XF ; 16 ; an1971-2008 ; 21 
 2667 ; 10 эре. Швеция ; 1958 ;  ; Ag ; XF ; 15 ; an1971-2008 ; 22 
 2668 ; Набор монет Латвии: 2,1 евро, 50,20,10,5,2,1 цент (8шт). Упаковка ; 2004 ;  ; Би/м,Cu ; Unc ; 2 ; Mike! ; 333 
 2669 ; Набор монет Кабо-Верде: 2,1 евро, 50,20,10,5,2,1 цент (8шт). Упаковка ; 2004 ;  ; Би/м,Cu ; Unc ; 2 ; Mike! ; 333 
 2670 ; Набор  пробных монет Ватикана: 2,1 евро, 50,20,10,5,2,1 цент (8шт). Упаковка ; 2005 ;  ; Би/м,Cu ; Unc ; 41 ; gors ; 985 
 2671 ; Набор монет Сент-Мартина: 2,1 евро, 50,20,10,5,2,1 цент (8шт). Упаковка ; 2005 ;  ; Би/м,Cu ; Unc ; 3 ; petrserebr ; 340 
 2672 ; Набор монет Мадейра: 2,1 евро, 50,20,10,5,2,1 цент (8шт). Упаковка ; 2005 ;  ; Би/м,Cu ; Unc ; 2 ; Mike! ; 333 
 2673 ; Набор монет США: 1/2 доллара, 1/4 доллара,1 дайм, 5 центов,1 цент (5шт). Пластмассовая капсула ; 1991S ;  ; Cu/Zn, Б/м ; Proof ; 65 ; PiLaT ; 513 
 2674 ; Набор монет Канады: 1 доллар, 50,20,10,5,1 центов (6шт). Упаковка ; 1965 ;  ; Br,Ni,Ag ; AU ; 54 ; vc57 ; 657 
 2675 ; Набор монет Канады "100 лет конфедерации": 1 доллар, 50,20,10,5,1 центов (6шт) ; 1967 ;  ; Br,Ni,Ag ; AU ; 47 ; srhkfg ; 1027 
 2676 ; Набор монет Болгарии (7шт): 1лев, 50ст, 20ст, 10ст, 5ст, 2ст, 1ст ; 1999-2002 ;  ; Cu/Ni, Лат ; AU ; 26 ; diimb ; 509 
 3001 ; 1 копейка ; 1917 ; Деньги-марки ;  ;  ; 19 ; Coins911 ; 120 
 3002 ; 2 копейки ; 1915 ; Деньги-марки ;  ;  ; 46 ; Захар ; 197 
 3003 ; 3 копейки ; 1915 ; Деньги-марки ;  ;  ; 28 ; Girus_ ; 114 
 3004 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 54 ; Girus_ ; 114 
 3005 ; 15 копеек ; 1915 ; Деньги-марки ;  ;  ; 55 ; seaman ; 80 
 3006 ; 1 рубль ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 8 ; rmiller ; 25 
 3007 ; 1 рубль ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 24 ; Coins911 ; 38 
 3008 ; 10 копеек. Сцепка 2 шт. ; 1915 ; Деньги-марки ;  ;  ; 45 ; vladimirov ; 117 
 3009 ; 10 копеек. Сцепка 2 шт. ; 1915 ; Деньги-марки ;  ;  ; 44 ; torus72 ; 189 
 3010 ; 25 рублей ; 1922 ;  ;  ;  ; 52 ; Girus_ ; 356 
 3011 ; Купон ; 1920 ;  ;  ;  ; 14 ; LUNTIC ; 35 
 3012 ; 50 копеек. Уралмашинострой ;  ;  ;  ;  ; 22 ; tiout ; 345 
 3013 ; 1000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 51 ; surf2k5 ; 153 
 3014 ; 50 копеек. Северная Россия ;  ; Гос.кредитный билет "Северная  ;  ;  ; 27 ; LUNTIC ; 199 
 3015 ; 50 копеек. Северная Россия ;  ; Гос.кредитный билет "Северная  ;  ;  ; 49 ; acer ; 365 
 3016 ; 5 рублей. Юденич ; 1919 ;  ;  ;  ; 44 ; vladimirov ; 485 
 3017 ; 5 рублей. Юденич ; 1919 ;  ;  ;  ; 82 ; 12457801 ; 509 
 3018 ; 200 рублей ; 1993 ; банкнота ;  ;  ; 27 ; Xe72 ; 37 
 3019 ; 50 рублей. Обязательство ; 1919 ;  ;  ;  ; 33 ; natallli ; 41 
 3020 ; 50 рублей. Обязательство ; 1919 ;  ;  ;  ; 29 ; Захар ; 135 
 3021 ; 50 рублей ; 1961 ; билет ;  ;  ; 37 ; surf2k5 ; 57 
 3022 ; 50 рублей ; 1961 ; билет ;  ;  ; 24 ; avk ; 67 
 3023 ; 1000 рублей ; 1992 ; билет ;  ;  ; 16 ; Peugene ; 46 
 3024 ; 1000 рублей ; 1992 ; билет ;  ;  ; 45 ; Girus_ ; 51 
 3025 ; 1000 рублей ; 1992 ; билет ;  ;  ; 19 ; кент74 ; 46 
 3026 ; 1000 рублей ; 1992 ; билет ;  ;  ; 18 ; кент74 ; 31 
 3027 ; 100 рублей ; 1991 ; билет ;  ;  ; 16 ; кент74 ; 51 
 3028 ; 100 рублей ; 1991 ; билет ;  ;  ; 63 ; vladzory ; 176 
 3029 ; 1000 рублей ; 1993 ; банкнота ;  ;  ; 50 ; vladzory ; 113 
 3030 ; 1000 рублей ; 1993 ; банкнота ;  ;  ; 55 ; Максимус 1 ; 75 
 3031 ; 5000 рублей ; 1993(94) ; банкнота ;  ;  ; 52 ; Максимус 1 ; 1028 
 3032 ; 10000 рублей ; 1993 ; банкнота ;  ;  ; 49 ; Максимус 1 ; 925 
 3033 ; 10 рублей. Облигация ; 1954 ;  ;  ;  ; 11 ; solder13 ; 44 
 3034 ; 10 рублей. Облигация ; 1954 ;  ;  ;  ; 17 ; vc57 ; 36 
 2611 ; 1 фунт. Египет. 1400 лет Мухамеду ; 1979 ;  ; Ag ; AU ; 30 ; gors ; 419 
 2612 ; 1 фунт. Египет. Национальный день образования ; 1979 ;  ; Ag ; AU ; 39 ; smel ; 363 
 2613 ; 1 фунт. Египет. 25 лет монетному двору ; 1979 ;  ; Ag ; AU ; 25 ; smel ; 363 
 2614 ; 25 пиастров. Египет. Президент Насер ; 1970 ;  ; Ag ; AU ; 20 ; smel ; 340 
 2615 ; 5 евроцентов. Мальта ; 2008 ;  ; Cu/St ; AU ; 15 ; denison ; 24 
 2616 ; 2 евроцента. Мальта ; 2008 ;  ; Cu/St ; AU ; 14 ; denison ; 23 
 2617 ; 1 евроцент. Мальта ; 2008 ;  ; Cu/St ; AU ; 16 ; denison ; 24 
 2618 ; 5 евроцентов. Сан-Марино ; 2006 ;  ; Cu/St ; AU ; 46 ; смжд ; 100 
 2619 ; 2 евроцента. Сан-Марино ; 2006 ;  ; Cu/St ; AU ; 15 ; Coins911 ; 57 
 2620 ; 1 евроцент. Сан-Марино ; 2006 ;  ; Cu/St ; AU ; 25 ; Coins911 ; 57 
 2621 ; 20 рублей. Беларусь. Олимпийские игры 2004 года. Метание ядра. С сертификатом подлинности ; 2003 ;  ; Ag ; Proof ; 5 ; Mike! ; 650 
 2622 ; 20 рублей. Беларусь. Теннис. С сертификатом подлинности ; 2005 ;  ; Ag ; Proof ; 4 ; Mike! ; 656 
 2623 ; 20 рублей. Беларусь. Усяслай Полацки. С сертификатом подлинности ; 2005 ;  ; Ag ; Proof ; 17 ; Mike! ; 685 
 2624 ; 200 марок. Финляндия ; 1957 ;  ; Ag ; AU ; 42 ; asru ; 294 
 2625 ; 1 марка. Финляндия ; 1921 ;  ; Cu/Ni ; XF ; 26 ; av ; 68 
 2626 ; 1 марка. Финляндия ; 1922 ;  ; Cu/Ni ; AU ; 36 ; Girus_ ; 257 
 2627 ; 1 марка. Финляндия ; 1928 ;  ; Cu/Ni ; VF-XF ; 7 ; kartem05 ; 36 
 2628 ; 1 марка. Финляндия ; 1929 ;  ; Cu/Ni ; XF ; 21 ; kartem05 ; 26 
 2629 ; 1 марка. Финляндия ; 1930 ;  ; Cu/Ni ; VF-XF ; 19 ; Saneck ; 24 
 2630 ; 1 марка. Финляндия ; 1931 ;  ; Cu/Ni ; VF-XF ; 20 ; PiLaT ; 21 
 2631 ; 1 марка. Финляндия ; 1932 ;  ; Cu/Ni ; XF+ ; 8 ; kartem05 ; 53 
 2632 ; 1 марка. Финляндия ; 1933 ;  ; Cu/Ni ; VF-XF ; 12 ; Xe72 ; 50 
 2633 ; 1 марка. Финляндия ; 1936 ;  ; Cu/Ni ; XF ; 11 ; solder13 ; 57 
 2634 ; 1 марка. Финляндия ; 1937 ;  ; Cu/Ni ; XF+ ; 5 ; kartem05 ; 31 
 2635 ; 1 марка. Финляндия ; 1938 ;  ; Cu/Ni ; XF ; 15 ; kartem05 ; 36 
 2636 ; 1 марка. Финляндия ; 1939 ;  ; Cu/Ni ; XF+ ; 11 ; solder13 ; 12 
 2637 ; 1 марка. Финляндия ; 1940 ;  ; Cu/Ni ; XF+ ; 10 ; Coins911 ; 53 
 2638 ; 1 марка. Финляндия ; 1941 ;  ; Cu ; XF- ; 23 ; Xe72 ; 22 
 2639 ; 1 марка. Финляндия ; 1942 ;  ; Cu ; XF+ ; 21 ; PiLaT ; 25 
 2640 ; 1 марка. Финляндия ; 1943 ;  ; Cu ; XF- ; 30 ; solder13 ; 51 
 2641 ; 1 марка. Финляндия ; 1943 ;  ; Fe ; XF- ; 22 ; PiLaT ; 22 
 2642 ; 1 марка. Финляндия ; 1944 ;  ; Fe ; XF ; 19 ; kartem05 ; 20 
 2643 ; 1 марка. Финляндия ; 1945 ;  ; Fe ; XF+ ; 13 ; solder13 ; 51 
 2644 ; 1 марка. Финляндия ; 1946 ;  ; Fe ; XF- ; 10 ; solder13 ; 32 
 2645 ; 1 марка. Финляндия ; 1947 ;  ; Fe ; XF+ ; 24 ; solder13 ; 38 
 2646 ; 1 марка. Финляндия ; 1948 ;  ; Fe ; AU ; 19 ; avg1974 ; 67 
 2647 ; 1 марка. Финляндия ; 1949 ;  ; Fe ; AU ; 23 ; solder13 ; 51 
