 5898 ; Бона иностранная Дания ;  ;  ;  ; AU ; 37 ; Khab27 ; 317 
 5812 ; 50 марок Финляндия ; 1986 ;  ;  ; AU ; 62 ; nikfed ; 3185 
 5813 ; 100 марок Финляндия ; 1986 ;  ;  ; AU ; 45 ; nikfed ; 3051 
 5814 ; 5 лат Латвия ; 1992 ;  ;  ; AU ; 21 ; igaist ; 906 
 5815 ; 10 лат Латвия ; 1992 ;  ;  ; AU ; 24 ; igaist ; 1646 
 5816 ; 25 копеек ; 1920 ; Латвия. Разменный знак ;  ;  ; 30 ; SANGOLD1 ; 202 
 5817 ; 20 пенни ; 1919 ; Эстония ;  ;  ; 11 ; flutter ; 102 
 5818 ; 5 лат Латвия ; 2009 ;  ;  ;  ; 3 ; СЁМА ; 442 
 5819 ; 20 лит Литва ; 2007 ;  ;  ;  ; 11 ; flutter ; 612 
 5820 ; 10 лит Литва ; 2007 ;  ;  ;  ; 16 ; Khab27 ; 199 
 5821 ; 25 крон Эстония ; 2007 ;  ;  ;  ; 28 ; SS2008 ; 176 
 5822 ; Лот бон 4 шт. Эстония ;  ;  ;  ;  ; 20 ; TiBuL ; 117 
 5823 ; Лот бон 4 шт. Украина ;  ;  ;  ;  ; 20 ; UnPreacher ; 79 
 5824 ; 20 крон Швеция ;  ;  ;  ;  ; 23 ; doc2 ; 190 
 5825 ; 20 дирхам Марокко ;  ;  ;  ;  ; 27 ; yuvg ; 259 
 5826 ; Лот бон 3 шт ;  ;  ;  ;  ; 28 ; SS2008 ; 230 
 5827 ; Лот бон 3 шт ;  ;  ;  ;  ; 19 ; alesjane ; 121 
 5828 ; 5 марок Германия ; 1948 ;  ;  ;  ; 25 ; derk02 ; 469 
 5829 ; 5 марок Германия ; 1980 ;  ;  ; AU ; 36 ; k212 ; 440 
 5830 ; 2 марки Германия ; 1948 ;  ;  ; AU ; 31 ; Alekss_27 ; 446 
 5831 ; 50 марок Германия ; 1948 ;  ;  ;  ; 27 ; gdrg2 ; 306 
 5832 ; 10 пфеннигов Германия ;  ;  ;  ;  ; 20 ; k212 ; 261 
 5833 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 14 ; USS ; 45 
 5834 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 10 ; kont ; 59 
 5835 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 12 ; kont ; 102 
 5836 ; Бона иностранная Хорватия ;  ;  ;  ; AU ; 29 ; USS ; 51 
 5837 ; Бона иностранная Хорватия ;  ;  ;  ; AU ; 11 ; USS ; 53 
 5838 ; Бона иностранная Нагорный Карабах ; 2004 ;  ;  ; AU ; 24 ; стадник ; 130 
 5839 ; Бона иностранная Эстония ; 2007 ;  ;  ; AU ; 8 ; ashep ; 59 
 5840 ; Бона иностранная Польша ; 1916 ;  ;  ;  ; 31 ; MDV ; 249 
 5841 ; Бона иностранная Польша ; 1916 ;  ;  ;  ; 11 ; attila375 ; 554 
 5842 ; Бона иностранная Польша ; 1916 ;  ;  ;  ; 12 ; MDV ; 204 
 5843 ; Бона иностранная Польша ; 1916 ;  ;  ;  ; 17 ; MDV ; 236 
 5844 ; Бона иностранная Польша ; 1916 ;  ;  ;  ; 17 ; MDV ; 340 
 5845 ; Бона иностранная Литва ; 1918 ;  ;  ;  ; 19 ; bva150979 ; 203 
 5846 ; Бона иностранная Литва ; 1918 ;  ;  ;  ; 7 ; bva150979 ; 322 
 5847 ; Бона иностранная Германия ;  ;  ;  ;  ; 11 ; igorkadan ; 31 
 5600 ; Бона иностранная ;  ;  ;  ;  ; 27 ; русь ; 100 
 5601 ; Бона иностранная ;  ;  ;  ;  ; 7 ; alesjane ; 216 
 5602 ; Бона иностранная ;  ;  ;  ;  ; 20 ; trio ; 172 
 5603 ; Бона иностранная ;  ;  ;  ;  ; 12 ; vlkorchev ; 352 
 5604 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Magger ; 114 
 5605 ; Бона иностранная ;  ;  ;  ;  ; 5 ; igorkadan ; 114 
 5606 ; Бона иностранная ;  ;  ;  ;  ; 18 ; alex241 ; 288 
 5607 ; Бона иностранная ;  ;  ;  ;  ; 5 ; igorkadan ; 100 
 5608 ; Бона иностранная ;  ;  ;  ;  ; 9 ; тикси3 ; 131 
 5609 ; Бона иностранная ;  ;  ;  ;  ; 16 ; derk02 ; 202 
 5610 ; Бона иностранная ;  ;  ;  ;  ; 6 ; alapabula ; 32 
 5611 ; Бона иностранная ;  ;  ;  ;  ; 9 ; USS ; 31 
 5612 ; Бона иностранная ;  ;  ;  ;  ; 19 ; alapabula ; 172 
 5613 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Dmitry21 ; 81 
 5614 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Khab27 ; 310 
 5615 ; Бона иностранная ;  ;  ;  ;  ; 30 ; alesjane ; 193 
 5616 ; Бона иностранная ;  ;  ;  ;  ; 9 ; alapabula ; 32 
 5617 ; Бона иностранная ;  ;  ;  ;  ; 11 ; страус ; 45 
 5618 ; Бона иностранная ;  ;  ;  ;  ; 7 ; alapabula ; 30 
 5619 ; Бона иностранная ;  ;  ;  ;  ; 10 ; vitab ; 53 
 5620 ; Бона иностранная ;  ;  ;  ;  ; 7 ; USS ; 30 
 5621 ; Бона иностранная ;  ;  ;  ;  ; 5 ; vlkorchev ; 227 
 5622 ; Бона иностранная ;  ;  ;  ;  ; 6 ; USS ; 23 
 5623 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Khab27 ; 100 
 5624 ; Бона иностранная ;  ;  ;  ;  ; 9 ; bliznetz ; 53 
 5625 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Khab27 ; 100 
 5626 ; Бона иностранная ;  ;  ;  ;  ; 16 ; grimbo ; 174 
 5627 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Khab27 ; 144 
 5628 ; Бона иностранная ;  ;  ;  ;  ; 16 ; стадник ; 130 
 5629 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 333985 ; 81 
 5630 ; Бона иностранная ;  ;  ;  ;  ; 10 ; pref ; 38 
 5631 ; Бона иностранная ;  ;  ;  ;  ; 7 ; USS ; 31 
 5632 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Khab27 ; 100 
 5633 ; Бона иностранная ;  ;  ;  ;  ; 5 ; USS ; 30 
 5634 ; Бона иностранная ;  ;  ;  ;  ; 5 ; USS ; 30 
 5635 ; Бона иностранная ;  ;  ;  ;  ; 16 ; стадник ; 207 
 5636 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Khab27 ; 170 
 5637 ; Бона иностранная ;  ;  ;  ;  ; 43 ; SS2008 ; 373 
 5638 ; Бона иностранная ;  ;  ;  ;  ; 11 ; bliznetz ; 32 
 5639 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Khab27 ; 111 
 5640 ; Бона иностранная ;  ;  ;  ;  ; 20 ; yuvg ; 363 
 5641 ; Бона иностранная ;  ;  ;  ;  ; 20 ; vladmarkin ; 153 
 5642 ; Бона иностранная ;  ;  ;  ;  ; 27 ; гш888 ; 124 
 5643 ; Бона иностранная ;  ;  ;  ;  ; 10 ; я8844 ; 79 
 5644 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Khab27 ; 250 
 5645 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Khab27 ; 250 
 5646 ; Бона иностранная ;  ;  ;  ;  ; 19 ; SS2008 ; 253 
 5647 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Khab27 ; 250 
 5648 ; Бона иностранная ;  ;  ;  ;  ; 11 ; alesjane ; 304 
 5649 ; Бона иностранная ;  ;  ;  ;  ; 7 ; igorkadan ; 32 
 5550 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 333985 ; 42 
 5551 ; Бона иностранная ;  ;  ;  ;  ; 8 ; pref ; 101 
 5552 ; Бона иностранная ;  ;  ;  ;  ; 13 ; vlkorchev ; 130 
 5553 ; Бона иностранная ;  ;  ;  ;  ; 43 ; alesjane ; 612 
 5554 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Khab27 ; 306 
 5555 ; Бона иностранная ;  ;  ;  ;  ; 7 ; igorkadan ; 34 
 5556 ; Бона иностранная ;  ;  ;  ;  ; 6 ; pref ; 114 
 5557 ; Бона иностранная ;  ;  ;  ;  ; 10 ; TiBuL ; 121 
 5558 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Khab27 ; 40 
 5559 ; Бона иностранная ;  ;  ;  ;  ; 22 ; alapabula ; 177 
 5560 ; Бона иностранная ;  ;  ;  ;  ; 13 ; гш888 ; 39 
 5561 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Khab27 ; 32 
 5562 ; Бона иностранная ;  ;  ;  ;  ; 7 ; USS ; 23 
 5563 ; Бона иностранная ;  ;  ;  ;  ; 23 ; sveta6369 ; 151 
 5564 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Khab27 ; 131 
 5565 ; Бона иностранная ;  ;  ;  ;  ; 7 ; USS ; 30 
 5566 ; Бона иностранная ;  ;  ;  ;  ; 14 ; vitab ; 111 
 5567 ; Бона иностранная ;  ;  ;  ;  ; 15 ; наташа2712 ; 130 
 5568 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Khab27 ; 114 
 5569 ; Бона иностранная ;  ;  ;  ;  ; 18 ; flutter ; 120 
 5570 ; Бона иностранная ;  ;  ;  ;  ; 15 ; гш888 ; 136 
 5571 ; Бона иностранная ;  ;  ;  ;  ; 16 ; flutter ; 130 
 5572 ; Бона иностранная ;  ;  ;  ;  ; 16 ; vitab ; 202 
 5573 ; Бона иностранная ;  ;  ;  ;  ; 21 ; vitab ; 202 
 5574 ; Бона иностранная ;  ;  ;  ;  ; 16 ; vitab ; 202 
 5575 ; Бона иностранная ;  ;  ;  ;  ; 34 ; наташа2712 ; 181 
 5576 ; Бона иностранная ;  ;  ;  ;  ; 13 ; наташа2712 ; 182 
 5577 ; Бона иностранная ;  ;  ;  ;  ; 11 ; vitab ; 113 
 5578 ; Бона иностранная ;  ;  ;  ;  ; 17 ; елец ; 79 
 5579 ; Бона иностранная ;  ;  ;  ;  ; 18 ; electra ; 114 
 5580 ; Бона иностранная ;  ;  ;  ;  ; 17 ; гш888 ; 42 
 5581 ; Бона иностранная ;  ;  ;  ;  ; 13 ; dinkini ; 57 
 5582 ; Бона иностранная ;  ;  ;  ;  ; 13 ; наташа2712 ; 164 
 5583 ; Бона иностранная ;  ;  ;  ;  ; 17 ; electra ; 137 
 5584 ; Бона иностранная ;  ;  ;  ;  ; 11 ; electra ; 130 
 5585 ; Бона иностранная ;  ;  ;  ;  ; 7 ; igorkadan ; 32 
 5586 ; Бона иностранная ;  ;  ;  ;  ; 5 ; USS ; 30 
 5587 ; Бона иностранная ;  ;  ;  ;  ; 12 ; electra ; 130 
 5588 ; Бона иностранная ;  ;  ;  ;  ; 22 ; alapabula ; 159 
 5589 ; Бона иностранная ;  ;  ;  ;  ; 7 ; igorkadan ; 32 
 5590 ; Бона иностранная ;  ;  ;  ;  ; 5 ; гш888 ; 31 
 5591 ; Бона иностранная ;  ;  ;  ;  ; 18 ; von_Schwarz ; 150 
 5592 ; Бона иностранная ;  ;  ;  ;  ; 21 ; alapabula ; 150 
 5593 ; Бона иностранная ;  ;  ;  ;  ; 11 ; vitab ; 111 
 5594 ; Бона иностранная ;  ;  ;  ;  ; 42 ; electra ; 227 
 5595 ; Бона иностранная ;  ;  ;  ;  ; 7 ; igorkadan ; 100 
 5596 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 333985 ; 90 
 5597 ; Бона иностранная ;  ;  ;  ;  ; 10 ; русь ; 100 
 5598 ; Бона иностранная ;  ;  ;  ;  ; 6 ; велес ; 32 
 5599 ; Бона иностранная ;  ;  ;  ;  ; 5 ; USS ; 21 
 5438 ; 1000 рублей ; 1993 ; банкнота ;  ;  ; 82 ; Юбиляр ; 316 
 5501 ; Бона иностранная ;  ;  ;  ;  ; 10 ; alapabula ; 32 
 5502 ; Бона иностранная ;  ;  ;  ;  ; 14 ; alapabula ; 32 
 5503 ; Бона иностранная ;  ;  ;  ;  ; 12 ; alapabula ; 32 
 5504 ; Бона иностранная ;  ;  ;  ;  ; 10 ; alapabula ; 32 
 5505 ; Бона иностранная ;  ;  ;  ;  ; 10 ; alapabula ; 32 
 5506 ; Бона иностранная ;  ;  ;  ;  ; 8 ; alapabula ; 32 
 5507 ; Бона иностранная ;  ;  ;  ;  ; 6 ; USS ; 23 
 5508 ; Бона иностранная ;  ;  ;  ;  ; 7 ; USS ; 31 
 5509 ; Бона иностранная ;  ;  ;  ;  ; 8 ; USS ; 30 
 5510 ; Бона иностранная ;  ;  ;  ;  ; 13 ; dinkini ; 92 
 5511 ; Бона иностранная ;  ;  ;  ;  ; 7 ; USS ; 31 
 5512 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 2128508 ; 305 
 5513 ; Бона иностранная ;  ;  ;  ;  ; 15 ; vladmarkin ; 32 
 5514 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 2128508 ; 50 
 5515 ; Бона иностранная ;  ;  ;  ;  ; 18 ; alapabula ; 100 
 5516 ; Бона иностранная ;  ;  ;  ;  ; 7 ; USS ; 30 
 5517 ; Бона иностранная ;  ;  ;  ;  ; 16 ; spikerson ; 60 
 5518 ; Бона иностранная ;  ;  ;  ;  ; 13 ; grimbo ; 101 
 5519 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Khab27 ; 44 
 5520 ; Бона иностранная ;  ;  ;  ;  ; 31 ; Khab27 ; 101 
 5521 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Khab27 ; 101 
 5522 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 333985 ; 40 
 5523 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 333985 ; 40 
 5524 ; Бона иностранная ;  ;  ;  ;  ; 36 ; doc2 ; 423 
 5525 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Khab27 ; 151 
 5526 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Khab27 ; 273 
 5527 ; Бона иностранная ;  ;  ;  ;  ; 20 ; tss ; 129 
 5528 ; Бона иностранная ;  ;  ;  ;  ; 12 ; tss ; 132 
 5529 ; Бона иностранная ;  ;  ;  ;  ; 36 ; derk02 ; 529 
 5530 ; Бона иностранная ;  ;  ;  ;  ; 11 ; alesjane ; 106 
 5531 ; Бона иностранная ;  ;  ;  ;  ; 31 ; karal ; 59 
 5532 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Khab27 ; 45 
 5533 ; Бона иностранная ;  ;  ;  ;  ; 14 ; alapabula ; 80 
 5534 ; Бона иностранная ;  ;  ;  ;  ; 29 ; alapabula ; 100 
 5535 ; Бона иностранная ;  ;  ;  ;  ; 4 ; USS ; 20 
 5536 ; Бона иностранная ;  ;  ;  ;  ; 6 ; USS ; 21 
 5537 ; Бона иностранная ;  ;  ;  ;  ; 7 ; USS ; 21 
 5538 ; Бона иностранная ;  ;  ;  ;  ; 9 ; USS ; 21 
 5539 ; Бона иностранная ;  ;  ;  ;  ; 16 ; USS ; 26 
 5540 ; Бона иностранная ;  ;  ;  ;  ; 30 ; alesjane ; 306 
 5541 ; Бона иностранная ;  ;  ;  ;  ; 39 ; alesjane ; 612 
 5542 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Monata ; 101 
 5543 ; Бона иностранная ;  ;  ;  ;  ; 12 ; alapabula ; 32 
 5544 ; Бона иностранная ;  ;  ;  ;  ; 10 ; USS ; 21 
 5545 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Khab27 ; 88 
 5546 ; Бона иностранная ;  ;  ;  ;  ; 5 ; USS ; 30 
 5547 ; Бона иностранная ;  ;  ;  ;  ; 34 ; vlkorchev ; 248 
 5548 ; Бона иностранная ;  ;  ;  ;  ; 11 ; ъхз ; 27 
 5549 ; Бона иностранная ;  ;  ;  ;  ; 7 ; USS ; 23 
 5388 ; Лот бон 3 шт ;  ;  ;  ;  ; 41 ; елец ; 459 
 5389 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 26 ; kop ; 432 
 5390 ; Лот бон 5 шт ; 1991-97 ;  ;  ;  ; 49 ; гш888 ; 287 
 5391 ; 100 рублей ; 1898 ; Коншин 1910 г. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 51 ; vasek ; 5520 
 5392 ; Лот бон 2 шт. 100 рублей ; 1910 ;  ;  ;  ; 45 ; serg901 ; 532 
 5393 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 34 ; папашаГарпагон ; 296 
 5394 ; 5000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 94 ; Fliege1 ; 5205 
 5395 ; Лот бон 100 рублей, 8 шт. в листе ; 1921 ;  ;  ;  ; 58 ; Fliege1 ; 8943 
 5396 ; 60 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 57 ; yuvg ; 512 
 5397 ; Лот бон 3 шт. 100,500,1000 рублей ; 1921 ;  ;  ;  ; 24 ; yuvg ; 682 
