 3207 ; Бона иностранная ;  ;  ;  ;  ; 17 ; cochu ; 51 
 3190 ; Бона иностранная ;  ;  ;  ;  ; 20 ; denison ; 20 
 3191 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Sky2 ; 30 
 3192 ; Бона иностранная ;  ;  ;  ;  ; 22 ; pal ; 45 
 3193 ; Бона иностранная ;  ;  ;  ;  ; 2 ; QSL ; 32 
 3194 ; Бона иностранная ;  ;  ;  ;  ; 38 ; 4758 ; 60 
 3195 ; Бона иностранная ;  ;  ;  ;  ; 19 ; tati1545 ; 49 
 3196 ; Бона иностранная ;  ;  ;  ;  ; 20 ; lesnik1 ; 45 
 3197 ; Бона иностранная ;  ;  ;  ;  ; 40 ; lelik ; 93 
 3198 ; Бона иностранная ;  ;  ;  ;  ; 20 ; pal ; 40 
 3199 ; Бона иностранная ;  ;  ;  ;  ; 22 ; pal ; 50 
 3200 ; Бона иностранная ;  ;  ;  ;  ; 19 ; 223355 ; 39 
 3201 ; Бона иностранная ;  ;  ;  ;  ; 19 ; 4758 ; 32 
 3202 ; Бона иностранная ;  ;  ;  ;  ; 21 ; skir ; 30 
 3203 ; Бона иностранная ;  ;  ;  ;  ; 19 ; pal ; 45 
 3204 ; Бона иностранная ;  ;  ;  ;  ; 14 ; bethowen ; 40 
 3205 ; Бона иностранная ;  ;  ;  ;  ; 18 ; 4758 ; 31 
 3206 ; Бона иностранная ;  ;  ;  ;  ; 13 ; skir ; 31 
 3107 ; Свидетельство поземельного банка ; 1912 ;  ;  ;  ; 7 ; 223355 ; 290 
 3108 ; Облигация Московско-Киево-Воронежской ж/д ; 1903 ;  ;  ;  ; 43 ; maks169 ; 606 
 3109 ; Облигация Донецкой ж/д ; 1893 ;  ;  ;  ; 14 ; 223355 ; 320 
 3110 ; Акция Санкт-Петербург ; 1912 ;  ;  ;  ; 63 ; maks169 ; 305 
 3111 ; Русско- Бельгийская компания по пр-ву гончарных изделий. Привилегированная акция ; 1898 ;  ;  ;  ; 27 ; maks169 ; 435 
 3112 ; Русско- Бельгийская компания по пр-ву гончарных изделий. Акция ; 1898 ;  ;  ;  ; 25 ; maks169 ; 410 
 3113 ; Облигация ; 1885 ;  ;  ;  ; 25 ; maks169 ; 194 
 3114 ; Облигация ; 1885 ;  ;  ;  ; 7 ; mcseam ; 222 
 3115 ; Облигация ; 1885 ;  ;  ;  ; 41 ; xabib ; 183 
 3116 ; Облигация Курско-Харьково-Азовской ж/д ; 1889 ;  ;  ;  ; 22 ; maks169 ; 712 
 3117 ; Закладной лист ; 1898 ;  ;  ;  ; 14 ; maks169 ; 320 
 3118 ; Закладной лист ; 1898 ;  ;  ;  ; 20 ; suhoi ; 306 
 3119 ; Закладной лист ; 1898 ;  ;  ;  ; 37 ; НБ ; 355 
 3120 ; Закладной лист ; 1898 ;  ;  ;  ; 8 ; нумизмат ; 327 
 3121 ; Бона иностранная ;  ;  ;  ;  ; 19 ; von_Schwarz ; 30 
 3122 ; Бона иностранная ;  ;  ;  ;  ; 10 ; von_Schwarz ; 30 
 3123 ; Бона иностранная ;  ;  ;  ;  ; 21 ; von_Schwarz ; 30 
 3124 ; Бона иностранная ;  ;  ;  ;  ; 7 ; von_Schwarz ; 30 
 3125 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Bayun48 ; 34 
 3126 ; Бона иностранная ;  ;  ;  ;  ; 10 ; von_Schwarz ; 34 
 3127 ; Бона иностранная ;  ;  ;  ;  ; 7 ; von_Schwarz ; 36 
 3128 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Bayun48 ; 33 
 3129 ; Бона иностранная ;  ;  ;  ;  ; 7 ; QSL ; 41 
 3130 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Cheral2008 ; 50 
 3131 ; Бона иностранная ;  ;  ;  ;  ; 10 ; QSL ; 36 
 3132 ; Бона иностранная ;  ;  ;  ;  ; 21 ; gelind ; 35 
 3133 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Bayun48 ; 33 
 3134 ; Бона иностранная ;  ;  ;  ;  ; 15 ; 223355 ; 29 
 3135 ; Бона иностранная ;  ;  ;  ;  ; 10 ; 223355 ; 30 
 3136 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 223355 ; 29 
 3137 ; Бона иностранная ;  ;  ;  ;  ; 19 ; von_Schwarz ; 30 
 3138 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Bayun48 ; 33 
 3139 ; Бона иностранная ;  ;  ;  ;  ; 10 ; gelind ; 36 
 3140 ; Бона иностранная ;  ;  ;  ;  ; 8 ; von_Schwarz ; 32 
 3141 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Saneck ; 16 
 3142 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Sterh ; 18 
 3143 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Saneck ; 17 
 3144 ; Бона иностранная ;  ;  ;  ;  ; 26 ; maks169 ; 27 
 3145 ; Бона иностранная ;  ;  ;  ;  ; 8 ; von_Schwarz ; 30 
 3146 ; Бона иностранная ;  ;  ;  ;  ; 9 ; von_Schwarz ; 30 
 3147 ; Бона иностранная ;  ;  ;  ;  ; 13 ; von_Schwarz ; 32 
 3148 ; Бона иностранная ;  ;  ;  ;  ; 5 ; maks169 ; 33 
 3149 ; Бона иностранная ;  ;  ;  ;  ; 14 ; maks169 ; 32 
 3150 ; Бона иностранная ;  ;  ;  ;  ; 26 ; 542 ; 102 
 3151 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Sky2 ; 57 
 3152 ; Бона иностранная ;  ;  ;  ;  ; 24 ; 542 ; 40 
 3153 ; Бона иностранная ;  ;  ;  ;  ; 18 ; lesnik1 ; 51 
 3154 ; Бона иностранная ;  ;  ;  ;  ; 11 ; koga ; 29 
 3155 ; Бона иностранная ;  ;  ;  ;  ; 9 ; jj ; 20 
 3156 ; Бона иностранная ;  ;  ;  ;  ; 11 ; gelind ; 34 
 3057 ; 5000000 рублей ; 1922 ; Армения ;  ;  ; 40 ; acer ; 477 
 3058 ; 25000 рублей ; 1922 ; Армения ;  ;  ; 25 ; acer ; 373 
 3059 ; 20 рублей. Квартблок ;  ; Денежные знаки ;  ;  ; 13 ; priwet ; 150 
 3060 ; 25 рублей. Одесса ; 1917 ;  ;  ;  ; 18 ; deadman ; 602 
 3061 ; 100 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 15 ; vladzory ; 80 
 3062 ; 25 рублей ; 1915 ; 4% билет гос.казначейства ;  ;  ; 19 ; maks169 ; 363 
 3063 ; 5 карбованцев. Житомир ; 1918 ;  ;  ;  ; 20 ; deadman ; 590 
 3064 ; 250 карбованцев ; 1918 ; Украина Знак Державноi скарбиц ;  ;  ; 49 ; Qersej ; 365 
 3065 ; 100 рублей. Юденич ; 1919 ;  ;  ;  ; 46 ; 1396 ; 740 
 3066 ; 100 карбованцев ; 1918 ; Украина Знак Державноi скарбиц ;  ;  ; 32 ; Банзай ; 459 
 3067 ; 100 рублей. Ростов ; 1918 ;  ;  ;  ; 7 ; нумизмат ; 286 
 3068 ; 200 рублей. Юг России ; 1919 ;  ;  ;  ; 79 ; deadman ; 1019 
 3069 ; 10000 рублей. Юг России ; 1919 ;  ;  ;  ; 30 ; deadman ; 611 
 3070 ; 1000 рублей. Дальний Восток ; 1920 ;  ;  ;  ; 44 ; maks169 ; 650 
 3071 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 27 ; evgen72 ; 110 
 3072 ; 25 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные б ;  ;  ; 18 ; alyans-met ; 306 
 3073 ; 3 рубля. Юг России ; 1919 ;  ;  ;  ; 7 ; igors1969 ; 517 
 3074 ; Билет лотереи ; 1914 ;  ;  ;  ; 16 ; von_Schwarz ; 214 
 3075 ; 50 рублей ; 1919 ; Азербайджан ;  ;  ; 23 ; ppp ; 153 
 3076 ; 5000 рублей. УЖД Закавказья ;  ;  ;  ;  ; 38 ; lesnik1 ; 419 
 3077 ; 10000 рублей. УЖД Закавказья ;  ;  ;  ;  ; 48 ; von_Schwarz ; 834 
 3078 ; 50 копеек. Познань ; 1916 ;  ;  ;  ; 1 ; нумизмат ; 200 
 3079 ; 10 рублей. Юг России ; 1919 ;  ;  ;  ; 15 ; cochu ; 306 
 3080 ; 10 рублей. 2 в. ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 59 ; Paul68 ; 604 
 3081 ; 5000 рублей ; 1921 ; Армения ;  ;  ; 37 ; maks169 ; 405 
 3082 ; 25 рублей. Крым ; 1918 ;  ;  ;  ; 50 ; VDV ; 697 
 3083 ; 3 рубля ; 1947 ; Гос.казначейский билет ;  ;  ; 56 ; Дима31 ; 261 
 3084 ; 3 рубля. Познань ; 1916 ;  ;  ;  ; 32 ; maks169 ; 153 
 3085 ; 10 рублей. Одесса ; 1917 ;  ;  ; . ; 38 ; fvm ; 102 
 3086 ; 10 рублей. Одесса ; 1917 ;  ;  ; . ; 46 ; 223355 ; 100 
 3087 ; 100 рублей ; 1918 ; 2 подписи Гос.кредитные билеты ;  ;  ; 46 ; asru ; 833 
 3088 ; 50 рублей ; 1918 ; Заемные билеты.Общество Владик ;  ;  ; 35 ; kollega ; 567 
 3089 ; 100 рублей ; 1918 ; Заемные билеты.Общество Владик ;  ;  ; 87 ; 1396 ; 1540 
 3090 ; 50 рублей ; 1899 ; Коншин 1910 г. Гос.кредитные б ;  ;  ; 20 ; alyans-met ; 493 
 3091 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 ;  ;  ; 24 ; alyans-met ; 444 
 3092 ; 50 рублей ; 1918 ; Разменные знаки.Совнарком Терс ;  ;  ; 29 ; maks169 ; 612 
 3093 ; 1000 рублей ; 1920 ; Туркестан ;  ;  ; 25 ; maks169 ; 493 
 3094 ; 1000 рублей. Кредитный билет Сахалинской области. Редкая ; 1918 ; Кредитный билет сахалинской об ;  ;  ; 142 ; VDV ; 52790 
 3095 ; 25000 рублей. Юг России ; 1920 ;  ;  ;  ; 83 ; MG ; 705 
 3096 ; 500 рублей. Ростов ; 1918 ;  ;  ;  ; 16 ; Банзай ; 305 
 3097 ; 20000 рублей. Бухара ;  ;  ;  ;  ; 53 ; VDV ; 3123 
 3098 ; 5000 рублей. Ростов ; 1919 ;  ;  ;  ; 28 ; dmytrylat ; 139 
 3099 ; 5000 рублей. Ростов ; 1919 ;  ;  ; . ; 9 ; skir ; 115 
 3100 ; 5000 рублей. Ростов ; 1919 ;  ;  ;  ; 16 ; evgen72 ; 125 
 3101 ; Ростовский трамвай. Привилегированная акция ; 1886 ;  ;  ;  ; 78 ; Sezon ; 729 
 3102 ; Акция Одесса ; 1880 ;  ;  ;  ; 51 ; maks169 ; 355 
 3103 ; Акция Одесса ; 1912 ;  ;  ;  ; 23 ; 223355 ; 309 
 3104 ; 4% Гос.заем. Облигация в 2000 германских марок ; 1902 ;  ;  ;  ; 50 ; hanir ; 1020 
 3105 ; 4% Гос.заем. Облигация в 500 германских марок ; 1902 ;  ;  ;  ; 45 ; 4758 ; 735 
 3106 ; Свидетельство поземельного банка ; 1912 ;  ;  ;  ; 26 ; maks169 ; 306 
 3007 ; 1 гуждень. Трудовая марка ;  ;  ;  ;  ; 27 ; lloyd ; 850 
 3008 ; 50 копеек ;  ;  ;  ;  ; 17 ; asru ; 53 
 3009 ; 5 копеек ; 1918 ; Разменные знаки и кредитные би ;  ;  ; 39 ; maks169 ; 327 
 3010 ; 10 копеек ; 1918 ; Разменные знаки и кредитные би ;  ;  ; 26 ; 223355 ; 300 
 3011 ; 30 копеек ; 1918 ; Разменные знаки и кредитные би ;  ;  ; 55 ; lesnik1 ; 327 
 3012 ; 1 копейка ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 57 ; alyans-met ; 152 
 3013 ; 2 копейки ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 27 ; alyans-met ; 152 
 3014 ; 3 копейки ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 15 ; alyans-met ; 152 
 3015 ; 5 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 43 ; alyans-met ; 81 
 3016 ; 1000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 22 ; Paul68 ; 509 
 3017 ; 500 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 25 ; Paul68 ; 509 
 3018 ; 250 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 42 ; Paul68 ; 509 
 3019 ; 2 копейки ; 1976 ;  ;  ;  ; 33 ; Saneck ; 46 
 3020 ; 10 копеек ; 1976 ;  ;  ;  ; 8 ; Saneck ; 31 
 3021 ; 25 копеек ; 1976 ;  ;  ;  ; 16 ; uin72 ; 47 
 3022 ; 5 рублей. Юденич 1 в. ; 1919 ;  ;  ;  ; 23 ; Банзай ; 503 
 3023 ; 5 рублей. Юденич 2 в. ; 1919 ;  ;  ;  ; 13 ; igors1969 ; 520 
 3024 ; 10 рублей. Юденич 1 в. ; 1919 ;  ;  ;  ; 19 ; Sky2 ; 714 
 3025 ; 10 рублей. Юденич 3 в. ; 1919 ;  ;  ;  ; 46 ; Sky2 ; 1006 
 3026 ; 25 рублей. Обязательство ; 1919 ;  ;  ;  ; 15 ; ura 57 ; 46 
 3027 ; 25 рублей. Обязательство ; 1919 ;  ;  ;  ; 16 ; fvm ; 57 
 3028 ; 25 рублей. Обязательство ; 1919 ;  ;  ;  ; 7 ; 223355 ; 45 
 3029 ; 25 рублей. Обязательство ; 1919 ;  ;  ;  ; 14 ; Simpaga ; 126 
 3030 ; 25 рублей. Обязательство ; 1919 ;  ;  ;  ; 7 ; нумизмат ; 114 
 3031 ; 25 рублей. Обязательство ; 1919 ;  ;  ;  ; 36 ; Simpaga ; 66 
 3032 ; 50 рублей. Обязетельство ; 1919 ;  ;  ;  ; 17 ; Ilyas ; 150 
 3033 ; 50 рублей. Обязетельство ; 1919 ;  ;  ;  ; 18 ; fvm ; 72 
 3034 ; 50 рублей. Обязетельство ; 1919 ;  ;  ;  ; 27 ; uin72 ; 120 
 3035 ; 50 рублей. Обязетельство ; 1919 ;  ;  ;  ; 35 ; lesnik1 ; 133 
 3036 ; 50 рублей. Обязетельство. "Государств" ; 1919 ;  ;  ;  ; 78 ; НБ ; 429 
 3037 ; 50 рублей ; 1961 ; билет ;  ;  ; 11 ; vladzory ; 70 
 3038 ; 50 рублей ; 1961 ; билет ;  ;  ; 5 ; vladzory ; 70 
 3039 ; 50 рублей ; 1961 ; билет ;  ;  ; 14 ; vladzory ; 69 
 3040 ; 50 рублей ; 1961 ; билет ;  ;  ; 10 ; vladzory ; 70 
 3041 ; 10000 рублей ; 1993 ; банкнота ;  ;  ; 21 ; vladzory ; 594 
 3042 ; 2 доллара США ; 1953 ;  ;  ;  ; 8 ; skarlet ; 251 
 3043 ; 2 доллара США ; 1953 ;  ;  ;  ; 31 ; D-503 ; 521 
 3044 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 19 ; Дима31 ; 410 
 3045 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 35 ; vladzory ; 297 
 3046 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 15 ; deadman ; 410 
 3047 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 12 ; deadman ; 410 
 3048 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 31 ; uin72 ; 315 
 3049 ; 10 юаней. Китай ; 1930 ;  ;  ;  ; 18 ; Sky2 ; 202 
 3050 ; 20 юаней. Китай ; 1930 ;  ;  ;  ; 28 ; deadman ; 257 
 3051 ; 500 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 23 ; vladzory ; 149 
 3052 ; 1000 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 15 ; vladzory ; 149 
 3053 ; 25 рублей. Юденич 1 в. ; 1919 ;  ;  ;  ; 30 ; Almazin ; 578 
 3054 ; 25 рублей. Юденич 2 в. ; 1919 ;  ;  ;  ; 23 ; maks169 ; 578 
 3055 ; 100 рублей ; 1920 ;  ;  ;  ; 38 ; hrip ; 423 
 3056 ; 250 рублей ; 1920 ;  ;  ;  ; 47 ; igors1969 ; 408 
 2352 ; 2 лата. Латвия. Убраны подвески 11, 1, 5, 7 часов ; 1925 ;  ; Ag ; VF- ; 62 ; obob999 ; 91 
 2353 ; 2 лата. Латвия ; 1925 ;  ; Ag ; VF-XF ; 35 ; геомут ; 241 
 2354 ; 1 лат. Латвия ; 1924 ;  ; Ag ; VF- ; 23 ; muslimgauze ; 200 
 2355 ; 25 лева. Болгария. 40 лет Социалистической Болгарии ; 1984 ;  ; Ag ; AU ; 26 ; Alekss_27 ; 357 
 2356 ; 5 лева. Болгария. Христо Ботев ; 1976 ;  ; Ag ; Proof ; 39 ; VDV ; 884 
 2357 ; 1 лев. Болгария ; 1882 ;  ; Ag ; VF- ; 30 ; SadKo ; 113 
 2358 ; 1 лев. Болгария ; 1891 ;  ; Ag ; VF-XF ; 29 ; hvala ; 252 
 2359 ; 1 лев. Болгария ; 1912 ;  ; Ag ; VF+ ; 32 ; В1951 ; 153 
 2360 ; 50 стотинок. Болгария ; 1913 ;  ; Ag ; VF+ ; 37 ; obob999 ; 147 
 2361 ; 1 лев. Болгария ; 1923 ;  ; Al ; VF+ ; 67 ; hvala ; 954 
 2362 ; 1 лев. Болгария ; 1925 ;  ; Cu/Ni ; F-VF ; 20 ; VR62 ; 36 
 2363 ; 100 динар. Югославия. Зимние олимпийские игры ; 1983 ;  ; Ag ; Proof ; 38 ; xabib ; 365 
 2364 ; Монета медная. Отверстие ;  ;  ; Cu ; VG ; 41 ; aleksius ; 38 
 2365 ; 5 пенни. Финляндия ; 1920 ;  ; Cu ; VF- ; 12 ; tdp ; 11 
 2366 ; 5 пенни. Финляндия ; 1921 ;  ; Cu ; XF- ; 19 ; solder13 ; 48 
 2367 ; 5 пенни. Финляндия ; 1922 ;  ; Cu ; XF- ; 21 ; solder13 ; 48 
 2368 ; 5 пенни. Финляндия ; 1935 ;  ; Cu ; XF+ ; 16 ; sts ; 61 
 2369 ; 5 пенни. Финляндия ; 1937 ;  ; Cu ; XF- ; 13 ; tdp ; 30 
 2370 ; 5 пенни. Финляндия ; 1938 ;  ; Cu ; XF- ; 15 ; solder13 ; 24 
 2371 ; 5 пенни. Финляндия ; 1939 ;  ; Cu ; VF- ; 21 ; tdp ; 23 
 2372 ; 5 пенни. Финляндия ; 1941 ;  ; Cu ; AU ; 30 ; pjero ; 66 
 2373 ; 5 пенни. Финляндия ; 1942 ;  ; Cu ; XF+ ; 22 ; pjero ; 43 
 2374 ; 5 пенни. Финляндия ; 1963 ;  ; Cu ; VF-XF ; 17 ; aleksius ; 28 
 2375 ; 1 пенни. Финляндия ; 1919 ;  ; Cu ; XF+ ; 33 ; solder13 ; 57 
 2376 ; 1 пенни. Финляндия ; 1920 ;  ; Cu ; XF- ; 27 ; solder13 ; 36 
 2377 ; 1 пенни. Финляндия ; 1922 ;  ; Cu ; AU ; 22 ; solder13 ; 48 
 2378 ; 1 пенни. Финляндия ; 1923 ;  ; Cu ; XF ; 34 ; 542 ; 90 
 2379 ; 1 пенни. Финляндия ; 1924 ;  ; Cu ; XF+ ; 19 ; tdp ; 36 
 2380 ; 1 пенни. Финляндия ; 1963 ;  ; Cu ; XF+ ; 12 ; tdp ; 31 
 2381 ; 1 пенни. Финляндия ; 1970 ;  ; Al ; XF+ ; 6 ; tdp ; 31 
 2382 ; 1 крона. Швеция ; 1946TS ;  ; Ag ; AU ; 67 ; jef688 ; 79 
 2383 ; 50 эре. Швеция ; 1956TS ;  ; Ag ; VF-XF ; 30 ; evgen72 ; 43 
 2384 ; 25 эре. Швеция ; 1950TS ;  ; Ag ; XF+ ; 38 ; romchik_80 ; 40 
 2385 ; 10 эре. Швеция ; 1950TS ;  ; Ag ; AU ; 25 ; rizovtpl ; 51 
 2386 ; 5 эре. Швеция ; 1944 ;  ; Fe ; VF+ ; 15 ; alex995 ; 32 
 2387 ; 5 эре. Швеция ; 1948 ;  ; Fe ; VF+ ; 15 ; alex995 ; 31 
 2388 ; 5 эре. Швеция ; 1949 ;  ; Fe ; VF+ ; 6 ; tau ; 35 
 2389 ; Набор монет Канады: 1 доллар, 50,25,10,5,1 центов (6шт) ; 1962 ;  ; Ag,Ni,Br ; AU ; 55 ; SadKo ; 807 
 2390 ; Набор монет Исландии: 5,10,50 аурар, 1,5,10 крон (6шт) ; 1981,1984 ;  ; Br,Cu-Ni ; AU ; 39 ; D-503 ; 453 
 2391 ; Лот монет Испании: 25 песет (3шт) ; 1957,1982 ;  ; Cu/Ni ; VF+/VF-XF ; 18 ; romchik_80 ; 53 
 2392 ; Лот монет Италии: 50,100,500 лир (3шт) ; 1978,1979,1998 ;  ; Би/м,St ; XF-/AU ; 27 ; latuza48186 ; 102 
 2393 ; Лот монет Венгрии: 1,10,20,50,100 форинтов (5шт) ; 1994-2003 ;  ; Би/м, Cu-N ; VF-XF/XF ; 37 ; korolek ; 153 
 2394 ; Лот монет Марокко и Доминиканской республики: 1,5 песо, 10,5 дирхам (4шт) ; 1995,2000,2002 ;  ; Би/м,Cu/Zn ; VF+/AU ; 27 ; tau ; 161 
 2395 ; Лот монет Израиля: (2шт) ;  ;  ; Б/м ; Proof ; 42 ; Coins911 ; 89 
 3001 ; 1 копейка ; 1917 ; Деньги-марки ;  ;  ; 37 ; alyans-met ; 121 
 3002 ; 2 копейки ; 1915 ; Деньги-марки ;  ;  ; 80 ; ifvfy_2008 ; 126 
 3003 ; 3 копейки ; 1915 ; Деньги-марки ;  ;  ; 39 ; latuza48186 ; 63 
 3004 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 23 ; latuza48186 ; 68 
 3005 ; 15 копеек ; 1915 ; Деньги-марки ;  ;  ; 8 ; dmytrylat ; 46 
 3006 ; 1 трудодень. Трудовая иарка ;  ;  ;  ;  ; 33 ; lloyd ; 850 
 2302 ; 1 шиллинг. Великобритания ; 1957 ;  ; Cu-Ni ; AU ; 14 ; orel66 ; 150 
 2303 ; 1 шиллинг. Великобритания ; 1963 ;  ; Cu-Ni ; AU ; 14 ; orel66 ; 165 
 2304 ; 6 пенсов. Великобритания ; 1918 ;  ; Ag ; XF ; 53 ; D-503 ; 334 
 2305 ; 6 пенсов. Великобритания ; 1919 ;  ; Ag ; VF+ ; 35 ; 542 ; 303 
 2306 ; 6 пенсов. Великобритания ; 1944 ;  ; Ag ; XF+/AU ; 20 ; LANKA ; 157 
