 151 ; 1/4 копейки ; 1870 ; ЕМ ; Cu ; VF-XF ; 18 ; CapsulЪ ; 4600 
 119 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF-XF ; 53 ; Uncirculated ; 1700 
 120 ; 5 копеек. Перепутка л/с от орла 1859-1867гг. Новодел ? ; 1859 ; ЕМ Новодел ; Cu ; VF ; 23 ; Элси+ ; 36000 
 121 ; 3 копейки ; 1841 ; СПМ ; Cu ; VF+ ; 49 ; Продано в зале ; 10000 
 122 ; 3 копейки ; 1842 ; ЕМ ; Cu ; VF+ ; 33 ; sdv75-2010 ; 3000 
 123 ; 3 копейки ; 1910 ; СПБ ; Cu ; AU ; 87 ; Продано в зале ; 36000 
 124 ; 2 копейки. В капсуле ; 1824 ; КМ АМ ; Cu ;  ; 46 ; Продано в зале ; 4000 
 125 ; 2 копейки ; 1910 ; СПБ ; Cu ; AU ; 60 ; Продано в зале ; 17000 
 126 ; 2 копейки ; 1911 ; СПБ ; Cu ; AU ; 43 ; Vorotnik ; 16000 
 127 ; Копейка ; 1728 ;  ; Cu ; VF-XF ; 38 ; Продано в зале ; 11000 
 128 ; Копейка ; 1766 ; ММ ; Cu ; VF+ ; 60 ; Sky2 ; 5000 
 129 ; Копейка ; 1860 ; ЕМ ; Cu ; VF-XF ; 19 ; Vorotnik ; 700 
 130 ; Копейка ; 1910 ; СПБ ; Cu ; AU ; 51 ; Продано в зале ; 13500 
 131 ; Копейка ; 1911 ; СПБ ; Cu ; AU ; 43 ; Югенд ; 9500 
 132 ; Денежка ; 1862 ; ЕМ ; Cu ; XF+ ; 33 ; CapsulЪ ; 5250 
 133 ; Денежка ; 1863 ; ЕМ ; Cu ; VF+ ; 27 ; Продано в зале ; 4800 
 134 ; 1/2 копейки ; 1868 ; ЕМ ; Cu ; XF+ ; 77 ; Продано в зале ; 9500 
 135 ; 1/2 копейки ; 1869 ; СПБ ; Cu ; XF ; 61 ; Олег1488 ; 20000 
 136 ; 1/2 копейки. Капсула ; 1879 ; СПБ ; Cu ;  ; 26 ; Vorotnik ; 9500 
 137 ; 1/2 копейки ; 1881 ; СПБ ; Cu ; XF ; 54 ; Олег1488 ; 13000 
 138 ; 1/2 копейки ; 1883 ; СПБ ; Cu ; XF+ ; 59 ; Олег1488 ; 11500 
 139 ; 1/2 копейки ; 1886 ; СПБ ; Cu ; XF ; 32 ; sdv75-2010 ; 14000 
 140 ; 1/2 копейки ; 1889 ; СПБ ; Cu ; AU ; 21 ; Vorotnik ; 5000 
 141 ; 1/2 копейки ; 1892 ; СПБ ; Cu ; XF ; 20 ; moneta1924 ; 2200 
 142 ; 1/2 копейки ; 1894 ; СПБ ; Cu ; XF ; 39 ; Продано в зале ; 4800 
 143 ; 1/2 копейки ; 1895 ; СПБ ; Cu ; XF ; 24 ; Продано в зале ; 5500 
 144 ; 1/2 копейки ; 1909 ; СПБ ; Cu ; AU ; 28 ; 333985 ; 2000 
 145 ; 1/2 копейки ; 1910 ; СПБ ; Cu ; AU ; 24 ; Продано в зале ; 11500 
 146 ; 1/2 копейки ; 1916 ;  ; Cu ; AU ; 141 ; ЛюКаН ; 38000 
 147 ; Полушка ; 1850 ; ЕМ ; Cu ; XF ; 37 ; Vorotnik ; 2400 
 148 ; Полушка ; 1852 ; ЕМ ; Cu ; AU ; 78 ; q8b ; 28000 
 149 ; Полушка ; 1855 ; ЕМ ; Cu ; AU ; 101 ; Югенд ; 14000 
 150 ; Полушка ; 1856 ; ЕМ ; Cu ; XF+ ; 39 ; tisa66 ; 3400 
 51 ; Рубль ; 1847 ; MW ; Ag ; XF+ ; 20 ; Продано в зале ; 40000 
 52 ; Рубль (Петров-4р) ; 1852 ; СПБ HI ; Ag ; XF+ ; 13 ; паркер ; 35700 
 53 ; Рубль ; 1872 ; СПБ HI ; Ag ; VF-XF ; 17 ; Moryak ; 25000 
 54 ; Рубль ; 1876 ; СПБ HI ; Ag ; XF- ; 3 ; PamVan ; 20000 
 55 ; Рубль ; 1878 ; СПБ НФ ; Ag ; XF ; 36 ; Sky2 ; 7000 
 56 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; AU ; 40 ; vic-dmitri ; 85000 
 57 ; Рубль ; 1884 ; СПБ АГ ; Ag ; XF- ; 17 ; Moryak ; 21420 
 58 ; Рубль ; 1886 ; (АГ) ; Ag ; AU ; 35 ; Продано в зале ; 125000 
 59 ; Рубль ; 1887 ; (АГ) ; Ag ; XF+ ; 51 ; StepByStep ; 210000 
 60 ; Рубль ; 1888 ; (АГ) ; Ag ; XF+ ; 17 ; 462 ; 70000 
 61 ; Рубль ; 1891 ; (АГ) ; Ag ; XF/AU ; 1 ; PamVan ; 50000 
 62 ; Рубль ; 1892 ; (АГ) ; Ag ; VF-XF ; 26 ; 462 ; 19000 
 63 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; AU ; 44 ; vic-dmitri ; 62500 
 64 ; Рубль ; 1897 ; ( ** ) ; Ag ; XF+ ; 31 ; Potapiev ; 15504 
 65 ; Рубль ; 1897 ; (АГ) ; Ag ; AU ; 47 ; vic-dmitri ; 46000 
 66 ; Рубль ; 1898 ; (АГ) На открытие памятника Александру II ; Ag ; XF+ ; 28 ; Продано в зале ; 390000 
 67 ; Рубль ; 1899 ; (ФЗ) ; Ag ; AU ; 41 ; rogogor ; 58000 
 68 ; Рубль ; 1900 ; (ФЗ) ; Ag ; AU ; 50 ; rogogor ; 120708 
 69 ; Рубль ; 1912 ; (ЭБ) На открытие памятника Александру III ; Ag ; XF+ ; 25 ; 78gen ; 610000 
 70 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; AU/XF+ ; 25 ; vic-dmitri ; 150000 
 71 ; Рубль ; 1913 ; (ЭБ) ; Ag ; XF ; 46 ; rogogor ; 127879 
 72 ; Рубль ; 1914 ; (ВС) ; Ag ; XF+ ; 41 ; Vvladimirov ; 90000 
 73 ; Рубль ; 1915 ; (ВС) ; Ag ; XF ; 19 ; gelo ; 32640 
 74 ; Полтина (Петров-3р) ; 1721 ;  ; Ag ; VF-XF ; 28 ; gelo ; 46000 
 75 ; Полтина (Петров-3,5р) ; 1723 ;  ; Ag ; VF+ ; 18 ; vit2503 ; 36000 
 76 ; Полтина ; 1726 ; СПБ ; Ag ; VF- ; 46 ; gelo ; 42000 
 77 ; Полтина (Петров-3р, Ильин-3р) ; 1731 ;  ; Ag ; VF+ ; 42 ; Продано в зале ; 46000 
 78 ; Полтина (Петров-3р) ; 1733 ;  ; Ag ; VF-XF ; 41 ; Продано в зале ; 34000 
 79 ; Полтина (Петров-3р) ; 1764 ; СПБ ЯI ; Ag ; XF- ; 58 ; Valera G ; 57500 
 80 ; Полтина ; 1855 ; СПБ HI ; Ag ; XF ; 37 ; Vorotnik ; 7500 
 81 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 63 ; vic-dmitri ; 14000 
 82 ; Полтина ; 1880 ; СПБ НФ ; Ag ; XF ; 45 ; Zenit68 ; 23000 
 83 ; Полтина. В капсуле ; 1912 ; (ЭБ) АГ ; Ag ;  ; 31 ; Eichhörnchen ; 2711 
 84 ; Полтина. В капсуле ; 1913 ; (ВС) АГ ; Ag ;  ; 51 ; лампедуза ; 3800 
 85 ; 25 копеек. В капсуле ; 1858 ; СПБ ФБ ; Ag ;  ; 50 ; Продано в зале ; 4400 
 86 ; 20 копеек ; 1833 ; СПБ НГ ; Ag ; VF-XF ; 22 ; gelo ; 3966 
 87 ; 20 копеек ; 1837 ; СПБ НГ ; Ag ; VF-XF ; 17 ; serg2010 ; 1734 
 88 ; 20 копеек ; 1884 ; СПБ АГ ; Ag ; XF+ ; 23 ; Zenit68 ; 7943 
 89 ; 15 копеек ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 40 ; Zenit68 ; 10500 
 90 ; 15 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 41 ; Продано в зале ; 5750 
 91 ; 15 копеек. Капсула ; 1917 ; ВС ; Ag ;  ; 25 ; Zenit68 ; 20000 
 92 ; 10 копеек ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 41 ; Olimpia ; 5500 
 93 ; 10 копеек. Капсула ; 1861 ; СПБ ; Ag ;  ; 42 ; CapsulЪ ; 8000 
 94 ; 10 копеек ; 1863 ; СПБ АБ ; Ag ; XF+ ; 51 ; Л777 ; 2400 
 95 ; 10 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 23 ; Продано в зале ; 4750 
 96 ; 10 копеек ; 1895 ; СПБ АГ ; Ag ; AU ; 101 ; I3 ; 120000 
 97 ; 10 копеек ; 1899 ; СПБ АГ ; Ag ; AU ; 33 ; Zenit68 ; 17000 
 98 ; 10 копеек. Капсула ; 1917 ; ВС ; Ag ;  ; 25 ; Zenit68 ; 18000 
 99 ; 5 копеек ; 1798 ; СМ МБ ; Ag ; XF- ; 42 ; gelo ; 20000 
 100 ; 5 копеек. Капсула ; 1826 ; СПБ НГ ; Ag ;  ; 26 ; Zenit68 ; 12390 
 1 ; 10 рублей. М-8,59г ; 1899 ; (АГ) АГ ; Au ; AU ; 35 ; Акоп ; 50000 
 2 ; 10 рублей. М-8,59г ; 1899 ; (АГ) АГ ; Au ; AU ; 19 ; Продано в зале ; 48000 
 3 ; 10 рублей. М-8,6г ; 1899 ; (АГ) АГ ; Au ; AU ; 21 ; Продано в зале ; 52000 
 4 ; 5 рублей. М-6,54г ; 1850 ; СПБ АГ ; Au ; XF+ ; 29 ; К111 ; 62175 
 5 ; 5 рублей. М-6,52г ; 1877 ; СПБ НI ; Au ; XF ; 28 ; cr4987 ; 51749 
 6 ; 5 рублей. Капсула ; 1901 ; (ФЗ) ; Au ;  ; 36 ; Vorotnik ; 34000 
 7 ; 5 рублей. Капсула ; 1902 ; (АР) ; Au ;  ; 38 ; niki ; 36000 
 8 ; 5 рублей. Капсула ; 1904 ; (АР) ; Au ;  ; 15 ; rogogor ; 30600 
 9 ; 3 рубля-20 злотых. М-3,88г ; 1836 ; СПБ ПД Рус.-Пол. ; Au ; XF ; 64 ; Продано в зале ; 165000 
 10 ; 2 рубля. М-2,61г (Петров-8р) ; 1785 ; СПБ "Для дворцового обихода" ; Au ; VF-XF ; 62 ; Сыч ; 156060 
 11 ; Дукат. Нидерланды. Петербургской чеканки. М-3,5г ; 1849 ;  ; Au ; XF ; 19 ; papinazu ; 36000 
 12 ; Рубль ; 1719 ;  ; Ag ; XF ; 57 ; I3 ; 230000 
 13 ; Рубль ; 1721 ;  ; Ag ; VF-XF ; 33 ; 333985 ; 60000 
 14 ; Рубль ; 1721 ;  ; Ag ; XF+/AU ; 19 ; Продано в зале ; 190000 
 15 ; Рубль (Петров-20р) ; 1721 ; K ; Ag ; AU ; 82 ; Potapiev ; 276022 
 16 ; Рубль ; 1723 ;  ; Ag ; VF+ ; 36 ; 333985 ; 44000 
 17 ; Рубль ; 1723 ;  ; Ag ; VF+ ; 47 ; vit2503 ; 46000 
 18 ; Рубль. ВСЕРОСNCKNI. Очень редок ; 1724 ;  ; Ag ; XF ; 50 ; Potapiev ; 153000 
 19 ; Рубль ; 1725 ;  ; Ag ; VF-XF ; 38 ; gelo ; 40800 
 20 ; Рубль. (Петров-10р) ; 1725 ;  ; Ag ; XF- ; 30 ; Potapiev ; 151014 
 21 ; Рубль ; 1725 ; СПБ ; Ag ; VF-XF ; 49 ; gelo ; 70000 
 22 ; Рубль ; 1727 ;  ; Ag ; XF+ ; 54 ; паркер ; 198736 
 23 ; Рубль ; 1732 ;  ; Ag ; XF+ ; 66 ; Продано в зале ; 42000 
 24 ; Рубль ; 1735 ;  ; Ag ; XF ; 38 ; taa ; 31701 
 25 ; Рубль ; 1749 ; СПБ ; Ag ; VF/VF+ ; 25 ; vit2503 ; 22000 
 26 ; Рубль ; 1753 ; СПБ ЯI ; Ag ; XF+/AU ; 70 ; Potapiev ; 82375 
 27 ; Рубль ; 1754 ; СПБ IM BS ; Ag ; XF+ ; 16 ; Продано в зале ; 49000 
 28 ; Рубль (Петров-4р) ; 1756 ; СПБ ЯI BS ; Ag ; VF-XF ; 17 ; gelo ; 28000 
 29 ; Рубль ; 1760 ; СПБ ЯI TI ; Ag ; VF-XF ; 50 ; ValeriyL ; 75135 
 30 ; Рубль (Петров-10р) ; 1762 ; СПБ НК ; Ag ; XF- ; 27 ; паркер ; 204204 
 31 ; Рубль ; 1763 ; СПБ НК TI ; Ag ; XF+ ; 22 ; cr4987 ; 36095 
 32 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF+ ; 48 ; cr4987 ; 40000 
 33 ; Рубль ; 1778 ; СПБ ФЛ ; Ag ; XF- ; 26 ; а1945 ; 28000 
 34 ; Рубль ; 1779 ; СПБ ФЛ ; Ag ; XF+ ; 21 ; cr4987 ; 50000 
 35 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF+ ; 27 ; Продано в зале ; 48000 
 36 ; Рубль ; 1782 ; СПБ ИЗ ; Ag ; XF ; 26 ; papinazu ; 34000 
 37 ; Рубль (Петров-4р, Ильин-4р) ; 1797 ; СМ ФЦ ; Ag ; XF ; 31 ; Продано в зале ; 340000 
 38 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF ; 65 ; Продано в зале ; 12000 
 39 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF+ ; 37 ; Vorotnik ; 20302 
 40 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF+ ; 30 ; Продано в зале ; 14000 
 41 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF- ; 28 ; anna53 ; 17000 
 42 ; Рубль ; 1834 ; "На открытие Александровской колонны" ; Ag ; XF+/AU ; 24 ; Продано в зале ; 145000 
 43 ; Рубль ; 1839 ; H.Gube F. "На открытие Бородинского памятника-часовни" ; Ag ; XF+ ; 16 ; паркер ; 199920 
 44 ; Медаль. М-30,66г ; 1841 ; H.GUBE FECIT На бракосочетание Александра Николаевича ; Ag ; XF+ ; 32 ; Potapiev ; 450000 
 45 ; Рубль ; 1841 ; СПБ НГ ; Ag ; VF-XF ; 29 ; top1 ; 7777 
 46 ; Рубль. Ошибка ЗОЛОТIIИКА ; 1842 ; СПБ АЧ ; Ag ; XF ; 54 ; Продано в зале ; 22000 
 47 ; Рубль (Петров-5р) ; 1844 ; MW ; Ag ; XF+ ; 35 ; NB ; 40802 
 48 ; Рубль ; 1844 ; MW ; Ag ; AU ; 19 ; Сам такой!!! ; 36000 
 49 ; Рубль ; 1845 ; СПБ КБ ; Ag ; VF-XF ; 28 ; top1 ; 10500 
 50 ; Рубль ; 1846 ; MW ; Ag ; AU ; 18 ; Продано в зале ; 42000 
 4835 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Майкл ; 39 
 4836 ; Бона иностранная ;  ;  ;  ;  ; 16 ; dog009 ; 131 
 4837 ; Бона иностранная ;  ;  ;  ;  ; 20 ; smel ; 46 
 4838 ; Бона иностранная ;  ;  ;  ;  ; 37 ; sobiranel ; 128 
 4839 ; Бона иностранная ;  ;  ;  ;  ; 14 ; vlad668 ; 24 
 4840 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Юбер ; 25 
 4841 ; Боны иностранные 4 шт. ;  ;  ;  ;  ; 25 ; егор ; 512 
 4842 ; Боны иностранные 2 шт. ;  ;  ;  ;  ; 57 ; sikachai ; 259 
 4843 ; Боны иностранные 2 шт. ;  ;  ;  ;  ; 58 ; sikachai ; 334 
 4844 ; Боны иностранные 4 шт. ;  ;  ;  ;  ; 32 ; smel ; 204 
 4845 ; Боны иностранные 5 шт. ;  ;  ;  ;  ; 78 ; krft ; 138 
 4846 ; Боны иностранные 6 шт. ;  ;  ;  ;  ; 30 ; kaa81 ; 112 
 4847 ; Бона иностранная ;  ;  ;  ;  ; 52 ; vfuflfy49 ; 207 
 4663 ; Бона иностранная ;  ;  ;  ;  ; 7 ; koga ; 135 
 4664 ; Бона иностранная ;  ;  ;  ;  ; 5 ; koga ; 126 
 4665 ; Бона иностранная ;  ;  ;  ;  ; 7 ; koga ; 126 
 4666 ; Бона иностранная ;  ;  ;  ;  ; 5 ; koga ; 114 
 4667 ; Бона иностранная ;  ;  ;  ;  ; 5 ; егор ; 92 
 4668 ; Бона иностранная ;  ;  ;  ;  ; 2 ; sobiranel ; 102 
 4669 ; Бона иностранная ;  ;  ;  ;  ; 13 ; sikachai ; 120 
 4670 ; Бона иностранная ;  ;  ;  ;  ; 8 ; vfuflfy49 ; 102 
 4671 ; Бона иностранная ;  ;  ;  ;  ; 33 ; Etich ; 209 
 4672 ; Бона иностранная ;  ;  ;  ;  ; 35 ; кве ; 261 
 4673 ; Бона иностранная ;  ;  ;  ;  ; 31 ; кве ; 227 
 4674 ; Бона иностранная ;  ;  ;  ;  ; 27 ; кве ; 139 
 4675 ; Бона иностранная ;  ;  ;  ;  ; 16 ; кве ; 142 
 4676 ; Бона иностранная ;  ;  ;  ;  ; 58 ; k212 ; 308 
 4677 ; Бона иностранная ;  ;  ;  ;  ; 11 ; sikachai ; 145 
 4678 ; Бона иностранная ;  ;  ;  ;  ; 18 ; sikachai ; 133 
 4801 ; Лот купонов Украины разного достоинства: 16шт ;  ;  ;  ; AU ; 57 ; hugo ; 2267 
 4802 ; Лот купонов Татарстана разного достоинства: 10шт ;  ;  ;  ; AU/XF ; 56 ; benc ; 1151 
 4803 ; Лот Японских оккупаций Бирмы: 1/2,1,5,10,100 рупий (5шт) ;  ;  ;  ; AU/XF ; 42 ; rem16 ; 969 
 4804 ; Лот Японских оккупаций Малазии: 1,10 долларов (2шт) ;  ;  ;  ; AU/XF ; 63 ; liderssen ; 386 
 4805 ; Лот Японских оккупаций Суматры: 1,5,10 центов, 1/2,1,10 гульденов (7шт) ;  ;  ;  ; AU/XF ; 73 ; andrew1977 ; 1214 
 4806 ; 20 динар. Югославия ; 1978 ;  ;  ; AU ; 51 ; Хакас ; 108 
 4807 ; Бона иностранная ;  ;  ;  ;  ; 50 ; sikachai ; 255 
 4808 ; Бона иностранная ;  ;  ;  ;  ; 31 ; sikachai ; 72 
 4809 ; Бона иностранная ;  ;  ;  ;  ; 22 ; кве ; 69 
 4810 ; Бона иностранная ;  ;  ;  ;  ; 28 ; sikachai ; 159 
 4811 ; Бона иностранная ;  ;  ;  ;  ; 116 ; sikachai ; 231 
 4812 ; Бона иностранная ;  ;  ;  ;  ; 40 ; sikachai ; 55 
 4813 ; Бона иностранная ;  ;  ;  ;  ; 59 ; tars7777 ; 147 
 4814 ; Бона иностранная ;  ;  ;  ;  ; 14 ; yurrgen ; 56 
 4815 ; Бона иностранная ;  ;  ;  ;  ; 20 ; кве ; 163 
 4816 ; Боны иностранные 3 шт. ;  ;  ;  ;  ; 36 ; andrew1977 ; 265 
 4817 ; Бона иностранная ;  ;  ;  ;  ; 44 ; кве ; 181 
 4818 ; Бона иностранная ;  ;  ;  ;  ; 31 ; кве ; 225 
 4819 ; Бона иностранная ;  ;  ;  ;  ; 23 ; кве ; 255 
 4820 ; Бона иностранная ;  ;  ;  ;  ; 40 ; smel ; 123 
 4821 ; Бона иностранная ;  ;  ;  ;  ; 32 ; кве ; 138 
 4822 ; Бона иностранная ;  ;  ;  ;  ; 14 ; sos1 ; 296 
 4823 ; Бона иностранная ;  ;  ;  ;  ; 77 ; sos1 ; 369 
 4824 ; Бона иностранная ;  ;  ;  ;  ; 1 ; я8844 ; 29 
 4825 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Sky2 ; 23 
 4826 ; Бона иностранная ;  ;  ;  ;  ; 11 ; von_Schwarz ; 190 
 4827 ; Бона иностранная ;  ;  ;  ;  ; 47 ; кве ; 165 
 4828 ; Бона иностранная ;  ;  ;  ;  ; 48 ; кве ; 126 
 4829 ; Бона иностранная ;  ;  ;  ;  ; 84 ; кве ; 163 
 4830 ; Бона иностранная ;  ;  ;  ;  ; 48 ; smel ; 185 
 4831 ; Бона иностранная ;  ;  ;  ;  ; 78 ; кве ; 207 
 4832 ; Бона иностранная ;  ;  ;  ;  ; 54 ; кве ; 173 
 4833 ; Бона иностранная ;  ;  ;  ;  ; 61 ; кве ; 146 
 4834 ; Бона иностранная ;  ;  ;  ;  ; 23 ; dases ; 42 
 4613 ; Бона иностранная ;  ;  ;  ;  ; 26 ; su27 ; 38 
 4614 ; Бона иностранная ;  ;  ;  ;  ; 2 ; yurrgen ; 31 
 4615 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Gyron ; 71 
 4616 ; Бона иностранная ;  ;  ;  ;  ; 39 ; Синица ; 113 
 4617 ; Бона иностранная ;  ;  ;  ;  ; 15 ; yurrgen ; 30 
 4618 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Хакас ; 102 
 4619 ; Бона иностранная ;  ;  ;  ;  ; 12 ; andrry ; 50 
 4620 ; Бона иностранная ;  ;  ;  ;  ; 34 ; Gyron ; 136 
 4621 ; Бона иностранная ;  ;  ;  ;  ; 2 ; yurrgen ; 51 
 4622 ; Бона иностранная ;  ;  ;  ;  ; 4 ; andrry ; 50 
 4623 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Хакас ; 114 
 4624 ; Бона иностранная ;  ;  ;  ;  ; 6 ; егор ; 19 
 4625 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Хакас ; 90 
 4626 ; Бона иностранная ;  ;  ;  ;  ; 15 ; andrry ; 41 
 4627 ; Бона иностранная ;  ;  ;  ;  ; 21 ; andrry ; 45 
 4628 ; Бона иностранная ;  ;  ;  ;  ; 16 ; jj ; 79 
 4629 ; Бона иностранная ;  ;  ;  ;  ; 37 ; andrry ; 49 
 4630 ; Бона иностранная ;  ;  ;  ;  ; 21 ; andrry ; 65 
 4631 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Northman ; 40 
 4632 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Northman ; 53 
 4633 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Alex75 ; 51 
 4634 ; Бона иностранная ;  ;  ;  ;  ; 26 ; andrry ; 37 
 4635 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Woker ; 72 
 4636 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Woker ; 147 
 4637 ; Бона иностранная ;  ;  ;  ;  ; 7 ; smel ; 203 
 4638 ; Бона иностранная ;  ;  ;  ;  ; 1 ; я8844 ; 30 
 4639 ; Бона иностранная ;  ;  ;  ;  ; 5 ; егор ; 37 
 4640 ; Бона иностранная ;  ;  ;  ;  ; 2 ; егор ; 31 
 4641 ; Бона иностранная ;  ;  ;  ;  ; 22 ; yurrgen ; 153 
 4642 ; Бона иностранная ;  ;  ;  ;  ; 31 ; yurrgen ; 156 
 4643 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Хакас ; 159 
 4644 ; Бона иностранная ;  ;  ;  ;  ; 18 ; чипыжи ; 104 
 4645 ; Бона иностранная ;  ;  ;  ;  ; 17 ; rem16 ; 160 
 4646 ; Бона иностранная ;  ;  ;  ;  ; 24 ; max2008 ; 159 
 4647 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Хакас ; 133 
 4648 ; Бона иностранная ;  ;  ;  ;  ; 19 ; rem16 ; 258 
 4649 ; Бона иностранная ;  ;  ;  ;  ; 13 ; max2008 ; 285 
 4650 ; Бона иностранная ;  ;  ;  ;  ; 30 ; чипыжи ; 104 
 4651 ; Бона иностранная ;  ;  ;  ;  ; 62 ; чипыжи ; 104 
 4652 ; Бона иностранная ;  ;  ;  ;  ; 21 ; andrry ; 133 
 4653 ; Бона иностранная ;  ;  ;  ;  ; 35 ; Northman ; 114 
 4654 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Woker ; 123 
 4655 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Синица ; 138 
 4656 ; Бона иностранная ;  ;  ;  ;  ; 81 ; Синица ; 403 
 4657 ; Бона иностранная ;  ;  ;  ;  ; 32 ; Sky2 ; 81 
 4658 ; Бона иностранная ;  ;  ;  ;  ; 38 ; 1gold ; 151 
 4659 ; Бона иностранная ;  ;  ;  ;  ; 106 ; Синица ; 483 
