 3277 ; Бона иностранная ;  ;  ;  ;  ; 60 ; necator ; 143 
 3266 ; Бона иностранная ;  ;  ;  ;  ; 28 ; Poiuyt ; 41 
 3267 ; Бона иностранная ;  ;  ;  ;  ; 20 ; skir ; 23 
 3268 ; Бона иностранная ;  ;  ;  ;  ; 36 ; skir ; 36 
 3269 ; Бона иностранная ;  ;  ;  ;  ; 14 ; skir ; 14 
 3270 ; Бона иностранная ;  ;  ;  ;  ; 17 ; vanamo ; 41 
 3271 ; Бона иностранная ;  ;  ;  ;  ; 10 ; кузин ; 49 
 3272 ; Бона иностранная ;  ;  ;  ;  ; 12 ; maks169 ; 30 
 3273 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Захар ; 36 
 3274 ; Бона иностранная ;  ;  ;  ;  ; 10 ; do_cent ; 41 
 3275 ; Бона иностранная ;  ;  ;  ;  ; 38 ; skir ; 36 
 3276 ; Бона иностранная ;  ;  ;  ;  ; 16 ; afanas ; 23 
 3177 ; Бона иностранная ;  ;  ;  ;  ; 12 ; afanas ; 40 
 3178 ; Бона иностранная ;  ;  ;  ;  ; 20 ; afanas ; 42 
 3179 ; Бона иностранная ;  ;  ;  ;  ; 28 ; afanas ; 37 
 3180 ; Бона иностранная ;  ;  ;  ;  ; 17 ; 542 ; 104 
 3181 ; Бона иностранная ;  ;  ;  ;  ; 9 ; кузин ; 53 
 3182 ; Бона иностранная ;  ;  ;  ;  ; 10 ; vanamo ; 18 
 3183 ; Бона иностранная ;  ;  ;  ;  ; 12 ; vlkorchev ; 12 
 3184 ; Бона иностранная ;  ;  ;  ;  ; 6 ; and000 ; 13 
 3185 ; Бона иностранная ;  ;  ;  ;  ; 13 ; do_cent ; 13 
 3186 ; Бона иностранная ;  ;  ;  ;  ; 14 ; do_cent ; 14 
 3187 ; Бона иностранная ;  ;  ;  ;  ; 41 ; 542 ; 260 
 3188 ; Бона иностранная ;  ;  ;  ;  ; 17 ; shmatko24 ; 75 
 3189 ; Бона иностранная ;  ;  ;  ;  ; 9 ; кузин ; 38 
 3190 ; Бона иностранная ;  ;  ;  ;  ; 37 ; jj ; 73 
 3191 ; Бона иностранная ;  ;  ;  ;  ; 5 ; zenit ; 45 
 3192 ; Бона иностранная ;  ;  ;  ;  ; 21 ; vlkorchev ; 20 
 3193 ; Бона иностранная ;  ;  ;  ;  ; 10 ; vlkorchev ; 20 
 3194 ; Бона иностранная ;  ;  ;  ;  ; 15 ; vlkorchev ; 20 
 3195 ; Бона иностранная ;  ;  ;  ;  ; 16 ; zenit ; 57 
 3196 ; Бона иностранная ;  ;  ;  ;  ; 27 ; aleksius ; 63 
 3197 ; Бона иностранная ;  ;  ;  ;  ; 2 ; dtdt ; 20 
 3198 ; Бона иностранная ;  ;  ;  ;  ; 9 ; maks169 ; 16 
 3199 ; Бона иностранная ;  ;  ;  ;  ; 33 ; zenit ; 51 
 3200 ; Бона иностранная ;  ;  ;  ;  ; 16 ; necator ; 68 
 3201 ; Бона иностранная ;  ;  ;  ;  ; 19 ; necator ; 19 
 3202 ; Бона иностранная ;  ;  ;  ;  ; 17 ; necator ; 24 
 3203 ; Бона иностранная ;  ;  ;  ;  ; 16 ; do_cent ; 25 
 3204 ; Бона иностранная ;  ;  ;  ;  ; 13 ; and000 ; 45 
 3205 ; Бона иностранная ;  ;  ;  ;  ; 34 ; necator ; 59 
 3206 ; Бона иностранная ;  ;  ;  ;  ; 4 ; skir ; 29 
 3207 ; Бона иностранная ;  ;  ;  ;  ; 9 ; shmatko24 ; 51 
 3208 ; Бона иностранная ;  ;  ;  ;  ; 47 ; tati1545 ; 57 
 3209 ; Бона иностранная ;  ;  ;  ;  ; 15 ; and000 ; 44 
 3210 ; Бона иностранная ;  ;  ;  ;  ; 19 ; and000 ; 36 
 3211 ; Бона иностранная ;  ;  ;  ;  ; 16 ; skir ; 16 
 3212 ; Бона иностранная ;  ;  ;  ;  ; 6 ; жора ; 41 
 3213 ; Бона иностранная ;  ;  ;  ;  ; 13 ; bethowen ; 75 
 3214 ; Бона иностранная ;  ;  ;  ;  ; 33 ; do_cent ; 65 
 3215 ; Бона иностранная ;  ;  ;  ;  ; 33 ; do_cent ; 65 
 3216 ; Бона иностранная ;  ;  ;  ;  ; 7 ; bethowen ; 73 
 3217 ; Бона иностранная ;  ;  ;  ;  ; 9 ; shmatko24 ; 53 
 3218 ; Бона иностранная ;  ;  ;  ;  ; 7 ; жора ; 47 
 3219 ; Бона иностранная ;  ;  ;  ;  ; 27 ; Захар ; 42 
 3220 ; Бона иностранная ;  ;  ;  ;  ; 21 ; tati1545 ; 21 
 3221 ; Бона иностранная ;  ;  ;  ;  ; 12 ; do_cent ; 26 
 3222 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Захар ; 22 
 3223 ; Бона иностранная ;  ;  ;  ;  ; 5 ; maks169 ; 12 
 3224 ; Бона иностранная ;  ;  ;  ;  ; 2 ; and000 ; 16 
 3225 ; Бона иностранная ;  ;  ;  ;  ; 15 ; skir ; 16 
 3226 ; Бона иностранная ;  ;  ;  ;  ; 13 ; maks169 ; 13 
 3127 ; 5 марок. Ковно ; 1918 ;  ;  ;  ; 10 ; shmatko24 ; 153 
 3128 ; 1/2 марки. Ковно ; 1918 ;  ;  ;  ; 39 ; shmatko24 ; 390 
 3129 ; 100 злотых. Польша ; 1940 ;  ;  ;  ; 27 ; jj ; 61 
 3130 ; 500 злотых. Польша ; 1940 ;  ;  ;  ; 69 ; димитрий ; 153 
 3131 ; 50 злотых. Польша ; 1940 ;  ;  ;  ; 56 ; ura 57 ; 100 
 3132 ; 10 злотых. Польша ; 1940 ;  ;  ;  ; 16 ; gelind ; 50 
 3133 ; 5 марок. Польша ; 1919 ;  ;  ;  ; 11 ; shmatko24 ; 111 
 3134 ; 5 злотых. Польша ; 1930 ;  ;  ;  ; 14 ; dtdt ; 34 
 3135 ; 20 злотых. Польша ; 1931 ;  ;  ;  ; 17 ; and000 ; 49 
 3136 ; 100 злотых. Польша ; 1932 ;  ;  ;  ; 45 ; shmatko24 ; 101 
 3137 ; 20 марок. Польша ; 1919 ;  ;  ;  ; 78 ; cochu ; 107 
 3138 ; 100 марок. Польша ; 1919 ;  ;  ;  ; 28 ; dtdt ; 78 
 3139 ; 50 злотых. Поьлша ; 1929 ;  ;  ;  ; 76 ; jj ; 95 
 3140 ; 100 марок. Польша ; 1916 ;  ;  ;  ; 22 ; 542 ; 380 
 3141 ; 1 марка. Польша ; 1917 ;  ;  ;  ; 12 ; 542 ; 225 
 3142 ; 2 марки. Польша ; 1917 ;  ;  ;  ; 13 ; 542 ; 203 
 3143 ; 5 марок. Польша ; 1917 ;  ;  ;  ; 55 ; димитрий ; 144 
 3144 ; 50 марок. Польша ; 1917 ;  ;  ;  ; 27 ; 542 ; 314 
 3145 ; 5 крон ; 1944 ;  ;  ;  ; 39 ; necator ; 45 
 3146 ; 20 крон ; 1944 ;  ;  ;  ; 11 ; necator ; 62 
 3147 ; 100 крон ; 1944 ;  ;  ;  ; 45 ; димитрий ; 103 
 3148 ; 10 крон ; 1915 ;  ;  ;  ; 3 ; MG ; 57 
 3149 ; 20 крон ; 1913 ;  ;  ;  ; 5 ; ura 57 ; 113 
 3150 ; 100 крон ; 1912 ;  ;  ;  ; 37 ; 542 ; 113 
 3151 ; 1000 крон ; 1902 ;  ;  ;  ; 24 ; удод ; 51 
 3152 ; 1000 пенго ; 1944 ;  ;  ;  ; 6 ; 542 ; 136 
 3153 ; Бона. Франция ;  ;  ;  ;  ; 151 ; ira19 ; 819 
 3154 ; Бона. Франция ;  ;  ;  ;  ; 76 ; ira19 ; 819 
 3155 ; 1000 крон ; 1902 ;  ;  ;  ; 29 ; shmatko24 ; 164 
 3156 ; 1000 крон ; 1902 ;  ;  ;  ; 20 ; elitov ; 51 
 3157 ; Купоны (70 шт.) ;  ;  ;  ;  ; 22 ; Sezon ; 174 
 3158 ; Купоны (95 шт.) ;  ;  ;  ;  ; 12 ; Sezon ; 340 
 3159 ; Купоны (55 шт.) ;  ;  ;  ;  ; 9 ; chul66 ; 255 
 3160 ; Купоны (85 шт.) ;  ;  ;  ;  ; 10 ; chul66 ; 179 
 3161 ; Бона иностранная ;  ;  ;  ;  ; 17 ; vlkorchev ; 61 
 3162 ; Бона иностранная ;  ;  ;  ;  ; 23 ; von_Schwarz ; 20 
 3163 ; Бона иностранная ;  ;  ;  ;  ; 61 ; tavitrof ; 72 
 3164 ; Бона иностранная ;  ;  ;  ;  ; 5 ; vlkorchev ; 42 
 3165 ; Бона иностранная ;  ;  ;  ;  ; 24 ; afanas ; 37 
 3166 ; Бона иностранная ;  ;  ;  ;  ; 31 ; afanas ; 40 
 3167 ; Бона иностранная ;  ;  ;  ;  ; 9 ; afanas ; 30 
 3168 ; Бона иностранная ;  ;  ;  ;  ; 17 ; afanas ; 30 
 3169 ; Бона иностранная ;  ;  ;  ;  ; 13 ; afanas ; 30 
 3170 ; Бона иностранная ;  ;  ;  ;  ; 19 ; afanas ; 37 
 3171 ; Бона иностранная ;  ;  ;  ;  ; 11 ; afanas ; 30 
 3172 ; Бона иностранная ;  ;  ;  ;  ; 15 ; afanas ; 40 
 3173 ; Бона иностранная ;  ;  ;  ;  ; 14 ; buzykin ; 31 
 3174 ; Бона иностранная ;  ;  ;  ;  ; 38 ; afanas ; 45 
 3175 ; Бона иностранная ;  ;  ;  ;  ; 16 ; afanas ; 42 
 3176 ; Бона иностранная ;  ;  ;  ;  ; 13 ; afanas ; 35 
 3077 ; 3 рубля. Русско-Азиатский банк ; 1919 ;  ;  ;  ; 18 ; Сибиряк ; 1000 
 3078 ; 20 лат ; 1935 ; Латвия  ;  ;  ; 25 ; derk02 ; 585 
 3079 ; Листовка ; 1944 ;  ;  ;  ; 47 ; димитрий ; 306 
 3080 ; Листовка ; 1944 ;  ;  ;  ; 32 ; Sezon ; 203 
 3081 ; 250 рублей   ; 1920 ; Денежные знаки. Кубанское Крае ;  ;  ; 21 ; kollega ; 1274 
 3082 ; 500 рублей ; 1920 ; Денежный знак Дальне-Восточной ;  ;  ; 9 ; hotin ; 746 
 3083 ; 100 рублей. Томск ; 1918 ;  ;  ;  ; 7 ; MG ; 561 
 3084 ; 500 рублей. Томск ; 1918 ;  ;  ;  ; 9 ; MG ; 587 
 3085 ; 1000 рублей ; 1920 ; Денежный знак Дальне-Восточной ;  ;  ; 7 ; hotin ; 746 
 3086 ; 50 рублей. Государство Российское ; 1919 ;  ;  ;  ; 31 ; igors1969 ; 1381 
 3087 ; 1 рубль ; 1898 ; Коншин. Гос.кредитные билеты 1 ;  ;  ; 41 ; dog009 ; 3629 
 3088 ; 3 рубля ; 1898 ; Плеске. Гос.кредитные билеты 1 ;  ;  ; 51 ; SlavA ; 10200 
 3089 ; 3 рубля ; 1898 ; Тимашев. Гос.кредитные билеты  ;  ;  ; 56 ; SlavA ; 8777 
 3090 ; 5 рублей ; 1898 ; Плеске. Гос.кредитные билеты 1 ;  ;  ; 88 ; greedy ; 8000 
 3091 ; 3 рубля ; 1905 ; Тимашев. Гос.кредитные билеты  ;  ;  ; 22 ; dog009 ; 2403 
 3092 ; 25 рублей ; 1899 ; Плеске. Гос.кредитные билеты 1 ;  ;  ; 39 ; SlavA ; 11445 
 3093 ; 25 рублей ; 1899 ; Тимашев 1903. Гос.кредитные би ;  ;  ; 50 ; dragonfly ; 8000 
 3094 ; 25 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные б ;  ;  ; 38 ; SlavA ; 716 
 3095 ; 75 копеек. Очень редкая ; 1813 ; Финляндия билет  ;  ;  ; 76 ; privpv ; 95509 
 3096 ; 1 червонец ; 1922 ; Банковские билеты  ;  ;  ; 50 ; 1396 ; 2973 
 3097 ; 50 рублей ; 1914 ; Билеты государственного казнач ;  ;  ; 13 ; VR62 ; 111 
 3098 ; 50 рублей ; 1915 ; Билеты государственного казнач ;  ;  ; 33 ; evgen72 ; 174 
 3099 ; 100 рублей ; 1914 ; Билеты государственного казнач ;  ;  ; 9 ; Dok 56 ; 212 
 3100 ; 100 рублей ; 1915 ; Билеты государственного казнач ;  ;  ; 44 ; Reichard ; 203 
 3101 ; Акция. Донечкое общество железоделательного и сталелитейного производства ; 1911 ;  ;  ;  ; 8 ; dtdt ; 357 
 3102 ; Акция. Грозненская нефтяная компания ; 1895 ;  ;  ;  ; 19 ; skir ; 379 
 3103 ; Металлургическое об-во Урал-Волга. Облигация ; 1902 ;  ;  ;  ; 24 ; Reichard ; 450 
 3104 ; Акция. Кострома ; 1899 ;  ;  ;  ; 18 ; Reichard ; 444 
 3105 ; Льняное производство в Витебске. 500 франков. Акция на капитал. Тираж - 7000 шт. ; 1898 ;  ;  ;  ; 21 ; hotin ; 3060 
 3106 ; Акция металлургического общества ; 1900 ;  ;  ;  ; 7 ; klm ; 408 
 3107 ; Акция металлургического общества ; 1900 ;  ;  ;  ; 19 ; klm ; 510 
 3108 ; Акция металлургического общества ; 1900 ;  ;  ;  ; 12 ; skir ; 300 
 3109 ; Электрическая компания на юге России. Акция на владение. Тираж - 5000 шт. ; 1908 ;  ;  ;  ; 24 ; skir ; 510 
 3110 ; Акция. Тифлис ;  ;  ;  ;  ; 16 ; skir ; 360 
 3111 ; Облигация. Тифлис ;  ;  ;  ;  ; 21 ; klm ; 561 
 3112 ; Южно-Русское Днепровское металлургическое об-во. 5 % облигация в 250 рублей ; 1890 ;  ;  ;  ; 33 ; 112 ; 640 
 3113 ; Южно-Русское Днепровское металлургическое об-во. Временное свидетельство на предъявителя ; 1920 ;  ;  ;  ; 25 ; 112 ; 479 
 3114 ; Половинная облигация Московско-Киево-Воронежской ж/д ; 1895 ;  ;  ;  ; 47 ; klm ; 918 
 3115 ; 4 заем г. Санкт-Петербурга. Облигация в 375 рублей ; 1901 ;  ;  ;  ; 8 ; dtdt ; 408 
 3116 ; Акция. Электрическая компания на Юге России ; 1901 ;  ;  ;  ; 25 ; Sezon ; 508 
 3117 ; Облигация 1 общества подъездных железных путей в России. 1 вып. ; 1913 ;  ;  ;  ; 62 ; klm ; 2521 
 3118 ; Облигация общества Московско-Виндаво-Рыбинской ж/д ; 1903 ;  ;  ;  ; 22 ; and000 ; 459 
 3119 ; Закладной лист. 1 вып. ; 1897 ;  ;  ;  ; 15 ; skir ; 355 
 3120 ; Закладной лист. 2 вып. ; 1898 ;  ;  ;  ; 19 ; skir ; 355 
 3121 ; 100 марок. Ковно ; 1918 ;  ;  ;  ; 18 ; MG ; 204 
 3122 ; 10 рублей. Познань ; 1916 ;  ;  ;  ; 8 ; димитрий ; 262 
 3123 ; 3 рубля. Познань ; 1916 ;  ;  ;  ; 45 ; shmatko24 ; 262 
 3124 ; 1 рубль. Познань ; 1916 ;  ;  ;  ; 35 ; shmatko24 ; 150 
 3125 ; 50 копеек. Познань ; 1916 ;  ;  ;  ; 58 ; von_Schwarz ; 76 
 3126 ; 3 рубля. Познань ; 1916 ;  ;  ;  ; 59 ; shmatko24 ; 185 
 3027 ; 5 юаней. Китай ; 1936 ;  ;  ;  ; 5 ; dtdt ; 102 
 3028 ; 5 юаней. Китай ; 1936 ;  ;  ;  ; 5 ; dtdt ; 102 
 3029 ; 1 червонец ; 1937 ; Билет  ;  ;  ; 48 ; GOLDWIZARD ; 163 
 3030 ; 100 юаней. Китай ; 1941 ;  ;  ;  ; 22 ; vasiliy sh1 ; 202 
 3031 ; 5 долларов. Китай ; 1930 ;  ;  ;  ; 17 ; dtdt ; 133 
 3032 ; 5 юаней. Китай ; 1930 ;  ;  ;  ; 50 ; ira19 ; 193 
 3033 ; 10 юаней. Китай ; 1936 ;  ;  ;  ; 15 ; dtdt ; 102 
 3034 ; 10 юаней. Китай ; 1937 ;  ;  ;  ; 7 ; vasiliy sh1 ; 200 
 3035 ; 50 карбованцев ; 1942 ;  ;  ;  ; 58 ; and000 ; 101 
 3036 ; 50 карбованцев ; 1942 ;  ;  ;  ; 36 ; and000 ; 101 
 3037 ; 50 карбованцев ; 1942 ;  ;  ;  ; 2 ; jj ; 101 
 3038 ; 10 юаней. Китай ; 1930 ;  ;  ;  ; 44 ; ira19 ; 200 
 3039 ; 20 юаней. Китай ; 1930 ;  ;  ;  ; 10 ; ira19 ; 200 
 3040 ; 50 юаней. Китай ; 1930 ;  ;  ;  ; 74 ; ira19 ; 200 
 3041 ; 5 крон ; 1944 ;  ;  ;  ; 5 ; Майкл ; 57 
 3042 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР  ;  ;  ; 15 ; evgen72 ; 188 
 3043 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР  ;  ;  ; 77 ; GOLDWIZARD ; 189 
 3044 ; 500 рублей ; 1993 ; банкнота  ;  ;  ; 20 ; GOLDWIZARD ; 50 
 3045 ; 2 гривни ; 1918 ; Украина.Державный Кредитовий б ;  ;  ; 21 ; Карл ; 156 
 3046 ; 1 рубль ; 1919 ; Латвия. Обязательство гос.казн ;  ;  ; 25 ; dtdt ; 296 
 3047 ; 1 рубль. Долговое обязательство г. Риги ; 1919 ;  ;  ;  ; 35 ; shmatko24 ; 320 
 3048 ; 20 копеек. Познань ; 1916 ;  ;  ;  ; 9 ; lesnik1 ; 256 
 3049 ; 3 рубля. Рига ; 1919 ;  ;  ;  ; 11 ; shmatko24 ; 328 
 3050 ; 10 лат ; 1937 ; Латвия  ;  ;  ; 25 ; 542 ; 276 
 3051 ; 10 лат ; 1938 ; Латвия  ;  ;  ; 10 ; and000 ; 150 
 3052 ; 10 лат ; 1940 ; Латвия  ;  ;  ; 86 ; af ; 270 
 3053 ; 50 рублей ; 1991 ; билет  ;  ;  ; 19 ; Саша77 ; 50 
 3054 ; 5000 рублей ; 1992 ; банкнота  ;  ;  ; 16 ; Reichard ; 20 
 3055 ; 1000 рублей ; 1992 ; билет  ;  ;  ; 38 ; Reichard ; 55 
 3056 ; 10 рублей ; 1919 ; Грузия  ;  ;  ; 13 ; tavitrof ; 127 
 3057 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 19 ; igors1969 ; 169 
 3058 ; 50 карбованцев ; 1918 ; Украина. Знак Державноi скарбн ;  ;  ; 15 ; and000 ; 45 
 3059 ; 1 марка. Ковно ; 1918 ;  ;  ;  ; 15 ; Майкл ; 326 
 3060 ; 10 рублей. Обяз-во. Гос-казначейства Латвии ; 1919 ;  ;  ;  ; 13 ; MG ; 518 
 3061 ; 10 крон. Эстония ; 1928 ;  ;  ;  ; 55 ; kollega ; 146 
 3062 ; 1 рубль ; 1947 ; Гос.казначейский билет  ;  ;  ; 17 ; evgen72 ; 150 
 3063 ; 25 лат ; 1938 ; Латвия  ;  ;  ; 5 ; димитрий ; 225 
 3064 ; 50 лат ; 1934 ; Латвия  ;  ;  ; 35 ; cochu ; 412 
 3065 ; 20 крон. Эстония ; 1932 ;  ;  ;  ; 22 ; lesnik1 ; 402 
 3066 ; 50 рублей ; 1918 ; Закавказье  ;  ;  ; 49 ; Grisha7 ; 185 
 3067 ; 100000 рублей ; 1922 ; Азербайджан  ;  ;  ; 61 ; 542 ; 204 
 3068 ; 2 гривни ; 1918 ; Украина.Державный Кредитовий б ;  ;  ; 44 ; maks169 ; 62 
 3069 ; 1 рубль ; 1918 ; Областной кредитный билет Урал ;  ;  ; 107 ; hotin ; 451 
 3070 ; 500 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 5 ; evgen72 ; 126 
 3071 ; 1000 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 33 ; evgen72 ; 203 
 3072 ; 1 рубль. Харьков ;  ;  ;  ;  ; 9 ; shmatko24 ; 404 
 3073 ; 3 рубля. Харьков ;  ;  ;  ;  ; 17 ; kollega ; 704 
 3074 ; 5 рублей. Харьков ;  ;  ;  ;  ; 9 ; kollega ; 714 
 3075 ; 1 рубль. Казань ;  ;  ;  ;  ; 24 ; Grisha7 ; 1040 
 3076 ; 5 рублей. Казань ;  ;  ;  ;  ; 61 ; hotin ; 3185 
 2362 ; 10 пенни. Финляндия ; 1979 ;  ; Al/Br ; Unc/AU ; 12 ; vanamo ; 18 
 2363 ; 5 крон. Швеция. 150 лет конституции ; 1959 ;  ; Ag ; AU ; 43 ; ARTI ; 512 
 2364 ; 2 кроны. Швеция. Оскар II ; 1906 ;  ; Ag ; VF+ ; 73 ; Kalugindv ; 599 
 2365 ; 2 кроны. Швеция. Густав V ; 1915 ;  ; Ag ; VF+ ; 69 ; Kalugindv ; 507 
 2366 ; 2 кроны. Швеция. 300 лет колонии Делавер ; 1938 ;  ; Ag ; AU ; 70 ; Cook ; 561 
 2367 ; 2 кроны. Швеция. Густав V ; 1940 ;  ; Ag ; AU ; 69 ; Cook ; 294 
 2368 ; 1 крона. Швеция. Густав V ; 1946 ;  ; Ag ; AU ; 25 ; udaw ; 123 
 2369 ; 25 эре. Швеция ; 1944 ;  ; Ag ; XF ; 46 ; udaw ; 77 
 2370 ; 25 эре. Швеция ; 1947 ;  ; Ag ; VF-XF ; 39 ; soudzy ; 51 
 2371 ; 25 эре. Швеция ; 1950 ;  ; Ag ; XF ; 4 ; udaw ; 77 
 2372 ; 25 эре. Швеция ; 1957 ;  ; Ag ; XF+ ; 35 ; udaw ; 66 
 2373 ; Набор монет США (5 шт): 25 центов Массачусец, Марилэнд, Южная Каролина, Нью Гемпшир, Виргиния. Подарочная коробка ; 2000 ;  ; Cu/Ni ; Unc ; 56 ; А25 ; 572 
 2374 ; 1 франк. Франция. 30 лет 5-й республике. В подарочной коробке с сертификатом ; 1988 ;  ; Ag 900 про ; proof ; 95 ; Cook ; 718 
 2375 ; 20 долларов. Канада. Калгари - столица XV зимних Олимпийских игр. В подарочной коробке ; 1985 ;  ; Ag ; proof ; 29 ; do_cent ; 729 
 2376 ; 25 новых пенсов. Великобритания. На бракосочетание принца Чарльза и леди Дианы ; 1981 ;  ; Cu/Ni ; AU ; 83 ; А25 ; 451 
 2377 ; 1 доллар. США. XXIII Олимпиада в Лос-Анжелесе. Упаковка ; 1983 ;  ; Ag ; Unc ; 97 ; boroda ; 718 
 2378 ; Лот иностранных монет разных годов (34 шт): Австрия, Дания, Франция, Испания, Великобритания, Швеция + евроценты (20, 10, 5, 2, 1 евроцент) ;  ;  ; Cu/Ni, Al/ ; VF/XF ; 95 ; vagvagvag ; 229 
 2379 ; Лот монет Швейцарии разных годов (22 шт) ;  ;  ; Cu/Ni, Al/ ; VF+/XF ; 17 ; jef688 ; 237 
 2380 ; Лот монет Чехии и Польши разных годов (23 шт) ;  ;  ; Cu/Ni, Al/ ; VF/XF- ; 88 ; VR62 ; 132 
 2381 ; Лот иностранных монет разных годов (35 шт): Колумбия, Турция, Хорватия, Украина, Монголия, Литва, Бразилия, Словения, Чехословакия ;  ;  ; Cu/Ni, Al/ ; VF/XF ; 32 ; VR62 ; 266 
 2382 ; Лот монет Германии разных годов (17 шт) ;  ;  ; Cu/Ni, Al, ; VF/XF- ; 16 ; Chirchic ; 105 
 2383 ; Лот монет Бельгии разных годов (11 шт) ;  ;  ; Cu/Ni, Al/ ; VF/XF- ; 61 ; kvnsmol ; 99 
 2384 ; Лот монет США разных годов (6 шт) ;  ;  ; Cu/Ni ; VF/XF+ ; 67 ; А25 ; 82 
 2385 ; "Набор монет Кубы: 1 песо ""Буэновентура"", Корабль ""Хуан Себастьян Элкано"", ""Субмарина"", Корабль ""Галатея"", ""Хуан Де Ла Коса"". Упаковка" ; 2000 ;  ; Cu/Ni ; Unc ; 95 ; Ромбор ; 1299 
 3001 ; 3 копейки ; 1915 ; Деньги-марки  ;  ;  ; 52 ; flash ; 79 
 3002 ; 10 копеек ; 1915 ; Деньги-марки  ;  ;  ; 29 ; solder13 ; 53 
 3003 ; 15 копеек ; 1915 ; Деньги-марки  ;  ;  ; 25 ; evgen72 ; 50 
 3004 ; 50 копеек. Одесса ;  ;  ;  ;  ; 37 ; димитрий ; 270 
 3005 ; 10 рублей ; 1922 ; Гос.денежные знаки 1922 г.(обр ;  ;  ; 42 ; 1396 ; 316 
 3006 ; Купон. Штамп-царицын ; 1919 ;  ;  ;  ; 36 ; MG ; 113 
