 151 ; Знак Высшей награды ведомства учреждений Императрицы Марии. Неизвестная мастерская. Р-ры: 45х25мм. М-10,98гр ;  ;  ; Ag,позол.,эмаль ; XF+ ; 27 ; hugo ; 19878 
 145 ; Знак об окончании Императорского Санкт-Петербургского и Нежинского Историко-Филологических Институтов. Неизвестная мастерская. Р-ры: 64х43мм. М-32,41гр ;  ;  ; Ag,позол.,эмаль ; XF+ ; 45 ; shurawi ; 35500 
 146 ; Знак об окончании Института Инженеров путей сообщения. Неизвестная мастерская. Р-ры: 58х47мм. М-40,84гр ;  ;  ; Ag ; XF+ ; 25 ; hugo ; 21000 
 147 ; Знак об окончании Императорского Московского Технического Училища. Неизвестная мастерская. Р-ры: 60х45мм. М-39,31гр ;  ;  ; Ag, позолота ; XF+ ; 13 ; hugo ; 14443 
 148 ; Знак в память 50-летия земских учреждений. Мастерская "Э. Кортман". Р-ры: 67х40мм. М-44,10гр ;  ;  ; Br,зол,сер,эмал ; XF+ ; 21 ; hugo ; 30000 
 149 ; Знак Красного креста за Русско-Турецкую войну 1877-1878гг. Неизвестная мастерская. Р-ры: 45х27мм. М-9,09гр ;  ;  ; Ag, эмаль ; XF+ ; 18 ; Участник № 462 ; 16500 
 150 ; Знак Красного креста. Фабрика "Эдуард". Р-ры: 52х32мм. М-23,64гр ;  ;  ; Ag,позол.,эмаль ; XF ; 13 ; 462 ; 18264 
 51 ; Копейка (Петров-1,5р, Ильин-4р) ; 1799 ; КМ ; Cu ; F-VF ; 41 ; SSK ; 7000 
 52 ; 2 копейки ; 1800 ; ЕМ ; Cu ; AU ; 41 ; dsidorov ; 2246 
 53 ; 2 копейки ; 1801 ; КМ ; Cu ; VF+ ; 33 ; Участник № 148 ; 1200 
 54 ; 5 копеек (Петров-2р) ; 1802 ; КМ ; Cu ; VF+ ; 26 ; Участник № 148 ; 9500 
 55 ; 5 копеек (Петров-2р, Ильин-1р) ; 1802 ; КМ ; Cu ; VF ; 24 ; ФВС ; 6120 
 56 ; 2 копейки ; 1802 ; ЕМ ; Cu ; VF-XF ; 27 ; OMT ; 8159 
 57 ; 5 копеек (Петров-2р, Ильин-1р) ; 1803 ; КМ ; Cu ; VF+ ; 21 ; Участник № 114 ; 5200 
 58 ; 5 копеек (Петров-2р, Ильин-1р) ; 1804 ; КМ ; Cu ; VF+ ; 24 ; Участник № 1739 ; 5200 
 59 ; Рубль ; 1805 ; СПБ ФГ ; Ag ; Unc/AU ; 49 ; Участник № 1739 ; 90000 
 60 ; 10 копеек (Петров-1р) ; 1805 ; СПБ ФГ ; Ag ; VF ; 24 ; SSK ; 14327 
 61 ; 5 копеек (Петров-2р, Ильин-1р) ; 1805 ; КМ ; Cu ; VF ; 34 ; Lisik ; 4233 
 62 ; 5 копеек (Петров-2,5р, Ильин-2р) ; 1806 ; КМ ; Cu ; VF+ ; 24 ; Lisik ; 4600 
 63 ; 5 копеек (Петров-3р, Ильин-2р) ; 1807 ; КМ ; Cu ; VF+ ; 34 ; Участник № 1556 ; 5000 
 64 ; 5 копеек (Петров-3р, Ильин-2р) ; 1807 ; КМ ; Cu ; XF- ; 19 ; Участник № 51 ; 8000 
 65 ; 5 копеек (Петров-5р, Ильин-3р) ; 1809 ; КМ ; Cu ; VF ; 25 ; ФВС ; 4083 
 66 ; 5 копеек (Петров-7р, Ильин-5р) ; 1810 ; КМ ; Cu ; VF-XF ; 53 ; SSK ; 15866 
 67 ; 2 копейки ; 1815 ; КМ АМ ; Cu ; XF- ; 54 ; SSK ; 1025 
 68 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF ; 24 ; ,jkn ; 6630 
 69 ; 10 копеек ; 1822 ; СПБ ПД ; Ag ; VF-XF ; 15 ; Участник № 636 ; 850 
 70 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; VF+ ; 32 ; Участник № 392 ; 3100 
 71 ; Копейка. В капсуле NCS ; 1830 ; ЕМ ИК ; Cu ; XF ; 43 ; finger ; 2116 
 72 ; 5 копеек (Ильин-1р) ; 1832 ; СМ ; Cu ; VF+ ; 31 ; Cristofel ; 5500 
 73 ; 20 копеек ; 1833 ; СПБ НГ ; Ag ; XF- ; 43 ; Участник № 392 ; 7500 
 74 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF-XF ; 21 ; zuza ; 1020 
 75 ; Рубль ; 1834 ; "На открытие Александровской колонны" ; Ag ; XF ; 57 ; Участник № 51 ; 72000 
 76 ; 5 копеек (Ильин-1р) ; 1836 ; СМ ; Cu ; VF ; 47 ; monos72 ; 6273 
 77 ; 3/4 рубля-5 злотых ; 1837 ; НГ Рус.-Пол. ; Ag ; VF+ ; 23 ; ФВС ; 3063 
 78 ; 10 копеек ; 1837 ; ЕМ КТ ; Cu ; VF-XF ; 54 ; SSK ; 5000 
 79 ; 25 копеек ; 1839 ; СПБ НГ ; Ag ; XF- ; 40 ; toto ; 1900 
 80 ; 2 копейки ; 1839 ; СМ ; Cu ; VF+ ; 56 ; finger ; 1820 
 81 ; 10 копеек ; 1840 ; СПБ НГ ; Ag ; VF+ ; 31 ; Участник № 412 ; 7130 
 82 ; 1/2 копейки ; 1840 ; СПМ ; Cu ; VF-XF ; 18 ; Участник № 392 ; 2100 
 83 ; 1/4 копейки ; 1840 ; ЕМ ; Cu ; VF-XF ; 52 ; Cristofel ; 975 
 84 ; 5 рублей. М-6,51гр ; 1841 ; СПБ АЧ ; Au ; AU/XF ; 49 ; 28 ; 25220 
 85 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF+ ; 17 ; bazis ; 4598 
 86 ; Копейка ; 1841 ; СПМ ; Cu ; XF- ; 13 ; Участник № 392 ; 1100 
 87 ; 2 копейки ; 1842 ; СПМ ; Cu ; VF-XF ; 17 ; Участник № 392 ; 1300 
 88 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF+ ; 15 ; Lukas ; 5000 
 89 ; 5 копеек ; 1845 ; СПБ КБ ; Ag ; XF+ ; 25 ; maka ; 2756 
 90 ; 25 копеек-50 грошей ; 1846 ; MW Рус.-Пол. ; Ag ; VF-XF ; 42 ; Lukas ; 7130 
 91 ; Полушка ; 1850 ; ЕМ ; Cu ; XF- ; 74 ; vvt ; 2550 
 92 ; 25 копеек ; 1853 ; СПБ HI ; Ag ; AU ; 46 ; 439 ; 5002 
 93 ; 5 копеек ; 1853 ; СПБ HI ; Ag ; AU/XF ; 22 ; Lisik ; 3062 
 94 ; 25 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 77 ; kirkar ; 4000 
 95 ; 2 копейки (Ильин-2р) ; 1855 ; ВМ ; Cu ; VF ; 99 ; OMT ; 4970 
 96 ; Рубль ; 1856 ; СПБ ФБ ; Ag ; AU/XF ; 92 ; 28 ; 26010 
 97 ; 20 копеек ; 1856 ; СПБ ФБ ; Ag ; XF- ; 31 ; taa ; 2200 
 98 ; 20 копеек ; 1858 ; СПБ ФБ ; Ag ; Proof-Like ; 52 ; Участник № 392 ; 7700 
 99 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 58 ; 0987654321 ; 5610 
 100 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 13 ; Lisik ; 1226 
 1 ; Денга ; 1701 ;  ; Cu ; F-VF ; 44 ; Участник № 168 ; 2200 
 2 ; Копейка ; 1705 ; МД ; Cu ; VF- ; 40 ; zuza ; 1500 
 3 ; 1 копейка ; 18 век ;  ; Cu ; VF- ; 7 ; Участник № 1390 ; 650 
 4 ; Рубль ; 1723 ;  ; Ag ; VF ; 45 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 41310 
 5 ; Полтина ; 1723 ;  ;  ; VF-XF ; 35 ; Участник № 636 ; 44000 
 6 ; Полтина ; 1725 ;  ;  ; VF+ ; 48 ; Участник № 636 ; 55000 
 7 ; Рубль ; 1725 ; СПБ ; Ag ; VF+ ; 45 ; Участник № 1 ; 46000 
 8 ; Рубль ; 1726 ;  ; Ag ; VF/VF+ ; 33 ; ФВС ; 29227 
 9 ; Рубль (Петров-15р, Ильин-6р) ; 1728 ;  ; Ag ; VF+ ; 68 ; Участник № 87 ; 92000 
 10 ; Копейка ; 1728 ;  ; Cu ; VF+ ; 69 ; Участник № 1739 ; 4800 
 11 ; Рубль (Ильин-5р) ; 1732 ;  ; Ag ; XF- ; 39 ; dim20022 ; 31000 
 12 ; Рубль (Ильин-5р). Редка ; 1734 ; B ; Ag ; VF ; 42 ; Участник № 636 ; 40000 
 13 ; 2 рубля. М-3,24г ; 1756 ;  ; Au ; AU/XF ; 50 ; Участник № 87 ; 68000 
 14 ; Рубль ; 1757 ; СПБ ЯI BS ; Ag ; VF+ ; 69 ; Участник № 392 ; 58000 
 15 ; Рубль ; 1757 ; СПБ ЯI ; Ag ; VF ; 110 ; finger ; 198900 
 16 ; 10 копеек (Петров-1р) ; 1762 ;  ; Cu ; F-VF ; 55 ; Участник № 1556 ; 12000 
 17 ; 5 копеек ; 1763 ; ММ ; Cu ; VF+ ; 6 ; Участник № 1556 ; 1300 
 18 ; Рубль ; 1767 ; СПБ АШ TI ; Ag ; XF- ; 15 ; Участник № 545 ; 14000 
 19 ; 5 копеек (Петров-40р, Ильин-20р) ; 1767 ; "Сибирь" ; Cu ; F-VF ; 31 ; ФВС ; 25101 
 20 ; 5 копеек (Петров-1р) ; 1767 ; КМ "Сибирь" ; Cu ; VF- ; 38 ; SSK ; 5100 
 21 ; 20 копеек ; 1768 ; СПБ TI ; Ag ; VF ; 41 ; ФВС ; 4080 
 22 ; Полушка ; 1768 ; КМ "Сибирь" ; Cu ; VF ; 49 ; Участник № 51 ; 2100 
 23 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; XF ; 23 ; Участник № 545 ; 14000 
 24 ; Гривенник ; 1769 ; СПБ TI ; Ag ; VF+ ; 27 ; niger ; 2301 
 25 ; 2 копейки ; 1769 ; ЕМ ; Cu ; VF+ ; 23 ; Net ; 1224 
 26 ; Полушка ; 1769 ; КМ "Сибирь" ; Cu ; VF ; 30 ; SSK ; 1530 
 27 ; 2 копейки ; 1771 ; КМ "Сибирь" ; Cu ; VF ; 23 ; Участник № 1556 ; 1500 
 28 ; Копейка ; 1771 ; КМ "Сибирь" ; Cu ; VF ; 44 ; Участник № 1556 ; 880 
 29 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF- ; 18 ; ВДВ ; 13770 
 30 ; 5 копеек ; 1774 ; КМ "Сибирь" ; Cu ; VF-XF ; 39 ; coinlover ; 5500 
 31 ; 5 копеек ; 1775 ; КМ "Сибирь" ; Cu ; VF+ ; 20 ; Участник № 1556 ; 5100 
 32 ; 5 копеек ; 1776 ; КМ "Сибирь" ; Cu ; VF+ ; 38 ; SSK ; 4400 
 33 ; Копейка ; 1776 ; КМ "Сибирь" ; Cu ; VF ; 37 ; tpls ; 2000 
 34 ; 5 копеек ; 1777 ; КМ "Сибирь" ; Cu ; VF+ ; 34 ; ZOLTAN333 ; 3432 
 35 ; 5 копеек ; 1777 ; КМ "Сибирь" ; Cu ; VF ; 17 ; Участник № 1739 ; 3600 
 36 ; 10 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF+ ; 52 ; Участник № 51 ; 9500 
 37 ; 5 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF ; 29 ; Участник № 1556 ; 4200 
 38 ; 5 копеек ; 1779 ; КМ "Сибирь" ; Cu ; VF+ ; 25 ; Участник № 1739 ; 4600 
 39 ; 2 копейки ; 1779 ; КМ "Сибирь" ; Cu ; VF ; 38 ; Участник № 1556 ; 2200 
 40 ; 5 копеек ; 1783 ; КМ ; Cu ; VF-XF ; 21 ; dimon46 ; 1838 
 41 ; 15 копеек ; 1784 ; СПБ ; Ag ; XF+ ; 22 ; Sky2 ; 4400 
 42 ; Гривенник ; 1784 ; СПБ ; Ag ; VF-XF ; 22 ; Sky2 ; 2000 
 43 ; 15 копеек ; 1785 ; СПБ ; Ag ; VF-XF ; 31 ; dimon46 ; 5400 
 44 ; 5 копеек ; 1787 ; ЕМ ; Cu ; XF- ; 34 ; Cristofel ; 714 
 45 ; 5 копеек ; 1787 ; КМ ; Cu ; VF-XF ; 22 ; SadKo ; 1868 
 46 ; 5 копеек (Петров-8р, Ильин-5р) ; 1791 ; ЕМ Павл.перечекан ; Cu ; F-VF ; 71 ; ФВС ; 6453 
 47 ; Денга ; 1791 ; КМ ; Cu ; VF ; 36 ; Участник № 51 ; 2200 
 48 ; Полуполтинник ; 1792 ; СПБ ЯА ; Ag ; XF- ; 14 ; Участник № 392 ; 9500 
 49 ; 5 копеек ; 1794 ; КМ ; Cu ; VF+ ; 21 ; allcoins ; 2448 
 50 ; Рубль ; 1798 ; СМ МБ ; Ag ; AU ; 39 ; 462 ; 31279 
