 151 ; Жетон. В память заключения мира с Турцией. Екатерина II. СПб м.двор. D-23мм ; 1791 ;  ; Ag ; XF+ ; 23 ; serg2010 ; 14000 
 172 ; Медаль. В память торжества открытия памятника Имп. Екатерине II 1762-1796. Александр II. СПб мон. двор D-35мм ; 1873 ;  ; Br ; XF- ; 34 ; Участник № 100 ; 2700 
 173 ; Медаль. 300 лет Аугсбургского вероисповедания в Финляндии. Медальер Толстой. D-55мм ; 1817 ;  ; Br ; VF-XF ; 15 ; Участник № 100 ; 5200 
 174 ; Медаль. Александр II. Финляндия 1863-1864гг. D-54мм ;  ;  ; Br ; XF ; 19 ; OMT ; 4249 
 175 ; Медаль. В память 100-летнего юбилея Пажеского Е.И.В. Корпуса. СПб мон. двор. D-65мм ;  ;  ; Br ; XF ; 20 ; Участник № 100 ; 5800 
 176 ; Медаль. Установка памятника Александру III в Хельсинки 1894г. Медальер Грилихес мл. D-68мм ;  ;  ; Br ; AU ; 20 ; 1313 ; 5400 
 177 ; Медаль. За трудолюбие и искусство от Министерства Финансов. Николай II. СПб мон. двор. D-50мм ;  ;  ; Br ; XF ; 23 ; Участник № 100 ; 4200 
 178 ; Медаль. 50 лет Советской власти (1917-1967). D-50мм. В коробке ; ЛМД ;  ; Ag925 ; AU ; 8 ; Участник № 392 ; 1800 
 179 ; Медаль. 50 лет Союза Советских Социалистических Республик (1922-1972). D-55мм. В коробке ; ЛМД ;  ; Ag925, эма ; AU ; 23 ; Участник № 392 ; 3200 
 180 ; Медаль  в память 100-летия со дня рождения Феликса Эдмундовича Дзержинского (1877-1977). D-85мм. В коробке. С удостоверением на имя Хренникова Тихона Николаевича ; ЛМД ;  ; Ж/м ; AU ; 33 ; int1965708 ; 15867 
 181 ; Медаль. 50 лет УСССР (1917-1967). D-63мм. В коробке, с документом на имя Хренникова Т.Н. ;  ;  ; Ж/м ; AU ; 225 ; Участник № 621 ; 3600 
 182 ; Медаль в память  300 летия  Воссоединения Украины с Россией (1654-1954). D-50мм. В подарочной коробке из Карельской березы с серебряным шильдиком ;  ;  ; Ж/м ; AU ; 30 ; oduvan ; 13827 
 183 ; Знак. 10 лет обществу художников "Среда" (1886-1896). Софии Николаевне Лентовской от "Среды" ; к. XIX в ;  ; Ag?, эмаль ; VF-XF ; 119 ; korovan67 ; 2154 
 101 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; XF+/XF ; 20 ; Участник № 1341 ; 3200 
 102 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; AU/XF ; 28 ; PIT ; 3956 
 103 ; 15 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; AU ; 15 ; Zyec ; 8000 
 104 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 9 ; Участник № 636 ; 700 
 105 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; XF+ ; 11 ; Участник № 1389 ; 3000 
 106 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 28 ; Участник № 133 ; 3200 
 107 ; 3 рубля. М-3,92г ; 1869 ; СПБ НI ; Au ; XF+ ; 24 ; Участник № 392 ; 58000 
 108 ; 10 копеек ; 1869 ; СПБ HI ; Ag ; XF/AU ; 23 ; Участник № 636 ; 2100 
 109 ; 1/4 копейки ; 1869 ; ЕМ ; Cu ; AU/XF ; 69 ; Участник № 1341 ; 4200 
 110 ; 10 копеек ; 1871 ; СПБ HI ; Ag ; XF+ ; 13 ; Участник № 636 ; 2100 
 111 ; 10 копеек ; 1872 ; СПБ HI ; Ag ; XF/AU ; 10 ; Участник № 392 ; 6200 
 112 ; 3 рубля. М-3,91г ; 1874 ; СПБ НI ; Au ; AU/XF+ ; 33 ; oduvan ; 71400 
 113 ; 5 копеек ; 1876 ; СПБ HI ; Ag ; AU/XF ; 11 ; Участник № 133 ; 4000 
 114 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; XF+ ; 50 ; TDN ; 2040 
 115 ; Рубль ; 1878 ; СПБ НФ ; Ag ; AU ; 25 ; Участник № 1341 ; 10500 
 116 ; 15 копеек ; 1879 ; СПБ НФ ; Ag ; AU/XF ; 14 ; Участник № 636 ; 2200 
 117 ; Рубль ; 1880 ; СПБ НФ ; Ag ; AU ; 21 ; Участник № 1341 ; 20000 
 118 ; 20 копеек ; 1881 ; СПБ НФ ; Ag ; XF/AU ; 27 ; Участник № 147 ; 2200 
 119 ; 5 копеек ; 1881 ; СПБ НФ ; Ag ; XF+ ; 14 ; Участник № 636 ; 5000 
 120 ; Рубль ; 1882 ; СПБ НФ ; Ag ; AU ; 43 ; Участник № 392 ; 17500 
 121 ; 15 копеек ; 1882 ; СПБ НФ ; Ag ; AU ; 18 ; antiquar ; 7500 
 122 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF+ ; 39 ; Участник № 100 ; 16000 
 123 ; 1/4 копейки ; 1883 ; СПБ ; Cu ; XF+ ; 25 ; Участник № 1341 ; 3800 
 124 ; Рубль ; 1884 ; СПБ АГ ; Ag ; AU ; 58 ; Участник № 392 ; 24000 
 125 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; AU ; 45 ; Участник № 1341 ; 3600 
 126 ; 20 копеек ; 1886 ; СПБ АГ ; Ag ; AU ; 80 ; Участник № 1389 ; 3400 
 127 ; 5 рублей. М-6,45г ; 1888 ; (АГ) Борода длиннее ; Au ; XF- ; 33 ; Участник № 147 ; 19000 
 128 ; 10 копеек ; 1888 ; СПБ АГ ; Ag ; AU ; 11 ; Участник № 392 ; 3800 
 129 ; 20 копеек ; 1889 ; СПБ АГ ; Ag ; AU ; 7 ; Участник № 1080 ; 2600 
 130 ; 1/2 копейки ; 1892 ; СПБ ; Cu ; AU ; 15 ; Участник № 621 ; 1150 
 131 ; 10 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 26 ; Участник № 392 ; 2400 
 132 ; 1/4 копейки ; 1893 ; СПБ ; Cu ; AU ; 17 ; Участник № 1341 ; 2100 
 133 ; Полтина ; 1895 ; (АГ) АГ ; Ag ; AU ; 26 ; Участник № 462 ; 14000 
 134 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF ; 43 ; БИН ; 20349 
 135 ; Рубль ; 1897 ; (АГ) ; Ag ; XF+ ; 66 ; elac ; 8160 
 136 ; Рубль ; 1898 ; (АГ) ; Ag ; XF+ ; 54 ; 0987654321 ; 9000 
 137 ; Полтина ; 1900 ; (ФЗ) АГ ; Ag ; AU ; 18 ; Участник № 51 ; 19000 
 138 ; Рубль ; 1902 ; (АР) ; Ag ; VF-XF ; 50 ; VAP20 ; 18000 
 139 ; 2 марки ; 1908 ; L Финляндия ; Ag ; AU ; 53 ; Участник № 392 ; 4400 
 140 ; 5 копеек ; 1911 ; СПБ ; Cu ; XF/AU ; 20 ; Участник № 392 ; 1600 
 141 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 32 ; serg2010 ; 10200 
 142 ; 3 рубля ; 1918 ; Армавир. Кружок меньше ; Cu ; VF+ ; 44 ; Sky2 ; 9690 
 143 ; 5 копеек ; 1922 ; Вторая государственная шорно-футлярная и чемоданная фабрика (Петроград) ;  ; XF ; 11 ; krft ; 15500 
 144 ; 10 копеек ; 1946 ; о.Шпицберген ; Br ; AU ; 83 ; Участник № 1080 ; 3100 
 145 ; 15 копеек ; 1946 ; о.Шпицберген ; Вr ; AU ; 50 ; 439 ; 3185 
 146 ; 20 копеек ; 1946 ; о.Шпицберген ; б.м. ; XF+ ; 57 ; Участник № 1080 ; 3200 
 147 ; 50 копеек ; 1946 ; о.Шпицберген ; б.м. ; AU ; 70 ; Участник № 1080 ; 3100 
 148 ; Жетон. На заключения мира с Турцией. Анна Иоанновна. Новодел. D-23мм. М-7,75г ;  ;  ; Cu ; AU ; 31 ; Участник № 392 ; 11500 
 149 ; Жетон. На заключения мира с Турцией. Екатерина II. СПб м.двор. D-22мм ; 1774 ;  ; Ag ; VF-XF ; 14 ; and ; 13100 
 150 ; Жетон. В память заключения вечного мира со Швецией. Екатерина II. СПб м.двор. D-22мм ; 1790 ;  ; Ag ; XF+ ; 17 ; Участник № 133 ; 9300 
 51 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF-XF ; 25 ; ВЭБ! ; 6884 
 52 ; 5 копеек (Петров-10р, Ильин-15р) ; 1794 ; ЕМ Павл.перечекан ; Cu ; F+ ; 44 ; золотник ; 37450 
 53 ; Рубль (Петров-3,5р, Ильин-3р) ; 1796 ; СПБ IC TI ; Ag ; VF ; 35 ; Zyec ; 12270 
 54 ; 2 копейки (Петров-15р, Ильин-20р) ; 1796 ; АМ ; Cu ; F+ ; 66 ; TDN ; 27642 
 55 ; Полушка ; 1797 ; АМ ; Cu ; VF-XF ; 43 ; Участник № 168 ; 4400 
 56 ; Полушка ; 1797 ; ЕМ ; Cu ; VF-XF ; 35 ; Участник № 621 ; 3000 
 57 ; 2 копейки ; 1798 ; ЕМ ; Cu ; XF- ; 44 ; Участник № 621 ; 2800 
 58 ; Рубль ; 1799 ; СМ МБ ; Ag ; VF-XF ; 42 ; swamp ; 23780 
 59 ; 5 копеек ; 1805 ; ЕМ ; Cu ; XF ; 24 ; OMT ; 3000 
 60 ; 5 копеек (Петров-2р, Ильин-1р) ; 1805 ; КМ ; Cu ; XF- ; 41 ; Участник № 392 ; 2400 
 61 ; Дукат. Нидерланды. Петербургский чекан (Цифры года большие). М-3,39г ; 1806 ;  ; Au ; VF+ ; 56 ; Участник № 392 ; 11500 
 62 ; Дукат. Нидерланды. Петербургский чекан (Цифры года большие). М-3,44г ; 1807 ;  ; Au ; VF-XF ; 54 ; ВВС ; 25502 
 63 ; 5 копеек (Ильин-3р) ; 1808 ; ЕМ ; Cu ; XF- ; 55 ; Участник № 392 ; 9000 
 64 ; Рубль ; 1815 ; СПБ МФ ; Ag ; XF+ ; 33 ; bazis ; 10200 
 65 ; Копейка. Инкузный след от застрявшей в штемпеле монеты ; 1821 ; ИМ ЯВ ; Cu ; F-VF ; 21 ; Участник № 1699 ; 1400 
 66 ; 5 копеек. Легкая деформация ; 1826 ; СПБ НГ ; Ag ; VF-XF ; 13 ; serg2010 ; 3932 
 67 ; Полтина (Петров-1р) ; 1828 ; СПБ НГ ; Ag ; XF- ; 34 ; int1965708 ; 33433 
 68 ; Рубль ; 1829 ; СПБ НГ ; Ag ; XF ; 33 ; Участник № 66 ; 7200 
 69 ; 5 копеек ; 1830 ; СПБ НГ ; Ag ; VF-XF ; 26 ; PIT ; 3000 
 70 ; Рубль ; 1831 ; СПБ НГ ; Ag ; XF- ; 43 ; Участник № 1104 ; 12500 
 71 ; 10 копеек ; 1831 ; СПБ НГ ; Ag ; XF- ; 23 ; lvd ; 6600 
 72 ; 10 копеек ; 1833 ; СПБ НГ ; Ag ; XF+ ; 30 ; toto ; 4182 
 73 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF ; 15 ; OMT ; 3538 
 74 ; Рубль ; 1834 ; СПБ НГ ; Ag ; AU ; 28 ; Участник № 5 ; 18000 
 75 ; 3 рубля-20 злотых. М-3,91г ; 1835 ; СПБ ПД Рус.-Пол. ; Au ; XF- ; 36 ; Участник № 6 ; 54000 
 76 ; 5 копеек ; 1836 ; СПБ НГ ; Ag ; AU ; 24 ; Участник № 623 ; 2600 
 77 ; 3 рубля-20 злотых. М3,93г ; 1837 ; СПБ ПД Рус.-Пол. ; Au ; XF+ ; 47 ; hugo ; 85005 
 78 ; 20 копеек ; 1838 ; СПБ НГ ; Ag ; XF/AU ; 29 ; Участник № 133 ; 5700 
 79 ; 5 рублей. М-6,54г ; 1839 ; СПБ АЧ ; Au ; XF ; 34 ; hugo ; 36720 
 80 ; 25 копеек. Брак монетного двора. Смещение штемпеля ; 1839 ; СПБ НГ ; Ag ; VF+ ; 38 ; Участник № 402 ; 6000 
 81 ; Рубль. Гурт 27 21/25 доль ; 1840 ; СПБ НГ ; Ag ; VF-XF ; 48 ; кабан ; 20514 
 82 ; 1/4 копейки ; 1840 ; СПМ ; Cu ; VF+ ; 13 ; toto ; 816 
 83 ; 5 копеек ; 1841 ; СПБ НГ ; Ag ; XF+ ; 102 ; dimon46 ; 17342 
 84 ; 3 рубля. М-10,33г ; 1843 ; СПБ ; Pt ; VF+ ; 36 ; кабан ; 47037 
 85 ; 5 копеек ; 1843 ; СПБ АЧ ; Ag ; AU ; 29 ; Участник № 392 ; 4200 
 86 ; Копейка ; 1843 ; СПМ ; Cu ; VF-XF ; 9 ; Ч.С. ; 1010 
 87 ; Рубль ; 1846 ; СПБ ПА ; Ag ; XF- ; 18 ; Участник № 147 ; 4900 
 88 ; 5 копеек ; 1847 ; СПБ ПА ; Ag ; AU/XF ; 30 ; Участник № 363 ; 2200 
 89 ; Рубль ; 1848 ; СПБ HI ; Ag ; AU ; 35 ; Участник № 1341 ; 14000 
 90 ; 10 копеек ; 1848 ; СПБ HI ; Ag ; XF+ ; 16 ; Участник № 623 ; 4000 
 91 ; Рубль ; 1849 ; СПБ ПА ; Ag ; XF- ; 18 ; Участник № 147 ; 6800 
 92 ; Рубль ; 1849 ; СПБ ПА ; Ag ; XF- ; 17 ; Участник № 147 ; 8500 
 93 ; Полтина ; 1849 ; СПБ ПА ; Ag ; XF- ; 21 ; vagvagvag ; 4998 
 94 ; 5 копеек ; 1853 ; СПБ HI ; Ag ; AU/XF ; 14 ; Участник № 636 ; 2400 
 95 ; Рубль ; 1854 ; СПБ HI ; Ag ; XF+/XF ; 37 ; PIT ; 7854 
 96 ; Полушка ; 1854 ; ЕМ ; Cu ; AU ; 17 ; Участник № 392 ; 2000 
 97 ; Денежка (Петров-1,5р, Ильин-1р) ; 1855 ; ВМ ; Cu ; VF--XF ; 45 ; VAG ; 3220 
 98 ; 25 копеек ; 1856 ; СПБ ФБ ; Ag ; AU/XF ; 25 ; Участник № 1341 ; 2800 
 99 ; Полушка ; 1856 ; ЕМ ; Cu ; XF+ ; 9 ; Ч.С. ; 1010 
 100 ; 10 копеек ; 1857 ; СПБ ФБ ; Ag ; XF ; 18 ; Участник № 147 ; 2000 
 1 ; Копейка ; 1713 ; М Д ; Cu ; VF+ ; 71 ; Участник № 621 ; 2600 
 2 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 3 ; Рубль (Петров-10р, редкая) ; 1718 ; L OK ; Ag ; VF ; 50 ; Участник № 51 ; 41000 
 4 ; Рубль (Петров-3р) ; 1720 ;  ; Ag ; VF-XF ; 50 ; Участник № 2 ; 110000 
 5 ; Рубль ; 1721 ; K ; Ag ; VF+ ; 38 ; belka ; 37522 
 6 ; Рубль ; 1723 ; ОК ; Ag ; VF-XF ; 27 ; 4758 ; 41586 
 7 ; Полтина (Петров-3р) ; 1723 ;  ; Ag ; VF ; 28 ; Пупс ; 31622 
 8 ; Рубль ; 1724 ;  ; Ag ; XF- ; 27 ; swamp ; 24139 
 9 ; Рубль (Петров-5р) ; 1725 ; СПБ ; Ag ; VF-XF ; 32 ; 4758 ; 53720 
 10 ; Рубль ; 1725 ; СПБ ; Ag ; VF ; 25 ; Участник № 51 ; 31000 
 11 ; Рубль ; 1726 ;  ; Ag ; VF+ ; 43 ; Ohotnik ; 36000 
 12 ; Рубль (Ильин-3р) ; 1726 ;  ; Ag ; VF+ ; 52 ; Участник № 392 ; 41000 
 13 ; Рубль ; 1726 ;  ; Ag ; VF ; 30 ; Участник № 1556 ; 32000 
 14 ; Рубль (Петров-3р) ; 1727 ;  ; Ag ; VF+ ; 22 ; Участник № 1 ; 42000 
 15 ; Рубль ; 1728 ;  ; Ag ; VF ; 48 ; Участник № 1344 ; 26000 
 16 ; Рубль (Петров-15р, Ильин-6р) ; 1728 ;  ; Ag ; XF ; 55 ; finger ; 120000 
 17 ; Рубль ; 1729 ;  ; Ag ; VF-XF ; 26 ; Участник № 1556 ; 27000 
 18 ; Полтина ; 1733 ;  ; Ag ; VF+ ; 27 ; 4758 ; 23766 
 19 ; Рубль ; 1735 ;  ; Ag ; VF+ ; 38 ; Участник № 51 ; 20000 
 20 ; Рубль (Петров-3р) ; 1737 ;  ; Ag ; XF- ; 31 ; Ohotnik ; 20870 
 21 ; Рубль ; 1738 ;  ; Ag ; VF+ ; 34 ; Ohotnik ; 15000 
 22 ; Рубль ; 1738 ; СПБ ; Ag ; XF+ ; 26 ; Участник № 462 ; 18000 
 23 ; Рубль ; 1742 ; СПБ ; Ag ; VF-XF ; 18 ; Ohotnik ; 15810 
 24 ; Рубль (Петров-3р) ; 1750 ; ММД ; Ag ; VF-XF ; 22 ; Участник № 66 ; 17000 
 25 ; Рубль ; 1753 ; СПБ IM ; Ag ; XF- ; 16 ; Участник № 392 ; 28000 
 26 ; Рубль ; 1755 ; СПБ ЯI BS ; Ag ; XF+ ; 36 ; Участник № 133 ; 30000 
 27 ; Копейка ; 1756 ; СПБ ; Cu ; VF+ ; 23 ; OMT ; 9552 
 28 ; 2 копейки ; 1758 ;  ; Cu ; VF+ ; 55 ; vvt ; 2550 
 29 ; Копейка. Перечекан с 1 эре Швеция ; 1758 ;  ; Cu ; VF- ; 20 ; Участник № 100 ; 7000 
 30 ; 6 грошей ; 1761 ; Для Пруссии ; Ag ; VF-XF ; 72 ; OMT ; 5227 
 31 ; Полтина (Петров-3р) ; 1762 ; СПБ НК ; Ag ; VF ; 30 ; 4758 ; 60000 
 32 ; 4 копейки ; 1762 ;  ; Cu ; VF ; 14 ; lvd ; 12000 
 33 ; 2 копейки ; 1762 ;  ; Cu ; VF ; 46 ; лена ; 15000 
 34 ; Рубль ; 1762 ; СПБ НК TI ; Ag ; VF-XF ; 54 ; OMT ; 17100 
 35 ; 2 копейки ; 1763 ; СПМ ; Cu ; VF+ ; 8 ; швед ; 2000 
 36 ; 5 копеек ; 1765 ; СПМ ; Cu ; VF ; 85 ; Участник № 621 ; 2700 
 37 ; Копейка. Новодел ; 1765 ;  ; Cu ; AU ; 34 ; Участник № 100 ; 16000 
 38 ; 2 копейки ; 1766 ; ММ ; Cu ; VF+ ; 19 ; швед ; 2000 
 39 ; Пара-3 деньги (Петров-1,5р) ; 1772 ; Валахия ; Cu ; VF+ ; 43 ; Участник № 100 ; 8200 
 40 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; VF-XF ; 22 ; Участник № 133 ; 16000 
 41 ; 2 копейки ; 1774 ; КМ "Сибирь" ; Cu ; VF+ ; 54 ; Участник № 621 ; 3400 
 42 ; 5 копеек ; 1775 ; КМ "Сибирь" ; Cu ; XF- ; 25 ; Участник № 1362 ; 14500 
 43 ; Рубль ; 1776 ; СПБ ЯЧ TИ ; Ag ; XF+ ; 34 ; Участник № 51 ; 16000 
 44 ; 5 копеек. Крым. Шахин-Гирей. 5 год правления ; 1191лх(1777) ;  ; Cu ; VF- ; 72 ; брат Черпоя ; 6000 
 45 ; Копейка ; 1777 ; КМ "Сибирь" ; Cu ; VF+ ; 38 ; Участник № 392 ; 3400 
 46 ; Рубль ; 1778 ; СПБ ФЛ ; Ag ; XF- ; 18 ; Участник № 66 ; 15000 
 47 ; 5 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF-XF ; 56 ; OMT ; 6375 
 48 ; 2 копейки (Петров-8р, Ильин-3р) ; 1788 ; СПМ ; Cu ; F-VF ; 21 ; швед ; 7283 
 49 ; Денга (Ильин-1р) ; 1788 ; КМ ; Cu ; VF ; 12 ; Участник № 621 ; 1600 
 50 ; 5 копеек ; 1792 ; КМ ; Cu ; VF-XF ; 28 ; Участник № 1699 ; 2900 
