 3639 ; Бона иностранная ;  ;  ;  ;  ; 8 ; из африки ; 27 
 3599 ; Бона иностранная ;  ;  ;  ;  ; 21 ; murzik20 ; 128 
 3600 ; Бона иностранная ;  ;  ;  ;  ; 42 ; ИЮМов1 ; 144 
 3601 ; Бона иностранная ;  ;  ;  ;  ; 45 ; sikachai ; 100 
 3602 ; Бона иностранная ;  ;  ;  ;  ; 55 ; mirumir ; 108 
 3603 ; Бона иностранная ;  ;  ;  ;  ; 24 ; murzik20 ; 108 
 3604 ; Бона иностранная ;  ;  ;  ;  ; 11 ; murzik20 ; 91 
 3605 ; Бона иностранная ;  ;  ;  ;  ; 19 ; murzik20 ; 82 
 3606 ; Бона иностранная ;  ;  ;  ;  ; 7 ; sikachai ; 78 
 3607 ; Бона иностранная ;  ;  ;  ;  ; 37 ; хъ0 ; 45 
 3608 ; Бона иностранная ;  ;  ;  ;  ; 24 ; ф555 ; 34 
 3609 ; Бона иностранная ;  ;  ;  ;  ; 27 ; mirumir ; 50 
 3610 ; Бона иностранная ;  ;  ;  ;  ; 24 ; murzik20 ; 50 
 3611 ; Бона иностранная ;  ;  ;  ;  ; 54 ; Пупс ; 110 
 3612 ; Бона иностранная ;  ;  ;  ;  ; 41 ; Пупс ; 83 
 3613 ; Бона иностранная ;  ;  ;  ;  ; 51 ; Пупс ; 132 
 3614 ; Бона иностранная ;  ;  ;  ;  ; 53 ; ИЮМов1 ; 151 
 3615 ; Бона иностранная ;  ;  ;  ;  ; 17 ; cochu ; 51 
 3616 ; Бона иностранная ;  ;  ;  ;  ; 17 ; cochu ; 51 
 3617 ; Бона иностранная ;  ;  ;  ;  ; 22 ; ИЮМов1 ; 151 
 3618 ; Бона иностранная ;  ;  ;  ;  ; 12 ; ИЮМов1 ; 55 
 3619 ; Бона иностранная ;  ;  ;  ;  ; 21 ; ИЮМов1 ; 40 
 3620 ; Бона иностранная ;  ;  ;  ;  ; 12 ; ИЮМов1 ; 51 
 3621 ; Бона иностранная ;  ;  ;  ;  ; 73 ; хъ0 ; 97 
 3622 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Sterh ; 30 
 3623 ; Бона иностранная ;  ;  ;  ;  ; 112 ; murzik20 ; 246 
 3624 ; Бона иностранная ;  ;  ;  ;  ; 9 ; хъ0 ; 60 
 3625 ; Бона иностранная ;  ;  ;  ;  ; 9 ; sikachai ; 50 
 3626 ; Бона иностранная ;  ;  ;  ;  ; 6 ; ф555 ; 23 
 3627 ; Бона иностранная ;  ;  ;  ;  ; 11 ; sikachai ; 79 
 3628 ; Бона иностранная ;  ;  ;  ;  ; 10 ; карандаш ; 83 
 3629 ; Бона иностранная ;  ;  ;  ;  ; 10 ; карандаш ; 85 
 3630 ; Бона иностранная ;  ;  ;  ;  ; 21 ; mirumir ; 150 
 3631 ; Бона иностранная ;  ;  ;  ;  ; 4 ; grifon1 ; 31 
 3632 ; Бона иностранная ;  ;  ;  ;  ; 9 ; grifon1 ; 31 
 3633 ; Бона иностранная ;  ;  ;  ;  ; 9 ; grifon1 ; 31 
 3634 ; Бона иностранная ;  ;  ;  ;  ; 10 ; grifon1 ; 31 
 3635 ; Бона иностранная ;  ;  ;  ;  ; 16 ; ф555 ; 24 
 3636 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ф555 ; 27 
 3637 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Puchic ; 33 
 3638 ; Бона иностранная ;  ;  ;  ;  ; 16 ; ф555 ; 25 
 3539 ; Бона иностранная ;  ;  ;  ;  ; 5 ; из африки ; 23 
 3540 ; Бона иностранная ;  ;  ;  ;  ; 5 ; из африки ; 23 
 3541 ; Бона иностранная ;  ;  ;  ;  ; 9 ; olimpic74 ; 30 
 3542 ; Бона иностранная ;  ;  ;  ;  ; 5 ; из африки ; 23 
 3543 ; Бона иностранная ;  ;  ;  ;  ; 10 ; из африки ; 23 
 3544 ; Бона иностранная ;  ;  ;  ;  ; 5 ; из африки ; 23 
 3545 ; Бона иностранная ;  ;  ;  ;  ; 5 ; из африки ; 23 
 3546 ; Бона иностранная ;  ;  ;  ;  ; 7 ; из африки ; 23 
 3547 ; Бона иностранная ;  ;  ;  ;  ; 4 ; из африки ; 23 
 3548 ; Бона иностранная ;  ;  ;  ;  ; 15 ; из африки ; 23 
 3549 ; Бона иностранная ;  ;  ;  ;  ; 14 ; из африки ; 26 
 3550 ; Бона иностранная ;  ;  ;  ;  ; 88 ; ИЮМов1 ; 236 
 3551 ; Бона иностранная ;  ;  ;  ;  ; 18 ; murzik20 ; 34 
 3552 ; Бона иностранная ;  ;  ;  ;  ; 13 ; гарик ; 30 
 3553 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Скрудж ; 36 
 3554 ; Бона иностранная ;  ;  ;  ;  ; 8 ; карандаш ; 24 
 3555 ; Бона иностранная ;  ;  ;  ;  ; 53 ; карандаш ; 79 
 3556 ; Бона иностранная ;  ;  ;  ;  ; 49 ; карандаш ; 79 
 3557 ; Бона иностранная ;  ;  ;  ;  ; 5 ; ф555 ; 22 
 3558 ; Бона иностранная ;  ;  ;  ;  ; 5 ; murzik20 ; 34 
 3559 ; Бона иностранная ;  ;  ;  ;  ; 15 ; mirumir ; 60 
 3560 ; Бона иностранная ;  ;  ;  ;  ; 27 ; murzik20 ; 59 
 3561 ; Бона иностранная ;  ;  ;  ;  ; 30 ; murzik20 ; 40 
 3562 ; Бона иностранная ;  ;  ;  ;  ; 22 ; dbieh ; 30 
 3563 ; Бона иностранная ;  ;  ;  ;  ; 25 ; ИЮМов1 ; 82 
 3564 ; Бона иностранная ;  ;  ;  ;  ; 44 ; murzik20 ; 47 
 3565 ; Бона иностранная ;  ;  ;  ;  ; 10 ; sveta6369 ; 25 
 3566 ; Бона иностранная ;  ;  ;  ;  ; 10 ; grifon1 ; 31 
 3567 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Puchic ; 33 
 3568 ; Бона иностранная ;  ;  ;  ;  ; 8 ; dbieh ; 33 
 3569 ; Бона иностранная ;  ;  ;  ;  ; 14 ; murzik20 ; 30 
 3570 ; Бона иностранная ;  ;  ;  ;  ; 38 ; murzik20 ; 260 
 3571 ; Бона иностранная ;  ;  ;  ;  ; 11 ; cochu ; 30 
 3572 ; Бона иностранная ;  ;  ;  ;  ; 20 ; sikachai ; 61 
 3573 ; Бона иностранная ;  ;  ;  ;  ; 11 ; dbieh ; 30 
 3574 ; Бона иностранная ;  ;  ;  ;  ; 15 ; sikachai ; 80 
 3575 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Puchic ; 25 
 3576 ; Бона иностранная ;  ;  ;  ;  ; 5 ; ф555 ; 22 
 3577 ; Бона иностранная ;  ;  ;  ;  ; 6 ; sveta6369 ; 27 
 3578 ; Бона иностранная ;  ;  ;  ;  ; 5 ; alex995 ; 23 
 3579 ; Бона иностранная ;  ;  ;  ;  ; 9 ; гарик ; 25 
 3580 ; Бона иностранная ;  ;  ;  ;  ; 7 ; murzik20 ; 27 
 3581 ; Бона иностранная ;  ;  ;  ;  ; 7 ; murzik20 ; 23 
 3582 ; Бона иностранная ;  ;  ;  ;  ; 15 ; murzik20 ; 193 
 3583 ; Бона иностранная ;  ;  ;  ;  ; 18 ; sveta6369 ; 32 
 3584 ; Бона иностранная ;  ;  ;  ;  ; 19 ; ф555 ; 27 
 3585 ; Бона иностранная ;  ;  ;  ;  ; 5 ; ф555 ; 19 
 3586 ; Бона иностранная ;  ;  ;  ;  ; 3 ; ф555 ; 19 
 3587 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Sky2 ; 27 
 3588 ; Бона иностранная ;  ;  ;  ;  ; 15 ; murzik20 ; 51 
 3489 ; Бона иностранная ;  ;  ;  ;  ; 7 ; из африки ; 23 
 3490 ; Бона иностранная ;  ;  ;  ;  ; 5 ; из африки ; 20 
 3491 ; Бона иностранная ;  ;  ;  ;  ; 5 ; из африки ; 20 
 3492 ; Бона иностранная ;  ;  ;  ;  ; 5 ; гарик ; 30 
 3493 ; Бона иностранная ;  ;  ;  ;  ; 7 ; из африки ; 22 
 3494 ; Бона иностранная ;  ;  ;  ;  ; 10 ; гарик ; 32 
 3495 ; Бона иностранная ;  ;  ;  ;  ; 5 ; из африки ; 19 
 3496 ; Бона иностранная ;  ;  ;  ;  ; 8 ; из африки ; 28 
 3497 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 30 
 3498 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 30 
 3499 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Скрудж ; 30 
 3500 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 30 
 3501 ; Бона иностранная ;  ;  ;  ;  ; 3 ; из африки ; 25 
 3502 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Скрудж ; 34 
 3503 ; Бона иностранная ;  ;  ;  ;  ; 5 ; из африки ; 24 
 3504 ; Бона иностранная ;  ;  ;  ;  ; 10 ; гарик ; 32 
 3505 ; Бона иностранная ;  ;  ;  ;  ; 10 ; из африки ; 21 
 3506 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 30 
 3507 ; Бона иностранная ;  ;  ;  ;  ; 10 ; гарик ; 30 
 3508 ; Бона иностранная ;  ;  ;  ;  ; 6 ; из африки ; 20 
 3509 ; Бона иностранная ;  ;  ;  ;  ; 8 ; из африки ; 24 
 3510 ; Бона иностранная ;  ;  ;  ;  ; 12 ; гарик ; 32 
 3511 ; Бона иностранная ;  ;  ;  ;  ; 22 ; sos1 ; 50 
 3512 ; Бона иностранная ;  ;  ;  ;  ; 14 ; sos1 ; 50 
 3513 ; Бона иностранная ;  ;  ;  ;  ; 9 ; гарик ; 32 
 3514 ; Бона иностранная ;  ;  ;  ;  ; 6 ; из африки ; 24 
 3515 ; Бона иностранная ;  ;  ;  ;  ; 24 ; Скрудж ; 30 
 3516 ; Бона иностранная ;  ;  ;  ;  ; 17 ; sos1 ; 50 
 3517 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Скрудж ; 34 
 3518 ; Бона иностранная ;  ;  ;  ;  ; 19 ; sos1 ; 40 
 3519 ; Бона иностранная ;  ;  ;  ;  ; 19 ; sos1 ; 47 
 3520 ; Бона иностранная ;  ;  ;  ;  ; 12 ; из африки ; 25 
 3521 ; Бона иностранная ;  ;  ;  ;  ; 6 ; из африки ; 23 
 3522 ; Бона иностранная ;  ;  ;  ;  ; 5 ; из африки ; 23 
 3523 ; Бона иностранная ;  ;  ;  ;  ; 10 ; из африки ; 23 
 3524 ; Бона иностранная ;  ;  ;  ;  ; 13 ; из африки ; 27 
 3525 ; Бона иностранная ;  ;  ;  ;  ; 10 ; из африки ; 23 
 3526 ; Бона иностранная ;  ;  ;  ;  ; 6 ; из африки ; 19 
 3527 ; Бона иностранная ;  ;  ;  ;  ; 6 ; из африки ; 24 
 3528 ; Бона иностранная ;  ;  ;  ;  ; 24 ; Puchic ; 111 
 3529 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 30 
 3530 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 30 
 3531 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Скрудж ; 30 
 3532 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 30 
 3533 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 34 
 3534 ; Бона иностранная ;  ;  ;  ;  ; 8 ; из африки ; 24 
 3535 ; Бона иностранная ;  ;  ;  ;  ; 6 ; из африки ; 20 
 3536 ; Бона иностранная ;  ;  ;  ;  ; 4 ; из африки ; 23 
 3537 ; Бона иностранная ;  ;  ;  ;  ; 4 ; из африки ; 23 
 3538 ; Бона иностранная ;  ;  ;  ;  ; 7 ; из африки ; 23 
 3439 ; Бона иностранная ;  ;  ;  ;  ; 8 ; из африки ; 22 
 3440 ; Бона иностранная ;  ;  ;  ;  ; 17 ; из африки ; 23 
 3441 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Puchic ; 30 
 3442 ; Бона иностранная ;  ;  ;  ;  ; 21 ; из африки ; 24 
 3443 ; Бона иностранная ;  ;  ;  ;  ; 17 ; из африки ; 24 
 3444 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 30 
 3445 ; Бона иностранная ;  ;  ;  ;  ; 9 ; из африки ; 24 
 3446 ; Бона иностранная ;  ;  ;  ;  ; 11 ; из африки ; 23 
 3447 ; Бона иностранная ;  ;  ;  ;  ; 17 ; из африки ; 24 
 3448 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 30 
 3449 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 30 
 3450 ; Бона иностранная ;  ;  ;  ;  ; 4 ; из африки ; 24 
 3451 ; Бона иностранная ;  ;  ;  ;  ; 10 ; из африки ; 26 
 3452 ; Бона иностранная ;  ;  ;  ;  ; 23 ; gelind ; 31 
 3453 ; Бона иностранная ;  ;  ;  ;  ; 7 ; гарик ; 34 
 3454 ; Бона иностранная ;  ;  ;  ;  ; 19 ; гарик ; 30 
 3455 ; Бона иностранная ;  ;  ;  ;  ; 17 ; гарик ; 30 
 3456 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Скрудж ; 30 
 3457 ; Бона иностранная ;  ;  ;  ;  ; 17 ; гарик ; 30 
 3458 ; Бона иностранная ;  ;  ;  ;  ; 8 ; sikachai ; 30 
 3459 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Скрудж ; 30 
 3460 ; Бона иностранная ;  ;  ;  ;  ; 7 ; из африки ; 24 
 3461 ; Бона иностранная ;  ;  ;  ;  ; 7 ; из африки ; 24 
 3462 ; Бона иностранная ;  ;  ;  ;  ; 9 ; из африки ; 26 
 3463 ; Бона иностранная ;  ;  ;  ;  ; 3 ; из африки ; 26 
 3464 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Скрудж ; 31 
 3465 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 30 
 3466 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 30 
 3467 ; Бона иностранная ;  ;  ;  ;  ; 22 ; гарик ; 39 
 3468 ; Бона иностранная ;  ;  ;  ;  ; 10 ; _1111_ ; 31 
 3469 ; Бона иностранная ;  ;  ;  ;  ; 3 ; из африки ; 26 
 3470 ; Бона иностранная ;  ;  ;  ;  ; 5 ; из африки ; 28 
 3471 ; Бона иностранная ;  ;  ;  ;  ; 7 ; из африки ; 24 
 3472 ; Бона иностранная ;  ;  ;  ;  ; 7 ; из африки ; 26 
 3473 ; Бона иностранная ;  ;  ;  ;  ; 9 ; из африки ; 25 
 3474 ; Бона иностранная ;  ;  ;  ;  ; 11 ; из африки ; 27 
 3475 ; Бона иностранная ;  ;  ;  ;  ; 7 ; из африки ; 24 
 3476 ; Бона иностранная ;  ;  ;  ;  ; 7 ; из африки ; 25 
 3477 ; Бона иностранная ;  ;  ;  ;  ; 7 ; гарик ; 30 
 3478 ; Бона иностранная ;  ;  ;  ;  ; 3 ; из африки ; 25 
 3479 ; Бона иностранная ;  ;  ;  ;  ; 7 ; из африки ; 24 
 3480 ; Бона иностранная ;  ;  ;  ;  ; 5 ; из африки ; 24 
 3481 ; Бона иностранная ;  ;  ;  ;  ; 14 ; kiparis ; 30 
 3482 ; Бона иностранная ;  ;  ;  ;  ; 12 ; из африки ; 24 
 3483 ; Бона иностранная ;  ;  ;  ;  ; 15 ; из африки ; 22 
 3484 ; Бона иностранная ;  ;  ;  ;  ; 15 ; из африки ; 22 
 3485 ; Бона иностранная ;  ;  ;  ;  ; 15 ; из африки ; 22 
 3486 ; Бона иностранная ;  ;  ;  ;  ; 15 ; kiparis ; 30 
 3487 ; Бона иностранная ;  ;  ;  ;  ; 5 ; из африки ; 19 
 3488 ; Бона иностранная ;  ;  ;  ;  ; 10 ; из африки ; 24 
 3389 ; 25 рублей ; 1919 ;  ;  ; AU ; 109 ; GenyM ; 300 
 3390 ; 25 рублей ; 1919 ;  ;  ; AU ; 19 ; purr ; 405 
 3391 ; 25 рублей ; 1919 ;  ;  ; AU ; 17 ; michuman33 ; 418 
 3392 ; 50 рублей ; 1919 ;  ;  ; AU ; 14 ; michuman33 ; 219 
 3393 ; 2 доллара США ; 1995 ;  ;  ; AU ; 29 ; Че ; 129 
 3394 ; 2 доллара США ; 2003 ;  ;  ; AU ; 36 ; Че ; 110 
 3395 ; 2 доллара США ; 2003 ;  ;  ; AU ; 11 ; Че ; 107 
 3396 ; 2 доллара США ; 2003 ;  ;  ; AU ; 19 ; Че ; 107 
 3397 ; 2 доллара США ; 2003 ;  ;  ; AU ; 58 ; Че ; 107 
 3398 ; 500 рублей ; 1992 ; билет ;  ; AU ; 120 ; murzik20 ; 260 
 3399 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 59 ; Антон-15 ; 1469 
 3400 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 71 ; СВИ ; 1456 
 3401 ; 500 рублей ; 1920 ;  ;  ; AU ; 66 ; Sky2 ; 551 
 3402 ; 500 рублей ; 1920 ;  ;  ; AU ; 71 ; volk ; 561 
 3403 ; 100 рублей ; 1920 ;  ;  ; AU ; 166 ; нумизмат ; 1649 
 3404 ; 250 рублей ; 1920 ;  ;  ; AU ; 77 ; volk ; 683 
 3405 ; 3 рубля. Одесса ; 1917 ;  ;  ; AU ; 66 ; purr ; 1176 
 3406 ; 50 рублей ; 1919 ;  ;  ; AU ; 142 ; al69 ; 1674 
 3407 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ; AU ; 63 ; murzik20 ; 161 
 3408 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ; AU ; 37 ; mirumir ; 153 
 3409 ; 250 рублей. Житомир ; 1920 ;  ;  ; AU ; 85 ; purr ; 1710 
 3410 ; 10 рублей. Одесса ; 1917 ;  ;  ; AU ; 55 ; purr ; 1353 
 3411 ; 25 рублей. Одесса ; 1917 ;  ;  ; AU ; 51 ; purr ; 1947 
 3412 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ; AU ; 56 ; purr ; 504 
 3413 ; 3 рубля ; 1905 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 70 ; purr ; 1084 
 3414 ; 3 рубля ; 1905 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 55 ; temichek ; 283 
 3415 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ; AU ; 49 ; purr ; 560 
 3416 ; 100 рублей. Владикавказ ; 1918 ; Заемные билеты.Общество Владикавказской ж/д ;  ; AU ; 74 ; нумизмат ; 4426 
 3417 ; 1000 рублей. Владикавказ ; 1918 ; Заемные билеты.Общество Владикавказской ж/д ;  ; AU ; 71 ; грос79 ; 4080 
 3418 ; 10000 рублей ; 1919 ;  ;  ; AU ; 51 ; volk ; 611 
 3419 ; 10000 рублей ; 1919 ;  ;  ; AU ; 55 ; 990099 ; 582 
 3420 ; 10000 рублей ; 1919 ;  ;  ; AU ; 47 ; 990099 ; 577 
 3421 ; 25000 рублей ; 1920 ;  ;  ; XF ; 32 ; armadavls ; 3866 
 3422 ; 1000 карбованцев ; 1918 ; Украина.Знак Державноi скарбицi ;  ; XF ; 70 ; purr ; 2664 
 3423 ; 5000 рублей ; 1919 ;  ;  ; AU ; 14 ; GenyM ; 714 
 3424 ; 1 рубль (образец) ; 1947 ; Гос.казначейский билет ;  ; AU ; 126 ; 001951 ; 2080 
 3425 ; 3 рубля (образец) ; 1947 ; Гос.казначейский билет ;  ; AU ; 67 ; 001951 ; 3051 
 3426 ; 5 рублей (образец) ; 1947 ; Гос.казначейский билет ;  ; AU ; 79 ; 001951 ; 3835 
 3427 ; 10 рублей (образец) ; 1947 ; билет ;  ; AU ; 135 ; 001951 ; 4044 
 3428 ; 25 рублей (образец) ; 1947 ; билет ;  ; AU ; 71 ; 001951 ; 5053 
 3429 ; 50 рублей (образец) ; 1947 ; билет ;  ; AU ; 63 ; 001951 ; 7850 
 3430 ; 100 рублей (образец) ; 1947 ; билет ;  ; AU ; 75 ; Andrak ; 9116 
 3431 ; Бона иностранная ;  ;  ;  ;  ; 18 ; murzik20 ; 36 
 3432 ; Бона иностранная ;  ;  ;  ;  ; 10 ; из африки ; 26 
 3433 ; Бона иностранная ;  ;  ;  ;  ; 6 ; из африки ; 26 
 3434 ; Бона иностранная ;  ;  ;  ;  ; 6 ; из африки ; 26 
 3435 ; Бона иностранная ;  ;  ;  ;  ; 6 ; из африки ; 26 
 3436 ; Бона иностранная ;  ;  ;  ;  ; 14 ; гарик ; 30 
 3437 ; Бона иностранная ;  ;  ;  ;  ; 11 ; из африки ; 22 
 3438 ; Бона иностранная ;  ;  ;  ;  ; 28 ; murzik20 ; 36 
 3339 ; 1 рубль ; 1919 ; Грузия ;  ;  ; 15 ; GAWRILO ; 153 
 3340 ; 50 копеек. Юденич ; 1919 ;  ;  ;  ; 100 ; ac ; 765 
 3341 ; 50 копеек ;  ;  ;  ;  ; 6 ; хъ0 ; 157 
 3342 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 32 ; Gera_K ; 32 
 3343 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 2 ; murzik20 ; 36 
 3344 ; 3 рубля ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 33 ; vladzory ; 150 
 3345 ; 3 рубля ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 13 ; temichek ; 154 
 3346 ; 3 рубля ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 35 ; uz ; 101 
 3347 ; 10 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 30 ; murzik20 ; 36 
 3348 ; 10 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 47 ; evgen 66 ; 119 
 3349 ; 10 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 10 ; zmax ; 40 
 3350 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 30 ; temichek ; 60 
 3351 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 45 ; vladzory ; 102 
 3352 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 36 ; murzik20 ; 129 
 3353 ; 5 рублей. Царицин ; 1918 ;  ;  ;  ; 47 ; ac ; 502 
 3354 ; 100 рублей ; 1922 ; Бухарская Республика ;  ;  ; 47 ; Grosh ; 502 
 3355 ; 3 рубля. Познань ; 1916 ;  ;  ;  ; 9 ; Grosh ; 375 
 3356 ; 3 марки. Ковно ; 1918 ;  ;  ;  ; 60 ; Grosh ; 359 
 3357 ; 50 рублей ; 1919 ;  ;  ;  ; 46 ; al69 ; 765 
 3358 ; 25 рублей. Царицин ; 1918 ;  ;  ;  ; 54 ; ac ; 668 
 3359 ; 10 рублей ; 1947 ; билет ;  ;  ; 81 ; temichek ; 713 
 3360 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 54 ; murzik20 ; 161 
 3361 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 14 ; ac ; 143 
 3362 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 29 ; purr ; 151 
 3363 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 44 ; brindamur ; 120 
 3364 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 39 ; temichek ; 227 
 3365 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 40 ; vladzory ; 101 
 3366 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 71 ; vladzory ; 216 
 3367 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 43 ; Teremok ; 126 
 3368 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 30 ; evgen 66 ; 77 
 3369 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 17 ; 990099 ; 17 
 3370 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 27 ; temichek ; 50 
 3371 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 48 ; GenyM ; 169 
 3372 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 16 ; GenyM ; 100 
 3373 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 43 ; nik23455 ; 207 
 3374 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 51 ; из африки ; 78 
 3375 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 18 ; Gera_K ; 91 
 3376 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 20 ; Puchic ; 111 
