 3233 ; Бона иностранная ;  ;  ;  ;  ; 17 ; bcs ; 77 
 3158 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4д4 ; 26 
 3159 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4д4 ; 26 
 3160 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4д4 ; 26 
 3161 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 4д4 ; 24 
 3162 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ELLD ; 15 
 3163 ; Бона иностранная ;  ;  ;  ;  ; 18 ; asru ; 26 
 3164 ; Бона иностранная ;  ;  ;  ;  ; 6 ; asru ; 29 
 3165 ; Бона иностранная ;  ;  ;  ;  ; 6 ; asru ; 27 
 3166 ; Бона иностранная ;  ;  ;  ;  ; 32 ; asru ; 35 
 3167 ; Бона иностранная ;  ;  ;  ;  ; 3 ; asru ; 26 
 3168 ; Бона иностранная ;  ;  ;  ;  ; 3 ; gelind ; 26 
 3169 ; Бона иностранная ;  ;  ;  ;  ; 23 ; gelind ; 32 
 3170 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4д4 ; 27 
 3171 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4д4 ; 27 
 3172 ; Бона иностранная ;  ;  ;  ;  ; 11 ; asru ; 33 
 3173 ; Бона иностранная ;  ;  ;  ;  ; 6 ; gelind ; 26 
 3174 ; Бона иностранная ;  ;  ;  ;  ; 14 ; gelind ; 27 
 3175 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 4д4 ; 25 
 3176 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 4д4 ; 29 
 3177 ; Бона иностранная ;  ;  ;  ;  ; 19 ; gelind ; 30 
 3178 ; Бона иностранная ;  ;  ;  ;  ; 6 ; asru ; 31 
 3179 ; Бона иностранная ;  ;  ;  ;  ; 15 ; kozl2002 ; 26 
 3180 ; Бона иностранная ;  ;  ;  ;  ; 15 ; kozl2002 ; 26 
 3181 ; Бона иностранная ;  ;  ;  ;  ; 22 ; gelind ; 27 
 3182 ; Бона иностранная ;  ;  ;  ;  ; 4 ; asru ; 27 
 3083 ; 1 рубль ; 1922 ; Гос.денежные знаки образца 192 ;  ; AU ; 38 ; Dss ; 1318 
 3084 ; 1 рубль ; 1922 ; Гос.денежные знаки образца 192 ;  ; AU ; 34 ; 4д4 ; 1241 
 3085 ; 5 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ; AU ; 22 ; seaman ; 1294 
 3086 ; 5 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ; AU ; 74 ; Almazin ; 1299 
 3087 ; 10 рублей ; 1920 ;  ;  ; AU ; 46 ; кабан ; 4699 
 3088 ; 500 рублей. Чита ; 1920 ;  ;  ; AU ; 69 ; seaman ; 602 
 3089 ; 1 рубль. Товарищество Тверской мануфактуры ;  ;  ;  ; AU ; 27 ; joi ; 2988 
 3090 ; 100000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ; AU ; 60 ; lesnik1 ; 1031 
 3091 ; 50000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ; AU ; 53 ; 4д4 ; 1561 
 3092 ; 50 рублей ; 1918 ; Заемные билеты.Общество Владик ;  ; AU ; 10 ; igors1969 ; 1213 
 3093 ; 100 карбованцев ; 1942 ;  ;  ; AU ; 25 ; joi ; 3448 
 3094 ; 5 червонцев ; 1937 ; Билет ;  ; XF ; 37 ; luvver ; 974 
 3095 ; 5 червонцев ; 1937 ; Билет ;  ; XF ; 37 ; Almazin ; 1177 
 3096 ; 1 рубль ; 1866 ; вензель А II Гос.кредитные бил ;  ;  ; 67 ; Ksn ; 8103 
 3097 ; 3 рубля. Плеске ; 1898 ;  ;  ; . ; 74 ; joi ; 15810 
 3098 ; Крестьянский выигрышный заем. Облигация в 5 рублей (образец ; 1924 ;  ;  ; . ; 36 ; 223355 ; 9012 
 3099 ; 5000 рублей ; 1922 ;  ;  ; . ; 29 ; кабан ; 5610 
 3100 ; 100 рублей. Екатеринодарское ОГБ ; 1918 ;  ;  ; . ; 64 ; igors1969 ; 2798 
 3101 ; 50 рублей. Армения ; 1919 ;  ;  ; . ; 15 ; 4д4 ; 204 
 3102 ; 100 рублей. Армения ; 1919 ;  ;  ; . ; 13 ; 12457801 ; 398 
 3103 ; 250 рублей. Армения ; 1919 ;  ;  ; . ; 20 ; 12457801 ; 398 
 3104 ; 100 марок. Финляндия ; 1945 ;  ;  ; . ; 28 ; tss ; 343 
 3105 ; Бона. Бухара ; 1920 ;  ;  ; . ; 25 ; glass ; 567 
 3106 ; 100 песет. Испания ; 1953 ;  ;  ; . ; 50 ; 4д4 ; 286 
 3107 ; 100 песет. Испания ; 1965 ;  ;  ; . ; 25 ; 4д4 ; 201 
 3108 ; 1 крона. Швеция ; 1920 ;  ;  ; . ; 9 ; derk02 ; 203 
 3109 ; 1 крона. Швеция ; 1921 ;  ;  ; . ; 18 ; derk02 ; 203 
 3110 ; 10 франков. Франция ; 1971 ;  ;  ; . ; 14 ; smel ; 153 
 3111 ; 50 франков. Франция ; 1946 ;  ;  ; . ; 51 ; von_Schwarz ; 213 
 3112 ; 50 марок ;  ;  ;  ; . ; 41 ; ICEK ; 238 
 3113 ; 50 марок ; 1933 ;  ;  ; . ; 27 ; 4д4 ; 101 
 3114 ; 100 марок ; 1910 ;  ;  ;  ; 6 ; лимар ; 102 
 3115 ; 100 марок ; 1910 ;  ;  ;  ; 3 ; лимар ; 102 
 3116 ; 100 марок ; 1910 ;  ;  ;  ; 2 ; 223355 ; 100 
 3117 ; 100 марок ; 1910 ;  ;  ;  ; 2 ; 223355 ; 100 
 3118 ; Листовка ;  ;  ;  ;  ; 59 ; derbnik ; 335 
 3119 ; Листовка ;  ;  ;  ;  ; 9 ; 4д4 ; 20 
 3120 ; Листовка ;  ;  ;  ;  ; 11 ; 4д4 ; 22 
 3121 ; 50 копеек (3 шт.) ; 1915 ;  ;  ; . ; 10 ; лимар ; 55 
 3122 ; 25, 50 рублей ; 1918 ;  ;  ;  ; 7 ; scaevola ; 50 
 3123 ; 1, 3 рубля ; 1938 ;  ;  ;  ; 14 ; Jutko ; 55 
 3124 ; 1 рубль (2 шт.) ; 1898 ;  ;  ;  ; 22 ; moneymax ; 41 
 3125 ; 1 рубль (2 шт.) ; 1898 ;  ;  ;  ; 27 ; tau ; 38 
 3126 ; 1 рубль (2 шт.) ; 1898 ;  ;  ;  ; 17 ; moneymax ; 27 
 3127 ; 3 рубля (2 шт.) ; 1905 ;  ;  ;  ; 11 ; ELLD ; 32 
 3128 ; 3 рубля (2 шт.) ; 1905 ;  ;  ;  ; 34 ; kozl2002 ; 46 
 3129 ; 3 рубля (2 шт.) ; 1905 ;  ;  ;  ; 19 ; koga ; 34 
 3130 ; 3 рубля (2 шт.) ; 1905 ;  ;  ;  ; 27 ; VR62 ; 40 
 3131 ; Купоны (4 шт.) ;  ;  ;  ;  ; 46 ; Jutko ; 75 
 3132 ; Купоны (4 шт.) ;  ;  ;  ;  ; 46 ; Jutko ; 73 
 3033 ; 1 червонец ; 1937 ; Билет ;  ;  ; 91 ; aleksandr733 ; 503 
 3034 ; 1000 марок ; 1922 ;  ;  ;  ; 24 ; 4д4 ; 49 
 3035 ; 1000 марок ; 1922 ;  ;  ;  ; 28 ; лимар ; 50 
 3036 ; 100 рублей. Юденич ; 1919 ;  ;  ;  ; 70 ; ivan100 ; 677 
 3037 ; 25000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 89 ; igors1969 ; 461 
 3038 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные б ;  ;  ; 32 ; igors1969 ; 56 
 3039 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные б ;  ;  ; 14 ; tau ; 36 
 3040 ; 100000000 рублей ; 1924 ; Закавказье ;  ;  ; 26 ; 12457801 ; 888 
 3041 ; 50000 рублей ; 1923 ; Закавказье ;  ;  ; 53 ; 12457801 ; 510 
 3042 ; 10 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные б ;  ;  ; 18 ; завершен ; 30 
 3043 ; 10 юаней. Китай ; 1930 ;  ;  ;  ; 10 ; Банзай ; 153 
 3044 ; 1000 рублей. Ростов ; 1919 ;  ;  ;  ; 42 ; asru ; 323 
 3045 ; 5000 рублей. Ростов ; 1919 ;  ;  ;  ; 43 ; Mike! ; 101 
 3046 ; 5000 рублей. Ростов ; 1919 ;  ;  ;  ; 34 ; scaevola ; 180 
 3047 ; 5000 рублей. Ростов ; 1919 ;  ;  ;  ; 10 ; Mike! ; 102 
 3048 ; 5000 рублей. Ростов ; 1919 ;  ;  ;  ; 34 ; Mike! ; 101 
 3049 ; 5000 рублей. Ростов ; 1919 ;  ;  ;  ; 26 ; kozl2002 ; 101 
 3050 ; 5000 рублей. Ростов ; 1919 ;  ;  ;  ; 48 ; Mike! ; 101 
 3051 ; 1 марка ; 1919 ; Эстония ;  ;  ; 27 ; tss ; 231 
 3052 ; Билет лотереи ; 1937 ;  ;  ;  ; 30 ; Даймлер ; 241 
 3053 ; Билет лотереи ; 1933 ;  ;  ;  ; 18 ; Даймлер ; 223 
 3054 ; Билет лотереи ; 1934 ;  ;  ;  ; 24 ; Даймлер ; 202 
 3055 ; 1 рубль. Урал ; 1918 ; Областной кредитный билет Урал ;  ;  ; 30 ; igors1969 ; 431 
 3056 ; 20 копеек. Познань ; 1916 ;  ;  ;  ; 48 ; 12457801 ; 160 
 3057 ; 1/2 марки. Ковно ; 1918 ;  ;  ;  ; 20 ; ICEK ; 769 
 3058 ; 3 рубля ; 1919 ;  ;  ;  ; 58 ; 12457801 ; 193 
 3059 ; 50 копеек. Познань ; 1916 ;  ;  ;  ; 54 ; ICEK ; 102 
 3060 ; 25 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 11 ; 12457801 ; 567 
 3061 ; 3 рубля ; 1947 ; Гос.казначейский билет ;  ;  ; 62 ; igors1969 ; 1152 
 3062 ; 100 рублей ; 1918 ; Гос.кредитный билет Прибайкаль ;  ;  ; 45 ; glass ; 1024 
 3063 ; 100 рублей ; 1918 ; 2 подписи Гос.кредитные билеты ;  ;  ; 9 ; Itamin ; 2040 
 3064 ; 3 червонца ; 1932 ; Билет ;  ;  ; 27 ; 223355 ; 410 
 3065 ; 3 червонца ; 1932 ; Билет ;  ;  ; 64 ; vladzory ; 531 
 3066 ; 3 червонца ; 1932 ; Билет ;  ;  ; 36 ; Jutko ; 506 
 3067 ; 75 рублей. Житомир ; 1919 ;  ;  ;  ; 43 ; 12457801 ; 906 
 3068 ; 5 карбованцев. Житомир ; 1918 ;  ;  ;  ; 19 ; glass ; 389 
 3069 ; 5 рублей. Касимов ; 1918 ;  ;  ; AU ; 63 ; derk02 ; 1658 
 3070 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 27 ; ivan100 ; 118 
 3071 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 20 ; конь ; 76 
 3072 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 11 ; tau ; 79 
 3073 ; 1000 марок ; 1910 ;  ;  ; AU ; 9 ; tau ; 119 
 3074 ; 1000 марок ; 1910 ;  ;  ; AU ; 14 ; лимар ; 113 
 3075 ; 1000 марок ; 1910 ;  ;  ; AU ; 19 ; skir ; 116 
 3076 ; 500 рублей. Ростов ; 1918 ;  ;  ; AU ; 15 ; joi ; 1274 
 3077 ; 500 рублей. Ростов ; 1918 ;  ;  ; AU ; 15 ; Dss ; 2573 
 3078 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 41 ; joi ; 716 
 3079 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 45 ; joi ; 1022 
 3080 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 46 ; joi ; 719 
 3081 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 48 ; joi ; 1328 
 3082 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 52 ; joi ; 1022 
 2580 ; 20 пенни. Финляндия ; 1973 ;  ; Al/Br ; Unc/AU ; 9 ; mag ; 102 
 2581 ; 20 пенни. Финляндия ; 1974 ;  ; Al/Br ; Unc/AU ; 10 ; suhua ; 100 
 2582 ; 20 пенни. Финляндия ; 1975 ;  ; Al/Br ; Unc/AU ; 20 ; suhua ; 82 
 2583 ; 20 пенни. Финляндия ; 1976 ;  ; Al/Br ; Unc/AU ; 8 ; suhua ; 100 
 2584 ; 20 пенни. Финляндия ; 1977 ;  ; Al/Br ; Unc/AU ; 12 ; suhua ; 71 
 2585 ; 20 пенни. Финляндия ; 1978 ;  ; Al/Br ; XF+ ; 37 ; mag ; 51 
 2586 ; 20 пенни. Финляндия ; 1980 ;  ; Al/Br ; AU ; 8 ; suhua ; 31 
 2587 ; 20 пенни. Финляндия ; 1981 ;  ; Al/Br ; AU ; 10 ; suhua ; 50 
 2588 ; 20 пенни. Финляндия ; 1982 ;  ; Al/Br ; AU ; 10 ; suhua ; 100 
 2589 ; 20 пенни. Финляндия ; 1983 ;  ; Al/Br ; AU ; 17 ; solder13 ; 61 
 2590 ; 20 пенни. Финляндия ; 1984 ;  ; Al/Br ; AU ; 9 ; suhua ; 100 
 2591 ; 20 пенни. Финляндия ; 1985 ;  ; Al/Br ; Unc/AU ; 11 ; suhua. ; 102 
 2592 ; 20 пенни. Финляндия ; 1987 ;  ; Al/Br ; AU ; 8 ; mag ; 51 
 2593 ; 20 пенни. Финляндия ; 1989 ;  ; Al/Br ; Unc/AU ; 17 ; suhua ; 50 
 2594 ; 20 злотых. Польша. День конца урожая. В коробке ; 2004 ;  ; Ag ; Proof ; 37 ; deonisss ; 1272 
 2595 ; 1 лат. Латвия. ЮНИСЕФ. В коробке с сертификатом ; 2000 ;  ; Ag ; Proof ; 74 ; Gari 77 ; 1275 
 2596 ; 10 песо (1 унция). Куба. 40 лет юбилею. В коробке, с сертификатом ; 1996 ;  ; Ag 999 ; Proof ; 34 ; СВл ; 2244 
 2597 ; 10 песо (1 унция). Куба. 30 лет со дня смерти Эрнесто Че Гевара. В коробке, с сертификатом ; 1997 ;  ; Ag 999 ; Proof ; 42 ; vlad-rom ; 1395 
 3001 ; 1 копейка ; 1917 ; Деньги-марки ;  ;  ; 17 ; кабан ; 107 
 3002 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 15 ; 223355 ; 33 
 3003 ; 15 копеек ; 1915 ; Деньги-марки ;  ;  ; 11 ; moneymax ; 30 
 3004 ; 15 копеек ; 1915 ; Деньги-марки ;  ;  ; 9 ; moneymax ; 30 
 3005 ; 15 копеек ; 1915 ; Деньги-марки ;  ;  ; 10 ; moneymax ; 30 
 3006 ; 50 копеек. Баку ; 1918 ; Азербайджан ;  ;  ; 60 ; hjk1974 ; 906 
 3007 ; 50 копеек ; 1918 ; Туркестан ;  ;  ; 44 ; Ksn ; 390 
 3008 ; 3 копейки ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 32 ; asru ; 55 
 3009 ; 1000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 52 ; vladzory ; 523 
 3010 ; 100 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 31 ; vladzory ; 401 
 3011 ; 500 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 60 ; vladzory ; 401 
 3012 ; 1 копейка ; 1979 ;  ;  ;  ; 27 ; solder13 ; 33 
 3013 ; 2 копейки ; 1979 ;  ;  ;  ; 14 ; kozl2002 ; 32 
 3014 ; 5 копеек ; 1979 ;  ;  ;  ; 9 ; kozl2002 ; 32 
 3015 ; 10 копеек ; 1979 ;  ;  ;  ; 12 ; kozl2002 ; 32 
 3016 ; 20 копеек ; 1979 ;  ;  ;  ; 10 ; kozl2002 ; 32 
 3017 ; 50 копеек ; 1979 ;  ;  ;  ; 11 ; kozl2002 ; 32 
 3018 ; 1 рубль ; 1979 ;  ;  ;  ; 120 ; dog009 ; 407 
 3019 ; 2 рубля ; 1979 ;  ;  ;  ; 74 ; dog009 ; 306 
 3020 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 32 ; vladzory ; 419 
 3021 ; 50 рублей ; 1961 ; билет ;  ;  ; 77 ; aleksandr733 ; 102 
 3022 ; 50 рублей ; 1991 ; билет ;  ;  ; 33 ; хрюндель ; 30 
 3023 ; 100 рублей ; 1991 ; билет ;  ;  ; 58 ; aleksandr733 ; 63 
 3024 ; 100 рублей ; 1991 ; билет ;  ;  ; 25 ; igors1969 ; 53 
 3025 ; 100 рублей ; 1991 ; билет ;  ;  ; 30 ; хрюндель ; 30 
 3026 ; 10000 рублей ; 1995 ; банкнота ;  ;  ; 32 ; 12457801 ; 257 
 3027 ; 10000 рублей ; 1993/94 ; банкнота ;  ;  ; 5 ; vladzory ; 301 
 3028 ; 10000 рублей ; 1993 ; банкнота ;  ;  ; 48 ; vladzory ; 495 
 3029 ; 1 марка. Ковно ; 1918 ;  ;  ;  ; 85 ; 12457801 ; 502 
 3030 ; 50 копеек. Познань ; 1916 ;  ;  ;  ; 36 ; ICEK ; 136 
 3031 ; 1 рубль. Познань ; 1916 ;  ;  ;  ; 43 ; 12457801 ; 105 
 3032 ; 1 червонец ; 1937 ; Билет ;  ;  ; 41 ; Jutko ; 410 
 2530 ; 50 пенни. Финляндия ; 1944 ;  ; Fe ; XF+ ; 11 ; suhua ; 50 
 2531 ; 50 пенни. Финляндия ; 1945 ;  ; Fe ; XF ; 25 ; suhua ; 49 
 2532 ; 50 пенни. Финляндия ; 1946 ;  ; Fe ; XF ; 13 ; mag ; 51 
 2533 ; 50 пенни. Финляндия ; 1947 ;  ; Fe ; XF- ; 11 ; mag ; 51 
 2534 ; 50 пенни. Финляндия ; 1948 ;  ; Fe ; AU ; 24 ; СВл ; 669 
 2535 ; 50 пенни. Финляндия ; 1963 ;  ; Al/Br ; XF+ ; 26 ; suhua ; 50 
 2536 ; 50 пенни. Финляндия ; 1964 ;  ; Al/Br ; AU ; 9 ; topotun ; 255 
 2537 ; 50 пенни. Финляндия ; 1965 ;  ; Al/Br ; AU ; 10 ; topotun ; 102 
 2538 ; 50 пенни. Финляндия ; 1966 ;  ; Al/Br ; AU ; 23 ; topotun ; 79 
 2539 ; 50 пенни. Финляндия ; 1967 ;  ; Al/Br ; AU ; 10 ; topotun ; 102 
 2540 ; 50 пенни. Финляндия ; 1968 ;  ; Al/Br ; AU ; 9 ; topotun ; 51 
 2541 ; 50 пенни. Финляндия ; 1969 ;  ; Al/Br ; AU ; 11 ; topotun ; 70 
 2542 ; 50 пенни. Финляндия ; 1970 ;  ; Al/Br ; AU ; 13 ; topotun ; 102 
 2543 ; 50 пенни. Финляндия ; 1971 ;  ; Al/Br ; AU ; 28 ; rizovtpl ; 102 
 2544 ; 50 пенни. Финляндия ; 1972 ;  ; Al/Br ; AU ; 11 ; suhua ; 100 
 2545 ; 50 пенни. Финляндия ; 1973 ;  ; Al/Br ; Unc/AU ; 11 ; topotun ; 102 
 2546 ; 50 пенни. Финляндия ; 1974 ;  ; Al/Br ; Unc/AU ; 8 ; topotun ; 102 
 2547 ; 50 пенни. Финляндия ; 1975 ;  ; Al/Br ; AU ; 10 ; topotun ; 102 
 2548 ; 50 пенни. Финляндия ; 1985 ;  ; Al/Br ; AU ; 6 ; suhua ; 63 
 2549 ; 25 пенни. Финляндия ; 1921 ;  ; Cu/Ni ; XF ; 14 ; suhua ; 50 
 2550 ; 25 пенни. Финляндия ; 1925 ;  ; Cu/Ni ; XF- ; 17 ; solder13 ; 67 
 2551 ; 25 пенни. Финляндия ; 1926 ;  ; Cu/Ni ; VF-XF ; 8 ; suhua ; 50 
 2552 ; 25 пенни. Финляндия ; 1927 ;  ; Cu/Ni ; XF- ; 8 ; suhua ; 50 
 2553 ; 25 пенни. Финляндия ; 1928 ;  ; Cu/Ni ; XF ; 11 ; Nirvanych ; 51 
 2554 ; 25 пенни. Финляндия ; 1929 ;  ; Cu/Ni ; VF-XF ; 9 ; sts ; 255 
