 51 ; Рубль ; 1853 ; СПБ HI ; Ag ; AU/XF ; 52 ; 28 ; 16597 
 32 ; 5 копеек ; 1788 ; ЕМ ; Cu ; XF ; 17 ; SSK ; 510 
 33 ; 5 копеек ; 1788 ; ЕМ ; Cu ; VF+ ; 19 ; VGS ; 422 
 34 ; 5 копеек ; 1789 ; ЕМ ; Cu ; VF-XF ; 15 ; Cristofel ; 750 
 35 ; 2 копейки ; 1799 ; ЕМ ; Cu ; XF ; 45 ; SUVAR ; 1006 
 36 ; Рубль ; 1803 ; СПБ АИ ; Ag ; VF+ ; 30 ; ААФ ; 13974 
 37 ; Бисти ; 1810 ; Грузия ; Cu ; VF ; 9 ; Участник № 1556 ; 4600 
 38 ; 10 копеек ; 1815 ; СПБ МФ ; Ag ; XF- ; 19 ; vvt ; 3060 
 39 ; 5 копеек (Петров-3р, Ильин-4р) ; 1817 ; СПБ ПС ; Ag ; VF+ ; 64 ; Участник № 6 ; 11000 
 40 ; 5 злотых ; 1831 ; KG польское восстание 1830-1831 гг. ; Ag ; XF+ ; 41 ; DennisG ; 19103 
 41 ; 2 злотых ; 1831 ; KG польское восстание 1830-1831 гг. ; Ag ; AU ; 66 ; DennisG ; 17233 
 42 ; 10 копеек ; 1832 ; ЕМ ФХ ; Cu ; VF+ ; 51 ; Участник № 392 ; 7500 
 43 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF-XF ; 18 ; Участник № 392 ; 1100 
 44 ; 5 копеек (Ильин-1р) ; 1834 ; СМ ; Cu ; VF+ ; 38 ; Участник № 1556 ; 2800 
 45 ; 5 копеек ; 1835 ; СПБ НГ ; Ag ; AU ; 23 ; Участник № 623 ; 4000 
 46 ; 1,5 рубля-10 злотых ; 1837 ; MW Рус.-Пол. ; Ag ; VF-XF ; 26 ; leo 2 ; 11909 
 47 ; 5 копеек ; 1837 ; СПБ НГ ; Ag ; XF ; 21 ; Участник № 4 ; 550 
 48 ; 5 рублей. М-6,53г ; 1840 ; СПБ АЧ ; Au ; XF ; 44 ; 462 ; 24538 
 49 ; 2 копейки ; 1851 ; ЕМ ; Cu ; XF- ; 77 ; кве ; 2550 
 50 ; Денежка ; 1851 ; ЕМ ; Cu ; XF ; 19 ; Участник № 1556 ; 750 
