 5975 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 5 ; StanislavAK ; 31 
 5923 ; Лот бон 6 шт ;  ;  ;  ;  ; 24 ; MG ; 387 
 5924 ; Лот бон 7 шт ;  ;  ;  ;  ; 23 ; maksbelov ; 57 
 5825 ; Бона иностранная Германия ;  ;  ;  ;  ; 9 ; maymuse ; 67 
 5826 ; Лот бон 10 шт. Германия ;  ;  ;  ;  ; 30 ; Prizon ; 462 
 5827 ; Лот бон 10 шт. Германия ;  ;  ;  ;  ; 15 ; Prizon ; 336 
 5828 ; Бона иностранная Албания ;  ;  ;  ;  ; 20 ; стадник ; 375 
 5829 ; Бона иностранная Албания ;  ;  ;  ;  ; 13 ; doc2 ; 508 
 5830 ; Бона иностранная Албания ;  ;  ;  ;  ; 14 ; doc2 ; 579 
 5831 ; Бона иностранная Чехия ;  ;  ;  ;  ; 27 ; murew ; 310 
 5832 ; Бона иностранная Чехия ;  ;  ;  ;  ; 14 ; Папа с рацией ; 98 
 5833 ; Бона иностранная Чехия ;  ;  ;  ;  ; 9 ; derk02 ; 377 
 5834 ; Бона иностранная Чехия ;  ;  ;  ;  ; 16 ; ОВМ ; 172 
 5835 ; Бона иностранная Чехия ;  ;  ;  ;  ; 9 ; Fliege1 ; 408 
 5836 ; Бона иностранная Чехия ;  ;  ;  ;  ; 39 ; derk02 ; 316 
 5837 ; Бона иностранная Чехия ;  ;  ;  ;  ; 12 ; val211 ; 33 
 5838 ; Лот бон 7 шт. Чехия ;  ;  ;  ;  ; 16 ; Prizon ; 340 
 5839 ; Бона иностранная Румыния ;  ;  ;  ;  ; 39 ; doc2 ; 494 
 5840 ; Бона иностранная Румыния ;  ;  ;  ;  ; 9 ; doc2 ; 143 
 5841 ; Бона иностранная Румыния ;  ;  ;  ;  ; 20 ; Папа с рацией ; 93 
 5842 ; Бона иностранная Чехославакия ;  ;  ;  ;  ; 12 ; doc2 ; 204 
 5843 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 17 ; ОВМ ; 81 
 5844 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 18 ; стадник ; 207 
 5845 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 29 ; стадник ; 290 
 5846 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 7 ; MG ; 45 
 5847 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 27 ; стадник ; 159 
 5848 ; Лот бон 10 шт ;  ;  ;  ;  ; 25 ; VOLKODAVS5 ; 459 
 5849 ; Лот бон 10 шт ;  ;  ;  ;  ; 23 ; VOLKODAVS5 ; 510 
 5850 ; Лот бон 3 шт ;  ;  ;  ;  ; 24 ; MG ; 386 
 5851 ; Бона иностранная Польша ;  ;  ;  ;  ; 29 ; Mike! ; 375 
 5852 ; Бона иностранная Польша ;  ;  ;  ;  ; 21 ; doc2 ; 1134 
 5853 ; Бона иностранная Польша ;  ;  ;  ;  ; 39 ; doc2 ; 153 
 5854 ; Бона иностранная Польша ;  ;  ;  ;  ; 43 ; Бармалей ; 261 
 5855 ; Бона иностранная Польша ;  ;  ;  ;  ; 19 ; doc2 ; 512 
 5856 ; Бона иностранная Польша ;  ;  ;  ;  ; 11 ; Mike! ; 510 
 5857 ; Лот бон 11 шт. Польша ;  ;  ;  ;  ; 30 ; Prizon ; 521 
 5858 ; 500 марок Финляндия ; 1909 ;  ;  ;  ; 24 ; MG ; 3621 
 5859 ; 100 марок Финляндия ; 1909 ;  ;  ;  ; 52 ; Хаа ; 3199 
 5860 ; Лот бон 2 шт. Финляндия ;  ;  ;  ;  ; 49 ; Хаа ; 393 
 5861 ; Лот бон США 3 шт ;  ;  ;  ;  ; 33 ; mefodin ; 1909 
 5862 ; Бона иностранная ;  ;  ;  ;  ; 28 ; Dmitry21 ; 408 
 5863 ; Лот бон 2 шт ;  ;  ;  ;  ; 31 ; архыз ; 227 
 5864 ; Лот бон 5 шт ;  ;  ;  ;  ; 32 ; 2128508 ; 944 
 5865 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Алексей007 ; 306 
 5866 ; Бона иностранная ;  ;  ;  ;  ; 10 ; divergent ; 32 
 5867 ; Бона иностранная ;  ;  ;  ;  ; 27 ; sahakala ; 79 
 5868 ; Бона иностранная ;  ;  ;  ;  ; 16 ; demodex ; 57 
 5869 ; Лот бон 3 шт ;  ;  ;  ;  ; 11 ; Prizon ; 113 
 5870 ; Лот бон 2 шт ;  ;  ;  ;  ; 9 ; divergent ; 108 
 5871 ; Лот бон 2 шт ;  ;  ;  ;  ; 19 ; Dmitry21 ; 108 
 5872 ; Лот бон 3 шт ;  ;  ;  ;  ; 9 ; Prizon ; 111 
 5873 ; Лот бон 3 шт ;  ;  ;  ;  ; 29 ; smel ; 194 
 5874 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Monata ; 725 
 5631 ; Бона иностранная ;  ;  ;  ;  ; 9 ; corsar ; 101 
 5632 ; Бона иностранная ;  ;  ;  ;  ; 7 ; divergent ; 102 
 5633 ; Бона иностранная ;  ;  ;  ;  ; 7 ; corsar ; 36 
 5634 ; Бона иностранная ;  ;  ;  ;  ; 65 ; Хаа ; 1020 
 5635 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 2128508 ; 119 
 5636 ; Бона иностранная ;  ;  ;  ;  ; 13 ; corsar ; 57 
 5637 ; Бона иностранная ;  ;  ;  ;  ; 5 ; svoi1970 ; 30 
 5638 ; Бона иностранная ;  ;  ;  ;  ; 4 ; svoi1970 ; 30 
 5639 ; Бона иностранная ;  ;  ;  ;  ; 16 ; svoi1970 ; 35 
 5640 ; Бона иностранная ;  ;  ;  ;  ; 9 ; jj ; 67 
 5641 ; Бона иностранная ;  ;  ;  ;  ; 5 ; сс400 ; 32 
 5642 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 333985 ; 91 
 5643 ; Бона иностранная ;  ;  ;  ;  ; 11 ; tss ; 123 
 5644 ; Бона иностранная ;  ;  ;  ;  ; 6 ; ХьюСтон ; 36 
 5645 ; Бона иностранная ;  ;  ;  ;  ; 11 ; стадник ; 151 
 5646 ; Бона иностранная ;  ;  ;  ;  ; 20 ; ОВМ ; 444 
 5647 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 333985 ; 227 
 5648 ; Бона иностранная ;  ;  ;  ;  ; 12 ; газета ; 65 
 5649 ; Бона иностранная ;  ;  ;  ;  ; 5 ; газета ; 49 
 5650 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Аня ; 295 
 5651 ; Бона иностранная ;  ;  ;  ;  ; 4 ; svoi1970 ; 31 
 5652 ; Бона иностранная ;  ;  ;  ;  ; 22 ; teso ; 357 
 5653 ; Бона иностранная ;  ;  ;  ;  ; 4 ; svoi1970 ; 31 
 5654 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Mike! ; 122 
 5655 ; Бона иностранная ;  ;  ;  ;  ; 4 ; svoi1970 ; 31 
 5800 ; 100 рублей Познань ; 1916 ;  ;  ;  ; 87 ; скорпион_48 ; 1008 
 5801 ; 25 рублей Познань ; 1916 ;  ;  ;  ; 21 ; val211 ; 579 
 5802 ; 10 рублей Познань ; 1916 ;  ;  ;  ; 14 ; архыз ; 261 
 5803 ; 3 рубля Познань ; 1916 ;  ;  ;  ; 14 ; архыз ; 81 
 5804 ; 20 копеек Познань ; 1916 ;  ;  ;  ; 11 ; sos1 ; 500 
 5805 ; 100 марок Ковно ; 1918 ;  ;  ;  ; 66 ; dmivanych ; 1035 
 5806 ; 50 марок Ковно ; 1918 ;  ;  ;  ; 38 ; alex241 ; 723 
 5807 ; 20 марок Ковно ; 1918 ;  ;  ;  ; 26 ; flutter ; 365 
 5808 ; 5 марок Ковно ; 1918 ;  ;  ;  ; 28 ; alex241 ; 611 
 5809 ; 1/2 марки Ковно ; 1918 ;  ;  ;  ; 19 ; архыз ; 300 
 5810 ; Лот бон 3 шт ; 1916-1918 ;  ;  ;  ; 29 ; АЙСБЕРГНАШ ; 303 
 5811 ; Бона иностранная Германия ;  ;  ;  ;  ; 24 ; DIMA 57 ; 191 
 5812 ; Бона иностранная Германия ;  ;  ;  ;  ; 4 ; svoi1970 ; 32 
 5813 ; Бона иностранная Германия ;  ;  ;  ;  ; 6 ; HANZ ; 36 
 5814 ; Бона иностранная Германия ;  ;  ;  ;  ; 4 ; maximilian2204 ; 22 
 5815 ; Бона иностранная Германия ;  ;  ;  ;  ; 6 ; Kolya2788 ; 32 
 5816 ; Бона иностранная Германия ;  ;  ;  ;  ; 37 ; цеховик ; 160 
 5817 ; Бона иностранная Германия ;  ;  ;  ;  ; 31 ; нв1975 ; 231 
 5818 ; Бона иностранная Германия ;  ;  ;  ;  ; 42 ; murew ; 453 
 5819 ; Бона иностранная Германия ;  ;  ;  ;  ; 15 ; Mike! ; 234 
 5820 ; Бона иностранная Германия ;  ;  ;  ;  ; 13 ; prostor.71 ; 57 
 5821 ; Бона иностранная Германия ;  ;  ;  ;  ; 15 ; maymuse ; 85 
 5822 ; Бона иностранная Германия ;  ;  ;  ;  ; 11 ; prostor.71 ; 38 
 5823 ; Бона иностранная Германия ;  ;  ;  ;  ; 32 ; mefodin ; 716 
 5824 ; Бона иностранная Австрия ;  ;  ;  ;  ; 8 ; val211 ; 36 
 5581 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Папа с рацией ; 102 
 5582 ; Бона иностранная ;  ;  ;  ;  ; 12 ; u10257 ; 130 
 5583 ; Бона иностранная ;  ;  ;  ;  ; 11 ; газета ; 153 
 5584 ; Бона иностранная ;  ;  ;  ;  ; 5 ; газета ; 153 
 5585 ; Бона иностранная ;  ;  ;  ;  ; 22 ; стадник ; 509 
 5586 ; Бона иностранная ;  ;  ;  ;  ; 9 ; flutter ; 114 
 5587 ; Бона иностранная ;  ;  ;  ;  ; 12 ; джон08 ; 155 
 5588 ; Бона иностранная ;  ;  ;  ;  ; 12 ; bva150979 ; 320 
 5589 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Алексей007 ; 30 
 5590 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 2128508 ; 118 
 5591 ; Бона иностранная ;  ;  ;  ;  ; 13 ; flutter ; 99 
 5592 ; Бона иностранная ;  ;  ;  ;  ; 5 ; divergent ; 50 
 5593 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Tritiy2 ; 90 
 5594 ; Бона иностранная ;  ;  ;  ;  ; 7 ; сс400 ; 34 
 5595 ; Бона иностранная ;  ;  ;  ;  ; 19 ; doc2 ; 316 
 5596 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Gib es zurück! ; 102 
 5597 ; Бона иностранная ;  ;  ;  ;  ; 5 ; газета ; 34 
 5598 ; Бона иностранная ;  ;  ;  ;  ; 9 ; derk02 ; 384 
 5599 ; Бона иностранная ;  ;  ;  ;  ; 20 ; karal ; 187 
 5600 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Livon ; 32 
 5601 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 2128508 ; 157 
 5602 ; Бона иностранная ;  ;  ;  ;  ; 12 ; doc2 ; 250 
 5603 ; Бона иностранная ;  ;  ;  ;  ; 11 ; pref ; 40 
 5604 ; Бона иностранная ;  ;  ;  ;  ; 19 ; dmivanych ; 305 
 5605 ; Бона иностранная ;  ;  ;  ;  ; 21 ; derk02 ; 459 
 5606 ; Бона иностранная ;  ;  ;  ;  ; 5 ; derk02 ; 149 
 5607 ; Бона иностранная ;  ;  ;  ;  ; 8 ; svoi1970 ; 34 
 5608 ; Бона иностранная ;  ;  ;  ;  ; 13 ; 333985 ; 90 
 5609 ; Бона иностранная ;  ;  ;  ;  ; 47 ; 2128508 ; 229 
 5610 ; Бона иностранная ;  ;  ;  ;  ; 6 ; я8844 ; 45 
 5611 ; Бона иностранная ;  ;  ;  ;  ; 10 ; doc2 ; 101 
 5612 ; Бона иностранная ;  ;  ;  ;  ; 4 ; я8844 ; 17 
 5613 ; Бона иностранная ;  ;  ;  ;  ; 7 ; я8844 ; 19 
 5614 ; Бона иностранная ;  ;  ;  ;  ; 15 ; derk02 ; 150 
 5615 ; Бона иностранная ;  ;  ;  ;  ; 4 ; svoi1970 ; 31 
 5616 ; Бона иностранная ;  ;  ;  ;  ; 15 ; teso ; 51 
 5617 ; Бона иностранная ;  ;  ;  ;  ; 6 ; ОВМ ; 30 
 5618 ; Бона иностранная ;  ;  ;  ;  ; 17 ; я8844 ; 17 
 5619 ; Бона иностранная ;  ;  ;  ;  ; 4 ; svoi1970 ; 32 
 5620 ; Бона иностранная ;  ;  ;  ;  ; 4 ; svoi1970 ; 30 
 5621 ; Бона иностранная ;  ;  ;  ;  ; 7 ; corsar ; 50 
 5622 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Алексей007 ; 101 
 5623 ; Бона иностранная ;  ;  ;  ;  ; 5 ; ОВМ ; 31 
 5624 ; Бона иностранная ;  ;  ;  ;  ; 4 ; maximilian2204 ; 30 
 5625 ; Бона иностранная ;  ;  ;  ;  ; 12 ; елец ; 101 
 5626 ; Бона иностранная ;  ;  ;  ;  ; 17 ; MG ; 200 
 5627 ; Бона иностранная ;  ;  ;  ;  ; 22 ; MG ; 298 
 5628 ; Бона иностранная ;  ;  ;  ;  ; 4 ; svoi1970 ; 31 
 5629 ; Бона иностранная ;  ;  ;  ;  ; 14 ; газета ; 29 
 5630 ; Бона иностранная ;  ;  ;  ;  ; 7 ; corsar ; 36 
 5531 ; Бона иностранная ;  ;  ;  ;  ; 5 ; сс400 ; 17 
 5532 ; Бона иностранная ;  ;  ;  ;  ; 11 ; flutter ; 50 
 5533 ; Бона иностранная ;  ;  ;  ;  ; 13 ; flutter ; 50 
 5534 ; Бона иностранная ;  ;  ;  ;  ; 5 ; divergent ; 50 
 5535 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 2128508 ; 60 
 5536 ; Бона иностранная ;  ;  ;  ;  ; 10 ; derk02 ; 151 
 5537 ; Бона иностранная ;  ;  ;  ;  ; 5 ; svoi1970 ; 31 
 5538 ; Бона иностранная ;  ;  ;  ;  ; 11 ; corsar ; 50 
 5539 ; Бона иностранная ;  ;  ;  ;  ; 5 ; divergent ; 50 
 5540 ; Бона иностранная ;  ;  ;  ;  ; 5 ; divergent ; 50 
 5541 ; Бона иностранная ;  ;  ;  ;  ; 13 ; flutter ; 261 
 5542 ; Бона иностранная ;  ;  ;  ;  ; 11 ; я8844 ; 45 
 5543 ; Бона иностранная ;  ;  ;  ;  ; 17 ; iglion09 ; 113 
 5544 ; Бона иностранная ;  ;  ;  ;  ; 7 ; flutter ; 105 
 5545 ; Бона иностранная ;  ;  ;  ;  ; 15 ; 333985 ; 261 
 5546 ; Бона иностранная ;  ;  ;  ;  ; 25 ; divergent ; 50 
