 3183 ; Бона иностранная ;  ;  ;  ;  ; 22 ; derk02 ; 459 
 3135 ; Бона иностранная ;  ;  ;  ;  ; 21 ; murew ; 40 
 3136 ; Бона иностранная ;  ;  ;  ;  ; 7 ; smel ; 34 
 3137 ; Бона иностранная ;  ;  ;  ;  ; 4 ; DVZ ; 31 
 3138 ; Бона иностранная ;  ;  ;  ;  ; 14 ; murew ; 43 
 3139 ; Бона иностранная ;  ;  ;  ;  ; 11 ; murew ; 41 
 3140 ; Бона иностранная ;  ;  ;  ;  ; 30 ; 787878 ; 83 
 3141 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Ромбор ; 86 
 3142 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Ромбор ; 57 
 3143 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Ромбор ; 69 
 3144 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Ромбор ; 73 
 3145 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Ромбор ; 57 
 3146 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Ромбор ; 73 
 3147 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Ромбор ; 73 
 3148 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Ромбор ; 57 
 3149 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Ромбор ; 79 
 3150 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Ромбор ; 57 
 3151 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Ромбор ; 45 
 3152 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Ромбор ; 45 
 3153 ; Бона иностранная ;  ;  ;  ;  ; 51 ; Ромбор ; 53 
 3154 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Ромбор ; 73 
 3155 ; Бона иностранная ;  ;  ;  ;  ; 21 ; DVZ ; 89 
 3156 ; Бона иностранная ;  ;  ;  ;  ; 15 ; DVZ ; 45 
 3157 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Ромбор ; 45 
 3158 ; Бона иностранная ;  ;  ;  ;  ; 16 ; DVZ ; 44 
 3159 ; Бона иностранная ;  ;  ;  ;  ; 4 ; DVZ ; 57 
 3160 ; Бона иностранная ;  ;  ;  ;  ; 14 ; balykin ; 26 
 3161 ; Бона иностранная ;  ;  ;  ;  ; 28 ; balykin ; 75 
 3162 ; Бона иностранная ;  ;  ;  ;  ; 27 ; balykin ; 71 
 3163 ; Бона иностранная ;  ;  ;  ;  ; 21 ; vanamo ; 53 
 3164 ; Бона иностранная ;  ;  ;  ;  ; 24 ; vanamo ; 53 
 3165 ; Бона иностранная ;  ;  ;  ;  ; 16 ; murew ; 72 
 3166 ; Бона иностранная ;  ;  ;  ;  ; 19 ; vanamo ; 55 
 3167 ; Бона иностранная ;  ;  ;  ;  ; 26 ; vanamo ; 51 
 3168 ; Бона иностранная ;  ;  ;  ;  ; 4 ; razdalbai ; 27 
 3169 ; Бона иностранная ;  ;  ;  ;  ; 9 ; у44 ; 113 
 3170 ; Бона иностранная ;  ;  ;  ;  ; 12 ; vanamo ; 31 
 3171 ; Бона иностранная ;  ;  ;  ;  ; 18 ; vanamo ; 31 
 3172 ; Бона иностранная ;  ;  ;  ;  ; 4 ; savlad ; 26 
 3173 ; Бона иностранная ;  ;  ;  ;  ; 19 ; vanamo ; 45 
 3174 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Ромбор ; 37 
 3175 ; Бона иностранная ;  ;  ;  ;  ; 35 ; vanamo ; 51 
 3176 ; Бона иностранная ;  ;  ;  ;  ; 3 ; й12 ; 26 
 3177 ; Бона иностранная ;  ;  ;  ;  ; 25 ; ICEK ; 153 
 3178 ; Бона иностранная ;  ;  ;  ;  ; 24 ; у44 ; 92 
 3179 ; Бона иностранная ;  ;  ;  ;  ; 53 ; derk02 ; 156 
 3180 ; Бона иностранная ;  ;  ;  ;  ; 25 ; ura 57 ; 73 
 3181 ; Бона иностранная ;  ;  ;  ;  ; 30 ; razdalbai ; 40 
 3182 ; Бона иностранная ;  ;  ;  ;  ; 44 ; savlad ; 44 
 3083 ; 10 рублей. Одесса ; 1917 ;  ;  ; AU ; 67 ; 1968 ; 839 
 3084 ; 100000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ; AU ; 124 ; СВИ ; 1530 
 3085 ; 25000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ; AU ; 80 ; Ksn ; 2604 
 3086 ; 50000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ; AU ; 64 ; СВИ ; 1593 
 3087 ; 500 рублей. Государство Российское ; 1919 ;  ;  ; AU ; 22 ; igors1969 ; 3523 
 3088 ; 100 рублей. Государство Российское ; 1919 ;  ;  ; AU ; 42 ; igors1969 ; 4080 
 3089 ; 5 рублей ; 1920 ;  ;  ; AU ; 44 ; Port ; 2040 
 3090 ; 10 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 24 ; Ksn ; 573 
 3091 ; 10 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 21 ; Ksn ; 554 
 3092 ; 10 рублей ; 1920 ;  ;  ; AU ; 50 ; k212 ; 1041 
 3093 ; 50 рублей. Государство Российское ;  ;  ;  ; AU ; 97 ; 67 ; 2287 
 3094 ; 25 рублей ; 1918 ; 2 подписи Гос.кредитные билеты ;  ; AU ; 34 ; Ksn ; 2185 
 3095 ; 25 рублей. Дальневосточная республика ; 1918 ;  ;  ; AU ; 61 ; wagner ; 4140 
 3096 ; 1 рубль ; 1919 ; Гос.кредитный билет "Северная  ;  ; AU ; 40 ; 67 ; 3162 
 3097 ; 100 рублей ; 1918 ; Гос.кредитный билет Прибайкаль ;  ; AU ; 38 ; wagner ; 2154 
 3098 ; 100 рублей ; 1918 ; 2 подписи Гос.кредитные билеты ;  ; AU ; 19 ; scaevola ; 2123 
 3099 ; 500 рублей ; 1920 ;  ;  ; AU ; 94 ; Ksn ; 2040 
 3100 ; 1000 рублей ; 1920 ;  ;  ; AU ; 69 ; igors1969 ; 2395 
 3101 ; Российские 4% железнодорожные облигации (10 облигаций) ; 1889 ;  ;  ;  ; 36 ; Oliveer ; 1438 
 3102 ; Облигация военного займа ; 1915 ;  ;  ;  ; 23 ; usan ; 468 
 3103 ; Облигация военного займа ; 1916 ;  ;  ;  ; 44 ; balykin ; 355 
 3104 ; Облигация военного займа ; 1916 ;  ;  ;  ; 15 ; kuril ; 214 
 3105 ; Акция ; 1910 ;  ;  ;  ; 22 ; balykin ; 105 
 3106 ; Акция ; 1910 ;  ;  ;  ; 13 ; мамонт ; 100 
 3107 ; Акция ; 1910 ;  ;  ;  ; 44 ; bolik ; 102 
 3108 ; Заем г. Москвы ; 1908 ;  ;  ;  ; 42 ; usan ; 710 
 3109 ; 60 рублей (2 шт) ; 1919 ;  ;  ;  ; 32 ; cityden ; 101 
 3110 ; 250 рублей (2 шт) ; 1919 ;  ;  ;  ; 4 ; alex1974 ; 90 
 3111 ; Бона, Россия (2 шт) ;  ;  ;  ;  ; 6 ; егор ; 62 
 3112 ; Бона, Россия (2 шт) ;  ;  ;  ;  ; 4 ; егор ; 62 
 3113 ; Купоны (12 шт) ;  ;  ;  ;  ; 15 ; Григорий ; 55 
 3114 ; Купоны (14 шт) ;  ;  ;  ;  ; 6 ; Григорий ; 46 
 3115 ; Купоны (15 шт) ;  ;  ;  ;  ; 9 ; Григорий ; 37 
 3116 ; Купоны (22 шт) ;  ;  ;  ;  ; 4 ; Григорий ; 31 
 3117 ; Купоны (67 шт) ;  ;  ;  ;  ; 14 ; Григорий ; 46 
 3118 ; Купоны (27 шт) ;  ;  ;  ;  ; 7 ; Григорий ; 140 
 3119 ; Купоны (27 шт) ;  ;  ;  ;  ; 3 ; Григорий ; 22 
 3120 ; Купоны (65 шт) ;  ;  ;  ;  ; 8 ; Григорий ; 46 
 3121 ; Бона иностранная ;  ;  ;  ;  ; 10 ; й12 ; 39 
 3122 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Ромбор ; 37 
 3123 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Ромбор ; 40 
 3124 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Ромбор ; 36 
 3125 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Ромбор ; 36 
 3126 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Ромбор ; 36 
 3127 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Ромбор ; 41 
 3128 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Ромбор ; 41 
 3129 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Ромбор ; 41 
 3130 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Майкл ; 49 
 3131 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Майкл ; 45 
 3132 ; Бона иностранная ;  ;  ;  ;  ; 12 ; murew ; 40 
 3033 ; 10 рублей ; 1923 ; Гос.денежные знаки. Первый вып ;  ;  ; 17 ; scaevola ; 405 
 3034 ; 25 рублей. Елисаветоград ; 1919 ;  ;  ;  ; 4 ; й12 ; 300 
 3035 ; 50 рублей ; 1919 ;  ;  ;  ; 53 ; димитрий ; 271 
 3036 ; 100 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 19 ; rad22 ; 477 
 3037 ; 100 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 19 ; ask ; 403 
 3038 ; 100 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 13 ; у44 ; 377 
 3039 ; 100 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 35 ; o.k. ; 402 
 3040 ; 250 рублей ; 1923 ; Гос.денежные знаки. Первый вып ;  ;  ; 73 ; 1968 ; 509 
 3041 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 21 ; 1968 ; 71 
 3042 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 6 ; 1968 ; 72 
 3043 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 13 ; env ; 50 
 3044 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 14 ; 1968 ; 70 
 3045 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 9 ; 1968 ; 62 
 3046 ; 500 рублей ; 1919 ; Грузия ;  ;  ; 39 ; balykin ; 173 
 3047 ; 1000 рублей ; 1920 ; Азербайджан ;  ;  ; 26 ; Студент1 ; 204 
 3048 ; 500 рублей ; 1918 ;  ;  ;  ; 39 ; у44 ; 327 
 3049 ; 500 рублей ; 1918 ;  ;  ;  ; 22 ; Студент1 ; 199 
 3050 ; 500 рублей ; 1918 ;  ;  ;  ; 17 ; sher60 ; 176 
 3051 ; 1 рубль. Сцепка 2 шт ; 1919 ; Расчетные знаки РСФСР ;  ; AU ; 55 ; СВИ ; 207 
 3052 ; 2 рубля. Сцепка 2 шт ; 1919 ; Расчетные знаки РСФСР ;  ; AU ; 32 ; СВИ ; 286 
 3053 ; 5 рублей. Сцепка 2 шт ; 1920 ; Расчетные знаки РСФСР образца  ;  ; AU ; 77 ; СВИ ; 286 
 3054 ; 1 рубль ; 1919 ; Грузия ;  ; AU ; 59 ; 300 ; 360 
 3055 ; 3 рубля ; 1919 ; Грузия ;  ; AU ; 47 ; СВИ ; 342 
 3056 ; 3 рубля ; 1918 ; Закавказье ;  ; AU ; 20 ; тнн ; 313 
 3057 ; 3 рубля ; 1918 ; Азербайджан ;  ; AU ; 22 ; Ksn ; 906 
 3058 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 7 ; igors1969 ; 66 
 3059 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 30 ; СВИ ; 66 
 3060 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 4 ; wagner ; 37 
 3061 ; 50 копеек. Екатеринодар ;  ;  ;  ; AU ; 53 ; 300 ; 500 
 3062 ; 10 рублей. Баку ; 1918 ;  ;  ; AU ; 58 ; nord17 ; 767 
 3063 ; 3 рубля ; 1919 ;  ;  ; AU ; 30 ; Port ; 1037 
 3064 ; 50 рублей ; 1919 ; Азербайджан ;  ; AU ; 28 ; seaman ; 696 
 3065 ; 3 рубля ; 1919 ; Латвия. Разменный знак ;  ; AU ; 18 ; wagner ; 357 
 3066 ; 3 рубля ; 1918 ; Туркестан ;  ; AU ; 43 ; Bagrin ; 816 
 3067 ; 25 рублей. Баку ; 1918 ;  ;  ; AU ; 24 ; cash ; 767 
 3068 ; 1000 рублей ; 1920 ; Азербайджан ;  ; AU ; 17 ; Ksn ; 767 
 3069 ; 25 рублей ; 1919 ; Азербайджан ;  ; AU ; 17 ; Ksn ; 767 
 3070 ; 50 копеек. Новороссийск ;  ;  ;  ; AU ; 16 ; у44 ; 512 
 3071 ; 5 рублей ; 1919 ; Латвия. Разменный знак ;  ; AU ; 33 ; 1968 ; 577 
 3072 ; 500 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ; AU ; 31 ; 1968 ; 357 
 3073 ; 1000 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ; AU ; 25 ; 1968 ; 357 
 3074 ; 1 рубль. Квартблок ; 1919 ; Расчетные знаки РСФСР ;  ; AU ; 23 ; Bagrin ; 357 
 3075 ; 10000 рублей. УЖД Закавказья ;  ;  ;  ; AU ; 41 ; asru ; 354 
 3076 ; 100 рублей. Чита ; 1920 ;  ;  ; AU ; 19 ; Genadij ; 765 
 3077 ; 3 рубля. Одесса ; 1917 ;  ;  ; AU ; 45 ; 300 ; 632 
 3078 ; 5 рублей. Одесса ; 1917 ;  ;  ; AU ; 17 ; 300 ; 543 
 3079 ; 100 рублей ; 1919 ; Азербайджан ;  ; AU ; 14 ; Ksn ; 767 
 3080 ; 50 рублей ; 1919 ;  ;  ; AU ; 42 ; 300 ; 714 
 3081 ; 100 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ; AU ; 114 ; Ksn ; 2550 
 3082 ; 25000 рублей ; 1921 ; Азербайджан ;  ; AU ; 52 ; Ksn ; 767 
 2833 ; Монетовидный жетон. 2 цента. Ватикан ; 2005 ;  ; Cu/St ; Unc ; 14 ; Sky2 ; 225 
 2834 ; Монетовидный жетон. 1 цент. Ватикан ; 2005 ;  ; Cu/St ; Unc ; 10 ; Sky2 ; 204 
 2835 ; Жетон. Платежное средство. 1 доллар. Канада ; 1981 ;  ; Б/м ; AU ; 15 ; kamensk61 ; 61 
 2836 ; Жетон. Международный день экономии. Германия ; 1965 ;  ; Ж/м ; AU ; 27 ; kont ; 57 
 2837 ; Жетон. Альбрехт Дюрер. Германия ; 1971 ;  ; Ж/м ; AU ; 9 ; st-micke ; 51 
 2838 ; Лот монет Германии: 5, 10 пфеннигов (14шт) ; 1937-1939 ;  ; Al/Br ; VF-/XF- ; 48 ; allex61 ; 450 
 2839 ; Набор монет США: 1/2, 1/4 доллара, 1 дайм, 5 центов, 1 цент (5шт). С сертификатом ; 1987S ;  ; Cu-Ni,Cu-Z ; Proof ; 17 ; Sky2 ; 502 
 2840 ; Набор монет Великобритании: 1/2 кроны, 2 шиллинга, 1 шиллинг (Великобритания и Шотландия), 6 пенсов, 3 пенса, фартинг, 1,1/2 пенни (9шт) ; 1953 ;  ; Cu-Ni,Br,N ; AU ; 53 ; k212 ; 1455 
 2841 ; Набор монет Великобритании: 1/2 кроны, 2 шиллинга, 6 пенсов, 3 пенса, 1,1/2 пенни (6шт). Пластиковая упаковка ; 1967 ;  ; Cu-Ni,Br,N ; AU ; 26 ; k212 ; 512 
 2842 ; Набор монет Великобритании: 10,5,2,1,1/2 пенни (7шт) ; 1968-1971 ;  ; Cu-Ni,Br ; AU ; 11 ; k212 ; 255 
 2843 ; Набор монет Великобритании: 50,20,10,5,2,1,1/2 пенни (7шт). Упаковка ; 1983 ;  ; Cu-Ni,Br ; Unc ; 21 ; k212 ; 677 
 2844 ; Лот монет Испании: 57шт ; 20 век ;  ; Латунь,Cu/ ; VF/XF+ ; 47 ; LICVID ; 204 
 2845 ; Лот монет Португалии: 20шт ; 20 век ;  ; Би/м,Cu-Ni ; VF/XF+ ; 39 ; cement86 ; 214 
 2846 ; Лот монет Греции: 25шт ; 20 век ;  ; Латунь,Cu/ ; VF/AU ; 85 ; asru ; 113 
 2847 ; Лот монет Нидерландов: 58шт ; 20 век ;  ; Cu-Ni,Br ; VF/AU ; 65 ; svu14 ; 253 
 2848 ; Лот монет Норвегии: 54шт ; 20 век ;  ; Br,Cu/Ni,Z ; VF/XF+ ; 38 ; LICVID ; 192 
 2849 ; Набор монет Индонезии: 5шт ; 20 век ;  ; Al ; AU ; 51 ; Reverse ; 124 
 2850 ; Набор монет Киргизии: 5шт ; 20 век ;  ; Латунь,Cu/ ; AU ; 20 ; crazybober ; 133 
 3001 ; 1 копейка ; 1917 ; Деньги-марки ;  ;  ; 9 ; kuril ; 156 
 3002 ; 3 копейки ; 1915 ; Деньги-марки ;  ;  ; 15 ; env ; 85 
 3003 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 17 ; Студент1 ; 38 
 3004 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 3 ; Студент1 ; 34 
 3005 ; 15 копеек ; 1915 ; Деньги-марки ;  ;  ; 4 ; Студент1 ; 31 
 3006 ; 15 копеек ; 1915 ; Деньги-марки ;  ;  ; 2 ; Студент1 ; 31 
 3007 ; 20 копеек ; 1915 ; Деньги-марки ;  ;  ; 9 ; usan ; 176 
 3008 ; 1 рубль ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 24 ; env ; 61 
 3009 ; 2 рубля ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 18 ; medved09 ; 167 
 3010 ; 3 рубля ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 23 ; env ; 61 
 3011 ; 3 рубля ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 22 ; Студент1 ; 51 
 3012 ; 50 рублей ; 1920 ; Расчетные знаки РСФСР образца  ;  ;  ; 24 ; skif ; 157 
 3013 ; 5 рублей ; 1920 ; Азербайджан ;  ;  ; 51 ; егор ; 412 
 3014 ; 100 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 35 ; env ; 161 
 3015 ; 250 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 6 ; r111r ; 123 
 3016 ; 500 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 26 ; rad22 ; 173 
 3017 ; 500 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 22 ; alex1974 ; 134 
 3018 ; 1000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 12 ; kuril ; 150 
 3019 ; 1000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 22 ; env ; 114 
 3020 ; 1 рубль ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 41 ; 1968 ; 200 
 3021 ; 1 рубль ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 19 ; medved09 ; 204 
 3022 ; 1 рубль ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 19 ; 1968 ; 200 
 3023 ; 1 рубль ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 33 ; vanamo ; 123 
 3024 ; 5 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 79 ; SDR ; 654 
 3025 ; 5 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 28 ; ask ; 219 
 3026 ; 5 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 25 ; igors1969 ; 1020 
 3027 ; 5 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 23 ; medved09 ; 258 
 3028 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 11 ; medved09 ; 204 
 3029 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 21 ; 1968 ; 177 
 3030 ; 10 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 27 ; QSCV ; 399 
 3031 ; 10 рублей ; 1923 ; Гос.денежные знаки. Первый вып ;  ;  ; 7 ; у44 ; 265 
 3032 ; 10 рублей ; 1923 ; Гос.денежные знаки. Первый вып ;  ;  ; 17 ; medved09 ; 325 
 2783 ; 1 фартинг. Великобритания ; 1893 ;  ; Br ; VF ; 14 ; dsidorov ; 209 
 2784 ; 1 фартинг. Великобритания ; 1902 ;  ; Br ; VF+ ; 14 ; rse ; 153 
 2785 ; 1 фартинг. Великобритания ; 1903 ;  ; Br ; VF-XF ; 13 ; dsidorov ; 150 
 2786 ; 1 фартинг. Великобритания ; 1904 ;  ; Br ; VF- ; 16 ; dsidorov ; 44 
 2787 ; 1 фартинг. Великобритания ; 1905 ;  ; Br ; VF ; 21 ; dsidorov ; 90 
 2788 ; 1 фартинг. Великобритания ; 1907 ;  ; Br ; VF+ ; 18 ; xabib ; 57 
 2789 ; 1 фартинг. Великобритания ; 1908 ;  ; Br ; VF+ ; 30 ; vc57 ; 90 
 2790 ; 1 фартинг. Великобритания ; 1909 ;  ; Br ; XF+ ; 41 ; alex1974 ; 140 
 2791 ; 1 фартинг. Великобритания ; 1914 ;  ; Br ; XF+ ; 19 ; dsidorov ; 203 
 2792 ; 1 фартинг. Великобритания ; 1914 ;  ; Br ; VF+ ; 15 ; alskr ; 41 
 2793 ; 1 фартинг. Великобритания ; 1919 ;  ; Br ; VF+ ; 16 ; vlad16 ; 41 
 2794 ; 1 фартинг. Великобритания ; 1926 ;  ; Br ; VF-XF ; 17 ; xabib ; 79 
 2795 ; 1 фартинг. Великобритания ; 1946 ;  ; Br ; AU ; 28 ; alskr ; 77 
 2796 ; 1 марка. Финляндия ; 1943 ;  ; Fe ; VF+ ; 12 ; alno51 ; 26 
 2797 ; 1 лат. Латвия ; 1924 ;  ; Ag ; AU ; 52 ; crazybober ; 206 
 2798 ; 200 марок. Финляндия ; 1957 ;  ; Ag ; AU ; 47 ; bliznetz ; 150 
 2799 ; 50 пенни. Финляндия ; 1921 ;  ; Cu-Ni ; XF- ; 8 ; Dom Perignon ; 16 
 2800 ; 50 пенни. Финляндия ; 1923 ;  ; Cu-Ni ; VF-XF ; 4 ; Lena6975 ; 15 
 2801 ; 50 пенни. Финляндия ; 1937 ;  ; Cu-Ni ; VF+ ; 6 ; Sterh ; 6 
 2802 ; 50 пенни. Финляндия ; 1938 ;  ; Cu-Ni ; XF- ; 4 ; Man 11 ; 15 
 2803 ; 50 пенни. Финляндия ; 1939 ;  ; Cu-Ni ; VF-XF ; 5 ; Sterh ; 5 
 2804 ; 50 пенни. Финляндия ; 1941 ;  ; Cu ; VF-XF ; 4 ; Lena6975 ; 15 
 2805 ; 50 пенни. Финляндия ; 1942 ;  ; Cu ; XF- ; 12 ; Man 11 ; 22 
 2806 ; 50 пенни. Финляндия ; 1943 ;  ; Cu ; VF+ ; 5 ; хяня ; 16 
 2807 ; 50 пенни. Финляндия ; 1944 ;  ; Fe ; VF-XF ; 5 ; димитрий ; 16 
 2808 ; 50 пенни. Финляндия ; 1945 ;  ; Fe ; VF+ ; 13 ; хяня ; 14 
 2809 ; 50 пенни. Финляндия ; 1946 ;  ; Fe ; VF+ ; 3 ; Lena6975 ; 14 
 2810 ; 25 пенни. Финляндия ; 1921 ;  ; Cu-Ni ; XF- ; 15 ; Dom Perignon ; 15 
 2811 ; 25 пенни. Финляндия ; 1928 ;  ; Cu-Ni ; VF+ ; 5 ; Lena6975 ; 14 
 2812 ; 25 пенни. Финляндия ; 1935 ;  ; Cu-Ni ; XF- ; 10 ; Lena6975 ; 15 
 2813 ; 25 пенни. Финляндия ; 1936 ;  ; Cu-Ni ; VF-XF ; 6 ; димитрий ; 15 
 2814 ; 25 пенни. Финляндия ; 1937 ;  ; Cu-Ni ; XF ; 6 ; kamensk61 ; 15 
 2815 ; 25 пенни. Финляндия ; 1938 ;  ; Cu-Ni ; XF ; 4 ; allex61 ; 25 
 2816 ; 25 пенни. Финляндия ; 1939 ;  ; Cu-Ni ; VF-XF ; 3 ; Lena6975 ; 14 
 2817 ; 25 пенни. Финляндия ; 1940 ;  ; Cu-Ni ; XF ; 10 ; kamensk61 ; 51 
 2818 ; 25 пенни. Финляндия ; 1941 ;  ; Cu ; XF ; 14 ; tavitrof ; 32 
 2819 ; 25 пенни. Финляндия ; 1942 ;  ; Cu ; XF+ ; 8 ; kamensk61 ; 45 
 2820 ; 25 пенни. Финляндия ; 1943 ;  ; Cu ; XF- ; 17 ; хяня ; 28 
 2821 ; 25 пенни. Финляндия ; 1943 ;  ; Fe ; XF ; 25 ; kamensk61 ; 88 
 2822 ; 25 пенни. Финляндия ; 1944 ;  ; Fe ; XF ; 6 ; alskr ; 17 
 2823 ; 25 пенни. Финляндия ; 1945 ;  ; Fe ; XF- ; 7 ; хяня ; 113 
 2824 ; Унция серебра ;  ;  ; Ag999 ; AU ; 18 ; savlad ; 1003 
 2825 ; Жетон. 1 OJOLMI. Латинская Америка ; 1884 ;  ; Br, серебр ; VF-XF ; 48 ; forward ; 206 
 2826 ; Монетовидный жетон. 5 марок. Пруссия ; 1910 ;  ; Б/м ; VF- ; 9 ; koga ; 90 
 2827 ; Монетовидный жетон. 2 евро. Ватикан ; 2005 ;  ; Би/м ; Unc ; 82 ; Sky2 ; 473 
 2828 ; Монетовидный жетон. 1 евро. Ватикан ; 2005 ;  ; Би/м ; Unc ; 70 ; Sky2 ; 453 
