 5647 ; Конверт со спецгашением Гренландия ; 2001 ;  ;  ;  ; 11 ; dizdigator ; 101 
 5618 ; Бона иностранная. Перу ;  ;  ;  ;  ; 3 ; SER 888 ; 12 
 5619 ; Бона иностранная. Перу ;  ;  ;  ;  ; 4 ; hoop ; 12 
 5620 ; Бона иностранная. Перу ;  ;  ;  ;  ; 10 ; магаз ; 22 
 5621 ; Бона иностранная. Перу ;  ;  ;  ;  ; 6 ; магаз ; 22 
 5622 ; Бона иностранная. Приднестровье ;  ;  ;  ;  ; 5 ; зуммер ; 35 
 5623 ; Бона иностранная. Приднестровье ;  ;  ;  ;  ; 3 ; зуммер ; 31 
 5624 ; Лот бон. Китай ( 6шт.) ;  ;  ;  ;  ; 23 ; dizdigator ; 80 
 5625 ; Лот бон ( 3шт.) ;  ;  ;  ;  ; 7 ; 333985 ; 77 
 5626 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 14 ; vladmarkin ; 203 
 5627 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 14 ; 4758 ; 159 
 5628 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 12 ; 4758 ; 159 
 5629 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 18 ; flutter ; 203 
 5630 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 19 ; 4758 ; 192 
 5631 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 30 ; sifirot ; 251 
 5632 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 16 ; vladmarkin ; 203 
 5633 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 19 ; 4758 ; 159 
 5634 ; Лот бон иностранных 4 шт ;  ;  ;  ;  ; 14 ; pref ; 123 
 5635 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 13 ; ialaiola ; 84 
 5636 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 15 ; dimon-2007 ; 128 
 5637 ; Акция. США ;  ;  ;  ;  ; 7 ; SS007 ; 153 
 5638 ; Акция. США ;  ;  ;  ;  ; 7 ; SS007 ; 153 
 5639 ; Акция. США ;  ;  ;  ;  ; 7 ; SS007 ; 153 
 5640 ; Акция. США ;  ;  ;  ;  ; 17 ; fadeev.dima ; 204 
 5641 ; Акция. США ;  ;  ;  ;  ; 13 ; fadeev.dima ; 204 
 5642 ; Облигация на 100 рублей ; 1951 ;  ;  ;  ; 8 ; Energo ; 136 
 5643 ; Бона. 100 рублей. Олимпиада в Сочи. Серия АА ; 2014 ;  ;  ;  ; 13 ; seger ; 192 
 5644 ; Конверт со спецгашением Гренландия ; 2002 ;  ;  ;  ; 25 ; dizdigator ; 101 
 5645 ; Конверт со спецгашением Гренландия ; 2001 ;  ;  ;  ; 11 ; dizdigator ; 101 
 5646 ; Конверт со спецгашением Гренландия ;  ;  ;  ;  ; 13 ; dizdigator ; 101 
 5547 ; Бона иностранная. Замбия ;  ;  ;  ;  ; 7 ; 4758 ; 41 
 5548 ; Бона иностранная. Гвинея ;  ;  ;  ;  ; 7 ; зуммер ; 57 
 5549 ; Бона иностранная. Суринам ;  ;  ;  ;  ; 7 ; зуммер ; 57 
 5550 ; Бона иностранная. Венесуэла ;  ;  ;  ;  ; 7 ; зуммер ; 41 
 5551 ; Бона иностранная. Венесуэла ;  ;  ;  ;  ; 5 ; lenskij1837 ; 40 
 5552 ; Бона иностранная. Камбоджа ;  ;  ;  ;  ; 5 ; зуммер ; 14 
 5553 ; Бона иностранная. Камбоджа ;  ;  ;  ;  ; 7 ; SER 888 ; 40 
 5554 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 7 ; cr3041 ; 55 
 5555 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 11 ; Краснодар ; 60 
 5556 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 11 ; STANDART ; 56 
 5557 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 11 ; STANDART ; 50 
 5558 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 6 ; магаз ; 47 
 5559 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 25 ; diskus72 ; 159 
 5560 ; Бона иностранная. Индия ;  ;  ;  ;  ; 7 ; SER 888 ; 39 
 5561 ; Бона иностранная. Индия ;  ;  ;  ;  ; 10 ; 4758 ; 41 
 5562 ; Бона иностранная. Индия ;  ;  ;  ;  ; 8 ; Sterh ; 41 
 5563 ; Бона иностранная. Пакистан ;  ;  ;  ;  ; 7 ; SER 888 ; 40 
 5564 ; Бона иностранная. Пакистан ;  ;  ;  ;  ; 6 ; dimon-2007 ; 40 
 5565 ; Бона иностранная. Пакистан ;  ;  ;  ;  ; 27 ; teso ; 101 
 5566 ; Бона иностранная. Германия ;  ;  ;  ;  ; 15 ; рЖавОй ; 51 
 5567 ; Бона иностранная. Германия ;  ;  ;  ;  ; 8 ; рЖавОй ; 41 
 5568 ; Бона иностранная. Германия ;  ;  ;  ;  ; 17 ; Magger ; 53 
 5569 ; Бона иностранная. Германия ;  ;  ;  ;  ; 25 ; Magger ; 61 
 5570 ; Бона иностранная. Германия ;  ;  ;  ;  ; 23 ; miha5855 ; 92 
 5571 ; Бона иностранная. Германия ;  ;  ;  ;  ; 19 ; Magger ; 76 
 5572 ; Бона иностранная. Германия ;  ;  ;  ;  ; 16 ; магаз ; 94 
 5573 ; Бона иностранная. Германия ;  ;  ;  ;  ; 14 ; трутень ; 149 
 5574 ; Бона иностранная. Германия ;  ;  ;  ;  ; 21 ; велес ; 101 
 5575 ; Бона иностранная. Германия ;  ;  ;  ;  ; 36 ; Magger ; 92 
 5576 ; Бона иностранная. Германия ;  ;  ;  ;  ; 15 ; ДПСКР ; 120 
 5577 ; Бона иностранная. Хорватия ;  ;  ;  ;  ; 37 ; diskus72 ; 130 
 5578 ; Бона иностранная. Румыния ;  ;  ;  ;  ; 28 ; SER 888 ; 40 
 5579 ; Бона иностранная. Румыния ;  ;  ;  ;  ; 17 ; SER 888 ; 40 
 5580 ; Бона иностранная. Румыния ;  ;  ;  ;  ; 7 ; SER 888 ; 40 
 5581 ; Бона иностранная. Румыния ;  ;  ;  ;  ; 16 ; diskus72 ; 44 
 5582 ; Бона иностранная. Таиланд ;  ;  ;  ;  ; 15 ; dimon-2007 ; 101 
 5583 ; Бона иностранная. Таиланд ;  ;  ;  ;  ; 28 ; dimon-2007 ; 51 
 5584 ; Бона иностранная. Таиланд ;  ;  ;  ;  ; 26 ; dimon-2007 ; 72 
 5585 ; Бона иностранная. Таиланд ;  ;  ;  ;  ; 15 ; dimon-2007 ; 72 
 5586 ; Бона иностранная. Таиланд ;  ;  ;  ;  ; 17 ; class ; 40 
 5587 ; Бона иностранная. Бутан ;  ;  ;  ;  ; 3 ; 333985 ; 12 
 5588 ; Бона иностранная. Бутан ;  ;  ;  ;  ; 7 ; dimon-2007 ; 42 
 5589 ; Бона иностранная. Иран ;  ;  ;  ;  ; 6 ; магаз ; 12 
 5590 ; Бона иностранная. Иран ;  ;  ;  ;  ; 9 ; SER 888 ; 40 
 5591 ; Бона иностранная. Иран ;  ;  ;  ;  ; 7 ; pref ; 30 
 5592 ; Бона иностранная. Иран ;  ;  ;  ;  ; 19 ; teso ; 101 
 5593 ; Бона иностранная. Иран ;  ;  ;  ;  ; 17 ; птичка16 ; 100 
 5594 ; Бона иностранная. Иран ;  ;  ;  ;  ; 9 ; teso ; 41 
 5595 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 13 ; Wulf ; 407 
 5596 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 5 ; зуммер ; 45 
 5497 ; Бона иностранная Лаос ;  ;  ;  ; AU ; 10 ; to-to ; 67 
 5498 ; Бона иностранная Венгрия ; 1945 ;  ;  ;  ; 31 ; murman ; 67 
 5499 ; Бона иностранная Германия ; 1923 ;  ;  ; AU ; 51 ; рЖавОй ; 227 
 5500 ; 100 марок Германия ; 1935 ;  ;  ;  ; 35 ; нв1975 ; 463 
 5501 ; Бона иностранная Япония ;  ;  ;  ;  ; 31 ; denisl ; 238 
 5502 ; Бона иностранная Япония ;  ;  ;  ;  ; 19 ; denisl ; 138 
 5503 ; Лот бон Швеция 6 шт ; 1952 ;  ;  ;  ; 28 ; archy ; 654 
 5504 ; Бона иностранная. Франция ;  ;  ;  ;  ; 21 ; аймир ; 312 
 5505 ; Бона иностранная. Франция ;  ;  ;  ;  ; 21 ; dizdigator ; 267 
 5506 ; Бона иностранная. Франция ;  ;  ;  ;  ; 11 ; Вадим Старый ; 151 
 5507 ; Бона иностранная. Франция ;  ;  ;  ;  ; 7 ; Вадим Старый ; 151 
 5508 ; Бона иностранная. Франция ;  ;  ;  ;  ; 15 ; 333985 ; 175 
 5509 ; Бона иностранная. США ;  ;  ;  ;  ; 14 ; heavy_fly ; 213 
 5510 ; Бона иностранная. США ;  ;  ;  ;  ; 8 ; pref ; 203 
 5511 ; Бона иностранная. Швеция ;  ;  ;  ;  ; 9 ; зуммер ; 79 
 5512 ; Бона иностранная. Израиль ;  ;  ;  ;  ; 20 ; diskus72 ; 63 
 5513 ; Бона иностранная. Израиль ;  ;  ;  ;  ; 23 ; sifirot ; 152 
 5514 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 20 ; murman ; 41 
 5515 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 5 ; 333985 ; 84 
 5516 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 49 ; Magger ; 101 
 5517 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 40 ; murman ; 102 
 5518 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 20 ; murman ; 66 
 5519 ; Бона иностранная. Бельгия ;  ;  ;  ;  ; 4 ; SER 888 ; 39 
 5520 ; Бона иностранная. Бельгия ;  ;  ;  ;  ; 7 ; SER 888 ; 40 
 5521 ; Бона иностранная. Испания ;  ;  ;  ;  ; 19 ; STANDART ; 50 
 5522 ; Бона иностранная. Япония ;  ;  ;  ;  ; 7 ; зуммер ; 45 
 5523 ; Бона иностранная. Япония ;  ;  ;  ;  ; 5 ; зуммер ; 41 
 5524 ; Бона иностранная. Ливан ;  ;  ;  ;  ; 7 ; 333985 ; 41 
 5525 ; Бона иностранная. Нигерия ;  ;  ;  ;  ; 15 ; магаз ; 93 
 5526 ; Бона иностранная. Малайзия ;  ;  ;  ;  ; 4 ; lenskij1837 ; 40 
 5527 ; Бона иностранная. Малайзия ;  ;  ;  ;  ; 7 ; зуммер ; 40 
 5528 ; Бона иностранная. Великобритания ;  ;  ;  ;  ; 3 ; 333985 ; 12 
 5529 ; Бона иностранная. Великобритания ;  ;  ;  ;  ; 5 ; 333985 ; 12 
 5530 ; Бона иностранная. Великобритания ;  ;  ;  ;  ; 16 ; mrchegevara ; 57 
 5531 ; Бона иностранная. Индонезия ;  ;  ;  ;  ; 4 ; pref ; 40 
 5532 ; Бона иностранная. Индонезия ;  ;  ;  ;  ; 7 ; страус ; 49 
 5533 ; Бона иностранная. Индонезия ;  ;  ;  ;  ; 7 ; зуммер ; 25 
 5534 ; Бона иностранная. Татарстан ;  ;  ;  ;  ; 9 ; SKH ; 55 
 5535 ; Бона иностранная. Бурунди ;  ;  ;  ;  ; 16 ; зуммер ; 43 
 5536 ; Бона иностранная. Гондурас ;  ;  ;  ;  ; 6 ; 4758 ; 18 
 5537 ; Бона иностранная. Гондурас ;  ;  ;  ;  ; 4 ; 4758 ; 26 
 5538 ; Бона иностранная. Гондурас ;  ;  ;  ;  ; 15 ; вэл ; 41 
 5539 ; Бона иностранная. Гайана ;  ;  ;  ;  ; 13 ; велес ; 70 
 5540 ; Бона иностранная. Гайана ;  ;  ;  ;  ; 13 ; hoop ; 41 
 5541 ; Бона иностранная. Гайана ;  ;  ;  ;  ; 4 ; SER 888 ; 39 
 5542 ; Бона иностранная. Малави ;  ;  ;  ;  ; 16 ; Maxim914 ; 47 
 5543 ; Бона иностранная. Малави ;  ;  ;  ;  ; 6 ; Ssid ; 72 
 5544 ; Бона иностранная. Малави ;  ;  ;  ;  ; 12 ; Моряк-собиратель ; 130 
 5545 ; Бона иностранная. Замбия ;  ;  ;  ;  ; 27 ; птичка16 ; 150 
 5546 ; Бона иностранная. Замбия ;  ;  ;  ;  ; 11 ; SER 888 ; 40 
 5447 ; 20 динар Тунис ; 1987 ;  ;  ;  ; 41 ; Моряк-собиратель ; 1479 
 5448 ; 50 денарий Македония ; 2007 ;  ;  ; AU ; 34 ; trial ; 151 
 5449 ; 10 реал Катар ;  ;  ;  ;  ; 34 ; sifirot ; 166 
 5450 ; 20 ринггит Малайзия ;  ;  ;  ; AU ; 42 ; sifirot ; 457 
 5451 ; Лот бон Бурунди 5 шт ;  ;  ;  ; AU ; 27 ; Olimpia ; 153 
 5452 ; Лот бон иностранных 3 шт ;  ;  ;  ; AU ; 19 ; Olimpia ; 125 
 5453 ; Лот бон Гана 2 шт ;  ;  ;  ; AU ; 18 ; Olimpia ; 89 
 5454 ; Лот бон Гамбия 2 шт ;  ;  ;  ; AU ; 13 ; Olimpia ; 90 
 5455 ; Лот бон Гамбия 2 шт ;  ;  ;  ; AU ; 11 ; Olimpia ; 75 
 5456 ; Лот бон Гаяна 2 шт ;  ;  ;  ; AU ; 13 ; arcadymer ; 79 
 5457 ; Лот бон Конго 3 шт ;  ;  ;  ; AU ; 13 ; Olimpia ; 114 
 5458 ; Бона иностранная Конго ;  ;  ;  ; AU ; 23 ; sifirot ; 55 
 5459 ; Бона иностранная Кения ;  ;  ;  ; AU ; 21 ; Olimpia ; 155 
 5460 ; Лот бон Йемен 3 шт ;  ;  ;  ; AU ; 11 ; Olimpia ; 119 
 5461 ; Лот бон Иран 3 шт ;  ;  ;  ; AU ; 10 ; gusar ; 62 
 5462 ; Бона иностранная Иран ;  ;  ;  ; AU ; 9 ; Olimpia ; 53 
 5463 ; Бона иностранная Парагвай ;  ;  ;  ; AU ; 30 ; krass ; 110 
 5464 ; Бона иностранная Уругвай ;  ;  ;  ; AU ; 17 ; Ssid ; 102 
 5465 ; Лот бон иностранных 3 шт ;  ;  ;  ; AU ; 37 ; krass ; 249 
 5466 ; Лот бон иностранных 4 шт ;  ;  ;  ;  ; 23 ; 6x6 ; 333 
 5467 ; Бона иностранная Сурмнам ;  ;  ;  ; AU ; 14 ; an78gg ; 78 
 5468 ; Бона иностранная Ангола ; 1973 ;  ;  ; AU ; 11 ; Olimpia ; 207 
 5469 ; Бона иностранная Ангола ; 1973 ;  ;  ; AU ; 13 ; Olimpia ; 310 
 5470 ; Бона иностранная Ангола ; 1972 ;  ;  ;  ; 24 ; Olimpia ; 216 
 5471 ; Бона иностранная Ангола ; 1972 ;  ;  ;  ; 24 ; dimon-2007 ; 102 
 5472 ; Бона иностранная Ангола ; 1972 ;  ;  ;  ; 9 ; Olimpia ; 147 
 5473 ; Бона иностранная Багамы ;  ;  ;  ; AU ; 16 ; Olimpia ; 115 
 5474 ; Бона иностранная Барбадос ;  ;  ;  ; AU ; 17 ; Andreyspb ; 107 
 5475 ; Бона иностранная Белиз ;  ;  ;  ; AU ; 9 ; Olimpia ; 138 
 5476 ; Бона иностранная Конго ;  ;  ;  ; AU ; 18 ; Ssid ; 75 
 5477 ; 500000 рублей Приднестровье ; 1997 ;  ;  ; AU ; 29 ; ABUS ; 526 
 5478 ; Бона иностранная Албания ; 1957 ;  ;  ; AU ; 17 ; 1027 ; 155 
 5479 ; Бона иностранная Албания ; 1957 ;  ;  ; AU ; 64 ; Maxim914 ; 320 
 5480 ; Бона иностранная Албания ; 1957 ;  ;  ; AU ; 32 ; trial ; 189 
 5481 ; Бона иностранная Албания ; 1957 ;  ;  ; AU ; 91 ; Olimpia ; 534 
 5482 ; Бона иностранная Албания ; 1957 ;  ;  ; AU ; 69 ; SKH ; 816 
 5483 ; Лот бон Сирия 2 шт ;  ;  ;  ; AU ; 14 ; Olimpia ; 80 
 5484 ; Лот бон Судан 2 шт ;  ;  ;  ; AU ; 17 ; dimon-2007 ; 104 
 5485 ; Лот бон иностранных 6 шт ;  ;  ;  ; AU ; 7 ; Olimpia ; 115 
 5486 ; Чек Монголия ;  ;  ;  ;  ; 8 ; Краснодар ; 102 
 5487 ; Бона иностранная Мозамбик ; 1967 ;  ;  ; AU ; 13 ; МММ ; 47 
 5488 ; Бона иностранная Мозамбик ; 1961 ;  ;  ; AU ; 11 ; to-to ; 48 
 5489 ; 2 доллара Канада ; 1986 ;  ;  ; AU ; 24 ; SKH ; 139 
 5490 ; 2 доллара США ; 2013 ;  ;  ; AU ; 13 ; dencon ; 144 
 5491 ; Бона иностранная Суринам ; 1986 ;  ;  ;  ; 34 ; птичка16 ; 46 
 5492 ; Бона иностранная Гаяна ;  ;  ;  ; AU ; 15 ; kost ; 48 
 5493 ; Бона иностранная Сирия ;  ;  ;  ; AU ; 44 ; krass ; 310 
 5494 ; Бона иностранная Сирия ;  ;  ;  ; AU ; 28 ; dimon-2007 ; 101 
 5495 ; Бона иностранная Сирия ;  ;  ;  ; AU ; 51 ; krass ; 122 
 5496 ; Бона иностранная Сирия ;  ;  ;  ; AU ; 15 ; val211 ; 78 
 5397 ; Лот бон Венесуэла 3 шт ;  ;  ;  ; AU ; 31 ; arcadymer ; 157 
 5398 ; Лот бон иностранных 3 шт ;  ;  ;  ; AU ; 24 ; krass ; 320 
 5399 ; Лот бон Гондурас 3 шт ;  ;  ;  ; AU ; 24 ; МММ ; 144 
 5400 ; Лот бон Гватемала 3 шт ;  ;  ;  ; AU ; 12 ; Maxim914 ; 239 
 5401 ; Лот бон Беларусь 2 шт ; 2000 ;  ;  ;  ; 46 ; рЖавОй ; 84 
 5402 ; 3 купона Украина ; 1991 ;  ;  ; AU ; 9 ; Хромосян ; 45 
 5403 ; Лот бон Украина 3 шт ;  ;  ;  ;  ; 19 ; Whosaid ; 68 
 5404 ; Лот купонов Приднестровье 4 шт ; 1993 ;  ;  ; AU ; 34 ; u10257 ; 313 
 5405 ; Лот бон Эстония 2 шт ; 1992-2007 ;  ;  ;  ; 8 ; class ; 34 
 5406 ; Лот купонов Беларусь 5 шт ;  ;  ;  ;  ; 27 ; Sky2 ; 414 
 5407 ; Лот купонов Беларусь 5 шт ;  ;  ;  ;  ; 12 ; Sky2 ; 414 
 5408 ; Лот бон Туркменистан 8 шт ;  ;  ;  ;  ; 22 ; dimon-2007 ; 340 
 5409 ; Лот бон Казахстан 5 шт ;  ;  ;  ;  ; 32 ; kaa65 ; 99 
 5410 ; Лот бон Беларусь 9 шт ;  ;  ;  ;  ; 56 ; 1027 ; 202 
 5411 ; Лот талонов Литва 4 шт ; 1991 ;  ;  ;  ; 15 ; ABUS ; 147 
 5412 ; Лот талонов Литва 7 шт ; 1991 ;  ;  ;  ; 23 ; dimon-2007 ; 619 
 5413 ; Лот талонов Литва 4 шт ; 1992 ;  ;  ;  ; 30 ; 1027 ; 114 
 5414 ; Лот бон Литва 2 шт ; 1993-94 ;  ;  ;  ; 27 ; Jek327 ; 255 
 5415 ; Лот бон Эстония 5 шт ; 1991-92 ;  ;  ;  ; 17 ; SKH ; 203 
 5416 ; Лот бон Латвия 4 шт ; 1992 ;  ;  ;  ; 15 ; Jek327 ; 114 
 5417 ; Лот купонов Украина 16 шт ;  ;  ;  ;  ; 15 ; 1027 ; 147 
 5418 ; Лот купонов Украина 5 шт ;  ;  ;  ;  ; 63 ; ABUS ; 1122 
 5419 ; Лот бон Украина 4 шт ; 1992 ;  ;  ;  ; 30 ; sotnik ; 541 
 5420 ; Лот бон Украина 7 шт ;  ;  ;  ;  ; 35 ; vladimir-sirke ; 144 
 5421 ; Лот бон Узбекистан 12 шт ;  ;  ;  ;  ; 25 ; smel ; 465 
 5422 ; Лот бон Узбекистан 10 шт ;  ;  ;  ;  ; 14 ; 1027 ; 227 
 5423 ; Лот бон Туркменистан 6 шт ;  ;  ;  ;  ; 20 ; class ; 279 
 5424 ; Лот бон Туркменистан 2 шт ;  ;  ;  ;  ; 21 ; dimon-2007 ; 233 
 5425 ; Лот бон Таджикистан 7 шт ;  ;  ;  ;  ; 15 ; Краснодар ; 100 
 5426 ; Лот бон Таджикистан 5 шт ;  ;  ;  ;  ; 25 ; KARJU ; 279 
 5427 ; Лот бон Приднестровье 7 шт ;  ;  ;  ;  ; 37 ; val211 ; 448 
 5428 ; Лот бон Приднестровье 7 шт ; 1993-94 ;  ;  ;  ; 19 ; u10257 ; 226 
 5429 ; Лот бон Приднестровье 5 шт ; 1994-2007 ;  ;  ;  ; 28 ; Фест ; 314 
 5430 ; Лот бон Молдова 7 шт ; 1992-95 ;  ;  ;  ; 37 ; Фест ; 428 
 5431 ; Лот бон Киргизстан 9 шт ;  ;  ;  ;  ; 7 ; ЂÀмЂҰ ; 123 
 5432 ; Лот бон Киргизстан 2 шт ;  ;  ;  ;  ; 20 ; heavy_fly ; 111 
 5433 ; Лот бон Казахстан 13 шт ;  ;  ;  ;  ; 22 ; cochu ; 341 
 5434 ; Лот бон Грузия 8 шт ;  ;  ;  ;  ; 22 ; dimon-2007 ; 511 
 5435 ; Лот бон Грузия 9 шт ;  ;  ;  ;  ; 29 ; alex241 ; 624 
 5436 ; Лот бон Грузия 8 шт ;  ;  ;  ;  ; 19 ; dimon-2007 ; 327 
 5437 ; Лот бон Азербайджан 5 шт ;  ;  ;  ;  ; 31 ; alex241 ; 453 
 5438 ; Лот бон Азербайджан 8 шт ;  ;  ;  ;  ; 18 ; cochu ; 276 
 5439 ; Лот бон Армения 3 шт ; 1993-99 ;  ;  ;  ; 21 ; ABUS ; 235 
 5440 ; Лот бон Нагорный Карабах 2 шт ; 2004 ;  ;  ;  ; 60 ; Jon Snow ; 100 
 5441 ; Лот бон Беларусь 10 шт ; 2000 ;  ;  ;  ; 11 ; 6x6 ; 126 
 5442 ; Лот бон Беларусь 4 шт ; 1994-98 ;  ;  ;  ; 21 ; dimon-2007 ; 192 
 5443 ; Лот бон Беларусь 13 шт ;  ;  ;  ;  ; 70 ; 6x6 ; 294 
