 1365 ; 10 копеек, в капсуле PCGS ; 1958 ;  ; Cu-Ni ; MS62 ; 18 ; to-to ; 69000 
 1353 ; 2 марки, в капсуле NGC ; 1866 ; S Финляндия ; Ag ; MS61 ; 1 ; Парамон Корзухин ; 40000 
 1354 ; 2 марки, в капсуле NGC ; 1870 ; S Финляндия ; Ag ; MS64 ; 1 ; Парамон Корзухин ; 50000 
 1355 ; 2 марки, в капсуле NGC ; 1906 ; L Финляндия ; Ag ; MS63 ; 1 ; Парамон Корзухин ; 20000 
 1356 ; 2 марки, в капсуле NGC ; 1908 ; L Финляндия ; Ag ; MS63 ; 1 ; Парамон Корзухин ; 20000 
 1357 ; 1 марка, в капсуле NGC ; 1890 ; L Финляндия ; Ag ; MS62 ; 1 ; Парамон Корзухин ; 8000 
 1358 ; 1 марка, в капсуле NGC ; 1907 ; L Финляндия ; Ag ; MS63 ; 1 ; Парамон Корзухин ; 8000 
 1359 ; 1 марка, в капсуле NGC ; 1915 ; S Финляндия ; Ag ; MS67 ; 1 ; Парамон Корзухин ; 12000 
 1360 ; 25 пенни, в капсуле NGC ; 1875 ; S Финляндия ; Ag ; MS63 ; 1 ; Парамон Корзухин ; 18000 
 1361 ; 25 пенни, в капсуле PCGS ; 1894 ; L Финляндия ; Ag ; MS65 ; 12 ; Продано в зале ; 23000 
 1362 ; Рубль, в капсуле NGC ; 1921 ; (АГ) ; Ag ; MS64 ; 8 ; Karhu ; 26000 
 1363 ; Рубль, в капсуле NGC ; 1921 ; (АГ) ; Ag ; MS63 ; 8 ; to-to ; 12720 
 1364 ; Рубль. В капсуле NGC ; 1924 ; (ПЛ) ; Ag ; MS65 ; 7 ; Karhu ; 15966 
 1192 ; Копейка ; 1835 ; ЕМ ФХ ; Cu ; AU/XF+ ; 20 ; 234 ; 7701 
 1193 ; Копейка. Новодел ; 1840 ; Новодел ; Cu ; AU ; 6 ; 25 ; 38000 
 1194 ; Копейка ; 1858 ; ВМ Венз.уже ; Cu ; XF ; 26 ; VAG ; 8675 
 1195 ; Копейка ; 1893 ; СПБ ; Cu ; AU ; 13 ; Продано в зале ; 4000 
 1196 ; Денга (Петров-75 руб.) ; 1718 ;  ; Cu ; F-VF ; 1 ; Продано в зале ; 71000 
 1197 ; Деньга ; 1802 ; ЕМ Плоский чекан ;  ; AU/XF ; 2 ; Продано в зале ; 34000 
 1198 ; Деньга ; 1809 ; КМ ; Cu ; AU ; 2 ; Продано в зале ; 100000 
 1199 ; 1/2 копейки ; 1842 ; ЕМ ; Cu ; XF+ ; 26 ; 25 ; 5000 
 1200 ; 1/2 копейки ; 1916 ;  ; Cu ; AU ; 0 ; Продано в зале ; 15000 
 1201 ; Полушка ; 1774 ; КМ "Сибирь" ; Cu ; VF-XF ; 2 ; cotangens ; 4080 
 1202 ; 1/4 копейки ; 1867 ; СПБ ; Cu ; AU/XF ; 0 ; Не продан ; 0 
 1203 ; 1/4 копейки ; 1870 ; ЕМ ; Cu ; AU ; 0 ; Продано в зале ; 10000 
 1204 ; Рубль ; 1922 ; (ПЛ) ; Ag ; AU ; 10 ; П00Г ; 40802 
 1205 ; Знак ордена Святого Великомученика и Победоносца Георгия 4-й степени. ; 1915-16 ;  ; Br, эмаль ; XF ; 11 ; gelo ; 47399 
 1206 ; Медаль " В память заключения мира с Турцией в 1829 году ". D-65мм ;  ;  ; Ag ; XF+ ; 1 ; Продано в зале ; 280000 
 1207 ; Медаль «За морскую победу при Чесме. 24 Июня 1770 г.» ; 1770 ;  ; Ag ; XF- ; 9 ; Продано в зале ; 250000 
 1208 ; Медаль «Благодарное Императорское Московское общество сельского хозяйства» ;  ;  ; Ag ; VF ; 0 ; Не продан ; 0 
 1209 ; Жетон " Мир с Портою" ; 1791 ;  ; Ag ; XF ; 0 ; Не продан ; 0 
 1210 ; Золотая школьная медаль. Украина. Образца 1954 года, диаметр 32 мм. ;  ;  ; Au ; XF+ ; 13 ; verunk1 ; 21744 
 1211 ; Серебряная школьная медаль. Украина. Образца 1945 года, диаметр 32 мм ;  ;  ; Ag ; XF+ ; 5 ; verunk1 ; 12000 
 1212 ; Серебряная школьная медаль Эстония, образца 1945 года, диаметр 32 мм ;  ;  ; Ag ; XF+ ; 29 ; Продано в зале ; 32500 
 1213 ; Серебряная школьная медаль. Эстония. Образца 1954 года,  диаметр 32 мм ;  ;  ; Ag ; AU ; 15 ; Продано в зале ; 22000 
 1214 ; Серебряная школьная медаль. Азербайджан. Образца 1954 года,диаметр 32 мм ;  ;  ; Ag ; AU ; 13 ; verunk1 ; 20000 
 1215 ; Медаль. 50 лет Русско-Иранскому банку. Диаметр 36 мм , М- 23 гр ; 1973 ;  ; Ag ; XF+ ; 1 ; спарта ; 5000 
 1216 ; Знак "15 лет автономии Коми" ; 1936 ;  ; Ж/М, эмаль ; XF ; 1 ; Olimpia ; 70000 
 1217 ; Знак "Ударник хлебозаготовок" ; 1932 ;  ; Ag, эмаль ; VF+ ; 13 ; Буба Касторский ; 167313 
 1218 ; Знак  "Перелёт Париж-Рим-Тегеран-Ангора" ; 1926 ;  ; Br, эмаль ; VF+ ; 3 ; Буба Касторский ; 45333 
 1219 ; Знак наградной "Добролёт" ;  ;  ; Ag, эмаль ; VF+ ; 1 ; Буба Касторский ; 60000 
 1220 ; Знак  "Герою революционного движения" ; 1932 ;  ; Br, краска ; VF ; 1 ; Буба Касторский ; 40000 
 1221 ; Знак  "Московский метрополитен 1-ая очередь" ; 1935 ;  ; Ag, эмаль ; XF+ ; 36 ; 371d ; 38551 
 1222 ; Знак "За отличную артиллерийскую подготовку" ; 1936 ;  ; Br, эмаль ; XF ; 19 ; verunk1 ; 24476 
 1223 ; Знак "Друг ДОБРОХИМА" ;  ;  ; Ag, эмаль ; XF- ; 4 ; Буба Касторский ; 15919 
 1224 ; Знак "Друг ДОБРОХИМА" Азербайджан ;  ;  ; Ag, эмаль ; VF+ ; 2 ; Продано в зале ; 25000 
 1225 ; Знак "ДОБРОХИМ" ;  ;  ; Br, краска ; VF ; 0 ; Не продан ; 0 
 1226 ; Знак "Отличный шофер" ;  ;  ; Br, эмаль ; XF ; 22 ; verunk1 ; 28686 
 1227 ; Знка "Лучшему ударнику военной стройки" ;  ;  ; Br, эмаль ; XF- ; 20 ; Продано в зале ; 30000 
 1301 ; 15 рублей, в капсуле PCGS ; 1897 ; (АГ) За обрез шеи заходит "ОСС" ; Au ; MS62 ; 1 ; Парамон Корзухин ; 66000 
 1302 ; 10 рублей, в капсуле NGC ; 1903 ; (АР) АГ ; Au ; MS64 ; 7 ; Продано в зале ; 40000 
 1303 ; 10 рублей, в капсуле NGC ; 1904 ; (АР) АГ ; Au ; MS65 ; 1 ; Продано в зале ; 50000 
 1304 ; 10 рублей, в капсуле NGC ; 1909 ; (ЭБ) АГ ; Au ; MS62 ; 7 ; йцукен ; 75000 
 1305 ; 7руб.50 коп., в капсуле NGC ; 1897 ; (АГ) ; Au ; MS62 ; 13 ; йцукен ; 75000 
 1306 ; 5 рублей, в капсуле NGC ; 1841 ; СПБ АЧ ; Au ; MS64 ; 1 ; Продано в зале ; 84000 
 1307 ; 5 рублей, в капсуле NGC ; 1902 ; (АР) ; Au ; MS66 ; 0 ; Продано в зале ; 18000 
 1308 ; 20 марок, в капсуле NGC ; 1910 ; L Финляндия ; Au ; MS63 ; 1 ; Парамон Корзухин ; 30000 
 1309 ; 20 марок, в капсуле NGC ; 1912 ; S Финляндия ; Au ; MS64 ; 2 ; Парамон Корзухин ; 30600 
 1310 ; Один червонец, в капсуле PCGS ; 1923 ; (ПЛ) ; Au ; MS64 ; 2 ; Парамон Корзухин ; 220000 
 1311 ; Рубль, в капсуле NGC ; 1773 ; СПБ ЯЧ TИ ; Ag ; AU55 ; 1 ; Парамон Корзухин ; 35000 
 1312 ; Рубль, в капсуле NGC ; 1773 ; СПБ QЛ TИ ; Ag ; AU55 ; 12 ; нумизмат ; 48450 
 1313 ; Рубль, в капсуле NGC ; 1837 ; СПБ НГ ; Ag ; AU58 ; 12 ; нумизмат ; 24480 
 1314 ; Рубль, в капсуле NGC ; 1843 ; СПБ АЧ ; Ag ; MS63 ; 1 ; Парамон Корзухин ; 45000 
 1142 ; 5 копеек. Брак чеканки ; 1874 ; СПБ HI ; Ag ; AU ; 1 ; Olimpia ; 20000 
 1143 ; 96 копеек ; 1757 ; Ливонез ; Ag ; VF ; 1 ; попандопуло ; 200000 
 1144 ; 48 копеек ; 1757 ; Ливонез ; Ag ; VF ; 1 ; попандопуло ; 150000 
 1145 ; 24 копейки ; 1757 ; Ливонез ; Ag ; VF+ ; 1 ; попандопуло ; 25000 
 1146 ; Талер ; 1798 ; для княжества йевер ; Ag ; XF/VF-XF ; 11 ; ГдРъ ; 95609 
 1147 ; 2 марки ; 1865 ; S Финляндия ; Ag ; XF+ ; 8 ; Продано в зале ; 21500 
 1148 ; 10 копеек ; 1762 ;  ; Cu ; VF ; 15 ; il468 ; 35700 
 1149 ; 10 копеек ( Петров-5 руб.) ; 1767 ; "Сибирь" ; Cu ; VF ; 18 ; finger ; 30498 
 1150 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; XF- ; 3 ; Продано в зале ; 9000 
 1151 ; 10 копеек ; 1778 ; КМ "Сибирь" ; Cu ; XF ; 7 ; Брат ; 14858 
 1152 ; 5 копеек. (Петров-1 руб.) ; 1724 ; Хвост в 3 пера ; Cu ; VF ; 20 ; Продано в зале ; 23000 
 1153 ; 5 копеек. (Петров-1 руб.) ; 1724 ; МД ; Cu ; VF+ ; 14 ; Брат ; 10000 
 1154 ; 5 копеек. (Редкий тип) ; 1727 ; КД Одна из точек под хв. ; Cu ; VF ; 50 ; Продано в зале ; 280000 
 1155 ; 5 копеек ( Петров-10 руб. Ильин-2 руб.) ; 1781 ; КМ ; Cu ; VF-XF ; 1 ; 8 988 ; 15000 
 1156 ; 5 копеек ; 1788 ; КМ ; Cu ; XF- ; 1 ; Продано в зале ; 5500 
 1157 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF-XF ; 9 ; cr3892 ; 12240 
 1158 ; 5 копеек (Ильин-20 руб.) ; 1795 ; АМ Павл.перечекан ; Cu ; VF+ ; 5 ; Продано в зале ; 56000 
 1159 ; 5 копеек ; 1796 ; ЕМ Павл.перечек. ; Cu ; VF-XF ; 1 ; cr3892 ; 18000 
 1160 ; 5 копеек ; 1802 ; КМ ; Cu ; VF-XF ; 1 ; Твиши ; 15000 
 1161 ; 5 копеек ; 1807 ; ЕМ ; Cu ; VF+ ; 19 ; Продано в зале ; 5000 
 1162 ; 5 копеек ; 1808 ; КМ ; Cu ; VF-XF ; 17 ; Продано в зале ; 10500 
 1163 ; 5 копеек ; 1835 ; ЕМ ФХ ; Cu ; AU ; 16 ; Продано в зале ; 18000 
 1164 ; 5 копеек ; 1865 ; ЕМ ; Cu ; XF- ; 0 ; Не продан ; 0 
 1165 ; 5 копеек ; 1872 ; ЕМ ; Cu ; XF ; 0 ; Не продан ; 0 
 1166 ; 5 копеек ; 1879 ; СПБ ; Cu ; XF- ; 0 ; Не продан ; 0 
 1167 ; 5 копеек ; 1911 ; СПБ ; Cu ; AU ; 10 ; to-to ; 3451 
 1168 ; 4 копейки ; 1762 ;  ; Cu ; VF+ ; 13 ; 234 ; 27007 
 1169 ; 4 копейки. Новодел ; 1796 ;  ; Cu ; XF+ ; 11 ; Продано в зале ; 73000 
 1170 ; 3 копейки ; 1899 ; СПБ ; Cu ; Proof ; 2 ; Продано в зале ; 34000 
 1171 ; 2 копейки ; 1757 ; Номинал под гербом ; Cu ; VF-XF ; 12 ; 222211 ; 4123 
 1172 ; 2 копейки ; 1762 ;  ; Cu ; VF- ; 1 ; Твиши ; 20000 
 1173 ; 2 копейки ; 1780 ; КМ "Сибирь" ; Cu ; VF-XF ; 1 ; sheff78 ; 10000 
 1174 ; 2 копейки ; 1791 ; ЕМ ; Cu ; XF ; 19 ; Arte ; 7500 
 1175 ; 2 копейки ; 1840 ; ЕМ ; Cu ; VF-XF ; 6 ; 2333 ; 6222 
 1176 ; 2 копейки ; 1841 ; СПМ ; Cu ; XF+/XF- ; 2 ; Продано в зале ; 7000 
 1177 ; 2 копейки ; 1843 ; ЕМ ; Cu ; XF ; 11 ; Твиши ; 3800 
 1178 ; 2 копейки ; 1844 ; ЕМ ; Cu ; XF+ ; 1 ; Продано в зале ; 2550 
 1179 ; Копейка. (Петров-15 руб.) ; 1716 ; НД ; Cu ; VF ; 8 ; Продано в зале ; 32000 
 1180 ; Копейка ; 1728 ;  ; Cu ; VF+ ; 8 ; Arte ; 8050 
 1181 ; Копейка. Новодел ; 1728 ; Москва ;  ; VF-XF ; 15 ; 25 ; 14858 
 1182 ; Копейка ; 1729 ;  ; Cu ; VF+ ; 20 ; fgd ; 21288 
 1183 ; Копейка ; 1755 ;  ; Cu ; VF ; 1 ; Твиши ; 20000 
 1184 ; Копейка. Перечекан шведского оре ; 1757 ;  ; Cu ; VF+ ; 1 ; Olimpia ; 18000 
 1185 ; Копейка. Новодел. M-6,9 гр., D-24 мм ; 1757 ;  ; Cu ; XF ; 1 ; Твиши ; 25000 
 1186 ; Копейка. Новодел. M-16,4 гр., D-31 мм ; 1757 ;  ; Cu ; AU ; 2 ; Продано в зале ; 36000 
 1187 ; Копейка. Перечекан шведского оре ; 1758 ;  ; Cu ; VF ; 3 ; 2333 ; 19380 
 1188 ; Копейка. Новодел ; 1765 ; Новодел ; Cu ; AU ; 5 ; Продано в зале ; 38000 
 1189 ; Копейка. Новодел ; 1776 ; КМ ; Cu ; AU/XF ; 1 ; Продано в зале ; 54000 
 1190 ; Копейка. Новодел ; 1802 ;  ; Cu ; XF- ; 7 ; Продано в зале ; 60000 
 1191 ; Копейка ; 1832 ; ЕМ ФХ ; Cu ; XF+ ; 44 ; коррозия ; 8772 
 1092 ; Полтина ; 1895 ; (АГ) АГ ; Ag ; XF/XF+ ; 2 ; Продано в зале ; 8000 
 1093 ; Полтина ; 1909 ; (ЭБ) АГ ; Ag ; XF+ ; 4 ; Продано в зале ; 60000 
 1094 ; Полтина ; 1912 ; (ЭБ) АГ ; Ag ; AU ; 44 ; Продано в зале ; 12000 
 1095 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; AU ; 14 ; renato ; 31592 
 1096 ; Полуполтинник ; 1747 ; ММД ; Ag ; VF-XF ; 1 ; Продано в зале ; 6500 
 1097 ; 25 копеек, (Петров-6 руб.) ; 1841 ; СПБ НГ ; Ag ; XF- ; 8 ; Продано в зале ; 100000 
 1098 ; 25 копеек ; 1852 ; СПБ ПА ; Ag ; AU ; 12 ; Продано в зале ; 10000 
 1099 ; 25 копеек ; 1886 ; (АГ) АГ ; Ag ; XF+ ; 18 ; Продано в зале ; 74000 
 1100 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; AU ; 2 ; renato ; 40800 
 1101 ; 20 копеек ; 1771 ; СПБ TI ; Ag ; XF+ ; 7 ; Продано в зале ; 21000 
 1102 ; 20 копеек ; 1783 ; СПБ ; Ag ; XF+ ; 1 ; Olimpia ; 20000 
 1103 ; 20 копеек ; 1785 ; СПБ ; Ag ; XF+ ; 1 ; Olimpia ; 20000 
 1104 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; VF+ ; 14 ; Logistik ; 5316 
 1105 ; 20 копеек ; 1849 ; СПБ ПА ; Ag ; XF+ ; 5 ; Продано в зале ; 8250 
 1106 ; 20 копеек ; 1858 ; СПБ ФБ ; Ag ; XF+ ; 5 ; Продано в зале ; 4600 
 1107 ; 20 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 1 ; CCCР ; 2800 
 1108 ; 20 копеек ; 1883 ; СПБ ДС ; Ag ; XF+ ; 0 ; Не продан ; 0 
 1109 ; 20 копеек ; 1886 ; СПБ АГ ; Ag ; XF+ ; 5 ; Продано в зале ; 3400 
 1110 ; 20 копеек ; 1901 ; СПБ ФЗ ; Ag ; AU ; 5 ; Karhu ; 10000 
 1111 ; 20 копеек ; 1903 ; СПБ АР ; Ag ; AU ; 0 ; Продано в зале ; 8000 
 1112 ; 20 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 0 ; Продано в зале ; 8000 
 1113 ; 20 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 0 ; Не продан ; 0 
 1114 ; 20 копеек ; 1907 ; СПБ ЭБ ; Ag ; AU ; 1 ; Продано в зале ; 4200 
 1115 ; 15 копеек-1 злотый ; 1832 ; НГ Рус.-Пол. ; Ag ; AU ; 3 ; Olimpia ; 80000 
 1116 ; 15 копеек ; 1882 ; СПБ НФ ; Ag ; AU ; 5 ; Продано в зале ; 21000 
 1117 ; 15 копеек ; 1896 ; СПБ АГ ; Ag ; XF ; 1 ; Olimpia ; 14000 
 1118 ; 15 копеек ; 1900 ; СПБ ФЗ ; Ag ; AU ; 0 ; Не продан ; 0 
 1119 ; 15 копеек ; 1903 ; СПБ АР ; Ag ; AU ; 13 ; verunk1 ; 11705 
 1120 ; 15 копеек ; 1904 ; СПБ АР ; Ag ; AU ; 1 ; Продано в зале ; 11000 
 1121 ; 15 копеек ; 1907 ; СПБ ЭБ ; Ag ; AU ; 5 ; Продано в зале ; 4500 
 1122 ; Гривенник ; 1767 ; СПБ TI ; Ag ; XF+ ; 14 ; 25 ; 12013 
 1123 ; 10 копеек ; 1802 ; СПБ АИ ; Ag ; XF- ; 6 ; Д.Ю. ; 37503 
 1124 ; 10 копеек ; 1823 ; СПБ ПД ; Ag ; XF ; 1 ; Logistik ; 4000 
 1125 ; 10 копеек ; 1833 ; СПБ НГ ; Ag ; VF-XF ; 1 ; Logistik ; 5000 
 1126 ; 10 копеек ; 1855 ; MW ; Ag ; XF- ; 14 ; Продано в зале ; 52000 
 1127 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 35 ; 24h ; 9116 
 1128 ; 10 копеек ; 1866 ; СПБ НФ ; Ag ; AU ; 14 ; Продано в зале ; 4600 
 1129 ; 10 копеек ; 1874 ; СПБ HI ; Ag ; AU/XF ; 6 ; Logistik ; 4418 
 1130 ; 10 копеек ; 1887 ; СПБ АГ ; Ag ; AU ; 20 ; verunk1 ; 6095 
 1131 ; 10 копеек ; 1887 ; СПБ АГ ; Ag ; AU/XF ; 4 ; Logistik ; 3451 
 1132 ; 10 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 1 ; Logistik ; 7000 
