 3263 ; 5 рублей ; 1997 ;  ;  ;  ; 44 ; 1968 ; 102 
 3200 ; Бона иностранная ;  ;  ;  ;  ; 2 ; цц ; 24 
 3201 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Sky2 ; 20 
 3202 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Sky2 ; 21 
 3203 ; Бона иностранная ;  ;  ;  ;  ; 13 ; 4758 ; 46 
 3204 ; Бона иностранная ;  ;  ;  ;  ; 13 ; kaa123 ; 45 
 3205 ; Бона иностранная ;  ;  ;  ;  ; 2 ; цц ; 25 
 3206 ; Бона иностранная ;  ;  ;  ;  ; 2 ; цц ; 25 
 3207 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Sky2 ; 34 
 3208 ; Бона иностранная ;  ;  ;  ;  ; 4 ; цц ; 28 
 3209 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Sky2 ; 50 
 3210 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Sky2 ; 30 
 3211 ; Бона иностранная ;  ;  ;  ;  ; 20 ; KKK ; 36 
 3212 ; Бона иностранная ;  ;  ;  ;  ; 6 ; цц ; 30 
 3113 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Ромбор ; 46 
 3114 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Ромбор ; 42 
 3115 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Ромбор ; 33 
 3116 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Ромбор ; 38 
 3117 ; Бона иностранная ;  ;  ;  ;  ; 5 ; asru ; 30 
 3118 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Ромбор ; 42 
 3119 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Ромбор ; 41 
 3120 ; Бона иностранная ;  ;  ;  ;  ; 14 ; KKK ; 41 
 3121 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Ромбор ; 50 
 3122 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Ромбор ; 33 
 3123 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Ромбор ; 41 
 3124 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Ромбор ; 42 
 3125 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Ромбор ; 41 
 3126 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Ромбор ; 41 
 3127 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Ромбор ; 36 
 3128 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Ромбор ; 34 
 3129 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Ромбор ; 57 
 3130 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Ромбор ; 43 
 3131 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Ромбор ; 48 
 3132 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Ромбор ; 42 
 3133 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Ромбор ; 50 
 3134 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Ромбор ; 41 
 3135 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Ромбор ; 41 
 3136 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Ромбор ; 37 
 3137 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Ромбор ; 34 
 3138 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Ромбор ; 38 
 3139 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Ромбор ; 34 
 3140 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Ромбор ; 34 
 3141 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Ромбор ; 34 
 3142 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Ромбор ; 34 
 3143 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Ромбор ; 34 
 3144 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Ромбор ; 41 
 3145 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Ромбор ; 38 
 3146 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Ромбор ; 42 
 3147 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Ромбор ; 51 
 3148 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Ромбор ; 43 
 3149 ; Бона иностранная ;  ;  ;  ;  ; 2 ; цц ; 19 
 3150 ; Бона иностранная ;  ;  ;  ;  ; 10 ; murew ; 30 
 3151 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Ромбор ; 38 
 3152 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Ромбор ; 40 
 3153 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Ромбор ; 40 
 3154 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Ромбор ; 39 
 3155 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Ромбор ; 40 
 3156 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Ромбор ; 42 
 3157 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Ромбор ; 41 
 3158 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Ромбор ; 41 
 3159 ; Бона иностранная ;  ;  ;  ;  ; 23 ; asru ; 42 
 3160 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Ромбор ; 42 
 3161 ; Бона иностранная ;  ;  ;  ;  ; 12 ; asru ; 37 
 3162 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Ромбор ; 40 
 3063 ; 5 рублей. Либавское г.с. ; 1915 ;  ;  ; AU ; 17 ; Ghb ; 1532 
 3064 ; 10 рублей. Либавское г.с. ; 1915 ;  ;  ; AU ; 22 ; 67 ; 1873 
 3065 ; 3 рубля. Одесса ; 1915 ;  ;  ; AU ; 20 ; дима1969 ; 691 
 3066 ; 100000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ; AU ; 58 ; Sky2 ; 1018 
 3067 ; 50000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ; AU ; 30 ; kishkis ; 1077 
 3068 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 17 ; zemlya ; 143 
 3069 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 17 ; дима1969 ; 104 
 3070 ; 500 рублей ; 1918 ;  ;  ; AU ; 12 ; sergant83 ; 714 
 3071 ; 500 рублей ; 1918 ;  ;  ; AU ; 76 ; у44 ; 689 
 3072 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 60 ; Luidor ; 100 
 3073 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 20 ; Sky2 ; 57 
 3074 ; 1 марка ; 1915 ; Финляндия билет ;  ; AU ; 37 ; Ksn ; 1051 
 3075 ; 1 рубль ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 56 ; Ghb ; 654 
 3076 ; 5 рублей. Рига ; 1919 ; Латвия. Разменный знак ;  ; AU ; 50 ; wagner ; 424 
 3077 ; 5 рублей ; 1918 ; Казначейский знак Сибирского в ;  ; AU ; 46 ; wagner ; 312 
 3078 ; 5 рублей ; 1918 ; Казначейский знак Сибирского в ;  ; AU ; 24 ; 67 ; 225 
 3079 ; 1 рубль. Кредитный ордер. ВКУСКВО ; 1924 ;  ;  ; AU ; 51 ; Ksn ; 1223 
 3080 ; 5000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ; AU ; 53 ; Ghb ; 1613 
 3081 ; 3 рубля. Гагры ; 1918 ;  ;  ; AU ; 55 ; у44 ; 3064 
 3082 ; 100 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ; AU ; 33 ; seaman ; 4158 
 3083 ; 10 рублей. Касимов ; 1918 ;  ;  ; AU ; 63 ; Luidor ; 1300 
 3084 ; 5 рублей. Касимов ; 1918 ;  ;  ; AU ; 53 ; ICEK ; 1326 
 3085 ; 1000 рублей ; 1917 ; Денежные знаки ;  ; AU ; 22 ; цц ; 781 
 3086 ; 1000 рублей ; 1917 ; Денежные знаки ;  ; AU ; 40 ; цц ; 778 
 3087 ; 1000 рублей ; 1917 ; Денежные знаки ;  ; AU ; 59 ; да ; 813 
 3088 ; 25 рублей ; 1918 ; Гос.кредитный билет Прибайкаль ;  ; AU ; 24 ; Ghb ; 1360 
 3089 ; 100 рублей ; 1918 ; Гос.кредитный билет Прибайкаль ;  ; AU ; 38 ; wagner ; 1176 
 3090 ; 10000 рублей ; 1921 ; Армения ;  ;  ; 40 ; 12457801 ; 443 
 3091 ; 1000000 рублей ; 1922 ; Азербайджан ;  ;  ; 31 ; 4758 ; 355 
 3092 ; 500 рублей ; 1919 ; Азербайджан ;  ;  ; 35 ; sergant83 ; 261 
 3093 ; 250 рублей ; 1920 ; Денежные знаки. Кубанское Крае ;  ;  ; 48 ; у44 ; 984 
 3094 ; 50 копеек. Сцепка 6 шт ; 1923 ; Денежные знаки (с рисунком мон ;  ;  ; 56 ; Port ; 3555 
 3095 ; 100 рублей. Азово-Донской коммерческий банк ; 1918 ;  ;  ;  ; 74 ; 12457801 ; 1222 
 3096 ; 25 рублей. Волжско-Камский коммерческий банк ; 1918 ;  ;  ;  ; 52 ; 12457801 ; 1214 
 3097 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 ;  ;  ; 50 ; zemlya ; 903 
 3098 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 ;  ;  ; 53 ; да ; 1020 
 3099 ; 1000 рублей ; 1919 ;  ;  ;  ; 57 ; Alekc K ; 802 
 3100 ; 5 рублей ; 1819 ; Ассигнация ;  ;  ; 33 ; 12457801 ; 36267 
 3101 ; Бона иностранная ;  ;  ;  ;  ; 9 ; lesnik1 ; 30 
 3102 ; Бона иностранная ;  ;  ;  ;  ; 33 ; Ромбор ; 42 
 3103 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Ромбор ; 42 
 3104 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Ромбор ; 34 
 3105 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Ромбор ; 36 
 3106 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Ромбор ; 36 
 3107 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Ромбор ; 42 
 3108 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Ромбор ; 38 
 3109 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Ромбор ; 47 
 3110 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Ромбор ; 38 
 3111 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Ромбор ; 36 
 3112 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Ромбор ; 36 
 3013 ; 3 копейки ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 15 ; usan ; 272 
 3014 ; 5 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 21 ; usan ; 73 
 3015 ; 5 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 15 ; dmytrylat ; 36 
 3016 ; 5 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 67 ; мамонт ; 83 
 3017 ; 1 карбованец ; 1942 ;  ;  ;  ; 48 ; нумизмат ; 408 
 3018 ; 50 копеек. Уралмашинострой ; 1931 ;  ;  ;  ; 41 ; von_Schwarz ; 508 
 3019 ; 50 копеек. Юденич ; 1919 ;  ;  ;  ; 63 ; егор ; 1026 
 3020 ; 100 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 24 ; дима1969 ; 104 
 3021 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 20 ; hitcenter ; 46 
 3022 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 14 ; t2029 ; 57 
 3023 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 11 ; Sky2 ; 50 
 3024 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 34 ; Sky2 ; 57 
 3025 ; 3 рубля ; 1919 ;  ;  ;  ; 71 ; егор ; 926 
 3026 ; 250 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 8 ; vladzory ; 101 
 3027 ; 250 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 14 ; vladzory ; 101 
 3028 ; 250 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 17 ; дима1969 ; 104 
 3029 ; 250 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 12 ; vladzory ; 201 
 3030 ; 250 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 50 ; дима1969 ; 104 
 3031 ; 25 лат ; 1938 ; Латвия ;  ;  ; 48 ; у44 ; 238 
 3032 ; 10 рублей ; 1920 ;  ;  ;  ; 65 ; егор ; 606 
 3033 ; 10 рублей ; 1920 ;  ;  ;  ; 32 ; 12457801 ; 306 
 3034 ; 5 рублей ; 1979 ;  ;  ;  ; 7 ; Alexander ; 510 
 3035 ; 10 рублей ; 1979 ;  ;  ;  ; 5 ; Alexander ; 510 
 3036 ; 20 рублей ; 1979 ;  ;  ;  ; 5 ; Alexander ; 510 
 3037 ; 50 рублей ; 1979 ;  ;  ;  ; 23 ; Alexander ; 405 
 3038 ; 25000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 27 ; lecha ; 300 
 3039 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные б ;  ;  ; 41 ; MAYSIC ; 150 
 3040 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные б ;  ;  ; 25 ; дима1969 ; 350 
 3041 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 11 ; дима1969 ; 90 
 3042 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 33 ; Sky2 ; 111 
 3043 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 11 ; Sky2 ; 74 
 3044 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 52 ; Sky2 ; 111 
 3045 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 9 ; дима1969 ; 100 
 3046 ; 1000 рублей. Юденич ; 1919 ;  ;  ;  ; 31 ; wagner ; 927 
 3047 ; 5000 рублей ; 1919 ;  ;  ;  ; 39 ; o.k. ; 102 
 3048 ; 5000 рублей ; 1919 ;  ;  ;  ; 4 ; дима1969 ; 102 
 3049 ; 5000 рублей ; 1919 ;  ;  ;  ; 7 ; Lena13 ; 150 
 3050 ; 5000 рублей ; 1919 ;  ;  ;  ; 5 ; Lena13 ; 125 
 3051 ; Бона, Закавказье ;  ;  ;  ; AU ; 27 ; НБ ; 777 
 3052 ; Бона, Закавказье ;  ;  ;  ; AU ; 11 ; НБ ; 714 
 3053 ; Бона, Закавказье ;  ;  ;  ; AU ; 11 ; НБ ; 714 
 3054 ; Бона, Закавказье ;  ;  ;  ; AU ; 11 ; НБ ; 714 
 3055 ; 1 копейка. Либавское г.с. ; 1915 ;  ;  ; AU ; 40 ; Ghb ; 1022 
 3056 ; 3 копейки. Либавское г.с. ; 1915 ;  ;  ; AU ; 23 ; Ghb ; 1022 
 3057 ; 5 копеек. Либавское г.с. ; 1915 ;  ;  ; AU ; 23 ; Ghb ; 1022 
 3058 ; 10 копеек. Либавское г.с. ; 1915 ;  ;  ; AU ; 24 ; Ghb ; 1022 
 3059 ; 25 копеек. Либавское г.с. ; 1915 ;  ;  ; AU ; 23 ; 67 ; 1022 
 3060 ; 50 копеек. Либавское г.с. ; 1915 ;  ;  ; AU ; 23 ; Ghb ; 1022 
 3061 ; 1 рубль. Либавское г.с. ; 1915 ;  ;  ; AU ; 22 ; seaman ; 772 
 3062 ; 3 рубля. Либавское г.с. ; 1915 ;  ;  ; AU ; 26 ; Ghb ; 1532 
 2813 ; Игровой жетон ;  ;  ; Ж/м ; XF+ ; 15 ; molodes ; 16 
 2814 ; Игровой жетон ;  ;  ; Ж/м ; VF-XF ; 8 ; molodes ; 35 
 2815 ; Жетон. Октябрьская железная дорога. Камера хранения. Одна ячейка ;  ;  ; Ж/м ; AU ; 48 ; von_Schwarz ; 42 
 2816 ; Телефонный жетон ;  ;  ; Ж/м ; AU ; 8 ; Man 11 ; 31 
 2817 ; Телефонный жетон. Венгрия ;  ;  ; Б/м ; VF+ ; 12 ; Rober ; 30 
 2818 ; Игровой жетон ;  ;  ; Ж/м ; XF+ ; 6 ; 001a001 ; 26 
 2819 ; Набор монет Ватикана: 2, 1 евро, 50, 20, 10, 5, 2, 1 цент ( 8шт) ; 2008 ;  ; Би/м,Латун ; AU ; 85 ; razdalbai ; 3980 
 2820 ; Набор монет Сан Марино: 5, 2, 1 евро, 50, 20, 5, 2, 1 цент (9 шт). Упаковка ; 2007 ;  ; Ag,Би/м,Ла ; Unc ; 88 ; razdalbai ; 2960 
 2821 ; Набор монет Словения (8шт):1,2 евро, 50,20,10,5,2,1 евроцента ; 2007 ;  ; Cu/St,Лат. ; AU ; 8 ; минёр ; 450 
 2822 ; Набор монет Люксембурга (8шт):1,2 евро, 50,20,10,5,2,1 евроцента ; 2008 ;  ; Cu/St,Лат. ; AU ; 14 ; molodes ; 506 
 2823 ; Набор монет Ирландии (8шт):1,2 евро, 50,20,10,5,2,1 евроцента ; 2004 ;  ; Cu/St,Лат. ; AU ; 13 ; molodes ; 502 
 2824 ; Набор монет Кипра (8шт):1,2 евро, 50,20,10,5,2,1 евроцента ; 2008 ;  ; Cu/St,Лат. ; AU ; 4 ; минёр ; 410 
 2825 ; Набор монет Словакии (8шт):1,2 евро, 50,20,10,5,2,1 евроцента ; 2009 ;  ; Cu/St,Лат. ; AU ; 12 ; Iskra ; 424 
 2826 ; Набор монет Португалии (8шт):1,2 евро, 50,20,10,5,2,1 евроцента ; 2003 ;  ; Cu/St,Лат. ; AU ; 9 ; alien ; 462 
 2827 ; Набор монет Мальты (8шт):1,2 евро, 50,20,10,5,2,1 евроцента ; 2008 ;  ; Cu/St,Лат. ; AU ; 18 ; avk ; 450 
 2828 ; Лот монет Греции: (29 шт) ; 20 век ;  ; Cu-Ni,Cu ; VF+/XF ; 39 ; jef688 ; 153 
 2829 ; Лот монет Голландии: (72 шт) ; 20 век ;  ; Cu-Ni,Cu ; VF/XF ; 18 ; svu14 ; 375 
 2830 ; Лот монет Норвегии: (67шт) ; 20 век ;  ; Cu-Ni,Br ; VF/XF ; 64 ; Reverse ; 273 
 2831 ; Лот иностранных монет (2шт): Великобритания, Богемия и Моравия ; 1943,1967 ;  ; Al/Br,Zn ; F-VF/XF ; 12 ; Doro ; 41 
 2832 ; Лот монет Кении: 3шт ; 2005 ;  ; Cu-Ni,Би/м ; AU ; 51 ; мамонт ; 76 
 2833 ; Лот монет Молдавии, Болгарии, Украины (11шт): 50копеек, 25копеек, 10копеек, 5копеек, 1копейка, 10бани, 5бани, 1бани ; 1962-2006 ;  ; Al, Cu/Ni, ; VF+/XF ; 7 ; peza_64 ; 32 
 2834 ; Лот монет Португалии: (24 шт) ; 20 век ;  ; Би/м,Cu/Ni ; VF+/XF+ ; 47 ; vitas123 ; 375 
 2835 ; Лот монет Белиза: 6шт ; 1991-2008 ;  ; Cu-Ni,Лату ; VF+/AU ; 52 ; ВЕПРЬ ; 204 
 2836 ; Лот монет Гватемалы: 6шт ; 2000-2006 ;  ; Cu-Ni,Лату ; VF-/XF+ ; 23 ; Reverse ; 138 
 2837 ; Лот монет Пакистана: 7шт ; 20 век ;  ; Cu-Ni,Al,Л ; VF-/VF+ ; 32 ; Dom Perignon ; 193 
 2838 ; Лот монет Сингапура: 5шт ; 20 век ;  ; Cu-Ni,Лату ; VF-/AU ; 10 ; NFV ; 124 
 2839 ; Набор монет Туркменистана: 1000,500 манат, 50,20,10,5,1 теннеси (7шт) ; 1993-1999 ;  ; Cu/St,Ni/S ; AU ; 86 ; SAV ; 132 
 2840 ; Лот монет ГДР: (25 шт) ; 20 век ;  ; Латунь,Al ; VF/AU ; 37 ; semen81 ; 90 
 2841 ; Лот иностранных монет разных годов (123 шт) ;  ;  ; Cu/Ni,Cu,B ; VF-/AU ; 62 ; overshtag ; 2550 
 2842 ; Лот иностранных монет разных годов (212 шт) ;  ;  ; Cu/Ni,Cu,B ; VF-/AU ; 62 ; ЮМК ; 4474 
