 3607 ; Бона иностранная ;  ;  ;  ;  ; 25 ; tigris ; 71 
 3593 ; Бона иностранная ;  ;  ;  ;  ; 24 ; sveta6369 ; 55 
 3594 ; Бона иностранная ;  ;  ;  ;  ; 3 ; ask ; 34 
 3595 ; Бона иностранная ;  ;  ;  ;  ; 7 ; systemizer ; 36 
 3596 ; Бона иностранная ;  ;  ;  ;  ; 25 ; В1951 ; 57 
 3597 ; Бона иностранная ;  ;  ;  ;  ; 16 ; ask ; 67 
 3598 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Олежа ; 34 
 3599 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Олежа ; 31 
 3600 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Олежа ; 50 
 3601 ; Бона иностранная ;  ;  ;  ;  ; 27 ; ask ; 107 
 3602 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Олежа ; 31 
 3603 ; Бона иностранная ;  ;  ;  ;  ; 37 ; Олежа ; 35 
 3604 ; Бона иностранная ;  ;  ;  ;  ; 21 ; scooter ; 30 
 3605 ; Бона иностранная ;  ;  ;  ;  ; 11 ; sveta6369 ; 37 
 3606 ; Бона иностранная ;  ;  ;  ;  ; 30 ; Олежа ; 31 
 3507 ; Бона иностранная ;  ;  ;  ;  ; 13 ; alex995 ; 20 
 3508 ; Бона иностранная ;  ;  ;  ;  ; 21 ; alex995 ; 21 
 3509 ; Бона иностранная ;  ;  ;  ;  ; 27 ; scooter ; 28 
 3510 ; Бона иностранная ;  ;  ;  ;  ; 27 ; scooter ; 30 
 3511 ; Бона иностранная ;  ;  ;  ;  ; 12 ; alex995 ; 23 
 3512 ; Бона иностранная ;  ;  ;  ;  ; 4 ; falcom.v ; 31 
 3513 ; Бона иностранная ;  ;  ;  ;  ; 10 ; nik23455 ; 36 
 3514 ; Бона иностранная ;  ;  ;  ;  ; 10 ; nik23455 ; 36 
 3515 ; Бона иностранная ;  ;  ;  ;  ; 12 ; nik23455 ; 38 
 3516 ; Бона иностранная ;  ;  ;  ;  ; 18 ; nik23455 ; 42 
 3517 ; Бона иностранная ;  ;  ;  ;  ; 23 ; keldish ; 50 
 3518 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Sani ; 33 
 3519 ; Бона иностранная ;  ;  ;  ;  ; 28 ; Sani ; 101 
 3520 ; Бона иностранная ;  ;  ;  ;  ; 12 ; 990099 ; 16 
 3521 ; Бона иностранная ;  ;  ;  ;  ; 5 ; sikachai ; 31 
 3522 ; Бона иностранная ;  ;  ;  ;  ; 5 ; sikachai ; 32 
 3523 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Скрудж ; 21 
 3524 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Скрудж ; 22 
 3525 ; Бона иностранная ;  ;  ;  ;  ; 7 ; sina ; 32 
 3526 ; Бона иностранная ;  ;  ;  ;  ; 8 ; из африки ; 24 
 3527 ; Бона иностранная ;  ;  ;  ;  ; 13 ; tigris ; 51 
 3528 ; Бона иностранная ;  ;  ;  ;  ; 20 ; sikachai ; 77 
 3529 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Alina ; 33 
 3530 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ask ; 53 
 3531 ; Бона иностранная ;  ;  ;  ;  ; 2 ; хъ0 ; 30 
 3532 ; Бона иностранная ;  ;  ;  ;  ; 3 ; falcom.v ; 31 
 3533 ; Бона иностранная ;  ;  ;  ;  ; 17 ; sina ; 36 
 3534 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Олежа ; 30 
 3535 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Олежа ; 34 
 3536 ; Бона иностранная ;  ;  ;  ;  ; 3 ; falcom.v ; 31 
 3537 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Олежа ; 31 
 3538 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Grosh ; 22 
 3539 ; Бона иностранная ;  ;  ;  ;  ; 14 ; В1951 ; 34 
 3540 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Олежа ; 31 
 3541 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Олежа ; 26 
 3542 ; Бона иностранная ;  ;  ;  ;  ; 3 ; хъ0 ; 24 
 3543 ; Бона иностранная ;  ;  ;  ;  ; 22 ; хъ0 ; 23 
 3544 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Олежа ; 26 
 3545 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Sani ; 31 
 3546 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Alina ; 42 
 3547 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Олежа ; 31 
 3548 ; Бона иностранная ;  ;  ;  ;  ; 4 ; sina ; 32 
 3549 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Олежа ; 39 
 3550 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Олежа ; 31 
 3551 ; Бона иностранная ;  ;  ;  ;  ; 19 ; ask ; 63 
 3552 ; Бона иностранная ;  ;  ;  ;  ; 25 ; ask ; 62 
 3553 ; Бона иностранная ;  ;  ;  ;  ; 25 ; ask ; 46 
 3554 ; Бона иностранная ;  ;  ;  ;  ; 14 ; ask ; 63 
 3555 ; Бона иностранная ;  ;  ;  ;  ; 3 ; хъ0 ; 20 
 3556 ; Бона иностранная ;  ;  ;  ;  ; 3 ; хъ0 ; 29 
 3457 ; Бона иностранная ;  ;  ;  ;  ; 11 ; scooter ; 30 
 3458 ; Бона иностранная ;  ;  ;  ;  ; 12 ; _1111_ ; 31 
 3459 ; Бона иностранная ;  ;  ;  ;  ; 16 ; scooter ; 30 
 3460 ; Бона иностранная ;  ;  ;  ;  ; 9 ; _1111_ ; 31 
 3461 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kotyamoi ; 31 
 3462 ; Бона иностранная ;  ;  ;  ;  ; 5 ; _1111_ ; 31 
 3463 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kotyamoi ; 31 
 3464 ; Бона иностранная ;  ;  ;  ;  ; 4 ; scooter ; 30 
 3465 ; Бона иностранная ;  ;  ;  ;  ; 4 ; scooter ; 30 
 3466 ; Бона иностранная ;  ;  ;  ;  ; 7 ; scooter ; 30 
 3467 ; Бона иностранная ;  ;  ;  ;  ; 5 ; _1111_ ; 31 
 3468 ; Бона иностранная ;  ;  ;  ;  ; 5 ; _1111_ ; 31 
 3469 ; Бона иностранная ;  ;  ;  ;  ; 8 ; scooter ; 30 
 3470 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 32 
 3471 ; Бона иностранная ;  ;  ;  ;  ; 5 ; _1111_ ; 31 
 3472 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Скрудж ; 43 
 3473 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 32 
 3474 ; Бона иностранная ;  ;  ;  ;  ; 5 ; gelind ; 31 
 3475 ; Бона иностранная ;  ;  ;  ;  ; 5 ; _1111_ ; 31 
 3476 ; Бона иностранная ;  ;  ;  ;  ; 4 ; scooter ; 30 
 3477 ; Бона иностранная ;  ;  ;  ;  ; 5 ; _1111_ ; 31 
 3478 ; Бона иностранная ;  ;  ;  ;  ; 5 ; _1111_ ; 31 
 3479 ; Бона иностранная ;  ;  ;  ;  ; 8 ; _1111_ ; 31 
 3480 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 32 
 3481 ; Бона иностранная ;  ;  ;  ;  ; 15 ; kotyamoi ; 40 
 3482 ; Бона иностранная ;  ;  ;  ;  ; 8 ; kotyamoi ; 31 
 3483 ; Бона иностранная ;  ;  ;  ;  ; 4 ; scooter ; 30 
 3484 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kotyamoi ; 31 
 3485 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 42 
 3486 ; Бона иностранная ;  ;  ;  ;  ; 8 ; kotyamoi ; 31 
 3487 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kotyamoi ; 31 
 3488 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kotyamoi ; 31 
 3489 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kotyamoi ; 31 
 3490 ; Бона иностранная ;  ;  ;  ;  ; 16 ; gelind ; 39 
 3491 ; Бона иностранная ;  ;  ;  ;  ; 4 ; scooter ; 30 
 3492 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 31 
 3493 ; Бона иностранная ;  ;  ;  ;  ; 7 ; scooter ; 30 
 3494 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 32 
 3495 ; Бона иностранная ;  ;  ;  ;  ; 4 ; scooter ; 30 
 3496 ; Бона иностранная ;  ;  ;  ;  ; 4 ; scooter ; 30 
 3497 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 31 
 3498 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 31 
 3499 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kotyamoi ; 31 
 3500 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kotyamoi ; 31 
 3501 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 32 
 3502 ; Бона иностранная ;  ;  ;  ;  ; 5 ; gelind ; 31 
 3503 ; Бона иностранная ;  ;  ;  ;  ; 12 ; alex995 ; 23 
 3504 ; Бона иностранная ;  ;  ;  ;  ; 16 ; alex995 ; 20 
 3505 ; Бона иностранная ;  ;  ;  ;  ; 9 ; В1951 ; 53 
 3506 ; Бона иностранная ;  ;  ;  ;  ; 57 ; ask ; 94 
 3407 ; 5 рублей ; 1918 ; Казначейский знак Сибирского временного правительства ;  ;  ; 31 ; mirmirmir ; 315 
 3408 ; 300 рублей ; 1918 ;  ;  ;  ; 100 ; lesnik1 ; 1003 
 3409 ; 5000 рублей ; 1921 ; Армения ;  ;  ; 31 ; слива ; 365 
 3410 ; 25 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 38 ; SANGOLD1 ; 453 
 3411 ; 25 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 60 ; Sky2 ; 463 
 3412 ; 25 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 54 ; Sky2 ; 693 
 3413 ; 50 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 40 ; QSCl ; 906 
 3414 ; 100 рублей ; 1919 ; Азербайджан ;  ;  ; 19 ; Fedor_K ; 501 
 3415 ; 100 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 32 ; vladzory ; 299 
 3416 ; 100 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 98 ; SANGOLD1 ; 514 
 3417 ; 100 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 24 ; vladzory ; 227 
 3418 ; 100 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 46 ; SANGOLD1 ; 579 
 3419 ; 100 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 31 ; vladzory ; 247 
 3420 ; 250 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 37 ; егор ; 837 
 3421 ; 10000 рублей ; 1921 ; Азербайджан ;  ;  ; 19 ; Grosh ; 410 
 3422 ; 500 рублей ; 1919 ; Азербайджан ;  ;  ; 30 ; lesnik1 ; 211 
 3423 ; Хлебный заем ; 1923 ;  ;  ;  ; 69 ; из африки ; 2340 
 3424 ; 5000 рублей. Шелковка ; 1921 ;  ;  ;  ; 61 ; сс400 ; 15140 
 3425 ; 100 рублей ; 1918 ; Денежные знаки.Кубанская республика ;  ;  ; 53 ; elion3 ; 2481 
 3426 ; 100000 рублей ; 1922 ; Грузия ;  ;  ; 11 ; слива ; 1530 
 3427 ; 10000 теньге ; 1919/20 ; Бухарский Эмират ;  ;  ; 65 ; из африки ; 2280 
 3428 ; 1000000 рублей ; 1921 ; Обязательства РСФСР 1921 г. ;  ;  ; 34 ; слива ; 1632 
 3429 ; Временная квитанция на 250 рублей. Гор. Одесса ; 1919 ;  ;  ;  ; 51 ; kropkomp ; 4487 
 3430 ; Временная квитанция на 500 рублей. Гор. Одесса ; 1919 ;  ;  ;  ; 63 ; kropkomp ; 5102 
 3431 ; Бона иностранная ;  ;  ;  ;  ; 13 ; kotyamoi ; 32 
 3432 ; Бона иностранная ;  ;  ;  ;  ; 5 ; _1111_ ; 31 
 3433 ; Бона иностранная ;  ;  ;  ;  ; 23 ; kotyamoi ; 30 
 3434 ; Бона иностранная ;  ;  ;  ;  ; 5 ; _1111_ ; 31 
 3435 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kotyamoi ; 32 
 3436 ; Бона иностранная ;  ;  ;  ;  ; 8 ; kotyamoi ; 31 
 3437 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kotyamoi ; 31 
 3438 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kotyamoi ; 32 
 3439 ; Бона иностранная ;  ;  ;  ;  ; 8 ; kotyamoi ; 31 
 3440 ; Бона иностранная ;  ;  ;  ;  ; 7 ; kotyamoi ; 33 
 3441 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kotyamoi ; 31 
 3442 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kotyamoi ; 32 
 3443 ; Бона иностранная ;  ;  ;  ;  ; 7 ; kotyamoi ; 33 
 3444 ; Бона иностранная ;  ;  ;  ;  ; 5 ; _1111_ ; 31 
 3445 ; Бона иностранная ;  ;  ;  ;  ; 4 ; scooter ; 30 
 3446 ; Бона иностранная ;  ;  ;  ;  ; 5 ; _1111_ ; 31 
 3447 ; Бона иностранная ;  ;  ;  ;  ; 4 ; scooter ; 30 
 3448 ; Бона иностранная ;  ;  ;  ;  ; 7 ; scooter ; 30 
 3449 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kotyamoi ; 31 
 3450 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kotyamoi ; 31 
 3451 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kotyamoi ; 31 
 3452 ; Бона иностранная ;  ;  ;  ;  ; 8 ; kotyamoi ; 31 
 3453 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kotyamoi ; 32 
 3454 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kotyamoi ; 31 
 3455 ; Бона иностранная ;  ;  ;  ;  ; 8 ; _1111_ ; 31 
 3456 ; Бона иностранная ;  ;  ;  ;  ; 4 ; scooter ; 30 
 3357 ; 50000 рублей ; 1994 ; банкнота ;  ;  ; 153 ; molodes ; 894 
 3358 ; 100 марок ; 1944 ;  ;  ;  ; 14 ; murew ; 101 
 3359 ; 50 марок ; 1944 ;  ;  ;  ; 29 ; dimon-2007 ; 199 
 3360 ; 20 марок ; 1944 ;  ;  ;  ; 12 ; слива ; 57 
 3361 ; 10 марок ; 1944 ;  ;  ;  ; 26 ; smel ; 204 
 3362 ; 1000000 рублей ; 1995 ;  ;  ;  ; 44 ; хъ0 ; 71 
 3363 ; 1000000 рублей ; 1995 ;  ;  ;  ; 13 ; хъ0 ; 31 
 3364 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 64 ; SANGOLD1 ; 140 
 3365 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 28 ; skavr ; 113 
 3366 ; 5000 рублей ; 1921 ; Грузия ;  ;  ; 12 ; tigris ; 255 
 3367 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 7 ; vladzory ; 118 
 3368 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 29 ; Blagorodie ; 113 
 3369 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 18 ; Blagorodie ; 113 
 3370 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 26 ; Blagorodie ; 113 
 3371 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 19 ; SANGOLD1 ; 148 
 3372 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 13 ; SANGOLD1 ; 130 
 3373 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 19 ; warmrain ; 139 
 3374 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 11 ; skavr ; 116 
 3375 ; 100 марок ; 1908 ;  ;  ;  ; 15 ; temichek ; 104 
 3376 ; 100 марок ; 1910 ;  ;  ;  ; 25 ; kroxa ; 98 
 3377 ; 500 рублей ; 1918 ;  ;  ;  ; 61 ; tigris ; 261 
 3378 ; 500 рублей ; 1918 ;  ;  ;  ; 72 ; lesnik1 ; 385 
 3379 ; 5000 рублей ; 1919 ;  ;  ;  ; 84 ; сторож91 ; 591 
 3380 ; 5000 рублей ; 1919 ;  ;  ;  ; 68 ; Blagorodie ; 332 
 3381 ; 25 пфеннингов ; 1919 ;  ;  ;   ; 14 ; altunin ; 135 
 3382 ; 50 копеек. Юденич ; 1919 ;  ;  ;  ; 70 ; Седой ; 875 
 3383 ; 1 рубль. Юденич ; 1919 ;  ;  ;  ; 76 ; Grosh ; 918 
 3384 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 38 ; skavr ; 50 
 3385 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 22 ; KEJ ; 100 
 3386 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 30 ; aluar ; 69 
 3387 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;   ; 37 ; fokin ; 90 
 3388 ; 1 рубль ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;   ; 44 ; SANGOLD1 ; 267 
 3389 ; 1 рубль ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;   ; 31 ; o.k. ; 116 
 3390 ; 1 рубль ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;   ; 44 ; bdd48 ; 227 
 3391 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 58 ; кве ; 373 
 3392 ; 3 рубля ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 88 ; SANGOLD1 ; 370 
 3393 ; 3 рубля ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 23 ; vladzory ; 200 
 3394 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 71 ; Олежа ; 245 
 3395 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 81 ; SANGOLD1 ; 1503 
 3396 ; 10 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 67 ; егор ; 347 
 3397 ; 10 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 28 ; o.k. ; 423 
 3398 ; 100000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 43 ; ек ; 447 
 3399 ; 100000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 30 ; SANGOLD1 ; 447 
 3400 ; 25000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 36 ; rad22 ; 591 
 3401 ; 50000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 29 ; SANGOLD1 ; 395 
 3402 ; 25000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 61 ; SANGOLD1 ; 508 
 3403 ; 10 червонцев ; 1937 ; Билет ;  ;  ; 56 ; aluar ; 261 
 3404 ; 1 рубль. Урал ; 1918 ; Областной кредитный билет Урала. ;  ;  ; 67 ; Седой ; 720 
 3405 ; 3 рубля ; 1919 ;  ;  ;  ; 27 ; murka1973 ; 332 
 3406 ; 10 рублей ; 1918 ; Казначейский знак Сибирского временного правительства ;  ;  ; 74 ; Grosh ; 459 
 2683 ; Лот монет Перуаны, Колумбии, Аргентины, Британских Карибов: 6шт ; 1946-1965 ;  ; Cu-Ni, ж/м ; VF-/VF ; 15 ; vc57 ; 85 
 2684 ; Лот монет Люксембурга: 6шт ; 1952-1988 ;  ; Cu-Ni, Al, ; VF/VF+ ; 35 ; palonen ; 107 
 2685 ; Лот монет Швеции: 19шт ; 1942-1950 ;  ; Fe ; F-VF/VF ; 35 ; dsp ; 164 
 2686 ; Лот монет Ботсваны, Фиджи, Танзании, Туниса: 5шт ; 20 век ;  ; Cu-Ni, Al, ; F/F-VF ; 15 ; aleks.kss ; 79 
 2687 ; Лот монет Израиля: 6шт ; 20 век ;  ; ж/м ; VF-/VF ; 6 ; dimon masskva ; 100 
 2688 ; Лот монет Гватемалы: 4шт ; 1958-1991 ;  ; Cu-Ni, ж/м ; VF/VF+ ; 18 ; sparrow ; 69 
