 5894 ; Бона иностранная ;  ;  ;  ;  ; 3 ; OlegFox ; 21 
 5340 ; 50 копеек ; 1923 ; Денежные знаки (с рисунком монеты) ;  ;  ; 32 ; безик ; 306 
 5341 ; 3 червонца ; 1932 ; Билет ;  ;  ; 44 ; безик ; 750 
 5342 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 35 ; Jiamer57rus ; 716 
 5343 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 53 ; bigben ; 427 
 5344 ; 3 рубля ; 1947 ; Гос.казначейский билет ;  ;  ; 49 ; безик ; 555 
 5345 ; 5 рублей ; 1947 ; Гос.казначейский билет ;  ;  ; 40 ; безик ; 716 
 5346 ; Лот бон 4 шт ;  ;  ;  ;  ; 20 ; nb ; 340 
 5347 ; Лот 3 шт. 1,3,5 рублей ; 1961,1991 ;  ;  ;  ; 24 ; Oleht ; 340 
 5348 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 9 ; zima ; 597 
 5349 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 20 ; Serzh ; 153 
 5350 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 14 ; sedoy66 ; 143 
 5351 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 23 ; sedoy66 ; 123 
 5352 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 14 ; трутень ; 108 
 5353 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 18 ; Новик ; 153 
 5354 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 16 ; СЁМА ; 155 
 5355 ; Лот бон 10 шт ;  ;  ;  ;  ; 40 ; ZIMOGOR ; 2550 
 5356 ; Лот бон 11шт ;  ;  ;  ;  ; 51 ; гугл= ; 729 
 5357 ; Лот деньги-марки 4 шт ;  ;  ;  ;  ; 34 ; гугл= ; 308 
 5358 ; Лот 5 шт.3,10,25 рублей ; 1918 ;  ;  ;  ; 31 ; гугл= ; 611 
 5359 ; Лот бон 10 шт ;  ;  ;  ;  ; 56 ; гугл= ; 3033 
 5360 ; Лот бон 11шт ;  ;  ;  ;  ; 28 ; StarFunk ; 918 
 5361 ; Лот 3 шт. 1,10,100 рублей ; 1923 ;  ;  ;  ; 63 ; СЁМА ; 2246 
 5362 ; Лот бон 7 шт. Украина ;  ;  ;  ;  ; 50 ; НЕВО ; 2042 
 5363 ; Лот  бон 6 шт ;  ;  ;  ;  ; 49 ; nik23455 ; 1062 
 5364 ; Лот ценных бумаг 8 шт ;  ;  ;  ;  ; 30 ; НЕВО ; 4080 
 5365 ; Лот бон СССР и РСФСР 29 шт ;  ;  ;  ;  ; 60 ; Serzh ; 2040 
 5366 ; 5000 рублей. 3 шт ; 1994 ; банкнота ;  ;  ; 57 ; sme15 ; 867 
 5367 ; 5000 рублей. 4 шт ; 1994 ; банкнота ;  ;  ; 56 ; sdfg ; 878 
 5368 ; Лот чеков "ВНЕШПОСЫЛТОРГА" 6 шт ;  ;  ;  ;  ; 21 ; tss ; 287 
 5369 ; Лот билетов МММ 6 шт ;  ;  ;  ;  ; 22 ; gigajohn ; 117 
 5370 ; Лот бон Беларусь 23 шт ;  ;  ;  ;  ; 28 ; .gk ; 148 
 5371 ; Лот бон Украины 16 шт ;  ;  ;  ;  ; 25 ; nik23455 ; 159 
 5372 ; Лот бон 7 шт. 1,3,5 рублей ; 1898,1905,1909 ;  ;  ;  ; 27 ; SergeyDzen ; 138 
 5373 ; Лот бон 5 шт. 10 рублей ; 1909 ;  ;  ;  ; 20 ; Jek327 ; 181 
 5374 ; Облигация в 1000 рублей. Государственный 5 1/2 % военный краткосрочный заем ; 1916 ;  ;  ;  ; 21 ; гугл= ; 449 
 5375 ; Облигация на 125 рублей метеллических. Общ. Владикавказской ж/д ; 1885 ;  ;  ;  ; 16 ; vjacha ; 362 
 5376 ; Облигация на 125 миллионов рублей метеллических. Российские ж/д ; 1880 ;  ;  ;  ; 18 ; vjacha ; 362 
 5377 ; Облигация в 187 руб. 50 коп. Российский Государственный 4 1/2 % заем ; 1909 ;  ;  ;  ; 26 ; bonipari ; 354 
 5378 ; Облигация в 187 руб. 50 коп. Российский Государственный 5 % заем ; 1906 ;  ;  ;  ; 19 ; solder13 ; 365 
 5379 ; Облигация в 125 руб. золотом. Консолидированная Российская 4% ж/д облигация ; 1889 ;  ;  ;  ; 21 ; Numo ; 400 
 5380 ; Облигация на 150 рублей. Государственный дворянский земельный банк. Закладной лист ; 1898 ;  ;  ;  ; 11 ; akula ; 365 
 5381 ; Облигация в 187 руб. 50 коп. Российский Государственный 5 % заем ; 1906 ;  ;  ;  ; 15 ; bonipari ; 305 
 5382 ; Облигация в 125 руб. золотом. Российские железные дороги ; 1880 ;  ;  ;  ; 25 ; carwood2007 ; 368 
 5383 ; 10000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;   ; 48 ; dr.pas ; 722 
 5384 ; 50 рублей ;  ;  ;  ;  ; 38 ; Sky2 ; 1016 
 5085 ; 10000 рублей. Хорезмская республика ; 1921 ;  ;  ; AU ; 49 ; froloff ; 2846 
 5086 ; 1000 рублей ; 1923 ; Бухарская Республика ;  ;  ; 48 ; гугл= ; 2064 
 5087 ; 100 рублей ; 1922 ; Хорезмская Республика ;  ;  ; 25 ; masterovoi ; 1009 
 5088 ; 3 червонца ; 1932 ; Билет ;  ;  ; 26 ; sme15 ; 1316 
 5089 ; 2500 рублей ; 1922 ; Бухарская Республика ;  ; AU ; 42 ; froloff ; 6711 
 5090 ; 500 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 27 ; sme15 ; 4078 
 5091 ; 500 рублей. В.з-перевернут ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 12 ; 333985 ; 1022 
 5092 ; 1000 рублей. В.з-перевернут ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 16 ; sme15 ; 1375 
 5093 ; 250 рублей ; 1919 ;  ;  ; AU ; 34 ; MOHETA ; 1683 
 5094 ; 100 рублей ; 1898 ; Тимашев 1903. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 60 ; никсер ; 2553 
 5095 ; 100 рублей ; 1898 ; Тимашев 1903. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 76 ; sher60 ; 2042 
 5096 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 28 ; froloff ; 1381 
 5097 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 30 ; svv ; 1358 
 5098 ; 1 рубль. Лист 20 шт. ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ;  ; 30 ; zima ; 17340 
 5099 ; 1 рубль. Лист 25 шт. ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 19 ; zuza ; 2549 
 5100 ; 1 марка. Лист 9 шт. ; 1919 ;  ;  ;  ; 17 ; 333985 ; 8720 
 5301 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 5302 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 27 ; bigben ; 516 
 5303 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 42 ; dr.pas ; 379 
 5304 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ; AU ; 20 ; elefant1965 ; 2063 
 5305 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 23 ; Nik74 ; 1501 
 5306 ; 50 рублей ; 1918 ; 5% краткосрочное обязательство ;  ;  ; 43 ; гугл= ; 464 
 5307 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 19 ; zima ; 2043 
 5308 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 17 ; GERo ; 114 
 5309 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 33 ; vicktor_2014 ; 368 
 5310 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 50 ; xladon ; 674 
 5311 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 50 ; xladon ; 624 
 5312 ; 50 копеек ;  ;  ;  ;  ; 20 ; гугл= ; 216 
 5313 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 41 ; беркут ; 341 
 5314 ; 25 рублей ; 1918 ;  ;  ;  ; 27 ; froloff ; 1836 
 5315 ; Марка на 5 р. Кременчугское о-во"Самопомощь" ;  ;  ;  ;  ; 9 ; nb ; 510 
 5316 ; 25 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 25 ; sme15 ; 1245 
 5317 ; 100 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ;  ; 18 ; sme15 ; 2368 
 5318 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 45 ; vicktor_2014 ; 461 
 5319 ; 5 рублей ; 1947 ; Гос.казначейский билет ;  ;  ; 32 ; sme15 ; 1593 
 5320 ; Бона 20 крон Эстония ; 1932 ;  ;  ;  ; 27 ; faga2003 ; 395 
 5321 ; Бона 50 лат Латвия ; 1934 ;  ;  ;  ; 33 ; vasek ; 510 
 5322 ; Бона 5 марок Ковно ; 1918 ;  ;  ;  ; 23 ; froloff ; 429 
 5323 ; Бона 1000 марок Ковно ; 1918 ;  ;  ;  ; 41 ; benc ; 3213 
 5324 ; Бона 20 марок Ровно ; 1942 ;  ;  ;  ; 28 ; НЕВО ; 920 
 5325 ; 10000 рублей ; 1995 ; банкнота ;  ; XF+ ; 39 ; Nik74 ; 1201 
 5326 ; 100000 рублей ; 1995 ; банкнота ;  ; AU ; 47 ; Nik74 ; 2001 
 5327 ; 200 рублей ; 1991 ; билет ;  ; AU ; 50 ; strutikut ; 2845 
 5328 ; 5000 рублей ; 1993 ; банкнота ;  ; AU ; 72 ; sme15 ; 3740 
 5329 ; 10000 рублей ; 1993 ; банкнота ;  ; AU ; 60 ; sme15 ; 3118 
 5330 ; Лотерейный билет "ОСОАВИАХИМА" ; 1940 ;  ;  ;  ; 19 ; solder13 ; 372 
 5331 ; Лотерейный билет ; 1941 ;  ;  ;  ; 10 ; прохожий ; 204 
 5332 ; Лотерейный билет "ОСОАВИАХИМА" ; 1933 ;  ;  ;  ; 21 ; solder13 ; 306 
 5333 ; Лот ценных бумаг 2 шт ;  ;  ;  ;  ; 17 ; bdd48 ; 359 
 5334 ; 10000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 28 ; xladon ; 2154 
 5035 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 8 ; Aywa ; 70 
 5036 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 15 ; GERo ; 102 
 5037 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 7 ; профактив ; 51 
 5038 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 17 ; market_spb ; 131 
 5039 ; 10000 рублей ; 1919 ;  ;  ;  ; 27 ; Александр007 ; 357 
 5040 ; 10000 рублей ; 1919 ;  ;  ;  ; 33 ; froloff ; 395 
 5041 ; 150 рублей. Армавир ; 1918 ;  ;  ;  ; 20 ; 333985 ; 524 
 5042 ; 25 рублей. Армавир ; 1918 ;  ;  ;  ; 8 ; 333985 ; 357 
 5043 ; 50 рублей. Елисаветоград ; 1920 ;  ;  ;   ; 36 ; masterovoi ; 1673 
 5044 ; 10 рублей. Елисаветоград ; 1918 ;  ;  ;   ; 29 ; carwood2007 ; 1587 
 5045 ; 5 рублей. Елисаветоград ; 1919 ;  ;  ;   ; 48 ; svv ; 3062 
 5046 ; 10 рублей. Елисаветоград ; 1918 ;  ;  ;  ; 24 ; Sparks ; 1515 
 5047 ; 10 рублей. Елисаветоград ; 1918 ;  ;  ;  ; 35 ; carwood2007 ; 2550 
 5048 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 14 ; GERo ; 102 
