 101 ; Медаль. Строительство Троицкого моста в Санкт-Петербурге. D - 68mm ;  ;  ; Сu ; XF ; 54 ; shsb ; 7659 
 69 ; Копейка (Петров - 5 руб, Ильин - 3 руб) ; 1710 ; БК ; Cu ; F+ ; 25 ; Лапшо ; 4386 
 70 ; Копейка ; 1712 ; МД ; Cu ; F-VF ; 24 ; lupus47 ; 3777 
 71 ; Копейка (мон. двор. ?) ; 1755 ;  ; Cu ; VF- ; 44 ; Продано в зале ; 11500 
 72 ; Копейка (Ильин - 1 руб) ; 1755 ;  ; Cu ; F-VF ; 39 ; Салях ; 20009 
 73 ; Копейка ; 1757 ; ЕМ Новодел ; Cu ; AU ; 37 ; DAndy-2003 ; 46000 
 74 ; Копейка  (Петров - 8 руб, Ильин - 8 руб) ; 1764 ; ММ ; Cu ; VG ; 22 ; Продано в зале ; 2200 
 75 ; Копейка (Петров - 18 руб, Ильин - 8 руб) ; 1766 ; СПМ ; Cu ; G ; 15 ; Продано в зале ; 2200 
 76 ; Копейка (Ильин - 4 руб) ; 1799 ; КМ ; Cu ; VF- ; 38 ; lupus47 ; 14758 
 77 ; Копейка (Петров - 6 руб, Ильин - 4 руб) ; 1812 ; КМ АМ ; Cu ; F- ; 51 ; ct200h ; 5894 
 78 ; Копейка ; 1825 ; ЕМ ИК ; Cu ; F- ; 14 ; ct200h ; 1062 
 79 ; Копейка ; 1828 ; ЕМ ИК ; Cu ; XF- ; 49 ; 6709 ; 1163 
 80 ; Копейка ; 1829 ; ЕМ ИК ; Cu ; XF- ; 67 ; Sky2 ; 3068 
 81 ; Денга ; 1772 ; КМ "Сибирь" ; Cu ; VF- ; 15 ; Начальник ; 2256 
 82 ; Денга ; 1787 ; КМ ; Cu ; VF- ; 20 ; 336 ; 1200 
 83 ; Денга (Петров - 5 руб, Ильин - 5 руб) ; 1789 ; КМ ; Cu ; F- ; 34 ; Продано в зале ; 1900 
 84 ; Деньга (Петров - 5 руб, Ильин - 3 руб) ; 1812 ; КМ АМ ; Cu ; F-VF ; 34 ; Продано в зале ; 7000 
 85 ; Деньга (Петров - 3 руб, Ильин - 3 руб) ; 1816 ; КМ АМ ; Cu ; VG ; 62 ; Продано в зале ; 1700 
 86 ; Денежка. Новодел ; 1849 ; СПМ Пробная. Новодел ; Cu ; AU ; 31 ; DAndy-2003 ; 50000 
 87 ; Полушка. Новодел ; 1781 ; КМ Новодел ; Cu ; AU ; 37 ; Продано в зале ; 29000 
 88 ; Полушка (Петров - 2 руб, Ильин - 1 руб) ; 1787 ; КМ ; Cu ; F+ ; 20 ; dfg ; 827 
 89 ; Полушка (Петров- 4руб, Ильин- 4 руб) ; 1791 ; КМ ; Cu ; VG ; 17 ; ZOLTAN333 ; 453 
 90 ; Полушка (Петров - 2 руб, Ильин - 5 руб) ; 1795 ; КМ ; Cu ; VF- ; 27 ; ZOLTAN333 ; 1259 
 91 ; Полушка (Петров - 2 руб, Ильин - 3 руб) ; 1798 ; КМ ; Cu ; F- ; 58 ; 6709 ; 1587 
 92 ; Полушка (Петров - 3 руб, Ильин - 3 руб) ; 1804 ; КМ ; Cu ; F- ; 34 ; Продано в зале ; 5600 
 93 ; Полушка (Петров-12р, Ильин-25р) ; 1860 ; ЕМ ; Cu ; F-VF ; 12 ; Продано в зале ; 56000 
 94 ; 1/4 копейки ; 1868 ; ЕМ ; Cu ; AU ; 33 ; Продано в зале ; 9000 
 95 ; Звезда Ордена Св.Станислава. Санкт-Петербург. Фирма "Кейбель". Клейма на оборотной стороне ; 1899-1904 ;  ; Ag ; XF+ ; 45 ; ZOLTAN333 ; 105000 
 96 ; Наградная колодка со знаком Ордена Св.Станислава 3 степени и медалью в память царствования императора Александра III. Фирма "Кейбель". Клейма ; 1882-1898 ;  ; Au,Ag ; XF+ ; 39 ; ZOLTAN333 ; 60577 
 97 ; Лот снят ;  ;  ;  ;  ; 0 ; Не продан ; 0 
 98 ; Георгиевская медаль 3ст №215523 D-28мм ;  ;  ; Ag ; VF-XF ; 47 ; Sky2 ; 18041 
 99 ; Медаль  в честь столетия рождения Александра I. 1777-1877 гг. Гравер: В.Алексеев. D-62мм ; 1877 ;  ; Cu ; XF+ ; 85 ; валенок ; 11220 
 100 ; Медаль. В память 50-летия Рисовальной школы. Покровители императорского общества поощрения художеств. D-65мм ; 1889 ;  ; Cu ; XF- ; 38 ; валенок ; 8853 
 1 ; 5 рублей. М - 6,54г ; 1831 ; СПБ ПД ; Au ; VF+ ; 52 ; 333985 ; 55000 
 2 ; Рубль ; 1750 ; СПБ ; Ag ; XF+/XF- ; 34 ; habibbulin ; 35000 
 3 ; Рубль ; 1751 ; СПБ ; Ag ; XF- ; 39 ; Продано в зале ; 21000 
 4 ; Рубль ; 1762 ; СПБ НК ; Ag ; VF-XF ; 60 ; Sky2 ; 61500 
 5 ; Рубль. В капсуле NGC. AU Details ; 1798 ; СМ МБ ; Ag ;  ; 31 ; dsidorov ; 42558 
 6 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF+ ; 70 ; вадим ; 17850 
 7 ; Рубль ; 1843 ; СПБ АЧ ; Ag ;  ; 26 ; vonrussel ; 7808 
 8 ; Рубль ; 1872 ; СПБ HI ; Ag ; XF+ ; 29 ; Продано в зале ; 27000 
 9 ; Рубль ; 1873 ; СПБ HI ; Ag ; XF- ; 28 ; swoon ; 27121 
 10 ; Рубль ; 1885 ; СПБ АГ ; Ag ; XF ; 48 ; Moryak ; 25653 
 11 ; Полтина. Реставрация ; 1705 ;  ; Ag ; VF ; 45 ; Продано в зале ; 52000 
 12 ; Полтина ; 1818 ; СПБ ПС ; Ag ; VF-XF ; 34 ; habibbulin ; 10102 
 13 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; AU ; 40 ; sherst1 ; 16000 
 14 ; 25 копеек ; 1827 ; СПБ НГ ; Ag ; XF+ ; 25 ; sergius ; 12345 
 15 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 40 ; Продано в зале ; 9000 
 16 ; 20 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 60 ; Продано в зале ; 3200 
 17 ; 20 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 39 ; Продано в зале ; 1900 
 18 ; 20 копеек ; 1907 ; СПБ ЭБ ; Ag ; AU ; 24 ; Продано в зале ; 2100 
 19 ; 20 копеек ; 1908 ; СПБ ЭБ ; Ag ; AU ; 48 ; Продано в зале ; 2600 
 20 ; 15 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 17 ; Продано в зале ; 3400 
 21 ; 15 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 20 ; нумизмат ; 2725 
 22 ; 15 копеек ; 1868 ; СПБ HI ; Ag ; AU ; 23 ; Продано в зале ; 2600 
 23 ; 15 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 23 ; Беня ; 7500 
 24 ; 15 копеек ; 1900 ; СПБ ФЗ ; Ag ; AU ; 22 ; to-to ; 5327 
 25 ; 15 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 29 ; Olimpia ; 3122 
 26 ; 10 копеек ; 1810 ; СПБ ФГ ; Ag ; VF ; 22 ; 1823 ; 14057 
 27 ; 10 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 23 ; zuza ; 2008 
 28 ; 10 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 11 ; Продано в зале ; 3200 
 29 ; 10 копеек ; 1882 ; СПБ НФ ; Ag ; XF+ ; 28 ; prince1959 ; 7581 
 30 ; 10 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 21 ; Продано в зале ; 4200 
 31 ; 10 копеек ; 1903 ; СПБ АР ; Ag ; AU ; 27 ; Беня ; 9284 
 32 ; 10 копеек ; 1904 ; СПБ АР ; Ag ; AU ; 9 ; sergius ; 5000 
 33 ; 10 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 17 ; Продано в зале ; 4800 
 34 ; 10 копеек. В капсуле NGC MS 66 ; 1911 ; СПБ ЭБ ; Ag ;  ; 28 ; Продано в зале ; 5300 
 35 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 24 ; tisa66 ; 3448 
 36 ; 5 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 19 ; Продано в зале ; 7700 
 37 ; 5 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 42 ; cheta ; 8324 
 38 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 40 ; Продано в зале ; 16000 
 39 ; 5 копеек ; 1877 ; СПБ HI ; Ag ; AU ; 41 ; Продано в зале ; 9000 
 40 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 21 ; Продано в зале ; 6500 
 41 ; 5 копеек ; 1882 ; СПБ НФ ; Ag ; Au ; 19 ; Продано в зале ; 2300 
 42 ; 5 копеек В капсуле PCGS MS 66 ; 1885 ; СПБ АГ ; Ag ;  ; 39 ; Продано в зале ; 5200 
 43 ; 5 копеек ; 1908 ; СПБ ЭБ ; Ag ; AU ; 17 ; swoon ; 1928 
 44 ; Двойной абаз ; 1819 ; АТ Грузия ; Ag ; VF ; 27 ; sd555 ; 7000 
 45 ; Двойной абаз ; 1830 ; АТ Грузия ; Ag ; VF ; 21 ; $$$ ; 8043 
 46 ; Абаз ; 1822 ; АК Грузия ; Ag ; VF+ ; 58 ; Продано в зале ; 50000 
 47 ; 10 копеек (Петров-5р, Ильин-3р) ; 1767 ; "Сибирь" ; Cu ; VF ; 37 ; Продано в зале ; 9500 
 48 ; 5 копеек ; 1724 ; МД ; Cu ; VF+ ; 22 ; Салях ; 20402 
 49 ; 5 копеек ; 1725 ; МД Дата снизу вверх ; Cu ; VF+ ; 59 ; Салях ; 15302 
 50 ; 5 копеек ; 1726 ; НД Дата снизу вверх ; Cu ; VF+ ; 64 ; Салях ; 9282 
