 4822 ; Бона иностранная. Исландия. 50 крон ; 1961 ;  ;  ;  ; 24 ; ИЮМов1 ; 226 
 4336 ; Бона 25 рублей. Бакинское гор.хоз-во ; 1918 ;  ;  ;  ; 7 ; SANGOLD1 ; 276 
 4337 ; Бона 5000 рублей. Управленив жел.дор. С.С.Р.Закавказья ;  ;  ;  ;  ; 19 ; krft ; 357 
 4338 ; 1000 гривень ; 1918 ; Украина.3,6% билет Державной скарбницы.Сер. IX-XX ;  ;  ; 19 ; SANGOLD1 ; 502 
 4339 ; 10 червонцев ; 1937 ; Билет ;  ;  ; 35 ; vowa ; 612 
 4340 ; Чек. Грузия ; 1921 ;  ;  ;  ; 15 ; potapov0 ; 801 
 4341 ; 5 марок золотом ; 1897 ; Финляндия билет ;  ;  ; 39 ; rodstvennik ; 2001 
 4342 ; 10 рублей. 5 шт ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 17 ; Филипп Бенг ; 190 
 4343 ; 3 рубля. 2 шт ; 1905 ; Коншин, Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;   ; 20 ; krft ; 157 
 4344 ; 10 рублей. 4 шт ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 29 ; апрол ; 147 
 4345 ; 5 рублей. 2 шт ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 38 ; vasek ; 410 
 4346 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 46 ; denis68 ; 215 
 4347 ; 100 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 11 ; AnvlaSar6216 ; 161 
 4348 ; 250 рублей . 2 шт ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 7 ; Greenfields ; 124 
 4349 ; 500 рублей. 2 шт ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 25 ; Джеймс ; 222 
 4350 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 27 ; vasek ; 214 
 4351 ; 1 червонец ; 1937 ; Билет ;  ;  ; 41 ; vowa ; 387 
 4352 ; Лист купонов Германия ; 1922 ;  ;  ;  ; 11 ; 4004 ; 51 
 4353 ; 5 копеек ; 1920 ; Латвия. Разменный знак ;  ;  ; 16 ; МНП68 ; 111 
 4354 ; Лист купонов 2 шт ;  ;  ;  ;  ; 17 ; Четырехлистник ; 76 
 4355 ; Облигация на 100 рублей ; 1956 ;  ;  ;  ; 13 ; evilpap ; 36 
 4356 ; Лот бон (10шт) ; 1993 ;  ;  ;  ; 20 ; xct ; 120 
 4501 ; Бона иностранная ;  ;  ;  ;  ; 9 ; asus ; 70 
 4502 ; Бона иностранная ;  ;  ;  ;  ; 9 ; asus ; 70 
 4503 ; Бона иностранная ;  ;  ;  ;  ; 9 ; seger ; 30 
 4504 ; Бона иностранная ;  ;  ;  ;  ; 9 ; seger ; 30 
 4505 ; Бона иностранная ;  ;  ;  ;  ; 11 ; seger ; 30 
 4506 ; Бона иностранная ;  ;  ;  ;  ; 20 ; asus ; 70 
 4507 ; Бона иностранная ;  ;  ;  ;  ; 15 ; я8844 ; 91 
 4508 ; Бона иностранная ;  ;  ;  ;  ; 9 ; sikachai ; 57 
 4509 ; Бона иностранная ;  ;  ;  ;  ; 12 ; sikachai ; 51 
 4510 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 475 ; 33 
 4138 ; 1000 рублей ; 1920 ; Разменные билеты.Исполком Николаевского-на -Амуре округа ;  ;  ; 78 ; sdfg ; 2616 
 4139 ; 1 рубль.Кооператив Красный Путиловец ;  ;  ;  ;  ; 13 ; rodstvennik ; 650 
 4140 ; 100 рублей.Кооператив работников коммунхоза ; 1922 ;  ;  ;  ; 2 ; bon15041980 ; 1500 
 4141 ; 200 рублей ; 1919 ;  ;  ;  ; 16 ; Максимус ; 610 
 4142 ; 1 червонец ; 1922 ; Банковские билеты ;  ;  ; 139 ; urs ; 8350 
 4143 ; Комиссариат продовольствия Петроградской трудовой коммуны.Удостоверение ; 1919 ;  ;  ;  ; 7 ; Port ; 1528 
 4144 ; 10000 рублей ; 1922 ; Обязательства РСФСР ;  ;  ; 31 ; verunk1 ; 15000 
 4145 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 31 ; krft ; 373 
 4146 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 19 ; krft ; 368 
 4147 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 40 ; СЁМА ; 550 
 4148 ; Тов-во "Проводник" пай в 100 рублей ; 1912 ;  ;  ;  ; 14 ; Туборг ; 357 
 4149 ; Об-во "Ермак".Акция ; 1899 ;  ;  ;  ; 19 ; abrek112 ; 608 
 4150 ; нефтепромышленное и торговое об-во И.Н.Тер-Акопова.Акция ; 1914 ;  ;  ;  ; 13 ; abrek112 ; 608 
 4151 ; Об-во Керченских мет.заводов и рудников.Акция ; 1899 ;  ;  ;  ; 13 ; сс400 ; 465 
 4152 ; Облигация Черноморской ж/д ; 1916 ;  ;  ;  ; 36 ; krft ; 306 
 4153 ; Облигация ; 1896 ;  ;  ;  ; 14 ; Четырехлистник ; 276 
 4154 ; Свидетельство Русско-Азиатского банка ; 1910 ;  ;  ;  ; 13 ; 333985 ; 295 
 4155 ; Акция.Германия ;  ;  ;  ;  ; 11 ; sikachai ; 204 
 4156 ; Акция.Германия ;  ;  ;  ;  ; 9 ; sikachai ; 204 
 4157 ; Акция.Германия ;  ;  ;  ;  ; 9 ; tars7777 ; 200 
 4158 ; Акция.Германия ;  ;  ;  ;  ; 9 ; tars7777 ; 200 
 4159 ; Акция.Германия ;  ;  ;  ;  ; 15 ; Gold_42 ; 234 
 4160 ; Акция.Германия ;  ;  ;  ;  ; 11 ; tars7777 ; 200 
 4161 ; Акция.Германия ;  ;  ;  ;  ; 9 ; tars7777 ; 200 
 4162 ; 1000000 рублей ; 1996 ;  ;  ;  ; 13 ; 333985 ; 128 
 4163 ; 3 рубля (2 шт) ; 1905 ;  ;  ;  ; 6 ; Greenfields ; 101 
 4164 ; 5 рублей (2 шт) ; 1909 ;  ;  ;  ; 9 ; 33madmax33 ; 50 
 4165 ; 10 рублей (2 шт) ; 1909 ;  ;  ;  ; 7 ; Greenfields ; 72 
 4166 ; 10 рублей (2 шт) ; 1909 ;  ;  ;  ; 9 ; Greenfields ; 73 
 4167 ; 10 рублей (2 шт) ; 1909 ;  ;  ;  ; 9 ; Greenfields ; 92 
 4168 ; 10 руюлей (2 шт) ; 1909 ;  ;  ;  ; 7 ; Greenfields ; 69 
 4169 ; купоны (58 шт) ;  ;  ;  ;  ; 23 ; Lenchik_2M ; 204 
 4170 ; купоны (95 шт) ;  ;  ;  ;  ; 9 ; Lenchik_2M ; 245 
 4171 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 18 ; Maz ; 74 
 4301 ; 500 рублей ; 1912 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 39 ; fanil ; 591 
 4302 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 38 ; kent01 ; 714 
 4303 ; Свидетельство о непрерывном доходе на капитал 960 рублей, с подписью Н. Ротшильда ; 1822 ;  ;  ;  ; 54 ; kont ; 4590 
 4304 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 61 ; МНП68 ; 1917 
 4305 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 24 ; denis68 ; 161 
 4306 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 27 ; gusar ; 164 
 4307 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 21 ; Greenfields ; 126 
 4308 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 17 ; asus ; 69 
 4309 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 7 ; krft ; 34 
 4310 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 6 ; Greenfields ; 104 
 4311 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ; AU ; 11 ; krft ; 73 
 4312 ; 50 копеек ;  ;  ;  ; AU ; 26 ; verunk1 ; 239 
 4313 ; 5 копеек ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 18 ; krft ; 59 
 4314 ; 1 рубль ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 20 ; Филипп Бенг ; 714 
 4315 ; Бона 1 рубль. Либавское городское самоуправление ; 1915 ;  ;  ; AU ; 18 ; viena ; 528 
 4316 ; 1000 рублей ; 1919 ;  ;  ;  ; 21 ; ignatovanton ; 308 
 4088 ; 3 рубля ; 1934 ; Гос.казначейские билеты ;  ;  ; 38 ; baron ; 1530 
 4089 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 12 ; Greenfields ; 128 
 4090 ; 100 рублей ; 1997 ; банкнота ;  ;   ; 27 ; rodstvennik ; 429 
 4091 ; 50 рублей ; 1961 ; билет ;  ;  ; 37 ; 475 ; 99 
 4092 ; 50 рублей ; 1961 ; билет ;  ;  ; 23 ; 475 ; 79 
 4093 ; 100 рублей ; 1991 ; билет ;  ;  ; 9 ; Play ; 51 
 4094 ; 1000 рублей ; 1992 ; билет ;  ;  ; 10 ; evilpap ; 53 
 4095 ; 500 рублей ; 1992 ; билет ;  ;  ; 15 ; Rober ; 63 
 4096 ; 200 рублей ; 1992 ; билет ;  ;  ; 11 ; Rober ; 63 
 4097 ; 200 рублей ; 1992 ; билет ;  ;  ; 14 ; kosp ; 68 
 4098 ; 1 червонец ; 1937 ; Билет ;  ;  ; 7 ; seger ; 150 
 4099 ; 50000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 27 ; Опятор ; 255 
 4100 ; 25000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 30 ; Опятор ; 214 
 4101 ; 1 копейка без надпечатки ; 1915 ; Деньги-марки ;  ; AU ; 99 ; колхоз1 ; 2011 
 4102 ; 2 копейки без надпечатки ; 1915 ; Деньги-марки ;  ; AU ; 35 ; колхоз1 ; 2011 
 4103 ; 10 копеек ; 1915 ; Деньги-марки ;  ; AU ; 11 ; kent01 ; 128 
 4104 ; 15 копеек ; 1915 ; Деньги-марки ;  ; AU ; 10 ; Sonic ; 74 
 4105 ; 15 копеек ; 1915 ; Деньги-марки ;  ; AU ; 26 ; denis68 ; 57 
 4106 ; 3 копейки ; 1915 ; Деньги-марки ;  ; AU ; 25 ; Ритм ; 143 
 4107 ; 3 копейки ; 1915 ; Деньги-марки ;  ; AU ; 24 ; Туборг ; 161 
 4108 ; 5 пенни ; 1919 ; Эстония ;  ; AU ; 13 ; bonipari ; 257 
 4109 ; 5 копеек ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 17 ; МНП68 ; 111 
 4110 ; 50 копеек Юденич ; 1919 ;  ;  ; AU ; 50 ; boksha ; 1001 
 4111 ; 100 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; AU ; 19 ; 475 ; 556 
 4112 ; 30 рублей ;  ; Расчетные знаки РСФСР образца 1919 г. ;  ; AU ; 50 ; Туборг ; 510 
 4113 ; 1 рубль ; 1934 ; Гос.казначейские билеты ;  ; AU ; 53 ; svv ; 7300 
 4114 ; 3 рубля Юденич ; 1919 ;  ;  ; AU ; 40 ; Ритм ; 1836 
 4115 ; 5 рублей Юденич ; 1919 ;  ;  ; AU ; 14 ; boksha ; 1701 
 4116 ; 1 фунт.Джерси ;  ;  ;  ; AU ; 17 ; 475 ; 163 
 4117 ; 1 фунт.Джерси ;  ;  ;  ; AU ; 21 ; ИЮМов1 ; 203 
 4118 ; 1 фунт.Джерси ;  ;  ;  ; AU ; 20 ; asus ; 163 
 4119 ; 500 франков ; 2006 ;  ;  ; AU ; 13 ; 333985 ; 86 
 4120 ; 1 марка ; 1963 ;  ;  ; AU ; 7 ; asus ; 101 
 4121 ; 1 марка ; 1963 ;  ;  ; AU ; 7 ; 475 ; 57 
 4122 ; 2 доллара США ; 2003 ;  ;  ; AU ; 12 ; НЭРИ ; 115 
 4123 ; 2 доллара США ; 2003 ;  ;  ; AU ; 14 ; НЭРИ ; 123 
 4124 ; 2 доллара США ; 2003 ;  ;  ; AU ; 16 ; Aleks72 ; 118 
 4125 ; 100 рублей ; 1961 ;  ;  ; AU ; 14 ; sdfg ; 457 
 4126 ; 50 рублей ; 1961 ; билет ;  ; AU ; 45 ; sdfg ; 561 
 4127 ; 5000 рублей ; 1992 ; банкнота ;  ; AU ; 22 ; kosp ; 245 
 4128 ; 10000 рублей ; 1992 ; банкнота ;  ; AU ; 17 ; max.zuzin ; 442 
 4129 ; 1000 рублей ; 1992 ; билет ;  ; AU ; 24 ; kosp ; 250 
 4130 ; 10000 рублей ; 1919 ;  ;  ; AU ; 15 ; Туборг ; 512 
 4131 ; 5000 рублей ; 1919 ;  ;  ; AU ; 15 ; Sonic ; 510 
 4132 ; 250 рублей.Кооператив Володарец ; 1923 ;  ;  ;  ; 19 ; rodstvennik ; 650 
 4133 ; 250 рублей ; 1920 ; Разменные билеты.Исполком Николаевского-на -Амуре округа ;  ;  ; 37 ; verunk1 ; 2019 
 4134 ; 250 рублей ; 1920 ; Разменные билеты.Исполком Николаевского-на -Амуре округа ;  ;  ; 49 ; verunk1 ; 2507 
 4135 ; 1000 рублей ; 1920 ; Разменные билеты.Исполком Николаевского-на -Амуре округа ;  ;  ; 35 ; verunk1 ; 2550 
 4136 ; 1000 рублей ; 1920 ; Разменные билеты.Исполком Николаевского-на -Амуре округа ;  ;  ; 34 ; verunk1 ; 2040 
 4137 ; 500 рублей ; 1920 ; Разменные билеты.Исполком Николаевского-на -Амуре округа ;  ;  ; 84 ; elion3 ; 4590 
 3930 ; Лот монет Швеции (8шт): 25 эре ; 1962-1981 ;  ; Cu/Ni ; XF/XF+ ; 14 ; caiman67 ; 45 
 3931 ; Лот монет Финляндии (11шт): 10 пенни ; 1990-1993 ;  ; Cu/Ni ; VF-XF/XF ; 10 ; brat52 ; 26 
 3932 ; Лот монет Швеции (15шт): 5 эре ; 1972-1980 ;  ; Cu ; VF+/XF ; 7 ; brat52 ; 34 
 3933 ; Лот монет Финляндии (5шт): 10 пенни ; 1963-1982 ;  ; Al/Br ; VF/VF+ ; 11 ; ваньша ; 25 
 3934 ; Лот монет Швеции (8шт): 50 эре ; 1992-2006 ;  ; Cu ; VF+/XF ; 9 ; brat52 ; 45 
 3935 ; Лот монет Финляндии (9шт): 5 пенни ; 1963-1975 ;  ; Cu ; VF/VF+ ; 10 ; Boryshkas ; 34 
 3936 ; Лот монет Германии (10шт): 1 пфенниг ; 1950-1993 ;  ; Cu ; VF/XF- ; 10 ; Boryshkas ; 27 
 3937 ; Лот монет Польши, Венгрии, Германии, Литвы, Австрии, Финляндии, Японии (13шт) ; 20в ;  ; Al ; VF/VF+ ; 8 ; rik ; 34 
 3938 ; Лот монет Великобритании и Канады (9шт) ; 1971-2007 ;  ; Cu ; VF/VF+ ; 10 ; Boryshkas ; 27 
 3939 ; Лот монет Норвегии и Швеции (19шт): 10 эре ; 20в ;  ; Cu/Ni ; VF/VF+ ; 7 ; барсик ; 54 
 3940 ; Лот иностранных монет (27шт) ; 20в ;  ; Cu/Ni,Al/Br,Cu ; VF-/VF-XF ; 19 ; alexnn ; 111 
 3941 ; Лот евромонет  Австрии, Германии, Нидерландов, Италии, Эстонии, Франции (7шт) ; 2000-2011 ;  ; Cu/Fe ; VF+/VF-XF ; 10 ; LexaXa ; 31 
 3942 ; Лот евромонет Италии, Эстонии, Испании, Германии, Франции(8шт) ; 1999-2011 ;  ; Cu/Fe ; VF/XF ; 10 ; Boryshkas ; 34 
 4051 ; 20 копеек.Одесса ;  ;  ;  ;  ; 9 ; max2008 ; 102 
 4052 ; 2 рубля ; 1923 ;  ;  ;  ; 53 ; verunk1 ; 398 
 4053 ; 300 рублей ; 1923 ;  ;  ;  ; 32 ; verunk1 ; 327 
 4054 ; 10 рублей ; 1922 ;  ;  ;  ; 23 ; verunk1 ; 265 
 4055 ; 10 рублей ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ;  ; 55 ; temichek ; 658 
 4056 ; 5 рублей ; 1920 ; Расчетные знаки РСФСР образца 1920 г. ;  ;  ; 17 ; masterovoi ; 510 
 4057 ; 50 рублей ; 1920 ; Расчетные знаки РСФСР образца 1920 г. ;  ;  ; 19 ; 475 ; 317 
 4058 ; 20 копеек.Керчь ;  ;  ;  ;  ; 15 ; nb ; 663 
 4059 ; 20 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 29 ; baron ; 1530 
 4060 ; 2 лиры ; 1914 ;  ;  ;  ; 13 ; sher60 ; 33 
 4061 ; 30 рублей ;  ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 26 ; masterovoi ; 304 
 4062 ; 60 рублей ;  ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 25 ; puhetd ; 181 
 4063 ; 60 рублей ;  ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 21 ; boksha ; 200 
 4064 ; 1 рубль.Балаклава ;  ;  ;  ;  ; 29 ; verunk1 ; 616 
 4065 ; 1 доллар.США ; 1935 ;  ;  ;  ; 17 ; zzzzzz ; 161 
 4066 ; 1 доллар.США ; 1935 ;  ;  ;  ; 17 ; sikachai ; 161 
 4067 ; 1 доллар.США ; 1935 ;  ;  ;  ; 15 ; krft ; 161 
