 5590 ; Бона иностранная ;  ;  ;  ;  ; 19 ; 2128508 ; 203 
 5555 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Алёша ; 41 
 5556 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Алёша ; 41 
 5557 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Алёша ; 41 
 5558 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Алёша ; 36 
 5559 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Алёша ; 36 
 5560 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Алёша ; 41 
 5561 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Алёша ; 36 
 5562 ; Бона иностранная ;  ;  ;  ;  ; 8 ; цеховик ; 34 
 5563 ; Бона иностранная ;  ;  ;  ;  ; 7 ; цеховик ; 34 
 5564 ; Бона иностранная ;  ;  ;  ;  ; 5 ; цеховик ; 34 
 5565 ; Бона иностранная ;  ;  ;  ;  ; 10 ; цеховик ; 34 
 5566 ; Бона иностранная ;  ;  ;  ;  ; 10 ; цеховик ; 34 
 5567 ; Бона иностранная ;  ;  ;  ;  ; 10 ; цеховик ; 34 
 5568 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Алёша ; 34 
 5569 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Алёша ; 62 
 5570 ; Бона иностранная ;  ;  ;  ;  ; 10 ; цеховик ; 34 
 5571 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Monata ; 101 
 5572 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Maksss163 ; 30 
 5573 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Maksss163 ; 32 
 5574 ; Бона иностранная ;  ;  ;  ;  ; 11 ; ъхз ; 80 
 5575 ; Бона иностранная ;  ;  ;  ;  ; 21 ; ZIMOGOR ; 212 
 5576 ; Бона иностранная ;  ;  ;  ;  ; 7 ; bva150979 ; 227 
 5577 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 2128508 ; 161 
 5578 ; Бона иностранная ;  ;  ;  ;  ; 27 ; прохожий ; 2039 
 5579 ; Бона иностранная ;  ;  ;  ;  ; 19 ; прохожий ; 2017 
 5580 ; Бона иностранная ;  ;  ;  ;  ; 33 ; прохожий ; 2039 
 5581 ; Бона иностранная ;  ;  ;  ;  ; 33 ; прохожий ; 2254 
 5582 ; Бона иностранная ;  ;  ;  ;  ; 47 ; прохожий ; 2870 
 5583 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Виталий 64 ; 155 
 5584 ; Бона иностранная ;  ;  ;  ;  ; 11 ; kop ; 40 
 5585 ; Бона иностранная ;  ;  ;  ;  ; 15 ; ъхз ; 50 
 5586 ; Бона иностранная ;  ;  ;  ;  ; 12 ; хуч ; 50 
 5587 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ББосс ; 34 
 5588 ; Бона иностранная ;  ;  ;  ;  ; 67 ; 06031983 ; 201 
 5589 ; Бона иностранная ;  ;  ;  ;  ; 19 ; 2128508 ; 203 
 5389 ; 10 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 23 ; 06031983 ; 801 
 5390 ; Бона 5 карбованцев г. Житомир ; 1918 ;  ;  ;  ; 42 ; инкогнито ; 459 
 5391 ; 5 копеек ; 1920 ; Латвия. Разменный знак ;  ;  ; 15 ; nikfed ; 429 
 5392 ; 3 червонца ; 1937 ; Билет ;  ;  ; 24 ; инкогнито ; 347 
 5393 ; 5,10 рублей ; 1909 ;  ;  ;  ; 23 ; Rober ; 59 
 5394 ; 5000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 36 ; Artemon ; 713 
 5395 ; 5000 рублей, в.з. монограмма ; 1921 ; Грузия ;  ;  ; 56 ; спарта ; 2244 
 5396 ; 1000 рублей ; 1923 ; Закавказье ;  ;  ; 75 ; картуш ; 834 
 5397 ; Расчетный знак 5000 рублей, Управление железных дорог С.С.Р.Закавказья ;  ;  ;  ;  ; 34 ; alex241 ; 510 
 5398 ; 1 рубль ; 1918 ; Туркестан ;  ;  ; 17 ; НЕВО ; 714 
 5399 ; 1000 рублей ; 1920 ; Азербайджан ;  ;  ; 38 ; double ; 557 
 5501 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Алёша ; 36 
 5502 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Алёша ; 34 
 5503 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Майкл ; 59 
 5504 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Майкл ; 53 
 5505 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Алёша ; 35 
 5506 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Алёша ; 35 
 5507 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Алёша ; 36 
 5508 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Алёша ; 35 
 5509 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Майкл ; 63 
 5510 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Алёша ; 36 
 5511 ; Бона иностранная ;  ;  ;  ;  ; 5 ; цеховик ; 34 
 5512 ; Бона иностранная ;  ;  ;  ;  ; 5 ; k212 ; 34 
 5513 ; Бона иностранная ;  ;  ;  ;  ; 15 ; ВалеН ; 58 
 5514 ; Бона иностранная ;  ;  ;  ;  ; 7 ; k212 ; 34 
 5515 ; Бона иностранная ;  ;  ;  ;  ; 5 ; k212 ; 34 
 5516 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Алёша ; 34 
 5517 ; Бона иностранная ;  ;  ;  ;  ; 5 ; цеховик ; 34 
 5518 ; Бона иностранная ;  ;  ;  ;  ; 9 ; цеховик ; 34 
 5519 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Алёша ; 36 
 5520 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Алёша ; 36 
 5521 ; Бона иностранная ;  ;  ;  ;  ; 9 ; цеховик ; 34 
 5522 ; Бона иностранная ;  ;  ;  ;  ; 9 ; цеховик ; 34 
 5523 ; Бона иностранная ;  ;  ;  ;  ; 9 ; цеховик ; 34 
 5524 ; Бона иностранная ;  ;  ;  ;  ; 9 ; цеховик ; 34 
 5525 ; Бона иностранная ;  ;  ;  ;  ; 16 ; цеховик ; 34 
 5526 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Майкл ; 82 
 5527 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ВалеН ; 50 
 5528 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ВалеН ; 50 
 5529 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Майкл ; 82 
 5530 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Майкл ; 87 
 5531 ; Бона иностранная ;  ;  ;  ;  ; 22 ; цеховик ; 71 
 5532 ; Бона иностранная ;  ;  ;  ;  ; 22 ; nikfed ; 179 
 5533 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Месье Жакуй ; 50 
 5534 ; Бона иностранная ;  ;  ;  ;  ; 14 ; val211 ; 34 
 5535 ; Бона иностранная ;  ;  ;  ;  ; 5 ; ъхз ; 34 
 5536 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Maksss163 ; 30 
 5537 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Maksss163 ; 31 
 5538 ; Бона иностранная ;  ;  ;  ;  ; 15 ; nikfed ; 151 
 5539 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Месье Жакуй ; 50 
 5339 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 46 ; sedoy66 ; 286 
 5340 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 14 ; cr2952 ; 55 
 5341 ; Лот бон 3 шт. 250 и 1000 рублей ; 1917 ;  ;  ;  ; 45 ; kop ; 301 
 5342 ; Лот бон 3 шт. 250 и 1000 рублей ;  ;  ;  ;  ; 20 ; kop ; 301 
 5343 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 29 ; cr2952 ; 59 
 5344 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 13 ; makcpeyn100 ; 102 
 5345 ; Лот бон 10 шт. 10 рублей ; 1909 ;  ;  ;  ; 18 ; сортам70 ; 251 
 5346 ; Лот бон 30 шт. 10 и 5 рублей ; 1909 ;  ;  ;  ; 32 ; сортам70 ; 726 
 5347 ; Лот бон 10 шт. 5 рублей ; 1909 ;  ;  ;  ; 20 ; stark-2006 ; 257 
 5348 ; Лот бон 10 шт. 3,5,10 рублей ; 1905-1909 ;  ;  ;  ; 20 ; stark-2006 ; 255 
 5349 ; Лот бон 10 шт. 3,5,10 рублей ; 1905-1909 ;  ;  ;  ; 18 ; stark-2006 ; 266 
 5350 ; 1 червонец ; 1937 ; Билет ;  ;  ; 24 ; инкогнито ; 306 
 5351 ; 1 червонец ; 1937 ; Билет ;  ;  ; 17 ; инкогнито ; 189 
 5352 ; 1 червонец. 10 шт ; 1937 ; Билет ;  ;  ; 14 ; сортам70 ; 1134 
 5353 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 14 ; инкогнито ; 204 
 5354 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 19 ; WOLSCHARA ; 146 
 5355 ; 5 рублей. 10 шт ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 18 ; сортам70 ; 1360 
 5356 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 18 ; gelo ; 62 
 5357 ; Лотерейный билет "ОСОАВИАХИМА" ; 1939 ;  ;  ;  ; 29 ; я8844 ; 262 
 5358 ; Дорожный чек на 100 рублей ;  ;  ;  ;  ; 43 ; ZIMOGOR ; 90 
 5359 ; 3 рубля ; 1947 ; Гос.казначейский билет ;  ;  ; 44 ; zuza ; 2348 
 5360 ; Облигация в 125 рублей. Общество владикавказской железной дороги ; 1885 ;  ;  ;  ; 26 ; инкогнито ; 714 
 5361 ; Пять облигаций на сумму 625 рублей. Императорское Российское правительство. ; 1889 ;  ;  ;  ; 23 ; инкогнито ; 612 
 5362 ; Облигация в 500 франков. Общество сталелитейной промышленности г.Выборга ; 1898 ;  ;  ;  ; 49 ; luda ; 888 
 5363 ; Акция на 500 франков. Южноуральское металлургическое общество ; 1898 ;  ;  ;  ; 30 ; инкогнито ; 816 
 5364 ; Облигация на 500 франков. Общество трамваев и электрического освещения г.Саратов ; 1907 ;  ;  ;  ; 28 ; инкогнито ; 714 
 5365 ; Облигация в 187 руб. 50 коп. Заем города Харькова ; 1912 ;  ;  ;  ; 55 ; инкогнито ; 2229 
 5366 ; Пять облигаций на сумму 625 рублей. Императорское российское правительство ; 1889 ;  ;  ;  ; 29 ; luda ; 561 
 5367 ; Облигация в 125 рублей. Императорское российское правительство ; 1889 ;  ;  ;  ; 24 ; инкогнито ; 400 
 5368 ; Облигация в 2000 марок. Общество Московско-Казанской железной дороги ; 1911 ;  ;  ;  ; 29 ; svv ; 750 
 5369 ; Акция на 500 франков. Центральное электрическое общество Москвы ; 1899 ;  ;  ;  ; 38 ; инкогнито ; 503 
 5370 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 16 ; инкогнито ; 436 
 5371 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 17 ; trigl ; 225 
 5372 ; 50 рублей ; 1918 ; Заемные билеты.Общество Владикавказской ж/д ;  ; AU ; 23 ; картуш ; 1529 
 5373 ; 25000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 43 ; Artemon ; 999 
 5374 ; 100 рублей ; 1898 ; Коншин 1910 г. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 40 ; смит ; 4099 
 5375 ; 1000 рублей ; 1920 ; Разменные билеты.Исполком Николаевского-на -Амуре округа ;  ;  ; 19 ; Guerras ; 1020 
 5376 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ; AU ; 91 ; yosya ; 1836 
 5377 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 15 ; cr2952 ; 46 
 5378 ; 3 рубля ; 1947 ; Гос.казначейский билет ;  ;  ; 18 ; cr2952 ; 306 
 5379 ; 25 рублей ; 1918 ;  ;  ;  ; 15 ; картуш ; 174 
 5380 ; 25000000 рублей ; 1924 ; Закавказье ;  ;  ; 24 ; картуш ; 716 
 5381 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 5 ; эполит ; 34 
 5382 ; 10 рублей ; 1909 ;  ;  ;  ; 17 ; denis2225 ; 57 
 5383 ; 10000 рублей. Реставрация ; 1921 ; Бухарская Республика ;  ;  ; 23 ; nikfed ; 357 
 5384 ; 1 копейка ; 1976 ;  ;  ;  ; 20 ; stark-2006 ; 128 
 5385 ; 2 копейки ; 1976 ;  ;  ;  ; 24 ; stark-2006 ; 128 
 5386 ; 3 червонца ; 1937 ; Билет ;  ;  ; 25 ; judge ; 1019 
 5387 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 5 ; эполит ; 34 
 5388 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 5 ; эполит ; 34 
 5109 ; 250 рублей ; 1919 ;  ;  ;  ; 12 ; Ratmen ; 355 
 5110 ; 250 рублей ; 1919 ;  ;  ;  ; 26 ; нумизмат ; 514 
 5111 ; 250 рублей ; 1919 ;  ;  ;  ; 20 ; Ритм ; 781 
 5112 ; 250 рублей ; 1919 ;  ;  ;  ; 30 ; Ритм ; 714 
 5113 ; 500 рублей ; 1919 ;  ;  ;  ; 13 ; solder13 ; 542 
 5114 ; 500 рублей ; 1919 ;  ;  ;  ; 25 ; elion3 ; 816 
 5115 ; 500 рублей ; 1919 ;  ;  ;  ; 24 ; sato ; 705 
 5116 ; 500 рублей ; 1918 ;  ;  ;  ; 31 ; нумизмат ; 813 
 5117 ; 1000 рублей ; 1919 ;  ;  ;  ; 32 ; Ритм ; 896 
 5118 ; 1000 рублей ; 1919 ;  ;  ;  ; 26 ; bva150979 ; 520 
 5119 ; 1000 рублей ; 1919 ;  ;  ;  ; 35 ; нумизмат ; 896 
 5120 ; 1000 рублей ; 1919 ;  ;  ;  ; 27 ; sato ; 765 
 5301 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 28 ; 06031983 ; 751 
 5302 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 37 ; zuza ; 835 
 5303 ; 5000 рублей ; 1919 ;  ;  ;  ; 30 ; makcpeyn100 ; 357 
 5304 ; 1 марка серебром ; 1867 ; Финляндия билет ;  ;  ; 31 ; nb ; 5307 
 5305 ; 10 марок золотом ; 1889 ; Финляндия билет ;  ;  ; 42 ; Guerras ; 7590 
 5306 ; 5 марок ; 1909 ; Финляндия билет ;  ;  ; 31 ; val211 ; 456 
 5307 ; 10 рублей ; 1919 ;  ;  ;  ; 35 ; luchsva ; 1381 
 5308 ; 1000 рублей ; 1919 ;  ;  ;  ; 19 ; vesta78 ; 363 
 5309 ; 5000 рублей ; 1919 ;  ;  ;  ; 16 ; bonipari ; 457 
 5310 ; 100 рублей ; 1961 ;  ;  ;  ; 30 ; станислав-август ; 306 
 5311 ; 50 рублей ; 1991 ; билет ;  ;  ; 21 ; judge ; 716 
 5312 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 40 ; judge ; 716 
 5313 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 27 ; 06031983 ; 816 
 5314 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 21 ; 06031983 ; 567 
 5315 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 17 ; кузнец ; 414 
 5316 ; Лот бон 1,3,5 рублей ; 1898-1909 ;  ;  ;  ; 17 ; Carca^ss ; 306 
 5317 ; 10 рублей ; 1918 ; Гос.кредитный билет "Северная Россия" ;  ;  ; 49 ; SANGOLD1 ; 1325 
 5318 ; Лот бон 250 и 10000 рублей ; 1917,1918 ;  ;  ;  ; 21 ; tikhomirius ; 700 
 5319 ; Лот бон 50,100,1000 рублей ; 1919 ;  ;  ;  ; 51 ; НЕВО ; 1886 
 5320 ; Лот бон 250 и 500 рублей ; 1919 ;  ;  ;  ; 31 ; sato ; 773 
 5321 ; 1 копейка ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 38 ; 06031983 ; 501 
 5322 ; 2 копейки ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 14 ; Artemon ; 153 
 5323 ; 5 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 25 ; Mauk ; 137 
 5324 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 11 ; 06031983 ; 90 
 5325 ; Лот деньги-марки 2 шт ;  ;  ;  ;  ; 17 ; victorsa ; 385 
 5326 ; Лот деньги-марки 4 шт ;  ;  ;  ;  ; 18 ; solder13 ; 230 
 5327 ; Лот деньги-марки 4 шт ;  ;  ;  ;  ; 11 ; Trien ; 320 
 5328 ; Лот деньги-марки 4 шт ;  ;  ;  ;  ; 13 ; solder13 ; 357 
 5329 ; Лот бон 14 шт ;  ;  ;  ;  ; 37 ; gelo ; 751 
 5330 ; Лот бон 250,500,1000 рублей ; 1918 ;  ;  ;  ; 16 ; cr2952 ; 306 
 5331 ; Лот бон 25 и 100 рублей ; 1918 ;  ;  ;  ; 17 ; sedoy66 ; 204 
 5332 ; Лот бон 1,3,10 рублей ; 1918 ;  ;  ;  ; 27 ; Запруда ; 1325 
 5333 ; 10 рублей ; 1918 ; Казначейский знак Сибирского временного правительства ;  ;  ; 28 ; SANGOLD1 ; 273 
 5334 ; 500 рублей ; 1992 ; билет ;  ;  ; 22 ; asus ; 227 
 5335 ; Лот бон 4 шт. 5000 и 50000 рублей ; 1995 ;  ;  ;  ; 35 ; judge ; 944 
 5336 ; Лот бон 4 шт. 50 рублей ; 1997 ;  ;  ;  ; 12 ; dim189 ; 1653 
 5337 ; Лот бон 4 шт. 1,3,5,100 рублей ; 1898-1910 ;  ;  ;  ; 9 ; alex241 ; 249 
 5338 ; 1000 рублей ; 1919 ;  ;  ;  ; 38 ; инкогнито ; 464 
 5059 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 11 ; Avdeev13 ; 70 
 5060 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 19 ; sedoy66 ; 102 
 5061 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 17 ; cr2952 ; 50 
 5062 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 11 ; cr2952 ; 50 
 5063 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 15 ; ъхз ; 34 
 5064 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 21 ; t_v_v ; 70 
 5065 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 12 ; cr2952 ; 126 
 5066 ; 3 копейки ; 1915 ; Деньги-марки ;  ; AU ; 22 ; sedoy66 ; 115 
 5067 ; 10 копеек ; 1915 ; Деньги-марки ;  ; AU ; 23 ; val211 ; 73 
 5068 ; 15 копеек ; 1915 ; Деньги-марки ;  ; AU ; 33 ; val211 ; 70 
 5069 ; 3 рубля ; 1919 ; Расчетные знаки РСФСР ;  ; AU ; 18 ; Artemon ; 306 
 5070 ; 50 копеек. Одесса ;  ;  ;  ; AU ; 21 ; RusScat ; 793 
 5071 ; 5 копеек ;  ; Разменные знаки и кредитные билеты Времен.правит.Дальнего Востока ;  ; AU ; 36 ; 333985 ; 509 
 5072 ; 10 копеек ;  ; Разменные знаки и кредитные билеты Времен.правит.Дальнего Востока ;  ; AU ; 37 ; 333985 ; 567 
 5073 ; 3 копейки. Квартблок ; 1915 ; Деньги-марки ;  ; AU ; 22 ; kn157736 ; 459 
 5074 ; 10 копеек. Квартблок ; 1915 ; Деньги-марки ;  ; AU ; 33 ; kn157736 ; 459 
 5075 ; 30 копеек ;  ; Разменные знаки и кредитные билеты Времен.правит.Дальнего Востока ;  ; AU ; 51 ; 333985 ; 601 
 5076 ; 50 копеек ;  ;  ;  ; AU ; 46 ; смит ; 567 
 5077 ; 3 рубля ; 1961 ; Гос.казначейский билет ;  ; AU ; 29 ; bonist-3A ; 242 
 5078 ; 3 рубля. Либавское г.с. ; 1915 ;  ;  ; AU ; 17 ; 333985 ; 465 
 5079 ; 100 рублей ; 1961 ;  ;  ; AU ; 30 ; konst ; 355 
 5080 ; 500 рублей ; 1992 ; билет ;  ; AU ; 23 ; judge ; 431 
 5081 ; 5 рублей ; 1918 ; Казначейский знак Сибирского временного правительства ;  ; AU ; 33 ; смит ; 1430 
 5082 ; 10 рублей ; 1918 ; Казначейский знак Сибирского временного правительства ;  ; AU ; 27 ; смит ; 700 
 5083 ; 10 рублей ; 1918 ; Казначейский знак Сибирского временного правительства ;  ; AU ; 24 ; смит ; 510 
 5084 ; 100 рублей. Чита ; 1920 ;  ;  ; AU ; 18 ; judge ; 1020 
 5085 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ; AU ; 20 ; картуш ; 735 
 5086 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ; AU ; 20 ; картуш ; 735 
 5087 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 12 ; cr2952 ; 72 
 5088 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 17 ; gelo ; 113 
 5089 ; 10 рублей ; 1920 ; Разменные знаки и кредитные билеты Времен.правит.Дальнего Востока ;  ;  ; 33 ; картуш ; 1019 
 5090 ; 25 рублей ; 1918 ; 2 подписи Гос.кредитные билеты(не выпущены) ;  ;  ; 28 ; картуш ; 873 
 5091 ; 100 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 30 ; judge ; 1020 
 5092 ; 1000 рублей ; 1920 ; Денежный знак Дальне-Восточной республики ;  ;  ; 37 ; картуш ; 3026 
 5093 ; 50 марок. Ковно ; 1918 ;  ;  ;  ; 13 ; bonipari ; 691 
 5094 ; 100 марок. Ковно ; 1918 ;  ;  ;  ; 21 ; nikfed ; 958 
 5095 ; 10000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 21 ; РОМАШКА ; 714 
 5096 ; 1000 рублей ; 1918 ;  ;  ;  ; 36 ; кве ; 6555 
 5097 ; 500 рублей ; 1918 ;  ;  ;  ; 26 ; кве ; 5667 
 5098 ; 1000 рублей ; 1917 ; 5% кр.обязательства ;  ;  ; 20 ; кве ; 3063 
 5099 ; 1000 рублей ; 1917 ; 5% кр.обязательства ;  ;  ; 18 ; кве ; 3063 
 5100 ; 1000 рублей ; 1917 ; 5% кр.обязательства ;  ;  ; 15 ; кве ; 3063 
 5101 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 14 ; bonipari ; 50 
 5102 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 20 ; ъхз ; 42 
 5103 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 19 ; нв1975 ; 102 
 5104 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 19 ; парам ; 72 
 5105 ; 25 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 9 ; max2008 ; 253 
 5106 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 19 ; makcpeyn100 ; 235 
 5107 ; купоны (10шт) ;  ;  ;  ;  ; 14 ; stark-2006 ; 71 
 5108 ; 100 рублей ; 1919 ;  ;  ;  ; 30 ; НЕВО ; 1587 
 5009 ; 30 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 35 ; картуш ; 645 
 5010 ; 1 цент ; 1922 ; Литва ;  ;  ; 19 ; nikfed ; 531 
 5011 ; 50 центов ; 1922 ; Литва ;  ;  ; 24 ; elion3 ; 714 
