 5647 ; Конверт со спецгашением Гренландия ;  ;  ;  ;  ; 11 ; гоша334 ; 102 
 5626 ; Почтовая карточка Германия ;  ;  ;  ;  ; 17 ; attila375 ; 124 
 5627 ; Почтовая карточка Дания ; 1905 ;  ;  ;  ; 14 ; flutter ; 407 
 5628 ; Почтовая карточка Германия ; 1900 ;  ;  ;  ; 7 ; цеховик ; 57 
 5629 ; Почтовая карточка Дания ; 1911 ;  ;  ;  ; 9 ; фрегат ; 45 
 5630 ; Почтовая карточка Дания ; 1911 ;  ;  ;  ; 5 ; фрегат ; 45 
 5631 ; Почтовая карточка Швеция ; 1908 ;  ;  ;  ; 3 ; цеховик ; 44 
 5632 ; Почтовая карточка Италия ; 1924 ;  ;  ;  ; 11 ; Ronald ; 49 
 5633 ; Почтовая карточка Новогодняя 1902 ;  ;  ;  ;  ; 13 ; morozenka ; 90 
 5634 ; Почтовая карточка Новогодняя ;  ;  ;  ;  ; 16 ; denis.davydov ; 100 
 5635 ; Почтовая карточка Новогодняя 1908 ;  ;  ;  ;  ; 9 ; morozenka ; 79 
 5636 ; Почтовая карточка Новогодняя 1910 ;  ;  ;  ;  ; 12 ; krass ; 86 
 5637 ; Почтовая карточка Новогодняя 1910 ;  ;  ;  ;  ; 17 ; Sky2 ; 133 
 5638 ; Почтовая карточка Новогодняя ;  ;  ;  ;  ; 12 ; morozenka ; 72 
 5639 ; Почтовая карточка ;  ;  ;  ;  ; 26 ; ZIMOGOR ; 157 
 5640 ; Почтовая карточка ;  ;  ;  ;  ; 17 ; никсер ; 33 
 5641 ; Почтовая карточка ;  ;  ;  ;  ; 3 ; krass ; 21 
 5642 ; Почтовая карточка ;  ;  ;  ;  ; 19 ; никсер ; 55 
 5643 ; Почтовая карточка ;  ;  ;  ;  ; 11 ; никсер ; 46 
 5644 ; Почтовая карточка ;  ;  ;  ;  ; 11 ; ulf ; 141 
 5645 ; Конверт со спецгашением Гренландия ;  ;  ;  ;  ; 7 ; to-to ; 114 
 5646 ; Конверт со спецгашением Гренландия ;  ;  ;  ;  ; 5 ; гоша334 ; 61 
 5547 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 21 ; krass ; 306 
 5548 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 20 ; krass ; 250 
 5549 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 29 ; магаз ; 191 
 5550 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 24 ; krass ; 273 
 5551 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 12 ; магаз ; 147 
 5552 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 10 ; sos1 ; 485 
 5553 ; Лот нотгельдов ( 9шт.) ;  ;  ;  ;  ; 15 ; smel ; 355 
 5554 ; Лот бон 18 шт ;  ;  ;  ;  ; 22 ; Ostriy ; 278 
 5555 ; Лот бон союза бонистов 2 шт ;  ;  ;  ; AU ; 25 ; Andreyspb ; 114 
 5556 ; Акция. США ;  ;  ;  ;  ; 8 ; denis.davydov ; 101 
 5557 ; Акция. США ;  ;  ;  ;  ; 6 ; denis.davydov ; 101 
 5558 ; Акция. США ;  ;  ;  ;  ; 5 ; denis.davydov ; 73 
 5559 ; Акция. США ;  ;  ;  ;  ; 7 ; denis.davydov ; 67 
 5560 ; Акция. США ;  ;  ;  ;  ; 11 ; denis.davydov ; 90 
 5561 ; Бумага ценная Германия ; 1943 ;  ;  ;  ; 19 ; denis.davydov ; 74 
 5562 ; Бумага ценная Германия ; 1927 ;  ;  ;  ; 19 ; denis.davydov ; 73 
 5563 ; Конверт Марокко ; 1927 ;  ;  ;  ; 18 ; bezop144 ; 66 
 5564 ; Конверт Великобритания ;  ;  ;  ;  ; 41 ; пинокио ; 1632 
 5565 ; Конверт Швеция ; 1944 ;  ;  ;  ; 12 ; Приор ; 101 
 5566 ; Конверт Исландия ; 1948 ;  ;  ;  ; 12 ; Приор ; 379 
 5567 ; Конверт Япония ; 1959 ;  ;  ;  ; 12 ; tpls ; 102 
 5568 ; Конверт Норвегия ; 1942 ;  ;  ;  ; 7 ; krass ; 31 
 5569 ; Конверт сувенирный Исландия (кожа) ; 1972 ;  ;  ;  ; 9 ; von_Schwarz ; 74 
 5570 ; Конверт со спец. Гашением (5 штук) Советская антарктическая экспедиция "Молодёжная" 21..11.88 ;  ;  ;  ;  ; 28 ; igor_r65 ; 858 
 5571 ; Конверт со спец. Гашением  (3 штуки) SOUTH POLE STATION 27 .11. 1988 ;  ;  ;  ;  ; 17 ; igor_r65 ; 114 
 5572 ; Конверт со спец. Гашением (2 штуки) Мурманск 38. Атомный ледокол "Россия" 1989 год ;  ;  ;  ;  ; 9 ; igor_r65 ; 68 
 5573 ; Конверт со спец. Гашением ANTARTIDA ARGENTINA 2 .02. 1974 ;  ;  ;  ;  ; 23 ; igor_r65 ; 141 
 5574 ; Конверт со спец. Гашением BASE BROWN - Antartida 11.12.76 ;  ;  ;  ;  ; 5 ; igor_r65 ; 114 
 5575 ; Конверт со спец. Гашением (с вложением) СФЭ "Молодёжная" 21.02.89 ;  ;  ;  ;  ; 5 ; igor_r65 ; 28 
 5576 ; Конверт со спец. Гашением (2 штуки, запечатаны) ICE BREAKER SHIRASE 1986-87, SWEDARP 2003 ;  ;  ;  ;  ; 7 ; igor_r65 ; 114 
 5577 ; Конверт со спец. Гашением (2 штуки)  "ледокол Ямал 1993", Новолазаревская 03.06..96 ;  ;  ;  ;  ; 5 ; igor_r65 ; 45 
 5578 ; Почтовая карточка (2 штуки)  200 лет с д.р. Беллинсгаузена 1978 год, Северный полюс-31,  25.07.91 ;  ;  ;  ;  ; 5 ; igor_r65 ; 114 
 5579 ; Почтовая карточка (2 штуки) 8.12.1988, Клуб радиопутешествий 1982 г. ;  ;  ;  ;  ; 3 ; гоша334 ; 41 
 5580 ; Конверт со спец. Гашением BREMERHAVEN 29-9.1984 ;  ;  ;  ;  ; 2 ; SER 888 ; 3 
 5581 ; Конверт со спец. Гашением 80 лет со дня рождения Мате Залке 23.04.1976 ;  ;  ;  ;  ; 2 ; vladmarkin ; 3 
 5582 ; Конверт со спец. Гашением100 лет со дня рождения Академика Н.Н.Бурденко (1976) ;  ;  ;  ;  ; 3 ; гоша334 ; 21 
 5583 ; Конверт со спец. Гашением Международная филателистическая выставка "СОЦФИЛЭКС - 76" (07.05.1976) ;  ;  ;  ;  ; 1 ; SER 888 ; 2 
 5584 ; Конверт со спец. Гашением 150 лет со дня рождения М.Е. Салтыков-Щедрин 27.01.1976 ;  ;  ;  ;  ; 1 ; SER 888 ; 2 
 5585 ; Конверт со спец. Гашением   19-29 05 1976  4 Международный кинофестиваль ;  ;  ;  ;  ; 1 ; SER 888 ; 2 
 5586 ; Конверт со спец. Гашением Юж. Полюс ст."Молодёжная" 26.12.1974 ;  ;  ;  ;  ; 5 ; vladmarkin ; 21 
 5587 ; Конверт со спец. Гашением  "Антарктида. Мирный" 01.12.58 ;  ;  ;  ;  ; 3 ; krass ; 21 
 5588 ; Конверт со спец. Гашением "Москва-город-герой" 11.11.76 ;  ;  ;  ;  ; 1 ; SER 888 ; 2 
 5589 ; Конверт со спец. Гашением "Филателистическая выставка 24.11 - 7.12.1974" ;  ;  ;  ;  ; 1 ; SER 888 ; 2 
 5590 ; Конверт со спец. Гашением INSTITUTO ANTARCTICO URUGUAYO 10 NOV 1988 ;  ;  ;  ;  ; 3 ; vladmarkin ; 21 
 5591 ; Лот конвертов со спецгашением (с вложением) 2шт ;  ;  ;  ;  ; 3 ; SER 888 ; 10 
 5592 ; Почтовая карточка "Антарктида, Восток" 16.01.74 ;  ;  ;  ;  ; 3 ; oleghh7 ; 21 
 5593 ; Почтовая карточка ;  ;  ;  ;  ; 20 ; Sky2 ; 263 
 5594 ; Почтовая карточка ;  ;  ;  ;  ; 19 ; Sky2 ; 174 
 5595 ; Почтовая карточка ;  ;  ;  ;  ; 6 ; цеховик ; 26 
 5596 ; Почтовая карточка ;  ;  ;  ;  ; 8 ; Sky2 ; 113 
 5497 ; Бона иностранная. Китай ;  ;  ;  ;  ; 15 ; 2128508 ; 255 
 5498 ; Бона иностранная. Иран ;  ;  ;  ;  ; 11 ; bezop144 ; 39 
 5499 ; Бона иностранная. Иран ;  ;  ;  ;  ; 11 ; 2128508 ; 77 
 5500 ; Бона иностранная. Иран ;  ;  ;  ;  ; 15 ; 2128508 ; 83 
 5501 ; Бона иностранная. Иран ;  ;  ;  ;  ; 8 ; магаз ; 34 
 5502 ; Бона иностранная. Турция ;  ;  ;  ;  ; 7 ; SER 888 ; 40 
 5503 ; Бона иностранная. Турция ;  ;  ;  ;  ; 11 ; 2128508 ; 40 
 5504 ; Бона иностранная. Турция ;  ;  ;  ;  ; 7 ; 2128508 ; 40 
 5505 ; Бона иностранная. Турция ;  ;  ;  ;  ; 18 ; SER 888 ; 40 
 5506 ; Бона иностранная. Турция ;  ;  ;  ;  ; 8 ; 2128508 ; 40 
 5507 ; Бона иностранная. Турция ;  ;  ;  ;  ; 18 ; dimon-2007 ; 50 
 5508 ; Бона иностранная. Турция ;  ;  ;  ;  ; 9 ; SER 888 ; 40 
 5509 ; Бона иностранная. Турция ;  ;  ;  ;  ; 13 ; MAPKu3 ; 41 
 5510 ; Бона иностранная. Германия ;  ;  ;  ;  ; 30 ; Четырехлистник ; 62 
 5511 ; Бона иностранная. Германия ;  ;  ;  ;  ; 21 ; Четырехлистник ; 62 
 5512 ; Бона иностранная. Германия ;  ;  ;  ;  ; 10 ; А.А.Д ; 40 
 5513 ; Бона иностранная. Кувейт ;  ;  ;  ;  ; 8 ; URKK ; 61 
 5514 ; Бона иностранная. Вьетнам ;  ;  ;  ;  ; 13 ; 333985 ; 68 
 5515 ; Бона иностранная. Греция ;  ;  ;  ;  ; 14 ; А.А.Д ; 40 
 5516 ; Бона иностранная. Греция ;  ;  ;  ;  ; 28 ; cr3041 ; 111 
 5517 ; Бона иностранная. Греция ;  ;  ;  ;  ; 13 ; А.А.Д ; 40 
 5518 ; Бона иностранная. Греция ;  ;  ;  ;  ; 20 ; магаз ; 105 
 5519 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 16 ; prostor.71 ; 47 
 5520 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 34 ; Magger ; 77 
 5521 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 24 ; Magger ; 65 
 5522 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 19 ; dimon-2007 ; 101 
 5523 ; Бона иностранная. Перу ;  ;  ;  ;  ; 8 ; Вадим Скифский ; 41 
 5524 ; Бона иностранная. Перу ;  ;  ;  ;  ; 5 ; Вадим Скифский ; 40 
 5525 ; Бона иностранная. Перу ;  ;  ;  ;  ; 21 ; Jon Snow ; 50 
 5526 ; Бона иностранная. Перу ;  ;  ;  ;  ; 18 ; магаз ; 35 
 5527 ; Бона иностранная. Перу ;  ;  ;  ;  ; 10 ; магаз ; 31 
 5528 ; Бона иностранная. Перу ;  ;  ;  ;  ; 12 ; bezop144 ; 34 
 5529 ; Бона иностранная. Перу ;  ;  ;  ;  ; 7 ; hoop ; 31 
 5530 ; Бона иностранная. Перу ;  ;  ;  ;  ; 14 ; hoop ; 34 
 5531 ; Бона иностранная. Перу ;  ;  ;  ;  ; 11 ; магаз ; 31 
 5532 ; Бона иностранная. Монголия ;  ;  ;  ;  ; 10 ; hoop ; 30 
 5533 ; Бона иностранная. Монголия ;  ;  ;  ;  ; 9 ; MAPKu3 ; 30 
 5534 ; Бона иностранная. Перу ;  ;  ;  ;  ; 12 ; MAPKu3 ; 30 
 5535 ; Бона иностранная. Зимбабве ;  ;  ;  ;  ; 17 ; dimon-2007 ; 77 
 5536 ; Бона иностранная. Зимбабве ;  ;  ;  ;  ; 18 ; ABUS ; 101 
 5537 ; Бона иностранная. Зимбабве ;  ;  ;  ;  ; 7 ; 4758 ; 41 
 5538 ; Бона иностранная. Йемен ;  ;  ;  ;  ; 9 ; 333985 ; 36 
 5539 ; Бона иностранная. Непал ;  ;  ;  ;  ; 13 ; bezop144 ; 34 
 5540 ; Бона иностранная. Непал ;  ;  ;  ;  ; 9 ; магаз ; 25 
 5541 ; Бона иностранная. Непал ;  ;  ;  ;  ; 7 ; SER 888 ; 40 
 5542 ; Бона иностранная. Непал ;  ;  ;  ;  ; 11 ; bezop144 ; 41 
 5543 ; Бона иностранная. Непал ;  ;  ;  ;  ; 12 ; dimon-2007 ; 51 
 5544 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 26 ; vladmarkin ; 237 
 5545 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 29 ; vladmarkin ; 227 
 5546 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 16 ; vladmarkin ; 203 
 5447 ; Бона иностранная. Филиппины ;  ;  ;  ;  ; 14 ; 4758 ; 53 
 5448 ; Бона иностранная. Великобритания ;  ;  ;  ;  ; 23 ; А.А.Д ; 43 
 5449 ; Бона иностранная. Великобритания ;  ;  ;  ;  ; 14 ; А.А.Д ; 40 
 5450 ; Бона иностранная. Великобритания ;  ;  ;  ;  ; 17 ; bezop144 ; 64 
 5451 ; Бона иностранная. Великобритания ;  ;  ;  ;  ; 9 ; А.А.Д ; 40 
 5452 ; Бона иностранная. Эфиопия ;  ;  ;  ;  ; 10 ; птичка16 ; 105 
 5453 ; Бона иностранная. Камбоджа ;  ;  ;  ;  ; 21 ; 4758 ; 24 
 5454 ; Бона иностранная. Камбоджа ;  ;  ;  ;  ; 15 ; bezop144 ; 39 
 5455 ; Бона иностранная. Камбоджа ;  ;  ;  ;  ; 7 ; 4758 ; 31 
 5456 ; Бона иностранная. Пакистан ;  ;  ;  ;  ; 11 ; hoop ; 30 
 5457 ; Бона иностранная. Пакистан ;  ;  ;  ;  ; 6 ; hoop ; 31 
 5458 ; Бона иностранная. Пакистан ;  ;  ;  ;  ; 5 ; SER 888 ; 30 
 5459 ; Бона иностранная. Пакистан ;  ;  ;  ;  ; 7 ; 2128508 ; 90 
 5460 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 31 ; Magger ; 225 
 5461 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 19 ; Ostriy ; 68 
 5462 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 22 ; alesjane ; 105 
 5463 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 16 ; Jek327 ; 70 
 5464 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 17 ; Ostriy ; 50 
 5465 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 26 ; bezop144 ; 51 
 5466 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 35 ; diskus72 ; 87 
 5467 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 32 ; alesjane ; 69 
 5468 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 16 ; cr3041 ; 114 
 5469 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 45 ; drmpavlov ; 261 
 5470 ; Бона иностранная. Ямайка ;  ;  ;  ;  ; 7 ; ZIMOGOR ; 40 
 5471 ; Бона иностранная. Босния и Герцеговина ;  ;  ;  ;  ; 3 ; 4758 ; 90 
 5472 ; Бона иностранная. Гвинея ;  ;  ;  ;  ; 38 ; Ostriy ; 101 
 5473 ; Бона иностранная. Гвинея ;  ;  ;  ;  ; 18 ; Ostriy ; 101 
 5474 ; Бона иностранная. Индия ;  ;  ;  ;  ; 5 ; SER 888 ; 30 
 5475 ; Бона иностранная. Индия ;  ;  ;  ;  ; 19 ; dimon-2007 ; 60 
 5476 ; Бона иностранная. Кабо Верде ;  ;  ;  ;  ; 12 ; URKK ; 79 
 5477 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 20 ; птичка16 ; 500 
 5478 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 13 ; птичка16 ; 500 
 5479 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 25 ; магаз ; 106 
 5480 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 15 ; трутень ; 186 
 5481 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 19 ; Jek327 ; 61 
 5482 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 11 ; магаз ; 38 
 5483 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 7 ; ABUS ; 30 
 5484 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 7 ; магаз ; 10 
 5485 ; Бона иностранная. Польша ;  ;  ;  ;  ; 15 ; asus ; 152 
 5486 ; Бона иностранная. Польша ;  ;  ;  ;  ; 11 ; BSR ; 200 
 5487 ; Бона иностранная. Польша ;  ;  ;  ;  ; 25 ; asus ; 168 
 5488 ; Бона иностранная. Польша ;  ;  ;  ;  ; 24 ; трутень ; 101 
 5489 ; Бона иностранная. Польша ;  ;  ;  ;  ; 43 ; 4758 ; 89 
 5490 ; Бона иностранная. Польша ;  ;  ;  ;  ; 11 ; 1gold ; 100 
 5491 ; Бона иностранная. Польша ;  ;  ;  ;  ; 31 ; asus ; 510 
 5492 ; Бона иностранная. Китай ;  ;  ;  ;  ; 8 ; 4758 ; 62 
 5493 ; Бона иностранная. Китай ;  ;  ;  ;  ; 11 ; class ; 204 
 5494 ; Бона иностранная. Китай ;  ;  ;  ;  ; 7 ; class ; 204 
 5495 ; Бона иностранная. Китай ;  ;  ;  ;  ; 14 ; 4758 ; 26 
 5496 ; Бона иностранная. Китай ;  ;  ;  ;  ; 18 ; diskus72 ; 261 
 5397 ; Лот бон Испания 3 шт ; 1925-28 ;  ;  ;  ; 26 ; SKH ; 328 
 5398 ; Лот бон Австро-Венгрия 5 шт ; 1917-45 ;  ;  ;  ; 20 ; ufa ; 261 
 5399 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 25 ; Вадим Скифский ; 155 
 5400 ; Лот бон Германия 5 шт ; 1910-23 ;  ;  ;  ; 22 ; kop ; 272 
 5401 ; Бона иностранная. Франция ;  ;  ;  ;  ; 16 ; 333985 ; 226 
 5402 ; Бона иностранная Франция ;  ;  ;  ;  ; 15 ; сын дуремара ; 159 
 5403 ; Бона иностранная. Франция ;  ;  ;  ;  ; 19 ; 333985 ; 159 
 5404 ; Бона иностранная. Великобритания ;  ;  ;  ;  ; 27 ; 333985 ; 212 
 5405 ; Бона иностранная. Люксембург ;  ;  ;  ;  ; 45 ; alesjane ; 294 
 5406 ; Бона иностранная. Дания ;  ;  ;  ;  ; 24 ; URKK ; 169 
 5407 ; Бона иностранная. Дания ;  ;  ;  ;  ; 16 ; птичка16 ; 200 
 5408 ; Бона иностранная. Исландия ;  ;  ;  ;  ; 7 ; велес ; 101 
 5409 ; Бона иностранная. Канада ;  ;  ;  ;  ; 7 ; 333985 ; 99 
 5410 ; Бона иностранная Монголия ; 1955 ;  ;  ; AU ; 21 ; arusakov02 ; 170 
 5411 ; Чек  Монголия ;  ;  ;  ;  ; 7 ; Olimpia ; 79 
 5412 ; Бона иностранная Суринам ; 1963 ;  ;  ;  ; 19 ; Папа с рацией ; 51 
 5413 ; Бона иностранная Суринам ; 1997 ;  ;  ;  ; 99 ; smel ; 987 
 5414 ; Бона иностранная Суринам ; 1984 ;  ;  ;  ; 15 ; sifirot ; 114 
 5415 ; 100 динар Югославия ; 1929 ;  ;  ;  ; 10 ; pref ; 41 
 5416 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 18 ; SER 888 ; 43 
 5417 ; Лот нотгельдов Германия 6 шт ;  ;  ;  ;  ; 11 ; vladmarkin ; 115 
 5418 ; Бона иностранная. Германия ;  ;  ;  ;  ; 56 ; Magger ; 141 
 5419 ; Бона иностранная. Германия ;  ;  ;  ;  ; 21 ; А.А.Д ; 40 
 5420 ; Бона иностранная. Германия ;  ;  ;  ;  ; 16 ; А.А.Д ; 40 
 5421 ; Бона иностранная. Германия ;  ;  ;  ;  ; 36 ; СебастьянПерейро ; 87 
 5422 ; Бона иностранная. Германия ;  ;  ;  ;  ; 17 ; А.А.Д ; 40 
 5423 ; Бона иностранная. Германия ;  ;  ;  ;  ; 20 ; А.А.Д ; 61 
 5424 ; Сувенирная бона-дерево ;  ;  ;  ;  ; 13 ; Roskur ; 200 
 5425 ; Сувенирная бона-дерево ;  ;  ;  ;  ; 9 ; Roskur ; 200 
 5426 ; Бона иностранная. Мадагаскар ;  ;  ;  ;  ; 29 ; 4758 ; 53 
 5427 ; Бона иностранная. Мадагаскар ;  ;  ;  ;  ; 25 ; 4758 ; 55 
 5428 ; Бона иностранная. Мадагаскар ;  ;  ;  ;  ; 23 ; dimon-2007 ; 137 
 5429 ; Бона иностранная. ЮАР ;  ;  ;  ;  ; 11 ; 4758 ; 99 
 5430 ; Бона иностранная. ЮАР ;  ;  ;  ;  ; 11 ; Roskur ; 104 
 5431 ; Бона иностранная. Гонконг ;  ;  ;  ;  ; 13 ; 333985 ; 181 
 5432 ; Бона иностранная. Гонконг ;  ;  ;  ;  ; 7 ; 2128508 ; 203 
 5433 ; Бона иностранная. Колумбия ;  ;  ;  ;  ; 27 ; krass ; 138 
 5434 ; Бона иностранная. Суринам ;  ;  ;  ;  ; 21 ; магаз ; 89 
 5435 ; Бона иностранная. Сомали ;  ;  ;  ;  ; 9 ; 4758 ; 41 
 5436 ; Бона иностранная. Словения ;  ;  ;  ;  ; 12 ; sifirot ; 50 
 5437 ; Бона иностранная. Словения ;  ;  ;  ;  ; 7 ; hoop ; 31 
 5438 ; Бона иностранная. Татарстан ;  ;  ;  ;  ; 11 ; Jon Snow ; 84 
 5439 ; Бона иностранная. Македония ;  ;  ;  ;  ; 9 ; SER 888 ; 34 
 5440 ; Бона иностранная. Македония ;  ;  ;  ;  ; 7 ; SER 888 ; 34 
 5441 ; Бона иностранная. Замбия ;  ;  ;  ;  ; 8 ; hoop ; 41 
 5442 ; Бона иностранная. Замбия ;  ;  ;  ;  ; 5 ; птичка16 ; 100 
 5443 ; Бона иностранная. Замбия ;  ;  ;  ;  ; 24 ; bezop144 ; 61 
 5444 ; Бона иностранная. Судан ;  ;  ;  ;  ; 25 ; 333985 ; 50 
 5445 ; Бона иностранная. Саудовская  Аравия ;  ;  ;  ;  ; 9 ; 333985 ; 54 
 5446 ; Бона иностранная. Филиппины ;  ;  ;  ;  ; 13 ; dimon-2007 ; 79 
 5347 ; Лот нотгельдов Германия 6 шт ;  ;  ;  ;  ; 35 ; cr3041 ; 186 
 5348 ; Лот нотгельдов Германия 6 шт ;  ;  ;  ;  ; 10 ; sos1 ; 378 
 5349 ; Лот нотгельдов Германия 6 шт ;  ;  ;  ;  ; 10 ; sos1 ; 378 
 5350 ; Лот нотгельдов Германия 6 шт ;  ;  ;  ;  ; 26 ; flutter ; 232 
 5351 ; Нотгельд Германия ; 1922 ;  ;  ;  ; 22 ; flutter ; 79 
 5352 ; Нотгельд Германия ; 1922 ;  ;  ;  ; 13 ; vladmarkin ; 64 
 5353 ; Нотгельд Германия ; 1922 ;  ;  ;  ; 14 ; flutter ; 79 
 5354 ; Нотгельд Германия ; 1921 ;  ;  ;  ; 19 ; flutter ; 153 
 5355 ; Нотгельд Германия ; 1921 ;  ;  ;  ; 11 ; sos1 ; 120 
 5356 ; Нотгельд Германия ; 1921 ;  ;  ;  ; 15 ; sos1 ; 123 
 5357 ; Лот нотгельдов Германия 6 шт ;  ;  ;  ;  ; 23 ; sifirot ; 306 
 5358 ; Лот нотгельдов Германия 12 шт ;  ;  ;  ;  ; 13 ; sos1 ; 258 
 5359 ; Бона иностранная Франция ; 1942 ;  ;  ;  ; 66 ; Нумик2016 ; 271 
 5360 ; Бона иностранная Франция ; 1984 ;  ;  ;  ; 25 ; Нумик2016 ; 216 
 5361 ; Бона иностранная Франция ; 1997 ;  ;  ;  ; 30 ; Нумик2016 ; 222 
 5362 ; Бона иностранная Франция ; 1941 ;  ;  ;  ; 35 ; Нумик2016 ; 114 
 5363 ; Бона иностранная Франция ; 1940 ;  ;  ;  ; 23 ; Нумик2016 ; 93 
 5364 ; Бона иностранная Франция ; 1943 ;  ;  ;  ; 24 ; Нумик2016 ; 177 
 5365 ; Бона иностранная Австрия ; 1902 ;  ;  ;  ; 23 ; Magger ; 79 
 5366 ; Бона иностранная Австрия ; 1912 ;  ;  ;  ; 60 ; Magger ; 104 
 5367 ; Бона иностранная Австрия ; 1962 ;  ;  ;  ; 28 ; alesjane ; 206 
 5368 ; Бона иностранная Австрия ; 1967 ;  ;  ;  ; 11 ; SKH ; 108 
