 4828 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 42 ; jj ; 74 
 4582 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Юбер ; 31 
 4583 ; Бона иностранная ;  ;  ;  ;  ; 8 ; raise ; 32 
 4584 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4004 ; 21 
 4585 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4004 ; 21 
 4586 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4004 ; 20 
 4587 ; Бона иностранная ;  ;  ;  ;  ; 12 ; smel ; 47 
 4801 ; Бона иностранная. Германия ; 1918 ;  ;  ;  ; 85 ; smel ; 261 
 4802 ; Лот иностранных бон. Германия. 3 шт ; 1908 ;  ;  ;  ; 86 ; pro1 ; 155 
 4803 ; Бона иностранная ;  ;  ;  ;  ; 10 ; RusScat ; 79 
 4804 ; Бона иностранная. Германия ; 1919 ;  ;  ;  ; 12 ; RusScat ; 159 
 4805 ; Бона иностранная. Германия ; 1906 ;  ;  ;  ; 18 ; advokatx ; 150 
 4806 ; Лот иностранных бон. Германия. 3 шт ; 1910 ;  ;  ;  ; 72 ; Nejdan ; 261 
 4807 ; Бона иностранная. Германия ; 1922 ;  ;  ;  ; 25 ; advokatx ; 408 
 4808 ; Бона иностранная. Германия ; 1922 ;  ;  ;  ; 48 ; kostik_ne ; 155 
 4809 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 26 ; kostik_ne ; 88 
 4810 ; Бона иностранная. Германия ; 1922 ;  ;  ;  ; 9 ; Юбер ; 159 
 4811 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 8 ; kostik_ne ; 222 
 4812 ; Бона иностранная. Германия ; 1922 ;  ;  ;  ; 12 ; kostik_ne ; 175 
 4813 ; Бона иностранная. Германия ; 1918 ;  ;  ;  ; 53 ; advokatx ; 97 
 4814 ; Бона иностранная. Германия ; 1915 ;  ;  ;  ; 10 ; RusScat ; 93 
 4815 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 7 ; Юбер ; 51 
 4816 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 52 ; zuza ; 153 
 4817 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 8 ; Юбер ; 51 
 4818 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 9 ; RusScat ; 87 
 4819 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 12 ; RusScat ; 73 
 4820 ; Бона иностранная. Германия ; 1920 ;  ;  ;  ; 8 ; Юбер ; 51 
 4821 ; Бона иностранная. Германия ; 1922 ;  ;  ;  ; 48 ; RusScat ; 95 
 4822 ; Лот иностранных бон. Германия. 3 шт ; 1923 ;  ;  ;  ; 17 ; pion-61 ; 74 
 4823 ; Бона иностранная. Германия ; 1922 ;  ;  ;  ; 11 ; Юбер ; 60 
 4824 ; Лот иностранных бон. Германия. 3 шт ; 1917 ;  ;  ;  ; 37 ; Опятор ; 93 
 4825 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 8 ; Юбер ; 51 
 4826 ; Лот иностранных бон. Германия. 5 шт ; 1920 ;  ;  ;  ; 10 ; afanas ; 54 
 4827 ; Бона иностранная. Германия ; 1922 ;  ;  ;  ; 22 ; SANGOLD1 ; 53 
 4515 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Юбер ; 32 
 4516 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Юбер ; 34 
 4517 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Юбер ; 31 
 4518 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Юбер ; 32 
 4519 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Юбер ; 33 
 4520 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Юбер ; 36 
 4521 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Юбер ; 31 
 4522 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Юбер ; 32 
 4523 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Юбер ; 38 
 4524 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Юбер ; 44 
 4525 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4004 ; 21 
 4526 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Юбер ; 32 
 4527 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 4004 ; 24 
 4528 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4004 ; 21 
 4529 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4004 ; 24 
 4530 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4004 ; 23 
 4531 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4004 ; 23 
 4532 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4004 ; 22 
 4533 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Юбер ; 41 
 4534 ; Бона иностранная ;  ;  ;  ;  ; 10 ; smel ; 40 
 4535 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Юбер ; 35 
 4536 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Юбер ; 32 
 4537 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Юбер ; 32 
 4538 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Юбер ; 33 
 4539 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Юбер ; 32 
 4540 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Юбер ; 29 
 4541 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Юбер ; 21 
 4542 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 4004 ; 28 
 4543 ; Бона иностранная ;  ;  ;  ;  ; 17 ; 4004 ; 21 
 4544 ; Бона иностранная ;  ;  ;  ;  ; 7 ; smel ; 60 
 4545 ; Бона иностранная ;  ;  ;  ;  ; 13 ; advokatx ; 63 
 4546 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Юбер ; 32 
 4547 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Юбер ; 33 
 4548 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 4004 ; 27 
 4549 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Юбер ; 40 
 4550 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Юбер ; 32 
 4551 ; Бона иностранная ;  ;  ;  ;  ; 22 ; raise ; 33 
 4552 ; Бона иностранная ;  ;  ;  ;  ; 5 ; smel ; 38 
 4553 ; Бона иностранная ;  ;  ;  ;  ; 8 ; smel ; 36 
 4554 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Юбер ; 51 
 4555 ; Бона иностранная ;  ;  ;  ;  ; 14 ; advokatx ; 49 
 4556 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Юбер ; 51 
 4557 ; Бона иностранная ;  ;  ;  ;  ; 5 ; raise ; 41 
 4558 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Юбер ; 32 
 4559 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 4004 ; 31 
 4560 ; Бона иностранная ;  ;  ;  ;  ; 11 ; advokatx ; 57 
 4561 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 4004 ; 21 
 4562 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Юбер ; 55 
 4563 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 4004 ; 31 
 4564 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 4004 ; 21 
 4341 ; 1 рубль ; 1919 ; Латвия. Обязательство гос.казначейства ;  ;  ; 21 ; ЛАВ-13 ; 320 
 4342 ; Бона 3 рубля. Либавское городское самоуправление ; 1915 ;  ;  ;  ; 39 ; ЛАВ-13 ; 624 
 4343 ; 5 копеек ; 1920 ; Латвия. Разменный знак ;  ;  ; 21 ; monos72 ; 197 
 4344 ; Бона 3 коп.Либавское городское самоуправление ;  ;  ;  ;  ; 86 ; ЛАВ-13 ; 378 
 4345 ; Бона 10 марок. Финляндия ;  ;  ;  ;  ; 29 ; okotv ; 107 
 4346 ; 500 рублей ; 1920 ;  ;  ;  ; 61 ; МАВ9 ; 5775 
 4347 ; 1 рубль ; 1918 ;  ;  ;  ; 88 ; комот ; 1734 
 4348 ; Бона 250 рублей Армения ; 1919 ;  ;  ;  ; 31 ; МАВ9 ; 517 
 4349 ; 500 рублей ; 1919 ;  ;  ;  ; 39 ; geracon2009 ; 227 
 4350 ; 50 рублей ; 1919 ;  ;  ;  ; 31 ; Nejdan ; 62 
 4351 ; Лот 2 шт.1 и 3 рубля Оренбург ; 1918 ;  ;  ;  ; 48 ; Виталий 64 ; 1300 
 4352 ; Бона 1 рубль ; 1920 ;  ;  ;  ; 43 ; ЛАВ-13 ; 864 
 4353 ; 10 рублей ; 1919 ;  ;  ;  ; 38 ; ac ; 759 
 4354 ; Лот 5 шт. 1,3,5 рублей ; 1961 ;  ;  ;  ; 16 ; AlexAlex ; 52 
 4355 ; Облигаций 5 на 625 рублей, о-во Закавказкой жел.дор. ; 1882 ;  ;  ;  ; 37 ; kont ; 807 
 4356 ; Росписка государственнаго банка ; 1916 ;  ;  ;  ; 196 ; kont ; 1995 
 4357 ; Билет 500 рублей Государственной Коммиссии погашения долгов ; 1876 ;  ;  ;  ; 141 ; kont ; 4501 
 4358 ; Закладной лист в 100 рублей. Харьковский земельный банк ; 1898 ;  ;  ;  ; 92 ; КРАЙ ; 513 
 4359 ; Облигация 200 талеров. Московско-смоленская ж.д ; 1869 ;  ;  ;  ; 142 ; krft ; 1280 
 4360 ; Облигация 187р.50коп. Российский 5% гос. Заем ;  ;  ;  ;  ; 93 ; vjacha ; 204 
 4361 ; Облигация ;  ;  ;  ;  ; 64 ; Lizaveta ; 184 
 4362 ; 50 рублей ; 1961 ; билет ;  ;  ; 77 ; ИльяЗавр ; 163 
 4363 ; 100 рублей ; 1961 ;  ;  ;  ; 86 ; w7 ; 663 
 4364 ; 5000 рублей ; 1992 ; банкнота ;  ;  ; 33 ; Тёпа ; 397 
 4365 ; 5000 рублей ; 1993 ; банкнота ;  ;  ; 52 ; Roman24 ; 159 
 4366 ; 10000 рублей ; 1993 ; банкнота ;  ;  ; 29 ; olga555 ; 2550 
 4367 ; 50000 рублей ; 1993 ; банкнота ;  ;  ; 86 ; olga555 ; 1552 
 4368 ; 10000 рублей ; 1919 ;  ;  ; AU ; 15 ; w7 ; 481 
 4369 ; 50 копеек ; 1919 ;  ;  ; AU ; 38 ; комот ; 912 
 4370 ; 100 марок ; 1909 ; Финляндия билет ;  ;  ; 76 ; никсер ; 1207 
 4371 ; 1 рубль ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ;  ; 46 ; Тёпа ; 918 
 4372 ; 3 рубля ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ;  ; 52 ; lesnik1 ; 477 
 4373 ; 5 рублей ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ;  ; 56 ; verunk1 ; 658 
 4374 ; 10 рублей ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ;  ; 44 ; temichek ; 463 
 4375 ; 25 рублей. Помыта ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ;  ; 28 ; temichek ; 334 
 4376 ; 50 рублей ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ;  ; 55 ; Тёпа ; 612 
 4501 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Юбер ; 34 
 4502 ; Бона иностранная ;  ;  ;  ;  ; 26 ; raise ; 26 
 4503 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Юбер ; 34 
 4504 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Юбер ; 35 
 4505 ; Бона иностранная ;  ;  ;  ;  ; 31 ; 4004 ; 32 
 4506 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 4004 ; 23 
 4507 ; Бона иностранная ;  ;  ;  ;  ; 30 ; raise ; 30 
 4508 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 4004 ; 28 
 4509 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Юбер ; 26 
 4510 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Юбер ; 36 
 4511 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Юбер ; 31 
 4512 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Юбер ; 35 
 4513 ; Бона иностранная ;  ;  ;  ;  ; 33 ; 4004 ; 34 
 4514 ; Бона иностранная ;  ;  ;  ;  ; 4 ; smel ; 31 
 4161 ; Акция. США ;  ;  ;  ;  ; 11 ; mister bonn ; 116 
 4162 ; Акция. США ;  ;  ;  ;  ; 5 ; 4004 ; 31 
 4163 ; Акция. США ;  ;  ;  ;  ; 5 ; 4004 ; 33 
 4164 ; Акция. США ;  ;  ;  ;  ; 23 ; 4004 ; 54 
 4165 ; Акция. США ;  ;  ;  ;  ; 15 ; mister bonn ; 215 
 4166 ; Акция. США ;  ;  ;  ;  ; 9 ; Gold_42 ; 126 
 4167 ; Акция. США ;  ;  ;  ;  ; 5 ; 4004 ; 31 
 4168 ; Акция. США ;  ;  ;  ;  ; 7 ; 4004 ; 106 
 4169 ; Акция. США ;  ;  ;  ;  ; 5 ; 4004 ; 55 
 4170 ; Акция. США ;  ;  ;  ;  ; 25 ; 4004 ; 51 
 4301 ; 500 рублей. 3 шт ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 40 ; w7 ; 668 
 4302 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 48 ; mister bonn ; 1372 
 4303 ; 25 рублей. 2 шт ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 95 ; Lenchik_2M ; 269 
 4304 ; 10 рублей. 2 шт ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 34 ; verunk1 ; 184 
 4305 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 23 ; verunk1 ; 1020 
 4306 ; 3 рубля ; 1905 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 40 ; verunk1 ; 407 
 4307 ; 3 рубля ; 1905 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ; XF ; 75 ; verunk1 ; 510 
 4308 ; 1 рубль. 2 шт ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 40 ; verunk1 ; 555 
 4309 ; 50 копеек. 3 шт ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 33 ; нэри ; 201 
 4310 ; 50 копеек ;  ;  ;  ; AU ; 12 ; WOLK ; 159 
 4311 ; 5 копеек ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 29 ; Greenfields ; 111 
 4312 ; 3 копейки ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 34 ; starostin ; 408 
 4313 ; 2 копейки ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 31 ; zuza ; 352 
 4314 ; Лот 14 шт. 0,5,1,3,5,10 рублей ;  ;  ;  ;  ; 101 ; ИльяЗавр ; 502 
 4315 ; 100 рублей ; 1915 ; 4% билет гос.казначейства ;  ;  ; 25 ; ЛАВ-13 ; 361 
 4316 ; 500 рублей ; 1915 ; 4% билет гос.казначейства ;  ;  ; 29 ; benc ; 1883 
 4317 ; Лист купонов 20 шт ;  ;  ;  ;  ; 81 ; 654321 ; 255 
 4318 ; 250 рублей. 3 шт ; 1917 ; Денежные знаки ;  ;  ; 23 ; santan93 ; 200 
 4319 ; Лот 6 шт. 20,40 рублей ;  ;  ;  ;  ; 15 ; комот ; 225 
 4320 ; Лот 6 шт. 5,50 копеек,1,3,5 рублей ;  ;  ;  ;  ; 85 ; нэри ; 212 
 4321 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 24 ; Rober ; 25 
 4322 ; 15 копеек ; 1915 ; Деньги-марки ;  ;  ; 8 ; WOLK ; 25 
 4323 ; 20 копеек ; 1915 ; Деньги-марки ;  ;  ; 11 ; pro1 ; 98 
 4324 ; 25 рублей ; 1920 ; Денежный знак Дальне-Восточной республики ;  ;  ; 35 ; Виталий 64 ; 622 
 4325 ; Бона. 5 рублей Дальне-восточной республики ;  ;  ;  ;  ; 17 ; ЛАВ-13 ; 391 
 4326 ; Бона. 1 рубль ; 1920 ;  ;  ;  ; 64 ; ЛАВ-13 ; 902 
 4327 ; 5000 рублей ; 1919 ;  ;  ;  ; 5 ; veron ; 340 
 4328 ; 1000 рублей ; 1919 ;  ;  ;  ; 106 ; veron ; 438 
 4329 ; 1000 рублей ; 1919 ;  ;  ;  ; 54 ; svv ; 860 
 4330 ; 500 рублей ; 1918 ;  ;  ;  ; 12 ; akula ; 519 
 4331 ; 1000 рублей ; 1919 ;  ;  ;  ; 39 ; vitiaz ; 227 
 4332 ; 1000 рублей. Надрыв ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 41 ; uz ; 1857 
 4333 ; 100 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 74 ; Стрепет ; 1008 
 4334 ; 10000000 рублей ; 1923 ; Закавказье ;  ;  ; 89 ; svv ; 885 
 4335 ; 100000 рублей ; 1923 ; Закавказье ;  ;  ; 27 ; ЛАВ-13 ; 412 
 4336 ; 5 гривень ; 1920 ; Украина Розмiнний Знак Державноi скарбицi ;  ;  ; 28 ; Виталий 64 ; 873 
 4337 ; 100 карбованцев ; 1918 ; Украина.5% временное свидетельство ;  ;  ; 34 ; unkas79 ; 517 
 4338 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 22 ; olga555 ; 600 
 4339 ; 100 рублей ; 1947 ; билет ;  ;  ; 11 ; olga555 ; 600 
 4340 ; 3 рубля ; 1919 ; Латвия. Разменный знак ;  ;  ; 30 ; ИЮМов1 ; 156 
 4111 ; 3 копейки ; 1915 ; Деньги-марки ;  ; AU ; 48 ; slovjnin ; 301 
 4112 ; 2 копейки ; 1917 ; Деньги-марки ;  ; AU ; 60 ; Natascha ; 357 
 4113 ; 50 шагив ; 1918 ; Украина.Тип почтовых марок ;  ; AU ; 29 ; ЛАВ-13 ; 204 
 4114 ; 1 рубль ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ; AU ; 26 ; lexx66 ; 918 
 4115 ; 50 копеек ; 1923 ; Денежные знаки (с рисунком монеты) ;  ; AU ; 36 ; lexx66 ; 1000 
 4116 ; 5 копеек ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 50 ; комот ; 152 
 4117 ; 50 копеек. Юденич ; 1919 ;  ;  ; AU ; 30 ; ЛАВ-13 ; 841 
 4118 ; 100 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; AU ; 44 ; lexx66 ; 1129 
 4119 ; 30 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ; AU ; 22 ; ges ; 374 
 4120 ; 1 марка ; 1920 ;  ;  ; AU ; 10 ; Komod ; 56 
 4121 ; 100 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ; AU ; 51 ; lexx66 ; 303 
 4122 ; 2 марки ; 1920 ;  ;  ; AU ; 12 ; Komod ; 37 
 4123 ; 2 марки ; 1920 ;  ;  ; AU ; 9 ; Komod ; 37 
 4124 ; 3 рубля ; 1919 ; Латвия. Разменный знак ;  ; AU ; 15 ; Alks75 ; 204 
 4125 ; 5 рублей ; 1919 ; Латвия. Разменный знак ;  ; AU ; 42 ; unkas79 ; 423 
 4126 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ; XF ; 31 ; verunk1 ; 117 
 4127 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ; XF ; 23 ; verunk1 ; 108 
 4128 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ; XF ; 10 ; geracon2009 ; 92 
 4129 ; 5 рублей ; 1909 ; Денежные знаки ;  ; XF ; 23 ; verunk1 ; 114 
 4130 ; 5 рублей ; 1909 ; Денежные знаки ;  ; XF ; 39 ; verunk1 ; 125 
 4131 ; 1000 рублей ; 1919 ;  ;  ; AU ; 35 ; Northman ; 385 
 4132 ; 1000 рублей ; 1919 ;  ;  ; AU ; 12 ; Инвестор ; 259 
 4133 ; 1000 рублей ; 1919 ;  ;  ; AU ; 71 ; комот ; 357 
 4134 ; 1000 рублей ; 1919 ;  ;  ; AU ; 59 ; Филипп Бенг ; 395 
 4135 ; 1 рубль ; 1874 ; вензель А II Гос.кредитные билеты разменной касы гос.банка ;  ;  ; 75 ; oleg61 ; 6774 
 4136 ; 1 рубль ; 1878 ; вензель А II Гос.кредитные билеты разменной касы гос.банка ;  ;  ; 82 ; fanil ; 5953 
 4137 ; 1 рубль ; 1884 ; вензель А III Гос.кредитные билеты разменной касы гос.банка ;  ;  ; 98 ; verunk1 ; 7465 
 4138 ; 1 рубль ; 1864 ; Гос.кредитные билеты разменных касс экспедиции кредитных билетов ;  ;  ; 64 ; verunk1 ; 7429 
 4139 ; 5000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 29 ; alex550 ; 516 
 4140 ; 10000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 56 ; alex550 ; 577 
 4141 ; 100 рублей ; 1910 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 66 ; fanil ; 309 
 4142 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 92 ; sman ; 155 
 4143 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 38 ; sman ; 209 
 4144 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 120 ; Mawr ; 262 
 4145 ; 100 рублей ; 1898 ; Тимашев 1903. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 116 ; никсер ; 4284 
 4146 ; 100 рублей ; 1898 ; Коншин 1910 г. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 95 ; А_еЧъ ; 4289 
 4147 ; Вексель ; 1869 ;  ;  ;  ; 11 ; kont ; 2051 
 4148 ; Акция Брянского рельсопрокатного завода ; 1923 ;  ;  ;  ; 35 ; Lizaveta ; 340 
 4149 ; Акция Брянского рельсопрокатного завода ; 1913 ;  ;  ;  ; 33 ; kostik_ne ; 249 
 4150 ; Облигация Черноморской ж/д ; 1916 ;  ;  ;  ; 36 ; potapov0 ; 218 
 4151 ; Облигация ; 1896 ;  ;  ;  ; 105 ; makhic ; 204 
