 5651 ; Бона иностранная. Лаос ;  ;  ;  ;  ; 14 ; mart_si ; 42 
 5556 ; Бона иностранная Япония ;  ;  ;  ;  ; 35 ; val211 ; 100 
 5557 ; Бона иностранная Мозамбик ;  ;  ;  ;  ; 10 ; alex1974 ; 202 
 5558 ; Бона иностранная Болгария ;  ;  ;  ; AU ; 31 ; Alks75 ; 300 
 5559 ; Бона иностранная Болгария ;  ;  ;  ; AU ; 15 ; Alks75 ; 255 
 5560 ; Бона иностранная Колумбия ;  ;  ;  ; AU ; 27 ; avilych ; 123 
 5561 ; Бона иностранная Никарагуа ;  ;  ;  ; AU ; 9 ; М5 ; 30 
 5562 ; Бона иностранная Харватия ;  ;  ;  ; AU ; 11 ; alex1974 ; 27 
 5563 ; Бона иностранная Бирма ;  ;  ;  ; AU ; 19 ; avilych ; 58 
 5564 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 17 ; М5 ; 35 
 5565 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 11 ; М5 ; 30 
 5566 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 13 ; М5 ; 37 
 5567 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 22 ; sub215 ; 102 
 5568 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 25 ; grimbo ; 179 
 5569 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 23 ; grimbo ; 174 
 5570 ; Бона иностранная Египет ;  ;  ;  ; AU ; 10 ; avilych ; 41 
 5571 ; Бона иностранная Египет ;  ;  ;  ; AU ; 15 ; avilych ; 40 
 5572 ; Бона иностранная Египет ;  ;  ;  ;  ; 4 ; UnPreacher ; 27 
 5573 ; Бона иностранная Ямайка ;  ;  ;  ;  ; 10 ; sub215 ; 46 
 5574 ; Бона иностранная Ямайка ;  ;  ;  ;  ; 12 ; alesjane ; 51 
 5575 ; Бона иностранная Ямайка ;  ;  ;  ;  ; 11 ; alesjane ; 51 
 5576 ; Бона иностранная Гана ;  ;  ;  ;  ; 13 ; alex1974 ; 69 
 5577 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 8 ; Dirt ; 31 
 5578 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 8 ; Dirt ; 31 
 5579 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 7 ; М5 ; 29 
 5580 ; Бона иностранная Иран ;  ;  ;  ;  ; 18 ; Rober ; 38 
 5581 ; Бона иностранная Иран ;  ;  ;  ;  ; 15 ; М5 ; 37 
 5582 ; Бона иностранная Иран ;  ;  ;  ;  ; 11 ; М5 ; 37 
 5583 ; Бона иностранная Иран ;  ;  ;  ;  ; 14 ; Александр 81 ; 51 
 5584 ; Бона иностранная Колумбия ;  ;  ;  ;  ; 10 ; 312 ; 31 
 5585 ; Бона иностранная Колумбия ;  ;  ;  ;  ; 11 ; Rober ; 32 
 5586 ; Бона иностранная Перу ;  ;  ;  ;  ; 7 ; М5 ; 30 
 5587 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 23 ; SS2008 ; 46 
 5588 ; Бона иностранная Кувейт ;  ;  ;  ;  ; 15 ; корса ; 83 
 5589 ; Бона иностранная. Заир. Образец ;  ;  ;  ;  ; 17 ; K.V.N. ; 579 
 5590 ; Бона иностранная. Заир. Образец ;  ;  ;  ;  ; 9 ; K.V.N. ; 579 
 5591 ; Бона иностранная.  Польша ;  ;  ;  ;  ; 29 ; гус4 ; 111 
 5592 ; Бона иностранная. Хорватия ;  ;  ;  ;  ; 12 ; каРаЧун ; 57 
 5593 ; Бона иностранная. Югославия ;  ;  ;  ;  ; 10 ; Rusik ; 30 
 5594 ; Бона иностранная. Италия ;  ;  ;  ;  ; 4 ; 312 ; 25 
 5595 ; Бона иностранная. Норвегия ;  ;  ;  ;  ; 30 ; mart_si ; 123 
 5596 ; Бона иностранная. Норвегия ;  ;  ;  ;  ; 19 ; mart_si ; 148 
 5597 ; Бона иностранная. Куба ;  ;  ;  ;  ; 7 ; Oleht ; 203 
 5598 ; Бона иностранная. Куба ;  ;  ;  ;  ; 10 ; Ssid ; 308 
 5599 ; Бона иностранная. Бирма ;  ;  ;  ;  ; 17 ; mart_si ; 45 
 5600 ; Бона иностранная. Бирма ;  ;  ;  ;  ; 16 ; Hamlet ; 35 
 5501 ; Бона иностранная Зимбабве ;  ;  ;  ; AU ; 17 ; torbey ; 257 
 5502 ; Бона иностранная Зимбабве ;  ;  ;  ; AU ; 25 ; torbey ; 104 
 5503 ; Бона иностранная Зимбабве ;  ;  ;  ; AU ; 15 ; 000SABik ; 73 
 5504 ; Бона иностранная Зимбабве ;  ;  ;  ; AU ; 9 ; zamectitel ; 151 
 5505 ; Бона иностранная Зимбабве ;  ;  ;  ; AU ; 17 ; zamectitel ; 159 
 5506 ; Бона иностранная Зимбабве ;  ;  ;  ; AU ; 19 ; 000SABik ; 123 
 5507 ; Бона иностранная Колумбия ;  ;  ;  ; AU ; 24 ; avilych ; 79 
 5508 ; Бона иностранная Колумбия ;  ;  ;  ; AU ; 20 ; SIBPROPILOT ; 79 
 5509 ; Бона иностранная Колумбия ;  ;  ;  ; AU ; 15 ; avilych ; 58 
 5510 ; Бона иностранная Колумбия ;  ;  ;  ; AU ; 18 ; Александр 81 ; 58 
 5511 ; Бона иностранная Колумбия ;  ;  ;  ; AU ; 17 ; Hamlet ; 79 
 5512 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 21 ; Hamlet ; 55 
 5513 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 18 ; Hamlet ; 58 
 5514 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 17 ; Mihail74 ; 52 
 5515 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 19 ; Mihail74 ; 50 
 5516 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 17 ; Mihail74 ; 49 
 5517 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 15 ; Александр 81 ; 60 
 5518 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 24 ; sub215 ; 68 
 5519 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 17 ; mart_si ; 85 
 5520 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 19 ; джон08 ; 58 
 5521 ; Бона иностранная Гондурас ;  ;  ;  ; AU ; 20 ; Александр 81 ; 51 
 5522 ; Бона иностранная Венесуэла ;  ;  ;  ; AU ; 18 ; SS2008 ; 46 
 5523 ; Бона иностранная Перу ;  ;  ;  ; AU ; 31 ; zamectitel ; 151 
 5524 ; Бона иностранная Перу ;  ;  ;  ; AU ; 40 ; zamectitel ; 251 
 5525 ; Бона иностранная Перу ;  ;  ;  ; AU ; 12 ; Александр 81 ; 46 
 5526 ; Бона иностранная Перу ;  ;  ;  ; AU ; 8 ; Dirt ; 31 
 5527 ; Бона иностранная Перу ;  ;  ;  ; AU ; 13 ; Dirt ; 33 
 5528 ; Бона иностранная Перу ;  ;  ;  ; AU ; 13 ; avilych ; 67 
 5529 ; Бона иностранная Перу ;  ;  ;  ; AU ; 19 ; sub215 ; 72 
 5530 ; Бона иностранная Перу ;  ;  ;  ; AU ; 16 ; Димон777 ; 74 
 5531 ; Бона иностранная Перу ;  ;  ;  ; AU ; 13 ; Dirt ; 34 
 5532 ; Бона иностранная Перу ;  ;  ;  ; AU ; 24 ; avilych ; 101 
 5533 ; Бона иностранная. Литва ;  ;  ;  ;  ; 7 ; Ratmen ; 153 
 5534 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 9 ; 47154 ; 49 
 5535 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 18 ; bonipari ; 59 
 5536 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 6 ; kaktus1 ; 20 
 5537 ; Лот бон Латвия, 8 шт ; 1992 ;  ;  ;  ; 36 ; vitab ; 466 
 5538 ; Карточка на сахар. Латвия ; 1944 ;  ;  ;  ; 58 ; bva150979 ; 1020 
 5539 ; Карточка на моющие средства. Латвия ; 1944 ;  ;  ;  ; 48 ; benc ; 2061 
 5540 ; Лот карточек Латвия, 3 шт ;  ;  ;  ;  ; 73 ; benc ; 2061 
 5541 ; Бона иностранная Польша ;  ;  ;  ;  ; 26 ; SS2008 ; 196 
 5542 ; Бона иностранная.  Испания ;  ;  ;  ;  ; 14 ; murew ; 116 
 5543 ; 10 марок. Финляндия ; 1986 ;  ;  ;  ; 21 ; torbey ; 309 
 5544 ; 10 марок. Германия ; 1944 ;  ;  ;  ; 37 ; alapabula ; 692 
 5545 ; Бона иностранная Германия ;  ;  ;  ;  ; 9 ; இஇ ; 235 
 5546 ; Бона иностранная Ливия ;  ;  ;  ;  ; 13 ; orlov2015 ; 488 
 5547 ; Бона иностранная Болгария ;  ;  ;  ;  ; 10 ; yuri.gruzdev ; 306 
 5548 ; Бона иностранная Бельгия ;  ;  ;  ;  ; 26 ; torbey ; 421 
 5549 ; Бона иностранная Италия ;  ;  ;  ;  ; 15 ; Rusik ; 262 
 5550 ; Бона иностранная США ;  ;  ;  ;  ; 18 ; lamazo ; 301 
 5451 ; Бона иностранная. ЮАР ;  ;  ;  ;  ; 10 ; grimbo ; 253 
 5452 ; Бона иностранная. Самали ;  ;  ;  ;  ; 24 ; Александр 81 ; 65 
 5453 ; Бона иностранная. Шри-Ланка ;  ;  ;  ;  ; 9 ; msgmit ; 80 
 5454 ; Бона иностранная. Шри-Ланка ;  ;  ;  ;  ; 11 ; msgmit ; 104 
 5455 ; Бона иностранная. Шри-Ланка ;  ;  ;  ;  ; 12 ; msgmit ; 80 
 5456 ; Бона иностранная. Непал ;  ;  ;  ;  ; 13 ; Monata ; 79 
 5457 ; Бона иностранная. Замбия ;  ;  ;  ;  ; 5 ; zamectitel ; 102 
 5458 ; Бона иностранная. Замбия ;  ;  ;  ;  ; 3 ; zamectitel ; 102 
 5459 ; Бона иностранная. Эфиопия ;  ;  ;  ;  ; 17 ; Александр 81 ; 57 
 5460 ; Бона иностранная. Эфиопия ;  ;  ;  ;  ; 14 ; Александр 81 ; 57 
 5461 ; Бона иностранная. Эфиопия ;  ;  ;  ;  ; 13 ; Александр 81 ; 79 
 5462 ; Бона иностранная. Иран ;  ;  ;  ;  ; 9 ; Dirt ; 34 
 5463 ; Бона иностранная. Иран ;  ;  ;  ;  ; 23 ; sub215 ; 51 
 5464 ; Бона иностранная. Венесуэла ;  ;  ;  ;  ; 30 ; zamectitel ; 269 
 5465 ; Бона иностранная. Венесуэла ;  ;  ;  ;  ; 30 ; zamectitel ; 293 
 5466 ; Бона иностранная. Венесуэла ;  ;  ;  ;  ; 23 ; zamectitel ; 295 
 5467 ; Бона иностранная. Венесуэла ;  ;  ;  ;  ; 57 ; Hamlet ; 333 
 5468 ; Бона иностранная. Венесуэла ;  ;  ;  ;  ; 58 ; K.V.N. ; 320 
 5469 ; Бона иностранная. Руанда. Образец ;  ;  ;  ;  ; 24 ; K.V.N. ; 629 
 5470 ; Бона иностранная. Руанда. Образец ;  ;  ;  ;  ; 22 ; K.V.N. ; 710 
 5471 ; Бона иностранная Западная Африка ;  ;  ;  ;  ; 18 ; SS2008 ; 124 
 5472 ; Бона иностранная Западная Африка ;  ;  ;  ;  ; 11 ; alesjane ; 250 
 5473 ; Бона иностранная Тунис ;  ;  ;  ;  ; 15 ; mart_si ; 115 
 5474 ; Бона иностранная Тунис ;  ;  ;  ;  ; 17 ; чутьнепроскочил ; 286 
 5475 ; Бона иностранная Нигерия ;  ;  ;  ;  ; 13 ; SS2008 ; 107 
 5476 ; Бона иностранная Нигерия ;  ;  ;  ;  ; 10 ; alesjane ; 57 
 5477 ; Бона иностранная Ангола ;  ;  ;  ;  ; 9 ; Моряк-собиратель ; 276 
 5478 ; Бона иностранная Танзания ;  ;  ;  ;  ; 23 ; SS2008 ; 133 
 5479 ; Бона иностранная Мозамбик ;  ;  ;  ;  ; 15 ; SS2008 ; 466 
 5480 ; Бона иностранная Конго ;  ;  ;  ;  ; 71 ; Моряк-собиратель ; 319 
 5481 ; Бона иностранная Конго ;  ;  ;  ;  ; 25 ; alesjane ; 232 
 5482 ; Бона иностранная Судан ;  ;  ;  ;  ; 15 ; SS2008 ; 236 
 5483 ; Бона иностранная Судан ;  ;  ;  ;  ; 15 ; alesjane ; 153 
 5484 ; Бона иностранная Заир ;  ;  ;  ; AU ; 39 ; alex1974 ; 612 
 5485 ; Бона иностранная Свазиленд ;  ;  ;  ; AU ; 30 ; K.V.N. ; 439 
 5486 ; Бона иностранная Свазиленд ;  ;  ;  ; AU ; 15 ; K.V.N. ; 439 
 5487 ; Бона иностранная Сьера-Леоне ;  ;  ;  ; AU ; 21 ; K.V.N. ; 286 
 5488 ; Бона иностранная Руанда ;  ;  ;  ; AU ; 31 ; K.V.N. ; 469 
 5489 ; Бона иностранная Мозамбик ;  ;  ;  ; AU ; 16 ; alex1974 ; 155 
 5490 ; Бона иностранная Кения ;  ;  ;  ; AU ; 25 ; СТРЕКОЗА ; 261 
 5491 ; Бона иностранная Кения ;  ;  ;  ; AU ; 23 ; alesjane ; 294 
 5492 ; Бона иностранная Маврикий ;  ;  ;  ; AU ; 19 ; alesjane ; 219 
 5493 ; Бона иностранная Гвинея-Биссау ;  ;  ;  ; AU ; 17 ; SS2008 ; 541 
 5494 ; Бона иностранная Гвинея-Биссау ;  ;  ;  ; AU ; 23 ; Моряк-собиратель ; 287 
 5495 ; Бона иностранная Гвинея ;  ;  ;  ; AU ; 17 ; alex1974 ; 227 
 5496 ; Бона иностранная Гвинея ;  ;  ;  ;  ; 37 ; SS2008 ; 408 
 5497 ; Бона иностранная Конго ;  ;  ;  ; AU ; 25 ; SS2008 ; 174 
 5498 ; 100000000000000 долларов Зимбабве ; 2008 ;  ;  ; AU ; 43 ; torbey ; 1020 
 5499 ; Бона иностранная Зимбабве ;  ;  ;  ; AU ; 36 ; torbey ; 257 
 5500 ; Бона иностранная Зимбабве ;  ;  ;  ; AU ; 23 ; torbey ; 269 
 5401 ; Бона иностранная ;  ;  ;  ;  ; 38 ; smel ; 630 
 5402 ; Бона иностранная ;  ;  ;  ;  ; 20 ; இஇ ; 311 
 5403 ; Бона иностранная ;  ;  ;  ;  ; 7 ; இஇ ; 153 
 5404 ; Бона иностранная ;  ;  ;  ;  ; 15 ; இஇ ; 245 
 5405 ; Бона иностранная ;  ;  ;  ;  ; 11 ; electra ; 114 
 5406 ; Бона иностранная ;  ;  ;  ;  ; 13 ; kop ; 83 
 5407 ; Бона иностранная ;  ;  ;  ;  ; 7 ; трутень ; 110 
 5408 ; Бона иностранная ;  ;  ;  ;  ; 10 ; kop ; 79 
 5409 ; Бона иностранная. Германия ;  ;  ;  ;  ; 14 ; плачу капустой ; 79 
 5410 ; Бона иностранная. Германия ;  ;  ;  ;  ; 37 ; Aviator4 ; 255 
 5411 ; Бона иностранная. Германия ;  ;  ;  ;  ; 17 ; alapabula ; 132 
 5412 ; Бона иностранная. Германия ;  ;  ;  ;  ; 23 ; Bespan ; 59 
 5413 ; Бона иностранная. Германия ;  ;  ;  ;  ; 15 ; Глеб ; 196 
 5414 ; Бона иностранная. Германия ;  ;  ;  ;  ; 5 ; kop ; 101 
 5415 ; Бона иностранная. Германия ;  ;  ;  ;  ; 12 ; electra ; 151 
 5416 ; Бона иностранная. Германия ;  ;  ;  ;  ; 6 ; kop ; 102 
 5417 ; Бона иностранная. Германия ;  ;  ;  ;  ; 10 ; electra ; 181 
 5418 ; Бона иностранная. Германия ;  ;  ;  ;  ; 9 ; electra ; 181 
 5419 ; Бона иностранная. Германия ;  ;  ;  ;  ; 11 ; electra ; 192 
 5420 ; Бона иностранная. Германия ;  ;  ;  ;  ; 15 ; electra ; 155 
 5421 ; Бона иностранная. Германия ;  ;  ;  ;  ; 11 ; electra ; 172 
 5422 ; Бона иностранная. Германия ;  ;  ;  ;  ; 8 ; electra ; 171 
 5423 ; Бона иностранная. Германия ;  ;  ;  ;  ; 7 ; kop ; 101 
 5424 ; Бона иностранная. Германия ;  ;  ;  ;  ; 3 ; vladmarkin ; 102 
 5425 ; Бона иностранная. Германия ;  ;  ;  ;  ; 7 ; kop ; 101 
 5426 ; Бона иностранная. Германия ;  ;  ;  ;  ; 9 ; electra ; 151 
 5427 ; Бона иностранная. Германия ;  ;  ;  ;  ; 11 ; electra ; 151 
 5428 ; Бона иностранная. Германия ;  ;  ;  ;  ; 5 ; kop ; 101 
 5429 ; Бона иностранная. Германия ;  ;  ;  ;  ; 16 ; இஇ ; 266 
 5430 ; Бона иностранная. Германия ;  ;  ;  ;  ; 6 ; kop ; 101 
 5431 ; Бона иностранная. Германия ;  ;  ;  ;  ; 20 ; இஇ ; 266 
 5432 ; Бона иностранная. Германия ;  ;  ;  ;  ; 31 ; doc2 ; 417 
 5433 ; Бона иностранная. Германия ;  ;  ;  ;  ; 10 ; kop ; 101 
 5434 ; Бона иностранная. Германия ;  ;  ;  ;  ; 5 ; ъхз ; 46 
 5435 ; Бона иностранная. Германия ;  ;  ;  ;  ; 5 ; kop ; 101 
 5436 ; Бона иностранная. Германия ;  ;  ;  ;  ; 13 ; இஇ ; 266 
 5437 ; Бона иностранная. США ;  ;  ;  ;  ; 24 ; alex09-63 ; 566 
 5438 ; Бона иностранная. США ;  ;  ;  ;  ; 14 ; alex09-63 ; 132 
 5439 ; Бона иностранная. Мексика ;  ;  ;  ;  ; 6 ; max2008 ; 2222 
 5440 ; Бона иностранная. Мексика ;  ;  ;  ;  ; 18 ; murew ; 229 
 5441 ; Бона иностранная. Исландия ;  ;  ;  ;  ; 22 ; orlov2015 ; 449 
 5442 ; Бона иностранная. Исландия ;  ;  ;  ;  ; 28 ; mart_si ; 352 
 5443 ; Бона иностранная. Исланидя ;  ;  ;  ;  ; 17 ; mart_si ; 159 
 5444 ; Бона иностранная. Швеция ;  ;  ;  ;  ; 14 ; гш888 ; 59 
 5445 ; Бона иностранная. Швеция ;  ;  ;  ;  ; 17 ; Alekss_27 ; 191 
 5446 ; Бона иностранная. Швеция ;  ;  ;  ;  ; 12 ; murew ; 140 
 5447 ; Бона иностранная. Швеция ;  ;  ;  ;  ; 16 ; Alekss_27 ; 294 
 5448 ; Бона иностранная. Мадагаскар ;  ;  ;  ;  ; 21 ; Dirt ; 58 
 5449 ; Бона иностранная. Мадагаскар ;  ;  ;  ;  ; 16 ; Dirt ; 62 
 5450 ; Бона иностранная. Индия ;  ;  ;  ;  ; 13 ; Dirt ; 40 
 5351 ; 10 крон Норвегия ; 1982 ;  ;  ;  ; 35 ; doc2 ; 298 
 5352 ; 100 крон Норвегия ; 1962 ;  ;  ;  ; 31 ; dsp ; 1224 
 5353 ; 100 крон Норвегия ; 1987 ;  ;  ;  ; 19 ; doc2 ; 888 
 5354 ; 100 крон Исландия ; 1986 ;  ;  ;  ; 12 ; alesjane ; 159 
 5355 ; 100 крон Исландия ; 1961 ;  ;  ;  ; 14 ; жора ; 111 
 5356 ; 0,05 франка Франция ;  ;  ;  ;  ; 29 ; kont ; 526 
 5357 ; 1 франк Франция ; 1919 ;  ;  ;  ; 8 ; vladmarkin ; 184 
 5358 ; 2 франка Франция ; 1920 ;  ;  ;  ; 15 ; kont ; 283 
 5359 ; 2 франка Франция ; 1944 ;  ;  ;  ; 35 ; Бейн99999 ; 114 
 5360 ; 10 франков Франция ; 1944 ;  ;  ;  ; 57 ; Бейн99999 ; 104 
 5361 ; 100 франков Франция ; 1930 ;  ;  ;  ; 7 ; 2128508 ; 306 
 5362 ; 100 франков Франция ; 1939 ;  ;  ;  ; 9 ; yuvg ; 261 
 5363 ; 100 франков Франция ; 1946 ;  ;  ;  ; 15 ; жора ; 169 
 5364 ; 100 франков Франция ; 1976 ;  ;  ;  ; 19 ; yuvg ; 306 
 5365 ; 100 франков Франция ; 1990 ;  ;  ;  ; 19 ; жора ; 155 
 5366 ; 20 франков Франция ; 1941 ;  ;  ;  ; 5 ; 2128508 ; 357 
 5367 ; 20 франков Франция ; 1943 ;  ;  ;  ; 13 ; murew ; 204 
 5368 ; 10 франков Франция ; 1942 ;  ;  ;  ; 12 ; жора ; 148 
 5369 ; 10 франков Франция ; 1966 ;  ;  ;  ; 26 ; murew ; 170 
 5370 ; 10 франков Франция ; 1976 ;  ;  ;  ; 11 ; жора ; 163 
 5371 ; 5 франков Франция ; 1965 ;  ;  ;  ; 14 ; alesjane ; 204 
 5372 ; 5 франков Франция ; 1968 ;  ;  ;  ; 16 ; ZIMOGOR ; 230 
 5373 ; 5 марок Германия ; 1970 ;  ;  ; AU ; 37 ; агрессор ; 579 
 5374 ; 5 марок Германия ; 1991 ;  ;  ;  ; 17 ; alapabula ; 192 
 5375 ; 10 марок Германия ; 1989 ;  ;  ; AU ; 35 ; агрессор ; 867 
 5376 ; 1/2 марки Германия ; 1948 ;  ;  ;  ; 41 ; трутень ; 426 
