 6040 ; Бона иностранная Египет ;  ;  ;  ; AU ; 7 ; Ustin ; 51 
 6014 ; Лот бон иностранных Аргентина 4 шт. ;  ;  ;  ; AU ; 30 ; K.V.N. ; 227 
 6015 ; Лот бон иностранных Бразилия 6 шт. ;  ;  ;  ; AU ; 15 ; sibirian ; 152 
 6016 ; Лот бон иностранных Никарагуа 4 шт. ;  ;  ;  ; AU ; 33 ; Первый Самураец ; 322 
 6017 ; Лот бон иностранных Югославия 2 шт. ;  ;  ;  ; AU ; 42 ; Первый Самураец ; 153 
 6018 ; Лот бон иностранных Югославия 4шт. ;  ;  ;  ; AU ; 22 ; Первый Самураец ; 206 
 6019 ; Бона иностранная Перу ;  ;  ;  ; AU ; 45 ; Первый Самураец ; 765 
 6020 ; Лот бон иностранных Китай 3 шт. ;  ;  ;  ; AU ; 22 ; Ustin ; 124 
 6021 ; Бона иностранная Пакистан ;  ;  ;  ; AU ; 14 ; sneg ; 77 
 6022 ; Бона иностранная Британские вооруженные силы ;  ;  ;  ; AU ; 25 ; sneg ; 93 
 6023 ; Лот бон иностранных Британские вооруженные силы 3 шт. ;  ;  ;  ; AU ; 65 ; Ustin ; 1530 
 6024 ; Лот бон иностранных Британские вооруженные силы 3 шт. ;  ;  ;  ; AU ; 23 ; Первый Самураец ; 612 
 6025 ; Бона иностранная Камбоджия ;  ;  ;  ; AU ; 43 ; Dmitry21 ; 90 
 6026 ; Бона иностранная Камбоджия ;  ;  ;  ; AU ; 11 ; sneg ; 77 
 6027 ; Бона иностранная Польша ;  ;  ;  ; AU ; 14 ; СЁМА ; 73 
 6028 ; Бона иностранная Польша ;  ;  ;  ; AU ; 30 ; karman ; 68 
 6029 ; Бона иностранная Польша ;  ;  ;  ; AU ; 23 ; sneg ; 68 
 6030 ; Бона иностранная Судан ;  ;  ;  ; AU ; 26 ; K.V.N. ; 98 
 6031 ; Бона иностранная Уругваи ;  ;  ;  ; AU ; 28 ; Первый Самураец ; 1281 
 6032 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 9 ; karman ; 38 
 6033 ; Лот бон иностранных Венсуела 2 шт. ;  ;  ;  ; AU ; 28 ; Ustin ; 116 
 6034 ; Бона иностранная Словения ;  ;  ;  ; AU ; 27 ; sneg ; 42 
 6035 ; Бона иностранная Латвия ;  ;  ;  ; AU ; 23 ; Хаа ; 24 
 6036 ; Бона иностранная Литва ;  ;  ;  ; AU ; 13 ; strutikut ; 45 
 6037 ; Лот бон иностранных Индонезия 5 шт. ;  ;  ;  ; AU ; 26 ; Ustin ; 92 
 6038 ; Бона иностранная Харватия 2 шт. ;  ;  ;  ; AU ; 11 ; WRC ; 21 
 6039 ; Бона иностранная Бирма ;  ;  ;  ; AU ; 7 ; karman ; 23 
 5940 ; Бона иностранная. Югославия ;  ;  ;  ;  ; 13 ; jj ; 68 
 5941 ; Бона иностранная. Шотландия ;  ;  ;  ;  ; 48 ; Первый Самураец ; 797 
 5942 ; Бона иностранная. Великобритания ;  ;  ;  ;  ; 32 ; Первый Самураец ; 1275 
 5943 ; Бона иностранная. Шотландия ;  ;  ;  ;  ; 49 ; Первый Самураец ; 1275 
 5944 ; Бона иностранная. Шотладния ;  ;  ;  ;  ; 80 ; von_Schwarz ; 1926 
 5945 ; Бона иностранная. Шотландия ;  ;  ;  ;  ; 37 ; von_Schwarz ; 906 
 5946 ; Бона иностранная. Нидерланды ;  ;  ;  ;  ; 34 ; vicktor_2014 ; 720 
 5947 ; Бона иностранная. Нидерланды ;  ;  ;  ;  ; 19 ; maksbelov ; 173 
 5948 ; Бона иностранная. Ближний Восток ;  ;  ;  ;  ; 33 ; Первый Самураец ; 1593 
 5949 ; Бона иностранная. Ближний Восток ;  ;  ;  ;  ; 39 ; Первый Самураец ; 1857 
 5950 ; Бона иностранная. Турция ;  ;  ;  ;  ; 26 ; Первый Самураец ; 1500 
 5951 ; Бона иностранная. Турция ;  ;  ;  ;  ; 9 ; Мурзик ; 51 
 5952 ; Бона иностранная. Турция ;  ;  ;  ;  ; 13 ; K.V.N. ; 104 
 5953 ; Бона иностранная. Франция ;  ;  ;  ;  ; 25 ; K.V.N. ; 410 
 5954 ; Бона иностранная. Черногория ;  ;  ;  ;  ; 30 ; smel ; 328 
 5955 ; Бона иностранная. Черногория ;  ;  ;  ;  ; 59 ; doc2 ; 611 
 5956 ; Бона иностранная. Черногория ;  ;  ;  ;  ; 31 ; doc2 ; 614 
 5957 ; Бона иностранная. Польша ;  ;  ;  ;  ; 8 ; val211 ; 258 
 5958 ; Бона иностранная. Польша ;  ;  ;  ;  ; 39 ; K.V.N. ; 137 
 5959 ; Бона иностранная. Польша ;  ;  ;  ;  ; 35 ; архыз ; 428 
 5960 ; Бона иностранная. Польша ;  ;  ;  ;  ; 25 ; Gorood ; 407 
 5961 ; Бона иностранная. Польша ;  ;  ;  ;  ; 34 ; smel ; 333 
 5962 ; Бона иностранная. Польша ;  ;  ;  ;  ; 14 ; asus ; 44 
 5963 ; Бона иностранная. Польша ;  ;  ;  ;  ; 16 ; doc2 ; 305 
 5964 ; Бона иностранная. Польша ;  ;  ;  ;  ; 20 ; doc2 ; 159 
 5965 ; Бона иностранная. Польша ;  ;  ;  ;  ; 17 ; doc2 ; 327 
 5966 ; Бона иностранная. Польша ;  ;  ;  ;  ; 27 ; Бармалей ; 800 
 5967 ; Бона иностранная. Чехословакия ;  ;  ;  ;  ; 56 ; Бармалей ; 1107 
 5968 ; Бона иностранная. Чехословакия ;  ;  ;  ;  ; 36 ; Бармалей ; 561 
 5969 ; Бона иностранная. Чехословакия ;  ;  ;  ;  ; 65 ; Бармалей ; 1352 
 5970 ; Бона иностранная. Чехословакия ;  ;  ;  ;  ; 43 ; K.V.N. ; 525 
 5971 ; Бона иностранная. Чехословакия ;  ;  ;  ;  ; 28 ; K.V.N. ; 425 
 5972 ; Бона иностранная. Чехословакия ;  ;  ;  ;  ; 15 ; K.V.N. ; 429 
 5973 ; Бона иностранная. Греция ;  ;  ;  ;  ; 85 ; Первый Самураец ; 1119 
 5974 ; Бона иностранная. Греция ;  ;  ;  ;  ; 10 ; strutikut ; 43 
 5975 ; Бона иностранная. Греция ;  ;  ;  ;  ; 23 ; u10257 ; 300 
 5976 ; Бона иностранная. Греция ;  ;  ;  ;  ; 12 ; strutikut ; 123 
 5977 ; Бона иностранная. Греция ;  ;  ;  ;  ; 23 ; Dmitry21 ; 216 
 5978 ; Бона иностранная. Италия ;  ;  ;  ;  ; 11 ; sneg ; 54 
 5979 ; Бона иностранная. Бельгия ;  ;  ;  ;  ; 60 ; Jek327 ; 133 
 5980 ; Бона иностранная. Бельгия ;  ;  ;  ;  ; 11 ; doc2 ; 45 
 5981 ; Бона иностранная. Словения ;  ;  ;  ;  ; 33 ; strutikut ; 276 
 5982 ; Бона иностранная. Ямайка ;  ;  ;  ;  ; 44 ; alex1974 ; 434 
 5983 ; Бона иностранная. Антильские острова ;  ;  ;  ;  ; 15 ; sneg ; 55 
 5984 ; Бона иностранная. Канада ;  ;  ;  ;  ; 37 ; Первый Самураец ; 765 
 5985 ; Бона иностранная. Канада ;  ;  ;  ;  ; 23 ; Первый Самураец ; 510 
 5986 ; Бона иностранная. Канада ;  ;  ;  ;  ; 27 ; Первый Самураец ; 306 
 5987 ; Бона иностранная. Эквадор ;  ;  ;  ;  ; 29 ; aleks51 ; 79 
 5988 ; Бона иностранная. Гаити ;  ;  ;  ;  ; 21 ; Виталий 64 ; 157 
 5989 ; Бона иностранная. Багамские острова ;  ;  ;  ;  ; 19 ; maksbelov ; 124 
 5890 ; Бона иностранная Польша ;  ;  ;  ;  ; 19 ; Первый Самураец ; 351 
 5891 ; Бона иностранная Польша ;  ;  ;  ;  ; 33 ; Первый Самураец ; 1275 
 5892 ; Бона иностранная Германия ;  ;  ;  ;  ; 46 ; Первый Самураец ; 204 
 5893 ; Бона иностранная Германия ;  ;  ;  ;  ; 43 ; СТРЕКОЗА ; 153 
 5894 ; Бона иностранная Германия ;  ;  ;  ;  ; 26 ; FonPaul ; 131 
 5895 ; Бона иностранная Германия ;  ;  ;  ;  ; 18 ; FonPaul ; 71 
 5896 ; Бона иностранная Германия ;  ;  ;  ;  ; 18 ; Первый Самураец ; 1500 
 5897 ; Бона иностранная Германия ;  ;  ;  ;  ; 6 ; asus ; 102 
 5898 ; Бона иностранная Германия ;  ;  ;  ;  ; 4 ; asus ; 102 
 5899 ; Бона иностранная Германия ;  ;  ;  ;  ; 6 ; asus ; 102 
 5900 ; Бона иностранная. Австралия ;  ;  ;  ;  ; 23 ; джокер ; 266 
 5901 ; Бона иностранная. Австралия ;  ;  ;  ;  ; 25 ; avs ; 505 
 5902 ; Бона иностранная. Фиджи ;  ;  ;  ;  ; 29 ; IEV ; 273 
 5903 ; Бона иностранная. Фиджи ;  ;  ;  ;  ; 26 ; IEV ; 228 
 5904 ; Бона иностранная. Новая Зеландия ;  ;  ;  ;  ; 43 ; avs ; 320 
 5905 ; Бона иностранная. Новая Зеландия ;  ;  ;  ;  ; 28 ; alex1974 ; 227 
 5906 ; Бона иностранная. Самоа ;  ;  ;  ;  ; 28 ; Экзот ; 408 
 5907 ; Бона иностранная. Острова Кука ;  ;  ;  ;  ; 92 ; makcpeyn100 ; 429 
 5908 ; Бона иностранная. Острова Кука ;  ;  ;  ;  ; 79 ; ZIMOGOR ; 553 
 5909 ; Бона иностранная. Острова Кука ;  ;  ;  ;  ; 106 ; makcpeyn100 ; 376 
 5910 ; Бона иностранная. Индонезия ;  ;  ;  ;  ; 18 ; karman ; 100 
 5911 ; Бона иностранная. Индонезия ;  ;  ;  ;  ; 11 ; Monata ; 153 
 5912 ; Бона иностранная. Индонезия ;  ;  ;  ;  ; 17 ; Monata ; 257 
 5913 ; Бона иностранная. Малайзия ;  ;  ;  ;  ; 11 ; stabah ; 151 
 5914 ; Бона иностранная. Малайзия ;  ;  ;  ;  ; 20 ; SS2008 ; 106 
 5915 ; Бона иностранная. Филиппины ;  ;  ;  ;  ; 12 ; медалькин ; 51 
 5916 ; Бона иностранная. Филлипины ;  ;  ;  ;  ; 14 ; медалькин ; 51 
 5917 ; Бона иностранная. Филлипины ;  ;  ;  ;  ; 7 ; karman ; 51 
 5918 ; Бона иностранная. Куба ;  ;  ;  ;  ; 34 ; Levon.Koins ; 226 
 5919 ; Бона иностранная. Куба ;  ;  ;  ;  ; 34 ; Levon.Koins ; 1530 
 5920 ; Бона иностранная. Куба ;  ;  ;  ;  ; 49 ; Первый Самураец ; 1499 
 5921 ; Бона иностранная. Куба ;  ;  ;  ;  ; 33 ; Levon.Koins ; 1530 
 5922 ; Бона иностранная. Куба ;  ;  ;  ;  ; 27 ; Первый Самураец ; 906 
 5923 ; Бона иностранная. Куба ;  ;  ;  ;  ; 20 ; smel ; 257 
 5924 ; Бона иностранная. Санто Доминго ;  ;  ;  ;  ; 61 ; ук75579 ; 1530 
 5925 ; Бона иностранная. Япония ;  ;  ;  ;  ; 65 ; Первый Самураец ; 1019 
 5926 ; Бона иностранная. Новая Каледония ;  ;  ;  ;  ; 11 ; Экзот ; 464 
 5927 ; Бона иностранная. Новая Каледония ;  ;  ;  ;  ; 13 ; Экзот ; 357 
 5928 ; Бона иностранная. Новая Каледония ;  ;  ;  ;  ; 10 ; Экзот ; 460 
 5929 ; Бона иностранная. США ;  ;  ;  ;  ; 42 ; вау ; 1372 
 5930 ; Бона иностранная. Бермудские острова ;  ;  ;  ;  ; 35 ; alex1974 ; 700 
 5931 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 50 ; вау ; 1940 
 5932 ; Бона иностранная. Албания ;  ;  ;  ;  ; 33 ; Первый Самураец ; 1224 
 5933 ; Бона иностранная. Албания ;  ;  ;  ;  ; 22 ; Первый Самураец ; 159 
 5934 ; Бона иностранная. Албания ;  ;  ;  ;  ; 13 ; doc2 ; 522 
 5935 ; Бона иностранная. Албания ;  ;  ;  ;  ; 40 ; Первый Самураец ; 187 
 5936 ; Бона иностранная. Албания ;  ;  ;  ;  ; 62 ; doc2 ; 393 
 5937 ; Бона иностранная. Албания ;  ;  ;  ;  ; 12 ; K.V.N. ; 57 
 5938 ; Бона иностранная. Албания ;  ;  ;  ;  ; 25 ; Хаа ; 215 
 5939 ; Бона иностранная. Албания ;  ;  ;  ;  ; 28 ; doc2 ; 282 
 5840 ; Бона иностранная Испания ;  ;  ;  ;  ; 37 ; Первый Самураец ; 510 
 5841 ; Бона иностранная Испания ;  ;  ;  ;  ; 35 ; Первый Самураец ; 1020 
 5842 ; Бона иностранная Испания ;  ;  ;  ;  ; 27 ; Первый Самураец ; 1020 
 5843 ; Бона иностранная Испания ;  ;  ;  ;  ; 34 ; архыз ; 277 
 5844 ; Бона иностранная Греция ;  ;  ;  ;  ; 31 ; Первый Самураец ; 1020 
 5845 ; Бона иностранная Испания ;  ;  ;  ;  ; 27 ; Первый Самураец ; 1020 
 5846 ; Бона иностранная Испания ;  ;  ;  ;  ; 54 ; Первый Самураец ; 1020 
 5847 ; Бона иностранная Италия ;  ;  ;  ;  ; 15 ; sss282 ; 59 
 5848 ; Бона иностранная Румыния ;  ;  ;  ;  ; 37 ; Первый Самураец ; 306 
 5849 ; Бона иностранная Румыния ;  ;  ;  ;  ; 36 ; Первый Самураец ; 500 
 5850 ; Бона иностранная Румыния ;  ;  ;  ;  ; 28 ; СТРЕКОЗА ; 130 
 5851 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 15 ; SS2008 ; 110 
 5852 ; Бона иностранная Словения ;  ;  ;  ;  ; 37 ; strutikut ; 204 
 5853 ; Бона иностранная Словения ;  ;  ;  ;  ; 27 ; strutikut ; 508 
 5854 ; Бона иностранная Словения ;  ;  ;  ;  ; 47 ; strutikut ; 441 
 5855 ; Бона иностранная Югославия ;  ;  ;  ;  ; 25 ; air ; 157 
 5856 ; Бона иностранная Литва ;  ;  ;  ; AU ; 20 ; ML ; 83 
 5857 ; Лот бон 5 шт. Литва ;  ;  ;  ; AU ; 20 ; sibirian ; 121 
 5858 ; Лот бон 5 шт. Литва ;  ;  ;  ; AU ; 30 ; sibirian ; 167 
 5859 ; Бона иностранная Норвегия ;  ;  ;  ;  ; 36 ; smel ; 225 
 5860 ; Бона иностранная Норвегия ;  ;  ;  ;  ; 14 ; SS2008 ; 102 
 5861 ; Бона иностранная Норвегия ;  ;  ;  ;  ; 30 ; dsp ; 613 
 5862 ; Бона иностранная Норвегия ;  ;  ;  ;  ; 47 ; dsp ; 480 
 5863 ; Бона иностранная Норвегия ;  ;  ;  ;  ; 65 ; dsp ; 918 
 5864 ; Бона иностранная Замбия ;  ;  ;  ; AU ; 45 ; K.V.N. ; 174 
 5865 ; Бона иностранная Замбия ;  ;  ;  ; AU ; 9 ; K.V.N. ; 24 
 5866 ; Бона иностранная Замбия ;  ;  ;  ; AU ; 26 ; K.V.N. ; 101 
 5867 ; Бона иностранная Луизиана ;  ;  ;  ;  ; 44 ; Первый Самураец ; 5100 
 5868 ; Бона иностранная Новый Орлеан ;  ;  ;  ;  ; 58 ; Первый Самураец ; 5100 
 5869 ; Бона иностранная Нью Йорк ;  ;  ;  ;  ; 49 ; Первый Самураец ; 5100 
 5870 ; Бона иностранная Мексика ;  ;  ;  ;  ; 16 ; Первый Самураец ; 189 
 5871 ; Бона иностранная Мексика ;  ;  ;  ;  ; 54 ; Первый Самураец ; 1701 
 5872 ; Бона иностранная Мексика ;  ;  ;  ;  ; 11 ; K.V.N. ; 114 
 5873 ; Бона иностранная Мексика ;  ;  ;  ;  ; 69 ; Первый Самураец ; 453 
 5874 ; Бона иностранная Мексика ;  ;  ;  ;  ; 63 ; Первый Самураец ; 1599 
 5875 ; Бона иностранная Мексика ;  ;  ;  ;  ; 29 ; Первый Самураец ; 815 
 5876 ; Бона иностранная Мексика ;  ;  ;  ;  ; 15 ; Первый Самураец ; 255 
 5877 ; Бона иностранная Франция ;  ;  ;  ;  ; 14 ; Первый Самураец ; 104 
 5878 ; Бона иностранная Франция ;  ;  ;  ;  ; 36 ; Первый Самураец ; 235 
 5879 ; Бона иностранная Франция ;  ;  ;  ;  ; 48 ; Первый Самураец ; 918 
 5880 ; Бона иностранная Франция ;  ;  ;  ;  ; 20 ; Первый Самураец ; 453 
 5881 ; Бона иностранная Франция ;  ;  ;  ;  ; 31 ; Первый Самураец ; 998 
 5882 ; Бона иностранная Франция ;  ;  ;  ;  ; 36 ; Первый Самураец ; 1224 
 5883 ; Бона иностранная Франция ;  ;  ;  ;  ; 13 ; Первый Самураец ; 306 
 5884 ; Бона иностранная Франция ;  ;  ;  ;  ; 36 ; Первый Самураец ; 850 
 5885 ; Бона иностранная Франция ;  ;  ;  ;  ; 20 ; Первый Самураец ; 153 
 5886 ; Бона иностранная Франция ;  ;  ;  ;  ; 27 ; Первый Самураец ; 654 
 5887 ; Бона иностранная Шотландия ;  ;  ;  ;  ; 32 ; SS2008 ; 357 
 5888 ; Бона иностранная Шотландия ;  ;  ;  ;  ; 69 ; Maz ; 444 
 5889 ; Бона иностранная Шотландия ;  ;  ;  ;  ; 56 ; Хаа ; 514 
 5644 ; Бона иностранная ;  ;  ;  ;  ; 4 ; sneg ; 30 
 5645 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Первый Самураец ; 305 
 5646 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Первый Самураец ; 305 
 5647 ; Бона иностранная ;  ;  ;  ;  ; 24 ; Первый Самураец ; 612 
 5648 ; Бона иностранная ;  ;  ;  ;  ; 4 ; я8844 ; 57 
 5649 ; Бона иностранная ;  ;  ;  ;  ; 21 ; FonPaul ; 65 
 5650 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Мурзик ; 54 
 5651 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Мурзик ; 54 
 5652 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Первый Самураец ; 152 
 5653 ; Бона иностранная ;  ;  ;  ;  ; 11 ; collector64 ; 30 
 5800 ; Бона иностранная Филиппины ;  ;  ;  ;  ; 19 ; Первый Самураец ; 357 
 5801 ; Бона иностранная Корея ;  ;  ;  ;  ; 40 ; Первый Самураец ; 1022 
 5802 ; Бона иностранная Корея ;  ;  ;  ;  ; 55 ; Первый Самураец ; 717 
 5803 ; Бона иностранная Япония ;  ;  ;  ;  ; 43 ; Первый Самураец ; 1020 
 5804 ; Бона иностранная Япония ;  ;  ;  ;  ; 42 ; Первый Самураец ; 204 
 5805 ; Бона иностранная Япония ;  ;  ;  ;  ; 64 ; Первый Самураец ; 204 
 5806 ; Бона иностранная Япония ;  ;  ;  ;  ; 45 ; Первый Самураец ; 204 
 5807 ; Бона иностранная Япония ;  ;  ;  ;  ; 54 ; Первый Самураец ; 612 
 5808 ; Бона иностранная Япония ;  ;  ;  ;  ; 85 ; Первый Самураец ; 373 
 5809 ; Бона иностранная Япония ;  ;  ;  ;  ; 47 ; Первый Самураец ; 357 
 5810 ; Бона иностранная Япония ;  ;  ;  ;  ; 14 ; Первый Самураец ; 204 
 5811 ; Бона иностранная Япония ;  ;  ;  ;  ; 36 ; Первый Самураец ; 255 
 5812 ; Бона иностранная Япония ;  ;  ;  ;  ; 21 ; Первый Самураец ; 114 
 5813 ; Бона иностранная Япония ;  ;  ;  ;  ; 12 ; Первый Самураец ; 108 
 5814 ; Бона иностранная Япония ;  ;  ;  ;  ; 52 ; Первый Самураец ; 255 
 5815 ; Бона иностранная Япония ;  ;  ;  ;  ; 38 ; Первый Самураец ; 214 
 5816 ; Бона иностранная Япония ;  ;  ;  ;  ; 10 ; Первый Самураец ; 179 
 5817 ; Бона иностранная Япония ;  ;  ;  ;  ; 43 ; Первый Самураец ; 110 
 5818 ; Бона иностранная Япония ;  ;  ;  ;  ; 47 ; Первый Самураец ; 128 
 5819 ; Бона иностранная Нидерландская индия ;  ;  ;  ;  ; 16 ; Первый Самураец ; 207 
 5820 ; Бона иностранная Монголия ;  ;  ;  ; AU ; 18 ; Первый Самураец ; 318 
 5821 ; Бона иностранная Монголия ;  ;  ;  ; AU ; 9 ; sss282 ; 23 
 5822 ; Бона иностранная Вьетнам ;  ;  ;  ;  ; 21 ; Monata ; 152 
 5823 ; Бона иностранная Лаос ;  ;  ;  ;  ; 21 ; K.V.N. ; 373 
 5824 ; Бона иностранная Лаос ;  ;  ;  ;  ; 19 ; K.V.N. ; 77 
 5825 ; Бона иностранная Лаос ;  ;  ;  ; AU ; 15 ; Searcher ; 81 
 5826 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 9 ; ML ; 128 
 5827 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 13 ; Первый Самураец ; 663 
 5828 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 22 ; Первый Самураец ; 410 
 5829 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 21 ; Первый Самураец ; 359 
 5830 ; Бона иностранная Болгария ;  ;  ;  ; AU ; 15 ; K.V.N. ; 53 
 5831 ; Бона иностранная Швеция ;  ;  ;  ;  ; 40 ; медалькин ; 240 
 5832 ; Бона иностранная Великобритания ;  ;  ;  ;  ; 27 ; ML ; 511 
 5833 ; Бона иностранная Великобритания ;  ;  ;  ;  ; 5 ; alex1974 ; 212 
 5834 ; Бона иностранная Мальта ;  ;  ;  ;  ; 31 ; Первый Самураец ; 206 
 5835 ; Бона иностранная Люксенбург ;  ;  ;  ;  ; 48 ; SS2008 ; 336 
 5836 ; Бона иностранная Франция ;  ;  ;  ;  ; 24 ; Первый Самураец ; 280 
 5837 ; Бона иностранная Франция ;  ;  ;  ;  ; 9 ; Первый Самураец ; 124 
 5838 ; Бона иностранная Франция ;  ;  ;  ;  ; 43 ; Первый Самураец ; 611 
 5839 ; Бона иностранная Франция ;  ;  ;  ;  ; 44 ; Первый Самураец ; 340 
 5594 ; Бона иностранная ;  ;  ;  ;  ; 7 ; я8844 ; 24 
 5595 ; Бона иностранная ;  ;  ;  ;  ; 5 ; maximilian2204 ; 31 
 5596 ; Бона иностранная ;  ;  ;  ;  ; 3 ; maximilian2204 ; 30 
 5597 ; Бона иностранная ;  ;  ;  ;  ; 5 ; FonPaul ; 30 
 5598 ; Бона иностранная ;  ;  ;  ;  ; 5 ; sneg ; 30 
 5599 ; Бона иностранная ;  ;  ;  ;  ; 19 ; FonPaul ; 34 
 5600 ; Бона иностранная ;  ;  ;  ;  ; 7 ; sneg ; 31 
 5601 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Первый Самураец ; 102 
 5602 ; Бона иностранная ;  ;  ;  ;  ; 17 ; sneg ; 39 
 5603 ; Бона иностранная ;  ;  ;  ;  ; 9 ; наташа2712 ; 40 
 5604 ; Бона иностранная ;  ;  ;  ;  ; 11 ; sneg ; 40 
 5605 ; Бона иностранная ;  ;  ;  ;  ; 9 ; sneg ; 40 
 5606 ; Бона иностранная ;  ;  ;  ;  ; 9 ; наташа2712 ; 40 
 5607 ; Бона иностранная ;  ;  ;  ;  ; 9 ; sneg ; 40 
 5608 ; Бона иностранная ;  ;  ;  ;  ; 9 ; sneg ; 40 
 5609 ; Бона иностранная ;  ;  ;  ;  ; 15 ; наташа2712 ; 40 
 5610 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Первый Самураец ; 102 
 5611 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Первый Самураец ; 102 
 5612 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Майкл ; 50 
 5613 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Майкл ; 50 
 5614 ; Бона иностранная ;  ;  ;  ;  ; 16 ; collector64 ; 30 
 5615 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Майкл ; 50 
 5616 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Майкл ; 50 
 5617 ; Бона иностранная ;  ;  ;  ;  ; 20 ; наташа2712 ; 194 
 5618 ; Бона иностранная ;  ;  ;  ;  ; 15 ; наташа2712 ; 197 
 5619 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Первый Самураец ; 145 
 5620 ; Бона иностранная ;  ;  ;  ;  ; 11 ; медалькин ; 101 
 5621 ; Бона иностранная ;  ;  ;  ;  ; 3 ; maximilian2204 ; 30 
 5622 ; Бона иностранная ;  ;  ;  ;  ; 9 ; цеховик ; 45 
 5623 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 26 
 5624 ; Бона иностранная ;  ;  ;  ;  ; 9 ; FonPaul ; 40 
 5625 ; Бона иностранная ;  ;  ;  ;  ; 6 ; вулканолог ; 66 
 5626 ; Бона иностранная ;  ;  ;  ;  ; 6 ; sneg ; 30 
 5627 ; Бона иностранная ;  ;  ;  ;  ; 22 ; MИГ ; 204 
 5628 ; Бона иностранная ;  ;  ;  ;  ; 6 ; FonPaul ; 32 
 5629 ; Бона иностранная ;  ;  ;  ;  ; 13 ; я8844 ; 60 
 5630 ; Бона иностранная ;  ;  ;  ;  ; 11 ; FonPaul ; 31 
 5631 ; Бона иностранная ;  ;  ;  ;  ; 14 ; я8844 ; 27 
