 101 ; 3 копейки ; 1852 ; ЕМ ; Cu ; VF-XF ; 21 ; Продано в зале ; 3500 
 140 ; Медаль в память сооружения Кронштадтских доков, 30 июля 1752 г. Медальер Г.Х.Вехтер. D-64мм ;  ;  ; Br ; VF+ ; 23 ; Упор ; 18000 
 141 ; Медаль В память 50-летних трудов на пользу артиллерии 1827-1877гг. Баранцов Александр Алексеевич. Медальеры Штейнман, Авенир, Грилихес. D-72мм ;  ;  ; Br ; XF ; 33 ; Продано в зале ; 22000 
 51 ; Полтина ; 1857 ; СПБ ФБ ; Ag ; XF ; 38 ; 462 ; 6000 
 52 ; Полтина ; 1858 ; СПБ ФБ ; Ag ; XF ; 21 ; 462 ; 7905 
 53 ; Полтина ; 1895 ; (АГ) АГ ; Ag ; XF ; 25 ; Продано в зале ; 4800 
 54 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; XF+ ; 27 ; Продано в зале ; 4500 
 55 ; Полуполтинник ; 1747 ; ММД ; Ag ; VF-XF ; 17 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 7042 
 56 ; 25 копеек ; 1829 ; СПБ НГ ; Ag ; XF- ; 24 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 6630 
 57 ; 25 копеек. Св. Георгий в плаще ; 1859 ; СПБ ФБ ; Ag ; AU ; 15 ; Продано в зале ; 7000 
 58 ; 25 копеек. Св.Георгий без плаща ; 1859 ; СПБ ФБ ; Ag ; UNC/AU ; 25 ; Продано в зале ; 11000 
 59 ; 25 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 16 ; Продано в зале ; 4800 
 60 ; 25 копеек ; 1887 ; (АГ) АГ ; Ag ; VF ; 39 ; 36400 ; 22950 
 61 ; 25 копеек ; 1896 ; АГ ; Ag ; XF/AU ; 17 ; Lisik ; 4500 
 62 ; 20 копеек ; 1819 ; СПБ ПС ; Ag ; XF ; 33 ; verunk1 ; 9000 
 63 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 36 ; tisa66 ; 5768 
 64 ; 20 копеек (Ильин-5р) ; 1830 ; СПБ НГ ; Ag ; VF+ ; 32 ; Продано в зале ; 12000 
 65 ; 20 копеек ; 1839 ; СПБ НГ ; Ag ; AU ; 59 ; zerkalozemli ; 16441 
 66 ; 20 копеек-40 грошей ; 1848 ; MW Рус.-Пол. ; Ag ; VF ; 22 ; Продано в зале ; 13000 
 67 ; 20 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 15 ; Продано в зале ; 2500 
 68 ; 20 копеек ; 1882 ; СПБ НФ ; Ag ; AU ; 23 ; verunk1 ; 11000 
 69 ; 15 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 11 ; Продано в зале ; 3500 
 70 ; 15 копеек ; 1899 ; СПБ АГ ; Ag ; AU/XF ; 19 ; Эфес ; 6885 
 71 ; Гривенник ; 1743 ;  ; Ag ; VF-XF ; 18 ; Упор ; 8000 
 72 ; Гривенник ; 1791 ; СПБ ; Ag ; VF+ ; 15 ; Продано в зале ; 12000 
 73 ; 10 копеек ; 1856 ; СПБ НФ ; Ag ; AU/XF ; 11 ; Упор ; 3000 
 74 ; 10 копеек ; 1917 ; ВС ; Ag ; AU ; 23 ; Trien ; 5500 
 75 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 18 ; tisa66 ; 4386 
 76 ; 5 копеек ; 1833 ; СПБ НГ ; Ag ; XF+ ; 25 ; tisa66 ; 3600 
 77 ; 5 копеек ; 1837 ; СПБ НГ ; Ag ; XF+ ; 23 ; verunk1 ; 5102 
 78 ; 5 копеек ; 1852 ; СПБ ПА ; Ag ; AU ; 10 ; double ; 3287 
 79 ; 6 грошей ; 1761 ; Для Пруссии ; Ag ; VF+ ; 47 ; Продано в зале ; 14500 
 80 ; 1 злотый ; 1830 ; FH Польша ; Ag ; XF ; 63 ; нумизмат ; 21400 
 81 ; 10 копеек (Петров-2р) ; 1767 ; КМ "Сибирь" ; Cu ; VF ; 10 ; SSK ; 8159 
 82 ; 10 копеек ; 1770 ; КМ "Сибирь" ; Cu ; VF ; 19 ; zigzag ; 10000 
 83 ; 10 копеек ; 1771 ; КМ "Сибирь" ; Cu ; VF ; 12 ; double ; 5307 
 84 ; 10 копеек ; 1772 ; КМ "Сибирь" ; Cu ; VF+ ; 8 ; чук и гек ; 6913 
 85 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; VF+ ; 9 ; Продано в зале ; 8250 
 86 ; 10 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF+ ; 12 ; Продано в зале ; 10000 
 87 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; VF+ ; 11 ; Продано в зале ; 10000 
 88 ; 5 копеек ; 1727 ; НД Дата снизу вверх ; Cu ; VF ; 10 ; SSK ; 2833 
 89 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; VF ; 13 ; Trien ; 2550 
 90 ; 5 копеек ; 1765 ; ЕМ ; Cu ; VF+ ; 15 ; Продано в зале ; 2000 
 91 ; 5 копеек ; 1772 ; КМ "Сибирь" ; Cu ; VF+ ; 23 ; чук и гек ; 3500 
 92 ; 5 копеек. Крым. Шахин-Гирей ; 1191 (1777) ;  ; Cu ; VF ; 3 ; Продано в зале ; 1750 
 93 ; 5 копеек (Петров-5р, Ильин-1р) ; 1780 ; КМ "Сибирь" ; Cu ; VF+ ; 33 ; Продано в зале ; 14000 
 94 ; 5 копеек (Петров-10р, Ильин-10р) ; 1788 ; ММ ; Cu ; F-VF ; 9 ; Продано в зале ; 15500 
 95 ; 5 копеек. Павловский перечекан ; 1796 ; ЕМ Павл.перечек. ; Cu ; VF+ ; 63 ; 36400 ; 11334 
 96 ; 5 копеек (Петров-2р, Ильин-1р) ; 1804 ; КМ ; Cu ; VF+ ; 44 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 7222 
 97 ; 5 копеек ; 1805 ; КМ ; Cu ; VF ; 26 ; SSK ; 4590 
 98 ; 5 копеек ; 1831 ; ЕМ ФХ ; Cu ; XF+ ; 33 ; Продано в зале ; 9000 
 99 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF-XF ; 11 ; verunk1 ; 1344 
 100 ; 5 копеек ; 1912 ; СПБ ; Cu ; VF-XF ; 12 ; 550055 ; 2763 
 1 ; 5 рублей. М-6,54гр ; 1854 ; СПБ АГ ; Au ; XF ; 64 ; Упор ; 36083 
 2 ; 1,5 рубля-10 злотых ; 1833 ; НГ Рус.-Пол. ; Ag ; VF+ ; 17 ; double ; 6740 
 3 ; 1,5 рубля-10 злотых ; 1836 ; НГ Рус.-Пол. ; Ag ; VF+ ; 10 ; double ; 6477 
 4 ; Рубль ; 1723 ;  ; Ag ; VF-XF ; 12 ; evchik ; 24888 
 5 ; Рубль ; 1724 ;  ; Ag ; VF ; 8 ; evchik ; 26021 
 6 ; Рубль ; 1724 ;  ; Ag ; VF ; 8 ; Mmm ; 15974 
 7 ; Рубль ; 1725 ;  ; Ag ; VF ; 20 ; Продано в зале ; 32500 
 8 ; Рубль ; 1725 ; СПБ ; Ag ; F-VF ; 14 ; Mmm ; 19000 
 9 ; Рубль ; 1726 ; СПБ ; Ag ; VF+ ; 37 ; 36400 ; 21230 
 10 ; Рубль ; 1728 ;  ; Ag ; VF+ ; 18 ; Trien ; 22950 
 11 ; Рубль ; 1728 ;  ; Ag ; VF-XF ; 22 ; lvd ; 22975 
 12 ; Рубль ; 1728 ;  ; Ag ; VF ; 17 ; Mmm ; 15605 
 13 ; Рубль ; 1739 ;  ; Ag ; VF-XF ; 21 ; Продано в зале ; 16500 
 14 ; Рубль ; 1742 ; СПБ ; Ag ; VF+ ; 18 ; Продано в зале ; 22000 
 15 ; Рубль ; 1749 ; СПБ ; Ag ; XF ; 33 ; Продано в зале ; 32000 
 16 ; Рубль ; 1751 ; ММД ; Ag ; VF+ ; 38 ; нумизмат ; 25500 
 17 ; Рубль ; 1753 ; СПБ IM ; Ag ; VF ; 15 ; 36400 ; 15300 
 18 ; Рубль (Петров-3р) ; 1763 ; ММД EI TI ; Ag ; VF ; 10 ; 36400 ; 10199 
 19 ; Рубль ; 1763 ; СПБ ЯI TI ; Ag ; VF-XF ; 14 ; Продано в зале ; 15500 
 20 ; Рубль ; 1764 ; СПБ ЯI TI ; Ag ; VF+ ; 14 ; denizen ; 7960 
 21 ; Рубль ; 1764 ; СПБ СА TI ; Ag ; VF+ ; 13 ; denizen ; 6899 
 22 ; Рубль ; 1765 ; СПБ ЯI TI ; Ag ; AU ; 28 ; verunk1 ; 29719 
 23 ; Рубль ; 1765 ; СПБ ЯI TI ; Ag ; VF-XF ; 19 ; Lisik ; 12239 
 24 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; XF ; 19 ; denizen ; 9889 
 25 ; Рубль ; 1771 ; СПБ ЯЧ TI ; Ag ; XF+ ; 11 ; Продано в зале ; 17500 
 26 ; Рубль ; 1773 ; СПБ ЯЧ TИ ; Ag ; XF/XF+ ; 17 ; Продано в зале ; 15500 
 27 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF/AU ; 16 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 18360 
 28 ; Рубль ; 1775 ; СПБ QЛ TИ ; Ag ; XF/XF+ ; 21 ; icebreaker ; 20152 
 29 ; Рубль ; 1776 ; СПБ ЯЧ TИ ; Ag ; AU ; 19 ; verunk1 ; 24000 
 30 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF- ; 38 ; Продано в зале ; 29000 
 31 ; Рубль ; 1798 ; СМ МБ ; Ag ; VF+ ; 30 ; funcash ; 10613 
 32 ; Рубль ; 1801 ; СМ АИ ; Ag ; VF+ ; 35 ; Trien ; 19380 
 33 ; Рубль ; 1808 ; СПБ МК ; Ag ; VF+ ; 36 ; Trien ; 26520 
 34 ; Рубль ; 1809 ; СПБ ФГ ; Ag ; VF-XF/VF+ ; 29 ; у44 ; 19890 
 35 ; Рубль ; 1828 ; СПБ НГ ; Ag ; VF-XF ; 23 ; нумизмат ; 12750 
 36 ; Рубль ; 1829 ; СПБ НГ ; Ag ; VF-XF ; 11 ; nikolas1957 ; 8670 
 37 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF- ; 28 ; Продано в зале ; 6500 
 38 ; Рубль ; 1840 ; СПБ НГ ; Ag ; XF- ; 19 ; Продано в зале ; 6000 
 39 ; Рубль ; 1840 ; СПБ НГ ; Ag ; XF ; 24 ; Продано в зале ; 70000 
 40 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF ; 7 ; Lisik ; 7000 
 41 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF- ; 6 ; Продано в зале ; 6000 
 42 ; Рубль ; 1847 ; MW ; Ag ; XF- ; 16 ; denizen ; 7500 
 43 ; Рубль ; 1848 ; СПБ HI ; Ag ; XF- ; 19 ; Lisik ; 14000 
 44 ; Рубль (Петров-4р) ; 1852 ; СПБ HI ; Ag ; XF ; 7 ; Продано в зале ; 37000 
 45 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; AU ; 18 ; lelic ; 61202 
 46 ; Рубль ; 1872 ; СПБ HI ; Ag ; VF-XF ; 31 ; verunk1 ; 36000 
 47 ; Рубль ; 1885 ; СПБ АГ ; Ag ; XF- ; 23 ; Упор ; 16647 
 48 ; Рубль ; 1894 ; (АГ) ; Ag ; VF-XF ; 37 ; Упор ; 44880 
 49 ; Полтина ; 1732 ;  ; Ag ; VF ; 17 ; Упор ; 16524 
 50 ; Полтина ; 1824 ; СПБ ПД ; Ag ; VF-XF ; 16 ; Упор ; 4692 
