 5828 ; Бона иностранная. Куба ; 1896 ;  ;  ;  ; 29 ; umbrella ; 340 
 5380 ; Лот купонов 14 шт ;  ;  ;  ;  ; 20 ; пасечник ; 50 
 5381 ; Облигация в 500 рублей, о-ва Бессарабских жел.дор ; 1916 ;  ;  ;  ; 29 ; Дуб ; 1561 
 5382 ; Акция в 100 рублей А.О."Каучук" ; 1913 ;  ;  ;  ; 30 ; Дуб ; 1019 
 5383 ; Облигация в 125 р. 3% золотой заём ; 1891 ;  ;  ;  ; 35 ; Дуб ; 1529 
 5384 ; Облигация в 187.5р. Московско-Киево-Воронежской ж.д ; 1914 ;  ;  ;  ; 11 ; Дуб ; 1587 
 5385 ; Облигация в 187.5 р. Алтайской ж.д. 2 шт ; 1912 ;  ;  ;  ; 15 ; Дуб ; 1010 
 5386 ; Облигация в 187.5 р. Западно-Уральской ж.д ; 1912 ;  ;  ;  ; 14 ; Дуб ; 1587 
 5387 ; Облигация в 125 р. Ряжско-Вяземской ж.д ; 1889 ;  ;  ;  ; 26 ; Дуб ; 1427 
 5388 ; Облигация в 125 р. Ивангородо-Домбровской ж.д ; 1888 ;  ;  ;  ; 20 ; Дуб ; 510 
 5389 ; Облигация в 187.5 р. Рязанско-Уральской ж.д ; 1903 ;  ;  ;  ; 16 ; Дуб ; 918 
 5390 ; Акция саратовский трамвай ; 1907 ;  ;  ;  ; 23 ; Дуб ; 714 
 5391 ; Акция в 187.5 р.Керченских металлургических заводов ; 1899 ;  ;  ;  ; 19 ; Дуб ; 918 
 5392 ; Пай в 100 р. Товарищество"Проводник" ; 1909 ;  ;  ;  ; 32 ; Дуб ; 1019 
 5393 ; Лот облигаций 3 шт ;  ;  ;  ;  ; 32 ; Дуб ; 1428 
 5394 ; Лот акций 3 шт ;  ;  ;  ;  ; 19 ; Дуб ; 1010 
 5395 ; Лот билетов МММ 5 шт ;  ;  ;  ;  ; 19 ; Jiamer57rus ; 157 
 5396 ; Лот бон: 1 рубль, 1 червонец (2шт) ; 1937,1938 ;  ;  ;  ; 22 ; Jiamer57rus ; 400 
 5397 ; Бона иностранная. 1 марка. Финляндия ; 1918 ;  ;  ;  ; 12 ; Gera_K ; 57 
 5398 ; Лот бон (3шт) ;  ;  ;  ;  ; 10 ; 12nerv ; 33 
 5501 ; Бона иностранная ;  ;  ;  ;  ; 17 ; VOLKODAVS5 ; 40 
 5100 ; 100 рублей ; 1946 ;  ;  ;  ; 7 ; valencio ; 302 
 5301 ; 100 рублей ; 1898 ; Тимашев 1903. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 31 ; Fliege1 ; 9180 
 5302 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 55 ; прохожий ; 1073 
 5303 ; 3 рубля ; 1905 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 16 ; GERo ; 140 
 5304 ; Лот бон 1,2.3,5 копеек ;  ;  ;  ;  ; 37 ; LDD ; 796 
 5305 ; 10000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 35 ; maxm812 ; 1925 
 5306 ; 10 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 20 ; nikfed ; 521 
 5307 ; 1 рубль ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 25 ; svv ; 363 
 5308 ; 10000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 41 ; benc ; 567 
 5309 ; 10000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 31 ; idalgo-17 ; 309 
 5310 ; 100 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ;  ; 18 ; bonist-3A ; 1405 
 5311 ; 10 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ;  ; 24 ; svv ; 2040 
 5312 ; 5 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ;  ; 17 ; svv ; 1609 
 5313 ; 1 рубль ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ;  ; 24 ; bonist-3A ; 793 
 5314 ; 100 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 34 ; bonist-3A ; 663 
 5315 ; 10 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 23 ; скорпион_48 ; 755 
 5316 ; 500 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 19 ; g-s-m-78 ; 250 
 5317 ; 10 рублей ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ;  ; 22 ; albar ; 793 
 5318 ; 5 рублей ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ;  ; 24 ; masterovoi ; 1286 
 5319 ; 3 червонца ; 1937 ; Билет ;  ;  ; 16 ; valencio ; 408 
 5320 ; 1 червонец ; 1937 ; Билет ;  ;  ; 11 ; alex241 ; 453 
 5321 ; 25 рублей ; 1947 ; билет ;  ;  ; 36 ; idalgo-17 ; 2835 
 5322 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 19 ; Zubrstroy ; 521 
 5323 ; 200 рублей ; 1992 ; билет ;  ;  ; 30 ; strutikut ; 408 
 5324 ; 5000 рублей ; 1992 ; банкнота ;  ;  ; 30 ; victorsa ; 510 
 5325 ; 5000 рублей ; 1993 ; банкнота ;  ;  ; 49 ; maxm812 ; 2040 
 5326 ; 10000 рублей ; 1993 ; банкнота ;  ;  ; 34 ; Zubrstroy ; 716 
 5327 ; 50000 рублей ; 1995 ; банкнота ;  ;  ; 30 ; vizer ; 805 
 5328 ; Облигация на 100 рублей ; 1943 ;  ;  ;  ; 22 ; sidr ; 1530 
 5329 ; Облигация на 50 рублей ; 1940 ;  ;  ;  ; 29 ; 333985 ; 433 
 5330 ; Облигация на 25 рублей ; 1945 ;  ;  ;  ; 27 ; Дуб ; 453 
 5331 ; Лотерейный билет "ОСОАВИАХИМА" ; 1940 ;  ;  ;  ; 18 ; LDD ; 410 
 5332 ; Лотерейный билет "АВТОДОРА" ; 1934 ;  ;  ;  ; 19 ; lvd ; 614 
 5333 ; Лотерейный билет "ОСОАВИАХИМА" ; 1935 ;  ;  ;  ; 22 ; Gera_K ; 429 
 5334 ; Лотерейный билет "ОСОАВИАХИМА" ; 1937 ;  ;  ;  ; 21 ; LDD ; 512 
 5335 ; Талоны "АРКТИКУГОЛЬ" на 1,2,3,5,10 копеек ;  ;  ;  ;  ; 23 ; Guerras ; 1250 
 5336 ; Дорожный чек на 100 рублей. Банк для внешней торговли СССР ;  ;  ;  ; AU ; 11 ; Guerras ; 220 
 5337 ; Лот бон 10 шт. 1,3,5 рублей ; 1898,1905,1909 ;  ;  ;  ; 17 ; akula ; 348 
 5338 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 14 ; 12nerv ; 67 
 5339 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 16 ; SANGOLD1 ; 67 
 5340 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 18 ; Zubrstroy ; 163 
 5341 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 5 ; zima ; 306 
 5342 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 14 ; апрол ; 207 
 5343 ; Бона 5 рублей. Либавское городское самоуправление ; 1915 ;  ;  ; AU ; 35 ; Aquila ; 697 
 5344 ; 1 марка ; 1919 ;  ;  ;  ; 25 ; bon15041980 ; 459 
 5345 ; Бона 5 рублей г.Одесса ; 1917 ;  ;  ;  ; 26 ; gsv0703 ; 450 
 5346 ; Лот бон 1,3.5,10,25 рублей ; 1961 ;  ;  ; AU ; 43 ; torbey ; 1020 
 5347 ; 100 рублей ; 1961 ;  ;  ;  ; 32 ; X-43A ; 323 
 5348 ; Лот бон 9 шт ;  ;  ;  ;  ; 29 ; сир ; 328 
