 5926 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Rober ; 31 
 5884 ; Лот иностранных бон. Испания, Индонезия, Французская Западная Африка (3 шт) ;  ;  ;  ;  ; 17 ; filat100 ; 522 
 5885 ; Облигация в 100 марок. Третий Рейх ;  ;  ;  ;  ; 13 ; Schwer ; 227 
 5886 ; Облигация в 200 марок. Третий Рейх ;  ;  ;  ;  ; 11 ; QSL ; 239 
 5887 ; Облигация в 500 марок. Третий Рейх ;  ;  ;  ;  ; 16 ; Schwer ; 363 
 5888 ; Акция США ; 1961 ;  ;  ;  ; 7 ; khardin1 ; 105 
 5889 ; Акция США ; 1974 ;  ;  ;  ; 5 ; khardin1 ; 108 
 5890 ; Акция США ; 1974 ;  ;  ;  ; 3 ; khardin1 ; 108 
 5891 ; Акция США ; 1963 ;  ;  ;  ; 5 ; knulla ; 114 
 5892 ; Акция США ; 1984 ;  ;  ;  ; 3 ; khardin1 ; 108 
 5893 ; Акция США ; 1993 ;  ;  ;  ; 3 ; khardin1 ; 108 
 5894 ; Акция США ; 1980 ;  ;  ;  ; 3 ; khardin1 ; 108 
 5895 ; Акция США ; 1973 ;  ;  ;  ; 5 ; 18051951 ; 112 
 5896 ; Акция США ; 1969 ;  ;  ;  ; 3 ; khardin1 ; 108 
 5897 ; Акция США ; 1975 ;  ;  ;  ; 3 ; khardin1 ; 108 
 5898 ; Акция США. Надрыв в центре ; 1976 ;  ;  ;  ; 17 ; gigajohn ; 53 
 5899 ; Акция США ; 1985 ;  ;  ;  ; 7 ; avs ; 181 
 5900 ; Акция США ; 1946 ;  ;  ;  ; 3 ; khardin1 ; 108 
 5901 ; Акция США ; 1975 ;  ;  ;  ; 3 ; khardin1 ; 108 
 5902 ; Акция США ; 1975 ;  ;  ;  ; 49 ; gigajohn ; 147 
 5903 ; Акция США ; 1972 ;  ;  ;  ; 3 ; khardin1 ; 108 
 5904 ; Акция. Германия ; 1924 ;  ;  ;  ; 16 ; advokatx ; 116 
 5905 ; Акция. Германия ; 1924 ;  ;  ;  ; 24 ; advokatx ; 117 
 5906 ; Облигация. Германия ; 1927 ;  ;  ;  ; 20 ; market_spb ; 308 
 5907 ; Облигация. Германия ; 1927 ;  ;  ;  ; 14 ; Юбер ; 124 
 5908 ; Облигация. Германия ; 1928 ;  ;  ;  ; 9 ; Юбер ; 138 
 5909 ; Облигация. Германия ; 1929 ;  ;  ;  ; 10 ; Юбер ; 130 
 5910 ; Облигация. Германия ; 1929 ;  ;  ;  ; 8 ; Юбер ; 110 
 5911 ; Облигация. Германия ; 1927 ;  ;  ;  ; 9 ; market_spb ; 204 
 5912 ; Облигация. Германия ; 1927 ;  ;  ;  ; 8 ; Юбер ; 110 
 5913 ; Облигация. Германия ; 1937 ;  ;  ;  ; 10 ; altunin ; 110 
 5914 ; Облигация. Германия ; 1947 ;  ;  ;  ; 14 ; gigajohn ; 69 
 5915 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 16 
 5916 ; Бона иностранная ;  ;  ;  ;  ; 7 ; brat52 ; 10 
 5917 ; Бона иностранная ;  ;  ;  ;  ; 11 ; brat52 ; 14 
 5918 ; Бона иностранная ;  ;  ;  ;  ; 6 ; brat52 ; 22 
 5919 ; Бона иностранная ;  ;  ;  ;  ; 4 ; brat52 ; 14 
 5920 ; Бона иностранная ;  ;  ;  ;  ; 4 ; brat52 ; 14 
 5921 ; Бона иностранная ;  ;  ;  ;  ; 4 ; brat52 ; 14 
 5922 ; Бона иностранная ;  ;  ;  ;  ; 4 ; brat52 ; 14 
 5923 ; Бона иностранная ;  ;  ;  ;  ; 4 ; brat52 ; 14 
 5924 ; Бона иностранная ;  ;  ;  ;  ; 6 ; brat52 ; 14 
 5925 ; Бона иностранная ;  ;  ;  ;  ; 4 ; brat52 ; 14 
 5826 ; Бона иностранная. Чили. 50 песо ; 1960 ;  ;  ;  ; 11 ; filat100 ; 114 
 5827 ; Бона иностранная. Чили. 100 песо ; 1960 ;  ;  ;  ; 10 ; filat100 ; 58 
 5828 ; Бона иностранная. Заир. 10 новых макут ; 1993 ;  ;  ;  ; 31 ; Моряк-собиратель ; 59 
 5829 ; Лот иностранных бон. Куба (2 шт) ;  ;  ;  ;  ; 18 ; filat100 ; 114 
 5830 ; Лот иностранных бон. Египет (12 шт) ;  ;  ;  ;  ; 11 ; я8844 ; 46 
 5831 ; Лот иностранных бон. Великобритания (3 шт) ;  ;  ;  ;  ; 38 ; хорват85 ; 243 
 5832 ; Лот иностранных бон. Великобритания. Вооруженные силы (3 шт) ;  ;  ;  ;  ; 20 ; alex1974 ; 611 
 5833 ; Бона иностранная. . Великобритания. Вооруженные силы. 5 фунтов ; 1958 ;  ;  ;  ; 40 ; Searcher ; 194 
 5834 ; Бона иностранная. . Великобритания. Вооруженные силы. 1 фунт ; 1948 ;  ;  ;  ; 17 ; _1111_ ; 90 
 5835 ; Бона иностранная. . Великобритания. Вооруженные силы. 10 шиллингов ; 1948 ;  ;  ;  ; 23 ; alex1974 ; 338 
 5836 ; Лот иностранных бон. Лаос.  (5 шт) ;  ;  ;  ;  ; 19 ; .gk ; 135 
 5837 ; Лот иностранных бон. Ливан (4 шт) ;  ;  ;  ;  ; 12 ; ИЮМов1 ; 64 
 5838 ; Бона иностранная. Ливан. 250 ливров ; 1988 ;  ;  ;  ; 11 ; SАПSАН ; 51 
 5839 ; Бона иностранная. Монголия. 1 тугрик ; 1955 ;  ;  ;  ; 29 ; ges ; 82 
 5840 ; Лот иностранных бон. Монголия (3 шт) ;  ;  ;  ;  ; 25 ; fordvr ; 164 
 5841 ; Лот иностранных бон. Монголия (5 шт) ;  ;  ;  ;  ; 11 ; som-media ; 174 
 5842 ; Лот иностранных бон. Люксембург (2 шт) ;  ;  ;  ;  ; 30 ; я8844 ; 255 
 5843 ; Лот иностранных бон. Британское Борнео (2 шт) ;  ;  ;  ;  ; 21 ; filat100 ; 519 
 5844 ; Лот иностранных бон. Малайзия (5 шт) ;  ;  ;  ;  ; 12 ; smel ; 234 
 5845 ; Лот иностранных бон. Непал (4 шт) ;  ;  ;  ;  ; 34 ; QSL ; 204 
 5846 ; Лот иностранных бон. Никарагуа (4 шт) ;  ;  ;  ;  ; 8 ; cochu ; 108 
 5847 ; Лот иностранных бон. Нигерия (4 шт) ;  ;  ;  ;  ; 21 ; podpolkovnic ; 94 
 5848 ; Бона иностранная. Норвегия. 10 крон ; 1967 ;  ;  ;  ; 15 ; я8844 ; 117 
 5849 ; Бона иностранная. Норвегия. 10 крон ; 1979 ;  ;  ;  ; 21 ; я8844 ; 148 
 5850 ; Бона иностранная. Литва. 20 лит ; 1997 ;  ;  ;  ; 18 ; filat100 ; 245 
 5851 ; Бона иностранная. Литва. 10 лит ; 1993 ;  ;  ;  ; 14 ; luda ; 120 
 5852 ; Бона иностранная. Литва. 10 лит ; 1997 ;  ;  ;  ; 15 ; СЁМА ; 128 
 5853 ; Лот иностранных бон. Литва (4 шт) ;  ;  ;  ;  ; 17 ; SANGOLD1 ; 78 
 5854 ; Лот иностранных бон. Литва. Талоны (5 шт) ;  ;  ;  ;  ; 33 ; Скрудж ; 179 
 5855 ; Лот иностранных бон. Литва. Талоны (2 шт) ; 1992, 1993 ;  ;  ;  ; 24 ; alex241 ; 179 
 5856 ; Лот иностранных бон. Эстония (5 шт) ;  ;  ;  ;  ; 28 ; Sky2 ; 99 
 5857 ; Лот иностранных бон. Латвия (6 шт) ; 1992 ;  ;  ;  ; 14 ; Опятор ; 90 
 5858 ; Лот иностранных бон. Финляндия (3 шт) ; 1939, 1945 ;  ;  ;  ; 40 ; dsp ; 351 
 5859 ; Лот иностранных бон. Финляндия (2 шт) ; 1945 ;  ;  ;  ; 24 ; Опятор ; 184 
 5860 ; Лот иностранных бон. Финляндия. 10 марок (3 шт) ; 1945,1963, 1986 ;  ;  ;  ; 28 ; я8844 ; 410 
 5861 ; Бона иностранная. Финляндия. 100 марок ; 1945 ;  ;  ;  ; 37 ; filat100 ; 453 
 5862 ; Бона иностранная. Дания. 100 крон ; 1972 ;  ;  ;  ; 31 ; filat100 ; 714 
 5863 ; Бона иностранная. Дания. 50 крон ; 1972 ;  ;  ;  ; 25 ; filat100 ; 600 
 5864 ; Бона иностранная. Дания. 20 крон ; 1972 ;  ;  ;  ; 21 ; я8844 ; 204 
 5865 ; Бона иностранная. Дания. 10 крон ; 1972 ;  ;  ;  ; 25 ; я8844 ; 106 
 5866 ; Бона иностранная. Дания. 10 крон ; 1936 ;  ;  ;  ; 20 ; я8844 ; 128 
 5867 ; Лот иностранных бон. Дания. 5, 10, 20 крон (3 шт) ; 1936, 1972 ;  ;  ;  ; 17 ; я8844 ; 255 
 5868 ; Лот иностранных бон. Дания. 1, 10 крон (3 шт) ; 1921, 1934, 1947 ;  ;  ;  ; 24 ; filat100 ; 453 
 5869 ; Бона иностранная. Дания. 5 крон ; 1940 ;  ;  ;  ; 16 ; я8844 ; 308 
 5870 ; Лот иностранных бон. Дания. 1 крона, 25, 10, 5 эре (4 шт) ;  ;  ;  ;  ; 11 ; tss ; 276 
 5871 ; Бона иностранная. Дания. 50 крон ; 1997 ;  ;  ;  ; 25 ; Searcher ; 510 
 5872 ; Бона иностранная. Гренландия. 5 крон ;  ;  ;  ;  ; 27 ; filat100 ; 3570 
 5873 ; Бона иностранная. Нидерланды.  100 гульденов ; 1977 ;  ;  ;  ; 33 ; ctepanovich ; 1440 
 5874 ; Бона иностранная. Тайвань ;  ;  ;  ;  ; 11 ; СЁМА ; 114 
 5875 ; Бона иностранная. Сербия. 500 динар ; 1941 ;  ;  ;  ; 8 ; СТРЕКОЗА ; 159 
 5534 ; Бона иностранная ;  ;  ;  ;  ; 10 ; chex88 ; 118 
 5535 ; Бона иностранная ;  ;  ;  ;  ; 20 ; som-media ; 60 
 5536 ; Бона иностранная ;  ;  ;  ;  ; 10 ; som-media ; 61 
 5537 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Нифертити ; 113 
 5538 ; Бона иностранная ;  ;  ;  ;  ; 15 ; alex1974 ; 128 
 5539 ; Бона иностранная ;  ;  ;  ;  ; 8 ; som-media ; 101 
 5540 ; Бона иностранная ;  ;  ;  ;  ; 11 ; som-media ; 101 
 5541 ; Бона иностранная ;  ;  ;  ;  ; 10 ; som-media ; 101 
 5542 ; Бона иностранная ;  ;  ;  ;  ; 8 ; ек ; 36 
 5543 ; Бона иностранная ;  ;  ;  ;  ; 48 ; alex1974 ; 398 
 5544 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Schwer ; 105 
 5545 ; Бона иностранная ;  ;  ;  ;  ; 6 ; ALEX150 ; 50 
 5546 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ALEX150 ; 51 
 5547 ; Бона иностранная ;  ;  ;  ;  ; 8 ; ALEX150 ; 62 
 5548 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Woker ; 132 
 5549 ; Бона иностранная ;  ;  ;  ;  ; 7 ; brat52 ; 40 
 5550 ; Бона иностранная ;  ;  ;  ;  ; 8 ; som-media ; 65 
 5551 ; Бона иностранная ;  ;  ;  ;  ; 26 ; вулканолог ; 99 
 5552 ; Бона иностранная ;  ;  ;  ;  ; 13 ; burlak ; 101 
 5553 ; Бона иностранная ;  ;  ;  ;  ; 5 ; ALEX150 ; 101 
 5554 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Woker ; 72 
 5555 ; Бона иностранная ;  ;  ;  ;  ; 9 ; SANGOLD1 ; 102 
 5556 ; Бона иностранная ;  ;  ;  ;  ; 11 ; burlak ; 60 
 5557 ; Бона иностранная ;  ;  ;  ;  ; 10 ; brat52 ; 31 
 5558 ; Бона иностранная ;  ;  ;  ;  ; 9 ; sparrow ; 50 
 5801 ; Бона иностранная. Венгрия. 10  пенгэ ; 1944 ;  ;  ;  ; 46 ; Юбер ; 150 
 5802 ; Бона иностранная. Афганистан. 500 афгани ; 1979 ;  ;  ;  ; 13 ; Rober ; 31 
 5803 ; Бона иностранная. Афганистан. 100 афгани ; 1979 ;  ;  ;  ; 17 ; Woker ; 35 
 5804 ; Бона иностранная. Афганистан. 50 афгани ; 1990 ;  ;  ;  ; 17 ; kent01 ; 36 
 5805 ; Бона иностранная. Албания. 10 леке ; 1949 ;  ;  ;  ; 9 ; ИЮМов1 ; 185 
 5806 ; Бона иностранная. Аргентина. 10 песо ; 1954/63 ;  ;  ;  ; 15 ; max2008 ; 46 
 5807 ; Бона иностранная. Аргентина. 1 песо ; 1956 ;  ;  ;  ; 7 ; knulla ; 20 
 5808 ; Бона иностранная. Австралия. 1 доллар ; 1976 ;  ;  ;  ; 28 ; хорват85 ; 57 
 5809 ; Бона иностранная. Багамы. 1 доллар ; 1974 ;  ;  ;  ; 24 ; filat100 ; 129 
 5810 ; Лот ностранных бон. Бангладеш (7 шт) ;  ;  ;  ;  ; 27 ; Опятор ; 111 
 5811 ; Лот ностранных бон. Бельгия (3 шт) ;  ;  ;  ;  ; 37 ; filat100 ; 420 
 5812 ; Лот ностранных бон. Бельгия (7 шт) ;  ;  ;  ;  ; 21 ; mart_si ; 105 
 5813 ; Бона иностранная. Бельгия. 100 франков ;  ;  ;  ;  ; 28 ; я8844 ; 398 
 5814 ; Лот иностранных бон. Боливия (2 шт) ;  ;  ;  ;  ; 15 ; filat100 ; 140 
 5815 ; Лот иностранных бон. Босния и Герциговина (4 шт) ;  ;  ;  ;  ; 16 ; strutikut ; 102 
 5816 ; Лот иностранных бон. Бразилия (2 шт) ;  ;  ;  ;  ; 25 ; наташа2712 ; 55 
 5817 ; Лот иностранных бон. Бразилия (3 шт) ;  ;  ;  ;  ; 23 ; SАПSАН ; 123 
 5818 ; Лот иностранных бон. Бразилия (4 шт) ;  ;  ;  ;  ; 22 ; brat52 ; 114 
 5819 ; Лот иностранных бон. Болгария (3 шт) ;  ;  ;  ;  ; 28 ; Юбер ; 155 
 5820 ; Лот иностранных бон. Болгария (2 шт) ;  ;  ;  ;  ; 10 ; seger ; 153 
 5821 ; Лот иностранных бон. Болгария (4 шт) ;  ;  ;  ;  ; 12 ; gigajohn ; 216 
 5822 ; Лот иностранных бон. Бирма и Мьянма (5 шт) ;  ;  ;  ;  ; 16 ; brat52 ; 102 
 5823 ; Лот иностранных бон. Богемия и Моравия (3 шт) ;  ;  ;  ;  ; 25 ; cochu ; 244 
 5824 ; Лот иностранных бон. Канада (3 шт) ;  ;  ;  ;  ; 33 ; я8844 ; 322 
 5825 ; Лот иностранных бон. Цейлон (5 шт) ;  ;  ;  ;  ; 35 ; filat100 ; 448 
 5416 ; Закладной лист на капитал в 100 рублей ; 1889 ;  ;  ;  ; 15 ; Максимус ; 918 
 5417 ; Облигация в 125 рублей золотом. Колнсолидированная Российская 4% Железнодорожная Облигация 2ой серии ; 1889 ;  ;  ;  ; 19 ; Максимус ; 918 
 5418 ; Облигация в 187 рублей 50 копеек. Российский государственный 4,5% заем ; 1909 ;  ;  ;  ; 10 ; Михаил_нов ; 357 
 5419 ; Облигация в 187 рублей 50 копеек. Российский государственный 5% заем ; 1906 ;  ;  ;  ; 13 ; Максимус ; 918 
 5420 ; Закладной лист на капитал  в 150 рублей.  Государственный дворянский земельный банк ; 1898 ;  ;  ;  ; 12 ; Михаил_нов ; 357 
 5421 ; Облигация на 125 рублей металлических. Российские железные дороги ; 1880 ;  ;  ;  ; 19 ; Максимус ; 918 
 5422 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 17 ; bonist-3A ; 1000 
 5423 ; 1 рубль ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 41 ; П.А.Н. ; 69 
 5424 ; 50000 рублей ; 1995 ; банкнота ;  ;  ; 20 ; Rusik ; 512 
 5425 ; 15 рублей ;  ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 13 ; pref ; 57 
 5426 ; 3 рубля ; 1905 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 23 ; bonipari ; 257 
 5427 ; 10000 рублей ; 1919 ;  ;  ;  ; 22 ; Филипп Бенг ; 417 
 5428 ; 10 червонцев ; 1937 ; Билет ;  ;  ; 46 ; прохожий ; 665 
 5429 ; 15 копеек ; 1915 ; Деньги-марки ;  ;  ; 12 ; wasp69 ; 51 
 5430 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 17 ; МАТ ; 363 
 5431 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 14 ; весной ; 1500 
 5432 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 15 ; прохожий ; 816 
 5501 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Филипп Бенг ; 40 
 5502 ; Бона иностранная ;  ;  ;  ;  ; 21 ; 4758 ; 400 
 5503 ; Бона иностранная ;  ;  ;  ;  ; 18 ; ZIMOGOR ; 408 
 5504 ; Бона иностранная ;  ;  ;  ;  ; 15 ; som-media ; 100 
 5505 ; Бона иностранная ;  ;  ;  ;  ; 16 ; kent01 ; 70 
 5506 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ек ; 13 
 5507 ; Бона иностранная ;  ;  ;  ;  ; 25 ; хорват85 ; 41 
 5508 ; Бона иностранная ;  ;  ;  ;  ; 19 ; som-media ; 101 
 5509 ; Бона иностранная ;  ;  ;  ;  ; 19 ; filat100 ; 100 
 5510 ; Бона иностранная ;  ;  ;  ;  ; 14 ; som-media ; 101 
 5511 ; Бона иностранная ;  ;  ;  ;  ; 10 ; вулканолог ; 45 
 5512 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 18051951 ; 50 
 5513 ; Бона иностранная ;  ;  ;  ;  ; 5 ; max2008 ; 101 
 5514 ; Бона иностранная ;  ;  ;  ;  ; 12 ; som-media ; 101 
 5515 ; Бона иностранная ;  ;  ;  ;  ; 19 ; som-media ; 102 
 5516 ; Бона иностранная ;  ;  ;  ;  ; 4 ; burlak ; 30 
 5517 ; Бона иностранная ;  ;  ;  ;  ; 15 ; brat52 ; 30 
 5518 ; Бона иностранная ;  ;  ;  ;  ; 9 ; som-media ; 113 
 5519 ; Бона иностранная ;  ;  ;  ;  ; 13 ; brat52 ; 30 
 5520 ; Бона иностранная ;  ;  ;  ;  ; 12 ; я8844 ; 68 
 5521 ; Бона иностранная ;  ;  ;  ;  ; 15 ; filat100 ; 101 
 5522 ; Бона иностранная ;  ;  ;  ;  ; 8 ; som-media ; 101 
 5523 ; Бона иностранная ;  ;  ;  ;  ; 28 ; 18051951 ; 53 
 5524 ; Бона иностранная ;  ;  ;  ;  ; 12 ; ALEX150 ; 65 
 5525 ; Бона иностранная ;  ;  ;  ;  ; 17 ; ALEX150 ; 88 
 5526 ; Бона иностранная ;  ;  ;  ;  ; 16 ; ALEX150 ; 65 
 5527 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Rusik ; 129 
 5528 ; Бона иностранная ;  ;  ;  ;  ; 37 ; Vahid ; 296 
 5529 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Vahid ; 340 
 5530 ; Бона иностранная ;  ;  ;  ;  ; 8 ; chex88 ; 153 
 5531 ; Бона иностранная ;  ;  ;  ;  ; 12 ; chex88 ; 153 
 5532 ; Бона иностранная ;  ;  ;  ;  ; 14 ; chex88 ; 189 
 5533 ; Бона иностранная ;  ;  ;  ;  ; 14 ; chex88 ; 118 
 5366 ; Бона 5 рублей. Либавское городское самоуправление ; 1915 ;  ;  ; AU ; 22 ; Antys10 ; 612 
 5367 ; Облигация на 1000 марок, Российский 4% гос.заем 1902г.,с купонами ; 1902 ;  ;  ;  ; 35 ; Михаил_нов ; 714 
 5368 ; Дорожный чек на 10 рублей ; 1961 ;  ;  ;  ; 20 ; прохожий ; 204 
 5369 ; Лот бон 3 шт. 25 и 50 пени, 1 марка ; 1918 ;  ;  ;  ; 14 ; Михаил_нов ; 340 
 5370 ; Лот бон 3 шт. Латвия и Эстония ; 1938,1937 ;  ;  ;  ; 26 ; я8844 ; 227 
 5371 ; Лот бон Банка России: 10000 и 5000 рублей (2шт) ; 1993 ;  ;  ;  ; 44 ; Lenchik_2M ; 1561 
 5372 ; Лот бон 3 шт. 500 рублей (Коншин,Шипов) ; 1912 ;  ;  ;  ; 26 ; sato ; 306 
 5373 ; Лот бон 2 шт. 100 рублей (Коншин,Шипов) ; 1910 ;  ;  ;  ; 19 ; fordvr ; 510 
 5374 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 20 ; sato ; 1018 
 5375 ; Лот бон 3 шт. 25 рублей (Коншин,Шипов) ; 1909 ;  ;  ;  ; 12 ; прохожий ; 126 
 5376 ; 10 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 17 ; МАТ ; 159 
 5377 ; 10 рублей ; 1909 ; Тимашев. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 25 ; sato ; 918 
 5378 ; Лот бон 6 шт. 10 рублей (Шипов) ; 1909 ;  ;  ;  ; 13 ; сортам70 ; 125 
 5379 ; Лот бон 2 шт. 5 рублей (Коншин) ; 1909 ;  ;  ;  ; 14 ; fordvr ; 56 
 5380 ; Лот бон 3 шт. 5 рублей (Шипов) ; 1909 ;  ;  ;  ; 14 ; seger ; 48 
 5381 ; Лот бон 6 шт. 3 рубля (Коншин,Шипов,Тимашов) ; 1905 ;  ;  ;  ; 30 ; sato ; 714 
 5382 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 15 ; GERo ; 58 
 5383 ; Лот бон 3 шт. 1 рубль (Шипов) ; 1898 ;  ;  ;  ; 11 ; сортам70 ; 57 
 5384 ; 50 рублей ; 1914 ; Билеты государственного казначейства ;  ;  ; 36 ; прохожий ; 510 
 5385 ; 50 рублей ; 1915 ; Билеты государственного казначейства ;  ;  ; 37 ; прохожий ; 510 
 5386 ; 100 рублей ; 1918 ; 5% краткосрочное обязательство ;  ;  ; 31 ; НЕВО ; 900 
 5387 ; 500 рублей ; 1918 ; 5% краткосрочное обязательство ;  ;  ; 38 ; НЕВО ; 1134 
 5388 ; 50 рублей ; 1918 ; 5% краткосрочное обязательство ;  ;  ; 27 ; НЕВО ; 918 
 5389 ; 50 рублей ; 1918 ; Краткоср.обязательства КОМУЧ ;  ;  ; 24 ; k212 ; 1111 
 5390 ; 250 рублей . 4 шт ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 30 ; прохожий ; 204 
 5391 ; 100 рублей. 3 шт ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 14 ; я8844 ; 164 
 5392 ; 50 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 19 ; прохожий ; 170 
 5393 ; 10000 рублей ; 1923 ; Гос.денежные знаки СССР ;  ;  ; 32 ; unkas79 ; 2876 
 5394 ; 5 рублей ; 1925 ; Гос.казначейские билеты СССР ;  ;  ; 101 ; прохожий ; 1020 
 5395 ; Чеки на 100 и 500 рублей. Томское отделение гос.банка ; 1918 ;  ;  ;  ; 15 ; bon15041980 ; 1938 
 5396 ; Временная квитанция на 50 рублей гор.Одесса ; 1919 ;  ;  ;  ; 22 ; kont ; 2666 
 5397 ; Выигрышный билет цена 500000 рублей ; 1922 ;  ;  ;  ; 28 ; Михаил_нов ; 513 
 5398 ; Лотерейный билет, московская губернская комиссия последгол ;  ;  ;  ;  ; 19 ; я8844 ; 1530 
 5399 ; Половина выигрышного билета цена 5 рублей ; 1923 ;  ;  ;  ; 13 ; Михаил_нов ; 522 
 5400 ; Лотерейный билет АВТОДОРА ; 1930 ;  ;  ;  ; 29 ; НЕВО ; 1530 
 5401 ; Лотерейный билет ОСОАВИАХИМА ; 1930 ;  ;  ;  ; 25 ; shneyder ; 612 
 5402 ; Облигация на 10,25,50,100 рублей ; 1955 ;  ;  ;  ; 14 ; Михаил_нов ; 134 
 5403 ; Облигация на 10,25,50,100 рублей ; 1956 ;  ;  ;  ; 12 ; Михаил_нов ; 145 
 5404 ; Дорожный чек на 100 рублей. Банк для внешней торговли СССР ;  ;  ;  ;  ; 21 ; Михаил_нов ; 567 
 5405 ; Дорожный чек на 50 рублей. Банк для внешней торговли СССР ;  ;  ;  ;  ; 11 ; ЛАВ-13 ; 255 
 5406 ; Чек на 1 копейку. Всесоюзное объединение "ВНЕШПОСЫЛТОРГ" ; 1976 ;  ;  ;  ; 6 ; Михаил_нов ; 49 
 5407 ; Лот бон Российской империи (5 шт): 1 рубль (все кассиры разные) ; 1898 ;  ;  ;  ; 19 ; tss ; 113 
 5408 ; Лот бон Российской империи (5 шт): 5 рублей (все кассиры разные) ; 1898 ;  ;  ;  ; 13 ; seger ; 67 
 5409 ; Лот бон Российской империи (3 шт): 1, 5, 10 рублей ; 1898 ;  ;  ;  ; 11 ; re_re_re ; 53 
 5410 ; Лот бон Российской империи (6 шт): 1, 5, 10, 25 рублей ; 1898 -1899 ;  ;  ;  ; 13 ; market_spb ; 157 
 5411 ; 50 копеек ;  ;  ;  ;  ; 22 ; Михаил_нов ; 184 
 5412 ; Лот бон России (2 шт): 20 и 40 рублей ; 1917-1918 ;  ;  ;  ; 10 ; П.А.Н. ; 46 
 5413 ; Лот бон России (4 шт): 1, 2, 3, 5 рублей ; 1919 ;  ;  ;  ; 25 ; я8844 ; 363 
