 201 ; Георгиевский крест IV степени. Частная чеканка. Р-ры: 40х34мм ; 1856-1913 ; Георгия IV ст. ; Ag ; XF ; 20 ; daniz ; 10000 
 199 ; Георгиевский крест III ст. №326243. Санкт-Петербургский монетный двор. Р-ры: 42х34мм ; 1916 ;  ; б.м. ; XF+ ; 48 ; Участник № 2 ; 26000 
 200 ; Георгиевский крест IV ст. "Перерезка". №27836. Санкт-Петербургский Монетный двор. Р-Ры: 34х34мм ; I МВ ;  ; Ag ; VF+ ; 32 ; smirnoff ; 22440 
 101 ; 20 копеек ; 1829 ; СПБ НГ ; Ag ; VF+ ; 21 ; Участник № 147 ; 10000 
 102 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF+ ; 37 ; Участник № 1739 ; 15500 
 103 ; 5 копеек ; 1830 ; СПБ НГ ; Ag ; AU ; 30 ; int1965708 ; 7140 
 104 ; 5 копеек ; 1830 ; СПБ НГ ; Ag ; VF-XF ; 57 ; int1965708 ; 3627 
 105 ; 5 копеек ; 1831 ; ЕМ ФХ ; Cu ; XF ; 49 ; Участник № 30 ; 3200 
 106 ; 10 копеек ; 1833 ; СПБ НГ ; Ag ; VF+ ; 36 ; Участник № 30 ; 2200 
 107 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF- ; 38 ; dimon46 ; 2561 
 108 ; Рубль ; 1834 ; СПБ НГ ; Ag ; XF ; 35 ; Участник № 51 ; 3800 
 109 ; Копейка ; 1834 ; ЕМ ФХ ; Cu ; XF ; 36 ; dimon46 ; 1352 
 110 ; 5 копеек ; 1835 ; СПБ НГ ; Ag ; XF+ ; 30 ; Участник № 147 ; 1600 
 111 ; 30 копеек-2 злотых ; 1836 ; MW Рус.-Пол. ; Ag ; VF-XF ; 15 ; Участник № 636 ; 1300 
 112 ; 5 копеек ; 1836 ; СПБ НГ ; Ag ; AU ; 45 ; Участник № 636 ; 2300 
 113 ; 5 копеек ; 1836 ; СПБ НГ ; Ag ; AU ; 43 ; Участник № 30 ; 4400 
 114 ; 25 копеек ; 1838 ; СПБ НГ ; Ag ; XF ; 94 ; Участник № 1389 ; 3200 
 115 ; Рубль ; 1839 ; H.Gube F. "На открытие Бородинского памятника-часовни" ; Ag ; VF+ ; 41 ; Ohotnik ; 56102 
 116 ; 20 копеек. Бант шире ; 1839 ; СПБ НГ ; Ag ; AU/XF ; 31 ; stalker71 ; 5510 
 117 ; 20 копеек. Бант уже ; 1839 ; СПБ НГ ; Ag ; AU ; 37 ; stalker71 ; 7652 
 118 ; 3 копейки (Ильин-3р) ; 1839 ; СМ ; Cu ; VF ; 115 ; Участник № 51 ; 13500 
 119 ; 3/4 рубля-5 злотых ; 1840 ; MW Рус.-Пол. ; Ag ; XF+ ; 55 ; 3458 ; 13884 
 120 ; 10 копеек ; 1840 ; СПБ НГ ; Ag ; VF+ ; 23 ; vvt ; 4400 
 121 ; 5 рублей. М-6,52г ; 1841 ; СПБ АЧ ; Au ; AU ; 31 ; Участник № 636 ; 26000 
 122 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF/AU ; 26 ; омт ; 7000 
 123 ; 10 копеек ; 1841 ; СПБ НГ ; Ag ; VF-XF ; 74 ; Участник № 7 ; 3400 
 124 ; 10 копеек ; 1841 ; СПБ НГ ; Ag ; VF+ ; 9 ; Участник № 917 ; 1900 
 125 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF/AU ; 39 ; avka ; 11000 
 126 ; Рубль ; 1842 ; MW ; Ag ; XF- ; 20 ; kvp2318 ; 13000 
 127 ; 2 копейки ; 1842 ; ЕМ ; Cu ; VF+ ; 38 ; Участник № 51 ; 2800 
 128 ; 2 копейки ; 1842 ; СПМ ; Cu ; VF-XF ; 36 ; Участник № 7 ; 850 
 129 ; Рубль ; 1843 ; MW ; Ag ; VF-XF ; 50 ; Участник № 1740 ; 7000 
 130 ; 3 копейки ; 1844 ; ЕМ ; Cu ; VF-XF ; 28 ; Участник № 7 ; 1600 
 131 ; Полтина ; 1845 ; СПБ КБ ; Ag ; VF-XF ; 42 ; Ч.С. ; 4873 
 132 ; Рубль ; 1846 ; СПБ ПА ; Ag ; XF- ; 26 ; Участник № 523 ; 5500 
 133 ; 10 копеек ; 1846 ; СПБ ПА ; Ag ; VF-XF ; 47 ; ААФ ; 2610 
 134 ; Рубль ; 1847 ; СПБ ПА ; Ag ; XF ; 48 ; Участник № 30 ; 9500 
 135 ; Дукат. Санкт- Петербургский монетный двор. Признаки по Узденикову  №4, 7. М-3,50гр ; 1849 ;  ; Au ; AU ; 26 ; niki ; 16830 
 136 ; Рубль ; 1854 ; СПБ HI ; Ag ; AU/XF ; 57 ; 462 ; 16500 
 137 ; Рубль ; 1855 ; СПБ HI ; Ag ; XF+ ; 25 ; Участник № 147 ; 10500 
 138 ; 10 копеек ; 1856 ; СПБ НФ ; Ag ; XF+ ; 26 ; andorf ; 3425 
 139 ; 5 копеек ; 1856 ; СПБ ФБ ; Ag ; XF+ ; 48 ; patriot ; 1838 
 140 ; Полтина ; 1857 ; СПБ ФБ ; Ag ; VF-XF ; 31 ; PIT ; 3417 
 141 ; 5 копеек ; 1858 ; ЕМ ; Cu ; VF+ ; 43 ; Участник № 30 ; 2600 
 142 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; Unc/AU ; 19 ; зехъ ; 3366 
 143 ; 15 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 49 ; Olimpia ; 3900 
 144 ; 15 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; AU ; 13 ; Участник № 636 ; 3600 
 145 ; 10 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; VF+ ; 17 ; Участник № 1389 ; 2000 
 146 ; 20 копеек ; 1861 ; СПБ ; Ag ; AU/XF ; 5 ; Участник № 1389 ; 1200 
 147 ; 15 копеек ; 1861 ; СПБ ; Ag ; AU ; 10 ; Участник № 636 ; 1700 
 148 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 52 ; Участник № 636 ; 1400 
 149 ; 2 копейки ; 1862 ; ЕМ ; Cu ; VF-XF ; 62 ; Участник № 30 ; 3000 
 150 ; 15 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 69 ; Участник № 1389 ; 1700 
 51 ; Копейка ; 1779 ; КМ "Сибирь" ; Cu ; VF+ ; 48 ; Участник № 1385 ; 850 
 52 ; 5 копеек ; 1782 ; КМ ; Cu ; XF ; 17 ; клотик 2 ; 2552 
 53 ; 5 копеек ; 1785 ; КМ ; Cu ; VF-XF ; 9 ; Участник № 1385 ; 2400 
 54 ; 5 копеек ; 1785 ; КМ ; Cu ; XF ; 106 ; monos72 ; 10151 
 55 ; 5 копеек ; 1786 ; КМ ; Cu ; XF ; 42 ; клотик 2 ; 3181 
 56 ; 5 копеек(Ильин-5р) ; 1788 ; ЕМ ; Cu ; VF ; 30 ; TDN ; 8364 
 57 ; 5 копеек(Петров-3р) ; 1788 ; КМ ; Cu ; VF- ; 32 ; кабан ; 3866 
 58 ; 2 копейки (Петров-8р, Ильин-3р) ; 1788 ; ММ ; Cu ; F+ ; 63 ; ААФ ; 3672 
 59 ; 2 копейки ; 1788 ; СПМ ; Cu ; VF ; 43 ; ANK ; 2042 
 60 ; 2 копейки ; 1788 ; СПМ ; Cu ; VF ; 28 ; кабан ; 1300 
 61 ; Полушка ; 1789 ; ЕМ ; Cu ; XF- ; 65 ; kol ; 4080 
 62 ; 5 копеек ; 1790 ; АМ ; Cu ; XF ; 9 ; Участник № 114 ; 1900 
 63 ; 5 копеек ; 1790 ; КМ ; Cu ; XF ; 45 ; Участник № 2 ; 8000 
 64 ; Копейка ; 1790 ; ЕМ ; Cu ; VF-XF ; 37 ; Prostota ; 1224 
 65 ; 5 копеек ; 1791 ; КМ ; Cu ; VF-XF ; 9 ; Участник № 7 ; 2200 
 66 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF+ ; 44 ; Участник № 114 ; 6800 
 67 ; 5 копеек ; 1794 ; АМ ; Cu ; XF- ; 9 ; ААФ ; 1530 
 68 ; 5 копеек ; 1794 ; КМ ; Cu ; XF- ; 9 ; Участник № 1385 ; 3200 
 69 ; 5 копеек ; 1795 ; КМ ; Cu ; VF+ ; 21 ; Участник № 1385 ; 2600 
 70 ; 5 копеек ; 1795 ; АМ ; Cu ; XF- ; 11 ; ААФ ; 1813 
 71 ; 5 копеек ; 1795 ; ЕМ ; Cu ; VF-XF ; 13 ; Участник № 1344 ; 650 
 72 ; Копейка ; 1795 ; ЕМ ; Cu ; VF+ ; 35 ; VAG ; 1530 
 73 ; 5 копеек ; 1796 ; АМ ; Cu ; VF+ ; 33 ; Участник № 1344 ; 950 
 74 ; 2 копейки (Петров-1р) ; 1797 ;  ; Cu ; VF ; 29 ; Fedor_K ; 5645 
 75 ; Копейка (Ильин-1р) ; 1797 ; АМ ; Cu ; VF ; 10 ; Участник № 30 ; 2800 
 76 ; Рубль ; 1798 ; СМ МБ ; Ag ; VF ; 42 ; омт ; 22950 
 77 ; Полушка ; 1798 ; ЕМ ; Cu ; VF+ ; 61 ; Fedor_K ; 3264 
 78 ; Рубль ; 1799 ; СМ МБ ; Ag ; VF+ ; 35 ; Sky2 ; 16320 
 79 ; Копейка ; 1800 ; ЕМ ; Cu ; XF+ ; 19 ; Участник № 51 ; 5200 
 80 ; Рубль ; 1801 ; СМ АИ ; Ag ; VF+ ; 29 ; Участник № 636 ; 15000 
 81 ; 2 копейки ; 1802 ; ЕМ ; Cu ; XF- ; 75 ; coinlover ; 7140 
 82 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF+ ; 48 ; Fedor_K ; 12240 
 83 ; 5 копеек (Петров-2р, Ильин-1р) ; 1804 ; КМ ; Cu ; VF+/VF ; 64 ; Участник № 1556 ; 6200 
 84 ; 5 копеек (Петров-2р, Ильин-1р) ; 1805 ; КМ ; Cu ; VF+/VF ; 45 ; 789321 ; 3602 
 85 ; Рубль (Ильин-3р) ; 1807 ; СПБ ФГ ; Ag ; VF ; 30 ; Участник № 1739 ; 22500 
 86 ; 5 копеек ; 1808 ; ЕМ ; Cu ; XF ; 16 ; Участник № 147 ; 5400 
 87 ; Рубль ; 1809 ; СПБ ФГ ; Ag ; VF+/VF ; 44 ; Участник № 1556 ; 8500 
 88 ; Рубль (Петров-3р) ; 1809 ; СПБ МК ; Ag ; VF-XF ; 37 ; ВДВ ; 20403 
 89 ; 5 копеек ; 1809 ; ЕМ ; Cu ; XF-/VF+ ; 20 ; Участник № 1385 ; 5000 
 90 ; Деньга ; 1811 ; ИМ МК ; Cu ; XF ; 61 ; lvd ; 3000 
 91 ; 2 копейки ; 1812 ; ИМ ПС ; Cu ; XF ; 100 ; ShSerg ; 1125 
 92 ; 10 копеек (Петров-6р) ; 1816 ; СПБ МФ ; Ag ; F-VF ; 58 ; Участник № 147 ; 6800 
 93 ; 5 копеек ; 1822 ; СПБ ПД ; Ag ; VF-XF ; 17 ; coinlover ; 952 
 94 ; Копейка ; 1822 ; ЕМ ФГ ; Cu ; VF+ ; 48 ; al69 ; 578 
 95 ; 10 копеек ; 1823 ; СПБ ПД ; Ag ; VF-XF ; 43 ; andorf ; 6222 
 96 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; XF ; 16 ; pmaster ; 1205 
 97 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; VF+ ; 51 ; lvd ; 4162 
 98 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; AU/XF ; 53 ; омт ; 5780 
 99 ; Рубль ; 1827 ; СПБ НГ ; Ag ; XF ; 94 ; bvr ; 27000 
 100 ; 25 копеек (Ильин-3р) ; 1829 ; СПБ НГ ; Ag ; AU/VF-XF ; 45 ; 462 ; 4682 
 1 ; Полтина (Петров-5р) ; 1705 ;  ; Ag ; VF ; 64 ; 462 ; 47001 
 2 ; Копейка ; 1706 ; БК ; Cu ; VF ; 44 ; Участник № 51 ; 4200 
 3 ; Копейка ; 1709 ; МД ; Cu ; VF ; 51 ; Участник № 51 ; 1400 
 4 ; Полушка. Брак чеканки ; 1720 ;  ; Cu ; F-VF ; 15 ; Участник № 51 ; 550 
 5 ; Рубль ; 1723 ;  ; Ag ; XF- ; 29 ; TDN ; 26010 
 6 ; Рубль (Ильин-3р) ; 1726 ;  ; Ag ; VF ; 43 ; омт ; 29443 
 7 ; Рубль (Ильин-3р) ; 1726 ;  ; Ag ; VF+ ; 38 ; skylink ; 30312 
 8 ; 5 копеек ; 1726 ; МД ; Cu ; VF+ ; 47 ; Участник № 51 ; 6500 
 9 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; VF ; 9 ; Prostota ; 2561 
 10 ; Рубль (Петров-3,5р) ; 1728 ;  ; Ag ; VF ; 20 ; TDN ; 27000 
 11 ; Рубль (Петров-10 р). Редкая ; 1729 ;  ; Ag ; VF+ ; 31 ; омт ; 26520 
 12 ; 5 копеек ; 1729 ; МД Хвост узкий ; Cu ; VF+ ; 42 ; Участник № 2 ; 14000 
 13 ; Денга ; 1730 ;  ; Cu ; VF-XF ; 57 ; зехъ ; 1581 
 14 ; Денга ; 1731 ;  ; Cu ; XF+ ; 67 ; 0987654321 ; 1089 
 15 ; Рубль ; 1733 ;  ; Ag ; VF-XF ; 24 ; dantist ; 16999 
 16 ; Рубль ; 1733 ;  ; Ag ; XF- ; 29 ; coinlover ; 16319 
 17 ; Рубль ; 1733 ;  ; Ag ; VF-XF ; 33 ; Участник № 1 ; 26000 
 18 ; Полтина ; 1733 ;  ; Ag ; VF-XF ; 49 ; Участник № 147 ; 34000 
 19 ; Рубль (Ильин-5р). Редкая. Ремонт 12 часов ; 1734 ; B ; Ag ; VF- ; 29 ; Участник № 1556 ; 16000 
 20 ; Рубль ; 1734 ;  ; Ag ; VF+ ; 55 ; БИН ; 14555 
 21 ; Рубль (Петров-4р) ; 1734 ;  ; Ag ; VF+ ; 40 ; ВДВ ; 23233 
 22 ; Рубль ; 1735 ;  ; Ag ; VF+ ; 44 ; lvd ; 15606 
 23 ; Полушка ; 1735 ; Орёл 1735 г. ; Cu ; XF+ ; 52 ; Участник № 523 ; 850 
 24 ; Рубль ; 1736 ;  ; Ag ; XF- ; 31 ; Участник № 51 ; 23000 
 25 ; Рубль ; 1749 ; СПБ ; Ag ; VF+ ; 21 ; Участник № 1344 ; 14000 
 26 ; Копейка ; 1756 ; ММД ; Cu ; VF ; 17 ; lvd ; 5304 
 27 ; Копейка ; 1756 ; СПБ ; Cu ; VF ; 38 ; TDN ; 3509 
 28 ; 2 копейки ; 1757 ; Номинал под гербом ; Cu ; VF+ ; 22 ; Участник № 114 ; 750 
 29 ; 2 копейки(Ильин-10р) ; 1758 ; Номинал над гербом ; Cu ; F-VF ; 31 ; ANK ; 6347 
 30 ; 5 копеек ; 1760 ; СПБ ; Ag ; VF ; 100 ; пятак ; 3926 
 31 ; 5 копеек ; 1761 ; СПБ ; Ag ; XF+ ; 40 ; maka ; 9000 
 32 ; Рубль (Петров-3р) ; 1762 ; ММД ДМ ; Ag ; VF ; 74 ; ВДВ ; 61202 
 33 ; 4 копейки ; 1762 ;  ; Cu ; VF ; 67 ; Fedor_K ; 11043 
 34 ; Рубль. Удар 4 часа, деформация ; 1764 ; СПБ СА TI ; Ag ; VF-XF ; 17 ; TDN ; 10521 
 35 ; 2 копейки ; 1765 ; СПМ ; Cu ; VF+ ; 20 ; Участник № 51 ; 1900 
 36 ; Рубль ; 1766 ; СПБ АШ TI ; Ag ; VF-XF ; 24 ; Участник № 1699 ; 11000 
 37 ; 5 копеек (Петров-2р) ; 1766 ; ММ ; Cu ; VF ; 20 ; Участник № 51 ; 2800 
 38 ; Рубль (Ильин-4р) ; 1767 ; ММД EI ; Ag ; VF- ; 59 ; TDN ; 13641 
 39 ; Рубль ; 1768 ; СПБ СА TI ; Ag ; XF- ; 35 ; toto ; 15186 
 40 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; XF+ ; 54 ; volod ; 10932 
 41 ; Полуполтинник ; 1770 ; ММД ДМ ; Ag ; VF-XF ; 28 ; Сыч ; 7658 
 42 ; Пара-3 деньги ; 1771 ; S Валахия ; Cu ; F+ ; 25 ; 1313 ; 11245 
 43 ; 2 пара-3 копейки ; 1772 ; Валахия ; Cu ; F-VF ; 17 ; Alexdav ; 3060 
 44 ; Пара-3 деньги ; 1772 ; Валахия ; Cu ; VF- ; 108 ; Sky2 ; 4126 
 45 ; Копейка ; 1774 ; КМ "Сибирь" ; Cu ; VF+ ; 61 ; crackjack ; 1102 
 46 ; Денга (Петров-4р, Ильин-5р) ; 1774 ; ЕМ ; Cu ; VF ; 7 ; Prostota ; 8160 
 47 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; VF ; 18 ; Участник № 7 ; 4000 
 48 ; 2 копейки ; 1775 ; КМ "Сибирь" ; Cu ; VF+ ; 71 ; lvd ; 1704 
 49 ; Копейка ; 1775 ; КМ "Сибирь" ; Cu ; VF+ ; 53 ; al69 ; 1020 
 50 ; 2 копейки ; 1778 ; КМ "Сибирь" ; Cu ; VF+ ; 49 ; кабан ; 1500 
