 3632 ; Бона иностранная ;  ;  ;  ;  ; 7 ; DRACONGLASS ; 40 
 3553 ; Бона иностранная ;  ;  ;  ;  ; 31 ; Roman_B ; 46 
 3554 ; Бона иностранная ;  ;  ;  ;  ; 17 ; ИЮМов1 ; 114 
 3555 ; Бона иностранная ;  ;  ;  ;  ; 8 ; aleks.kss ; 30 
 3556 ; Бона иностранная ;  ;  ;  ;  ; 5 ; aleks.kss ; 31 
 3557 ; Бона иностранная ;  ;  ;  ;  ; 39 ; Roman_B ; 40 
 3558 ; Бона иностранная ;  ;  ;  ;  ; 8 ; aleks.kss ; 30 
 3559 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Germanfox ; 92 
 3560 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Roman_B ; 66 
 3561 ; Бона иностранная ;  ;  ;  ;  ; 28 ; Germanfox ; 73 
 3562 ; Бона иностранная ;  ;  ;  ;  ; 21 ; krugerrand ; 39 
 3563 ; Бона иностранная ;  ;  ;  ;  ; 10 ; faga2003 ; 101 
 3564 ; Бона иностранная ;  ;  ;  ;  ; 7 ; krugerrand ; 31 
 3565 ; Бона иностранная ;  ;  ;  ;  ; 18 ; ИЮМов1 ; 114 
 3566 ; Бона иностранная ;  ;  ;  ;  ; 7 ; nik23455 ; 32 
 3567 ; Бона иностранная ;  ;  ;  ;  ; 4 ; sasha14 ; 30 
 3568 ; Бона иностранная ;  ;  ;  ;  ; 22 ; krugerrand ; 55 
 3569 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Roman_B ; 95 
 3570 ; Бона иностранная ;  ;  ;  ;  ; 16 ; cochu ; 67 
 3571 ; Бона иностранная ;  ;  ;  ;  ; 38 ; sever9516 ; 55 
 3572 ; Бона иностранная ;  ;  ;  ;  ; 9 ; aleks.kss ; 30 
 3573 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Roman_B ; 65 
 3574 ; Бона иностранная ;  ;  ;  ;  ; 3 ; хъ0 ; 55 
 3575 ; Бона иностранная ;  ;  ;  ;  ; 78 ; shais1 ; 232 
 3576 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Roman_B ; 71 
 3577 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Оттар ; 92 
 3578 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Оттар ; 111 
 3579 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Alaska ; 33 
 3580 ; Бона иностранная ;  ;  ;  ;  ; 60 ; Оттар ; 66 
 3581 ; Бона иностранная ;  ;  ;  ;  ; 38 ; Roman_B ; 80 
 3482 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 32 
 3483 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 30 
 3484 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Скрудж ; 30 
 3485 ; Бона иностранная ;  ;  ;  ;  ; 13 ; из африки ; 24 
 3486 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 30 
 3487 ; Бона иностранная ;  ;  ;  ;  ; 32 ; aleks.kss ; 32 
 3488 ; Бона иностранная ;  ;  ;  ;  ; 24 ; из африки ; 29 
 3489 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 32 
 3490 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Скрудж ; 30 
 3491 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Скрудж ; 33 
 3492 ; Бона иностранная ;  ;  ;  ;  ; 31 ; Скрудж ; 32 
 3493 ; Бона иностранная ;  ;  ;  ;  ; 30 ; XO ; 101 
 3494 ; Бона иностранная ;  ;  ;  ;  ; 18 ; sasha14 ; 39 
 3495 ; Бона иностранная ;  ;  ;  ;  ; 25 ; sever9516 ; 191 
 3496 ; Бона иностранная ;  ;  ;  ;  ; 33 ; sos1 ; 132 
 3497 ; Бона иностранная ;  ;  ;  ;  ; 13 ; ИЮМов1 ; 123 
 3498 ; Бона иностранная ;  ;  ;  ;  ; 19 ; sos1 ; 61 
 3499 ; Бона иностранная ;  ;  ;  ;  ; 52 ; sever9516 ; 57 
 3500 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ф555 ; 37 
 3501 ; Бона иностранная ;  ;  ;  ;  ; 20 ; В1951 ; 51 
 3502 ; Бона иностранная ;  ;  ;  ;  ; 4 ; sasha14 ; 30 
 3503 ; Бона иностранная ;  ;  ;  ;  ; 8 ; nik23455 ; 30 
 3504 ; Бона иностранная ;  ;  ;  ;  ; 23 ; ИЮМов1 ; 125 
 3505 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Опятор ; 33 
 3506 ; Бона иностранная ;  ;  ;  ;  ; 17 ; sasha14 ; 44 
 3507 ; Бона иностранная ;  ;  ;  ;  ; 30 ; nik23455 ; 59 
 3508 ; Бона иностранная ;  ;  ;  ;  ; 36 ; cochu ; 55 
 3509 ; Бона иностранная ;  ;  ;  ;  ; 43 ; sever9516 ; 169 
 3510 ; Бона иностранная ;  ;  ;  ;  ; 41 ; cochu ; 51 
 3511 ; Бона иностранная ;  ;  ;  ;  ; 8 ; nik23455 ; 36 
 3512 ; Бона иностранная ;  ;  ;  ;  ; 11 ; cochu ; 38 
 3513 ; Бона иностранная ;  ;  ;  ;  ; 18 ; cochu ; 38 
 3514 ; Бона иностранная ;  ;  ;  ;  ; 86 ; jj ; 102 
 3515 ; Бона иностранная ;  ;  ;  ;  ; 34 ; aleks.kss ; 37 
 3516 ; Бона иностранная ;  ;  ;  ;  ; 31 ; aleks.kss ; 31 
 3517 ; Бона иностранная ;  ;  ;  ;  ; 29 ; aleks.kss ; 32 
 3518 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Roman_B ; 58 
 3519 ; Бона иностранная ;  ;  ;  ;  ; 21 ; sever9516 ; 63 
 3520 ; Бона иностранная ;  ;  ;  ;  ; 48 ; Roman_B ; 123 
 3521 ; Бона иностранная ;  ;  ;  ;  ; 20 ; krugerrand ; 43 
 3522 ; Бона иностранная ;  ;  ;  ;  ; 6 ; sasha14 ; 32 
 3523 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Скрудж ; 87 
 3524 ; Бона иностранная ;  ;  ;  ;  ; 38 ; Скрудж ; 87 
 3525 ; Бона иностранная ;  ;  ;  ;  ; 20 ; sikachai ; 44 
 3526 ; Бона иностранная ;  ;  ;  ;  ; 23 ; aleks.kss ; 31 
 3527 ; Бона иностранная ;  ;  ;  ;  ; 11 ; tigris ; 62 
 3528 ; Бона иностранная ;  ;  ;  ;  ; 15 ; nik23455 ; 41 
 3529 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 35 
 3530 ; Бона иностранная ;  ;  ;  ;  ; 31 ; aleks.kss ; 31 
 3531 ; Бона иностранная ;  ;  ;  ;  ; 24 ; aleks.kss ; 34 
 3432 ; 200 рублей. Разряд 2 ; 1917 ;  ;  ;  ; 33 ; FOCU$ ; 352 
 3433 ; 200 рублей. Разряд 3 ; 1917 ;  ;  ;  ; 26 ; bon15041980 ; 568 
 3434 ; 50 рублей. Заем свободы ; 1917 ;  ;  ;  ; 22 ; von_Schwarz ; 301 
 3435 ; 250 рублей ; 1917 ;  ;  ;  ; 12 ; solder13 ; 102 
 3436 ; 250 рублей ; 1917 ;  ;  ;  ; 39 ; molchun ; 75 
 3437 ; 250 рублей ; 1917 ;  ;  ;  ; 41 ; vladzory ; 185 
 3438 ; 250 рублей ; 1917 ;  ;  ;  ; 39 ; shais1 ; 111 
 3439 ; 250 рублей ; 1917 ;  ;  ;  ; 34 ; GenyM ; 123 
 3440 ; 250 рублей ; 1917 ;  ;  ;  ; 17 ; GenyM ; 125 
 3441 ; 250 рублей ; 1917 ;  ;  ;  ; 15 ; vladzory ; 123 
 3442 ; 1000 рублей ; 1918 ;  ;  ;  ; 41 ; sasha14 ; 42 
 3443 ; 1000 рублей ; 1918 ;  ;  ;  ; 29 ; строитель ; 306 
 3444 ; 1000 рублей ; 1918 ;  ;  ;  ; 4 ; хъ0 ; 104 
 3445 ; 1 рубль (2шт) ; 1898 ;  ;  ;  ; 35 ; Gera_K ; 149 
 3446 ; 1 рубль (2шт) ; 1898 ;  ;  ;  ; 24 ; vladzory ; 146 
 3447 ; 1 рубль (2шт) ; 1898 ;  ;  ;  ; 75 ; Оттар ; 206 
 3448 ; 1 рубль (2шт) ; 1898 ;  ;  ;  ; 58 ; Gera_K ; 155 
 3449 ; 3 рубля (26 шт) ; 1905 ;  ;  ;  ; 101 ; shais1 ; 1224 
 3450 ; 5 рублей(52 шт) ; 1909 ;  ;  ;  ; 63 ; iki ; 2558 
 3451 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Скрудж ; 43 
 3452 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Скрудж ; 36 
 3453 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 30 
 3454 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 33 
 3455 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Скрудж ; 31 
 3456 ; Бона иностранная ;  ;  ;  ;  ; 51 ; jj ; 50 
 3457 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Скрудж ; 31 
 3458 ; Бона иностранная ;  ;  ;  ;  ; 28 ; Скрудж ; 33 
 3459 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Скрудж ; 30 
 3460 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 36 
 3461 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 31 
 3462 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 35 
 3463 ; Бона иностранная ;  ;  ;  ;  ; 4 ; aleks.kss ; 34 
 3464 ; Бона иностранная ;  ;  ;  ;  ; 2 ; QSL ; 30 
 3465 ; Бона иностранная ;  ;  ;  ;  ; 2 ; QSL ; 30 
 3466 ; Бона иностранная ;  ;  ;  ;  ; 16 ; из африки ; 29 
 3467 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Скрудж ; 35 
 3468 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 31 
 3469 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Скрудж ; 35 
 3470 ; Бона иностранная ;  ;  ;  ;  ; 16 ; из африки ; 25 
 3471 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 4758 ; 29 
 3472 ; Бона иностранная ;  ;  ;  ;  ; 30 ; Скрудж ; 40 
 3473 ; Бона иностранная ;  ;  ;  ;  ; 24 ; Скрудж ; 32 
 3474 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Скрудж ; 30 
 3475 ; Бона иностранная ;  ;  ;  ;  ; 29 ; Скрудж ; 30 
 3476 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Скрудж ; 33 
 3477 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Скрудж ; 46 
 3478 ; Бона иностранная ;  ;  ;  ;  ; 36 ; Скрудж ; 35 
 3479 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Скрудж ; 30 
 3480 ; Бона иностранная ;  ;  ;  ;  ; 20 ; aleks.kss ; 30 
 3481 ; Бона иностранная ;  ;  ;  ;  ; 4 ; из африки ; 25 
 3382 ; 1 рубль ; 1898 ; Плеске. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 65 ; Gera_K ; 884 
 3383 ; 1 рубль ; 1898 ; Тимашев. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 40 ; Gera_K ; 1020 
 3384 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 31 ; Gera_K ; 86 
 3385 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 35 ; Gera_K ; 102 
 3386 ; 1000000 рублей ; 1922 ; Азербайджан ;  ;  ; 28 ; krut0803 ; 204 
 3387 ; 10000 рублей ; 1921 ; Азербайджан ;  ;  ; 40 ; krut0803 ; 102 
 3388 ; 10000 рублей ; 1921 ; Азербайджан ;  ;  ; 27 ; ИЮМов1 ; 209 
 3389 ; 250 рублей ; 1919 ; Азербайджан ;  ;  ; 55 ; 542 ; 330 
 3390 ; 3 рубля ; 1905 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 51 ; niger ; 105 
 3391 ; 3 рубля ; 1905 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 39 ; krugerrand ; 73 
 3392 ; 3 рубля ; 1905 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 40 ; Gera_K ; 60 
 3393 ; 3 рубля ; 1905 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 27 ; Gera_K ; 57 
 3394 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 55 ; Оттар ; 102 
 3395 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 60 ; shais1 ; 260 
 3396 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 19 ; Gera_K ; 340 
 3397 ; 10 червонцев ; 1937 ; Билет ;  ;  ; 20 ; Gera_K ; 408 
 3398 ; 10 червонцев ; 1937 ; Билет ;  ;  ; 24 ; sever9516 ; 199 
 3399 ; 100 теньге ; 1920 ; Бухарская Республика ;  ;  ; 93 ; Fedor_K ; 1381 
 3400 ; 100 теньге ; 1920 ; Бухарская Республика ;  ;  ; 90 ; кве ; 1224 
 3401 ; 10 карбованцев ;  ; Украина Знак Державноi скарбицi ;  ;  ; 21 ; Sky2 ; 203 
 3402 ; 200 теньге ; 1920 ; Бухарская Республика ;  ;  ; 42 ; lesnik1 ; 750 
 3403 ; 200 теньге ; 1920 ; Бухарская Республика ;  ;  ; 77 ; glass ; 1056 
 3404 ; 10 гривень ; 1918 ; Украина.Державный Кредитовий бiлет. ;  ;  ; 34 ; fatum ; 156 
 3405 ; 3 рубля ; 1918 ;  ;  ;  ; 46 ; росвет ; 222 
 3406 ; 5 рублей ; 1918 ;  ;  ;  ; 55 ; из африки ; 229 
 3407 ; 250 рублей ; 1919 ; Армения ;  ;  ; 91 ; lesnik1 ; 408 
 3408 ; 5000 рублей ; 1919 ; Армения ;  ;  ; 84 ; miklezh ; 614 
 3409 ; 250 рублей ; 1919 ; Армения ;  ;  ; 140 ; Fedor_K ; 728 
 3410 ; 500 рублей ; 1919 ; Армения ;  ;  ; 70 ; miklezh ; 423 
 3411 ; 5000 рублей ; 1919 ; Армения ;  ;  ; 98 ; miklezh ; 350 
 3412 ; 500 рублей ; 1919 ; Армения ;  ;  ; 129 ; lesnik1 ; 313 
 3413 ; 1000 рублей ; 1919 ; Армения ;  ;  ; 34 ; miklezh ; 343 
 3414 ; 500 рублей ; 1919 ; Армения ;  ;  ; 91 ; miklezh ; 355 
 3415 ; 5000 рублей ; 1919 ; Армения ;  ;  ; 91 ; Пея ; 455 
 3416 ; 1000 рублей ; 1919 ; Армения ;  ;  ; 50 ; miklezh ; 357 
 3417 ; 500 рублей ; 1919 ; Армения ;  ;  ; 111 ; Fedor_K ; 844 
 3418 ; 5 рублей ; 1918 ; Чек (без штампов регистрации) ;  ;  ; 36 ; kropkomp ; 2208 
 3419 ; 10 рублей ; 1918 ; Чек (без штампов регистрации) ;  ;  ; 46 ; QSCl ; 1836 
 3420 ; 3 рубля ; 1918 ; Чек (без штампов регистрации) ;  ;  ; 16 ; ф555 ; 1658 
 3421 ; 10 рублей ; 1898 ; Плеске. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 60 ; давай золото ; 14034 
 3422 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 36 ; tigris ; 918 
 3423 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 64 ; peck ; 2040 
 3424 ; 100 рублей ; 1898 ; Коншин 1910 г. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 51 ; давай золото ; 5498 
 3425 ; 100 рублей ; 1898 ; Коншин 1910 г. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 40 ; сторож91 ; 4970 
 3426 ; 100 рублей ; 1910 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 43 ; давай золото ; 572 
 3427 ; 100 рублей ; 1910 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 54 ; давай золото ; 584 
 3428 ; 100 рублей ; 1910 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 16 ; давай золото ; 406 
 3429 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 17 ; Gold_42 ; 300 
 3430 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 32 ; Roman_B ; 408 
 3431 ; 200 рублей. Разряд 2 ; 1917 ;  ;  ;  ; 26 ; lesnik1 ; 374 
 3332 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 13 ; sasha14 ; 56 
 3333 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 44 ; Gera_K ; 49 
 3334 ; 15 копеек ; 1915 ; Деньги-марки ;  ;  ; 24 ; Grosh ; 93 
 3335 ; 20 копеек ; 1915 ; Деньги-марки ;  ;  ; 36 ; Grosh ; 139 
 3336 ; 1 рубль ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 71 ; Rash ; 159 
 3337 ; 2 рубля ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 66 ; ВКС ; 149 
 3338 ; 3 рубля ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 40 ; Rash ; 133 
 3339 ; 5 рублей ; 1920 ; Расчетные знаки РСФСР образца 1920 г. ;  ;  ; 58 ; росвет ; 209 
 3340 ; 15 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 55 ; vladzory ; 251 
 3341 ; 5 копеек ; 1924 ; Разменные казн.боны ;  ;  ; 56 ; fatum ; 183 
 3342 ; 1000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 102 ; Злой 2 ; 273 
 3343 ; 100 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 77 ; kol78 ; 226 
 3344 ; 500 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 91 ; росвет ; 222 
 3345 ; 50 копеек ;  ;  ;  ;  ; 32 ; росвет ; 203 
 3346 ; 1 рубль ; 1920 ; Разменные знаки и кредитные билеты Времен.правит.Дальнего Востока ;  ;  ; 54 ; tigris ; 807 
 3347 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 29 ; Al0851 ; 75 
 3348 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 33 ; AIK60 ; 340 
 3349 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 51 ; AIK60 ; 426 
 3350 ; 1000 рублей ; 1995 ; банкнота ;  ;  ; 24 ; sasha14 ; 86 
 3351 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 47 ; AIK60 ; 169 
 3352 ; 3 рубля ; 1925 ; Гос.казначейские билеты СССР ;  ;  ; 33 ; хъ0 ; 900 
 3353 ; 5 рублей ; 1934 ; Гос.казначейские билеты ;  ;  ; 27 ; 161rus ; 169 
 3354 ; 5 рублей ; 1934 ; Гос.казначейские билеты ;  ;  ; 24 ; krut0803 ; 816 
 3355 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 22 ; lina-I ; 352 
 3356 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 94 ; Sky2 ; 567 
 3357 ; 50 рублей ; 1961 ; билет ;  ;  ; 27 ; АНАТОЛИЙ ; 250 
 3358 ; 100 рублей ; 1961 ;  ;  ;  ; 61 ; АНАТОЛИЙ ; 1000 
 3359 ; 100 рублей ; 1991 ; билет ;  ;  ; 48 ; molchun ; 73 
 3360 ; 100 рублей ; 1991 ; билет ;  ;  ; 61 ; Gera_K ; 79 
 3361 ; 50 рублей ; 1991 ; билет ;  ;  ; 12 ; aleks.kss ; 42 
 3362 ; 50 рублей ; 1991 ; билет ;  ;  ; 63 ; wadim.lbt ; 125 
 3363 ; 500 рублей ; 1991 ; билет ;  ;  ; 26 ; sasha14 ; 213 
 3364 ; 200 рублей ; 1992 ; билет ;  ;  ; 45 ; АНАТОЛИЙ ; 309 
 3365 ; 200 рублей ; 1991 ; билет ;  ;  ; 50 ; Gera_K ; 276 
 3366 ; 100000 рублей ; 1995 ; банкнота ;  ;  ; 19 ; shais1 ; 1040 
 3367 ; 1000 рублей ; 1993 ; банкнота ;  ;  ; 63 ; Brabus ; 99 
