 3207 ; Бона иностранная ;  ;  ;  ;  ; 34 ; бездельник22 ; 204 
 3165 ; Бона иностранная ;  ;  ;  ;  ; 15 ; skir ; 32 
 3166 ; Бона иностранная ;  ;  ;  ;  ; 13 ; nato ; 18 
 3167 ; Бона иностранная ;  ;  ;  ;  ; 13 ; nato ; 17 
 3168 ; Бона иностранная ;  ;  ;  ;  ; 8 ; nato ; 35 
 3169 ; Бона иностранная ;  ;  ;  ;  ; 18 ; von_Schwarz ; 47 
 3170 ; Бона иностранная ;  ;  ;  ;  ; 13 ; semen81 ; 23 
 3171 ; Бона иностранная ;  ;  ;  ;  ; 14 ; semen81 ; 21 
 3172 ; Бона иностранная ;  ;  ;  ;  ; 5 ; тнн ; 110 
 3173 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 223355 ; 50 
 3174 ; Бона иностранная ;  ;  ;  ;  ; 14 ; mifod ; 30 
 3175 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Vict_1 ; 15 
 3176 ; Бона иностранная ;  ;  ;  ;  ; 12 ; mifod ; 30 
 3177 ; Бона иностранная ;  ;  ;  ;  ; 73 ; 542 ; 151 
 3178 ; Бона иностранная ;  ;  ;  ;  ; 20 ; skir ; 31 
 3179 ; Бона иностранная ;  ;  ;  ;  ; 10 ; mifod ; 30 
 3180 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Grod ; 23 
 3181 ; Бона иностранная ;  ;  ;  ;  ; 5 ; tss ; 15 
 3182 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 223355 ; 14 
 3183 ; Бона иностранная ;  ;  ;  ;  ; 10 ; кузин ; 51 
 3184 ; Бона иностранная ;  ;  ;  ;  ; 43 ; skir ; 62 
 3185 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Sky2 ; 22 
 3186 ; Бона иностранная ;  ;  ;  ;  ; 14 ; skir ; 41 
 3187 ; Бона иностранная ;  ;  ;  ;  ; 31 ; 542 ; 336 
 3188 ; Бона иностранная ;  ;  ;  ;  ; 46 ; 542 ; 149 
 3189 ; Бона иностранная ;  ;  ;  ;  ; 53 ; den_ff ; 209 
 3190 ; Бона иностранная ;  ;  ;  ;  ; 1 ; enk ; 30 
 3191 ; Бона иностранная ;  ;  ;  ;  ; 18 ; mifod ; 102 
 3192 ; Бона иностранная ;  ;  ;  ;  ; 29 ; mifod ; 50 
 3193 ; Бона иностранная ;  ;  ;  ;  ; 14 ; 223355 ; 15 
 3194 ; Бона иностранная ;  ;  ;  ;  ; 2 ; тнн ; 30 
 3195 ; Бона иностранная ;  ;  ;  ;  ; 22 ; tss ; 51 
 3196 ; Бона иностранная ;  ;  ;  ;  ; 17 ; 100924 ; 26 
 3197 ; Бона иностранная ;  ;  ;  ;  ; 3 ; enk ; 32 
 3198 ; Бона иностранная ;  ;  ;  ;  ; 19 ; buzykin ; 80 
 3199 ; Бона иностранная ;  ;  ;  ;  ; 51 ; нумизмат ; 153 
 3200 ; Бона иностранная ;  ;  ;  ;  ; 28 ; skir ; 71 
 3201 ; Бона иностранная ;  ;  ;  ;  ; 55 ; нумизмат ; 189 
 3202 ; Бона иностранная ;  ;  ;  ;  ; 42 ; skir ; 46 
 3203 ; Бона иностранная ;  ;  ;  ;  ; 7 ; нумизмат ; 104 
 3204 ; Бона иностранная ;  ;  ;  ;  ; 42 ; den_ff ; 161 
 3205 ; Бона иностранная ;  ;  ;  ;  ; 19 ; den_ff ; 64 
 3206 ; Бона иностранная ;  ;  ;  ;  ; 12 ; eddy ; 153 
 3107 ; 100 марок. Ковно ; 1918 ;  ;  ; . ; 8 ; Copirchik ; 528 
 3108 ; 50 марок. Ковно ; 1918 ;  ;  ; . ; 23 ; hjk1974 ; 612 
 3109 ; 20 марок. Ковно ; 1918 ;  ;  ; . ; 7 ; димитрий ; 357 
 3110 ; 5 марок. Ковно ; 1918 ;  ;  ; . ; 33 ; semen81 ; 161 
 3111 ; 5 марок. Ковно ; 1918 ;  ;  ; . ; 31 ; ICEK ; 365 
 3112 ; 1 марка. Ковно ; 1918 ;  ;  ; . ; 48 ; ICEK ; 694 
 3113 ; 20 копеек. Познань ; 1916 ;  ;  ;  ; 7 ; 223355 ; 68 
 3114 ; 20 копеек. Познань ; 1916 ;  ;  ;  ; 26 ; Ilyas ; 153 
 3115 ; 1 рубль. Познань ; 1916 ;  ;  ;  ; 15 ; gelind ; 101 
 3116 ; 1 рубль. Познань ; 1916 ;  ;  ;  ; 22 ; ICEK ; 312 
 3117 ; 3 рубля. Познань ; 1916 ;  ;  ;  ; 39 ; Copirchik ; 170 
 3118 ; 50 копеек. Познань ; 1916 ;  ;  ;  ; 14 ; Ilyas ; 153 
 3119 ; 10 марок ; 1906 ;  ;  ;  ; 3 ; тнн ; 150 
 3120 ; 100 марок ; 1910 ;  ;  ;  ; 5 ; skir ; 72 
 3121 ; 1/2 марки.г. Мемель ;  ;  ;  ;  ; 36 ; dog009 ; 816 
 3122 ; 1 марка.г. Мемель ; 1922 ;  ;  ;  ; 21 ; ura 57 ; 612 
 3123 ; 2 марки.г. Мемель ; 1922 ;  ;  ;  ; 25 ; ura 57 ; 750 
 3124 ; 5 марок.г. Мемель ; 1922 ;  ;  ;  ; 38 ; albertych ; 1009 
 3125 ; 10 марок.г. Мемель ; 1922 ;  ;  ;  ; 35 ; von_Schwarz ; 714 
 3126 ; 20 марок.г. Мемель ; 1922 ;  ;  ;  ; 27 ; 223355 ; 2142 
 3127 ; 50 марок.г. Мемель ; 1922 ;  ;  ;  ; 53 ; 223355 ; 3162 
 3128 ; 75 марок.г. Мемель ; 1922 ;  ;  ;  ; 9 ; 223355 ; 300 
 3129 ; 100 марок.г. Мемель ; 1922 ;  ;  ;  ; 7 ; Copirchik ; 510 
 3130 ; 10 марок.г. Мемель ; 1922 ;  ;  ;  ; 11 ; ura 57 ; 559 
 3131 ; 50 карбованцев ; 1942 ;  ;  ;  ; 59 ; eddy ; 172 
 3132 ; 5 юаней. Китай ; 1936 ;  ;  ;  ; 18 ; and000 ; 104 
 3133 ; 100 юаней. Китай ; 1941 ;  ;  ;  ; 32 ; and000 ; 116 
 3134 ; 5 долларов. Китай ; 1930 ;  ;  ;  ; 35 ; Sky2 ; 131 
 3135 ; 2000 юаней. Китай ; 1947 ;  ;  ;  ; 26 ; semen81 ; 110 
 3136 ; 50 пенго ; 1944 ;  ;  ;  ; 29 ; smel ; 165 
 3137 ; 100 пенго ; 1944 ;  ;  ;  ; 29 ; Alekss_27 ; 133 
 3138 ; 100000 пенго ; 1946 ;  ;  ;  ; 11 ; 223355 ; 300 
 3139 ; 2 боливарес. Венесуэла ; 2007 ;  ;  ;  ; 32 ; ДСВ777 ; 118 
 3140 ; 1000 рублей. Азербайджан ; 1920 ;  ;  ;  ; 28 ; semen81 ; 101 
 3141 ; 100 рублей. Грузия ; 1919 ;  ;  ; . ; 28 ; ppp ; 97 
 3142 ; Продкарта. Германия ; 1941 ;  ;  ; . ; 8 ; димитрий ; 612 
 3143 ; Листовка ; 1944 ;  ;  ; . ; 7 ; RAPAN ; 306 
 3144 ; Листовка ; 1944 ;  ;  ; . ; 6 ; RAPAN ; 189 
 3145 ; Листовка ; 1944 ;  ;  ; . ; 22 ; RAPAN ; 218 
 3146 ; 1 песо. Мексика ; 1967 ;  ;  ; . ; 2 ; skir ; 102 
 3147 ; Бона, Боливия ; 1911 ;  ;  ; . ; 11 ; lelik ; 139 
 3148 ; 1 юань. Китай ; 1936 ;  ;  ; . ; 33 ; and000 ; 99 
 3149 ; 5 юаней. Китай ; 1936 ;  ;  ; . ; 23 ; and000 ; 99 
 3150 ; 5 юаней. Китай ; 1937 ;  ;  ; . ; 22 ; and000 ; 99 
 3151 ; 10 юаней. Китай ; 1937 ;  ;  ; . ; 23 ; ДСВ777 ; 101 
 3152 ; 10 юаней китай ; 1936 ;  ;  ; . ; 12 ; and000 ; 99 
 3153 ; 1000 марок ; 1910 ;  ;  ; . ; 33 ; skir ; 102 
 3154 ; 1000 марок ; 1910 ;  ;  ; . ; 41 ; semen81 ; 42 
 3155 ; 1000 марок ; 1910 ;  ;  ; . ; 39 ; skir ; 67 
 3156 ; Бона, Россия (3 шт.) ;  ;  ;  ;  ; 10 ; ЧИС ; 34 
 3057 ; 100 рублей. Армения ; 1919 ;  ;  ; XF ; 23 ; hjk1974 ; 1051 
 3058 ; 50 рублей. Юг Россия ; 1919 ;  ;  ; XF ; 57 ; torus72 ; 503 
 3059 ; 3 рубля. Ростов ; 1918 ;  ;  ; XF ; 110 ; Fedor_K ; 408 
 3060 ; 25 рублей. Ростов ; 1918 ;  ;  ; XF ; 47 ; nord17 ; 327 
 3061 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 29 ; Mmm ; 69 
 3062 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 6 ; Mmm ; 61 
 3063 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 6 ; Mmm ; 61 
 3064 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 26 ; Mmm ; 61 
 3065 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 39 ; Gop ; 153 
 3066 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 36 ; Mmm ; 120 
 3067 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 32 ; Mmm ; 63 
 3068 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 20 ; hotin ; 400 
 3069 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 26 ; Gop ; 592 
 3070 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 54 ; dog009 ; 459 
 3071 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 48 ; hotin ; 405 
 3072 ; 1 копейка. Либавское г.с. ; 1915 ;  ;  ; AU ; 73 ; Gop ; 2807 
 3073 ; 25 копеек. Либавское г.с. ; 1915 ;  ;  ; AU ; 54 ; Gop ; 2378 
 3074 ; 50 копеек. С подписью ; 1918 ;  ;  ; AU ; 93 ; hjk1974 ; 1409 
 3075 ; 60 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ; AU ; 32 ; hjk1974 ; 363 
 3076 ; 2 гривни ; 1918 ; Украина.Державный Кредитовий б ;  ; AU ; 27 ; 67 ; 693 
 3077 ; 5 рублей. Крым. Недопечатка ; 1918 ;  ;  ; AU ; 20 ; 67 ; 1530 
 3078 ; 1 рубль. Либавское г.с. ; 1915 ;  ;  ; AU ; 66 ; Gop ; 2149 
 3079 ; 10 рублей ; 1918 ; Закавказье  ;  ; AU ; 34 ; hjk1974 ; 612 
 3080 ; 50 карбованцев ; 1918 ; Украина. Знак Державноi скарбн ;  ; AU ; 39 ; Mmm ; 459 
 3081 ; 1 рубль ; 1947 ; Гос.казначейский билет  ;  ; AU ; 18 ; rizovtpl ; 261 
 3082 ; 1 рубль ; 1947 ; Гос.казначейский билет  ;  ; AU ; 72 ; torus72 ; 345 
 3083 ; 1 рубль ; 1947 ; Гос.казначейский билет  ;  ; AU ; 36 ; ЮМК ; 266 
 3084 ; 10 карбованцев ; 1918 ; Украина Знак Державноi скарбиц ;  ; AU ; 130 ; 67 ; 1616 
 3085 ; 1 рубль. Ростов ; 1918 ;  ;  ; AU ; 126 ; hjk1974 ; 1009 
 3086 ; 100 рублей ; 1919 ; Азербайджан  ;  ; AU ; 43 ; Gop ; 2397 
 3087 ; 10 гривень ; 1918 ; Украина.Державный Кредитовий б ;  ; AU ; 134 ; Fedor_K ; 745 
 3088 ; 100000 рублей ; 1922 ; Азербайджан  ;  ; AU ; 62 ; Gop ; 1918 
 3089 ; 25000 рублей ; 1921 ; Азербайджан  ;  ; AU ; 48 ; Gop ; 1592 
 3090 ; 5000000 рублей. Азербайджан ; 1923 ;  ;  ; AU ; 15 ; Gop ; 2040 
 3091 ; 10 копеек ; 1915 ; Разменные (казнач.)билеты  ;  ; AU ; 24 ; Gop ; 5712 
 3092 ; 15 копеек ; 1915 ; Разменные (казнач.)билеты  ;  ; AU ; 31 ; Mmm ; 6767 
 3093 ; 20 копеек ; 1915 ; Разменные (казнач.)билеты  ;  ; AU ; 19 ; greedy ; 5253 
 3094 ; 12 марок серебром. Редка ; 1862 ; Финляндия билет  ;  ; . ; 60 ; Ksn ; 65500 
 3095 ; Крестьянский поземельный банк. 5 свидетельств на капитал 750 рублей ; 1912 ;  ;  ;  ; 17 ; нумизмат ; 918 
 3096 ; Российский 3 % золотой заем. Облигация ; 1896 ;  ;  ;  ; 23 ; Reichard ; 918 
 3097 ; Облигация ; 1894 ;  ;  ;  ; 15 ; Reichard ; 309 
 3098 ; Облигация ; 1894 ;  ;  ;  ; 26 ; Reichard ; 305 
 3099 ; Облигация ; 1894 ;  ;  ;  ; 25 ; Reichard ; 306 
 3100 ; Облигация ; 1905 ;  ;  ;  ; 41 ; Reichard ; 466 
 3101 ; Квитанция Гос. Казначейства ; 1895 ;  ;  ;  ; 17 ; тнн ; 46 
 3102 ; Квитанция Гос. Казначейства ; 1896 ;  ;  ;  ; 3 ; тнн ; 83 
 3103 ; Квитанция Гос. Казначейства ; 1915 ;  ;  ;  ; 33 ; тнн ; 34 
 3104 ; Квитанция Гос. Казначейства ; 1915 ;  ;  ;  ; 5 ; тнн ; 74 
 3105 ; Квитанция Гос. Казначейства ; 1915 ;  ;  ;  ; 3 ; тнн ; 74 
 3106 ; 1000 марок. Ковно ; 1918 ;  ;  ; . ; 33 ; hjk1974 ; 1138 
 3007 ; 25 рублей ; 1922 ;  ;  ;  ; 49 ; nord17 ; 163 
 3008 ; 1000 рублей ; 1922 ;  ;  ;  ; 60 ; hjk1974 ; 885 
 3009 ; 5 рублей ; 1922 ;  ;  ;  ; 99 ; 67 ; 852 
 3010 ; 50 копеек. Туркестан ; 1918 ; Туркестан  ;  ;  ; 22 ; hjk1974 ; 885 
 3011 ; 5 рублей. Крым полиграфтрест ; 1922 ;  ;  ;  ; 38 ; hjk1974 ; 1089 
 3012 ; 250 рублей   ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 24 ; hjk1974 ; 79 
 3013 ; 1000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 34 ; lelik ; 44 
 3014 ; 1 рубль. В.-Уткинское об-во потребителей ; 1920 ;  ;  ;  ; 30 ; tiout ; 841 
 3015 ; 1 рубль ; 1918 ; Областной кредитный билет Урал ;  ;  ; 9 ; 223355 ; 58 
 3016 ; 3 рубля. Ташкент ; 1918 ; Туркестан  ;  ;  ; 26 ; Fedor_K ; 772 
 3017 ; 1000 рублей ; 1920 ; Азербайджан  ;  ;  ; 31 ; Даймлер ; 340 
 3018 ; 5 рублей. Крым ; 1918 ;  ;  ;  ; 13 ; димитрий ; 357 
 3019 ; 1 рубль ; 1919 ; Латвия. Обязательство гос.казн ;  ;  ; 69 ; hjk1974 ; 567 
 3020 ; 3 рубля. Родзянко ; 1919 ;  ;  ;  ; 21 ; димитрий ; 428 
 3021 ; 10 рублей. Родзянко ; 1919 ;  ;  ;  ; 53 ; acer ; 325 
 3022 ; 5000 рублей ; 1921 ; Армения  ;  ;  ; 39 ; hjk1974 ; 300 
 3023 ; 50 рублей ; 1918 ; Закавказье  ;  ;  ; 42 ; hjk1974 ; 203 
 3024 ; 25000 рублей ; 1922 ; Армения  ;  ;  ; 21 ; hjk1974 ; 394 
 3025 ; 100 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 18 ; Copirchik ; 148 
 3026 ; 100 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 11 ; buzykin ; 123 
 3027 ; 100 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 42 ; hjk1974 ; 226 
 3028 ; 100 рублей ; 1923 ; Гос.денежные знаки. Первый вып ;  ;  ; 10 ; hjk1974 ; 128 
 3029 ; 50000 рублей ; 1921 ; Азербайджан  ;  ;  ; 43 ; hjk1974 ; 374 
 3030 ; 10000 рублей ; 1921 ; Армения  ;  ;  ; 43 ; smel ; 120 
 3031 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 20 ; Simpaga ; 35 
 3032 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 24 ; oxana ; 30 
 3033 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 18 ; oxana ; 31 
 3034 ; 250 рублей ; 1918 ; Закавказье  ;  ;  ; 34 ; hjk1974 ; 402 
 3035 ; 50000 рублей ; 1923 ; Закавказье  ;  ;  ; 21 ; hjk1974 ; 339 
 3036 ; 250000 рублей ; 1923 ; Закавказье  ;  ;  ; 16 ; hjk1974 ; 339 
 3037 ; 25000 рублей ; 1923 ; Закавказье  ;  ;  ; 16 ; Copirchik ; 250 
 3038 ; 10000 рублей ; 1923 ; Закавказье  ;  ;  ; 26 ; Copirchik ; 261 
 3039 ; 5000 рублей ; 1921 ; Грузия  ;  ;  ; 37 ; hjk1974 ; 203 
 3040 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 21 ; semen81 ; 30 
 3041 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 15 ; asru ; 123 
 3042 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 21 ; Ilyas ; 114 
 3043 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 4 ; Grod ; 29 
 3044 ; Облигация ; 1982 ;  ;  ;  ; 32 ; димитрий ; 85 
 3045 ; Облигация ; 1954 ;  ;  ;  ; 32 ; kro ; 47 
 3046 ; Облигация ; 1955 ;  ;  ;  ; 20 ; kro ; 47 
 3047 ; Облигация ; 1956 ;  ;  ;  ; 12 ; kro ; 49 
 3048 ; 5000 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 29 ; skir ; 249 
 3049 ; 5000 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 57 ; skir ; 315 
 3050 ; 100 гривень ; 1918 ; Украина.Державный Кредитовий б ;  ;  ; 20 ; suhoi ; 130 
 3051 ; 50 пенни ; 1919 ; Эстония  ;  ; XF ; 60 ; 67 ; 1554 
 3052 ; 10 рублей. Баку ; 1918 ;  ;  ; XF ; 65 ; Gop ; 3570 
 3053 ; 1 марка. Зап. добров.армия ; 1919 ;  ;  ; XF ; 14 ; hjk1974 ; 873 
 3054 ; 500 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ; XF ; 28 ; semen81 ; 181 
 3055 ; 3 рубля ; 1934 ; Гос.казначейские билеты  ;  ; XF ; 24 ; vlades ; 3468 
 3056 ; 50 рублей. Армения ; 1919 ;  ;  ; XF ; 10 ; nord17 ; 526 
 2607 ; 5 пенни. Финляндия ; 1942 ;  ; Cu ; AU ; 14 ; Hant  ; 55 
 2608 ; 5 пенни. Финляндия ; 1943 ;  ; Cu ; XF+ ; 27 ; Hant  ; 41 
 2609 ; 5 пенни. Финляндия ; 1963 ;  ; Cu ; VF-XF ; 1 ; rse ; 10 
 2610 ; 5 пенни. Финляндия ; 1964 ;  ; Cu ; VF-XF ; 7 ; mag ; 11 
 2611 ; 5 пенни. Финляндия ; 1965 ;  ; Cu ; XF- ; 3 ; mag ; 7 
 2612 ; 5 пенни. Финляндия ; 1966 ;  ; Cu ; AU ; 18 ; Coins911 ; 31 
 2613 ; 5 пенни. Финляндия ; 1967 ;  ; Cu ; AU ; 29 ; mag ; 36 
 2614 ; 5 пенни. Финляндия ; 1968 ;  ; Cu ; XF+ ; 5 ; kladoiskatel ; 7 
 2615 ; 5 пенни. Финляндия ; 1969 ;  ; Cu ; XF- ; 6 ; kladoiskatel ; 7 
 2616 ; 5 пенни. Финляндия ; 1970 ;  ; Cu ; XF+ ; 9 ; mag ; 10 
 2617 ; 5 пенни. Финляндия ; 1971 ;  ; Cu ; XF- ; 12 ; kladoiskatel ; 12 
 2618 ; 5 пенни. Финляндия ; 1972 ;  ; Cu ; AU ; 9 ; rizovtpl ; 16 
 2619 ; 5 пенни. Финляндия ; 1973 ;  ; Cu ; XF+ ; 9 ; solder13 ; 10 
 2620 ; 5 пенни. Финляндия ; 1974 ;  ; Cu ; XF+ ; 3 ; alex995 ; 4 
 2621 ; 5 пенни. Финляндия ; 1975 ;  ; Cu ; AU ; 7 ; avg1974 ; 8 
 2622 ; 5 пенни. Финляндия ; 1976 ;  ; Cu ; AU ; 7 ; solder13 ; 31 
 2623 ; 5 пенни. Финляндия ; 1977 ;  ; Cu ; XF+ ; 13 ; Coins911 ; 34 
 2624 ; 5 пенни. Финляндия ; 1977 ;  ; Al ; AU ; 11 ; Coins911 ; 31 
 2625 ; 5 пенни. Финляндия ; 1978 ;  ; Al ; AU ; 4 ; rizovtpl ; 7 
 2626 ; 5 пенни. Финляндия ; 1979 ;  ; Al ; XF+ ; 7 ; kladoiskatel ; 7 
 2627 ; 5 пенни. Финляндия ; 1980 ;  ; Al ; XF+ ; 5 ; kladoiskatel ; 7 
 2628 ; 5 пенни. Финляндия ; 1983 ;  ; Al ; AU ; 15 ; solder13 ; 17 
 2629 ; 5 пенни. Финляндия ; 1984 ;  ; Al ; AU ; 8 ; Hant  ; 8 
 2630 ; 5 пенни. Финляндия ; 1987 ;  ; Al ; AU ; 6 ; solder13 ; 7 
 2631 ; 50 эре. Швеция ; 1956 ;  ; Ag ; VF-XF ; 20 ; kladoiskatel ; 45 
 2632 ; 10 эре. Швеция ; 1941 ;  ; Ag ; VF-XF ; 19 ; kladoiskatel ; 41 
 2633 ; 10 эре. Швеция ; 1944 ;  ; Ag ; VF-XF ; 9 ; kladoiskatel ; 46 
 2634 ; 10 эре. Швеция ; 1949 ;  ; Ag ; XF ; 5 ; kladoiskatel ; 34 
 2635 ; 10 эре. Швеция ; 1950 ;  ; Ag ; XF ; 11 ; kladoiskatel ; 44 
 2636 ; 10 эре. Швеция ; 1953 ;  ; Ag ; VF-XF ; 5 ; kladoiskatel ; 44 
 2637 ; 10 эре. Швеция ; 1955 ;  ; Ag ; VF-XF ; 5 ; alex995 ; 38 
 2638 ; 10 эре. Швеция ; 1956 ;  ; Ag ; XF+ ; 7 ; kladoiskatel ; 44 
 2639 ; 10 эре. Швеция ; 1957 ;  ; Ag ; VF-XF ; 9 ; kladoiskatel ; 38 
 2640 ; 10 эре. Швеция ; 1958 ;  ; Ag ; XF- ; 9 ; Viktor58 ; 45 
 2641 ; 10 эре. Швеция ; 1961 ;  ; Ag ; VF-XF ; 6 ; alex995 ; 44 
 2642 ; 2 кроны. Швеция ; 1897 ;  ; Ag ; VF-XF ; 32 ; jef688 ; 351 
 2643 ;  2 кроны. Швеция ; 1954 ; TS ; Ag ; AU ; 63 ; hjk1974 ; 225 
 2644 ; 1 крона. Швеция ; 1957 ;  ; Ag ; VF-XF ; 24 ; tss ; 72 
 2645 ; Лот монет США: 1 дайм (10шт) ; 1946-1963гг ;  ; Ag ; VF-/VF+ ; 72 ; nikolay ; 435 
 2646 ; Лот монет США: 1 дайм (10шт) ; 1917-1945гг ;  ; Ag ; VF-/VF+ ; 40 ; nikolay ; 463 
 2647 ; Лот монет США: 1/4 доллара (10шт) ; 1935-1945гг ;  ; Ag ; VF- ; 39 ; nikolay ; 693 
 2648 ; Лот монет США: 1/4 доллара (10шт) ; 1946-1962гг ;  ; Ag ; VF ; 23 ; nikolay ; 506 
 2649 ; Лот монет США: 1 цент (10шт) ; 1881-1907 ;  ; Br ; F-VF/VF ; 47 ; semen81 ; 309 
 2650 ; Набор монет Сан-Марино: 1,2 евро, 50,20,10,5,2,1 евроцентов (8шт) ; 2006,2007 гг ;  ; Би/м,Cu/St ; AU ; 14 ; Mike! ; 1777 
 3001 ; 3 копейки ; 1915 ; Деньги-марки  ;  ;  ; 63 ; asru ; 105 
 3002 ; 15 копеек ; 1915 ; Деньги-марки  ;  ;  ; 18 ; alyans-met ; 102 
 3003 ; 40 шагив ; 1918 ; Украина.Тип почтовых марок  ;  ;  ; 26 ; asgard ; 123 
 3004 ; 50 шагив ; 1918 ; Украина.Тип почтовых марок  ;  ;  ; 15 ; Copirchik ; 118 
