 3241 ; Бона иностранная ;  ;  ;  ;  ; 38 ; кузин ; 171 
 3101 ; Облигация С.-Петербургского гор.кредитного общества ; 1912 ;  ;  ;  ; 24 ; 4758 ; 600 
 3102 ; Центральное электрическое общество в Москве. Акция ; 1899 ;  ;  ;  ; 54 ; купили ; 816 
 3103 ; Акция. Одесса ; 1912 ;  ;  ;  ; 83 ; Abbat ; 368 
 3104 ; Ростовский трамвай. Привилегированная облигация ; 1899 ;  ;  ;  ; 40 ; Abbat ; 510 
 3105 ; 4% консолидированная рента. Облигация ; 1901 ;  ;  ;  ; 85 ; Oliveer ; 1701 
 3106 ; Облигация ; 1885 ;  ;  ;  ; 66 ; МИС ; 195 
 3107 ; Облигация ; 1885 ;  ;  ;  ; 79 ; suhoi ; 153 
 3108 ; Облигация ; 1885 ;  ;  ;  ; 97 ; fvm ; 172 
 3109 ; Облигация ; 1885 ;  ;  ;  ; 2 ; 223355 ; 150 
 3110 ; Облигация ; 1885 ;  ;  ;  ; 41 ; Abbat ; 157 
 3111 ; Облигация ; 1885 ;  ;  ;  ; 2 ; купили ; 153 
 3112 ; Облигация ; 1885 ;  ;  ;  ; 84 ; xabib ; 153 
 3113 ; Облигация ; 1885 ;  ;  ;  ; 85 ; xabib ; 153 
 3114 ; Облигация ; 1885 ;  ;  ;  ; 47 ; jy777 ; 153 
 3115 ; Облигация ; 1885 ;  ;  ;  ; 93 ; sher60 ; 171 
 3116 ; Облигация ; 1885 ;  ;  ;  ; 100 ; купили ; 216 
 3117 ; Закладной лист ; 1898 ;  ;  ;  ; 28 ; Abbat ; 357 
 3118 ; Закладной лист ; 1898 ;  ;  ;  ; 7 ; lelik ; 301 
 3119 ; Закладной лист ; 1898 ;  ;  ;  ; 24 ; xabib ; 306 
 3120 ; Закладной лист ; 1898 ;  ;  ;  ; 56 ; xabib ; 306 
 3121 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ppp ; 30 
 3122 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ppp ; 30 
 3123 ; Бона иностранная ;  ;  ;  ;  ; 6 ; ppp ; 30 
 3124 ; Бона иностранная ;  ;  ;  ;  ; 7 ; QSL ; 36 
 3125 ; Бона иностранная ;  ;  ;  ;  ; 17 ; ppp ; 30 
 3126 ; Бона иностранная ;  ;  ;  ;  ; 12 ; 223355 ; 29 
 3127 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 223355 ; 29 
 3128 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 223355 ; 29 
 3129 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ppp ; 35 
 3130 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 223355 ; 29 
 3131 ; Бона иностранная ;  ;  ;  ;  ; 6 ; paxa ; 30 
 3132 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 223355 ; 29 
 3133 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 223355 ; 29 
 3134 ; Бона иностранная ;  ;  ;  ;  ; 3 ; paxa ; 32 
 3135 ; Бона иностранная ;  ;  ;  ;  ; 3 ; QSL ; 27 
 3136 ; Бона иностранная ;  ;  ;  ;  ; 7 ; QSL ; 27 
 3137 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 223355 ; 29 
 3138 ; Бона иностранная ;  ;  ;  ;  ; 3 ; QSL ; 30 
 3139 ; Бона иностранная ;  ;  ;  ;  ; 5 ; jesi ; 32 
 3140 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 223355 ; 29 
 3041 ; 200 рублей. Юг России ; 1919 ;  ;  ;  ; 62 ; igors1969 ; 425 
 3042 ; 100 рублей. Ростов ; 1918 ;  ;  ;  ; 18 ; МИС ; 108 
 3043 ; 250 рублей. Ростов ; 1918 ;  ;  ;  ; 25 ; jesi ; 252 
 3044 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 11 ; jesi ; 62 
 3045 ; 5000 рублей. Ростов ; 1919 ;  ;  ;  ; 11 ; 4758 ; 110 
 3046 ; 5000 рублей. Ростов ; 1919 ;  ;  ;  ; 36 ; fvm ; 196 
 3047 ; 5000 рублей. Ростов ; 1919 ;  ;  ;  ; 20 ; pak1313 ; 116 
 3048 ; 5000 рублей. Ростов ; 1919 ;  ;  ;  ; 22 ; kaa123 ; 131 
 3049 ; 50 копеек ;  ; Гос.кредитный билет "Северная  ;  ;  ; 26 ; alyans-met ; 996 
 3050 ; 1 рубль. Царицин ;  ;  ;  ;  ; 34 ; sher60 ; 306 
 3051 ; 5 рублей ; 1934 ; Гос.казначейские билеты ;  ;  ; 19 ; orel66 ; 332 
 3052 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 25 ; orel66 ; 407 
 3053 ; 500 рублей. Юг России ; 1920 ;  ;  ;  ; 28 ; o.k. ; 191 
 3054 ; 250 рублей. Юг России ; 1920 ;  ;  ;  ; 26 ; hrip ; 306 
 3055 ; 25000 рублей ; 1922 ; Армения ;  ;  ; 30 ; derk02 ; 510 
 3056 ; 10 рублей ; 1918 ; Туркестан ;  ;  ; 38 ; Атилла ; 531 
 3057 ; 50 миллионов марок ; 1922 ;  ;  ;  ; 33 ; кузин ; 179 
 3058 ; 25 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 44 ; Paul68 ; 466 
 3059 ; 10 карбованцев ;  ; Украина Знак Державноi скарбиц ;  ;  ; 26 ; титан ; 203 
 3060 ; 10 карбованцев ;  ; Украина Знак Державноi скарбиц ;  ;  ; 23 ; Qersej ; 408 
 3061 ; 50 рублей. Ростов ; 1919 ;  ;  ;  ; 15 ; igors1969 ; 394 
 3062 ; 50 рублей ; 1919 ; Грузия ;  ;  ; 30 ; derk02 ; 177 
 3063 ; 50 рублей ; 1918 ; Закавказье ;  ;  ; 45 ; lesnik1 ; 132 
 3064 ; 10 рублей ; 1920 ;  ;  ;  ; 52 ; igors1969 ; 932 
 3065 ; Листовка ;  ;  ;  ;  ; 31 ; 4758 ; 233 
 3066 ; 10000 рублей ; 1921 ; Армения ;  ;  ; 10 ; pak1313 ; 102 
 3067 ; 10000 рублей ; 1921 ; Армения ;  ;  ; 36 ; derk02 ; 214 
 3068 ; 10 рублей. Одесса ; 1917 ;  ;  ;  ; 20 ; skif ; 117 
 3069 ; 10 рублей. Одесса ; 1917 ;  ;  ;  ; 24 ; sher60 ; 105 
 3070 ; 5 карбованцев. Житомир ; 1918 ;  ;  ;  ; 17 ; Bagrin ; 387 
 3071 ; 100 рублей ; 1918 ; Закавказье ;  ;  ; 48 ; dimitri ; 408 
 3072 ; 1000 рублей ; 1920 ; Грузия ;  ;  ; 48 ; нумизмат ; 284 
 3073 ; 500 рублей ; 1919 ; Грузия ;  ;  ; 32 ; derk02 ; 209 
 3074 ; 100 гривень ; 1918 ; Украина.Державный Кредитовий б ;  ;  ; 20 ; Qersej ; 214 
 3075 ; 1 рубль ; 1922 ; Бухарская Республика ;  ;  ; 49 ; derk02 ; 663 
 3076 ; 3 рубля ; 1918 ; Туркестан ;  ;  ; 28 ; Атилла ; 417 
 3077 ; 10 рублей ; 1922 ; Бухарская Республика ;  ;  ; 43 ; derk02 ; 510 
 3078 ; 25 рублей ; 1918 ; Денежн.знаки.Северо-кавказская ;  ;  ; 38 ; derk02 ; 521 
 3079 ; 5000 рублей ; 1921 ; Армения ;  ;  ; 44 ; нумизмат ; 347 
 3080 ; 3 рубля. Пятигорск ; 1918 ;  ;  ;  ; 66 ; kostian1284 ; 510 
 3081 ; 50 рублей. Армения ; 1919 ;  ;  ;  ; 14 ; тнн ; 306 
 3082 ; 100 рублей. Армения ; 1919 ;  ;  ;  ; 16 ; тнн ; 357 
 3083 ; 50 рублей. Терская рес-ка ; 1918 ; Разменные знаки.Совнарком Терс ;  ;  ; 71 ; HSS ; 3071 
 3084 ; 100 рублей. Бухара ; 1920 ; Бухарская Республика ;  ;  ; 61 ; derk02 ; 459 
 3085 ; 50 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 23 ; rals ; 415 
 3086 ; 100 рублей ; 1923 ; Гос.денежные знаки. Первый вып ;  ;  ; 36 ; Paul68 ; 623 
 3087 ; 100 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 53 ; dimitri ; 521 
 3088 ; 250 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 53 ; Paul68 ; 2123 
 3089 ; 1 червонец ; 1926 ; Калманович, Горбунов. Билет ;  ;  ; 32 ; Gerc89 ; 357 
 3090 ; 2 червонца ; 1928 ; Калманович, Горбунов. Билет ;  ;  ; 49 ; Paul68 ; 2600 
 2595 ; Набор монет США (6шт): 1/2 доллара, 1/4 доллара, 1дайм, 5центов, 1цент + Жетон. Упаковка ; 1987 ;  ; Cu/сереб,  ; Unc ; 12 ; Dozen ; 209 
 2596 ; Набор монет Южной Африки (8шт): 1ранд, 50центов, 20центов, 10центов, 5сентов, 2цента, 1цент, 1/2цента ; 1971 ;  ; Ag, Ni, Br ; AU ; 56 ; tau ; 343 
 2597 ; Набор монет Ирландии (9шт): 10шиллингов, шиллинг, флорин, 1/2флорина, 3пенса, пенни, 1/2 пенни, фартинг. В пластиковой капсуле ; 1966 ;  ; Ag,Ni,Br ; AU ; 65 ; nikolay ; 1579 
 2598 ; Лот монет Исландии: 1,5,10,50 крон (4шт) ; 1978 ;  ; Cu/Ni,Al ; AU ; 57 ; Dozen ; 477 
 2599 ; Набор монет Палестины (7шт): 1,2,5,10,20,50,100 милс ; 1927-1940 ;  ; Br,Cu/Ni,A ; VF+/XF- ; 54 ; xabib ; 1487 
 2600 ; Набор монет Бермудских о-в (5шт): 50центов, 25центов, 10центов, 5центов, 1цент. В пластиковой капсуле ; 1970 ;  ; Cu/Ni, Br ; AU ; 26 ; vc57 ; 580 
 2601 ; Набор монет Марокко (7шт): 5 дирхем, 1дирхем, 50сантимов, 20сантимов, 10сантимов, 5сантимов, 1 сантим. В пластиковой капсуле ; 1974-1975 ;  ; Cu/Ni, Лат ; AU ; 56 ; luka ; 500 
 2602 ; Набор монет Малайзии (6шт): 1доллар, 50центов, 20центов, 10центов, 5центов, 1цент ; 1989 ;  ; Cu/Ni,Cu/S ; AU ; 39 ; tau ; 197 
 2603 ; Набор монет Гон-Конга (4шт): 1доллар, 50центов, 10центов, 5центов ; 1971-1973 ;  ; Cu/Ni, Ni/ ; AU ; 95 ; vc57 ; 227 
 2604 ; Лот монет : Нидерландов, Испании, Аргентины, Гон-Конга, Венгрии, Швеции, Тайланд, Японии (10шт) ; XXв ;  ; Al/Br, Cu- ; VF+/AU ; 29 ; error1984 ; 110 
 3001 ; 1 копейка ; 1917 ; Деньги-марки ;  ;  ; 32 ; dimitri ; 108 
 3002 ; 2 копейки ; 1915 ; Деньги-марки ;  ;  ; 14 ; Майкл ; 204 
 3003 ; 3 копейки ; 1915 ; Деньги-марки ;  ;  ; 28 ; fvm ; 92 
 3004 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 16 ; skif ; 65 
 3005 ; 15 копеек ; 1915 ; Деньги-марки ;  ;  ; 35 ; МИС ; 90 
 3006 ; 3 рубля. Батум ;  ;  ;  ;  ; 27 ; Bagrin ; 400 
 3007 ; 3 рубля ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 11 ; evgen72 ; 57 
 3008 ; 1 рубль ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 9 ; igors1969 ; 120 
 3009 ; 50 копеек ; 1919 ; Грузия ;  ;  ; 29 ; derk02 ; 118 
 3010 ; 250 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 33 ; evgen72 ; 111 
 3011 ; 500 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 34 ; Saneck ; 301 
 3012 ; 1000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 1 ; kishkis ; 150 
 3013 ; 1 рубль ; 1919 ; Грузия ;  ;  ; 70 ; derk02 ; 237 
 3014 ; 50 копеек. Сибирское в.п. ; 1919 ;  ;  ;  ; 37 ; kaa123 ; 108 
 3015 ; 50 копеек. Ростов ; 1918 ;  ;  ;  ; 20 ; fvm ; 164 
 3016 ; 2 гривни ; 1918 ; Украина.Державный Кредитовий б ;  ;  ; 41 ; lesnik1 ; 144 
 3017 ; 1 рубль ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 28 ; Gerc89 ; 200 
 3018 ; 5 рублей ; 1923 ; Гос.денежные знаки. Первый вып ;  ;  ; 19 ; Paul68 ; 612 
 3019 ; 50 рублей ; 1961 ; билет ;  ;  ; 44 ; pak1313 ; 153 
 3020 ; 50 рублей ; 1961 ; билет ;  ;  ; 34 ; luvver ; 153 
 3021 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 20 ; alyans-met ; 70 
 3022 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 6 ; jesi ; 31 
 3023 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 11 ; xabib ; 30 
 3024 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 25 ; Максимус 1 ; 101 
 3025 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 45 ; pak1313 ; 93 
 3026 ; 50 карбованцев ; 1918 ; Украина. Знак Державноi скарбн ;  ;  ; 11 ; Qersej ; 151 
 3027 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 16 ; Gerc89 ; 200 
 3028 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 3 ; 4758 ; 30 
 3029 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 5 ; Arkhangel ; 31 
 3030 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 5 ; salim ; 36 
 3031 ; 10 гривень ; 1918 ; Украина.Державный Кредитовий б ;  ;  ; 7 ; salim ; 72 
 3032 ; 50 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 8 ; Gerc89 ; 100 
 3033 ; 5 рублей ; 1947 ; Гос.казначейский билет ;  ;  ; 13 ; alyans-met ; 510 
 3034 ; 10 рублей. Ростов ; 1918 ;  ;  ;  ; 17 ; manaevv ; 170 
 3035 ; 5 рублей. Ростов ; 1918 ;  ;  ;  ; 10 ; salim ; 145 
 3036 ; 3 рубля. Ростов ; 1918 ;  ;  ;  ; 12 ; salim ; 145 
 3037 ; 25 рублей. Ростов ; 1918 ;  ;  ;  ; 24 ; igors1969 ; 193 
 3038 ; 3 рубля ; 1905 ; Коншин 1910 г. Гос.кредитные б ;  ;  ; 52 ; Fedor_K ; 1020 
 3039 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 12 ; alyans-met ; 80 
 3040 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные б ;  ;  ; 22 ; alyans-met ; 348 
 2545 ; 20 сенти. Эстония ; 1935 ;  ; Ni/Br ; VF+ ; 49 ; tavitrof ; 87 
 2546 ; 10 сенти. Эстония ; 1931 ;  ; Ni/Br ; VF+ ; 27 ; salim ; 40 
 2547 ; 5 сенти. Эстония ; 1991 ;  ; Латунь ; XF+ ; 22 ; romchik_80 ; 23 
 2548 ; 5 сенти. Эстония ; 1992 ;  ; Латунь ; XF+ ; 21 ; alex995 ; 22 
 2549 ; 5 сенти. Эстония ; 1995 ;  ; Латунь ; XF+ ; 21 ; alex995 ; 22 
 2550 ; 2 сенти. Эстония ; 1934 ;  ; Br ; VF+ ; 22 ; Скрудж ; 31 
 2551 ; 5 центов. Литва ; 1936 ;  ; Br ; VF+ ; 35 ; av ; 210 
 2552 ; 2 цента. Литва ; 1936 ;  ; Br ; XF ; 10 ; o.k. ; 182 
 2553 ; 1 цент. Литва ; 1936 ;  ; Br ; VF-XF ; 8 ; o.k. ; 62 
 2554 ; Монета медная ;  ;  ; Cu ; F ; 47 ; gelind ; 69 
 2555 ; 20 рублей. Беларусь. Олимпийские игры. Метание ядра. С сертификатом подлинности ; 2003 ;  ; Ag 925 ; Proof ; 29 ; Viktor58 ; 1024 
 2556 ; 20 рублей. Беларусь. Академическая гребля. С сертификатом подлинности ; 2004 ;  ; Ag 925 ; Proof ; 10 ; Винни Пух ; 651 
 2557 ; 20 рублей. Беларусь. Всеслав Полацкий. С сертификатом подлинности ; 2005 ;  ; Ag 925 ; Proof ; 21 ; Винни Пух ; 809 
 2558 ; 20 рублей. Беларусь. Олимпийские игры 2006 года. Хоккей. С сертификатом подлинности ; 2005 ;  ; Ag 925 ; Proof ; 13 ; Mike! ; 686 
 2559 ; 20 рублей. Беларусь. Олимпийские игры 2006 года. Хоккей. С сертификатом подлинности ; 2005 ;  ; Ag 925 ; Proof ; 5 ; Mike! ; 589 
 2560 ; 1 рубль. Беларусь. 50 лет ООН. Упаковка ; 1996 ;  ; Cu/Ni ; Unc ; 40 ; pillau3 ; 465 
 2561 ; 1 рубль. Беларусь. Горнолыжный центр "Силичи" ; 2006 ;  ; Cu/Ni ; Proof ; 19 ; grimbo ; 164 
 2562 ; Крона. Швеция ; 1876 ;  ; Ag ; F+ ; 26 ; Poiuyt ; 159 
 2563 ; 1 крона. Швеция ; 1946 ;  ; Ag ; AU ; 30 ; pak1313 ; 94 
 2564 ; 10 эре. Швеция ; 1937 ;  ; Ag ; XF ; 8 ; hjk1974 ; 51 
 2565 ; 10 эре. Швеция ; 1941 ;  ; Ag ; XF+ ; 13 ; sandy ; 43 
 2566 ; 10 эре. Швеция ; 1944 ;  ; Ag ; AU ; 22 ; uin72 ; 59 
 2567 ; 10 эре. Швеция ; 1947 ;  ; Ag ; F-VF ; 12 ; Arkhangel ; 18 
 2568 ; 10 эре. Швеция ; 1948 ;  ; Ag ; AU ; 15 ; rizovtpl ; 36 
