 3561 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Poiuyt ; 34 
 3515 ; Бона иностранная ;  ;  ;  ;  ; 7 ; кукуку ; 24 
 3516 ; Бона иностранная ;  ;  ;  ;  ; 10 ; derk02 ; 70 
 3517 ; Бона иностранная ;  ;  ;  ;  ; 19 ; jj ; 80 
 3518 ; Бона иностранная ;  ;  ;  ;  ; 23 ; mishchka ; 32 
 3519 ; Бона иностранная ;  ;  ;  ;  ; 28 ; smel ; 203 
 3520 ; Бона иностранная ;  ;  ;  ;  ; 56 ; bolik ; 62 
 3521 ; Бона иностранная ;  ;  ;  ;  ; 25 ; vasilisov ; 30 
 3522 ; Бона иностранная ;  ;  ;  ;  ; 42 ; blacked ; 45 
 3523 ; Бона иностранная ;  ;  ;  ;  ; 27 ; mishchka ; 30 
 3524 ; Бона иностранная ;  ;  ;  ;  ; 26 ; kuzia ; 102 
 3525 ; Бона иностранная ;  ;  ;  ;  ; 23 ; kuzia ; 102 
 3526 ; Бона иностранная ;  ;  ;  ;  ; 27 ; derk02 ; 124 
 3527 ; Бона иностранная ;  ;  ;  ;  ; 56 ; derk02 ; 123 
 3528 ; Бона иностранная ;  ;  ;  ;  ; 17 ; слива ; 93 
 3529 ; Бона иностранная ;  ;  ;  ;  ; 16 ; слива ; 98 
 3530 ; Бона иностранная ;  ;  ;  ;  ; 28 ; mishchka ; 48 
 3531 ; Бона иностранная ;  ;  ;  ;  ; 11 ; blacked ; 47 
 3532 ; Бона иностранная ;  ;  ;  ;  ; 21 ; faga2003 ; 37 
 3533 ; Бона иностранная ;  ;  ;  ;  ; 35 ; blacked ; 34 
 3534 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Sani ; 31 
 3535 ; Бона иностранная ;  ;  ;  ;  ; 26 ; faga2003 ; 59 
 3536 ; Бона иностранная ;  ;  ;  ;  ; 6 ; нумизмат ; 73 
 3537 ; Бона иностранная ;  ;  ;  ;  ; 25 ; бурят1978 ; 35 
 3538 ; Бона иностранная ;  ;  ;  ;  ; 14 ; faga2003 ; 49 
 3539 ; Бона иностранная ;  ;  ;  ;  ; 44 ; derk02 ; 357 
 3540 ; Бона иностранная ;  ;  ;  ;  ; 56 ; abrek112 ; 59 
 3541 ; Бона иностранная ;  ;  ;  ;  ; 35 ; abrek112 ; 128 
 3542 ; Бона иностранная ;  ;  ;  ;  ; 78 ; ask ; 122 
 3543 ; Бона иностранная ;  ;  ;  ;  ; 16 ; alex995 ; 19 
 3544 ; Бона иностранная ;  ;  ;  ;  ; 28 ; derk02 ; 714 
 3545 ; Бона иностранная ;  ;  ;  ;  ; 27 ; Poiuyt ; 34 
 3546 ; Бона иностранная ;  ;  ;  ;  ; 19 ; abrek112 ; 203 
 3547 ; Бона иностранная ;  ;  ;  ;  ; 24 ; smel ; 235 
 3548 ; Бона иностранная ;  ;  ;  ;  ; 24 ; nik23455 ; 32 
 3549 ; Бона иностранная ;  ;  ;  ;  ; 16 ; nik23455 ; 32 
 3550 ; Бона иностранная ;  ;  ;  ;  ; 7 ; nik23455 ; 32 
 3551 ; Бона иностранная ;  ;  ;  ;  ; 9 ; nik23455 ; 32 
 3552 ; Бона иностранная ;  ;  ;  ;  ; 18 ; nik23455 ; 31 
 3553 ; Бона иностранная ;  ;  ;  ;  ; 32 ; bolik ; 40 
 3554 ; Бона иностранная ;  ;  ;  ;  ; 22 ; blacked ; 32 
 3555 ; Бона иностранная ;  ;  ;  ;  ; 19 ; mishchka ; 32 
 3556 ; Бона иностранная ;  ;  ;  ;  ; 10 ; blacked ; 32 
 3557 ; Бона иностранная ;  ;  ;  ;  ; 57 ; abrek112 ; 101 
 3558 ; Бона иностранная ;  ;  ;  ;  ; 18 ; veektor ; 32 
 3559 ; Бона иностранная ;  ;  ;  ;  ; 10 ; blacked ; 32 
 3560 ; Бона иностранная ;  ;  ;  ;  ; 6 ; vasilisov ; 31 
 3461 ; Бона иностранная ;  ;  ;  ;  ; 11 ; kotyamoi ; 38 
 3462 ; Бона иностранная ;  ;  ;  ;  ; 9 ; kotyamoi ; 36 
 3463 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 51 
 3464 ; Бона иностранная ;  ;  ;  ;  ; 13 ; AIK60 ; 55 
 3465 ; Бона иностранная ;  ;  ;  ;  ; 5 ; leksrock ; 35 
 3466 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ТУК2 ; 50 
 3467 ; Бона иностранная ;  ;  ;  ;  ; 9 ; kotyamoi ; 42 
 3468 ; Бона иностранная ;  ;  ;  ;  ; 5 ; smel ; 47 
 3469 ; Бона иностранная ;  ;  ;  ;  ; 7 ; smel ; 46 
 3470 ; Бона иностранная ;  ;  ;  ;  ; 11 ; kotyamoi ; 44 
 3471 ; Бона иностранная ;  ;  ;  ;  ; 16 ; AIK60 ; 77 
 3472 ; Бона иностранная ;  ;  ;  ;  ; 11 ; smel ; 51 
 3473 ; Бона иностранная ;  ;  ;  ;  ; 7 ; smel ; 47 
 3474 ; Бона иностранная ;  ;  ;  ;  ; 7 ; kotyamoi ; 40 
 3475 ; Бона иностранная ;  ;  ;  ;  ; 12 ; asru ; 40 
 3476 ; Бона иностранная ;  ;  ;  ;  ; 10 ; asru ; 45 
 3477 ; Бона иностранная ;  ;  ;  ;  ; 9 ; KKK ; 42 
 3478 ; Бона иностранная ;  ;  ;  ;  ; 6 ; KKK ; 40 
 3479 ; Бона иностранная ;  ;  ;  ;  ; 10 ; KKK ; 44 
 3480 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kotyamoi ; 41 
 3481 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 43 
 3482 ; Бона иностранная ;  ;  ;  ;  ; 1 ; QSL ; 42 
 3483 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Jinn_00 ; 80 
 3484 ; Бона иностранная ;  ;  ;  ;  ; 1 ; QSL ; 40 
 3485 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kotyamoi ; 40 
 3486 ; Бона иностранная ;  ;  ;  ;  ; 1 ; QSL ; 41 
 3487 ; Бона иностранная ;  ;  ;  ;  ; 16 ; AIK60 ; 42 
 3488 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 32 
 3489 ; Бона иностранная ;  ;  ;  ;  ; 5 ; vasilisov ; 31 
 3490 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 36 
 3491 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 32 
 3492 ; Бона иностранная ;  ;  ;  ;  ; 25 ; smel ; 105 
 3493 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Скрудж ; 41 
 3494 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Let ; 57 
 3495 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Let ; 61 
 3496 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 32 
 3497 ; Бона иностранная ;  ;  ;  ;  ; 19 ; asru ; 30 
 3498 ; Бона иностранная ;  ;  ;  ;  ; 19 ; sos1 ; 48 
 3499 ; Бона иностранная ;  ;  ;  ;  ; 77 ; нумизмат ; 105 
 3500 ; Бона иностранная ;  ;  ;  ;  ; 13 ; ТУК2 ; 27 
 3501 ; Бона иностранная ;  ;  ;  ;  ; 73 ; faga2003 ; 92 
 3502 ; Бона иностранная ;  ;  ;  ;  ; 19 ; кукуку ; 24 
 3503 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Sani ; 32 
 3504 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Sani ; 30 
 3505 ; Бона иностранная ;  ;  ;  ;  ; 48 ; Sani ; 47 
 3506 ; Бона иностранная ;  ;  ;  ;  ; 32 ; Sani ; 31 
 3507 ; Бона иностранная ;  ;  ;  ;  ; 24 ; vasilisov ; 31 
 3508 ; Бона иностранная ;  ;  ;  ;  ; 22 ; ТУК2 ; 31 
 3509 ; Бона иностранная ;  ;  ;  ;  ; 12 ; ppp ; 26 
 3510 ; Бона иностранная ;  ;  ;  ;  ; 12 ; faga2003 ; 35 
 3411 ; 5000 рублей ; 1923 ; Закавказье ;  ;  ; 23 ; strestas ; 231 
 3412 ; 10000000 рублей ; 1923 ; Закавказье ;  ;  ; 22 ; apelsinov ; 408 
 3413 ; 250 рублей ; 1918 ; Закавказье ;  ;  ; 29 ; Ходор ; 207 
 3414 ; 1000 рублей ; 1920 ; Азербайджан ;  ;  ; 7 ; ppp ; 204 
 3415 ; 25000 рублей ; 1923 ; Закавказье ;  ;  ; 10 ; strestas ; 259 
 3416 ; 5000 рублей ; 1919 ; Армения ;  ;  ; 23 ; elion3 ; 180 
 3417 ; 5000 рублей ; 1919 ; Армения ;  ;  ; 14 ; elion3 ; 183 
 3418 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 20 ; Alexey77 ; 101 
 3419 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 35 ; слива ; 77 
 3420 ; 5000 рублей ; 1921 ; Грузия ;  ;  ; 32 ; alexsurf ; 259 
 3421 ; 50000 рублей ; 1995 ; банкнота ;  ;  ; 93 ; strestas ; 789 
 3422 ; 100000 рублей ; 1995 ; банкнота ;  ;  ; 103 ; ТУК2 ; 799 
 3423 ; 500000 рублей ; 1995 ; банкнота ;  ;  ; 57 ; Sky2 ; 18000 
 3424 ; 100 рублей (образец) ; 1910 ; Образец. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 124 ; сс400 ; 18360 
 3425 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 26 ; abrek112 ; 459 
 3426 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 26 ; й12 ; 180 
 3427 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 97 ; double ; 297 
 3428 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 144 ; uz ; 465 
 3429 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 30 ; Mike! ; 352 
 3430 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 19 ; Mike! ; 349 
 3431 ; Бона иностранная ;  ;  ;  ;  ; 8 ; AIK60 ; 57 
 3432 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Скрудж ; 45 
 3433 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 45 
 3434 ; Бона иностранная ;  ;  ;  ;  ; 8 ; KKK ; 53 
 3435 ; Бона иностранная ;  ;  ;  ;  ; 8 ; KKK ; 53 
 3436 ; Бона иностранная ;  ;  ;  ;  ; 9 ; KKK ; 53 
 3437 ; Бона иностранная ;  ;  ;  ;  ; 4 ; KKK ; 45 
 3438 ; Бона иностранная ;  ;  ;  ;  ; 21 ; smel ; 65 
 3439 ; Бона иностранная ;  ;  ;  ;  ; 13 ; kotyamoi ; 72 
 3440 ; Бона иностранная ;  ;  ;  ;  ; 17 ; AIK60 ; 59 
 3441 ; Бона иностранная ;  ;  ;  ;  ; 9 ; KKK ; 53 
 3442 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Скрудж ; 45 
 3443 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 45 
 3444 ; Бона иностранная ;  ;  ;  ;  ; 7 ; AIK60 ; 53 
 3445 ; Бона иностранная ;  ;  ;  ;  ; 4 ; KKK ; 45 
 3446 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Let ; 45 
 3447 ; Бона иностранная ;  ;  ;  ;  ; 8 ; kotyamoi ; 44 
 3448 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Let ; 57 
 3449 ; Бона иностранная ;  ;  ;  ;  ; 5 ; KKK ; 37 
 3450 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Let ; 61 
 3451 ; Бона иностранная ;  ;  ;  ;  ; 1 ; QSL ; 35 
 3452 ; Бона иностранная ;  ;  ;  ;  ; 1 ; QSL ; 32 
 3453 ; Бона иностранная ;  ;  ;  ;  ; 8 ; kotyamoi ; 42 
 3454 ; Бона иностранная ;  ;  ;  ;  ; 8 ; asru ; 46 
 3455 ; Бона иностранная ;  ;  ;  ;  ; 7 ; kotyamoi ; 43 
 3456 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ТУК2 ; 41 
 3457 ; Бона иностранная ;  ;  ;  ;  ; 7 ; kotyamoi ; 43 
 3458 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Скрудж ; 44 
 3459 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 32 
 3460 ; Бона иностранная ;  ;  ;  ;  ; 11 ; kotyamoi ; 40 
 3361 ; 500 рублей ; 1919 ; Грузия ;  ;  ; 35 ; al69 ; 206 
 3362 ; 1000 рублей ; 1920 ; Грузия ;  ;  ; 36 ; al69 ; 206 
 3363 ; 100 динар ; 1941 ;  ;  ;  ; 39 ; vvp500 ; 105 
 3364 ; 50 пенго ; 1944 ;  ;  ;  ; 39 ; Bagrin ; 214 
 3365 ; 50 злотых ; 1944 ;  ;  ;  ; 74 ; derk02 ; 306 
 3366 ; 1000000 марок ; 1923 ;  ;  ;  ; 46 ; derk02 ; 510 
 3367 ; 100 злотых ; 1934 ;  ;  ;  ; 25 ; armadavls ; 306 
 3368 ; 50 злотых ; 1940 ;  ;  ;  ; 25 ; derk02 ; 357 
 3369 ; 100 пенго ; 1945 ;  ;  ;  ; 30 ; derk02 ; 346 
 3370 ; 100 пенго ; 1944 ;  ;  ;  ; 38 ; kuzia ; 201 
 3371 ; 100 злотых ; 1944 ;  ;  ;  ; 48 ; derk02 ; 214 
 3372 ; 50 злотых ; 1929 ;  ;  ;  ; 24 ; armadavls ; 308 
 3373 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 2 ; zmax ; 30 
 3374 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 2 ; zmax ; 30 
 3375 ; 5000 рублей ; 1921 ; Грузия ;  ;  ; 54 ; al69 ; 257 
 3376 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 46 ; blacked ; 84 
 3377 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 26 ; zmax ; 58 
 3378 ; 5000 рублей ; 1919 ;  ;  ;  ; 38 ; rosdor ; 235 
 3379 ; 5000 рублей ; 1919 ;  ;  ;  ; 40 ; сторож91 ; 305 
 3380 ; 5000 рублей ; 1919 ;  ;  ;  ; 32 ; свет ; 261 
 3381 ; 1 копейка. Ростов ;  ;  ;  ;  ; 109 ; Bagrin ; 465 
 3382 ; 1 рубль ; 1919 ; Латвия. Разменный знак ;  ;  ; 21 ; abrek112 ; 379 
 3383 ; 3 рубля. Астрахань ; 1918 ;  ;  ;  ; 46 ; Соколов ; 1734 
 3384 ; 3 рубля ; 1918 ; Азербайджан ;  ;  ; 52 ; Соколов ; 247 
 3385 ; 1 рубль ; 1918 ; Азербайджан ;  ;  ; 79 ; apelsinov ; 277 
 3386 ; 5 рублей ; 1918 ; Азербайджан ;  ;  ; 30 ; faga2003 ; 125 
 3387 ; 10 рублей ; 1918 ; Азербайджан ;  ;  ; 32 ; bdd48 ; 261 
 3388 ; 1 марка ; 1918 ;  ;  ;  ; 29 ; alexsurf ; 100 
 3389 ; 1 марка ; 1916 ;  ;  ;  ; 22 ; alexsurf ; 265 
 3390 ; 10 рублей. Баку ; 1918 ;  ;  ;  ; 32 ; ppp ; 171 
 3391 ; 25 рублей. Баку ; 1918 ;  ;  ;  ; 99 ; AIK60 ; 255 
 3392 ; 1000 рублей ; 1920 ; Азербайджан ;  ;  ; 44 ; FOCU$ ; 121 
 3393 ; 50 рублей. Баку ; 1918 ;  ;  ;  ; 20 ; FOCU$ ; 208 
 3394 ; 25 рублей ; 1918 ; Азербайджан ;  ;  ; 21 ; ТУК2 ; 131 
 3395 ; 5 рублей ; 1918 ; Закавказье ;  ;  ; 9 ; zmax ; 200 
 3396 ; 10 рублей ; 1918 ; Закавказье ;  ;  ; 13 ; FOCU$ ; 170 
 3397 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 28 ; каламбур ; 136 
 3398 ; 25 рублей. Крым ; 1918 ;  ;  ;  ; 10 ; al69 ; 360 
 3399 ; 50 рублей ; 1918 ; Закавказье ;  ;  ; 24 ; apelsinov ; 167 
 3400 ; 100 рублей ; 1919 ; Азербайджан ;  ;  ; 19 ; apelsinov ; 166 
 3401 ; 100 рублей ; 1919 ; Азербайджан ;  ;  ; 10 ; apelsinov ; 167 
 3402 ; 100 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 17 ; zmax ; 70 
 3403 ; 10000 рублей ; 1921 ; Азербайджан ;  ;  ; 9 ; FOCU$ ; 104 
 3404 ; 5000 рублей ; 1921 ; Азербайджан ;  ;  ; 33 ; faga2003 ; 200 
 3405 ; 50000 рублей ; 1921 ; Азербайджан ;  ;  ; 7 ; bethowen ; 169 
 3406 ; 50000 рублей ; 1921 ; Азербайджан ;  ;  ; 37 ; al69 ; 277 
 3407 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 31 ; blacked ; 31 
 3408 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 11 ; blacked ; 74 
 3409 ; 100 рублей. Туркестан ; 1919 ;  ;  ;   ; 18 ; Bagrin ; 247 
 3410 ; 250000 рублей ; 1923 ; Закавказье ;  ;  ; 32 ; alexsurf ; 277 
 2754 ; Лот иностранных монет: 6шт ; 20 век ;  ; Al, ж/м ; VF/VF+ ; 25 ; Lobster76 ; 26 
 2755 ; Лот монет Перу, Аргентины, Венесуэлы: 5шт ; 1950-1987 ;  ; Cu-Ni, ж/м ; VF/XF- ; 21 ; zx123 ; 69 
 2756 ; Лот монет Цейлона: 5шт ; 1943-1982 ;  ; Cu-Ni, ж/м ; F+/VF- ; 70 ; elya ; 85 
 2757 ; Лот монет Великобритании: 8шт ; 1940-1952 ;  ; Al/Br, Br ; VF-/VF ; 33 ; zx123 ; 46 
 2758 ; Лот монет Бразилии: 5шт ; 1945-1998 ;  ; Cu-Ni, ж/м ; F-VF/VF ; 48 ; jef688 ; 47 
 2759 ; Лот монет Малайзии: 5шт ; 1967-1997 ;  ; Cu-Ni, ж/м ; VF-/VF+ ; 35 ; Kiracoins ; 65 
 2760 ; Лот монет Югославии: 6шт ; 1953,1955 ;  ; Al, ж/м ; VF-/VF-XF ; 53 ; Копейкамне ; 69 
 2761 ; Лот монет Португалии, Испании: 9шт ; 1957-1998 ;  ; Cu-Ni, ж/м ; VF-/VF+ ; 43 ; PaulMS ; 98 
 2762 ; Лот монет Португалии: 7шт ; 1928-1991 ;  ; Cu-Ni, ж/м ; VF-/XF- ; 20 ; Rober ; 51 
 2763 ; Лот монет Финляндии: 11шт ; 1921-1987 ;  ; Cu-Ni, ж/м ; VF-/VF+ ; 12 ; Rober ; 79 
 2764 ; Лот монет Югославии: 5шт ; 1965 ;  ; Cu-Ni, ж/м ; VF-/VF+ ; 31 ; Pikulin67 ; 40 
 2765 ; Лот монет Швеции: 21шт ; 1943-1972 ;  ; Cu-Ni, ж/м ; F-VF/VF+ ; 25 ; breizh ; 206 
 2766 ; Лот монет Востока: 5шт ; 20 век ;  ; ж/м ; VF/XF ; 56 ; zx123 ; 61 
 2767 ; Лот монет Тайланда: 6шт ; 20 век ;  ; Cu-Ni, ж/м ; F-VF/XF- ; 36 ; zx123 ; 50 
 2768 ; Лот монет Испании, Португалии: 8шт ; 1940-1996 ;  ; Cu-Ni, ж/м ; VF/XF+ ; 22 ; xct ; 91 
 2769 ; Лот монет Франции: 22шт ; 1965-1997 ;  ; Cu-Ni, ж/м ; F+/XF ; 40 ; Dmitriy86 ; 110 
 2770 ; Лот монет Дании: 28шт ; 1950-1986 ;  ; Cu-Ni, ж/м ; VF/XF ; 21 ; fokin ; 204 
 2771 ; Лот монет Швеции: 23шт ; 1942-1968 ;  ; Cu-Ni, ж/м ; VF-/VF+ ; 17 ; breizh ; 313 
 2772 ; Лот монет Швеции: 22шт ; 1941-1969 ;  ; Cu-Ni, ж/м ; VF/VF-XF ; 26 ; breizh ; 216 
 2773 ; Лот жетонов (2шт) ;  ;  ; Ж/м ; VF/XF- ; 13 ; leksrock ; 20 
 3331 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 9 ; полимер ; 50 
 3332 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 7 ; полимер ; 50 
 3333 ; 20 копеек ; 1915 ; Деньги-марки ;  ;  ; 6 ; strestas ; 163 
 3334 ; 10 шагив ; 1918 ; Украина.Тип почтовых марок ;  ;  ; 28 ; Митрич ; 151 
 3335 ; 20 шагив ; 1918 ; Украина.Тип почтовых марок ;  ;  ; 82 ; seaman ; 312 
 3336 ; 1 рубль ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 10 ; kosty ; 48 
 3337 ; 3 рубля ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 21 ; blacked ; 116 
 3338 ; 2 рубля ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 19 ; панцыш ; 116 
 3339 ; 5 рублей ; 1920 ; Азербайджан ;  ;  ; 108 ; alexsurf ; 295 
 3340 ; 10 копеек ;  ; Разменные знаки и кредитные билеты Времен.правит.Дальнего Востока ;  ;  ; 51 ; armadavls ; 691 
 3341 ; 30 копеек ;  ; Разменные знаки и кредитные билеты Времен.правит.Дальнего Востока ;  ;  ; 50 ; armadavls ; 807 
 3342 ; 1 рубль ; 1918 ; Закавказье ;  ;  ; 46 ; ask ; 225 
 3343 ; 50 пенни ; 1918 ;  ;  ;  ; 24 ; derk02 ; 150 
 3344 ; 100 рублей ; 1920 ; Азербайджан ;  ;  ; 50 ; ask ; 204 
 3345 ; 1000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 15 ; aeynbr ; 135 
 3346 ; 5 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 64 ; росвет ; 301 
 3347 ; 50 рублей. Армения ; 1919 ;  ;  ;  ; 53 ; al69 ; 301 
 3348 ; 100 рублей. Армения ; 1919 ;  ;  ;  ; 55 ; al69 ; 308 
 3349 ; 100 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 37 ; zmax ; 60 
 3350 ; 100 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 5 ; zmax ; 50 
 3351 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 8 ; zmax ; 55 
 3352 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 6 ; zmax ; 55 
 3353 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 18 ; zmax ; 55 
 3354 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 6 ; zmax ; 55 
 3355 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 24 ; zmax ; 90 
 3356 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 13 ; панцыш ; 31 
 3357 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 21 ; blacked ; 58 
 3358 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 11 ; kosty ; 35 
 3359 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 12 ; kosty ; 24 
 3360 ; 100 рублей ; 1918 ; Закавказье ;  ;  ; 27 ; al69 ; 170 
 2704 ; Лот монет Дании: 12шт ; 1949-1966 ;  ; Zn ; F+/VF- ; 30 ; zx123 ; 54 
 2705 ; Лот монет Польши: 11шт ; 1942-1997 ;  ; Cu-Ni, ж/м ; F-VF/VF+ ; 53 ; Kiracoins ; 87 
 2706 ; Лот монет Норвегии: 19шт ; 1952-1974 ;  ; Br ; VF-/VF+ ; 49 ; breizh ; 155 
 2707 ; Лот монет Польши: 11шт ; 1949-2005 ;  ; Cu-Ni, ж/м ; VF-/VF+ ; 28 ; Kiracoins ; 73 
 2708 ; Лот монет Венгрии : 10шт ; 1941-1994 ;  ; Cu-Ni, ж/м ; VF-/XF- ; 45 ; джон08 ; 71 
 2709 ; Лот монет Великобритании: 5шт ; 1902-1910 ;  ; Br ; F+VVF- ; 54 ; nik23455 ; 104 
 2710 ; Лот монет Греции: 16шт ; 1973-1994 ;  ; Ж/м ; VF/XF- ; 62 ; alcher ; 134 
 2711 ; Лот монет Бельгии: 8шт ; 1902-1944 ;  ; Cu-Ni, Zn ; F+/VF- ; 32 ; vc57 ; 114 
 2712 ; Лот монет Польши: 7шт ; 1916-1990 ;  ; Al, Zn ; F+/VF ; 40 ; Rober ; 63 
 2713 ; Лот монет Чехословакии: 10шт ; 1921-1995 ;  ; Cu-Ni, ж/м ; VF-/VF+ ; 59 ; volkov ; 93 
 2714 ; Лот монет США: 15шт ; 1916-1986 ;  ; Br ; VF-/VF+ ; 26 ; jef688 ; 168 
 2715 ; Лот монет Малайзии: 6шт ; 20 век ;  ; Cu-Ni, ж/м ; VF-/VF ; 36 ; Опятор ; 93 
