 6048 ; Бона иностранная ;  ;  ;  ;  ; 57 ; qver ; 512 
 5989 ; Бона иностранная Болгария ; 1951 ;  ;  ; AU ; 31 ; sneg ; 75 
 5990 ; Бона иностранная Болгария ; 1951 ;  ;  ; AU ; 26 ; heavy_fly ; 67 
 5991 ; Бона иностранная Колумбия ;  ;  ;  ; AU ; 50 ; Brat123456 ; 367 
 5992 ; Бона иностранная Эстония ;  ;  ;  ; AU ; 19 ; sibirian ; 64 
 5993 ; Бона иностранная Боливия ;  ;  ;  ; AU ; 40 ; siman174 ; 69 
 5994 ; Бона иностранная Доминикана ;  ;  ;  ; AU ; 26 ; sibirian ; 90 
 5995 ; Бона иностранная Эквадор ;  ;  ;  ; AU ; 18 ; СТРЕКОЗА ; 87 
 5996 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 25 ; flutter ; 48 
 5997 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 30 ; flutter ; 48 
 5898 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 27 ; smel ; 430 
 5899 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 45 ; vicktor_2014 ; 516 
 5900 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 17 ; Папа с рацией ; 155 
 5901 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 14 ; zamectitel ; 191 
 5902 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 9 ; Папа с рацией ; 85 
 5903 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 39 ; vicktor_2014 ; 512 
 5904 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 56 ; Папа с рацией ; 370 
 5905 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 27 ; Папа с рацией ; 245 
 5906 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 12 ; Папа с рацией ; 155 
 5907 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 13 ; Папа с рацией ; 85 
 5908 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 18 ; Папа с рацией ; 85 
 5909 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 22 ; Папа с рацией ; 155 
 5910 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 7 ; Drunja33 ; 42 
 5911 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 7 ; Drunja33 ; 42 
 5912 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 13 ; Папа с рацией ; 155 
 5913 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 19 ; Папа с рацией ; 155 
 5914 ; Бона иностранная Испания ;  ;  ;  ;  ; 9 ; WCN ; 40 
 5915 ; Бона иностранная Испания ;  ;  ;  ;  ; 11 ; sneg ; 61 
 5916 ; Бона иностранная Испания ;  ;  ;  ;  ; 41 ; nikfed ; 2601 
 5917 ; Бона иностранная Испания ;  ;  ;  ;  ; 46 ; nikfed ; 1593 
 5918 ; Бона иностранная Испания ;  ;  ;  ;  ; 12 ; Папа с рацией ; 101 
 5919 ; Бона иностранная Испания ;  ;  ;  ;  ; 17 ; dmivanych ; 245 
 5920 ; Бона иностранная Испания ;  ;  ;  ;  ; 15 ; Eilenau ; 237 
 5921 ; Бона иностранная Испания ;  ;  ;  ;  ; 21 ; Kreator ; 475 
 5922 ; Бона иностранная Испания ;  ;  ;  ;  ; 7 ; Eilenau ; 261 
 5923 ; Бона иностранная Испания ;  ;  ;  ;  ; 7 ; SS2008 ; 173 
 5924 ; Бона иностранная Гватемала ;  ;  ;  ;  ; 5 ; maksbelov ; 42 
 5925 ; Бона иностранная Танзания ;  ;  ;  ;  ; 9 ; Папа с рацией ; 85 
 5926 ; Лот бон 2 шт ;  ;  ;  ;  ; 11 ; стадник ; 125 
 5927 ; Лот бон 5 шт ;  ;  ;  ;  ; 34 ; heavy_fly ; 211 
 5928 ; Лот бон 2 шт ;  ;  ;  ;  ; 10 ; teso ; 255 
 5929 ; Лот бон 11 шт ;  ;  ;  ;  ; 61 ; медалькин ; 818 
 5930 ; Бона иностранная Бельгия ;  ;  ;  ;  ; 35 ; mirumir ; 707 
 5931 ; Бона иностранная США ; 1922 ;  ;  ;  ; 31 ; ask ; 2607 
 5932 ; Ценная бумага Германия ;  ;  ;  ;  ; 44 ; Папа с рацией ; 267 
 5933 ; Ценная бумага Германия ;  ;  ;  ;  ; 39 ; Папа с рацией ; 267 
 5934 ; Лот бон иностранных 15 шт ;  ;  ;  ;  ; 25 ; pref ; 355 
 5935 ; Бона иностранная ;  ;  ;  ;  ; 11 ; dinkini ; 47 
 5936 ; Бона иностранная ;  ;  ;  ;  ; 29 ; стадник ; 234 
 5937 ; Ценная бумага Чехия ; 1936 ;  ;  ;  ; 43 ; Schwer ; 618 
 5938 ; Бона иностранная Германия ;  ;  ;  ;  ; 54 ; qver ; 132 
 5939 ; Лот нотгельдов 10 шт ;  ;  ;  ;  ; 37 ; flutter ; 404 
 5940 ; Лот бон 16 шт ;  ;  ;  ;  ; 25 ; heavy_fly ; 306 
 5941 ; Бона иностранная Китай ;  ;  ;  ;  ; 36 ; 462 ; 625 
 5942 ; Бона иностранная Китай ;  ;  ;  ;  ; 14 ; стадник ; 222 
 5943 ; Бона иностранная Куба ;  ;  ;  ;  ; 15 ; vesta78 ; 90 
 5944 ; Бона иностранная Китай ;  ;  ;  ;  ; 12 ; teso ; 273 
 5945 ; Бона иностранная Китай ;  ;  ;  ;  ; 11 ; teso ; 92 
 5946 ; Бона иностранная Гондурас ;  ;  ;  ;  ; 10 ; sneg ; 69 
 5947 ; Лот бон Испания 2 шт ;  ;  ;  ;  ; 9 ; Brat123456 ; 121 
 5848 ; Бона иностранная Нидерланды ;  ;  ;  ;  ; 40 ; Kreator ; 506 
 5849 ; Бона иностранная Нидерланды ;  ;  ;  ;  ; 22 ; Папа с рацией ; 123 
 5850 ; Бона иностранная Румыния ;  ;  ;  ;  ; 24 ; стадник ; 216 
 5851 ; Бона иностранная Румыния ;  ;  ;  ;  ; 21 ; стадник ; 171 
 5852 ; Бона иностранная Румыния ;  ;  ;  ;  ; 30 ; Alekss_27 ; 175 
 5853 ; Бона иностранная Румыния ;  ;  ;  ;  ; 11 ; Drunja33 ; 37 
 5854 ; Бона иностранная Румыния ;  ;  ;  ;  ; 9 ; стадник ; 216 
 5855 ; Бона иностранная Румыния ;  ;  ;  ;  ; 21 ; smel ; 270 
 5856 ; Бона иностранная Румыния ;  ;  ;  ;  ; 21 ; стадник ; 276 
 5857 ; Бона иностранная Румыния ;  ;  ;  ;  ; 7 ; WCN ; 115 
 5858 ; Бона иностранная Румыния ;  ;  ;  ;  ; 21 ; SS2008 ; 79 
 5859 ; Бона иностранная Франция ;  ;  ;  ;  ; 33 ; mirumir ; 663 
 5860 ; Бона иностранная Испания ;  ;  ;  ;  ; 8 ; стадник ; 114 
 5861 ; Бона иностранная Польша ;  ;  ;  ;  ; 14 ; СЁМА ; 383 
 5862 ; Бона иностранная Испания ;  ;  ;  ;  ; 8 ; vesta78 ; 114 
 5863 ; Бона иностранная Испания ;  ;  ;  ;  ; 3 ; Винни Пух ; 100 
 5864 ; Бона иностранная Польша ;  ;  ;  ;  ; 17 ; vicktor_2014 ; 383 
 5865 ; Бона иностранная Польша ;  ;  ;  ;  ; 24 ; СЁМА ; 83 
 5866 ; Бона иностранная Румыния ;  ;  ;  ;  ; 12 ; СЁМА ; 400 
 5867 ; Бона иностранная Румыния ;  ;  ;  ;  ; 13 ; sos1 ; 104 
 5868 ; Бона иностранная Турция ;  ;  ;  ;  ; 27 ; всыня ; 417 
 5869 ; Бона иностранная Израиль ;  ;  ;  ;  ; 29 ; Dmitry21 ; 67 
 5870 ; Бона иностранная Филиппины ;  ;  ;  ;  ; 25 ; archy ; 363 
 5871 ; Бона иностранная Эквадор ;  ;  ;  ;  ; 19 ; стадник ; 179 
 5872 ; Бона иностранная Эквадор ;  ;  ;  ;  ; 21 ; karman ; 121 
 5873 ; Бона иностранная ;  ;  ;  ;  ; 28 ; pref ; 65 
 5874 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 9 ; max2008 ; 378 
 5875 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 42 ; dinkini ; 480 
 5876 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 15 ; demodex ; 44 
 5877 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 7 ; vesta78 ; 36 
 5878 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 14 ; Hamlet ; 68 
 5879 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 41 ; svv ; 254 
 5880 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 47 ; svv ; 253 
 5881 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 24 ; sneg ; 88 
 5882 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 13 ; sneg ; 41 
 5883 ; Бона иностранная Бразилия 2 шт ;  ;  ;  ;  ; 19 ; Папа с рацией ; 89 
 5884 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 22 ; Папа с рацией ; 155 
 5885 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 5 ; sneg ; 29 
 5886 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 7 ; sneg ; 30 
 5887 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 14 ; Папа с рацией ; 102 
 5888 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 23 ; Папа с рацией ; 101 
 5889 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 14 ; СТРЕКОЗА ; 35 
 5890 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 16 ; Hamlet ; 104 
 5891 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 13 ; zamectitel ; 101 
 5892 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 12 ; Папа с рацией ; 115 
 5893 ; Бона иностранная Бразилия 2 шт ;  ;  ;  ;  ; 7 ; Папа с рацией ; 87 
 5894 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 24 ; Папа с рацией ; 101 
 5895 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 44 ; Папа с рацией ; 317 
 5896 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 30 ; Папа с рацией ; 211 
 5897 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 30 ; Папа с рацией ; 216 
 5666 ; Бона иностранная ;  ;  ;  ;  ; 11 ; flutter ; 34 
 5667 ; Бона иностранная ;  ;  ;  ;  ; 9 ; flutter ; 31 
 5668 ; Бона иностранная ;  ;  ;  ;  ; 14 ; kimavva ; 50 
 5801 ; Бона иностранная Эстония ; 1935 ;  ;  ;  ; 50 ; nikfed ; 3572 
 5802 ; Бона иностранная Эстония ; 1937 ;  ;  ;  ; 15 ; bonipari ; 1388 
 5803 ; Бона иностранная Эстония ; 1991 ;  ;  ;  ; 20 ; Brat123456 ; 225 
 5804 ; Бона иностранная Эстония ; 1994 ;  ;  ;  ; 16 ; Brat123456 ; 105 
 5805 ; Бона иностранная Латвия ; 1939 ;  ;  ;  ; 32 ; dmivanych ; 510 
 5806 ; Бона иностранная Швейцария ;  ;  ;  ;  ; 27 ; demodex ; 1122 
 5807 ; Бона иностранная Албания ;  ;  ;  ;  ; 14 ; СЁМА ; 202 
 5808 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 26 ; pref ; 86 
 5809 ; Бона иностранная Италия ;  ;  ;  ;  ; 19 ; .gk ; 227 
 5810 ; Бона иностранная Бельгия ;  ;  ;  ;  ; 14 ; стадник ; 259 
 5811 ; Бона иностранная Швеция ;  ;  ;  ;  ; 15 ; медалькин ; 175 
 5812 ; Бона иностранная Дания ;  ;  ;  ;  ; 43 ; alex09-63 ; 271 
 5813 ; Бона иностранная Дания ;  ;  ;  ;  ; 19 ; кент ; 181 
 5814 ; Лот 2 шт. Китай ;  ;  ;  ;  ; 19 ; maximilian2204 ; 33 
 5815 ; Бона иностранная Швеция ;  ;  ;  ;  ; 11 ; Brat123456 ; 47 
 5816 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 14 ; sneg ; 104 
 5817 ; Бона иностранная Познань ; 1916 ;  ;  ;  ; 24 ; физмат ; 204 
 5818 ; Лот бон иностранных 4 шт ;  ;  ;  ;  ; 21 ; electra ; 181 
 5819 ; Бона 100 крон.Терезиенштадт ;  ;  ;  ;  ; 28 ; медалькин ; 1022 
 5820 ; Бона 50 крон.Терезиенштадт ;  ;  ;  ;  ; 27 ; папашаГарпагон ; 1008 
 5821 ; Бона 20 крон.Терезиенштадт ;  ;  ;  ;  ; 14 ; папашаГарпагон ; 793 
 5822 ; Бона 10 крон.Терезиенштадт ;  ;  ;  ;  ; 20 ; market_spb ; 701 
 5823 ; Бона 5 крон.Терезиенштадт ;  ;  ;  ;  ; 37 ; WCN ; 1376 
 5824 ; Бона 2 кроны.Терезиенштадт ;  ;  ;  ;  ; 25 ; market_spb ; 1362 
 5825 ; Бона 1 крона.Терезиенштадт ;  ;  ;  ;  ; 38 ; market_spb ; 1804 
 5826 ; Бона иностранная Польша ;  ;  ;  ;  ; 17 ; k212 ; 500 
 5827 ; Бона иностранная Польша ;  ;  ;  ;  ; 15 ; Бармалей ; 306 
 5828 ; Бона иностранная Польша ;  ;  ;  ;  ; 13 ; СЁМА ; 376 
 5829 ; Бона иностранная Швейцария ;  ;  ;  ;  ; 21 ; нв1975 ; 793 
 5830 ; Бона иностранная Норвегия ;  ;  ;  ;  ; 15 ; СТРЕКОЗА ; 173 
 5831 ; Бона иностранная Франция ;  ;  ;  ;  ; 32 ; flutter ; 380 
 5832 ; Бона иностранная Франция ;  ;  ;  ;  ; 27 ; Винни Пух ; 600 
 5833 ; Бона иностранная Франция ;  ;  ;  ;  ; 25 ; стадник ; 354 
 5834 ; Бона иностранная Франция ;  ;  ;  ;  ; 20 ; Винни Пух ; 408 
 5835 ; Бона иностранная Франция ;  ;  ;  ;  ; 18 ; Винни Пух ; 400 
 5836 ; Бона иностранная Франция ;  ;  ;  ;  ; 7 ; Папа с рацией ; 135 
 5837 ; Бона иностранная Португалия ;  ;  ;  ;  ; 37 ; avs ; 816 
 5838 ; Бона иностранная Португалия ;  ;  ;  ;  ; 29 ; WCN ; 465 
 5839 ; Бона иностранная Португалия ;  ;  ;  ;  ; 13 ; Brat123456 ; 68 
 5840 ; Бона иностранная Греция ;  ;  ;  ;  ; 38 ; Папа с рацией ; 191 
 5841 ; Бона иностранная Греция ;  ;  ;  ;  ; 11 ; flutter ; 57 
 5842 ; Бона иностранная Греция ;  ;  ;  ;  ; 49 ; Dmitry21 ; 129 
 5843 ; Бона иностранная Греция ;  ;  ;  ;  ; 27 ; flutter ; 125 
 5844 ; Бона иностранная Греция ;  ;  ;  ;  ; 26 ; Dmitry21 ; 90 
 5845 ; Бона иностранная Греция ;  ;  ;  ;  ; 25 ; Dmitry21 ; 115 
 5846 ; Бона иностранная Греция ;  ;  ;  ;  ; 5 ; sneg ; 57 
 5847 ; Бона иностранная Нидерланды ;  ;  ;  ;  ; 37 ; Kreator ; 558 
 5616 ; Бона иностранная ;  ;  ;  ;  ; 3 ; газета ; 57 
 5617 ; Бона иностранная ;  ;  ;  ;  ; 7 ; k212 ; 100 
 5618 ; Бона иностранная ;  ;  ;  ;  ; 14 ; electra ; 71 
 5619 ; Бона иностранная ;  ;  ;  ;  ; 16 ; siman174 ; 40 
 5620 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Папа с рацией ; 155 
 5621 ; Бона иностранная ;  ;  ;  ;  ; 5 ; тикси3 ; 101 
 5622 ; Бона иностранная ;  ;  ;  ;  ; 5 ; я8844 ; 26 
 5623 ; Бона иностранная ;  ;  ;  ;  ; 23 ; kimavva ; 115 
 5624 ; Бона иностранная ;  ;  ;  ;  ; 5 ; я8844 ; 26 
 5625 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 26 
 5626 ; Бона иностранная ;  ;  ;  ;  ; 5 ; я8844 ; 33 
 5627 ; Бона иностранная ;  ;  ;  ;  ; 13 ; sneg ; 69 
 5628 ; Бона иностранная ;  ;  ;  ;  ; 9 ; dmivanych ; 313 
 5629 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 333985 ; 53 
 5630 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 26 
 5631 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 26 
 5632 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Экзот ; 299 
 5633 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 26 
 5634 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 333985 ; 65 
 5635 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 31 
 5636 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 26 
 5637 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 26 
 5638 ; Бона иностранная ;  ;  ;  ;  ; 11 ; flutter ; 46 
 5639 ; Бона иностранная ;  ;  ;  ;  ; 3 ; сс400 ; 45 
 5640 ; Бона иностранная ;  ;  ;  ;  ; 7 ; я8844 ; 44 
 5641 ; Бона иностранная ;  ;  ;  ;  ; 7 ; я8844 ; 44 
 5642 ; Бона иностранная ;  ;  ;  ;  ; 7 ; я8844 ; 42 
 5643 ; Бона иностранная ;  ;  ;  ;  ; 25 ; dnm ; 101 
 5644 ; Бона иностранная ;  ;  ;  ;  ; 11 ; sneg ; 101 
 5645 ; Бона иностранная ;  ;  ;  ;  ; 34 ; siman174 ; 101 
 5646 ; Бона иностранная ;  ;  ;  ;  ; 14 ; flutter ; 38 
 5647 ; Бона иностранная ;  ;  ;  ;  ; 6 ; flutter ; 30 
 5648 ; Бона иностранная ;  ;  ;  ;  ; 12 ; flutter ; 181 
 5649 ; Бона иностранная ;  ;  ;  ;  ; 32 ; moneta1924 ; 212 
 5650 ; Бона иностранная ;  ;  ;  ;  ; 19 ; moneta1924 ; 185 
 5651 ; Бона иностранная ;  ;  ;  ;  ; 36 ; flutter ; 320 
 5652 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Dmitry21 ; 71 
