 5875 ; Бона иностранная Болгария ;  ;  ;  ; AU ; 21 ; u10257 ; 100 
 5871 ; Бона иностранная Болгария ;  ;  ;  ; AU ; 20 ; zamectitel ; 73 
 5872 ; Бона иностранная Болгария ;  ;  ;  ; AU ; 28 ; zamectitel ; 104 
 5873 ; Бона иностранная Болгария ;  ;  ;  ; AU ; 15 ; grimbo ; 111 
 5874 ; Бона иностранная Болгария ;  ;  ;  ; AU ; 46 ; grimbo ; 129 
 5618 ; Бона иностранная ;  ;  ;  ;  ; 14 ; smel ; 150 
 5619 ; Бона иностранная ;  ;  ;  ;  ; 18 ; vladmarkin ; 118 
 5620 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Maks87 ; 30 
 5621 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Maks87 ; 30 
 5622 ; Бона иностранная ;  ;  ;  ;  ; 13 ; я8844 ; 66 
 5623 ; Бона иностранная ;  ;  ;  ;  ; 7 ; газета ; 33 
 5624 ; Бона иностранная ;  ;  ;  ;  ; 9 ; vladmarkin ; 118 
 5625 ; Бона иностранная ;  ;  ;  ;  ; 23 ; smel ; 240 
 5626 ; Бона иностранная ;  ;  ;  ;  ; 8 ; я8844 ; 79 
 5627 ; Бона иностранная ;  ;  ;  ;  ; 12 ; vladmarkin ; 133 
 5628 ; Бона иностранная ;  ;  ;  ;  ; 38 ; Sky2 ; 126 
 5629 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Maks87 ; 30 
 5630 ; Бона иностранная ;  ;  ;  ;  ; 14 ; я8844 ; 92 
 5631 ; Бона иностранная ;  ;  ;  ;  ; 12 ; 4758 ; 90 
 5632 ; Бона иностранная ;  ;  ;  ;  ; 3 ; doc2 ; 101 
 5633 ; Бона иностранная ;  ;  ;  ;  ; 5 ; alesjane ; 114 
 5634 ; Бона иностранная ;  ;  ;  ;  ; 9 ; я8844 ; 68 
 5635 ; Бона иностранная ;  ;  ;  ;  ; 6 ; alapabula ; 36 
 5636 ; Бона иностранная ;  ;  ;  ;  ; 6 ; alapabula ; 36 
 5637 ; Бона иностранная ;  ;  ;  ;  ; 7 ; alapabula ; 36 
 5638 ; Бона иностранная ;  ;  ;  ;  ; 5 ; я8844 ; 32 
 5639 ; Бона иностранная ;  ;  ;  ;  ; 5 ; я8844 ; 32 
 5640 ; Бона иностранная ;  ;  ;  ;  ; 5 ; я8844 ; 32 
 5641 ; Бона иностранная ;  ;  ;  ;  ; 7 ; alapabula ; 36 
 5642 ; Бона иностранная ;  ;  ;  ;  ; 5 ; я8844 ; 32 
 5800 ; Лот бон 5 долларов США 3 шт ; 1914 ;  ;  ;  ; 61 ; 55667 ; 5555 
 5801 ; Лот бон 5 и10 долларов США 3 шт ; 1914 ;  ;  ;  ; 40 ; 55667 ; 6122 
 5802 ; Лот бон 10 долларов США 2 шт ; 1914 ;  ;  ;  ; 42 ; 55667 ; 3700 
 5803 ; 10 марок Германия ; 1949 ;  ;  ;  ; 29 ; bva150979 ; 459 
 5804 ; Бона иностранная Германия ;  ;  ;  ;  ; 11 ; vladmarkin ; 114 
 5805 ; Бона иностранная Германия ;  ;  ;  ;  ; 9 ; Майкл ; 155 
 5806 ; Бона иностранная Германия ;  ;  ;  ;  ; 11 ; наташа2712 ; 150 
 5807 ; Бона иностранная Германия ;  ;  ;  ;  ; 11 ; Жигурда ; 81 
 5808 ; Бона иностранная Германия ;  ;  ;  ;  ; 9 ; kop ; 79 
 5809 ; Бона иностранная Германия ;  ;  ;  ;  ; 22 ; наташа2712 ; 150 
 5810 ; Бона иностранная Германия ;  ;  ;  ;  ; 63 ; smel ; 173 
 5811 ; Бона иностранная Германия ;  ;  ;  ;  ; 19 ; lsp25 ; 90 
 5812 ; Бона иностранная Германия ;  ;  ;  ;  ; 7 ; vladmarkin ; 126 
 5813 ; Бона иностранная Германия ;  ;  ;  ;  ; 7 ; vladmarkin ; 58 
 5814 ; Бона иностранная Германия ;  ;  ;  ;  ; 7 ; kop ; 67 
 5815 ; Бона иностранная Германия ;  ;  ;  ;  ; 32 ; vladmarkin ; 101 
 5816 ; Бона иностранная Германия ;  ;  ;  ;  ; 14 ; наташа2712 ; 150 
 5817 ; Бона иностранная Германия ;  ;  ;  ;  ; 13 ; smel ; 230 
 5818 ; Бона иностранная Германия ;  ;  ;  ;  ; 20 ; smel ; 384 
 5819 ; Бона иностранная Германия ;  ;  ;  ;  ; 9 ; lsp25 ; 102 
 5820 ; Бона иностранная Германия ;  ;  ;  ;  ; 22 ; guronidze ; 357 
 5821 ; Бона иностранная Германия ;  ;  ;  ;  ; 23 ; Майкл ; 276 
 5822 ; Бона иностранная Германия ;  ;  ;  ;  ; 11 ; наташа2712 ; 130 
 5823 ; Лот бон 5 шт. Германия ;  ;  ;  ;  ; 25 ; наташа2712 ; 402 
 5824 ; Лот бон 5 шт. Германия ;  ;  ;  ;  ; 17 ; наташа2712 ; 395 
 5568 ; Бона иностранная ;  ;  ;  ;  ; 34 ; Dirt ; 82 
 5569 ; Бона иностранная ;  ;  ;  ;  ; 39 ; Dirt ; 102 
 5570 ; Бона иностранная ;  ;  ;  ;  ; 33 ; Khab27 ; 140 
 5571 ; Бона иностранная ;  ;  ;  ;  ; 23 ; СТРЕКОЗА ; 261 
 5572 ; Бона иностранная ;  ;  ;  ;  ; 31 ; alesjane ; 268 
 5573 ; Бона иностранная ;  ;  ;  ;  ; 22 ; слоник ; 200 
 5574 ; Бона иностранная ;  ;  ;  ;  ; 17 ; alehandr ; 204 
 5575 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Khab27 ; 105 
 5576 ; Бона иностранная ;  ;  ;  ;  ; 9 ; газета ; 58 
 5577 ; Бона иностранная ;  ;  ;  ;  ; 28 ; Khab27 ; 83 
 5578 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Dirt ; 77 
 5579 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Dirt ; 30 
 5580 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Khab27 ; 51 
 5581 ; Бона иностранная ;  ;  ;  ;  ; 28 ; Khab27 ; 90 
 5582 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Dirt ; 91 
 5583 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Dirt ; 41 
 5584 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Dirt ; 30 
 5585 ; Бона иностранная ;  ;  ;  ;  ; 13 ; vladmarkin ; 118 
 5586 ; Бона иностранная ;  ;  ;  ;  ; 15 ; smel ; 300 
 5587 ; Бона иностранная ;  ;  ;  ;  ; 11 ; наташа2712 ; 150 
 5588 ; Бона иностранная ;  ;  ;  ;  ; 35 ; vladmarkin ; 159 
 5589 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Sky2 ; 159 
 5590 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Sky2 ; 153 
 5591 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Sky2 ; 101 
 5592 ; Бона иностранная ;  ;  ;  ;  ; 17 ; я8844 ; 47 
 5593 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Sky2 ; 34 
 5594 ; Бона иностранная ;  ;  ;  ;  ; 11 ; von_Schwarz ; 102 
 5595 ; Бона иностранная ;  ;  ;  ;  ; 9 ; я8844 ; 69 
 5596 ; Бона иностранная ;  ;  ;  ;  ; 30 ; я8844 ; 104 
 5597 ; Бона иностранная ;  ;  ;  ;  ; 24 ; air ; 118 
 5598 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Sky2 ; 189 
 5599 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Khab27 ; 94 
 5600 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Sky2 ; 140 
 5601 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Sky2 ; 61 
 5602 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Sky2 ; 101 
 5603 ; Бона иностранная ;  ;  ;  ;  ; 9 ; я8844 ; 72 
 5604 ; Бона иностранная ;  ;  ;  ;  ; 9 ; я8844 ; 82 
 5605 ; Бона иностранная ;  ;  ;  ;  ; 15 ; vladmarkin ; 130 
 5606 ; Бона иностранная ;  ;  ;  ;  ; 13 ; я8844 ; 98 
 5607 ; Бона иностранная ;  ;  ;  ;  ; 32 ; lsp25 ; 101 
 5608 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Sky2 ; 202 
 5609 ; Бона иностранная ;  ;  ;  ;  ; 7 ; lsp25 ; 45 
 5610 ; Бона иностранная ;  ;  ;  ;  ; 15 ; я8844 ; 94 
 5611 ; Бона иностранная ;  ;  ;  ;  ; 15 ; lsp25 ; 87 
 5612 ; Бона иностранная ;  ;  ;  ;  ; 12 ; smel ; 150 
 5613 ; Бона иностранная ;  ;  ;  ;  ; 8 ; vladmarkin ; 118 
 5614 ; Бона иностранная ;  ;  ;  ;  ; 11 ; я8844 ; 81 
 5615 ; Бона иностранная ;  ;  ;  ;  ; 11 ; lsp25 ; 100 
 5616 ; Бона иностранная ;  ;  ;  ;  ; 15 ; lsp25 ; 100 
 5617 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Maks87 ; 30 
 5518 ; Бона иностранная ;  ;  ;  ;  ; 7 ; alapabula ; 36 
 5519 ; Бона иностранная ;  ;  ;  ;  ; 7 ; alapabula ; 36 
 5520 ; Бона иностранная ;  ;  ;  ;  ; 5 ; я8844 ; 32 
 5521 ; Бона иностранная ;  ;  ;  ;  ; 3 ; газета ; 27 
 5522 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Maks87 ; 30 
 5523 ; Бона иностранная ;  ;  ;  ;  ; 7 ; alapabula ; 36 
 5524 ; Бона иностранная ;  ;  ;  ;  ; 7 ; alapabula ; 36 
 5525 ; Бона иностранная ;  ;  ;  ;  ; 7 ; alapabula ; 36 
 5526 ; Бона иностранная ;  ;  ;  ;  ; 7 ; alapabula ; 36 
 5527 ; Бона иностранная ;  ;  ;  ;  ; 7 ; alapabula ; 36 
 5528 ; Бона иностранная ;  ;  ;  ;  ; 7 ; alapabula ; 36 
 5529 ; Бона иностранная ;  ;  ;  ;  ; 7 ; alapabula ; 36 
 5530 ; Бона иностранная ;  ;  ;  ;  ; 7 ; alapabula ; 36 
 5531 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Dirt ; 32 
 5532 ; Бона иностранная ;  ;  ;  ;  ; 31 ; Khab27 ; 79 
 5533 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Dirt ; 33 
 5534 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Khab27 ; 112 
 5535 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Dirt ; 32 
 5536 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Dirt ; 61 
 5537 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Khab27 ; 50 
 5538 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Dirt ; 32 
 5539 ; Бона иностранная ;  ;  ;  ;  ; 47 ; Khab27 ; 77 
 5540 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ек ; 29 
 5541 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Khab27 ; 59 
 5542 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Dirt ; 37 
 5543 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Ssid ; 35 
 5544 ; Бона иностранная ;  ;  ;  ;  ; 5 ; ъхз ; 53 
 5545 ; Бона иностранная ;  ;  ;  ;  ; 25 ; klv ; 163 
 5546 ; Бона иностранная ;  ;  ;  ;  ; 14 ; palermo ; 147 
 5547 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Khab27 ; 210 
 5548 ; Бона иностранная ;  ;  ;  ;  ; 9 ; murew ; 101 
 5549 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Dirt ; 32 
 5550 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Моряк-собиратель ; 301 
 5551 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Dirt ; 91 
 5552 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Dirt ; 91 
 5553 ; Бона иностранная ;  ;  ;  ;  ; 32 ; Dirt ; 91 
 5554 ; Бона иностранная ;  ;  ;  ;  ; 9 ; дилитант ; 100 
 5555 ; Бона иностранная ;  ;  ;  ;  ; 12 ; 47154 ; 32 
 5556 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Dirt ; 70 
 5557 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Dirt ; 34 
 5558 ; Бона иностранная ;  ;  ;  ;  ; 30 ; murew ; 114 
 5559 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Dirt ; 32 
 5560 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Dirt ; 32 
 5561 ; Бона иностранная ;  ;  ;  ;  ; 7 ; газета ; 53 
 5562 ; Бона иностранная ;  ;  ;  ;  ; 40 ; alex09-63 ; 408 
 5563 ; Бона иностранная ;  ;  ;  ;  ; 12 ; VAZ-2107 ; 204 
 5564 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Khab27 ; 102 
 5565 ; Бона иностранная ;  ;  ;  ;  ; 5 ; СТРЕКОЗА ; 104 
 5566 ; Бона иностранная ;  ;  ;  ;  ; 11 ; газета ; 63 
 5567 ; Бона иностранная ;  ;  ;  ;  ; 22 ; murew ; 100 
 5364 ; Лот бон 3 шт ; 1947 ;  ;  ;  ; 36 ; Aleks_Smith ; 2448 
 5365 ; 50 рублей ; 1917 ; Облигации займа Свободы ;  ;  ; 44 ; Ритм ; 1202 
 5366 ; Облигация 2 трудодня ;  ;  ;  ;  ; 31 ; Vb[fksx ; 1022 
 5367 ; Облигация на 200 рублей ; 1948 ;  ;  ;  ; 30 ; flutter ; 432 
 5368 ; Облигация на 50 рублей ; 1946 ;  ;  ;  ; 23 ; Ustin ; 363 
 5369 ; Лот облигаций 3 шт ; 1954 ;  ;  ;  ; 11 ; vitab ; 510 
 5370 ; Лот облигаций 4 шт ; 1955 ;  ;  ;  ; 19 ; vitab ; 567 
 5371 ; Лот облигаций 3 шт ; 1956 ;  ;  ;  ; 17 ; vitab ; 567 
 5372 ; Лот облигаций 4 шт ;  ;  ;  ;  ; 42 ; vitab ; 1028 
 5373 ; Лот облигаций 5 шт ;  ;  ;  ;  ; 25 ; vitab ; 385 
 5374 ; Лот лотерейных билетов 12 шт ;  ;  ;  ;  ; 80 ; vitab ; 569 
 5375 ; Лот потребительских билетов 2 шт ; 1992 ;  ;  ;  ; 53 ; popov.g.y ; 605 
 5376 ; Чек на 100 рублей. Банк для внешней торговли СССР ;  ;  ;  ;  ; 28 ; скорпион_48 ; 680 
 5377 ; Лот бон 2 шт. Грузия ;  ;  ;  ;  ; 22 ; Vb[fksx ; 193 
 5378 ; Акция г. Ирмино ;  ;  ;  ;  ; 22 ; Ustin ; 888 
 5379 ; Облигация о-ва заводов и домн Ольховая ;  ;  ;  ;  ; 22 ; vitab ; 906 
 5380 ; Облигация электрического о-ва г. Одесса ;  ;  ;  ;  ; 32 ; Ustin ; 630 
 5381 ; Акция Шведско-датско-русского телефонного о-ва ;  ;  ;  ;  ; 27 ; vitab ; 1222 
 5382 ; Акция конструкторского бюро г.Мюза ;  ;  ;  ;  ; 19 ; von_Schwarz ; 906 
 5383 ; Лот акций г. Казань 2 шт ;  ;  ;  ;  ; 29 ; von_Schwarz ; 1158 
 5384 ; Акция г. Тула ;  ;  ;  ;  ; 40 ; Ustin ; 804 
 5385 ; Акция ;  ;  ;  ;  ; 29 ; vitab ; 906 
 5386 ; Акция ;  ;  ;  ;  ; 31 ; Ustin ; 793 
 5387 ; Облигация на 100 рублей ; 1946 ;  ;  ;  ; 18 ; vitab ; 220 
 5388 ; Лот бон России 5 рублей 13 шт ; 1909 ;  ;  ;  ; 39 ; uyAHWLcn5486ZMN ; 542 
 5389 ; Лот бон России 1,3,5 рублей 14 шт ; 1898-1909 ;  ;  ;  ; 16 ; сортам70 ; 261 
 5390 ; 1000 рублей ; 1995 ; банкнота ;  ;  ; 26 ; lelik13821 ; 97 
 5391 ; 5000 рублей ; 1992 ; банкнота ;  ;  ; 26 ; anna53 ; 306 
 5392 ; 1000 рублей ; 1992 ; билет ;  ;  ; 18 ; denis.davydov ; 90 
 5393 ; Бона 100 рублей. Сочи 2014. Серия Аа ;  ;  ;  ;  ; 20 ; potters.3 ; 203 
 5394 ; Бона 100 рублей. Сочи 2014. Серия АА ;  ;  ;  ;  ; 22 ; potters.3 ; 203 
 5395 ; Лот бон (5шт) ;  ;  ;  ;  ; 22 ; Звездолёты ; 204 
 5396 ; Лот бон (5шт) ;  ;  ;  ;  ; 14 ; слоник ; 200 
 5501 ; Бона иностранная ;  ;  ;  ;  ; 10 ; alapabula ; 53 
 5502 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Maks87 ; 37 
 5503 ; Бона иностранная ;  ;  ;  ;  ; 10 ; alapabula ; 36 
 5504 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Maks87 ; 36 
 5505 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Maks87 ; 36 
 5506 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Maks87 ; 36 
 5507 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Maks87 ; 36 
 5508 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Maks87 ; 36 
 5509 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Maks87 ; 36 
 5510 ; Бона иностранная ;  ;  ;  ;  ; 10 ; alapabula ; 36 
 5511 ; Бона иностранная ;  ;  ;  ;  ; 7 ; alapabula ; 36 
 5512 ; Бона иностранная ;  ;  ;  ;  ; 10 ; alapabula ; 36 
 5513 ; Бона иностранная ;  ;  ;  ;  ; 7 ; alapabula ; 36 
 5514 ; Бона иностранная ;  ;  ;  ;  ; 7 ; alapabula ; 36 
 5515 ; Бона иностранная ;  ;  ;  ;  ; 7 ; alapabula ; 36 
 5516 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Maks87 ; 36 
 5517 ; Бона иностранная ;  ;  ;  ;  ; 5 ; я8844 ; 32 
 5314 ; 20 копеек ; б/г ; Гос.кредитный билет "Северная Россия" ;  ;  ; 57 ; Vb[fksx ; 1829 
 5315 ; Лот бон деньги-марки 5 шт ;  ;  ;  ;  ; 23 ; Aleksey 76 ; 306 
 5316 ; 500 рублей ; 1920 ;  ;  ;  ; 29 ; maks1986 ; 348 
 5317 ; 50 рублей ; 1914 ; Билеты государственного казначейства ;  ;  ; 21 ; vitab ; 669 
 5318 ; Бона 100 рублей Богословский горный округ ; 1920 ;  ;  ; AU ; 17 ; ЛАВ-13 ; 1247 
 5319 ; Бона 25 рублей Богословский горный округ ; 1920 ;  ;  ; AU ; 15 ; ЛАВ-13 ; 1247 
 5320 ; Бона 5 рублей Либавское городское самоуправление ; 1915 ;  ;  ; AU ; 27 ; vitab ; 1274 
 5321 ; 500 рублей ; 1919 ; Азербайджан ;  ;  ; 10 ; attila375 ; 322 
 5322 ; 500 рублей ; 1919 ; Азербайджан ;  ;  ; 55 ; attila375 ; 1108 
 5323 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 34 ; sharapov.s21 ; 344 
 5324 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 29 ; don Pacheko ; 163 
 5325 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 42 ; Парамоша ; 157 
 5326 ; Лот бон 1000 рублей, 7 шт ; 1917 ;  ;  ;  ; 19 ; ЛАВ-13 ; 793 
 5327 ; Облигация в 100 рублей с купонами, внутренний 5% заём ; 1914 ;  ;  ;  ; 37 ; zverev.andrey. ; 2000 
 5328 ; Облигация в 50 рублей с купонами, государственный 51/2% военный заём ; 1916 ;  ;  ;  ; 19 ; zverev.andrey. ; 1360 
 5329 ; Облигация в 1000 рублей с купонами, внутренний 5% заём ; 1905 ;  ;  ;  ; 30 ; vitab ; 1148 
 5330 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 31 ; flutter ; 204 
