 6693 ; Пуговица. D-23мм. ;  ;  ; Ж/м ;  ; 54 ; electra ; 61 
 6606 ; Подстаканник Кубачи, серебро, чернь, золочение. ;  ;  ; Ag875 ;  ; 26 ; шахтер-61 ; 4318 
 6607 ; Бокал серебро, чернь. ;  ;  ; Ag875 ;  ; 45 ; ulf ; 4115 
 6608 ; Подсвечник серебро. Финляндия. ;  ;  ; Ag813 ;  ; 42 ; hobby19 ; 3700 
 6609 ; Набор столовых ложек 6 шт, серебро 84. ;  ;  ; Ag84 ;  ; 128 ; zef ; 20046 
 6610 ; Набор столовых вилок 6 шт, серебро 84. ;  ;  ; Ag84 ;  ; 116 ; zef ; 17872 
 6611 ; Набор чайных ложек 6 шт, серебро, коробка. Швеция. ;  ;  ; Ag830 ;  ; 21 ; Meshok ; 7140 
 6612 ; Набор чайных ложек 6 шт, серебро. ;  ;  ; Ag875 ;  ; 66 ; Brilev ; 4024 
 6613 ; Набор чайных ложек 6 шт, серебро. Швеция ;  ;  ; Ag830 ;  ; 15 ; ХС-300 ; 3555 
 6614 ; Щипцы для сахара, серебро. ;  ;  ; Ag875 ;  ; 60 ; PamVan ; 2246 
 6615 ; Ложка для меда / варенья, серебро 84. ;  ;  ; Ag84 ;  ; 40 ; domenica ; 2346 
 6616 ; Ситечко для чая, серебро. ;  ;  ; Ag875 ;  ; 53 ; KaTer ; 5359 
 6617 ; Совочек для сахара, серебро 84. ;  ;  ; Ag84 ;  ; 28 ; maks1986 ; 1121 
 6618 ; Солонка с ложечкой, серебро, хрусталь, перегородчатая эмаль. ;  ;  ; Ag875 ;  ; 39 ; ВЕПРЬ ; 906 
 6619 ; Ложка чайная серебро, эмаль. ;  ;  ; Ag916 ;  ; 23 ; veselkov ; 1530 
 6620 ; Ложка чайная, серебро 84.. ;  ;  ; Ag84 ;  ; 33 ; БерегСлоновойКости ; 1212 
 6621 ; Дожка чайная витая, серебро 84 ВС ;  ;  ; Ag84 ;  ; 25 ; com ; 1152 
 6622 ; Ложка чайная, серебро. Финляндия. ;  ;  ; Ag813 ;  ; 30 ; Scola ; 822 
 6623 ; Ложка чайная, серебро. Финляндия. ;  ;  ; Ag813 ;  ; 21 ; guronidze ; 600 
 6624 ; Ложка чайная, серебро. Финляндия. ;  ;  ; Ag813 ;  ; 28 ; Meshok ; 573 
 6625 ; Вилочка для лимона, серебро, эмаль. ;  ;  ; Ag875 ;  ; 22 ; жора ; 549 
 6626 ; Ионизатор Корабль, серебро. ;  ;  ;  ;  ; 57 ; Kartu ; 1665 
 6627 ; Икона Нерукотворный образ Спасителя на Убрусе. ;  ;  ;  ;  ; 55 ; Masik ; 3453 
 6628 ; Поднос мельхиор РИ. Клеймо В.Морозов, герб РИ. ;  ;  ; Б/м ;  ; 33 ; dvm ; 1919 
 6629 ; Статуэтка фарфоровая Мальчик с гармонью. ROYAL COPENGAGEN. Дания. ;  ;  ;  ;  ; 25 ; giwi ; 2313 
 6630 ; Чашка с блюдцем, фарфор MEISSEN. Германия ;  ;  ;  ;  ; 25 ; MUPS ; 1593 
 6631 ; Икорница фарфоровая MILLEROY & HOUSE. Германия. ;  ;  ;  ;  ; 74 ; murew ; 1300 
 6632 ; Статуэтка фарфоровая Слон. ЛФЗ. ;  ;  ;  ;  ; 75 ; teddy300178 ; 1033 
 6633 ; Статуэтка Воробей керамическая. Швеция. ;  ;  ;  ;  ; 25 ; Долгопрудный-Москв ; 317 
 6634 ; Сливочник фарфоровый Товарищества М.С. Кузнецова. ;  ;  ;  ;  ; 96 ; Аргонавт ; 1479 
 6635 ; Вазочка ЛФЗ ;  ;  ;  ;  ; 11 ; итак дорого ты ещё ; 255 
 6636 ; Статуэтка Юнга, латунь. ;  ;  ; Ж/м ;  ; 34 ; evgen 66 ; 765 
 6637 ; Часы авиационные 60 ЧП с паспортом. ;  ;  ;  ;  ; 30 ; VPV89 ; 1723 
 6638 ; Кубок спортивный по боксу, с книгой В. Михайлова - 120 встреч на ринге. 1952 г.в. ;  ;  ; Б/м ;  ; 37 ; вольдемар74 ; 794 
 6639 ; Комплект колец для салфеток 6 шт, серебрение. Финляндия ;  ;  ; Б/м ;  ; 52 ; антоша ; 1087 
 6640 ; Барельеф. Аничков мост. Ленинград. 160 х 190 мм. Ленмонументскульптура ;  ;  ;  ;  ; 12 ; папас ; 242 
 6641 ; Брошь Ягоды, янтарь, оригинальная упаковка с биркой. ;  ;  ;  ;  ; 53 ; Dahan ; 1502 
 6642 ; Веер, оригинальная коробка. ;  ;  ;  ;  ; 30 ; num ; 755 
 6438 ; Деревянная коробка на 52 монеты, серия 500 лет Америки ;  ;  ;  ;  ; 45 ; Truth ; 1989 
 6439 ; БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 23 ; niki ; 1011 
 6440 ; Монетный передел 1700-1917 гг. В. Е. Семенов ;  ;  ;  ;  ; 28 ; vanya ; 308 
 6441 ; Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 12 ; vanya ; 126 
 6442 ; Монетное дело Российской империи. В. Е. Семенов ;  ;  ;  ;  ; 11 ; PamVan ; 357 
 6443 ; Куда уходят деньги? В. Е. Семенов ;  ;  ;  ;  ; 21 ; VITAL!!! ; 122 
 6444 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 24 ; К 215 ; 102 
 6445 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 37 ; Slava O ; 110 
 6446 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 21 ; Silberman ; 159 
 6447 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 18 ; Долгопрудный-Москв ; 100 
 6448 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 5 ; бортик ; 93 
 6449 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 11 ; Silberman ; 97 
 6450 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, 2020 год ;  ;  ;  ;  ; 4 ; Masik ; 153 
 6451 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, 2020 год ;  ;  ;  ;  ; 6 ; megan ; 153 
 6452 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, 2020 год ;  ;  ;  ;  ; 15 ; Silberman ; 188 
 6453 ; Каталог-справочник "Бумажные деньги России". Часть II. Редакция 8, 2015 год ;  ;  ;  ;  ; 27 ; Silberman ; 124 
 6454 ; Каталог-справочник. Награды Российской Империи. Часть I. Ордена и знаки отличия. Редакция 5 ;  ;  ;  ;  ; 13 ; Silberman ; 124 
 6455 ; Каталог-справочник. Монеты Киргизии, Таджикистана, Туркменистана и Узбекистана. Редакция 1, 2019 год ;  ;  ;  ;  ; 23 ; Silberman ; 64 
 6456 ; Каталог-справочник «Монеты Казахстана 1993 – 2021 гг.», 5-я редакция ;  ;  ;  ;  ; 18 ; Silberman ; 74 
 6457 ; Каталог-справочник. Юбилейные и памятные монеты Польши 1995-2013 гг. Редакция 3, 2013 год ;  ;  ;  ;  ; 12 ; Silberman ; 20 
 6458 ; Каталог-справочник. Монеты Латвии, Литвы и Эстонии. Редакция 2, 2013 год ;  ;  ;  ;  ; 20 ; an78gg ; 26 
 6459 ; В. П. Малышев. ЭНЦИКЛОПЕДИЯ. Денежные эмиссии региональных и местных правительств России 1917-1923 гг ;  ;  ;  ;  ; 19 ; AVLid ; 350 
 6460 ; Хр. Гиль. Таблицы русских монет. Репринтное издание ;  ;  ;  ;  ; 11 ; vadimex ; 171 
 6461 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2014 годов, 38 редакция ;  ;  ;  ;  ; 20 ; KVictorA ; 46 
 6462 ; Каталог-справочник "Бумажные деньги России". Часть II. 7-я редакция.  2012 год ;  ;  ;  ;  ; 9 ; vborisevich1 ; 74 
 6463 ; Клады в вашем доме. Ознакомительное пособие ;  ;  ;  ;  ; 11 ; mr_ap ; 34 
 6464 ; Каталог-справочник "Бумажные деньги России". Часть I. Редакция 8, 2008 год ;  ;  ;  ;  ; 5 ; vladmarkin ; 80 
 6465 ; Базовый каталог "Монеты России 1700-1917 гг", В. Е. Семенов. Выпуск - 2018 год, 16 редакция. Подарочное издание ;  ;  ;  ;  ; 103 ; niger ; 6513 
 6466 ; GIGANTE 2013 Монеты Италии с 700-до введения евро. Издание 21. 2013г ;  ;  ;  ;  ; 63 ; alten ; 9248 
 6467 ; В. Граллерт. В. Грушке. Филателистический словарь. Издатель: "Связь".  Москва 1977г. ;  ;  ;  ;  ; 15 ; mr_ap ; 185 
 6468 ; Журнал DOROTHEUM My art magazine №12 ;  ;  ;  ;  ; 21 ; mr_ap ; 51 
 6469 ; Журнал DOROTHEUM My art magazine №11 ;  ;  ;  ;  ; 7 ; mr_ap ; 51 
 6470 ; Аукционный каталог DOROTHEUM. Картины старых мастеров, Часть I 19 апреля 2016г ;  ;  ;  ;  ; 7 ; Affliction ; 113 
 6471 ; Лот из 4-х журналов: Золотой червонец, Древности и старина ;  ;  ;  ;  ; 71 ; Танго ; 235 
 6472 ; Коллекцич служит людям. Лениздат 1973г. ;  ;  ;  ;  ; 25 ; 2128508 ; 308 
 6473 ; Х. Фенглер, Г. Гироу, В. Унгер. Словарь нумизмата. Москва "Радио и связь" 1993 ;  ;  ;  ;  ; 11 ; Affliction ; 306 
 6474 ; М.М. Глейзер. Бонистика в Петрограде - Ленинграде - Санкт-Петербурге. Санкт-Петербург 1998 "Александр Принт" ;  ;  ;  ;  ; 33 ; Affliction ; 181 
 6475 ; И.М. Станиславский. Античные монеты Северного Причерноморья VI-I вв. до н.э. ;  ;  ;  ;  ; 53 ; Токen1973 ; 855 
 6476 ; Аукционный каталог DOROTHEUM. Картины старых мастеров, Часть I 24 апреля 2018г ;  ;  ;  ;  ; 11 ; ortodont2002 ; 159 
 6477 ; Загадочные монеты, таинственные медали. Четвертая книга начинающего нумизмата. А.Б.Рябов. Москва, 2009 ;  ;  ;  ;  ; 23 ; Affliction ; 680 
 6478 ; Не совсем обычные монеты. Вторая книга начинающего нумизмата. А.Б.Рябов. Москва, 2007 ;  ;  ;  ;  ; 72 ; Affliction ; 567 
 6479 ; С.Б. Федосеев. Должностные знаки императорской России. Выпуск №1. Санкт-Петербург 2013 ;  ;  ;  ;  ; 34 ; mr_ap ; 192 
 6480 ; А.С. Доманк. Знаки воинской доблести. Москва. Издательство ДОСААФ СССР 1990 ;  ;  ;  ;  ; 14 ; ga2012 ; 148 
 6481 ; Символы родины и воинской доблести. Москва. Военное издательство. 1990 ;  ;  ;  ;  ; 11 ; msmaci ; 159 
 6482 ; В.В. Уздеников. Объем чеканки Российских монет 1700-1917. Москва 1995 ;  ;  ;  ;  ; 18 ; aziya11 ; 408 
 6483 ; Аукционный каталог DOROTHEUM. Живопись 19 века 21 апреля 2016г ;  ;  ;  ;  ; 11 ; ortodont2002 ; 50 
 6484 ; Пухов Е.В. Монета "Ефимок с признаком" ;  ;  ;  ;  ; 9 ; cotangens ; 255 
 6485 ; Каталог медных монет и наград КНР ;  ;  ;  ;  ; 29 ; Sky2 ; 741 
 6486 ; В.И. Калугин. Русское золото. Том I. Москва 1993г ;  ;  ;  ;  ; 28 ; Dahan ; 352 
 6487 ; Оптовый лот, 20 книг. Каталог-справочник. Монеты РСФСР, СССР и России 1921-2014 годов, 38 редакция ;  ;  ;  ;  ; 23 ; статир ; 37 
 6320 ; Лот почтовых конвертов  США (5 штук) Космонавтика  "Мыс Канаверал" ; 1979 ;  ;  ;  ; 7 ; Ok203 ; 236 
 6321 ; Лот почтовых конвертов  Германии "Космос" (7 штук) ;  ;  ;  ;  ; 5 ; кравчий ; 227 
 6322 ; Лот почтовых конвертов СССР "Космос" (3 штуки) ;  ;  ;  ;  ; 18 ; gandy ; 342 
 6323 ; Лот почтовых конвертов  США (7 штук) "Военно-воздушная база Ванденберг" ;  ;  ;  ;  ; 11 ; Ok203 ; 163 
 6324 ; Лот почтовых конвертов  США (7 штук) "Военно-воздушная база Эдвардс" ;  ;  ;  ;  ; 11 ; Ok203 ; 163 
 6325 ; Лот почтовых конвертов США "Космический центр Кеннеди"(7 штук) ;  ;  ;  ;  ; 9 ; Ok203 ; 163 
 6326 ; Лот почтовых конвертов США "Космический центр Кеннеди"(7 штук) ;  ;  ;  ;  ; 11 ; Ok203 ; 204 
 6327 ; Лот открыток "Космос" (7 штук) ;  ;  ;  ;  ; 7 ; Ok203 ; 204 
 6328 ; Лот открыток в буклете (32 штуки, полный набор) "Русская Армия 1812 года" ;  ;  ;  ;  ; 15 ; lenohota ; 211 
 6329 ; Лот открыток в буклете (32 штуки, полный набор) "Русская Армия 1812 года" ;  ;  ;  ;  ; 12 ; lenohota ; 203 
 6330 ; Лот открыток в буклете (32 штуки, полный набор) "Русская Армия 1812 года" ;  ;  ;  ;  ; 16 ; lenohota ; 236 
 6331 ; Лот открыток в буклете (32 штуки, полный набор) "Русский Военный Мундир XIX века" ;  ;  ;  ;  ; 10 ; lenohota ; 236 
 6332 ; Лот открыток в буклете (32 штуки, полный набор) "Русский Военный Мундир XVIII века" ;  ;  ;  ;  ; 10 ; lenohota ; 236 
 6401 ; Работа неизвестного художника. Преломление ;  ;  ;  ;  ; 15 ; fillin ; 104 
 6402 ; Работа Татьяны Викторовой. Встреча. 2020 ;  ;  ;  ;  ; 44 ; Valera72 ; 376 
 6403 ; Картина. Жуковский. Мужчина в шляпе. Начало XX века ;  ;  ;  ;  ; 29 ; никсер ; 612 
 6404 ; Картина. Денисов-Уральский. Р. Чусовая. 1910 г ;  ;  ;  ;  ; 82 ; Manul ; 4080 
 6405 ; Картина. Неизвестный художник. Деревня. 1970-е годы ;  ;  ;  ;  ; 26 ; teddy300178 ; 816 
 6406 ; Разделитель картонный в альбом "Numis". Упаковка (20 шт.) Производство "Lindner" ;  ;  ;  ;  ; 8 ; irino4ka ; 148 
 6407 ; Капсулы для монет – 14 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343988 ;  ;  ;  ;  ; 26 ; Truth ; 200 
 6408 ; Капсулы для монет – 15 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343988 ;  ;  ;  ;  ; 14 ; Truth ; 204 
 6409 ; Капсулы для монет – 16 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343993 ;  ;  ;  ;  ; 11 ; Truth ; 200 
 6410 ; Капсулы для монет – 17 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343988 ;  ;  ;  ;  ; 11 ; Truth ; 200 
 6411 ; Капсулы для монет – 18 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343995 ;  ;  ;  ;  ; 26 ; az717 ; 179 
 6412 ; Капсулы для монет – 18 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343995 ;  ;  ;  ;  ; 24 ; val_diver ; 202 
 6413 ; Капсулы для монет – 19 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343996 ;  ;  ;  ;  ; 30 ; neverov ; 202 
 6414 ; Капсулы для монет – 24 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344001 ;  ;  ;  ;  ; 28 ; neverov ; 306 
 6415 ; Капсулы для монет – 29 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344006 ;  ;  ;  ;  ; 12 ; neverov ; 202 
 6416 ; Капсулы для монет – 30 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344007 ;  ;  ;  ;  ; 13 ; Сергей11 ; 202 
 6417 ; "Капсулы для монет – 34 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344011 " ;  ;  ;  ;  ; 30 ; az717 ; 188 
 6418 ; Капсулы для монет – 36 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #334013 ;  ;  ;  ;  ; 27 ; URKK ; 261 
 6419 ; Капсулы для монет – 38 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343988 ;  ;  ;  ;  ; 45 ; URKK ; 363 
 6420 ; Капсулы для монет – 39 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344016 ;  ;  ;  ;  ; 22 ; URKK ; 290 
 6421 ; Капсулы для монет – 40 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344017 ;  ;  ;  ;  ; 35 ; URKK ; 309 
 6422 ; Капсулы Quadrum для монет – 25 мм, упаковка 10 шт. Leuchtturm, #331951 ;  ;  ;  ;  ; 31 ; Анатолий57 ; 318 
 6423 ; Капсулы QUADRUM 30 для монет – 30 мм, упаковка 10 шт. Leuchtturm, #330443 ;  ;  ;  ;  ; 33 ; металлург9 ; 385 
 6424 ; Капсулы Quadrum 32 для монет – 32 мм, упаковка 10 шт. Leuchtturm, #312172 ;  ;  ;  ;  ; 22 ; металлург9 ; 363 
 6425 ; Капсулы Quadrum 32 для монет – 32 мм, упаковка 10 шт. Leuchtturm, #312172 ;  ;  ;  ;  ; 22 ; neverov ; 361 
 6426 ; Капсулы QUADRUM 36 для монет – 36 мм, упаковка 10 шт. Leuchtturm, #309045 ;  ;  ;  ;  ; 20 ; металлург9 ; 306 
 6427 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 27 ; Denzel77_96 ; 134 
 6428 ; Листы GRANDE SH312 на 1 банкноту. Упаковка (5 шт.). Leuchtturm, #358072 ;  ;  ;  ;  ; 14 ; num ; 422 
 6429 ; Листы GRANDE SH312 на 2 банкноты. Упаковка (5 шт.). Leuchtturm, #358073 ;  ;  ;  ;  ; 20 ; num ; 441 
 6430 ; Листы GRANDE SH312 на 3 банкноты. Упаковка (5 шт.). Leuchtturm, #358074 ;  ;  ;  ;  ; 30 ; num ; 352 
 6431 ; Листы GRANDE SH312 на 4 ячейки. Упаковка (5 шт.). Leuchtturm, #358076 ;  ;  ;  ;  ; 41 ; num ; 340 
 6432 ; Листы GRANDE SH312 на 4 банкноты. Упаковка (5 шт.). Leuchtturm, #358075 ;  ;  ;  ;  ; 25 ; num ; 422 
 6433 ; Листы GRANDE SH312 на 9 ячеек. Упаковка (5 шт.). Leuchtturm, #358077 ;  ;  ;  ;  ; 33 ; an78gg ; 310 
 6434 ; Кофр MB Koffer 5, на 5 кассет. Leuchtturm ;  ;  ;  ;  ; 85 ; hoza ; 6182 
 6435 ; Коробка-витрина MVCAPS26 для монет 2 евро в капсулах, на 35 ячеек. Leuchtturm ;  ;  ;  ;  ; 54 ; Truth ; 1333 
