 5861 ; Бона иностранная Эквадор ;  ;  ;  ; AU ; 19 ; dmivanych ; 120 
 5640 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Атлантик ; 70 
 5641 ; Бона иностранная ;  ;  ;  ;  ; 52 ; Атлантик ; 101 
 5642 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Атлантик ; 50 
 5643 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Атлантик ; 101 
 5644 ; Бона иностранная ;  ;  ;  ;  ; 16 ; 2128508 ; 407 
 5645 ; Бона иностранная ;  ;  ;  ;  ; 18 ; zamectitel ; 200 
 5646 ; Бона иностранная ;  ;  ;  ;  ; 15 ; zamectitel ; 200 
 5647 ; Бона иностранная ;  ;  ;  ;  ; 13 ; mart_si ; 202 
 5648 ; Бона иностранная ;  ;  ;  ;  ; 11 ; ек ; 153 
 5649 ; Бона иностранная ;  ;  ;  ;  ; 11 ; mart_si ; 202 
 5650 ; Бона иностранная ;  ;  ;  ;  ; 9 ; mart_si ; 202 
 5651 ; Бона иностранная ;  ;  ;  ;  ; 9 ; mart_si ; 202 
 5652 ; Бона иностранная ;  ;  ;  ;  ; 3 ; ек ; 51 
 5653 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ANGEL 23 ; 31 
 5654 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 2128508 ; 31 
 5655 ; Бона иностранная ;  ;  ;  ;  ; 7 ; TiBuL ; 31 
 5656 ; Бона иностранная ;  ;  ;  ;  ; 5 ; TiBuL ; 31 
 5801 ; Бона иностранная ; 1916 ;  ;  ;  ; 21 ; 06031983 ; 1632 
 5802 ; Бона иностранная ; 1918 ;  ;  ;  ; 26 ; sos1 ; 2664 
 5803 ; Бона иностранная ; 1940 ;  ;  ;  ; 37 ; bva150979 ; 2103 
 5804 ; Бона иностранная ; 1932 ;  ;  ;  ; 18 ; dmivanych ; 506 
 5805 ; Бона иностранная ; 2007 ;  ;  ;  ; 11 ; vasek ; 230 
 5806 ; Бона иностранная ; 1944 ;  ;  ;  ; 17 ; nikfed ; 1134 
 5807 ; Бона иностранная ; 1994 ;  ;  ;  ; 32 ; u10257 ; 193 
 5808 ; Бона иностранная ;  ;  ;  ;  ; 30 ; слоник ; 357 
 5809 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 40 ; Gorood ; 192 
 5810 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 50 ; Jek327 ; 181 
 5567 ; Бона иностранная ;  ;  ;  ;  ; 20 ; tss ; 516 
 5568 ; Бона иностранная ;  ;  ;  ;  ; 60 ; 4758 ; 114 
 5569 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Вадим Старый ; 42 
 5570 ; Бона иностранная ;  ;  ;  ;  ; 27 ; Папа с рацией ; 102 
 5571 ; Бона иностранная ;  ;  ;  ;  ; 7 ; страус ; 31 
 5572 ; Бона иностранная ;  ;  ;  ;  ; 41 ; 8888 ; 104 
 5573 ; Бона иностранная ;  ;  ;  ;  ; 36 ; val211 ; 41 
 5574 ; Бона иностранная ;  ;  ;  ;  ; 37 ; val211 ; 97 
 5575 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Anatoliy1959 ; 465 
 5576 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Папа с рацией ; 102 
 5577 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Monata ; 136 
 5578 ; Бона иностранная ;  ;  ;  ;  ; 10 ; 2128508 ; 153 
 5579 ; Бона иностранная ;  ;  ;  ;  ; 9 ; середа ; 35 
 5580 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Папа с рацией ; 101 
 5581 ; Бона иностранная ;  ;  ;  ;  ; 8 ; gdrg2 ; 82 
 5582 ; Бона иностранная ;  ;  ;  ;  ; 15 ; 333985 ; 28 
 5583 ; Бона иностранная ;  ;  ;  ;  ; 39 ; Папа с рацией ; 101 
 5584 ; Бона иностранная ;  ;  ;  ;  ; 11 ; val211 ; 30 
 5585 ; Бона иностранная ;  ;  ;  ;  ; 27 ; mart_si ; 40 
 5586 ; Бона иностранная ;  ;  ;  ;  ; 8 ; середа ; 30 
 5587 ; Бона иностранная ;  ;  ;  ;  ; 12 ; я8844 ; 37 
 5588 ; Бона иностранная ;  ;  ;  ;  ; 15 ; 8888 ; 61 
 5589 ; Бона иностранная ;  ;  ;  ;  ; 15 ; 8888 ; 61 
 5590 ; Бона иностранная ;  ;  ;  ;  ; 17 ; gdrg2 ; 101 
 5591 ; Бона иностранная ;  ;  ;  ;  ; 34 ; Папа с рацией ; 101 
 5592 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Lyonfik ; 33 
 5593 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Lyonfik ; 31 
 5594 ; Бона иностранная ;  ;  ;  ;  ; 47 ; ек ; 49 
 5595 ; Бона иностранная ;  ;  ;  ;  ; 26 ; станислав-август ; 72 
 5596 ; Бона иностранная ;  ;  ;  ;  ; 21 ; murew ; 110 
 5597 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Папа с рацией ; 101 
 5598 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Папа с рацией ; 101 
 5599 ; Бона иностранная ;  ;  ;  ;  ; 22 ; gdrg2 ; 81 
 5600 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 2128508 ; 152 
 5601 ; Бона иностранная ;  ;  ;  ;  ; 22 ; скорпион_48 ; 159 
 5602 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Папа с рацией ; 101 
 5603 ; Бона иностранная ;  ;  ;  ;  ; 5 ; TiBuL ; 50 
 5604 ; Бона иностранная ;  ;  ;  ;  ; 5 ; TiBuL ; 50 
 5605 ; Бона иностранная ;  ;  ;  ;  ; 12 ; ВалеН ; 59 
 5606 ; Бона иностранная ;  ;  ;  ;  ; 11 ; ВалеН ; 59 
 5607 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ВалеН ; 59 
 5608 ; Бона иностранная ;  ;  ;  ;  ; 14 ; ВалеН ; 59 
 5609 ; Бона иностранная ;  ;  ;  ;  ; 17 ; ВалеН ; 60 
 5610 ; Бона иностранная ;  ;  ;  ;  ; 17 ; 4758 ; 71 
 5611 ; Бона иностранная ;  ;  ;  ;  ; 26 ; cr2952 ; 225 
 5612 ; Бона иностранная ;  ;  ;  ;  ; 5 ; TiBuL ; 50 
 5613 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Атлантик ; 59 
 5614 ; Бона иностранная ;  ;  ;  ;  ; 30 ; cr2952 ; 132 
 5615 ; Бона иностранная ;  ;  ;  ;  ; 7 ; D-503 ; 243 
 5616 ; Бона иностранная ;  ;  ;  ;  ; 9 ; kaa2328 ; 257 
 5517 ; Бона иностранная ;  ;  ;  ;  ; 11 ; sos1 ; 70 
 5518 ; Бона иностранная ;  ;  ;  ;  ; 5 ; sos1 ; 72 
 5519 ; Бона иностранная ;  ;  ;  ;  ; 3 ; sos1 ; 72 
 5520 ; Бона иностранная ;  ;  ;  ;  ; 3 ; TiBuL ; 30 
 5521 ; Бона иностранная ;  ;  ;  ;  ; 4 ; gdrg2 ; 31 
 5522 ; Бона иностранная ;  ;  ;  ;  ; 3 ; TiBuL ; 30 
 5523 ; Бона иностранная ;  ;  ;  ;  ; 3 ; TiBuL ; 30 
 5524 ; Бона иностранная ;  ;  ;  ;  ; 24 ; gdrg2 ; 25 
 5525 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Опятор ; 114 
 5526 ; Бона иностранная ;  ;  ;  ;  ; 18 ; cr2952 ; 152 
 5527 ; Бона иностранная ;  ;  ;  ;  ; 18 ; середа ; 39 
 5528 ; Бона иностранная ;  ;  ;  ;  ; 37 ; Папа с рацией ; 101 
 5529 ; Бона иностранная ;  ;  ;  ;  ; 30 ; я8844 ; 87 
 5530 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ANGEL 23 ; 20 
 5531 ; Бона иностранная ;  ;  ;  ;  ; 5 ; TiBuL ; 35 
 5532 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 2128508 ; 306 
 5533 ; Бона иностранная ;  ;  ;  ;  ; 24 ; cr2952 ; 50 
 5534 ; Бона иностранная ;  ;  ;  ;  ; 16 ; cr2952 ; 46 
 5535 ; Бона иностранная ;  ;  ;  ;  ; 9 ; bva150979 ; 194 
 5536 ; Бона иностранная ;  ;  ;  ;  ; 33 ; Опятор ; 62 
 5537 ; Бона иностранная ;  ;  ;  ;  ; 33 ; слоник ; 150 
 5538 ; Бона иностранная ;  ;  ;  ;  ; 42 ; Jek327 ; 77 
 5539 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Gorood ; 136 
 5540 ; Бона иностранная ;  ;  ;  ;  ; 40 ; cr2952 ; 69 
 5541 ; Бона иностранная ;  ;  ;  ;  ; 20 ; val211 ; 26 
 5542 ; Бона иностранная ;  ;  ;  ;  ; 12 ; 2128508 ; 114 
 5543 ; Бона иностранная ;  ;  ;  ;  ; 13 ; середа ; 38 
 5544 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 2128508 ; 51 
 5545 ; Бона иностранная ;  ;  ;  ;  ; 26 ; середа ; 50 
 5546 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Папа с рацией ; 115 
 5547 ; Бона иностранная ;  ;  ;  ;  ; 29 ; 8888 ; 238 
 5548 ; Бона иностранная ;  ;  ;  ;  ; 8 ; gdrg2 ; 51 
 5549 ; Бона иностранная ;  ;  ;  ;  ; 9 ; газета ; 42 
 5550 ; Бона иностранная ;  ;  ;  ;  ; 19 ; газета ; 71 
 5551 ; Бона иностранная ;  ;  ;  ;  ; 19 ; газета ; 71 
 5552 ; Бона иностранная ;  ;  ;  ;  ; 7 ; середа ; 38 
 5553 ; Бона иностранная ;  ;  ;  ;  ; 29 ; val211 ; 45 
 5554 ; Бона иностранная ;  ;  ;  ;  ; 10 ; jj ; 101 
 5555 ; Бона иностранная ;  ;  ;  ;  ; 13 ; середа ; 40 
 5556 ; Бона иностранная ;  ;  ;  ;  ; 17 ; val211 ; 30 
 5557 ; Бона иностранная ;  ;  ;  ;  ; 27 ; середа ; 40 
 5558 ; Бона иностранная ;  ;  ;  ;  ; 22 ; val211 ; 45 
 5559 ; Бона иностранная ;  ;  ;  ;  ; 29 ; }|{ивотное ; 157 
 5560 ; Бона иностранная ;  ;  ;  ;  ; 19 ; ек ; 57 
 5561 ; Бона иностранная ;  ;  ;  ;  ; 9 ; слоник ; 110 
 5562 ; Бона иностранная ;  ;  ;  ;  ; 21 ; archy ; 100 
 5563 ; Бона иностранная ;  ;  ;  ;  ; 34 ; газета ; 49 
 5564 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 8888 ; 101 
 5565 ; Бона иностранная ;  ;  ;  ;  ; 23 ; val211 ; 41 
 5566 ; Бона иностранная ;  ;  ;  ;  ; 23 ; слоник ; 36 
 5377 ; Облигация в 150 франков. Каменноугольное и металлургическое общество Ново-Павловка ; 1898 ;  ;  ;  ; 9 ; boroda ; 255 
 5378 ; Облигация в 187 руб. 50коп. Общество Юго-Восточных железных дорог ; 1908 ;  ;  ;  ; 22 ; boroda ; 357 
 5379 ; Облигация в 125 рублей золотом. Четырехпроцентная железнодорожная облигация 2й серии ; 1889 ;  ;  ;  ; 30 ; boroda ; 573 
 5380 ; Облигация в 1000 марок. С купонами. Российский государственный заем ; 1902 ;  ;  ;  ; 39 ; boroda ; 867 
 5381 ; Закладной лист на 150 рублей. Государственный дворянский земельный банк ; 1898 ;  ;  ;  ; 53 ; boroda ; 459 
 5382 ; Свидетельство на 150 рублей. Крестьянский поземельный банк ; 1912 ;  ;  ;  ; 18 ; boroda ; 357 
 5383 ; Пять свидетельств на 750 рублей. Крестьянский поземельный банк ; 1912 ;  ;  ;  ; 23 ; boroda ; 357 
 5384 ; Лот облигаций. 4 шт. Императорская Россия ;  ;  ;  ;  ; 20 ; boroda ; 357 
 5385 ; Ценная бумага. Будапешт ; 1904 ;  ;  ;  ; 18 ; Sky2 ; 153 
 5386 ; Акция в 500 гульденов. Главный голландский кредитный банк ; 1904 ;  ;  ;  ; 13 ; siemеns ; 153 
 5387 ; Облигация в 100 франков. Голландия ; 1887 ;  ;  ;  ; 37 ; siemеns ; 313 
 5388 ; Акция на 2005 франков. Брюссель ; 1928 ;  ;  ;  ; 7 ; siemеns ; 150 
 5389 ; Акция в 1000 гульденов. Голландия ; 1881 ;  ;  ;  ; 9 ; цеховик ; 204 
 5390 ; Акция в 500 франков. Аргентинский СКФ ; 1920 ;  ;  ;  ; 11 ; advokatx ; 155 
 5391 ; Облигация в 500 франков. С купонами.  Железнодорожная компания. Париж ; 1902 ;  ;  ;  ; 11 ; TiBuL ; 153 
 5392 ; Акция в 500 франков. Северный банк ; 1933 ;  ;  ;  ; 18 ; siemеns ; 204 
 5393 ; Акция в 1000 франков. Голландия ; 1944 ;  ;  ;  ; 15 ; advokatx ; 161 
 5394 ; Акция. Промышленная компания Рупель ; 1944 ;  ;  ;  ; 7 ; siemеns ; 153 
 5395 ; Лот ценных бумаг. 2 шт. Акции на предъявителя ; 1993 ;  ;  ;  ; 12 ; Livon ; 255 
 5396 ; Облигация 25 рублей ; 1936 ;  ;  ;  ; 34 ; RusScat ; 1122 
 5397 ; Лот облигаций 6 шт ;  ;  ;  ;  ; 20 ; RusScat ; 318 
 5398 ; Облигация в 1000 марок. Общество Владикавказской железной дороги ; 1912 ;  ;  ;  ; 15 ; siemеns ; 510 
 5399 ; Акция. Пай в 100р. Русское тов-во "Нефть"+купоны ;  ;  ;  ;  ; 14 ; bonist-3A ; 806 
 5400 ; Облигация. 3% золотой заем в 187р 50к ; 1896г ;  ;  ;  ; 20 ; siemеns ; 340 
 5401 ; Облигация. 41/2 % облигационный заем 1908г о-ва Северо-Донецкой Ж/д ;  ;  ;  ;  ; 37 ; siemеns ; 255 
 5402 ; Акция. Фабрика бутылок в г. Одесса 1896г+купоны ;  ;  ;  ;  ; 27 ; siemеns ; 816 
 5403 ; Лот билетов МММ 10 шт ;  ;  ;  ;  ; 47 ; трынь трынь 4 ; 246 
 5404 ; Лот билетов МММ 10 шт ;  ;  ;  ;  ; 43 ; трынь трынь 4 ; 250 
 5405 ; Лот билетов МММ 10 шт ;  ;  ;  ;  ; 11 ; трынь трынь 4 ; 250 
 5406 ; Бона 100 рублей. Сочи 2014. Серия аа ;  ;  ;  ;  ; 16 ; mishakl ; 211 
 5407 ; Бона 100 рублей. Сочи 2014. Серия аа ;  ;  ;  ;  ; 11 ; Markel ; 215 
 5408 ; Бона 100 рублей. Сочи 2014. Серия аа ;  ;  ;  ;  ; 11 ; chief28 ; 210 
 5409 ; Бона 100 рублей. Сочи 2014. Серия аа ;  ;  ;  ;  ; 15 ; chief28 ; 210 
 5410 ; Бона 100 рублей. Сочи 2014. Серия аа ;  ;  ;  ;  ; 17 ; mishakl ; 213 
 5501 ; Бона иностранная ;  ;  ;  ;  ; 24 ; ostin ; 73 
 5502 ; Бона иностранная ;  ;  ;  ;  ; 19 ; ostin ; 62 
 5503 ; Бона иностранная ;  ;  ;  ;  ; 13 ; ostin ; 62 
 5504 ; Бона иностранная ;  ;  ;  ;  ; 5 ; TiBuL ; 30 
 5505 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ostin ; 63 
 5506 ; Бона иностранная ;  ;  ;  ;  ; 7 ; TiBuL ; 31 
 5507 ; Бона иностранная ;  ;  ;  ;  ; 73 ; sos1 ; 120 
 5508 ; Бона иностранная ;  ;  ;  ;  ; 4 ; sos1 ; 80 
 5509 ; Бона иностранная ;  ;  ;  ;  ; 4 ; sos1 ; 80 
 5510 ; Бона иностранная ;  ;  ;  ;  ; 4 ; sos1 ; 80 
 5511 ; Бона иностранная ;  ;  ;  ;  ; 10 ; TiBuL ; 68 
 5512 ; Бона иностранная ;  ;  ;  ;  ; 10 ; TiBuL ; 50 
 5513 ; Бона иностранная ;  ;  ;  ;  ; 9 ; sos1 ; 70 
 5514 ; Бона иностранная ;  ;  ;  ;  ; 7 ; TiBuL ; 68 
 5515 ; Бона иностранная ;  ;  ;  ;  ; 7 ; sos1 ; 70 
 5516 ; Бона иностранная ;  ;  ;  ;  ; 8 ; mart_si ; 25 
 5327 ; 10000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 80 ; goram ; 905 
 5328 ; Лот бон 5 шт ; 1919-21 ;  ;  ;  ; 13 ; я8844 ; 318 
 5329 ; Лот бон 3 шт ; 1921 ;  ;  ;  ; 23 ; xoron666 ; 717 
 5330 ; Лот бон 3 шт ; 1922-37 ;  ;  ;  ; 45 ; середа ; 1016 
 5331 ; 5000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 22 ; 06031983 ; 773 
 5332 ; 5 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 52 ; слоник ; 1581 
 5333 ; 5 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 29 ; bonipari ; 1529 
 5334 ; 5 копеек ; 1924 ; Разменные казн.боны ;  ;  ; 23 ; maks169 ; 2244 
 5335 ; 3 червонца ; 1937 ; Билет ;  ;  ; 27 ; 6719 ; 357 
 5336 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 25 ; cr2952 ; 568 
 5337 ; 3 рубля ; 1947 ; Гос.казначейский билет ;  ;  ; 44 ; majkl ; 1134 
 5338 ; 25 рублей ; 1947 ; билет ;  ;  ; 24 ; idalgo-17 ; 2061 
 5339 ; 50 рублей ; 1947 ; билет ;  ;  ; 32 ; rad22 ; 3060 
 5340 ; 100 рублей ; 1947 ; билет ;  ;  ; 46 ; Sky2 ; 725 
 5341 ; Лот бон 6 шт ; 1991 ;  ;  ;  ; 23 ; dpekin ; 466 
 5342 ; Лот бон 3 шт ; 1992 ;  ;  ;  ; 30 ; musik ; 408 
 5343 ; 10000 рублей ; 1992 ; банкнота ;  ;  ; 31 ; Cosmos ; 591 
 5344 ; Лот бон 5000 и 10000 рублей ; 1993 ;  ;  ;  ; 25 ; СЁМА ; 680 
 5345 ; Лот бон 3 шт. ; 1995 ;  ;  ;  ; 48 ; chief28 ; 1989 
 5346 ; 100000 рублей ; 1995 ; банкнота ;  ;  ; 57 ; cr2952 ; 812 
 5347 ; 1 рубль ; 1919 ;  ;  ;  ; 33 ; boroda ; 1840 
