 3235 ; Бона иностранная ;  ;  ;  ;  ; 7 ; у44 ; 42 
 3173 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Ромбор ; 40 
 3174 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Ромбор ; 40 
 3175 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Ромбор ; 40 
 3176 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Ромбор ; 40 
 3177 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Ромбор ; 40 
 3178 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Ромбор ; 50 
 3179 ; Бона иностранная ;  ;  ;  ;  ; 4 ; asru ; 51 
 3180 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Ромбор ; 53 
 3181 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Ромбор ; 40 
 3182 ; Бона иностранная ;  ;  ;  ;  ; 16 ; sos1 ; 90 
 3183 ; Бона иностранная ;  ;  ;  ;  ; 5 ; сми ; 45 
 3184 ; Бона иностранная ;  ;  ;  ;  ; 27 ; сми ; 30 
 3085 ; 10 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ; AU ; 57 ; Chr ; 2958 
 3086 ; 25 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ; AU ; 67 ; Ksn ; 1905 
 3087 ; 25 рублей ; 1923 ; Гос.денежные знаки. Первый вып ;  ; AU ; 81 ; BanknotisNN ; 1381 
 3088 ; 3 рубля ; 1947 ; Гос.казначейский билет ;  ; AU ; 54 ; цц ; 1870 
 3089 ; 1 рубль 25 копеек. Красноярск ;  ;  ;  ; AU ; 20 ; Satol ; 1770 
 3090 ; 5 червонцев ; 1937 ; Билет ;  ; AU ; 95 ; BanknotisNN ; 2681 
 3091 ; 10 червонцев ; 1937 ; Билет ;  ; AU ; 110 ; BanknotisNN ; 2681 
 3092 ; 50 рублей. Государство Российское ;  ;  ;  ;  ; 62 ; sergant83 ; 864 
 3093 ; 1 червонец ; 1926 ; Калманович, Горбунов. Билет ;  ;  ; 40 ; егор ; 1000 
 3094 ; 1 червонец ; 1926 ; Калманович, Горбунов. Билет ;  ;  ; 64 ; lesnik1 ; 1111 
 3095 ; 3 рубля ; 1898 ; Тимашев. Гос.кредитные билеты  ;  ;  ; 64 ; Ksn ; 8160 
 3096 ; 500 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 48 ; Ksn ; 1010 
 3097 ; 500 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 34 ; Ksn ; 1037 
 3098 ; 10 рублей ; 1918 ; Гос.кредитный билет "Северная  ;  ;  ; 54 ; Захар ; 1593 
 3099 ; 1 червонец ; 1922 ; Банковские билеты ;  ;  ; 32 ; smirnoff ; 1525 
 3100 ; Карточка на получение табачных изделий. Губпродкомитет. Иваново-Вознесенск ; 1919 ;  ;  ;  ; 45 ; 31 ; 1409 
 3101 ; Облигация. СССР (2 шт) ;  ;  ;  ;  ; 15 ; cityden ; 133 
 3102 ; Облигация. СССР (2 шт) ;  ;  ;  ;  ; 4 ; asru ; 102 
 3103 ; Облигация. СССР (2 шт) ;  ;  ;  ;  ; 11 ; asru ; 149 
 3104 ; Облигация. СССР (2 шт) ;  ;  ;  ;  ; 5 ; cityden ; 102 
 3105 ; Облигация. СССР (2 шт) ;  ;  ;  ;  ; 5 ; cityden ; 102 
 3106 ; Облигация. СССР (2 шт) ;  ;  ;  ;  ; 10 ; asru ; 102 
 3107 ; Облигация. СССР (2 шт) ;  ;  ;  ;  ; 5 ; cityden ; 138 
 3108 ; Облигация. СССР (2 шт) ;  ;  ;  ;  ; 17 ; asru ; 142 
 3109 ; Облигация. СССР (2 шт) ;  ;  ;  ;  ; 11 ; asru ; 139 
 3110 ; Облигация. СССР (2 шт) ;  ;  ;  ;  ; 9 ; asru ; 153 
 3111 ; Облигация. СССР (2 шт) ;  ;  ;  ;  ; 5 ; asru ; 135 
 3112 ; Облигация. СССР (2 шт) ;  ;  ;  ;  ; 5 ; asru ; 133 
 3113 ; Облигация. СССР (2 шт) ;  ;  ;  ;  ; 8 ; asru ; 136 
 3114 ; Облигация. СССР (2 шт) ;  ;  ;  ;  ; 14 ; asru ; 152 
 3115 ; Облигация. СССР (2 шт) ;  ;  ;  ;  ; 23 ; asru ; 153 
 3116 ; 1 рубль (2 шт) ; 1918 ;  ;  ;  ; 29 ; vladzory ; 273 
 3117 ; 250 рублей (2шт) ; 1918 ;  ;  ;  ; 25 ; o.k. ; 155 
 3118 ; 1000 рублей (2шт) ; 1918 ;  ;  ;  ; 12 ; vladzory ; 138 
 3119 ; 1000 рублей (2шт) ; 1918 ;  ;  ;  ; 15 ; vladzory ; 138 
 3120 ; 1000 рублей (2шт) ; 1918 ;  ;  ;  ; 17 ; vladzory ; 138 
 3121 ; 1000 рублей (2шт) ; 1918 ;  ;  ;  ; 13 ; vladzory ; 138 
 3122 ; 1000 рублей (2шт) ; 1918 ;  ;  ;  ; 14 ; vladzory ; 138 
 3123 ; 1000 рублей (2шт) ; 1918 ;  ;  ;  ; 14 ; vladzory ; 138 
 3124 ; 5 рублей (2шт) ; 1909 ;  ;  ;  ; 15 ; env ; 49 
 3125 ; 5 рублей (2шт) ; 1909 ;  ;  ;  ; 9 ; env ; 53 
 3126 ; 5 рублей (2шт) ; 1909 ;  ;  ;  ; 11 ; env ; 49 
 3127 ; 5 рублей (2шт) ; 1909 ;  ;  ;  ; 8 ; env ; 53 
 3128 ; 5 рублей (2шт) ; 1909 ;  ;  ;  ; 12 ; env ; 48 
 3129 ; 5 рублей (2шт) ; 1909 ;  ;  ;  ; 10 ; t2029 ; 54 
 3130 ; 10 рублей (2шт) ; 1909 ;  ;  ;  ; 29 ; альбатрос ; 75 
 3131 ; 10 рублей (2шт) ; 1909 ;  ;  ;  ; 48 ; env ; 73 
 3132 ; 10 рублей (2шт) ; 1909 ;  ;  ;  ; 27 ; env ; 63 
 3133 ; 10 рублей (2шт) ; 1909 ;  ;  ;  ; 19 ; env ; 63 
 3134 ; 50 копеек (3 шт) ; 1915 ;  ;  ;  ; 14 ; Fenrir ; 62 
 3035 ; 1000 рублей ; 1992 ; билет ;  ;  ; 5 ; Инвестор ; 65 
 3036 ; 5 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 38 ; o.k. ; 308 
 3037 ; 5 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 15 ; asru ; 417 
 3038 ; 10 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 51 ; glass ; 405 
 3039 ; 10 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 19 ; rad22 ; 450 
 3040 ; 10 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 10 ; o.k. ; 308 
 3041 ; 10 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 9 ; o.k. ; 330 
 3042 ; 10 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 21 ; цц ; 326 
 3043 ; 100 рублей ; 1918 ;  ;  ;  ; 48 ; o.k. ; 605 
 3044 ; 100 рублей ; 1918 ;  ;  ;  ; 29 ; torus72 ; 520 
 3045 ; 100 рублей ; 1919 ;  ;  ;  ; 74 ; o.k. ; 163 
 3046 ; 100 рублей ; 1919 ;  ;  ;  ; 27 ; torus72 ; 485 
 3047 ; 250 рублей ; 1918 ;  ;  ;  ; 19 ; sher60 ; 207 
 3048 ; 250 рублей ; 1918 ;  ;  ;  ; 18 ; цц ; 179 
 3049 ; 250 рублей ; 1918 ;  ;  ;  ; 18 ; цц ; 155 
 3050 ; 250 рублей ; 1918 ;  ;  ;  ; 25 ; Luidor ; 199 
 3051 ; 1 рубль ; 1919 ; Грузия ;  ;  ; 19 ; ejik ; 169 
 3052 ; 25 рублей ; 1920 ; Денежный знак Дальне-Восточной ;  ;  ; 21 ; asru ; 414 
 3053 ; 50 рублей ; 1920 ; Денежный знак Дальне-Восточной ;  ;  ; 46 ; glass ; 323 
 3054 ; 3 рубля ; 1918 ; Закавказье ;  ;  ; 17 ; lesnik1 ; 136 
 3055 ; 3 рубля ; 1919 ; Грузия ;  ;  ; 9 ; ejik ; 201 
 3056 ; 100 рублей ; 1920 ; Азербайджан ;  ;  ; 11 ; derk02 ; 462 
 3057 ; 50 копеек. Екатеринодар ;  ;  ;  ;  ; 6 ; у44 ; 147 
 3058 ; 50 копеек ;  ; Гос.кредитный билет "Северная  ;  ;  ; 46 ; o.k. ; 438 
 3059 ; 1 рубль ; 1918 ; Туркестан ;  ;  ; 26 ; dog009 ; 691 
 3060 ; 50 рублей. Баку ; 1918 ;  ;  ;  ; 34 ; derk02 ; 563 
 3061 ; 25 рублей. Баку ; 1918 ; Азербайджан ;  ;  ; 9 ; k212 ; 361 
 3062 ; 1 рубль. Урал ; 1918 ; Областной кредитный билет Урал ;  ;  ; 15 ; vitas123 ; 229 
 3063 ; 1 рубль. Урал ; 1918 ; Областной кредитный билет Урал ;  ;  ; 4 ; 4758 ; 200 
 3064 ; 100 рублей ; 1920 ;  ;  ;  ; 24 ; o.k. ; 245 
 3065 ; 10 рублей ; 1919 ;  ;  ;  ; 10 ; torus72 ; 663 
 3066 ; 10 карбованцев ;  ; Украина Знак Державноi скарбиц ;  ;  ; 8 ; димитрий ; 172 
 3067 ; 10 гривень ; 1918 ; Украина.Державный Кредитовий б ;  ;  ; 19 ; k212 ; 276 
 3068 ; 100000 рублей ; 1922 ; Азербайджан ;  ;  ; 7 ; димитрий ; 148 
 3069 ; 1 рубль ; 1898 ; Плеске. Гос.кредитные билеты 1 ;  ;  ; 26 ; Luidor ; 236 
 3070 ; 25 рублей. Одесса ; 1917 ;  ;  ;  ; 28 ; kostya12.04.1994 ; 407 
 3071 ; 25 рублей. Одесса ; 1917 ;  ;  ;  ; 25 ; цц ; 306 
 3072 ; 250 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 27 ; glass ; 238 
 3073 ; 500 рублей ; 1919 ; Азербайджан ;  ;  ; 17 ; miklezh ; 248 
 3074 ; 3 рубля ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 27 ; 1968 ; 443 
 3075 ; 3 рубля ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 45 ; Ksn ; 551 
 3076 ; 5 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ; AU ; 42 ; tisa66 ; 1006 
 3077 ; 5 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ; AU ; 29 ; Ksn ; 1525 
 3078 ; 5 рублей ; 1923 ; Гос.денежные знаки. Первый вып ;  ; AU ; 45 ; topotun ; 996 
 3079 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 29 ; 1968 ; 457 
 3080 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 38 ; Ksn ; 516 
 3081 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 77 ; Chr ; 609 
 3082 ; 1000 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ; AU ; 48 ; Chr ; 641 
 3083 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ; AU ; 43 ; QSCV ; 413 
 3084 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ; AU ; 49 ; СВИ ; 404 
 2835 ; Лот иностранных монет (25шт) ;  ;  ; Ag,Cu/Ni,C ; VF/AU ; 119 ; zx123 ; 408 
 2836 ; Лот иностранных монет:20шт ; 20 век ;  ; Ag,Al,Cu-N ; VF/AU ; 70 ; zx123 ; 648 
 2837 ; Лот медных монет: 6шт ;  ;  ; Cu ; F/F-VF ; 52 ; Григорий ; 174 
 2838 ; Лот иностранных монет (30шт) ;  ;  ; Cu/Ni,Al,C ; VF/AU ; 68 ; alno51 ; 612 
 2839 ; Лот иностранных монет: 9шт ; 20 век ;  ; Cu-Ni,Al,Б ; VF/AU ; 92 ; topotun ; 152 
 2840 ; Лот монет Испании: 18шт ; 20 век ;  ; Al,Cu-Ni,Л ; VF/AU ; 65 ; Инвестор ; 150 
 2841 ; Лот иностранных монет: 38шт ; 20 век ;  ; Cu,Cu-Ni ; VF/AU ; 103 ; Скрудж ; 490 
 2842 ; Лот монет Дании:43шт ; 20 век ;  ; Zn,Cu-Ni,C ; VF/AU ; 42 ; NFV ; 476 
 2843 ; Лот монет Франции: 44шт ; 20 век ;  ; Al,Al/Br,Б ; VF/AU ; 47 ; закрыт ; 271 
 2844 ; Лот монет Нидерландов:65шт ; 20 век ;  ; Br,Cu-Ni ; VF/AU ; 47 ; poiskklada ; 340 
 2845 ; Лот иностранных монет:20шт ; 20 век ;  ; Br,Al,Cu,A ; VF/AU ; 84 ; zx123 ; 227 
 2846 ; Лот монет Испании: 38шт ; 20 век ;  ; Al,Cu-Ni,Л ; VF/AU ; 28 ; HILL77 ; 227 
 2847 ; Лот монет Греции: 27шт ; 20 век ;  ; Cu-Ni,Лату ; VF/AU ; 36 ; HILL77 ; 239 
 2848 ; Лот монет Туркменистана: 1000,500 манат, 10,1 теннеси (4шт) ; 1993,1999 ;  ; Ni/St,Cu/S ; AU ; 38 ; 8228 ; 90 
 2849 ; Лот монет Туркменистана: 50,20,10,5,2,1 тенне (6шт) ; 2009 ;  ; Ni/St,Лату ; AU ; 67 ; 8228 ; 157 
 2850 ; Лот монет Югославии: 50,10,5,2,1 динаров (7шт) ; 1992 ;  ; Cu-Ni,Лату ; AU ; 19 ; Misha ; 181 
 3001 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 14 ; цц ; 33 
 3002 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 20 ; paxa ; 50 
 3003 ; 15 копеек ; 1915 ; Деньги-марки ;  ;  ; 10 ; Студент1 ; 35 
 3004 ; 15 копеек ; 1915 ; Деньги-марки ;  ;  ; 11 ; Shrrv ; 36 
 3005 ; 3 рубля ;  ;  ;  ;  ; 12 ; poiskklada ; 63 
 3006 ; 10 рублей ; 1922 ;  ;  ;  ; 31 ; usan ; 263 
 3007 ; 25 рублей ; 1922 ;  ;  ;  ; 17 ; usan ; 201 
 3008 ; 500 рублей ; 1922 ;  ;  ;  ; 11 ; usan ; 234 
 3009 ; 15 копеек. Сцепка 2 шт ; 1915 ; Деньги-марки ;  ;  ; 15 ; Студент1 ; 73 
 3010 ; 10 копеек. Сцепка 2 шт ; 1915 ; Деньги-марки ;  ;  ; 21 ; Студент1 ; 92 
 3011 ; 100 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 6 ; poiskklada ; 57 
 3012 ; 100 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 4 ; kuril ; 83 
 3013 ; 250 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 23 ; himik-58 ; 95 
 3014 ; 250 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 4 ; kuril ; 83 
 3015 ; 1 рубль ; 1934 ; Гос.казначейские билеты ;  ;  ; 11 ; егор ; 308 
 3016 ; 1 рубль ; 1934 ; Гос.казначейские билеты ;  ;  ; 11 ; vladzory ; 330 
 3017 ; 1 рубль ; 1934 ; Гос.казначейские билеты ;  ;  ; 40 ; inm ; 1587 
 3018 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 8 ; vladzory ; 148 
 3019 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 52 ; AlykARD ; 110 
 3020 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 21 ; medved09 ; 113 
 3021 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 22 ; kostya12.04.1994 ; 327 
 3022 ; 1 рубль ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 14 ; o.k. ; 286 
 3023 ; 1 рубль ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 18 ; rad22 ; 341 
 3024 ; 1 рубль ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 14 ; Захар ; 348 
 3025 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 17 ; medved09 ; 412 
 3026 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 32 ; BanknotisNN ; 461 
 3027 ; 50 рублей ; 1961 ; билет ;  ;  ; 2 ; kuril ; 80 
 3028 ; 50 рублей ; 1961 ; билет ;  ;  ; 11 ; env ; 61 
 3029 ; 50 рублей ; 1961 ; билет ;  ;  ; 24 ; env ; 65 
 3030 ; 50 рублей ; 1991 ; билет ;  ;  ; 4 ; Студент1 ; 37 
 3031 ; 50 рублей ; 1991 ; билет ;  ;  ; 7 ; peck ; 35 
 3032 ; 100 рублей ; 1961 ;  ;  ;  ; 8 ; kuril ; 136 
 3033 ; 200 рублей ; 1992 ; билет ;  ;  ; 7 ; Инвестор ; 43 
 3034 ; 1000 рублей ; 1992 ; билет ;  ;  ; 7 ; poiskklada ; 84 
 2785 ; 300 нгултрам. Бутан. Олимпийские игры ; 1992 ;  ; Ag ; Proof ; 92 ; велко ; 688 
 2786 ; 5000 динаров. Югославия. 200 лет со дня рождения Вуко Караджича ; 1987 ;  ; Ag ; Proof ; 22 ; Misha ; 969 
 2787 ; 1 динар. Сербия ; 1912 ;  ; Ag ; XF- ; 39 ; Rober ; 167 
 2788 ; 1 динар. Сербия ; 1915 ;  ; Ag ; XF- ; 31 ; Rober ; 145 
 2789 ; 1000 марок. Финляндия. 100 лет денежному обращению ; 1960 ;  ; Ag ; AU ; 22 ; geolog ; 920 
 2790 ; 200 марок. Финляндия ; 1956 ;  ; Ag ; AU ; 23 ; alno51 ; 211 
 2791 ; 200 марок. Финляндия ; 1957 ;  ; Ag ; AU ; 20 ; Rober ; 201 
 2792 ; 200 марок. Финляндия ; 1958 ;  ; Ag ; AU ; 20 ; Rober ; 204 
 2793 ; 2 кроны. Швеция ; 1878 ;  ; Ag ; VF ; 39 ; wagner ; 420 
 2794 ; 2 кроны. Швеция. 400 лет политической свободе ; 1921 ;  ; Ag ; AU ; 28 ; Алек ; 614 
 2795 ; 1 крона. Швеция ; 1938 ;  ; Ag ; XF+/AU ; 34 ; luchano ; 245 
 2796 ; Монетовидный жетон. Доллар. Канада ; 1981 ;  ; Б/м ; AU ; 27 ; paxa ; 101 
 2797 ; Медаль. 40 лет юбилею. ФРГ ; 1991 ;  ; Ag999 ; AU ; 1 ; Mike! ; 502 
 2798 ; Игровой жетон ;  ;  ; Ж/м ; AU ; 1 ; kotok ; 2 
 2799 ; Жетон. STELLA INTERNATIONAL ;  ;  ; Ж/М ; XF ; 4 ; Shrrv ; 4 
 2800 ; Телефонный жетон ;  ;  ; Ж/м ; VF-XF ; 13 ; Shrrv ; 17 
 2801 ; Жетон. Технезис ГТС-1А ;  ;  ; Б/м ; XF+ ; 1 ; HILL77 ; 2 
 2802 ; Телефонный жетон ;  ;  ; Ж/м ; AU ; 2 ; Man 11 ; 14 
