 5458 ; Бона иностранная. Гвинея ;  ;  ;  ;  ; 14 ; vvf75 ; 50 
 5485 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 7 ; Аленка ; 55 
 5486 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 11 ; vladmarkin ; 40 
 5487 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 14 ; 3ТЭП75 ; 30 
 5488 ; Лот нотгельдов (6 шт.) ;  ;  ;  ;  ; 14 ; Ok203 ; 325 
 5489 ; Лот нотгельдов (6 шт.) ;  ;  ;  ;  ; 52 ; Ok203 ; 325 
 5490 ; Лот нотгельдов (6 шт.) ;  ;  ;  ;  ; 10 ; Ok203 ; 325 
 5491 ; Лот нотгельдов (6 шт.) ;  ;  ;  ;  ; 10 ; Ok203 ; 325 
 5492 ; Лот нотгельдов (6 шт.) ;  ;  ;  ;  ; 9 ; Ok203 ; 325 
 5493 ; Лот нотгельдов (6 шт.) ;  ;  ;  ;  ; 10 ; Ok203 ; 325 
 5494 ; Лот нотгельдов (6 шт.) ;  ;  ;  ;  ; 10 ; Ok203 ; 325 
 5495 ; Лот нотгельдов (6 шт.) ;  ;  ;  ;  ; 12 ; Ok203 ; 325 
 5496 ; Лот нотгельдов (6 шт.) ;  ;  ;  ;  ; 18 ; Ok203 ; 325 
 5497 ; Лот нотгельдов (6 шт.) ;  ;  ;  ;  ; 8 ; Ok203 ; 319 
 5498 ; Лот бон (10 шт.) ;  ;  ;  ;  ; 12 ; циркус ; 130 
 5499 ; Бумага ценная Мексика ; 1896 ;  ;  ;  ; 13 ; pillers26 ; 200 
 5500 ; Бумага ценная Мексика ; 1919 ;  ;  ;  ; 9 ; pillers26 ; 200 
 5501 ; Бумага ценная Южная Африка ; 1895 ;  ;  ;  ; 6 ; komuri ; 304 
 5408 ; Бона иностранная Лаос ;  ;  ;  ; AU ; 42 ; Hamlet ; 116 
 5409 ; Бона иностранная Лаос ;  ;  ;  ; AU ; 23 ; СТРЕКОЗА ; 104 
 5410 ; Бона иностранная Лаос ;  ;  ;  ; AU ; 19 ; mart_si ; 84 
 5411 ; Бона иностранная Лаос ;  ;  ;  ;  ; 9 ; viv007 ; 45 
 5412 ; Бона иностранная Филиппины ;  ;  ;  ;  ; 7 ; fillin ; 74 
 5413 ; Бона иностранная Филиппины ;  ;  ;  ;  ; 11 ; alesjane ; 170 
 5414 ; Бона иностранная Японская оккупация ;  ;  ;  ;  ; 12 ; 47154 ; 237 
 5415 ; Бона иностранная Японская оккупация ;  ;  ;  ;  ; 14 ; maymuse ; 104 
 5416 ; Бона иностранная Японская оккупация ;  ;  ;  ;  ; 3 ; нюанс ; 57 
 5417 ; Бона иностранная Японская оккупация ;  ;  ;  ;  ; 7 ; нюанс ; 65 
 5418 ; Бона иностранная Японская оккупация ;  ;  ;  ;  ; 5 ; нюанс ; 57 
 5419 ; 10 шиллингов Бияфра ;  ;  ;  ;  ; 46 ; mart_si ; 185 
 5420 ; 1 фунт Биафра ;  ;  ;  ;  ; 22 ; viv007 ; 60 
 5421 ; Бона иностранная Пакистан ;  ;  ;  ; AU ; 17 ; sveta6369 ; 57 
 5422 ; Бона иностранная. Фиджи ;  ;  ;  ;  ; 16 ; mart_si ; 144 
 5423 ; Бона иностранная Канада ;  ;  ;  ;  ; 20 ; krugerrand ; 114 
 5424 ; Бона иностранная Нигерия ;  ;  ;  ;  ; 10 ; джон08 ; 53 
 5425 ; Бона иностранная Нигерия ;  ;  ;  ;  ; 21 ; sveta6369 ; 68 
 5426 ; Бона иностранная Сомали ;  ;  ;  ;  ; 17 ; sveta6369 ; 65 
 5427 ; Бона иностранная Уганда ;  ;  ;  ;  ; 14 ; джон08 ; 66 
 5428 ; Бона иностранная Бурунди ;  ;  ;  ; AU ; 18 ; sveta6369 ; 57 
 5429 ; Бона иностранная Замбия ;  ;  ;  ; AU ; 28 ; ufa ; 95 
 5430 ; Бона иностранная Гвинея ;  ;  ;  ;  ; 20 ; Hamlet ; 46 
 5431 ; Бона иностранная Судан ;  ;  ;  ; AU ; 11 ; 2128508 ; 77 
 5432 ; Бона иностранная Судан ;  ;  ;  ; AU ; 15 ; 2128508 ; 77 
 5433 ; Бона иностранная Гонг-Конг ;  ;  ;  ;  ; 15 ; Hamlet ; 133 
 5434 ; Бона иностранная. Куба ;  ;  ;  ;  ; 11 ; DaMon15 ; 305 
 5435 ; Бона иностранная. Куба ;  ;  ;  ;  ; 6 ; Oleht ; 408 
 5436 ; Бона иностранная. Саудовская Аравия ;  ;  ;  ;  ; 23 ; mart_si ; 53 
 5437 ; Бона иностранная. Шри-Ланка ;  ;  ;  ;  ; 7 ; Paul76 ; 77 
 5438 ; Бона иностранная. Шри-Ланка ;  ;  ;  ;  ; 9 ; Paul76 ; 83 
 5439 ; Бона иностранная. Шри-Ланка ;  ;  ;  ;  ; 9 ; Paul76 ; 83 
 5440 ; Бона иностранная. Нидерланды ;  ;  ;  ;  ; 9 ; pref ; 104 
 5441 ; Бона иностранная. Бельгия ;  ;  ;  ;  ; 15 ; vvf75 ; 61 
 5442 ; Бона иностранная Румыния ;  ;  ;  ; AU ; 20 ; sveta6369 ; 47 
 5443 ; Бона иностранная Литва ;  ;  ;  ; AU ; 8 ; svv ; 126 
 5444 ; Бона иностранная Литва ; 1991 ;  ;  ;  ; 21 ; Ratmen ; 552 
 5445 ; 2 кроны Эстония ; 1992 ;  ;  ; AU ; 11 ; cr2952 ; 36 
 5446 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 21 ; smel ; 413 
 5447 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 25 ; Враг ; 140 
 5448 ; Бона иностранная. Греция ;  ;  ;  ;  ; 10 ; серж 4-4 ; 51 
 5449 ; Бона иностранная. Югославия ;  ;  ;  ;  ; 14 ; vvf75 ; 30 
 5450 ; Бона иностранная. Индия ;  ;  ;  ;  ; 9 ; viv007 ; 36 
 5451 ; Бона иностранная. Индия ;  ;  ;  ;  ; 11 ; 4758 ; 79 
 5452 ; Бона иностранная. Никарагуа ;  ;  ;  ;  ; 36 ; vvf75 ; 101 
 5453 ; Бона иностранная. Никарагуа ;  ;  ;  ;  ; 13 ; 4758 ; 63 
 5454 ; Бона иностранная. Уругвай ;  ;  ;  ;  ; 7 ; mart_si ; 124 
 5455 ; Бона иностранная. Тринидад и Тобаго ;  ;  ;  ;  ; 21 ; алим ; 67 
 5456 ; Бона иностранная. Доминикана ;  ;  ;  ;  ; 7 ; smel ; 160 
 5457 ; Бона иностранная. Перу ;  ;  ;  ;  ; 7 ; 4758 ; 53 
 5358 ; Лот нотгельдов 10 шт. Германия ;  ;  ;  ;  ; 7 ; smel ; 370 
 5359 ; Бона иностранная Германия ;  ;  ;  ;  ; 12 ; kolbur ; 153 
 5360 ; Бона иностранная Германия ;  ;  ;  ;  ; 9 ; 47154 ; 33 
 5361 ; Бона иностранная. Финляндия ;  ;  ;  ;  ; 9 ; себер ; 111 
 5362 ; Бона иностранная Финляндия ; 1993 ;  ;  ; AU ; 36 ; Lex2000 ; 410 
 5363 ; Бона иностранная Финляндия ; 1986 ;  ;  ; AU ; 46 ; Lex2000 ; 294 
 5364 ; Бона иностранная Финляндия ; 1980 ;  ;  ; AU ; 28 ; tss ; 303 
 5365 ; Бона иностранная Финляндия ; 1963 ;  ;  ; AU ; 32 ; Lex2000 ; 178 
 5366 ; Бона иностранная Финляндия ; 1963 ;  ;  ; AU ; 19 ; Lex2000 ; 94 
 5367 ; Бона иностранная Дания ;  ;  ;  ; AU ; 18 ; Lex2000 ; 342 
 5368 ; Бона иностранная Дания ;  ;  ;  ;  ; 32 ; Lex2000 ; 412 
 5369 ; Бона иностранная Исландия ;  ;  ;  ;  ; 15 ; Lex2000 ; 114 
 5370 ; Бона иностранная Испания ;  ;  ;  ; AU ; 41 ; grizlimays ; 165 
 5371 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 50 ; агрессор ; 327 
 5372 ; Бона иностранная Греция ;  ;  ;  ;  ; 5 ; жора ; 43 
 5373 ; Бона иностранная Сербия ;  ;  ;  ;  ; 9 ; flutter ; 36 
 5374 ; Бона иностранная СФРЮ ; 1955 ;  ;  ; AU ; 19 ; krugerrand ; 123 
 5375 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 18 ; prostor.71 ; 55 
 5376 ; Бона иностранная Австро-Венгрия ;  ;  ;  ;  ; 35 ; doc2 ; 252 
 5377 ; 10 фунтов Кипр ; 2005 ;  ;  ;  ; 24 ; ufa ; 597 
 5378 ; Бона 1 фунт. Кипр ; 2004 ;  ;  ;  ; 48 ; krugerrand ; 151 
 5379 ; 2 доллара США ; 1953 ;  ;  ; AU ; 43 ; alex09-63 ; 1181 
 5380 ; 2 доллара США ; 1953 ;  ;  ;  ; 34 ; cr2952 ; 373 
 5381 ; 2 доллара США ; 1976 ;  ;  ;  ; 11 ; AVK1974 ; 221 
 5382 ; 2 доллара США ; 1976 ;  ;  ;  ; 25 ; AVK1974 ; 1001 
 5383 ; 1 доллар США ; 1957 ;  ;  ; AU ; 22 ; svv ; 453 
 5384 ; Бона иностранная. США ;  ;  ;  ;  ; 15 ; 4758 ; 85 
 5385 ; Бона иностранная. США ;  ;  ;  ;  ; 12 ; 4758 ; 97 
 5386 ; Бона иностранная. США ;  ;  ;  ;  ; 20 ; 4758 ; 87 
 5387 ; Бона иностранная. США ;  ;  ;  ;  ; 8 ; 4758 ; 87 
 5388 ; Бона иностранная. США ;  ;  ;  ;  ; 10 ; 4758 ; 87 
 5389 ; Бона иностранная Чили ;  ;  ;  ; AU ; 5 ; archy ; 305 
 5390 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 13 ; lelik13821 ; 79 
 5391 ; Бона иностранная Израиль, с буклетом ;  ;  ;  ; AU ; 14 ; archy ; 1062 
 5392 ; Бона иностранная Израиль ;  ;  ;  ;  ; 35 ; Nastrom ; 63 
 5393 ; 10 рупий Сейшельские о-ва ;  ;  ;  ; AU ; 47 ; СТРЕКОЗА ; 508 
 5394 ; 25 рупий Сейшельские о-ва ;  ;  ;  ; AU ; 67 ; СТРЕКОЗА ; 1635 
 5395 ; 50 рупий Сейшельские о-ва ;  ;  ;  ; AU ; 58 ; СТРЕКОЗА ; 1794 
 5396 ; 100 рупий Сейшельские о-ва ;  ;  ;  ; AU ; 55 ; СТРЕКОЗА ; 1965 
 5397 ; 500 фунтов Сирия ;  ;  ;  ; AU ; 40 ; агрессор ; 1029 
 5398 ; 50 фунтов Сирия ;  ;  ;  ; AU ; 22 ; alesjane ; 567 
 5399 ; 10000 вон Корея ;  ;  ;  ; AU ; 41 ; to-to ; 604 
 5400 ; 1000 вон Корея ;  ;  ;  ; AU ; 52 ; СТРЕКОЗА ; 110 
 5401 ; Бона иностранная. Корея ;  ;  ;  ;  ; 20 ; mart_si ; 116 
 5402 ; Бона иностранная. Корея ;  ;  ;  ;  ; 52 ; mart_si ; 116 
 5403 ; Бона иностранная. Вьетнам ;  ;  ;  ;  ; 20 ; mart_si ; 136 
 5404 ; Бона иностранная. Вьетнам ;  ;  ;  ;  ; 13 ; mart_si ; 124 
 5405 ; Бона иностранная Лаос ;  ;  ;  ; AU ; 21 ; СТРЕКОЗА ; 122 
 5406 ; Бона иностранная Лаос ;  ;  ;  ; AU ; 17 ; mart_si ; 114 
 5407 ; Бона иностранная Лаос ;  ;  ;  ; AU ; 15 ; pref ; 68 
 5308 ; Лот бон 4 шт. Польша ; 1982-86 ;  ;  ; AU ; 59 ; MDV ; 250 
 5309 ; Бона иностранная Польша ; 1990 ;  ;  ; AU ; 21 ; Lex2000 ; 278 
 5310 ; Бона иностранная Польша ; 1990 ;  ;  ; AU ; 36 ; Lex2000 ; 303 
 5311 ; Бона иностранная Польша ; 1990 ;  ;  ; AU ; 27 ; Lex2000 ; 313 
 5312 ; Бона иностранная Польша ; 1990 ;  ;  ; AU ; 23 ; to-to ; 300 
 5313 ; Бона иностранная Польша ; 1969 ;  ;  ; AU ; 22 ; alesjane ; 266 
 5314 ; Бона иностранная Польша ; 1979 ;  ;  ; AU ; 22 ; alesjane ; 277 
 5315 ; Бона иностранная Польша ; 1979 ;  ;  ; AU ; 27 ; alesjane ; 157 
 5316 ; Бона иностранная Польша ; 1979 ;  ;  ; AU ; 23 ; Lex2000 ; 326 
 5317 ; 10000 крон Австрия ; 1918 ;  ;  ;  ; 45 ; mart_si ; 197 
 5318 ; Бона иностранная Австрия ;  ;  ;  ;  ; 31 ; mart_si ; 136 
 5319 ; Бона иностранная Чехословакия ; 1929 ;  ;  ;  ; 35 ; doc2 ; 1152 
 5320 ; Бона иностранная Румыния ; 1915 ;  ;  ;  ; 11 ; doc2 ; 445 
 5321 ; Бона иностранная Греция ;  ;  ;  ;  ; 29 ; nero ; 1134 
 5322 ; Бона иностранная Канада ;  ;  ;  ;  ; 49 ; vlad77 ; 1001 
 5323 ; 20 марок Германия ; 1980 ;  ;  ;  ; 16 ; vlad77 ; 1296 
 5324 ; 10 марок Германия ; 1980 ;  ;  ; AU ; 33 ; Aleks_Smith ; 1281 
 5325 ; 10 марок Германия ; 1993 ;  ;  ; AU ; 36 ; nic27 ; 755 
 5326 ; 500 марок ГДР ; 1985 ;  ;  ;  ; 27 ; Elephant ; 714 
 5327 ; Бона иностранная Германия ;  ;  ;  ; AU ; 20 ; Alekss_27 ; 192 
 5328 ; Бона иностранная Германия ;  ;  ;  ;  ; 10 ; 47154 ; 101 
 5329 ; Бона иностранная Германия ;  ;  ;  ;  ; 11 ; 6x6 ; 57 
 5330 ; Бона иностранная Германия ;  ;  ;  ;  ; 9 ; Mike! ; 203 
 5331 ; Бона иностранная Германия ;  ;  ;  ;  ; 16 ; smel ; 283 
 5332 ; Бона иностранная Германия ;  ;  ;  ;  ; 7 ; Mike! ; 104 
 5333 ; Бона иностранная Германия ;  ;  ;  ;  ; 5 ; kop ; 57 
 5334 ; Бона иностранная Германия ;  ;  ;  ;  ; 8 ; Mike! ; 114 
 5335 ; Бона иностранная Германия ;  ;  ;  ;  ; 7 ; Mike! ; 114 
 5336 ; Бона иностранная Германия ;  ;  ;  ;  ; 9 ; Mike! ; 181 
 5337 ; Бона иностранная Германия ;  ;  ;  ;  ; 5 ; Mike! ; 102 
 5338 ; Бона иностранная Германия ;  ;  ;  ;  ; 9 ; flutter ; 79 
 5339 ; Бона иностранная Германия ;  ;  ;  ;  ; 20 ; Жигурда ; 80 
 5340 ; Бона иностранная Германия ;  ;  ;  ;  ; 12 ; Жигурда ; 80 
 5341 ; Бона иностранная Германия ;  ;  ;  ;  ; 5 ; vladmarkin ; 102 
 5342 ; Бона иностранная Германия ;  ;  ;  ;  ; 26 ; Hamlet ; 51 
 5343 ; Бона иностранная Германия ;  ;  ;  ;  ; 3 ; MG ; 57 
 5344 ; Бона иностранная Германия ;  ;  ;  ;  ; 7 ; vladmarkin ; 66 
 5345 ; Бона иностранная Германия ;  ;  ;  ;  ; 7 ; vladmarkin ; 57 
 5346 ; Бона иностранная Германия ;  ;  ;  ;  ; 5 ; vladmarkin ; 57 
 5347 ; Бона иностранная Германия ;  ;  ;  ;  ; 5 ; vladmarkin ; 114 
 5348 ; Бона иностранная Германия ;  ;  ;  ;  ; 5 ; Майкл ; 123 
 5349 ; Бона иностранная. Германия ;  ;  ;  ;  ; 7 ; mart_si ; 57 
 5350 ; Бона иностранная. Германия ;  ;  ;  ;  ; 7 ; mart_si ; 57 
 5351 ; Бона иностранная. Германия ;  ;  ;  ;  ; 8 ; алим ; 34 
 5352 ; Бона иностранная. Германия ;  ;  ;  ;  ; 9 ; 47154 ; 33 
 5353 ; Бона иностранная. Германия ;  ;  ;  ;  ; 19 ; mart_si ; 63 
 5354 ; Бона иностранная. Германия ;  ;  ;  ;  ; 12 ; алим ; 50 
 5355 ; Бона иностранная. Германия ;  ;  ;  ;  ; 12 ; 47154 ; 30 
 5356 ; Бона иностранная. Германия ;  ;  ;  ;  ; 13 ; 47154 ; 30 
 5357 ; Лот бон 3 шт. Германия ;  ;  ;  ;  ; 23 ; 47154 ; 175 
 5258 ; Бона иностранная Украина ;  ;  ;  ; AU ; 32 ; Д.Ю. ; 1530 
 5259 ; Бона иностранная Украина ;  ;  ;  ; AU ; 27 ; lesnik1 ; 2362 
 5260 ; Бона иностранная Украина ;  ;  ;  ; AU ; 23 ; lesnik1 ; 2267 
 5261 ; Бона иностранная Украина ;  ;  ;  ; AU ; 23 ; lesnik1 ; 2267 
 5262 ; Бона иностранная Украина ;  ;  ;  ; AU ; 24 ; lesnik1 ; 2267 
 5263 ; Бона иностранная Украина ;  ;  ;  ; AU ; 23 ; lesnik1 ; 2267 
 5264 ; Бона иностранная Украина ;  ;  ;  ; AU ; 27 ; master_mt5 ; 4648 
 5265 ; 200 карбованцев Ровно ; 1942 ;  ;  ;  ; 68 ; Fliege1 ; 4245 
 5266 ; 100 карбованцев Ровно ; 1942 ;  ;  ; XF- ; 54 ; агрессор ; 4242 
 5267 ; 50 карбованцев Ровно ; 1942 ;  ;  ; XF- ; 30 ; агрессор ; 1695 
 5268 ; 20 карбованцев Ровно ; 1942 ;  ;  ;  ; 31 ; Ok203 ; 1517 
 5269 ; 1 карбованец Ровно ; 1942 ;  ;  ; XF+ ; 50 ; агрессор ; 1866 
 5270 ; 100 лей Молдова ; 1992 ;  ;  ; AU ; 95 ; svv ; 1022 
 5271 ; Лот бон (6шт) ;  ;  ;  ;  ; 32 ; страус ; 163 
 5272 ; 100 юаней Китай ; 1940 ;  ;  ; XF- ; 7 ; Olimpia ; 707 
 5273 ; 10 юаней Китай ; 1935 ;  ;  ;  ; 18 ; S.P. ; 793 
 5274 ; 10 юаней Китай ; 1936 ;  ;  ; XF+ ; 10 ; S.P. ; 453 
 5275 ; 10 юаней Китай ; 1937 ;  ;  ; XF+ ; 16 ; S.P. ; 340 
 5276 ; 10 юаней Китай ; 1941 ;  ;  ; XF+ ; 19 ; Olimpia ; 721 
 5277 ; 10 юаней Китай ; 1980 ;  ;  ;  ; 5 ; Olimpia ; 120 
 5278 ; Бона иностранная Китай ;  ;  ;  ;  ; 6 ; Olimpia ; 283 
 5279 ; 100 юаней Китай ; 1948 ;  ;  ;  ; 7 ; Olimpia ; 403 
 5280 ; 5 юаней Китай ; 1945 ;  ;  ;  ; 13 ; Olimpia ; 459 
 5281 ; Бона иностранная Китай ;  ;  ;  ;  ; 11 ; Olimpia ; 101 
 5282 ; Бона иностранная Китай ;  ;  ;  ;  ; 13 ; Olimpia ; 248 
 5283 ; Бона иностранная Тайвань ; 1950 ;  ;  ; XF ; 14 ; alesjane ; 1019 
 5284 ; Бона иностранная Тайвань ; 1954 ;  ;  ;  ; 8 ; Olimpia ; 670 
 5285 ; Бона иностранная Тайвань ; 1966 ;  ;  ; XF ; 12 ; Olimpia ; 480 
 5286 ; Бона иностранная Тайвань ;  ;  ;  ;  ; 17 ; alex-05 ; 2017 
 5287 ; Бона иностранная Тайвань ;  ;  ;  ;  ; 11 ; alex-05 ; 1473 
 5288 ; Бона иностранная Тайвань ;  ;  ;  ;  ; 12 ; alex-05 ; 1134 
 5289 ; Бона иностранная Тайвань ;  ;  ;  ; XF+ ; 5 ; Olimpia ; 340 
 5290 ; Бона иностранная Тайвань ;  ;  ;  ; XF+ ; 28 ; mart_si ; 227 
 5291 ; Бона иностранная Тайвань ;  ;  ;  ; XF+ ; 6 ; Monata ; 238 
 5292 ; Бона иностранная Тайвань ;  ;  ;  ; XF+ ; 19 ; mart_si ; 318 
 5293 ; Бона иностранная Тайвань ;  ;  ;  ; XF+ ; 15 ; Olimpia ; 443 
 5294 ; Бона иностранная. Швеция ;  ;  ;  ;  ; 6 ; 4758 ; 1258 
 5295 ; Бона иностранная. Великобритания. Подделка. Бернхарда. ;  ;  ;  ;  ; 19 ; sos1 ; 3060 
 5296 ; Бона иностранная. Великобритания. Подделка. Бернхарда. ;  ;  ;  ;  ; 24 ; nero ; 3060 
 5297 ; Бона иностранная Польша ;  ;  ;  ; XF- ; 11 ; Olimpia ; 153 
 5298 ; Бона иностранная Польша ;  ;  ;  ;  ; 39 ; mart_si ; 213 
 5299 ; 500 злотых Польша ; 1919 ;  ;  ;  ; 25 ; nero ; 1100 
 5300 ; 5 злотых Польша ; 1944 ;  ;  ; XF+ ; 22 ; Olimpia ; 1487 
 5301 ; 5 злотых Польша ; 1946 ;  ;  ; XF ; 37 ; MDV ; 545 
 5302 ; 2 злотых Польша ; 1936 ;  ;  ; XF+ ; 13 ; alex241 ; 668 
 5303 ; 1 злотый Польша ; 1946 ;  ;  ; AU ; 14 ; Бармалей ; 445 
 5304 ; Бона иностранная. Польша ;  ;  ;  ;  ; 20 ; Бармалей ; 340 
 5305 ; Бона иностранная. Польша ;  ;  ;  ;  ; 12 ; MDV ; 340 
 5306 ; Бона иностранная. Польша ;  ;  ;  ;  ; 12 ; asus ; 136 
 5307 ; Бона иностранная. Польша ;  ;  ;  ;  ; 11 ; ZIMOGOR ; 114 
 5208 ; Акция. Донецк ; 1895 ;  ;  ;  ; 18 ; starconst ; 255 
 5209 ; Акция. Донецк ; 1895 ;  ;  ;  ; 28 ; Ustin ; 367 
 5210 ; Акция. Донецк ; 1895 ;  ;  ;  ; 17 ; starconst ; 340 
 5211 ; Акция. Донецк ; 1895 ;  ;  ;  ; 29 ; Ustin ; 389 
 5212 ; Акция.Киев ; 1905 ;  ;  ;  ; 14 ; starconst ; 294 
 5213 ; Акция.Киев ; 1905 ;  ;  ;  ; 39 ; Ustin ; 337 
 5214 ; Вексель ;  ;  ;  ;  ; 10 ; slovjnin ; 1326 
 5215 ; Облигация на 50 рублей ; 1948 ;  ;  ;  ; 31 ; Ustin ; 1326 
 5216 ; Облигация на 50 рублей ; 1948 ;  ;  ;  ; 20 ; Ustin ; 1443 
 5217 ; 10 рублей. Облигация ; 1952 ;  ;  ;  ; 11 ; mikhail342 ; 152 
 5218 ; 100 рублей. Облигация ; 1955 ;  ;  ;  ; 17 ; musik ; 340 
 5219 ; 1 рубль. Облигация ; 1952 ;  ;  ;  ; 16 ; mart_si ; 262 
 5220 ; Лот бон 100 и 200 рублей ; 1991 ;  ;  ;  ; 9 ; archy ; 351 
 5221 ; 200 рублей ; 1992 ; билет ;  ;  ; 3 ; AVK1974 ; 201 
 5222 ; Рекламный листок ;  ;  ;  ;  ; 20 ; Маэстро ; 567 
 5223 ; Приватизационный чек ; 1992 ;  ;  ;  ; 15 ; 47154 ; 567 
 5224 ; Лот бон (16шт) ;  ;  ;  ;  ; 27 ; dfg ; 107 
 5225 ; Лот бон (26шт) ;  ;  ;  ;  ; 12 ; _Олегович_ ; 159 
 5226 ; Лот билетов МММ 5 шт ;  ;  ;  ;  ; 21 ; Юбиляр ; 357 
 5227 ; Лот Разменных чеков Внешпосылторг: 10,25 коп (2шт) ; 1976 ;  ;  ;  ; 29 ; Ustin ; 212 
 5228 ; 5 рублей Либавское городское самоуправление ;  ;  ;  ; AU ; 24 ; flutter ; 918 
 5229 ; 1 марка ; 1919 ;  ;  ;  ; 14 ; Ok203 ; 264 
 5230 ; 1 рубль Латвия ; 1919 ;  ;  ;  ; 16 ; bagsy ; 532 
 5231 ; 3 рубля Латвия ; 1919 ;  ;  ; AU ; 24 ; noviyok ; 512 
 5232 ; 5 рублей Латвия ; 1919 ;  ;  ;  ; 18 ; bagsy ; 800 
 5233 ; 100 лат Латвия ; 1939 ;  ;  ; XF+ ; 45 ; ashep ; 4038 
 5234 ; 500 рублей Латвия ; 1992 ;  ;  ; AU ; 24 ; Wulf ; 2558 
 5235 ; 5 лат Латвия ; 2006 ;  ;  ; AU ; 13 ; sos1 ; 638 
 5236 ; Бона иностранная Латвия ; 2001 ;  ;  ;  ; 14 ; flutter ; 341 
 5237 ; Облигация 20 лат Латвия ;  ;  ;  ;  ; 8 ; mart_si ; 203 
 5238 ; 5 центи Литва ; 1922 ;  ;  ;  ; 66 ; nero ; 6035 
 5239 ; 10 центи Литва ; 1922 ;  ;  ;  ; 49 ; nero ; 6035 
 5240 ; 50 центов Литва ; 1922 ;  ;  ;  ; 61 ; nero ; 592 
 5241 ; 20 лит Литва ; 1991 ;  ;  ;  ; 23 ; alex241 ; 1399 
 5242 ; Бона иностранная Литва ; 1991 ;  ;  ; AU ; 8 ; flutter ; 126 
 5243 ; Бона иностранная Литва ; 1991 ;  ;  ; AU ; 54 ; Ratmen ; 195 
 5244 ; Бона иностранная Литва ; 1991 ;  ;  ; AU ; 48 ; Ratmen ; 261 
 5245 ; Бона иностранная Литва ;  ;  ;  ; AU ; 14 ; mart_si ; 126 
 5246 ; Бона иностранная Литва ;  ;  ;  ; AU ; 19 ; ashep ; 110 
 5247 ; Бона иностранная Украина ;  ;  ;  ; AU ; 56 ; vlad77 ; 2973 
 5248 ; Бона иностранная Украина ;  ;  ;  ; AU ; 35 ; vlad77 ; 2652 
 5249 ; Бона иностранная Украина ;  ;  ;  ; AU ; 31 ; DATR ; 1995 
 5250 ; Бона иностранная Украина ;  ;  ;  ; AU ; 27 ; DATR ; 1301 
 5251 ; Бона иностранная Украина ;  ;  ;  ; AU ; 40 ; vlad77 ; 2652 
